9'穆勒得球，起脚传中                   9'开场9分钟，拜仁首次射正就取得领先
57'球进，，，，，，，，，                   56'拜仁第56分钟再下一城，布雷德洛夫开球失误，格纳布里凌空垫给穆勒，然后接应穆勒分球，禁区右侧距门10米处小角度射门被布雷德洛夫扑出，里贝里补射被布雷德洛夫一挡还是入网，3比0
58'里贝里终于进球，帮助拜仁主场3比0领先                   56'拜仁第56分钟再下一城，布雷德洛夫开球失误，格纳布里凌空垫给穆勒，然后接应穆勒分球，禁区右侧距门10米处小角度射门被布雷德洛夫扑出，里贝里补射被布雷德洛夫一挡还是入网，3比0
59'比赛继续                   56'拜仁第56分钟再下一城，布雷德洛夫开球失误，格纳布里凌空垫给穆勒，然后接应穆勒分球，禁区右侧距门10米处小角度射门被布雷德洛夫扑出，里贝里补射被布雷德洛夫一挡还是入网，3比0
59'前场定位球，阿拉巴一脚远射                   56'拜仁第56分钟再下一城，布雷德洛夫开球失误，格纳布里凌空垫给穆勒，然后接应穆勒分球，禁区右侧距门10米处小角度射门被布雷德洛夫扑出，里贝里补射被布雷德洛夫一挡还是入网，3比0
59'偏了                   56'拜仁第56分钟再下一城，布雷德洛夫开球失误，格纳布里凌空垫给穆勒，然后接应穆勒分球，禁区右侧距门10米处小角度射门被布雷德洛夫扑出，里贝里补射被布雷德洛夫一挡还是入网，3比0
59'守门员开大脚到前场                   56'拜仁第56分钟再下一城，布雷德洛夫开球失误，格纳布里凌空垫给穆勒，然后接应穆勒分球，禁区右侧距门10米处小角度射门被布雷德洛夫扑出，里贝里补射被布雷德洛夫一挡还是入网，3比0
59'博阿滕头球给到聚勒                   56'拜仁第56分钟再下一城，布雷德洛夫开球失误，格纳布里凌空垫给穆勒，然后接应穆勒分球，禁区右侧距门10米处小角度射门被布雷德洛夫扑出，里贝里补射被布雷德洛夫一挡还是入网，3比0
90'再给格雷茨卡                   90'拜仁第90分钟错过进球，科曼左路低传被蒂亚戈漏过，穆勒回做，基米希禁区弧顶抽射击中左门柱
90'分给阿拉巴                   90'拜仁第90分钟错过进球，科曼左路低传被蒂亚戈漏过，穆勒回做，基米希禁区弧顶抽射击中左门柱
90'这时候裁判吹响了哨声                   90'拜仁第90分钟错过进球，科曼左路低传被蒂亚戈漏过，穆勒回做，基米希禁区弧顶抽射击中左门柱
90'上半场比赛结束                   90'拜仁第90分钟错过进球，科曼左路低传被蒂亚戈漏过，穆勒回做，基米希禁区弧顶抽射击中左门柱
90'拜仁2比0领先                   90'拜仁第90分钟错过进球，科曼左路低传被蒂亚戈漏过，穆勒回做，基米希禁区弧顶抽射击中左门柱
91'我们中场休息下，正好修理下网络                   90'拜仁第90分钟错过进球，科曼左路低传被蒂亚戈漏过，穆勒回做，基米希禁区弧顶抽射击中左门柱
90'诺伊尔抱住皮球                   90'拜仁第90分钟错过进球，科曼左路低传被蒂亚戈漏过，穆勒回做，基米希禁区弧顶抽射击中左门柱
90'手抛球给到博阿滕                   90'拜仁第90分钟错过进球，科曼左路低传被蒂亚戈漏过，穆勒回做，基米希禁区弧顶抽射击中左门柱
90'分到左侧科曼                   90'拜仁第90分钟错过进球，科曼左路低传被蒂亚戈漏过，穆勒回做，基米希禁区弧顶抽射击中左门柱
90'横传禁区弧顶，跟进基米希跟进得球                   90'拜仁第90分钟错过进球，科曼左路低传被蒂亚戈漏过，穆勒回做，基米希禁区弧顶抽射击中左门柱
90'直接打门，打偏了                   90'拜仁第90分钟错过进球，科曼左路低传被蒂亚戈漏过，穆勒回做，基米希禁区弧顶抽射击中左门柱
91'出了左侧底线                   90'拜仁第90分钟错过进球，科曼左路低传被蒂亚戈漏过，穆勒回做，基米希禁区弧顶抽射击中左门柱
91'球门球                   90'拜仁第90分钟错过进球，科曼左路低传被蒂亚戈漏过，穆勒回做，基米希禁区弧顶抽射击中左门柱
91'大脚开出                   90'拜仁第90分钟错过进球，科曼左路低传被蒂亚戈漏过，穆勒回做，基米希禁区弧顶抽射击中左门柱
91'裁判直接吹响了哨声，比赛结束，，没有补时                   90'拜仁第90分钟错过进球，科曼左路低传被蒂亚戈漏过，穆勒回做，基米希禁区弧顶抽射击中左门柱
