1'上半场比赛开始，泰达队首先开球                   1'第1分钟经过几分钟的试探，天津队逐渐开始阵型前压
15'郭亮左路面对王冠伊造成对方的犯规                   15'第15分钟，郭亮在左路拿球被王冠伊铲倒犯规
16'泰达队反击，瓦伦西亚前场拿球经过长时间调整后准备直塞助攻上去的利马时被回防的队员截获                   15'第15分钟，郭亮在左路拿球被王冠伊铲倒犯规
17'曹阳连续两次左路斜传找禁区里的前锋，都没有过对方后卫的顶                   15'第15分钟，郭亮在左路拿球被王冠伊铲倒犯规
17'王新欣出现停球失误                   15'第15分钟，郭亮在左路拿球被王冠伊铲倒犯规
17'今天泰达队在前场抢的很积极                   15'第15分钟，郭亮在左路拿球被王冠伊铲倒犯规
17'采用高位拼抢的战术                   15'第15分钟，郭亮在左路拿球被王冠伊铲倒犯规
18'也是为了抑制青岛的7秒进攻                   15'第15分钟，郭亮在左路拿球被王冠伊铲倒犯规
18'瓦伦西亚左路强行突破成功后下底传中，尤万希奇前点没有抢到                   15'第15分钟，郭亮在左路拿球被王冠伊铲倒犯规
22'现场球迷或许可以一边听着演唱会一边看中超                   22'第22分钟，王新欣禁区外远射，力量不错，可惜打偏
22'王冠伊中路横穿，王新欣接球后外围左脚远射偏出门柱                   22'第22分钟，王新欣禁区外远射，力量不错，可惜打偏
23'矫喆右路防守时犯规                   22'第22分钟，王新欣禁区外远射，力量不错，可惜打偏
23'曹阳左路助攻上来直传王新欣，王新欣拿球后转身挑传交给插上的尤万希奇形成单刀                   22'第22分钟，王新欣禁区外远射，力量不错，可惜打偏
24'不过边裁先举旗示意越位了                   22'第22分钟，王新欣禁区外远射，力量不错，可惜打偏
24'泰达队右路边线球                   22'第22分钟，王新欣禁区外远射，力量不错，可惜打偏
25'帕尔塔鲁接球后被断，青岛就地反击，梅尔坎左路传中                   22'第22分钟，王新欣禁区外远射，力量不错，可惜打偏
25'莫拉德包抄铲射没有碰到来球                   22'第22分钟，王新欣禁区外远射，力量不错，可惜打偏
25'瓦伦西亚右路又越位了                   22'第22分钟，王新欣禁区外远射，力量不错，可惜打偏
24'不过边裁先举旗示意越位了                   24'第24分钟，梅尔坎左路传中，莫拉德包抄铲射可惜没有够到来球
24'泰达队右路边线球                   24'第24分钟，梅尔坎左路传中，莫拉德包抄铲射可惜没有够到来球
25'帕尔塔鲁接球后被断，青岛就地反击，梅尔坎左路传中                   24'第24分钟，梅尔坎左路传中，莫拉德包抄铲射可惜没有够到来球
25'莫拉德包抄铲射没有碰到来球                   24'第24分钟，梅尔坎左路传中，莫拉德包抄铲射可惜没有够到来球
25'瓦伦西亚右路又越位了                   24'第24分钟，梅尔坎左路传中，莫拉德包抄铲射可惜没有够到来球
26'比赛踢了25分钟，场面还是比较波澜不惊                   24'第24分钟，梅尔坎左路传中，莫拉德包抄铲射可惜没有够到来球
26'尤万希奇前场拿球转身被古斯塔沃放倒                   24'第24分钟，梅尔坎左路传中，莫拉德包抄铲射可惜没有够到来球
26'泰达队前场任意球，战术配合李玮峰把球调入禁区                   24'第24分钟，梅尔坎左路传中，莫拉德包抄铲射可惜没有够到来球
27'第二点王新欣抢到，准备左脚直接横穿门前时没有处理好                   24'第24分钟，梅尔坎左路传中，莫拉德包抄铲射可惜没有够到来球
27'第二点王新欣抢到，准备左脚直接横穿门前时没有处理好                   27'第27分钟，布鲁诺接到长传胸部停球，莫拉德后排跟上在禁区外直接打门稍稍高出
28'杨启鹏大脚开到前场                   27'第27分钟，布鲁诺接到长传胸部停球，莫拉德后排跟上在禁区外直接打门稍稍高出
28'左路利马再次助攻上来被断                   27'第27分钟，布鲁诺接到长传胸部停球，莫拉德后排跟上在禁区外直接打门稍稍高出
29'泰达队这名来自巴西队的中后卫踢球风格和卢西奥、大卫路易斯、席尔瓦这些巴西后卫的风格比较相像，乐于助攻                   27'第27分钟，布鲁诺接到长传胸部停球，莫拉德后排跟上在禁区外直接打门稍稍高出
29'尤万希奇和瓦伦西亚前场配合时传跑又没形成默契，被吹了越位                   27'第27分钟，布鲁诺接到长传胸部停球，莫拉德后排跟上在禁区外直接打门稍稍高出
30'青岛后场传球                   27'第27分钟，布鲁诺接到长传胸部停球，莫拉德后排跟上在禁区外直接打门稍稍高出
30'再往左路推进时白岳峰把球破坏出边线                   27'第27分钟，布鲁诺接到长传胸部停球，莫拉德后排跟上在禁区外直接打门稍稍高出
35'泰达队长传打到禁区，尤万希奇和对方拼身体后，瓦伦西亚抢到落点顺势往球门方向带球，几次准备起脚都被贴身的后卫干扰                   35'第35分钟，天津队反击时传中，青岛后卫在尤万西奇干扰下头球不远，瓦伦西亚领球进入禁区，但连续被后卫贴身干扰无法起脚
36'角度没了后回传到外围，王新欣禁区外左脚打门被对方用身体挡出                   35'第35分钟，天津队反击时传中，青岛后卫在尤万西奇干扰下头球不远，瓦伦西亚领球进入禁区，但连续被后卫贴身干扰无法起脚
36'泰达队员示意对方手球，裁判没有理会                   35'第35分钟，天津队反击时传中，青岛后卫在尤万西奇干扰下头球不远，瓦伦西亚领球进入禁区，但连续被后卫贴身干扰无法起脚
36'再次打到禁区肋部的瓦伦西亚，左脚小角度打门偏出近门柱                   35'第35分钟，天津队反击时传中，青岛后卫在尤万西奇干扰下头球不远，瓦伦西亚领球进入禁区，但连续被后卫贴身干扰无法起脚
37'布鲁诺在中场和泰达球员拼抢时有受伤情况，倒地不起                   35'第35分钟，天津队反击时传中，青岛后卫在尤万西奇干扰下头球不远，瓦伦西亚领球进入禁区，但连续被后卫贴身干扰无法起脚
37'应该没什么问题，比赛继续                   35'第35分钟，天津队反击时传中，青岛后卫在尤万西奇干扰下头球不远，瓦伦西亚领球进入禁区，但连续被后卫贴身干扰无法起脚
38'小个子布鲁诺从身后抢下利马的球，不过正面准备突破时又被利马化解                   35'第35分钟，天津队反击时传中，青岛后卫在尤万西奇干扰下头球不远，瓦伦西亚领球进入禁区，但连续被后卫贴身干扰无法起脚
38'白岳峰中场右路直传，郭亮解围踢漏了                   35'第35分钟，天津队反击时传中，青岛后卫在尤万西奇干扰下头球不远，瓦伦西亚领球进入禁区，但连续被后卫贴身干扰无法起脚
38'小个子布鲁诺从身后抢下利马的球，不过正面准备突破时又被利马化解                   38'第38分钟，白岳峰中路直传穿透了青岛队防线，瓦伦西亚形成单刀，他无私地将球横传门前，但尤万西奇面对这个必进球自己脚底拌蒜摔倒没有踢上
38'白岳峰中场右路直传，郭亮解围踢漏了                   38'第38分钟，白岳峰中路直传穿透了青岛队防线，瓦伦西亚形成单刀，他无私地将球横传门前，但尤万西奇面对这个必进球自己脚底拌蒜摔倒没有踢上
39'瓦伦西亚接到传球从禁区肋部突破，横穿中路位置更好的尤万希奇！！！尤万希奇打门！！！                   38'第38分钟，白岳峰中路直传穿透了青岛队防线，瓦伦西亚形成单刀，他无私地将球横传门前，但尤万西奇面对这个必进球自己脚底拌蒜摔倒没有踢上
39'我了个去！！！！也踢漏了！！！！                   38'第38分钟，白岳峰中路直传穿透了青岛队防线，瓦伦西亚形成单刀，他无私地将球横传门前，但尤万西奇面对这个必进球自己脚底拌蒜摔倒没有踢上
39'瓦伦西亚这脚大公无私的横传已经做到最好了                   38'第38分钟，白岳峰中路直传穿透了青岛队防线，瓦伦西亚形成单刀，他无私地将球横传门前，但尤万西奇面对这个必进球自己脚底拌蒜摔倒没有踢上
40'可惜尤万希奇明显信心不足了啊                   38'第38分钟，白岳峰中路直传穿透了青岛队防线，瓦伦西亚形成单刀，他无私地将球横传门前，但尤万西奇面对这个必进球自己脚底拌蒜摔倒没有踢上
40'古斯塔沃上抢的头球压人犯规了                   38'第38分钟，白岳峰中路直传穿透了青岛队防线，瓦伦西亚形成单刀，他无私地将球横传门前，但尤万西奇面对这个必进球自己脚底拌蒜摔倒没有踢上
40'这一阵泰达队攻的很猛                   38'第38分钟，白岳峰中路直传穿透了青岛队防线，瓦伦西亚形成单刀，他无私地将球横传门前，但尤万西奇面对这个必进球自己脚底拌蒜摔倒没有踢上
41'不过这更像是青岛准备反击进球的机会啊                   38'第38分钟，白岳峰中路直传穿透了青岛队防线，瓦伦西亚形成单刀，他无私地将球横传门前，但尤万西奇面对这个必进球自己脚底拌蒜摔倒没有踢上
41'布鲁诺禁区左侧内切右脚搓出弧线打门，角度没找好，杨启鹏把球没收                   38'第38分钟，白岳峰中路直传穿透了青岛队防线，瓦伦西亚形成单刀，他无私地将球横传门前，但尤万西奇面对这个必进球自己脚底拌蒜摔倒没有踢上
41'梅尔坎在中场中路位置宛然一副核心的样子啊                   38'第38分钟，白岳峰中路直传穿透了青岛队防线，瓦伦西亚形成单刀，他无私地将球横传门前，但尤万西奇面对这个必进球自己脚底拌蒜摔倒没有踢上
41'不过这更像是青岛准备反击进球的机会啊                   41'第41分钟，布鲁诺禁区左侧内切射门，杨启鹏将球抱住
41'布鲁诺禁区左侧内切右脚搓出弧线打门，角度没找好，杨启鹏把球没收                   41'第41分钟，布鲁诺禁区左侧内切射门，杨启鹏将球抱住
41'梅尔坎在中场中路位置宛然一副核心的样子啊                   41'第41分钟，布鲁诺禁区左侧内切射门，杨启鹏将球抱住
42'看上去黑又硬，但是大局观很细腻啊                   41'第41分钟，布鲁诺禁区左侧内切射门，杨启鹏将球抱住
43'布鲁诺左路带球想和莫拉德配合，传球被后卫挡了一下                   41'第41分钟，布鲁诺禁区左侧内切射门，杨启鹏将球抱住
43'不过布鲁诺用速度在泰达禁区里抢下曹阳脚下，回给身后的郑龙                   41'第41分钟，布鲁诺禁区左侧内切射门，杨启鹏将球抱住
43'郑龙一脚爆射被杨启鹏扑出，利马把球解围出底线                   41'第41分钟，布鲁诺禁区左侧内切射门，杨启鹏将球抱住
44'角球没有威胁                   41'第41分钟，布鲁诺禁区左侧内切射门，杨启鹏将球抱住
44'泰达队马上展开反扑                   41'第41分钟，布鲁诺禁区左侧内切射门，杨启鹏将球抱住
44'尤万希奇禁区线上拿到机会，左脚打门                   41'第41分钟，布鲁诺禁区左侧内切射门，杨启鹏将球抱住
44'踢出了另一侧的边线！！！边线啊！！！                   41'第41分钟，布鲁诺禁区左侧内切射门，杨启鹏将球抱住
44'角球没有威胁                   44'第44分钟，王冠伊踩单车过人后脚后跟交给尤万西奇，后者禁区线上左脚射门直接抡出了另一侧边线
44'泰达队马上展开反扑                   44'第44分钟，王冠伊踩单车过人后脚后跟交给尤万西奇，后者禁区线上左脚射门直接抡出了另一侧边线
44'尤万希奇禁区线上拿到机会，左脚打门                   44'第44分钟，王冠伊踩单车过人后脚后跟交给尤万西奇，后者禁区线上左脚射门直接抡出了另一侧边线
44'踢出了另一侧的边线！！！边线啊！！！                   44'第44分钟，王冠伊踩单车过人后脚后跟交给尤万西奇，后者禁区线上左脚射门直接抡出了另一侧边线
45'尤万希奇这是肿么了                   44'第44分钟，王冠伊踩单车过人后脚后跟交给尤万西奇，后者禁区线上左脚射门直接抡出了另一侧边线
45'帕尔塔鲁禁区弧顶前接到左路的传球后直接打门被后卫挡出，力量很大啊                   44'第44分钟，王冠伊踩单车过人后脚后跟交给尤万西奇，后者禁区线上左脚射门直接抡出了另一侧边线
45'青岛迅速反击第一时间被白岳峰化解                   44'第44分钟，王冠伊踩单车过人后脚后跟交给尤万西奇，后者禁区线上左脚射门直接抡出了另一侧边线
45'瓦伦西亚左路下底赢得角球                   44'第44分钟，王冠伊踩单车过人后脚后跟交给尤万西奇，后者禁区线上左脚射门直接抡出了另一侧边线
46'李本舰给前点                   44'第44分钟，王冠伊踩单车过人后脚后跟交给尤万西奇，后者禁区线上左脚射门直接抡出了另一侧边线
46'前点队员蹭了一下后中路插上的帕尔塔鲁头球冲顶被青岛队员在门线上把球挡出                   44'第44分钟，王冠伊踩单车过人后脚后跟交给尤万西奇，后者禁区线上左脚射门直接抡出了另一侧边线
46'下半场比赛双方易边再战                   44'第44分钟，王冠伊踩单车过人后脚后跟交给尤万西奇，后者禁区线上左脚射门直接抡出了另一侧边线
46'青岛队把球交回后场                   44'第44分钟，王冠伊踩单车过人后脚后跟交给尤万西奇，后者禁区线上左脚射门直接抡出了另一侧边线
46'青岛队又是左路的撞墙配合，郭亮传中到后点，布鲁诺没有停好球                   44'第44分钟，王冠伊踩单车过人后脚后跟交给尤万西奇，后者禁区线上左脚射门直接抡出了另一侧边线
47'矫喆防守中蹬踏犯规                   44'第44分钟，王冠伊踩单车过人后脚后跟交给尤万西奇，后者禁区线上左脚射门直接抡出了另一侧边线
47'由于青岛队主要攻击点在左路，所以平时泰达助攻比较积极的右后卫白岳峰今天上去的机会也不多                   44'第44分钟，王冠伊踩单车过人后脚后跟交给尤万西奇，后者禁区线上左脚射门直接抡出了另一侧边线
48'郑龙前场拼抢拉人犯规了                   48'第48分钟，青岛队率先发难左路传中，莫拉德头球一蹭，布鲁诺在后点得球后晃开角度射门但是打偏
48'不知道在水滴旁边看演唱会的汪峰会不会唱到《北京北京》呢                   48'第48分钟，青岛队率先发难左路传中，莫拉德头球一蹭，布鲁诺在后点得球后晃开角度射门但是打偏
49'额，是开演唱会，可不是看                   48'第48分钟，青岛队率先发难左路传中，莫拉德头球一蹭，布鲁诺在后点得球后晃开角度射门但是打偏
49'布鲁诺禁区内接到左路的传球，稍作调整后右脚打门偏出近门柱                   48'第48分钟，青岛队率先发难左路传中，莫拉德头球一蹭，布鲁诺在后点得球后晃开角度射门但是打偏
50'矫喆右路助攻上来的横传没有找到队友                   48'第48分钟，青岛队率先发难左路传中，莫拉德头球一蹭，布鲁诺在后点得球后晃开角度射门但是打偏
50'邹正把球一脚解围出边线                   48'第48分钟，青岛队率先发难左路传中，莫拉德头球一蹭，布鲁诺在后点得球后晃开角度射门但是打偏
50'布鲁诺在前场拼抢时抬脚过高，直接踢到李玮峰脸上了                   48'第48分钟，青岛队率先发难左路传中，莫拉德头球一蹭，布鲁诺在后点得球后晃开角度射门但是打偏
50'好在没有发力，大头应该没问题                   48'第48分钟，青岛队率先发难左路传中，莫拉德头球一蹭，布鲁诺在后点得球后晃开角度射门但是打偏
51'梅尔坎中超传球失误，瓦伦西亚断球交给队友                   48'第48分钟，青岛队率先发难左路传中，莫拉德头球一蹭，布鲁诺在后点得球后晃开角度射门但是打偏
51'泰达反击，王新欣直传尤万希奇                   48'第48分钟，青岛队率先发难左路传中，莫拉德头球一蹭，布鲁诺在后点得球后晃开角度射门但是打偏
51'左路李本舰形成下底，第一点后卫顶出来                   48'第48分钟，青岛队率先发难左路传中，莫拉德头球一蹭，布鲁诺在后点得球后晃开角度射门但是打偏
54'后门柱位置瓦伦西亚头球回做，李本舰禁区里无人盯防位置，等了好几秒后右脚近距离打门踢偏了！！                   54'第54分钟，李玮峰右路下底传中，瓦伦西亚后点将球顶回，李本舰在无人盯防的情况下右脚近距离扫射打偏
55'这球可惜了，李本舰左脚选手这球赶在了右脚，犹豫半天到底哪脚打门                   54'第54分钟，李玮峰右路下底传中，瓦伦西亚后点将球顶回，李本舰在无人盯防的情况下右脚近距离扫射打偏
55'瓦伦西亚禁区里接到后才长传后停球背身卧射被牟鹏飞神奇般的飞身扑出！！！！                   54'第54分钟，李玮峰右路下底传中，瓦伦西亚后点将球顶回，李本舰在无人盯防的情况下右脚近距离扫射打偏
56'这球射得漂亮，扑得精彩啊                   54'第54分钟，李玮峰右路下底传中，瓦伦西亚后点将球顶回，李本舰在无人盯防的情况下右脚近距离扫射打偏
56'角球没有威胁                   54'第54分钟，李玮峰右路下底传中，瓦伦西亚后点将球顶回，李本舰在无人盯防的情况下右脚近距离扫射打偏
56'又是瓦伦西亚右路拿球突破到禁区里，打门被后卫铲出底线，角球                   54'第54分钟，李玮峰右路下底传中，瓦伦西亚后点将球顶回，李本舰在无人盯防的情况下右脚近距离扫射打偏
57'给到后点李玮峰头球没有顶好                   54'第54分钟，李玮峰右路下底传中，瓦伦西亚后点将球顶回，李本舰在无人盯防的情况下右脚近距离扫射打偏
57'瓦伦西亚这几下的意思还真有点瓦伦西亚的感觉                   54'第54分钟，李玮峰右路下底传中，瓦伦西亚后点将球顶回，李本舰在无人盯防的情况下右脚近距离扫射打偏
57'泰达队右路传中，中路尤万希奇冲这点，没有顶到                   54'第54分钟，李玮峰右路下底传中，瓦伦西亚后点将球顶回，李本舰在无人盯防的情况下右脚近距离扫射打偏
57'给到后点李玮峰头球没有顶好                   57'天津队士气大盛，第57分钟，瓦伦西亚右路下底传中，尤万西奇冲顶没有顶到，造成古斯塔沃受伤倒地
57'瓦伦西亚这几下的意思还真有点瓦伦西亚的感觉                   57'天津队士气大盛，第57分钟，瓦伦西亚右路下底传中，尤万西奇冲顶没有顶到，造成古斯塔沃受伤倒地
57'泰达队右路传中，中路尤万希奇冲这点，没有顶到                   57'天津队士气大盛，第57分钟，瓦伦西亚右路下底传中，尤万西奇冲顶没有顶到，造成古斯塔沃受伤倒地
58'古斯塔沃在和尤万希奇争抢头球时出现受伤的情况                   57'天津队士气大盛，第57分钟，瓦伦西亚右路下底传中，尤万西奇冲顶没有顶到，造成古斯塔沃受伤倒地
58'很快起来没有问题                   57'天津队士气大盛，第57分钟，瓦伦西亚右路下底传中，尤万西奇冲顶没有顶到，造成古斯塔沃受伤倒地
58'泰达队把球还给青岛球员                   57'天津队士气大盛，第57分钟，瓦伦西亚右路下底传中，尤万西奇冲顶没有顶到，造成古斯塔沃受伤倒地
59'青岛队目前比较被动                   57'天津队士气大盛，第57分钟，瓦伦西亚右路下底传中，尤万西奇冲顶没有顶到，造成古斯塔沃受伤倒地
59'反击中也盲目了，几次只是大脚开到前场                   57'天津队士气大盛，第57分钟，瓦伦西亚右路下底传中，尤万西奇冲顶没有顶到，造成古斯塔沃受伤倒地
60'白岳峰右路直传到禁区里，后卫把球让给了门将牟鹏飞                   57'天津队士气大盛，第57分钟，瓦伦西亚右路下底传中，尤万西奇冲顶没有顶到，造成古斯塔沃受伤倒地
60'场边看到毛彪正在换衣服准备出场了                   57'天津队士气大盛，第57分钟，瓦伦西亚右路下底传中，尤万西奇冲顶没有顶到，造成古斯塔沃受伤倒地
60'比赛打了60分钟，比分还是0-0                   57'天津队士气大盛，第57分钟，瓦伦西亚右路下底传中，尤万西奇冲顶没有顶到，造成古斯塔沃受伤倒地
60'平局对这支泰达队来说与输球无异                   57'天津队士气大盛，第57分钟，瓦伦西亚右路下底传中，尤万西奇冲顶没有顶到，造成古斯塔沃受伤倒地
61'王新欣右路搓传，权磊把球解围出来                   61'第61分钟，梅尔坎吸引了后卫并将球分到右路，无人盯防的刘健准确地将球传中，中路插上的布鲁诺在上半场尤万西奇丢失机会的同样位置轻松将球送入大门
61'青岛反击！！布鲁诺进球了！！！！！快！！真快！！                   61'第61分钟，梅尔坎吸引了后卫并将球分到右路，无人盯防的刘健准确地将球传中，中路插上的布鲁诺在上半场尤万西奇丢失机会的同样位置轻松将球送入大门
62'梅尔坎中路拿球摆脱一名防守队员后斜传禁区里的邹正，后者横传门前，布鲁诺面对空门轻松推射中的！！！                   61'第61分钟，梅尔坎吸引了后卫并将球分到右路，无人盯防的刘健准确地将球传中，中路插上的布鲁诺在上半场尤万西奇丢失机会的同样位置轻松将球送入大门
63'这个进球和上半场瓦伦西亚传给尤万希奇的那球一样                   61'第61分钟，梅尔坎吸引了后卫并将球分到右路，无人盯防的刘健准确地将球传中，中路插上的布鲁诺在上半场尤万西奇丢失机会的同样位置轻松将球送入大门
63'只不过布鲁诺踢进了，尤万希奇踢空了                   61'第61分钟，梅尔坎吸引了后卫并将球分到右路，无人盯防的刘健准确地将球传中，中路插上的布鲁诺在上半场尤万西奇丢失机会的同样位置轻松将球送入大门
63'泰达换人                   61'第61分钟，梅尔坎吸引了后卫并将球分到右路，无人盯防的刘健准确地将球传中，中路插上的布鲁诺在上半场尤万西奇丢失机会的同样位置轻松将球送入大门
63'毛彪换下王冠伊                   61'第61分钟，梅尔坎吸引了后卫并将球分到右路，无人盯防的刘健准确地将球传中，中路插上的布鲁诺在上半场尤万西奇丢失机会的同样位置轻松将球送入大门
63'李本舰左路传中，禁区里尤万希奇头球攻门被门将轻松拿到                   61'第61分钟，梅尔坎吸引了后卫并将球分到右路，无人盯防的刘健准确地将球传中，中路插上的布鲁诺在上半场尤万西奇丢失机会的同样位置轻松将球送入大门
64'力量不大，没有威胁                   61'第61分钟，梅尔坎吸引了后卫并将球分到右路，无人盯防的刘健准确地将球传中，中路插上的布鲁诺在上半场尤万西奇丢失机会的同样位置轻松将球送入大门
64'泰达队继续换人德尼尔森换下后卫利马                   61'第61分钟，梅尔坎吸引了后卫并将球分到右路，无人盯防的刘健准确地将球传中，中路插上的布鲁诺在上半场尤万西奇丢失机会的同样位置轻松将球送入大门
64'由于外援名额所限，德尼尔森上场只能换下外援                   61'第61分钟，梅尔坎吸引了后卫并将球分到右路，无人盯防的刘健准确地将球传中，中路插上的布鲁诺在上半场尤万西奇丢失机会的同样位置轻松将球送入大门
66'比分！比分！比分！！怎么总比方呢...                   66'第66分钟，天津队右路传中，但禁区内双方都没有碰到皮球
66'泰达队右路传中，前点攻防队员都漏过了                   66'第66分钟，天津队右路传中，但禁区内双方都没有碰到皮球
67'泰达队前场反断，德尼尔森左路斜传                   66'第66分钟，天津队右路传中，但禁区内双方都没有碰到皮球
67'尤万希奇头球蹭到刘健后出了底线，角球                   66'第66分钟，天津队右路传中，但禁区内双方都没有碰到皮球
67'青岛中能换人，宋龙换下矫喆                   66'第66分钟，天津队右路传中，但禁区内双方都没有碰到皮球
67'看看泰达这个角球                   66'第66分钟，天津队右路传中，但禁区内双方都没有碰到皮球
68'德尼尔森给到后点，球运行还是太高了                   66'第66分钟，天津队右路传中，但禁区内双方都没有碰到皮球
69'青岛反击又来了！！！！半场长传找到郑龙形成单刀！！！横传另一侧的宋龙力量稍微大了没有射门角度，回给莫拉德，后者打门被后卫挡了一下后又回到郑龙脚下，近距离面对门将的打门被门柱弹出！！！                   66'第66分钟，天津队右路传中，但禁区内双方都没有碰到皮球
69'郑龙击中门柱，泰达逃过一劫啊                   66'第66分钟，天津队右路传中，但禁区内双方都没有碰到皮球
72'青岛右路布鲁诺传球被曹阳断下                   72'第72分钟，天津队左路传中，郭亮解围却踢到门前，瓦伦西亚试图头球时被邹正抢先顶出了底线
73'泰达左路传中郭亮后点解围却踢向本方门前，邹正抢在泰达球员之前把球顶出底线                   72'第72分钟，天津队左路传中，郭亮解围却踢到门前，瓦伦西亚试图头球时被邹正抢先顶出了底线
73'角球还是后点，没有抢到                   72'第72分钟，天津队左路传中，郭亮解围却踢到门前，瓦伦西亚试图头球时被邹正抢先顶出了底线
73'青岛前场右路任意球                   72'第72分钟，天津队左路传中，郭亮解围却踢到门前，瓦伦西亚试图头球时被邹正抢先顶出了底线
74'郑龙再进一球！！！！！                   72'第72分钟，天津队左路传中，郭亮解围却踢到门前，瓦伦西亚试图头球时被邹正抢先顶出了底线
