7'巴卡约科左侧反击！                   6'开场6分钟，阿莱士-桑德罗左路传球，C罗禁区角外沿斜射高出
10'横传球被断了！                   8'第8分钟，阿莱士-桑德罗左路传中，曼朱基奇后点力压里卡多-罗德里格斯，在门前5米处头球弹地入右下角，1比0
10'坎塞洛得球长传转移左侧！                   8'第8分钟，阿莱士-桑德罗左路传中，曼朱基奇后点力压里卡多-罗德里格斯，在门前5米处头球弹地入右下角，1比0
10'C罗得球推进！                   8'第8分钟，阿莱士-桑德罗左路传中，曼朱基奇后点力压里卡多-罗德里格斯，在门前5米处头球弹地入右下角，1比0
10'趟球下底传中！                   8'第8分钟，阿莱士-桑德罗左路传中，曼朱基奇后点力压里卡多-罗德里格斯，在门前5米处头球弹地入右下角，1比0
10'后点罗马尼奥利头球解围出底线！                   8'第8分钟，阿莱士-桑德罗左路传中，曼朱基奇后点力压里卡多-罗德里格斯，在门前5米处头球弹地入右下角，1比0
11'尤文右侧角球！                   8'第8分钟，阿莱士-桑德罗左路传中，曼朱基奇后点力压里卡多-罗德里格斯，在门前5米处头球弹地入右下角，1比0
11'迪巴拉短传皮亚尼奇！                   8'第8分钟，阿莱士-桑德罗左路传中，曼朱基奇后点力压里卡多-罗德里格斯，在门前5米处头球弹地入右下角，1比0
11'传中到禁区被巴卡约科断了！                   8'第8分钟，阿莱士-桑德罗左路传中，曼朱基奇后点力压里卡多-罗德里格斯，在门前5米处头球弹地入右下角，1比0
11'反击给左侧罗德里格斯！                   8'第8分钟，阿莱士-桑德罗左路传中，曼朱基奇后点力压里卡多-罗德里格斯，在门前5米处头球弹地入右下角，1比0
11'横敲给恰尔汗奥卢！                   8'第8分钟，阿莱士-桑德罗左路传中，曼朱基奇后点力压里卡多-罗德里格斯，在门前5米处头球弹地入右下角，1比0
11'转移右侧阿巴特！                   8'第8分钟，阿莱士-桑德罗左路传中，曼朱基奇后点力压里卡多-罗德里格斯，在门前5米处头球弹地入右下角，1比0
33'坎塞洛左侧得球！被断了！                   33'AC米兰第33分钟首次射正，恰尔汉奥卢右路低传，苏索在门前28米处左脚抽射被斯琴斯尼得到
33'苏索解围没踢远！                   33'AC米兰第33分钟首次射正，恰尔汉奥卢右路低传，苏索在门前28米处左脚抽射被斯琴斯尼得到
33'迪巴拉迎球吊射！                   33'AC米兰第33分钟首次射正，恰尔汉奥卢右路低传，苏索在门前28米处左脚抽射被斯琴斯尼得到
33'球被多纳鲁马拿到！                   33'AC米兰第33分钟首次射正，恰尔汉奥卢右路低传，苏索在门前28米处左脚抽射被斯琴斯尼得到
35'这边米兰有球员拼抢受伤倒地！                   33'AC米兰第33分钟首次射正，恰尔汉奥卢右路低传，苏索在门前28米处左脚抽射被斯琴斯尼得到
41'伊瓜因来主罚！                   41'AC米兰第41分钟错过扳平机会，苏索右路反击低传禁区，伊瓜因停球击中贝纳蒂亚左手，他提出抗议，主裁判马佐莱尼与VAR交流，并到场边观看回放后吹罚点球
41'伊瓜因助跑！                   41'AC米兰第41分钟错过扳平机会，苏索右路反击低传禁区，伊瓜因停球击中贝纳蒂亚左手，他提出抗议，主裁判马佐莱尼与VAR交流，并到场边观看回放后吹罚点球
41'推射左下角！                   41'AC米兰第41分钟错过扳平机会，苏索右路反击低传禁区，伊瓜因停球击中贝纳蒂亚左手，他提出抗议，主裁判马佐莱尼与VAR交流，并到场边观看回放后吹罚点球
41'什琴斯尼飞身扑了一下！                   41'AC米兰第41分钟错过扳平机会，苏索右路反击低传禁区，伊瓜因停球击中贝纳蒂亚左手，他提出抗议，主裁判马佐莱尼与VAR交流，并到场边观看回放后吹罚点球
41'碰！                   41'AC米兰第41分钟错过扳平机会，苏索右路反击低传禁区，伊瓜因停球击中贝纳蒂亚左手，他提出抗议，主裁判马佐莱尼与VAR交流，并到场边观看回放后吹罚点球
41'打中左侧立柱弹出！                   41'AC米兰第41分钟错过扳平机会，苏索右路反击低传禁区，伊瓜因停球击中贝纳蒂亚左手，他提出抗议，主裁判马佐莱尼与VAR交流，并到场边观看回放后吹罚点球
41'球被解围出边线！                   41'AC米兰第41分钟错过扳平机会，苏索右路反击低传禁区，伊瓜因停球击中贝纳蒂亚左手，他提出抗议，主裁判马佐莱尼与VAR交流，并到场边观看回放后吹罚点球
41'伊瓜因啊！！                   41'AC米兰第41分钟错过扳平机会，苏索右路反击低传禁区，伊瓜因停球击中贝纳蒂亚左手，他提出抗议，主裁判马佐莱尼与VAR交流，并到场边观看回放后吹罚点球
43'基耶利尼分右侧贝纳蒂亚！                   41'AC米兰第41分钟错过扳平机会，苏索右路反击低传禁区，伊瓜因停球击中贝纳蒂亚左手，他提出抗议，主裁判马佐莱尼与VAR交流，并到场边观看回放后吹罚点球
43'长传前场右侧！                   41'AC米兰第41分钟错过扳平机会，苏索右路反击低传禁区，伊瓜因停球击中贝纳蒂亚左手，他提出抗议，主裁判马佐莱尼与VAR交流，并到场边观看回放后吹罚点球
43'罗马尼奥利头球解围！                   41'AC米兰第41分钟错过扳平机会，苏索右路反击低传禁区，伊瓜因停球击中贝纳蒂亚左手，他提出抗议，主裁判马佐莱尼与VAR交流，并到场边观看回放后吹罚点球
44'坎塞洛右侧突破传中！                   41'AC米兰第41分钟错过扳平机会，苏索右路反击低传禁区，伊瓜因停球击中贝纳蒂亚左手，他提出抗议，主裁判马佐莱尼与VAR交流，并到场边观看回放后吹罚点球
44'球被挡出底线！                   41'AC米兰第41分钟错过扳平机会，苏索右路反击低传禁区，伊瓜因停球击中贝纳蒂亚左手，他提出抗议，主裁判马佐莱尼与VAR交流，并到场边观看回放后吹罚点球
44'尤文右侧角球！                   41'AC米兰第41分钟错过扳平机会，苏索右路反击低传禁区，伊瓜因停球击中贝纳蒂亚左手，他提出抗议，主裁判马佐莱尼与VAR交流，并到场边观看回放后吹罚点球
44'角球给前点！                   41'AC米兰第41分钟错过扳平机会，苏索右路反击低传禁区，伊瓜因停球击中贝纳蒂亚左手，他提出抗议，主裁判马佐莱尼与VAR交流，并到场边观看回放后吹罚点球
57'迪巴拉推进分右侧C罗！                   55'下半时开始10分钟，阿莱士-桑德罗接应长传左路底线回敲，C罗在门前14米处左脚推射被唐纳鲁马倒地没收
57'罗马尼奥利逼抢踩到C罗犯规！                   55'下半时开始10分钟，阿莱士-桑德罗接应长传左路底线回敲，C罗在门前14米处左脚推射被唐纳鲁马倒地没收
57'尤文前场右侧任意球！                   55'下半时开始10分钟，阿莱士-桑德罗接应长传左路底线回敲，C罗在门前14米处左脚推射被唐纳鲁马倒地没收
58'迪巴拉直接打门！！                   55'下半时开始10分钟，阿莱士-桑德罗接应长传左路底线回敲，C罗在门前14米处左脚推射被唐纳鲁马倒地没收
58'打中右侧立柱！                   55'下半时开始10分钟，阿莱士-桑德罗接应长传左路底线回敲，C罗在门前14米处左脚推射被唐纳鲁马倒地没收
58'弹出了底线啊！                   55'下半时开始10分钟，阿莱士-桑德罗接应长传左路底线回敲，C罗在门前14米处左脚推射被唐纳鲁马倒地没收
58'罗马尼奥利后场回传多纳鲁马！                   55'下半时开始10分钟，阿莱士-桑德罗接应长传左路底线回敲，C罗在门前14米处左脚推射被唐纳鲁马倒地没收
58'被逼抢慌乱中解围出了边线！                   55'下半时开始10分钟，阿莱士-桑德罗接应长传左路底线回敲，C罗在门前14米处左脚推射被唐纳鲁马倒地没收
58'基耶利尼后场横传贝纳蒂亚！                   55'下半时开始10分钟，阿莱士-桑德罗接应长传左路底线回敲，C罗在门前14米处左脚推射被唐纳鲁马倒地没收
58'给右侧坎塞洛！失误出界了！                   55'下半时开始10分钟，阿莱士-桑德罗接应长传左路底线回敲，C罗在门前14米处左脚推射被唐纳鲁马倒地没收
58'边线球给出来！                   55'下半时开始10分钟，阿莱士-桑德罗接应长传左路底线回敲，C罗在门前14米处左脚推射被唐纳鲁马倒地没收
82'坎塞洛右侧突破禁区！                   81'C罗第81分钟扩大比分
82'大力抽射被多纳鲁马 扑出！                   81'C罗第81分钟扩大比分
82'可是没有扑远！                   81'C罗第81分钟扩大比分
82'C罗禁区中路跟进补射！！                   81'C罗第81分钟扩大比分
82'GOOOOOOOOOOOOOAL！！                   81'C罗第81分钟扩大比分
83'尤文扩大了比分！                   81'C罗第81分钟扩大比分
84'中场贝纳蒂亚和伊瓜因争顶！                   81'C罗第81分钟扩大比分
84'伊瓜因犯规了！                   81'C罗第81分钟扩大比分
84'裁判给了伊瓜因黄牌！                   81'C罗第81分钟扩大比分
84'伊瓜因冲裁判怒吼！                   81'C罗第81分钟扩大比分
84'裁判给了伊瓜因第二张黄牌！                   81'C罗第81分钟扩大比分
83'尤文扩大了比分！                   83'AC米兰第83分钟再遭打击，伊瓜因后场拼抢撞倒贝纳蒂亚，马佐莱尼亮出黄牌，伊瓜因情绪失控出言不逊，马佐莱尼马上掏出红牌将其罚下
84'中场贝纳蒂亚和伊瓜因争顶！                   83'AC米兰第83分钟再遭打击，伊瓜因后场拼抢撞倒贝纳蒂亚，马佐莱尼亮出黄牌，伊瓜因情绪失控出言不逊，马佐莱尼马上掏出红牌将其罚下
84'伊瓜因犯规了！                   83'AC米兰第83分钟再遭打击，伊瓜因后场拼抢撞倒贝纳蒂亚，马佐莱尼亮出黄牌，伊瓜因情绪失控出言不逊，马佐莱尼马上掏出红牌将其罚下
84'裁判给了伊瓜因黄牌！                   83'AC米兰第83分钟再遭打击，伊瓜因后场拼抢撞倒贝纳蒂亚，马佐莱尼亮出黄牌，伊瓜因情绪失控出言不逊，马佐莱尼马上掏出红牌将其罚下
84'伊瓜因冲裁判怒吼！                   83'AC米兰第83分钟再遭打击，伊瓜因后场拼抢撞倒贝纳蒂亚，马佐莱尼亮出黄牌，伊瓜因情绪失控出言不逊，马佐莱尼马上掏出红牌将其罚下
84'裁判给了伊瓜因第二张黄牌！                   83'AC米兰第83分钟再遭打击，伊瓜因后场拼抢撞倒贝纳蒂亚，马佐莱尼亮出黄牌，伊瓜因情绪失控出言不逊，马佐莱尼马上掏出红牌将其罚下
85'两黄变一红罚下！                   83'AC米兰第83分钟再遭打击，伊瓜因后场拼抢撞倒贝纳蒂亚，马佐莱尼亮出黄牌，伊瓜因情绪失控出言不逊，马佐莱尼马上掏出红牌将其罚下
85'伊瓜因愤怒不已！                   83'AC米兰第83分钟再遭打击，伊瓜因后场拼抢撞倒贝纳蒂亚，马佐莱尼亮出黄牌，伊瓜因情绪失控出言不逊，马佐莱尼马上掏出红牌将其罚下
85'要过去找裁判理论！                   83'AC米兰第83分钟再遭打击，伊瓜因后场拼抢撞倒贝纳蒂亚，马佐莱尼亮出黄牌，伊瓜因情绪失控出言不逊，马佐莱尼马上掏出红牌将其罚下
85'队友艰难拉开！                   83'AC米兰第83分钟再遭打击，伊瓜因后场拼抢撞倒贝纳蒂亚，马佐莱尼亮出黄牌，伊瓜因情绪失控出言不逊，马佐莱尼马上掏出红牌将其罚下
85'伊瓜因冷静下来也是黯然神伤！                   83'AC米兰第83分钟再遭打击，伊瓜因后场拼抢撞倒贝纳蒂亚，马佐莱尼亮出黄牌，伊瓜因情绪失控出言不逊，马佐莱尼马上掏出红牌将其罚下
86'第一次面对老东家就被红牌罚下，而且错失了一粒点球。。。                   83'AC米兰第83分钟再遭打击，伊瓜因后场拼抢撞倒贝纳蒂亚，马佐莱尼亮出黄牌，伊瓜因情绪失控出言不逊，马佐莱尼马上掏出红牌将其罚下
