1'上半场比赛开始！！                   1'双方赛前为刚刚去世的巴萨传奇巨星克鲁伊夫默哀1分钟
22'梅西前场中路拿球，横传布斯克茨                   19'第19分钟，拉基蒂奇抢断后分球，佩佩勉强挡出传中球，拉基蒂奇禁区边缘的射门被纳瓦斯神勇扑出左下角
22'布斯克茨斜塞左侧给内马尔                   19'第19分钟，拉基蒂奇抢断后分球，佩佩勉强挡出传中球，拉基蒂奇禁区边缘的射门被纳瓦斯神勇扑出左下角
24'皇马右路的进攻，贝尔强突，被阿尔巴破坏出边线！！                   24'第24分钟，梅西3打3反击机会中突破至禁区边缘在拉莫斯防守下摔倒，裁判未予判罚，全场嘘声四起
24'贝尔掷界外球，手榴弹大力掷到禁区，布拉沃出击接球，差点脱手！！                   24'第24分钟，梅西3打3反击机会中突破至禁区边缘在拉莫斯防守下摔倒，裁判未予判罚，全场嘘声四起
25'莫德里奇右路的直塞球给到C罗                   24'第24分钟，梅西3打3反击机会中突破至禁区边缘在拉莫斯防守下摔倒，裁判未予判罚，全场嘘声四起
25'C罗右路拿球，内切到禁区，直接起脚打门                   24'第24分钟，梅西3打3反击机会中突破至禁区边缘在拉莫斯防守下摔倒，裁判未予判罚，全场嘘声四起
26'被布拉沃鱼跃封堵，巴萨后卫出脚解围！！                   24'第24分钟，梅西3打3反击机会中突破至禁区边缘在拉莫斯防守下摔倒，裁判未予判罚，全场嘘声四起
26'梅西之前中路强突，和拉莫斯在禁区线上相撞倒地                   24'第24分钟，梅西3打3反击机会中突破至禁区边缘在拉莫斯防守下摔倒，裁判未予判罚，全场嘘声四起
26'裁判并未理会，现场巴萨球迷嘘声四起！！                   24'第24分钟，梅西3打3反击机会中突破至禁区边缘在拉莫斯防守下摔倒，裁判未予判罚，全场嘘声四起
27'慢镜回放显示，梅西变向强突，出球后被拉莫斯绊倒，有犯规嫌疑哦                   24'第24分钟，梅西3打3反击机会中突破至禁区边缘在拉莫斯防守下摔倒，裁判未予判罚，全场嘘声四起
25'莫德里奇右路的直塞球给到C罗                   25'皇马首次射门出现在第25分钟，C-罗纳尔多切入禁区右侧的左脚劲射被布拉沃扑出，随后贝尔禁区左侧小角度射门高出
25'C罗右路拿球，内切到禁区，直接起脚打门                   25'皇马首次射门出现在第25分钟，C-罗纳尔多切入禁区右侧的左脚劲射被布拉沃扑出，随后贝尔禁区左侧小角度射门高出
26'被布拉沃鱼跃封堵，巴萨后卫出脚解围！！                   25'皇马首次射门出现在第25分钟，C-罗纳尔多切入禁区右侧的左脚劲射被布拉沃扑出，随后贝尔禁区左侧小角度射门高出
26'梅西之前中路强突，和拉莫斯在禁区线上相撞倒地                   25'皇马首次射门出现在第25分钟，C-罗纳尔多切入禁区右侧的左脚劲射被布拉沃扑出，随后贝尔禁区左侧小角度射门高出
26'裁判并未理会，现场巴萨球迷嘘声四起！！                   25'皇马首次射门出现在第25分钟，C-罗纳尔多切入禁区右侧的左脚劲射被布拉沃扑出，随后贝尔禁区左侧小角度射门高出
27'慢镜回放显示，梅西变向强突，出球后被拉莫斯绊倒，有犯规嫌疑哦                   25'皇马首次射门出现在第25分钟，C-罗纳尔多切入禁区右侧的左脚劲射被布拉沃扑出，随后贝尔禁区左侧小角度射门高出
28'苏亚雷斯前场争抢球权，扬手掀翻了上来的佩佩                   25'皇马首次射门出现在第25分钟，C-罗纳尔多切入禁区右侧的左脚劲射被布拉沃扑出，随后贝尔禁区左侧小角度射门高出
28'佩佩顺势倒地，裁判上来啦                   25'皇马首次射门出现在第25分钟，C-罗纳尔多切入禁区右侧的左脚劲射被布拉沃扑出，随后贝尔禁区左侧小角度射门高出
28'苏亚雷斯被主裁判出示了黄牌警告！！                   25'皇马首次射门出现在第25分钟，C-罗纳尔多切入禁区右侧的左脚劲射被布拉沃扑出，随后贝尔禁区左侧小角度射门高出
56'巴萨的右侧角球，开出到禁区，被皇马球员解围出底线！！                   56'巴萨第56分钟打破僵局，拉基蒂奇开出角球，皮克摆脱佩佩防守后小禁区前头槌破门
56'巴萨再次获得左侧角球机会！！                   56'巴萨第56分钟打破僵局，拉基蒂奇开出角球，皮克摆脱佩佩防守后小禁区前头槌破门
56'开出到前点，拉基蒂奇头球后蹭！！                   56'巴萨第56分钟打破僵局，拉基蒂奇开出角球，皮克摆脱佩佩防守后小禁区前头槌破门
56'卡瓦哈尔解围球没踢远，拉莫斯赶紧大脚解围出底线                   56'巴萨第56分钟打破僵局，拉基蒂奇开出角球，皮克摆脱佩佩防守后小禁区前头槌破门
57'巴萨继续右侧角球！！                   56'巴萨第56分钟打破僵局，拉基蒂奇开出角球，皮克摆脱佩佩防守后小禁区前头槌破门
57'进球啦！！                   56'巴萨第56分钟打破僵局，拉基蒂奇开出角球，皮克摆脱佩佩防守后小禁区前头槌破门
57'皮克的进球！！                   56'巴萨第56分钟打破僵局，拉基蒂奇开出角球，皮克摆脱佩佩防守后小禁区前头槌破门
58'拉基蒂奇角球开出到前点，皮克摆脱佩佩的防守，顶出一记反弹球，钻进球网，纳瓦斯鞭长莫及啦！！                   56'巴萨第56分钟打破僵局，拉基蒂奇开出角球，皮克摆脱佩佩防守后小禁区前头槌破门
58'本泽马左路拿球，停球没停好，出了边线！！                   56'巴萨第56分钟打破僵局，拉基蒂奇开出角球，皮克摆脱佩佩防守后小禁区前头槌破门
59'马塞洛左后场拿球，拉基蒂奇上抢，剪刀腿，放倒了马塞洛                   56'巴萨第56分钟打破僵局，拉基蒂奇开出角球，皮克摆脱佩佩防守后小禁区前头槌破门
59'拉基蒂奇被主裁判出示了黄牌警告！！                   56'巴萨第56分钟打破僵局，拉基蒂奇开出角球，皮克摆脱佩佩防守后小禁区前头槌破门
59'苏亚雷斯右路拿球，强突被拉莫斯上抢破坏出边线！！                   56'巴萨第56分钟打破僵局，拉基蒂奇开出角球，皮克摆脱佩佩防守后小禁区前头槌破门
81'贝尔，头球顶进近角，但裁判吹罚犯规在先，无效！！                   81'第81分钟出现争议，C-罗纳尔多左路传中，贝尔远点小禁区边缘力压阿尔巴头球顶入近角
82'这个判罚值得商榷啊！！                   81'第81分钟出现争议，C-罗纳尔多左路传中，贝尔远点小禁区边缘力压阿尔巴头球顶入近角
82'马塞洛左路拿球，横传C罗                   81'第81分钟出现争议，C-罗纳尔多左路传中，贝尔远点小禁区边缘力压阿尔巴头球顶入近角
82'C罗停球一拨，右脚抽射，击中横梁上沿出底线！！                   81'第81分钟出现争议，C-罗纳尔多左路传中，贝尔远点小禁区边缘力压阿尔巴头球顶入近角
83'皇马前场抢断，过顶球找贝尔                   81'第81分钟出现争议，C-罗纳尔多左路传中，贝尔远点小禁区边缘力压阿尔巴头球顶入近角
83'阿尔巴冒顶，贝尔拿球，面对出击的布拉沃，推射被布拉沃一挡                   81'第81分钟出现争议，C-罗纳尔多左路传中，贝尔远点小禁区边缘力压阿尔巴头球顶入近角
83'球速减慢，阿尔巴回防将球解围                   81'第81分钟出现争议，C-罗纳尔多左路传中，贝尔远点小禁区边缘力压阿尔巴头球顶入近角
84'拉莫斯后场防守中，放倒了背身拿球的苏亚雷斯，犯规                   81'第81分钟出现争议，C-罗纳尔多左路传中，贝尔远点小禁区边缘力压阿尔巴头球顶入近角
84'拉莫斯再被裁判出示了黄牌，两黄变一红，被罚出场外！！                   81'第81分钟出现争议，C-罗纳尔多左路传中，贝尔远点小禁区边缘力压阿尔巴头球顶入近角
84'巴萨获得前场中路的任意球机会                   81'第81分钟出现争议，C-罗纳尔多左路传中，贝尔远点小禁区边缘力压阿尔巴头球顶入近角
84'梅西任意球搓传禁区，苏亚雷斯停球打门，打偏！！                   81'第81分钟出现争议，C-罗纳尔多左路传中，贝尔远点小禁区边缘力压阿尔巴头球顶入近角
46'上半场补时1分钟！！                   46'1分钟后，马塞洛传球，C-罗纳尔多禁区左侧射门击中横梁上沿弹出
46'拉基蒂奇前场中路拿球，禁区弧顶拔脚怒射，打偏！                   46'1分钟后，马塞洛传球，C-罗纳尔多禁区左侧射门击中横梁上沿弹出
46'卡瓦哈尔右路拿球，挑传球找莫德里奇，被伊涅斯塔碰出边线                   46'1分钟后，马塞洛传球，C-罗纳尔多禁区左侧射门击中横梁上沿弹出
46'下半场比赛开始！！                   46'1分钟后，马塞洛传球，C-罗纳尔多禁区左侧射门击中横梁上沿弹出
46'白衣白裤的皇马开球，从画面的左侧向右进攻！！                   46'1分钟后，马塞洛传球，C-罗纳尔多禁区左侧射门击中横梁上沿弹出
46'阿尔巴左路拿球，斜传给到梅西                   46'1分钟后，马塞洛传球，C-罗纳尔多禁区左侧射门击中横梁上沿弹出
47'梅西再给左侧的苏亚雷斯，苏亚雷斯下底没机会                   46'1分钟后，马塞洛传球，C-罗纳尔多禁区左侧射门击中横梁上沿弹出
47'选择回传再给梅西，梅西左脚弧线球搓远端                   46'1分钟后，马塞洛传球，C-罗纳尔多禁区左侧射门击中横梁上沿弹出
47'纳瓦斯出击，单拳打出禁区！！                   46'1分钟后，马塞洛传球，C-罗纳尔多禁区左侧射门击中横梁上沿弹出
47'莫德里奇背身拿球，回传马塞洛，马塞洛大脚解围！！                   46'1分钟后，马塞洛传球，C-罗纳尔多禁区左侧射门击中横梁上沿弹出
48'苏亚雷斯前场拿球，拉莫斯上抢被吹犯规！！                   46'1分钟后，马塞洛传球，C-罗纳尔多禁区左侧射门击中横梁上沿弹出
48'巴萨获得前场中路的任意球机会！！                   46'1分钟后，马塞洛传球，C-罗纳尔多禁区左侧射门击中横梁上沿弹出
48'位置相当不错，球门的正前方！！                   46'1分钟后，马塞洛传球，C-罗纳尔多禁区左侧射门击中横梁上沿弹出
48'梅西任意球直接轰门，放了高射炮！！                   46'1分钟后，马塞洛传球，C-罗纳尔多禁区左侧射门击中横梁上沿弹出
49'梅西连续两脚任意球，都打高了，需要调整啊                   46'1分钟后，马塞洛传球，C-罗纳尔多禁区左侧射门击中横梁上沿弹出
83'皇马前场抢断，过顶球找贝尔                   83'皇马第83分钟遭遇打击，拉莫斯背后铲倒苏亚雷斯得到第2张黄牌被罚下
83'阿尔巴冒顶，贝尔拿球，面对出击的布拉沃，推射被布拉沃一挡                   83'皇马第83分钟遭遇打击，拉莫斯背后铲倒苏亚雷斯得到第2张黄牌被罚下
83'球速减慢，阿尔巴回防将球解围                   83'皇马第83分钟遭遇打击，拉莫斯背后铲倒苏亚雷斯得到第2张黄牌被罚下
84'拉莫斯后场防守中，放倒了背身拿球的苏亚雷斯，犯规                   83'皇马第83分钟遭遇打击，拉莫斯背后铲倒苏亚雷斯得到第2张黄牌被罚下
84'拉莫斯再被裁判出示了黄牌，两黄变一红，被罚出场外！！                   83'皇马第83分钟遭遇打击，拉莫斯背后铲倒苏亚雷斯得到第2张黄牌被罚下
84'巴萨获得前场中路的任意球机会                   83'皇马第83分钟遭遇打击，拉莫斯背后铲倒苏亚雷斯得到第2张黄牌被罚下
84'梅西任意球搓传禁区，苏亚雷斯停球打门，打偏！！                   83'皇马第83分钟遭遇打击，拉莫斯背后铲倒苏亚雷斯得到第2张黄牌被罚下
85'2-1！！                   83'皇马第83分钟遭遇打击，拉莫斯背后铲倒苏亚雷斯得到第2张黄牌被罚下
85'C罗的进球！！                   83'皇马第83分钟遭遇打击，拉莫斯背后铲倒苏亚雷斯得到第2张黄牌被罚下
86'卡瓦哈尔右路拿球内切，球给到赫塞，赫塞再给右侧贝尔，贝尔起球到后点，C罗胸部停球，摆脱防守，右脚低射，打进近角！                   83'皇马第83分钟遭遇打击，拉莫斯背后铲倒苏亚雷斯得到第2张黄牌被罚下
86'皇马后场抢断，给到赫塞                   83'皇马第83分钟遭遇打击，拉莫斯背后铲倒苏亚雷斯得到第2张黄牌被罚下
