6'皇马的进攻赢得角球机会                   6'皇马第6分钟取得领先，克罗斯开出角球，拉莫斯小禁区边缘头球破门
24'不过边裁举旗了，贝尔加拉的越位在先                   21'第21分钟，本泽马禁区左侧回传，马塞洛12码处转身右脚射门擦右侧立柱偏出
27'莫德里奇中场拿球，送直线找前插的本泽马                   27'第27分钟，祖鲁图萨头球摆渡，格拉内罗12码处劲射被拉莫斯封堵，卡瓦哈尔争顶时同对方双双倒地，裁判拒绝判罚点球，主队球迷群起嘘声表示不满
27'边裁举旗，本泽马的越位在先                   27'第27分钟，祖鲁图萨头球摆渡，格拉内罗12码处劲射被拉莫斯封堵，卡瓦哈尔争顶时同对方双双倒地，裁判拒绝判罚点球，主队球迷群起嘘声表示不满
27'皇家社会左路的传中，阿吉雷谢中路跟进一脚抽射                   27'第27分钟，祖鲁图萨头球摆渡，格拉内罗12码处劲射被拉莫斯封堵，卡瓦哈尔争顶时同对方双双倒地，裁判拒绝判罚点球，主队球迷群起嘘声表示不满
27'拉莫斯倒地，奋力将球挡出                   27'第27分钟，祖鲁图萨头球摆渡，格拉内罗12码处劲射被拉莫斯封堵，卡瓦哈尔争顶时同对方双双倒地，裁判拒绝判罚点球，主队球迷群起嘘声表示不满
28'卡瓦哈尔再抢第二落点，和皇家社会球员相撞，重重的摔在地上                   27'第27分钟，祖鲁图萨头球摆渡，格拉内罗12码处劲射被拉莫斯封堵，卡瓦哈尔争顶时同对方双双倒地，裁判拒绝判罚点球，主队球迷群起嘘声表示不满
29'比赛暂时中断，卡瓦哈尔躺地上半天没起来啊                   27'第27分钟，祖鲁图萨头球摆渡，格拉内罗12码处劲射被拉莫斯封堵，卡瓦哈尔争顶时同对方双双倒地，裁判拒绝判罚点球，主队球迷群起嘘声表示不满
29'皇家社会胸前广告中文：钱宝，很惹眼啊                   27'第27分钟，祖鲁图萨头球摆渡，格拉内罗12码处劲射被拉莫斯封堵，卡瓦哈尔争顶时同对方双双倒地，裁判拒绝判罚点球，主队球迷群起嘘声表示不满
30'皇马的前场进攻，莫德里奇过顶球打身后                   27'第27分钟，祖鲁图萨头球摆渡，格拉内罗12码处劲射被拉莫斯封堵，卡瓦哈尔争顶时同对方双双倒地，裁判拒绝判罚点球，主队球迷群起嘘声表示不满
30'贝尔停球，面对出击的祖比卡莱脚后跟横传找本泽马                   27'第27分钟，祖鲁图萨头球摆渡，格拉内罗12码处劲射被拉莫斯封堵，卡瓦哈尔争顶时同对方双双倒地，裁判拒绝判罚点球，主队球迷群起嘘声表示不满
35'皇家社会的角球机会，开出到禁区                   35'皇家社会第35分钟扳回一城，卡斯特罗开出角球，普列托前点头球摆渡，伊尼戈-马丁内斯后点近距离推射破门，1-2
35'混战中，格拉内罗的转身右脚抽射，被后卫挡出底线                   35'皇家社会第35分钟扳回一城，卡斯特罗开出角球，普列托前点头球摆渡，伊尼戈-马丁内斯后点近距离推射破门，1-2
35'皇家社会继续角球机会                   35'皇家社会第35分钟扳回一城，卡斯特罗开出角球，普列托前点头球摆渡，伊尼戈-马丁内斯后点近距离推射破门，1-2
35'进球啦！！！                   35'皇家社会第35分钟扳回一城，卡斯特罗开出角球，普列托前点头球摆渡，伊尼戈-马丁内斯后点近距离推射破门，1-2
36'马丁内斯后点的推射破门！！！                   35'皇家社会第35分钟扳回一城，卡斯特罗开出角球，普列托前点头球摆渡，伊尼戈-马丁内斯后点近距离推射破门，1-2
37'皇家社会右侧角球开出，莫德里奇前点头球解围，蹭到了后点，马丁内斯无人防守下的跟进推射打进，卡西鞭长莫及                   35'皇家社会第35分钟扳回一城，卡斯特罗开出角球，普列托前点头球摆渡，伊尼戈-马丁内斯后点近距离推射破门，1-2
37'卡瓦哈尔中场防守中，放铲铲翻了普列托                   35'皇家社会第35分钟扳回一城，卡斯特罗开出角球，普列托前点头球摆渡，伊尼戈-马丁内斯后点近距离推射破门，1-2
37'卡瓦哈尔被主裁判出示了黄牌警告！！！                   35'皇家社会第35分钟扳回一城，卡斯特罗开出角球，普列托前点头球摆渡，伊尼戈-马丁内斯后点近距离推射破门，1-2
37'马丁内斯刚刚的进球，是皇家社会新赛季的第一个入球                   35'皇家社会第35分钟扳回一城，卡斯特罗开出角球，普列托前点头球摆渡，伊尼戈-马丁内斯后点近距离推射破门，1-2
38'现场的皇家社会球迷，进球后一片欢腾啊                   35'皇家社会第35分钟扳回一城，卡斯特罗开出角球，普列托前点头球摆渡，伊尼戈-马丁内斯后点近距离推射破门，1-2
38'伊斯科中场拿球，带球过了中线送直塞                   35'皇家社会第35分钟扳回一城，卡斯特罗开出角球，普列托前点头球摆渡，伊尼戈-马丁内斯后点近距离推射破门，1-2
38'可惜直接传在了回防的后卫脚后跟上                   35'皇家社会第35分钟扳回一城，卡斯特罗开出角球，普列托前点头球摆渡，伊尼戈-马丁内斯后点近距离推射破门，1-2
41'2-2！！！！                   41'皇家社会第41分钟扳平比分，德拉贝拉左路传中，无人防守的祖鲁图萨10码处强力冲顶入网，2-2
42'祖鲁图萨冲顶打进网窝！！！                   41'皇家社会第41分钟扳平比分，德拉贝拉左路传中，无人防守的祖鲁图萨10码处强力冲顶入网，2-2
42'德拉内拉左路拿球，面对卡瓦哈尔的防守，强突下底传中到中路，祖鲁图萨后排插上冲顶顶进！！！                   41'皇家社会第41分钟扳平比分，德拉贝拉左路传中，无人防守的祖鲁图萨10码处强力冲顶入网，2-2
43'尽管马塞洛已经回来补防，但还是慢了半拍                   41'皇家社会第41分钟扳平比分，德拉贝拉左路传中，无人防守的祖鲁图萨10码处强力冲顶入网，2-2
43'马塞洛左路和J罗的传切配合，可惜前者的挑传球直接出了底线                   41'皇家社会第41分钟扳平比分，德拉贝拉左路传中，无人防守的祖鲁图萨10码处强力冲顶入网，2-2
44'上半场比赛进入尾声，比分2-2                   41'皇家社会第41分钟扳平比分，德拉贝拉左路传中，无人防守的祖鲁图萨10码处强力冲顶入网，2-2
44'德拉贝拉左路拿球，直塞给到阿吉雷谢                   41'皇家社会第41分钟扳平比分，德拉贝拉左路传中，无人防守的祖鲁图萨10码处强力冲顶入网，2-2
48'莫德里奇虚跑，J罗的任意球传中，拉莫斯攻门，顶偏！！！                   48'皇家社会第48分钟险些逆转比分，普列托右路传中，阿吉雷切小禁区边缘头球攻门碰到卡西利亚斯左脚偏出右侧立柱
48'卡瓦哈尔右路的传中球，直接被扎尔多挡出                   48'皇家社会第48分钟险些逆转比分，普列托右路传中，阿吉雷切小禁区边缘头球攻门碰到卡西利亚斯左脚偏出右侧立柱
48'皇家社会后场抢断，卡斯特罗将球控制                   48'皇家社会第48分钟险些逆转比分，普列托右路传中，阿吉雷切小禁区边缘头球攻门碰到卡西利亚斯左脚偏出右侧立柱
48'卡斯特罗带球，中线位置遭遇逼抢，横传给到格拉内罗                   48'皇家社会第48分钟险些逆转比分，普列托右路传中，阿吉雷切小禁区边缘头球攻门碰到卡西利亚斯左脚偏出右侧立柱
49'皇家社会的进攻，普列托的斜传球到禁区，阿吉雷谢的头球攻门                   48'皇家社会第48分钟险些逆转比分，普列托右路传中，阿吉雷切小禁区边缘头球攻门碰到卡西利亚斯左脚偏出右侧立柱
49'卡西利亚斯出击没能碰到，球打在佩佩身上折射出了底线，差一点点啊                   48'皇家社会第48分钟险些逆转比分，普列托右路传中，阿吉雷切小禁区边缘头球攻门碰到卡西利亚斯左脚偏出右侧立柱
50'皇家社会的右侧角球机会，开出到禁区，直接被卡西拿到                   48'皇家社会第48分钟险些逆转比分，普列托右路传中，阿吉雷切小禁区边缘头球攻门碰到卡西利亚斯左脚偏出右侧立柱
51'伊斯科左路拿球，转身强突，斜塞给到本泽马                   48'皇家社会第48分钟险些逆转比分，普列托右路传中，阿吉雷切小禁区边缘头球攻门碰到卡西利亚斯左脚偏出右侧立柱
51'本泽马停球，摆脱防守时，球被后卫伸脚解围出边线                   48'皇家社会第48分钟险些逆转比分，普列托右路传中，阿吉雷切小禁区边缘头球攻门碰到卡西利亚斯左脚偏出右侧立柱
60'皇家社会率先换人：16号卡纳莱斯被换上，换下18号卡斯特罗                   60'第60分钟，贝拉和卡纳莱斯替补出场
60'同时用11号贝拉换下了9号阿吉雷谢                   60'第60分钟，贝拉和卡纳莱斯替补出场
61'贝拉前场右路拿球，横趟一步，起脚打门，被佩佩用身体挡出                   60'第60分钟，贝拉和卡纳莱斯替补出场
61'格拉内罗前场拿球，伊斯科身后上抢，将球破坏                   60'第60分钟，贝拉和卡纳莱斯替补出场
62'伊斯科中场拿球，贝尔加拉身后上抢，拉人犯规                   60'第60分钟，贝拉和卡纳莱斯替补出场
63'贝拉左路前插接应直塞球，卡瓦哈尔回防伸腿绊倒了贝拉                   60'第60分钟，贝拉和卡纳莱斯替补出场
63'卡瓦哈尔已经有一张黄牌在身，主裁判手下留情了啊                   60'第60分钟，贝拉和卡纳莱斯替补出场
75'赫迪拉再想斜传交回前插的卡瓦哈尔，可惜力量轻了点                   75'皇家社会第75分钟扩大比分，贝拉角球混战中小禁区边缘外左脚抽射破门，4-2
75'皇家社会的反击，贝拉左路的强突                   75'皇家社会第75分钟扩大比分，贝拉角球混战中小禁区边缘外左脚抽射破门，4-2
75'贝拉的横传球到禁区，拉莫斯奋力将球挡出底线                   75'皇家社会第75分钟扩大比分，贝拉角球混战中小禁区边缘外左脚抽射破门，4-2
75'皇家社会的左侧角球机会                   75'皇家社会第75分钟扩大比分，贝拉角球混战中小禁区边缘外左脚抽射破门，4-2
75'4-2！！！                   75'皇家社会第75分钟扩大比分，贝拉角球混战中小禁区边缘外左脚抽射破门，4-2
76'贝拉禁区内转身抽射打进！！！                   75'皇家社会第75分钟扩大比分，贝拉角球混战中小禁区边缘外左脚抽射破门，4-2
76'这球慢镜头回放显示，贝拉停球有手球嫌疑啊                   75'皇家社会第75分钟扩大比分，贝拉角球混战中小禁区边缘外左脚抽射破门，4-2
77'皇家社会左侧角球开出，前点无人碰到，弹地后到了贝拉面前，贝拉背身拿球，转身左脚抽射打进！！！                   75'皇家社会第75分钟扩大比分，贝拉角球混战中小禁区边缘外左脚抽射破门，4-2
77'不过这球贝拉停球时，球弹地貌似打在了左手臂上                   75'皇家社会第75分钟扩大比分，贝拉角球混战中小禁区边缘外左脚抽射破门，4-2
78'皇马换人：17号阿韦洛亚上，换下15号卡瓦哈尔                   75'皇家社会第75分钟扩大比分，贝拉角球混战中小禁区边缘外左脚抽射破门，4-2
78'阿韦洛亚右路拿球，横传交给克罗斯                   75'皇家社会第75分钟扩大比分，贝拉角球混战中小禁区边缘外左脚抽射破门，4-2
79'克罗斯短传给J罗，J罗分球给到阿韦洛亚                   79'第79分钟，赫迪拉传球，克罗斯远射偏出
79'阿韦洛亚的边路传中到前点，被后卫头球解围                   79'第79分钟，赫迪拉传球，克罗斯远射偏出
79'皇马继续前场控球，拉莫斯过顶球到右路给阿韦洛亚                   79'第79分钟，赫迪拉传球，克罗斯远射偏出
80'阿韦洛亚的回传给到克罗斯，克罗斯停球，禁区外劲射，打飞                   79'第79分钟，赫迪拉传球，克罗斯远射偏出
81'皇马的前场进攻再次赢得角球机会                   79'第79分钟，赫迪拉传球，克罗斯远射偏出
81'克罗斯开出到前点，无人接应，直接被后卫大脚解围                   79'第79分钟，赫迪拉传球，克罗斯远射偏出
82'伊斯科中场争抢中身后出脚绊倒了贝拉                   79'第79分钟，赫迪拉传球，克罗斯远射偏出
82'伊斯科被主裁判出示了黄牌警告！！！                   79'第79分钟，赫迪拉传球，克罗斯远射偏出
90'哎呀，本泽马，近在咫尺的打门，竟然打飞啦                   90'第90分钟，哈梅斯-罗德里格斯禁区边缘低射被苏比卡莱救下
91'J罗中路抢点垫传，本泽马本身拿球，转身后面对祖比卡莱，一脚劲射，直接踢向了看台                   90'第90分钟，哈梅斯-罗德里格斯禁区边缘低射被苏比卡莱救下
91'下半场比赛补时3分钟                   90'第90分钟，哈梅斯-罗德里格斯禁区边缘低射被苏比卡莱救下
92'J罗右路拿球，面对逼抢，转身后横传中间                   90'第90分钟，哈梅斯-罗德里格斯禁区边缘低射被苏比卡莱救下
92'直接被埃卢斯顿多出来，将球断掉                   90'第90分钟，哈梅斯-罗德里格斯禁区边缘低射被苏比卡莱救下
92'皇马中场抢断，做最后的反扑                   90'第90分钟，哈梅斯-罗德里格斯禁区边缘低射被苏比卡莱救下
92'马塞洛前场和队友的配合失误，皇家社会的反击                   90'第90分钟，哈梅斯-罗德里格斯禁区边缘低射被苏比卡莱救下
92'格拉内罗过顶长传找卡纳莱斯                   90'第90分钟，哈梅斯-罗德里格斯禁区边缘低射被苏比卡莱救下
93'卡纳莱斯控球，没有机会快攻，控制下节奏                   90'第90分钟，哈梅斯-罗德里格斯禁区边缘低射被苏比卡莱救下
93'皇家社会中场失误，阿韦洛亚右路进攻                   90'第90分钟，哈梅斯-罗德里格斯禁区边缘低射被苏比卡莱救下
93'阿韦洛亚下底遭遇夹击，失误啦                   90'第90分钟，哈梅斯-罗德里格斯禁区边缘低射被苏比卡莱救下
