2'杨家威左路拿球，面对铲抢，球出边线                   2'第2分钟杨家威本方后场放倒柏佳骏，徐亮任意球开到禁区，曹秉局头球偏出
39'孙凯左路下底传中，没有准头                   39'第39分钟闷局中绿地申花又找到机会，莫雷诺后场传球力量有些大，但恩里克拼速度，在底线附近拿下皮球，接着他传到禁区，曹曹S定跟进怒射还是打高
39'右路姜嘉俊再起球，被王寿挺头球解围                   39'第39分钟闷局中绿地申花又找到机会，莫雷诺后场传球力量有些大，但恩里克拼速度，在底线附近拿下皮球，接着他传到禁区，曹曹S定跟进怒射还是打高
40'恩里克中场拿球，回敲莫雷诺                   39'第39分钟闷局中绿地申花又找到机会，莫雷诺后场传球力量有些大，但恩里克拼速度，在底线附近拿下皮球，接着他传到禁区，曹曹S定跟进怒射还是打高
40'莫雷诺·外脚背送右路身后，恩里克插上回传门前                   39'第39分钟闷局中绿地申花又找到机会，莫雷诺后场传球力量有些大，但恩里克拼速度，在底线附近拿下皮球，接着他传到禁区，曹曹S定跟进怒射还是打高
40'曹赟定斜插过来，门前抢点打偏了！                   39'第39分钟闷局中绿地申花又找到机会，莫雷诺后场传球力量有些大，但恩里克拼速度，在底线附近拿下皮球，接着他传到禁区，曹曹S定跟进怒射还是打高
41'申花禁区前配合被破坏出去，外围王寿挺拼抢放倒叶重秋                   39'第39分钟闷局中绿地申花又找到机会，莫雷诺后场传球力量有些大，但恩里克拼速度，在底线附近拿下皮球，接着他传到禁区，曹曹S定跟进怒射还是打高
41'王赟中场拿球，王长庆背后的拼抢动作比较大                   39'第39分钟闷局中绿地申花又找到机会，莫雷诺后场传球力量有些大，但恩里克拼速度，在底线附近拿下皮球，接着他传到禁区，曹曹S定跟进怒射还是打高
42'王赟坐在场地上，队友把球踢出边线                   39'第39分钟闷局中绿地申花又找到机会，莫雷诺后场传球力量有些大，但恩里克拼速度，在底线附近拿下皮球，接着他传到禁区，曹曹S定跟进怒射还是打高
42'两队队员都趁机集体到场边补水                   39'第39分钟闷局中绿地申花又找到机会，莫雷诺后场传球力量有些大，但恩里克拼速度，在底线附近拿下皮球，接着他传到禁区，曹曹S定跟进怒射还是打高
44'比亚特里右路传中，被拦截                   44'第44分钟绿地申花前场反击，恩里克接曹S定传球后，强行内切到中路起脚轰门打高
44'王赟送左路沿边线的直塞，徐亮补防过来把球铲出去                   44'第44分钟绿地申花前场反击，恩里克接曹S定传球后，强行内切到中路起脚轰门打高
44'王长庆因为之前的犯规被补了一张黄牌                   44'第44分钟绿地申花前场反击，恩里克接曹S定传球后，强行内切到中路起脚轰门打高
45'莫雷诺后场把球送到前场，4打4                   44'第44分钟绿地申花前场反击，恩里克接曹S定传球后，强行内切到中路起脚轰门打高
45'恩里克左路拿球内切，禁区前远射高了！                   44'第44分钟绿地申花前场反击，恩里克接曹S定传球后，强行内切到中路起脚轰门打高
46'王赟左路传中到门前，邱盛炯把球拿到                   44'第44分钟绿地申花前场反击，恩里克接曹S定传球后，强行内切到中路起脚轰门打高
46'上半场补时1分钟！                   44'第44分钟绿地申花前场反击，恩里克接曹S定传球后，强行内切到中路起脚轰门打高
46'申花中场传球失误了                   44'第44分钟绿地申花前场反击，恩里克接曹S定传球后，强行内切到中路起脚轰门打高
46'恩里克拉人犯规，拉倒了王赟                   44'第44分钟绿地申花前场反击，恩里克接曹S定传球后，强行内切到中路起脚轰门打高
46'裁判黄牌警告了恩里克                   44'第44分钟绿地申花前场反击，恩里克接曹S定传球后，强行内切到中路起脚轰门打高
46'申鑫任意球回敲                   44'第44分钟绿地申花前场反击，恩里克接曹S定传球后，强行内切到中路起脚轰门打高
47'上半场比赛结束！                   44'第44分钟绿地申花前场反击，恩里克接曹S定传球后，强行内切到中路起脚轰门打高
46'下半场比赛开始！                   44'第44分钟绿地申花前场反击，恩里克接曹S定传球后，强行内切到中路起脚轰门打高
46'申鑫中圈开球                   44'第44分钟绿地申花前场反击，恩里克接曹S定传球后，强行内切到中路起脚轰门打高
46'开球不久就丢了，申花斜传禁区前                   44'第44分钟绿地申花前场反击，恩里克接曹S定传球后，强行内切到中路起脚轰门打高
46'恩里克倒地了，裁判示意比赛继续                   44'第44分钟绿地申花前场反击，恩里克接曹S定传球后，强行内切到中路起脚轰门打高
47'林裕焕头球回点给门将                   44'第44分钟绿地申花前场反击，恩里克接曹S定传球后，强行内切到中路起脚轰门打高
47'高迪中场争高球，姜嘉俊拉人了                   44'第44分钟绿地申花前场反击，恩里克接曹S定传球后，强行内切到中路起脚轰门打高
47'比亚特里禁区前和莫雷诺的配合，传球力量小了                   44'第44分钟绿地申花前场反击，恩里克接曹S定传球后，强行内切到中路起脚轰门打高
65'查尔顿右路传中去后点，邱盛炯把球扑住                   65'由于两队体力消耗巨大，今天的中场休息接近20分钟
66'申花后场长传球，乔尼头球后蹭，刘殿座拿到                   65'由于两队体力消耗巨大，今天的中场休息接近20分钟
66'杨家威中路突破，球被徐亮踢出边线                   65'由于两队体力消耗巨大，今天的中场休息接近20分钟
66'查尔顿右路拿球，传中这次去前点，直接出底线                   65'由于两队体力消耗巨大，今天的中场休息接近20分钟
67'王赟右路拿球，转移另一侧                   65'由于两队体力消耗巨大，今天的中场休息接近20分钟
67'孙凯左路下底传中，被头球解围                   65'由于两队体力消耗巨大，今天的中场休息接近20分钟
67'高迪左路突破被阻挡                   65'由于两队体力消耗巨大，今天的中场休息接近20分钟
68'杨家威右路底线前拿球，还是倒出来                   65'由于两队体力消耗巨大，今天的中场休息接近20分钟
68'恩里克断球，直接转移右路，莫雷诺拿到                   65'由于两队体力消耗巨大，今天的中场休息接近20分钟
51'徐亮任意球直接射门，打偏了！                   51'第51分钟莫雷诺中路横拨，左路跟上的高迪调整后射门，被林裕焕挡出
52'KK丿康康;20:45:56 申鑫加油～～（都加油）                   51'第51分钟莫雷诺中路横拨，左路跟上的高迪调整后射门，被林裕焕挡出
52'高迪接莫雷诺塞球进禁区，斜射被挡出底线，角球                   51'第51分钟莫雷诺中路横拨，左路跟上的高迪调整后射门，被林裕焕挡出
53'高迪角球高度不够                   51'第51分钟莫雷诺中路横拨，左路跟上的高迪调整后射门，被林裕焕挡出
53'禁区前王寿挺远射被封堵                   51'第51分钟莫雷诺中路横拨，左路跟上的高迪调整后射门，被林裕焕挡出
53'柏佳俊左路传中被挡出                   51'第51分钟莫雷诺中路横拨，左路跟上的高迪调整后射门，被林裕焕挡出
53'王寿挺下底再传，乔尼头球解围                   51'第51分钟莫雷诺中路横拨，左路跟上的高迪调整后射门，被林裕焕挡出
54'申鑫反击人数不够，只能延缓一下节奏                   51'第51分钟莫雷诺中路横拨，左路跟上的高迪调整后射门，被林裕焕挡出
54'杨家威左路拿球内切，禁区前远射打高！                   51'第51分钟莫雷诺中路横拨，左路跟上的高迪调整后射门，被林裕焕挡出
53'高迪角球高度不够                   53'第53分钟恩里克带入腹地后传给高迪，接着高迪第一时间送给左路等待的比亚特里，后者带球内切射门稍稍偏出
53'禁区前王寿挺远射被封堵                   53'第53分钟恩里克带入腹地后传给高迪，接着高迪第一时间送给左路等待的比亚特里，后者带球内切射门稍稍偏出
53'柏佳俊左路传中被挡出                   53'第53分钟恩里克带入腹地后传给高迪，接着高迪第一时间送给左路等待的比亚特里，后者带球内切射门稍稍偏出
53'王寿挺下底再传，乔尼头球解围                   53'第53分钟恩里克带入腹地后传给高迪，接着高迪第一时间送给左路等待的比亚特里，后者带球内切射门稍稍偏出
54'申鑫反击人数不够，只能延缓一下节奏                   53'第53分钟恩里克带入腹地后传给高迪，接着高迪第一时间送给左路等待的比亚特里，后者带球内切射门稍稍偏出
54'杨家威左路拿球内切，禁区前远射打高！                   53'第53分钟恩里克带入腹地后传给高迪，接着高迪第一时间送给左路等待的比亚特里，后者带球内切射门稍稍偏出
55'用户3022480543：高迪要进球，安队进球了，周海滨半场都进3个了（这么猛啊。。）                   53'第53分钟恩里克带入腹地后传给高迪，接着高迪第一时间送给左路等待的比亚特里，后者带球内切射门稍稍偏出
56'恩里克中路突破分球，给到高迪                   53'第53分钟恩里克带入腹地后传给高迪，接着高迪第一时间送给左路等待的比亚特里，后者带球内切射门稍稍偏出
56'高迪再推给禁区线上的比亚特里，后者调整一步，低射打偏！                   53'第53分钟恩里克带入腹地后传给高迪，接着高迪第一时间送给左路等待的比亚特里，后者带球内切射门稍稍偏出
58'申鑫换人，查尔顿换下刘俊楠                   58'第58分钟绿地申花换到右路再打，王长庆助攻上前怒射打高
58'成耀东过来又把查尔顿拉回去了，先不换                   58'第58分钟绿地申花换到右路再打，王长庆助攻上前怒射打高
58'林裕焕在之前的禁区内封堵时受伤倒地                   58'第58分钟绿地申花换到右路再打，王长庆助攻上前怒射打高
59'林裕焕下去接受治疗，比赛继续                   58'第58分钟绿地申花换到右路再打，王长庆助攻上前怒射打高
59'王长庆右路内切突破，传中直接出了底线                   58'第58分钟绿地申花换到右路再打，王长庆助攻上前怒射打高
60'申鑫换人，查尔顿上，换下的是叶重秋                   58'第58分钟绿地申花换到右路再打，王长庆助攻上前怒射打高
61'姜嘉俊右路传中，曹秉局头球解围                   58'第58分钟绿地申花换到右路再打，王长庆助攻上前怒射打高
61'刘俊楠禁区前拿球，给到王赟，拿到一个角球                   58'第58分钟绿地申花换到右路再打，王长庆助攻上前怒射打高
60'申鑫换人，查尔顿上，换下的是叶重秋                   60'第60分钟王S在多人夹击中强行转身射门造成角球，虽然他的角球开得不错，但手缠绷带的林裕焕在莫雷诺逼迫下起脚射门未果
61'姜嘉俊右路传中，曹秉局头球解围                   60'第60分钟王S在多人夹击中强行转身射门造成角球，虽然他的角球开得不错，但手缠绷带的林裕焕在莫雷诺逼迫下起脚射门未果
61'刘俊楠禁区前拿球，给到王赟，拿到一个角球                   60'第60分钟王S在多人夹击中强行转身射门造成角球，虽然他的角球开得不错，但手缠绷带的林裕焕在莫雷诺逼迫下起脚射门未果
62'角球去后点，林裕焕在逼抢下把球停出了底线                   60'第60分钟王S在多人夹击中强行转身射门造成角球，虽然他的角球开得不错，但手缠绷带的林裕焕在莫雷诺逼迫下起脚射门未果
63'唐家庶斜传左路，刘俊楠下底突破出底线                   60'第60分钟王S在多人夹击中强行转身射门造成角球，虽然他的角球开得不错，但手缠绷带的林裕焕在莫雷诺逼迫下起脚射门未果
63'恩里克回撤拿球，和队友配合                   60'第60分钟王S在多人夹击中强行转身射门造成角球，虽然他的角球开得不错，但手缠绷带的林裕焕在莫雷诺逼迫下起脚射门未果
69'莫雷诺传中，出底线                   69'第69分钟，吴毅臻换下于涛
69'用户5232672254：恩里克之前老是助攻队友 终于自己也进球了（进球终于到来了！）                   69'第69分钟，吴毅臻换下于涛
70'申鑫肋部直塞进禁区，刘俊楠拿球被踢出底线，角球                   69'第69分钟，吴毅臻换下于涛
70'申鑫换人，于涛被吴毅臻换下                   69'第69分钟，吴毅臻换下于涛
70'申鑫角球没有威胁，申花的反击                   69'第69分钟，吴毅臻换下于涛
71'恩里克一路带球到禁区前，推远角擦着立柱偏出！                   69'第69分钟，吴毅臻换下于涛
71'申花换人，徐亮被郑凯木换下                   69'第69分钟，吴毅臻换下于涛
71'徐亮看起来不能坚持了，被担架抬下                   69'第69分钟，吴毅臻换下于涛
72'高迪回撤拿球被断                   69'第69分钟，吴毅臻换下于涛
72'杨家威右路传中，直接给出了底线                   69'第69分钟，吴毅臻换下于涛
71'恩里克一路带球到禁区前，推远角擦着立柱偏出！                   71'第71分钟郑凯木换下受伤的徐亮
71'申花换人，徐亮被郑凯木换下                   71'第71分钟郑凯木换下受伤的徐亮
71'徐亮看起来不能坚持了，被担架抬下                   71'第71分钟郑凯木换下受伤的徐亮
72'高迪回撤拿球被断                   71'第71分钟郑凯木换下受伤的徐亮
72'杨家威右路传中，直接给出了底线                   71'第71分钟郑凯木换下受伤的徐亮
73'申鑫中场断球，过顶球传过去被郑凯木解围                   71'第71分钟郑凯木换下受伤的徐亮
74'曹赟定前场接应，被破坏                   71'第71分钟郑凯木换下受伤的徐亮
74'申鑫长传反击，杨家威越位                   71'第71分钟郑凯木换下受伤的徐亮
74'刘俊楠抽筋了                   71'第71分钟郑凯木换下受伤的徐亮
82'王赟角球去后点，恩里克头球先解围                   82'第82分钟绿地申花用保罗换下比亚特里
82'外围姜嘉俊再起球，禁区内查尔顿先犯规                   82'第82分钟绿地申花用保罗换下比亚特里
82'高迪左路拿球，交给身后插上的柏佳俊，传丢了                   82'第82分钟绿地申花用保罗换下比亚特里
83'申花换人，保罗换下比亚特里                   82'第82分钟绿地申花用保罗换下比亚特里
83'申鑫中场传球也失误了                   82'第82分钟绿地申花用保罗换下比亚特里
84'高迪左路拿球，斜射直接打高了                   82'第82分钟绿地申花用保罗换下比亚特里
84'林裕焕斜传进禁区，查尔顿头球摆渡出底线                   82'第82分钟绿地申花用保罗换下比亚特里
85'林裕焕分右路，柏佳俊上抢解围                   82'第82分钟绿地申花用保罗换下比亚特里
85'恩里克中场过人被破坏                   82'第82分钟绿地申花用保罗换下比亚特里
87'邱盛炯拖延时间被黄牌警告                   87'第87分钟绿地申花用战怡麟换下曹S定，此时邱盛炯因拖延时间吃到黄牌
87'申花反击，恩里克进禁区，横敲门前，曹赟定包抄慢了                   87'第87分钟绿地申花用战怡麟换下曹S定，此时邱盛炯因拖延时间吃到黄牌
88'王赟直塞进禁区，曹秉局卡住身位，让球出底线                   87'第87分钟绿地申花用战怡麟换下曹S定，此时邱盛炯因拖延时间吃到黄牌
88'申花换人，战怡麟换下曹赟定                   87'第87分钟绿地申花用战怡麟换下曹S定，此时邱盛炯因拖延时间吃到黄牌
89'吴毅臻左路内切，球趟大了                   87'第87分钟绿地申花用战怡麟换下曹S定，此时邱盛炯因拖延时间吃到黄牌
89'王赟中场反抢绊倒了莫雷诺犯规                   87'第87分钟绿地申花用战怡麟换下曹S定，此时邱盛炯因拖延时间吃到黄牌
90'高迪底线前拿球，回做禁区前，没有射门机会                   87'第87分钟绿地申花用战怡麟换下曹S定，此时邱盛炯因拖延时间吃到黄牌
90'王长庆右路前插断球，强行传中拿到一个角球                   87'第87分钟绿地申花用战怡麟换下曹S定，此时邱盛炯因拖延时间吃到黄牌
90'下半场补时3分钟！                   87'第87分钟绿地申花用战怡麟换下曹S定，此时邱盛炯因拖延时间吃到黄牌
93'申花进球了！！！                   93'第93分钟申鑫进攻再次造成后场空虚，恩里克快攻带球到前场，面对乔尼横传给莫雷诺，后者带球时绊了一下，但他轻巧带开扑出来的刘殿座，用“剪刀脚”射门打进第二球
93'莫雷诺！！！                   93'第93分钟申鑫进攻再次造成后场空虚，恩里克快攻带球到前场，面对乔尼横传给莫雷诺，后者带球时绊了一下，但他轻巧带开扑出来的刘殿座，用“剪刀脚”射门打进第二球
94'莫雷诺中场断球，直塞禁区内恩里克，恩里克面对门将再横敲，莫雷诺第一下没有打上，调整一下再射，还是进了！                   93'第93分钟申鑫进攻再次造成后场空虚，恩里克快攻带球到前场，面对乔尼横传给莫雷诺，后者带球时绊了一下，但他轻巧带开扑出来的刘殿座，用“剪刀脚”射门打进第二球
94'申花2-0锁定了胜局！                   93'第93分钟申鑫进攻再次造成后场空虚，恩里克快攻带球到前场，面对乔尼横传给莫雷诺，后者带球时绊了一下，但他轻巧带开扑出来的刘殿座，用“剪刀脚”射门打进第二球
94'申鑫中场开球                   93'第93分钟申鑫进攻再次造成后场空虚，恩里克快攻带球到前场，面对乔尼横传给莫雷诺，后者带球时绊了一下，但他轻巧带开扑出来的刘殿座，用“剪刀脚”射门打进第二球
94'全场比赛结束！                   93'第93分钟申鑫进攻再次造成后场空虚，恩里克快攻带球到前场，面对乔尼横传给莫雷诺，后者带球时绊了一下，但他轻巧带开扑出来的刘殿座，用“剪刀脚”射门打进第二球
