2'主裁判一声哨响，上半场比赛开始                   1'建业队第1分钟就发动攻势，一脚长传到前场找到巴索戈，后者转身抽射打飞了
40'河南建业队控球反击                   38'第38分钟，亚泰制造威胁，马里尼奥开场前场左侧任意球，建业外援多奇卡尔在前点解围失误，球折向本方小禁区左侧，亚泰后卫孙捷无人防守起跳冲顶，但却差之毫厘未能顶上皮球
40'何超回防拉倒了巴索戈！河南建业队获得前场的任意球机会                   38'第38分钟，亚泰制造威胁，马里尼奥开场前场左侧任意球，建业外援多奇卡尔在前点解围失误，球折向本方小禁区左侧，亚泰后卫孙捷无人防守起跳冲顶，但却差之毫厘未能顶上皮球
41'任意球开出来，转移到左侧柯钊的脚下，再分球给罗恒，后者大范围转移球                   38'第38分钟，亚泰制造威胁，马里尼奥开场前场左侧任意球，建业外援多奇卡尔在前点解围失误，球折向本方小禁区左侧，亚泰后卫孙捷无人防守起跳冲顶，但却差之毫厘未能顶上皮球
41'巴索戈突破，一对一想过张笑非，没有成功                   38'第38分钟，亚泰制造威胁，马里尼奥开场前场左侧任意球，建业外援多奇卡尔在前点解围失误，球折向本方小禁区左侧，亚泰后卫孙捷无人防守起跳冲顶，但却差之毫厘未能顶上皮球
41'冯卓毅外围控球，再转移到杨阔的脚下，后者突破也没有成功                   38'第38分钟，亚泰制造威胁，马里尼奥开场前场左侧任意球，建业外援多奇卡尔在前点解围失误，球折向本方小禁区左侧，亚泰后卫孙捷无人防守起跳冲顶，但却差之毫厘未能顶上皮球
41'比赛进行40分钟了，场上比分长春亚泰队1－0领先河南建业队！                   38'第38分钟，亚泰制造威胁，马里尼奥开场前场左侧任意球，建业外援多奇卡尔在前点解围失误，球折向本方小禁区左侧，亚泰后卫孙捷无人防守起跳冲顶，但却差之毫厘未能顶上皮球
48'长春亚泰队界外球                   48'第48分钟，何超犯规吃到一张黄牌
48'主裁判一声哨响，上半场比赛结束！                   48'第48分钟，何超犯规吃到一张黄牌
48'凭借伊哈洛的一粒进球，客场作战的长春亚泰队1－0领先河南建业队！                   48'第48分钟，何超犯规吃到一张黄牌
49'长春亚泰队控球，转移到伊斯梅洛夫脚下，再直传球                   48'第48分钟，何超犯规吃到一张黄牌
49'马里尼奥控球，转移到左侧张笑非的脚下，后者起球传中                   48'第48分钟，何超犯规吃到一张黄牌
49'戈麦斯把球破坏出来                   48'第48分钟，何超犯规吃到一张黄牌
49'河南建业队控球快速打反击                   48'第48分钟，何超犯规吃到一张黄牌
49'何超战术犯规，吃到黄牌                   48'第48分钟，何超犯规吃到一张黄牌
49'河南建业队后场的任意球开出来，转移到右侧龙成的脚下，再分球给胡靖航                   48'第48分钟，何超犯规吃到一张黄牌
50'带球推进，转移到中路                   48'第48分钟，何超犯规吃到一张黄牌
50'巴索戈被放倒了                   48'第48分钟，何超犯规吃到一张黄牌
50'河南建业队前场的任意球机会，多奇卡尔来主罚                   48'第48分钟，何超犯规吃到一张黄牌
50'任意球开到禁区内，戈麦斯抢点头球攻门，高了                   48'第48分钟，何超犯规吃到一张黄牌
56'河南建业队再次吊向禁区内，钟晋宝争顶，球直上直下的，门将单手拔了一下，跟着防守队员解围了                   56'第56分钟，陈子介换下胡靖航
56'解围的是张笑非                   56'第56分钟，陈子介换下胡靖航
56'胡靖航好象对刚才的判罚有异议呀                   56'第56分钟，陈子介换下胡靖航
56'河南建业队换人：陈子介上场换下了胡靖航                   56'第56分钟，陈子介换下胡靖航
57'胡靖航下场一直摇头呀，对今天的比赛也是很不满意！                   56'第56分钟，陈子介换下胡靖航
63'杨阔传中球球到禁区内，进攻队员冲撞门将了！                   63'第63分钟，亚泰前场连续进攻，右路李光下底传后倒地中找到后点，伊哈洛轻松推射破门，亚泰客场2-0领先建业
63'长春亚泰队换人：李光上场换下了何超！                   63'第63分钟，亚泰前场连续进攻，右路李光下底传后倒地中找到后点，伊哈洛轻松推射破门，亚泰客场2-0领先建业
63'马里尼奥拖延时间吃到黄牌                   63'第63分钟，亚泰前场连续进攻，右路李光下底传后倒地中找到后点，伊哈洛轻松推射破门，亚泰客场2-0领先建业
64'长春亚泰队中路的挑传球，马里尼奥外围远射，被防守队员挡出来                   63'第63分钟，亚泰前场连续进攻，右路李光下底传后倒地中找到后点，伊哈洛轻松推射破门，亚泰客场2-0领先建业
64'长春亚泰队前场继续控球                   63'第63分钟，亚泰前场连续进攻，右路李光下底传后倒地中找到后点，伊哈洛轻松推射破门，亚泰客场2-0领先建业
64'马里尼奥分球，底线回敲，伊哈洛拔脚劲射，有了！                   63'第63分钟，亚泰前场连续进攻，右路李光下底传后倒地中找到后点，伊哈洛轻松推射破门，亚泰客场2-0领先建业
64'伊哈洛梅开二度，长春亚泰队两球领先了！                   63'第63分钟，亚泰前场连续进攻，右路李光下底传后倒地中找到后点，伊哈洛轻松推射破门，亚泰客场2-0领先建业
65'助攻的是刚刚上场的李光呀！                   63'第63分钟，亚泰前场连续进攻，右路李光下底传后倒地中找到后点，伊哈洛轻松推射破门，亚泰客场2-0领先建业
66'长春亚泰队中场控球，长传球到前场，戈麦斯抢先卡位把球解围出来                   63'第63分钟，亚泰前场连续进攻，右路李光下底传后倒地中找到后点，伊哈洛轻松推射破门，亚泰客场2-0领先建业
66'两球在手的长春亚泰队打得更为稳妥了                   63'第63分钟，亚泰前场连续进攻，右路李光下底传后倒地中找到后点，伊哈洛轻松推射破门，亚泰客场2-0领先建业
66'河南建业队反击，转移，球传到了无人区呀                   63'第63分钟，亚泰前场连续进攻，右路李光下底传后倒地中找到后点，伊哈洛轻松推射破门，亚泰客场2-0领先建业
72'突破传中，不过没有过顶，被防守队员破坏出来                   72'第72分钟，巴索戈起球传中到禁区，陈子介包抄头球攻门稍稍高出
72'巴索戈接多奇卡尔分球，再起球传中                   72'第72分钟，巴索戈起球传中到禁区，陈子介包抄头球攻门稍稍高出
72'陈子介头球攻门，稍稍高过门梁出了底线                   72'第72分钟，巴索戈起球传中到禁区，陈子介包抄头球攻门稍稍高出
73'河南建业队换人：阿布都外力上场换下了柯钊                   72'第72分钟，巴索戈起球传中到禁区，陈子介包抄头球攻门稍稍高出
73'长春亚泰队控球推进，左路传球                   72'第72分钟，巴索戈起球传中到禁区，陈子介包抄头球攻门稍稍高出
73'伊哈洛小角度打门被吴龑给挡出来                   72'第72分钟，巴索戈起球传中到禁区，陈子介包抄头球攻门稍稍高出
74'河南建业队控球快速打反击，转移到右路                   72'第72分钟，巴索戈起球传中到禁区，陈子介包抄头球攻门稍稍高出
74'巴索戈突破没有成功，球被对方破坏出边线                   72'第72分钟，巴索戈起球传中到禁区，陈子介包抄头球攻门稍稍高出
75'冯卓毅横向转移球到杨阔的脚下，再直传球给多奇卡尔                   72'第72分钟，巴索戈起球传中到禁区，陈子介包抄头球攻门稍稍高出
75'多奇卡尔盘带一下，低平球传到禁区内，陈子介起动慢了些！                   72'第72分钟，巴索戈起球传中到禁区，陈子介包抄头球攻门稍稍高出
75'球被门将得到！                   72'第72分钟，巴索戈起球传中到禁区，陈子介包抄头球攻门稍稍高出
73'河南建业队换人：阿布都外力上场换下了柯钊                   73'第73分钟，亚泰险些再次进球，左边路斜塞找到了伊哈洛，伊哈洛单刀突入禁区小角度打门，皮球被吴龑挡出去
73'长春亚泰队控球推进，左路传球                   73'第73分钟，亚泰险些再次进球，左边路斜塞找到了伊哈洛，伊哈洛单刀突入禁区小角度打门，皮球被吴龑挡出去
73'伊哈洛小角度打门被吴龑给挡出来                   73'第73分钟，亚泰险些再次进球，左边路斜塞找到了伊哈洛，伊哈洛单刀突入禁区小角度打门，皮球被吴龑挡出去
74'河南建业队控球快速打反击，转移到右路                   73'第73分钟，亚泰险些再次进球，左边路斜塞找到了伊哈洛，伊哈洛单刀突入禁区小角度打门，皮球被吴龑挡出去
74'巴索戈突破没有成功，球被对方破坏出边线                   73'第73分钟，亚泰险些再次进球，左边路斜塞找到了伊哈洛，伊哈洛单刀突入禁区小角度打门，皮球被吴龑挡出去
75'冯卓毅横向转移球到杨阔的脚下，再直传球给多奇卡尔                   73'第73分钟，亚泰险些再次进球，左边路斜塞找到了伊哈洛，伊哈洛单刀突入禁区小角度打门，皮球被吴龑挡出去
75'多奇卡尔盘带一下，低平球传到禁区内，陈子介起动慢了些！                   73'第73分钟，亚泰险些再次进球，左边路斜塞找到了伊哈洛，伊哈洛单刀突入禁区小角度打门，皮球被吴龑挡出去
75'球被门将得到！                   73'第73分钟，亚泰险些再次进球，左边路斜塞找到了伊哈洛，伊哈洛单刀突入禁区小角度打门，皮球被吴龑挡出去
76'进入补水时间                   73'第73分钟，亚泰险些再次进球，左边路斜塞找到了伊哈洛，伊哈洛单刀突入禁区小角度打门，皮球被吴龑挡出去
80'河南建业队右路的传球被破坏出来                   80'第80分钟，长春亚泰队外围继续控球，左路张笑非的传球太靠近门将被没收
80'长春亚泰队控球，斜传球转移到左侧                   80'第80分钟，长春亚泰队外围继续控球，左路张笑非的传球太靠近门将被没收
80'二过一下底传中球被拦截                   80'第80分钟，长春亚泰队外围继续控球，左路张笑非的传球太靠近门将被没收
80'长春亚泰队外围继续控球，左路张笑非的传球太靠近门将了，被没收                   80'第80分钟，长春亚泰队外围继续控球，左路张笑非的传球太靠近门将被没收
80'照这样踢下去，河南建业队想进球，太难了！                   80'第80分钟，长春亚泰队外围继续控球，左路张笑非的传球太靠近门将被没收
81'河南建业队换人：杨昌鹏上场换下了龙成                   80'第80分钟，长春亚泰队外围继续控球，左路张笑非的传球太靠近门将被没收
81'河南建业队用完了三个换人的名额！                   80'第80分钟，长春亚泰队外围继续控球，左路张笑非的传球太靠近门将被没收
81'河南建业队进攻赢得角球机会                   80'第80分钟，长春亚泰队外围继续控球，左路张笑非的传球太靠近门将被没收
81'角球开到禁区内，第一点被防守队员抢到顶出来                   80'第80分钟，长春亚泰队外围继续控球，左路张笑非的传球太靠近门将被没收
81'马里尼奥再抢球时犯规                   80'第80分钟，长春亚泰队外围继续控球，左路张笑非的传球太靠近门将被没收
81'比赛进行81分钟了                   80'第80分钟，长春亚泰队外围继续控球，左路张笑非的传球太靠近门将被没收
82'长春亚泰队一名队员倒在地上                   80'第80分钟，长春亚泰队外围继续控球，左路张笑非的传球太靠近门将被没收
83'长春亚泰队换人：张笑非下场换上了于睿                   80'第80分钟，长春亚泰队外围继续控球，左路张笑非的传球太靠近门将被没收
83'河南建业队右路推进，吊向禁区内被挡出来                   80'第80分钟，长春亚泰队外围继续控球，左路张笑非的传球太靠近门将被没收
83'伊哈洛控球打反击，多奇卡尔犯规了                   80'第80分钟，长春亚泰队外围继续控球，左路张笑非的传球太靠近门将被没收
82'长春亚泰队一名队员倒在地上                   82'第82分钟，长春亚泰队换人，张笑非下场换上了于睿
83'长春亚泰队换人：张笑非下场换上了于睿                   82'第82分钟，长春亚泰队换人，张笑非下场换上了于睿
83'河南建业队右路推进，吊向禁区内被挡出来                   82'第82分钟，长春亚泰队换人，张笑非下场换上了于睿
83'伊哈洛控球打反击，多奇卡尔犯规了                   82'第82分钟，长春亚泰队换人，张笑非下场换上了于睿
84'张笑非把队长的袖标给了杜震宇                   82'第82分钟，长春亚泰队换人，张笑非下场换上了于睿
84'长春亚泰队中场的任意球，范晓冬大脚开到前场，对方把球顶回来                   82'第82分钟，长春亚泰队换人，张笑非下场换上了于睿
84'河南建业队控球打反击，走中路渗透，转移到右侧找巴索戈，球被范晓冬抢先拦截下来                   82'第82分钟，长春亚泰队换人，张笑非下场换上了于睿
88'距离球门30米远的地方！                   88'第88分钟，建业任意球机会，多奇卡尔来主罚任意球，开到禁区内，戈麦斯抢点头球攻门，球稍稍偏出了底线
88'任意球直接打门，陈子介与杨昌鹏抢到了一起反而形成了干扰，都没有踢到球！                   88'第88分钟，建业任意球机会，多奇卡尔来主罚任意球，开到禁区内，戈麦斯抢点头球攻门，球稍稍偏出了底线
88'长春亚泰队开球门球                   88'第88分钟，建业任意球机会，多奇卡尔来主罚任意球，开到禁区内，戈麦斯抢点头球攻门，球稍稍偏出了底线
89'河南建业队后场控球，转移球到左侧，钟晋宝拿球被断了                   88'第88分钟，建业任意球机会，多奇卡尔来主罚任意球，开到禁区内，戈麦斯抢点头球攻门，球稍稍偏出了底线
89'不过吹了孙捷的犯规，这哨吹得有点慢呀                   88'第88分钟，建业任意球机会，多奇卡尔来主罚任意球，开到禁区内，戈麦斯抢点头球攻门，球稍稍偏出了底线
89'河南建业队获得前场左侧的任意球机会                   88'第88分钟，建业任意球机会，多奇卡尔来主罚任意球，开到禁区内，戈麦斯抢点头球攻门，球稍稍偏出了底线
90'多奇卡尔来主罚任意球，开到禁区内，戈麦斯抢点头球攻门，球稍稍偏出了底线                   88'第88分钟，建业任意球机会，多奇卡尔来主罚任意球，开到禁区内，戈麦斯抢点头球攻门，球稍稍偏出了底线
90'长春亚泰队长传球被对方拦截                   88'第88分钟，建业任意球机会，多奇卡尔来主罚任意球，开到禁区内，戈麦斯抢点头球攻门，球稍稍偏出了底线
90'长春亚泰队中场控球，杜震宇直塞球被对方得到                   88'第88分钟，建业任意球机会，多奇卡尔来主罚任意球，开到禁区内，戈麦斯抢点头球攻门，球稍稍偏出了底线
91'杜震宇与多奇卡尔发生了争夺                   88'第88分钟，建业任意球机会，多奇卡尔来主罚任意球，开到禁区内，戈麦斯抢点头球攻门，球稍稍偏出了底线
91'下半场比赛将要补时5分钟呀                   88'第88分钟，建业任意球机会，多奇卡尔来主罚任意球，开到禁区内，戈麦斯抢点头球攻门，球稍稍偏出了底线
