7'二次角球还是给中路                   7'第7分钟，维尔贝克传球，卡索拉25码处射门被卡亚封堵
49'边裁先举旗了，越位                   46'1分钟后，泽马伊利传球，潘德夫13码处捅射也被斯泽斯尼没收
49'梅洛这边有些受伤                   46'1分钟后，泽马伊利传球，潘德夫13码处捅射也被斯泽斯尼没收
49'问题应该不大                   46'1分钟后，泽马伊利传球，潘德夫13码处捅射也被斯泽斯尼没收
49'特莱斯左路突破后急停回敲                   46'1分钟后，泽马伊利传球，潘德夫13码处捅射也被斯泽斯尼没收
41'桑切斯！！                   41'阿森纳第41分钟锁定胜局，厄齐尔送出直传，桑切斯禁区左侧趟过切鲁后13码处低射远角入网，3-0
42'阿森纳后场断球直接发动反击，中场的直塞直接打身后，桑切斯反越位后到禁区内，横向的摆脱推射将球打进！                   41'阿森纳第41分钟锁定胜局，厄齐尔送出直传，桑切斯禁区左侧趟过切鲁后13码处低射远角入网，3-0
42'比赛已经失去了悬念                   41'阿森纳第41分钟锁定胜局，厄齐尔送出直传，桑切斯禁区左侧趟过切鲁后13码处低射远角入网，3-0
42'3-0领先的阿森纳是不是已经让比赛失去了悬念？[qiangda]                   41'阿森纳第41分钟锁定胜局，厄齐尔送出直传，桑切斯禁区左侧趟过切鲁后13码处低射远角入网，3-0
42'阿森纳这边获得角球机会                   41'阿森纳第41分钟锁定胜局，厄齐尔送出直传，桑切斯禁区左侧趟过切鲁后13码处低射远角入网，3-0
43'角球送前点，维尔贝克摆渡一下                   41'阿森纳第41分钟锁定胜局，厄齐尔送出直传，桑切斯禁区左侧趟过切鲁后13码处低射远角入网，3-0
43'中路并没有队友的插上                   41'阿森纳第41分钟锁定胜局，厄齐尔送出直传，桑切斯禁区左侧趟过切鲁后13码处低射远角入网，3-0
44'泽马伊利边路防守桑切斯的时候犯规                   41'阿森纳第41分钟锁定胜局，厄齐尔送出直传，桑切斯禁区左侧趟过切鲁后13码处低射远角入网，3-0
44'泽马伊利得到一张黄牌！                   41'阿森纳第41分钟锁定胜局，厄齐尔送出直传，桑切斯禁区左侧趟过切鲁后13码处低射远角入网，3-0
44'阿森纳任意球这边配合上不好                   41'阿森纳第41分钟锁定胜局，厄齐尔送出直传，桑切斯禁区左侧趟过切鲁后13码处低射远角入网，3-0
43'角球送前点，维尔贝克摆渡一下                   43'第43分钟，泽马伊利对桑切斯犯规被罚黄牌
43'中路并没有队友的插上                   43'第43分钟，泽马伊利对桑切斯犯规被罚黄牌
44'泽马伊利边路防守桑切斯的时候犯规                   43'第43分钟，泽马伊利对桑切斯犯规被罚黄牌
44'泽马伊利得到一张黄牌！                   43'第43分钟，泽马伊利对桑切斯犯规被罚黄牌
44'阿森纳任意球这边配合上不好                   43'第43分钟，泽马伊利对桑切斯犯规被罚黄牌
45'斯内德后场拿球被弗拉米尼铲倒                   43'第43分钟，泽马伊利对桑切斯犯规被罚黄牌
45'弗拉米尼也是得到一张黄牌！                   43'第43分钟，泽马伊利对桑切斯犯规被罚黄牌
45'上半场比赛已经临近尾声了                   43'第43分钟，泽马伊利对桑切斯犯规被罚黄牌
46'补时有2分钟！                   43'第43分钟，泽马伊利对桑切斯犯规被罚黄牌
46'阿森纳挑传打左路                   43'第43分钟，泽马伊利对桑切斯犯规被罚黄牌
46'下半场比赛开始！                   43'第43分钟，泽马伊利对桑切斯犯规被罚黄牌
46'下半场比赛由阿森纳开球                   43'第43分钟，泽马伊利对桑切斯犯规被罚黄牌
50'左路再传被弗拉米尼挡出底线                   50'第50分钟，张伯伦突入禁区左侧，他并未选择自己射门，但他给厄齐尔的传中被泽马伊利拦截，穆斯莱拉没收
50'战术角球开出                   50'第50分钟，张伯伦突入禁区左侧，他并未选择自己射门，但他给厄齐尔的传中被泽马伊利拦截，穆斯莱拉没收
50'左路起球送前点                   50'第50分钟，张伯伦突入禁区左侧，他并未选择自己射门，但他给厄齐尔的传中被泽马伊利拦截，穆斯莱拉没收
50'第一点被阿森纳顶了出来                   50'第50分钟，张伯伦突入禁区左侧，他并未选择自己射门，但他给厄齐尔的传中被泽马伊利拦截，穆斯莱拉没收
50'阿森纳反击的机会                   50'第50分钟，张伯伦突入禁区左侧，他并未选择自己射门，但他给厄齐尔的传中被泽马伊利拦截，穆斯莱拉没收
50'梅洛的防守没有看住张伯伦                   50'第50分钟，张伯伦突入禁区左侧，他并未选择自己射门，但他给厄齐尔的传中被泽马伊利拦截，穆斯莱拉没收
51'张伯伦底线横敲被对方后卫先解围了                   50'第50分钟，张伯伦突入禁区左侧，他并未选择自己射门，但他给厄齐尔的传中被泽马伊利拦截，穆斯莱拉没收
51'这球也是非常危险的                   50'第50分钟，张伯伦突入禁区左侧，他并未选择自己射门，但他给厄齐尔的传中被泽马伊利拦截，穆斯莱拉没收
51'加拉塔萨雷中场在换人过后进攻也是加强了                   50'第50分钟，张伯伦突入禁区左侧，他并未选择自己射门，但他给厄齐尔的传中被泽马伊利拦截，穆斯莱拉没收
52'4-0！！                   50'第50分钟，张伯伦突入禁区左侧，他并未选择自己射门，但他给厄齐尔的传中被泽马伊利拦截，穆斯莱拉没收
52'帽子戏法！！维尔贝克！！                   50'第50分钟，张伯伦突入禁区左侧，他并未选择自己射门，但他给厄齐尔的传中被泽马伊利拦截，穆斯莱拉没收
53'阿森纳中场断抢后送到了右路，直塞送禁区内，维尔贝克插上后推射破门！                   50'第50分钟，张伯伦突入禁区左侧，他并未选择自己射门，但他给厄齐尔的传中被泽马伊利拦截，穆斯莱拉没收
53'加拉塔萨雷还没有适应四后卫的时候就又被打进一个。。                   50'第50分钟，张伯伦突入禁区左侧，他并未选择自己射门，但他给厄齐尔的传中被泽马伊利拦截，穆斯莱拉没收
60'加拉塔萨雷前场断球                   60'第60分钟，斯内德直传，斯泽斯尼出击扑倒形成单刀的伊尔马兹被红牌直接罚下，替补门将奥斯皮纳换下桑切斯，伊尔马兹第63分钟将点球射入
60'直塞送禁区内                   60'第60分钟，斯内德直传，斯泽斯尼出击扑倒形成单刀的伊尔马兹被红牌直接罚下，替补门将奥斯皮纳换下桑切斯，伊尔马兹第63分钟将点球射入
61'斯泽斯尼出击放倒了伊尔马兹                   60'第60分钟，斯内德直传，斯泽斯尼出击扑倒形成单刀的伊尔马兹被红牌直接罚下，替补门将奥斯皮纳换下桑切斯，伊尔马兹第63分钟将点球射入
61'斯泽斯尼直接被红牌罚出场外！！！                   60'第60分钟，斯内德直传，斯泽斯尼出击扑倒形成单刀的伊尔马兹被红牌直接罚下，替补门将奥斯皮纳换下桑切斯，伊尔马兹第63分钟将点球射入
61'这球给点球没有任何问题，但给红牌稍微有点严重                   60'第60分钟，斯内德直传，斯泽斯尼出击扑倒形成单刀的伊尔马兹被红牌直接罚下，替补门将奥斯皮纳换下桑切斯，伊尔马兹第63分钟将点球射入
61'阿森纳这边要准备换人了                   60'第60分钟，斯内德直传，斯泽斯尼出击扑倒形成单刀的伊尔马兹被红牌直接罚下，替补门将奥斯皮纳换下桑切斯，伊尔马兹第63分钟将点球射入
62'奥斯皮纳上场换下桑切斯                   60'第60分钟，斯内德直传，斯泽斯尼出击扑倒形成单刀的伊尔马兹被红牌直接罚下，替补门将奥斯皮纳换下桑切斯，伊尔马兹第63分钟将点球射入
62'奥斯皮纳一上来就要扑点球                   60'第60分钟，斯内德直传，斯泽斯尼出击扑倒形成单刀的伊尔马兹被红牌直接罚下，替补门将奥斯皮纳换下桑切斯，伊尔马兹第63分钟将点球射入
63'桑切斯下场也是接受到了球迷的掌声                   60'第60分钟，斯内德直传，斯泽斯尼出击扑倒形成单刀的伊尔马兹被红牌直接罚下，替补门将奥斯皮纳换下桑切斯，伊尔马兹第63分钟将点球射入
63'看看点球，伊尔马兹来主罚                   60'第60分钟，斯内德直传，斯泽斯尼出击扑倒形成单刀的伊尔马兹被红牌直接罚下，替补门将奥斯皮纳换下桑切斯，伊尔马兹第63分钟将点球射入
63'伊尔马兹点球推右路，骗过了门将！                   60'第60分钟，斯内德直传，斯泽斯尼出击扑倒形成单刀的伊尔马兹被红牌直接罚下，替补门将奥斯皮纳换下桑切斯，伊尔马兹第63分钟将点球射入
63'加拉塔萨雷扳回一球                   60'第60分钟，斯内德直传，斯泽斯尼出击扑倒形成单刀的伊尔马兹被红牌直接罚下，替补门将奥斯皮纳换下桑切斯，伊尔马兹第63分钟将点球射入
46'补时有2分钟！                   46'1分钟后，泽马伊利远射被奥斯皮纳没收
46'阿森纳挑传打左路                   46'1分钟后，泽马伊利远射被奥斯皮纳没收
47'切鲁的防守将球大脚解围                   46'1分钟后，泽马伊利远射被奥斯皮纳没收
48'阿森纳在后场倒球                   46'1分钟后，泽马伊利远射被奥斯皮纳没收
48'加拉塔萨雷前场断球后左路突破                   46'1分钟后，泽马伊利远射被奥斯皮纳没收
48'这球阿森纳利用身体优势将球防了下来                   46'1分钟后，泽马伊利远射被奥斯皮纳没收
46'下半场比赛开始！                   46'1分钟后，泽马伊利远射被奥斯皮纳没收
46'下半场比赛由阿森纳开球                   46'1分钟后，泽马伊利远射被奥斯皮纳没收
47'斯内德前场拿球转移到了左路                   46'1分钟后，泽马伊利远射被奥斯皮纳没收
47'队友带球突破被断抢                   46'1分钟后，泽马伊利远射被奥斯皮纳没收
47'阿森纳反击的机会                   46'1分钟后，泽马伊利远射被奥斯皮纳没收
47'桑切斯中场拿球造对方犯规                   46'1分钟后，泽马伊利远射被奥斯皮纳没收
47'桑切斯快发任意球想打身后                   46'1分钟后，泽马伊利远射被奥斯皮纳没收
47'这球是没有送过去                   46'1分钟后，泽马伊利远射被奥斯皮纳没收
49'加拉塔萨雷前场长传送禁区内                   46'1分钟后，泽马伊利远射被奥斯皮纳没收
49'边裁先举旗了，越位                   46'1分钟后，泽马伊利远射被奥斯皮纳没收
49'梅洛这边有些受伤                   46'1分钟后，泽马伊利远射被奥斯皮纳没收
49'问题应该不大                   46'1分钟后，泽马伊利远射被奥斯皮纳没收
49'特莱斯左路突破后急停回敲                   46'1分钟后，泽马伊利远射被奥斯皮纳没收
79'加拉塔萨雷前场拿球转移到边路                   79'第79分钟，梅洛传球，特勒斯左路内切后远射偏出
79'梅洛拿球再分                   79'第79分钟，梅洛传球，特勒斯左路内切后远射偏出
80'特莱斯禁区外围远射将球打偏                   79'第79分钟，梅洛传球，特勒斯左路内切后远射偏出
80'现在加拉塔萨雷配合上少了                   79'第79分钟，梅洛传球，特勒斯左路内切后远射偏出
80'更多的是打远射                   79'第79分钟，梅洛传球，特勒斯左路内切后远射偏出
81'加拉塔萨雷前场断球                   79'第79分钟，梅洛传球，特勒斯左路内切后远射偏出
81'布鲁特右路突破后传中给到后点                   79'第79分钟，梅洛传球，特勒斯左路内切后远射偏出
81'伊尔马兹近距离头槌攻门                   79'第79分钟，梅洛传球，特勒斯左路内切后远射偏出
81'奥斯皮纳一个飞身鱼跃将球扑了出去                   79'第79分钟，梅洛传球，特勒斯左路内切后远射偏出
82'这球奥斯皮纳扑的很漂亮                   79'第79分钟，梅洛传球，特勒斯左路内切后远射偏出
82'加拉塔萨雷这边角球机会                   79'第79分钟，梅洛传球，特勒斯左路内切后远射偏出
82'角球送前点还是被阿森纳顶了出来                   79'第79分钟，梅洛传球，特勒斯左路内切后远射偏出
94'加拉塔萨雷左路起球送中路                   94'阿森纳第94分钟险些再次改写比分，威尔谢尔直传，卡索拉单刀射门越过门将穆斯莱拉滚向空门，卡亚球门线前及时救险解围
94'塞米赫-卡亚将球解围                   94'阿森纳第94分钟险些再次改写比分，威尔谢尔直传，卡索拉单刀射门越过门将穆斯莱拉滚向空门，卡亚球门线前及时救险解围
94'阿森纳中场挑传送左路                   94'阿森纳第94分钟险些再次改写比分，威尔谢尔直传，卡索拉单刀射门越过门将穆斯莱拉滚向空门，卡亚球门线前及时救险解围
94'卡索拉停球后到了禁区内                   94'阿森纳第94分钟险些再次改写比分，威尔谢尔直传，卡索拉单刀射门越过门将穆斯莱拉滚向空门，卡亚球门线前及时救险解围
95'停球有些大，卡索拉轻挑打门                   94'阿森纳第94分钟险些再次改写比分，威尔谢尔直传，卡索拉单刀射门越过门将穆斯莱拉滚向空门，卡亚球门线前及时救险解围
95'球缓缓的往门里走                   94'阿森纳第94分钟险些再次改写比分，威尔谢尔直传，卡索拉单刀射门越过门将穆斯莱拉滚向空门，卡亚球门线前及时救险解围
95'但在门线上还是被后卫破坏出来                   94'阿森纳第94分钟险些再次改写比分，威尔谢尔直传，卡索拉单刀射门越过门将穆斯莱拉滚向空门，卡亚球门线前及时救险解围
