8'左侧的拼抢米兰出界！                   8'开场8分钟，威尔希尔禁区左侧回做，姆希塔良在门前13米处低射击中边网
18'威尔希尔中圈得球转身！被绊倒犯规！                   15'阿森纳第15分钟取得领先
18'另一边卡拉布里亚倒地不起！                   15'阿森纳第15分钟取得领先
46'上半场补时4分钟！                   46'上半时补时阶段第1分钟，维尔贝克中路反击传球被比格利亚铲了一下到禁区左侧，姆希塔良在门前11米处抽射击中远端横梁
46'苏索助跑抽射！打中人墙弹出！                   46'上半时补时阶段第1分钟，维尔贝克中路反击传球被比格利亚铲了一下到禁区左侧，姆希塔良在门前11米处抽射击中远端横梁
46'维尔贝克中路反击推进前场！斜传禁区左侧！                   46'上半时补时阶段第1分钟，维尔贝克中路反击传球被比格利亚铲了一下到禁区左侧，姆希塔良在门前11米处抽射击中远端横梁
47'姆希塔良扣一下！同样位置的爆射！！                   46'上半时补时阶段第1分钟，维尔贝克中路反击传球被比格利亚铲了一下到禁区左侧，姆希塔良在门前11米处抽射击中远端横梁
47'碰！！！                   46'上半时补时阶段第1分钟，维尔贝克中路反击传球被比格利亚铲了一下到禁区左侧，姆希塔良在门前11米处抽射击中远端横梁
47'打中右侧横梁弹出底线！                   46'上半时补时阶段第1分钟，维尔贝克中路反击传球被比格利亚铲了一下到禁区左侧，姆希塔良在门前11米处抽射击中远端横梁
47'博纳文图拉前场抢断！带禁区左侧！回传给恰尔汗奥卢！                   46'上半时补时阶段第1分钟，维尔贝克中路反击传球被比格利亚铲了一下到禁区左侧，姆希塔良在门前11米处抽射击中远端横梁
48'分禁区左侧博纳文图拉！强行突破底线！被断了！                   46'上半时补时阶段第1分钟，维尔贝克中路反击传球被比格利亚铲了一下到禁区左侧，姆希塔良在门前11米处抽射击中远端横梁
48'交给威尔希尔！长传中场！被罗马尼奥利抢断！                   46'上半时补时阶段第1分钟，维尔贝克中路反击传球被比格利亚铲了一下到禁区左侧，姆希塔良在门前11米处抽射击中远端横梁
48'短传苏索！中路突破左脚大力抽射！！！                   46'上半时补时阶段第1分钟，维尔贝克中路反击传球被比格利亚铲了一下到禁区左侧，姆希塔良在门前11米处抽射击中远端横梁
48'球打飞了！！                   46'上半时补时阶段第1分钟，维尔贝克中路反击传球被比格利亚铲了一下到禁区左侧，姆希塔良在门前11米处抽射击中远端横梁
49'扎卡短传威尔希尔！交给科斯切尔尼！                   46'上半时补时阶段第1分钟，维尔贝克中路反击传球被比格利亚铲了一下到禁区左侧，姆希塔良在门前11米处抽射击中远端横梁
49'分左侧科拉希纳茨！回传后场穆斯塔菲！                   46'上半时补时阶段第1分钟，维尔贝克中路反击传球被比格利亚铲了一下到禁区左侧，姆希塔良在门前11米处抽射击中远端横梁
49'长传球偏出右侧边线！                   46'上半时补时阶段第1分钟，维尔贝克中路反击传球被比格利亚铲了一下到禁区左侧，姆希塔良在门前11米处抽射击中远端横梁
49'边线球给出来！争顶后钱伯斯得球！直传前场！                   46'上半时补时阶段第1分钟，维尔贝克中路反击传球被比格利亚铲了一下到禁区左侧，姆希塔良在门前11米处抽射击中远端横梁
49'维尔贝克得球回传中路厄齐尔！直塞禁区右侧！                   46'上半时补时阶段第1分钟，维尔贝克中路反击传球被比格利亚铲了一下到禁区左侧，姆希塔良在门前11米处抽射击中远端横梁
46'裁判哨响！下半场开始！                   46'上半时补时阶段第1分钟，维尔贝克中路反击传球被比格利亚铲了一下到禁区左侧，姆希塔良在门前11米处抽射击中远端横梁
47'博努奇直传右侧苏索！                   46'上半时补时阶段第1分钟，维尔贝克中路反击传球被比格利亚铲了一下到禁区左侧，姆希塔良在门前11米处抽射击中远端横梁
47'转身分右侧卡拉布里亚！直塞球被破坏出边线！                   46'上半时补时阶段第1分钟，维尔贝克中路反击传球被比格利亚铲了一下到禁区左侧，姆希塔良在门前11米处抽射击中远端横梁
48'边线球给出来！苏索得球传中！被挡了一下！                   46'上半时补时阶段第1分钟，维尔贝克中路反击传球被比格利亚铲了一下到禁区左侧，姆希塔良在门前11米处抽射击中远端横梁
48'奥斯皮纳出击得球！                   46'上半时补时阶段第1分钟，维尔贝克中路反击传球被比格利亚铲了一下到禁区左侧，姆希塔良在门前11米处抽射击中远端横梁
48'奥斯皮纳长传中场！拼抢后扎卡得球！                   46'上半时补时阶段第1分钟，维尔贝克中路反击传球被比格利亚铲了一下到禁区左侧，姆希塔良在门前11米处抽射击中远端横梁
48'分右侧钱伯斯！长传前场中路！                   46'上半时补时阶段第1分钟，维尔贝克中路反击传球被比格利亚铲了一下到禁区左侧，姆希塔良在门前11米处抽射击中远端横梁
49'拼抢后扎卡得球！分左侧科拉希纳茨！                   46'上半时补时阶段第1分钟，维尔贝克中路反击传球被比格利亚铲了一下到禁区左侧，姆希塔良在门前11米处抽射击中远端横梁
49'回传扎卡！交给穆斯塔菲！                   46'上半时补时阶段第1分钟，维尔贝克中路反击传球被比格利亚铲了一下到禁区左侧，姆希塔良在门前11米处抽射击中远端横梁
49'分科斯切尔尼！右侧短传扎卡！                   46'上半时补时阶段第1分钟，维尔贝克中路反击传球被比格利亚铲了一下到禁区左侧，姆希塔良在门前11米处抽射击中远端横梁
49'扎卡短传威尔希尔！转身回传扎卡！                   46'上半时补时阶段第1分钟，维尔贝克中路反击传球被比格利亚铲了一下到禁区左侧，姆希塔良在门前11米处抽射击中远端横梁
