3'赫迪拉中圈拿球，横传给到伊斯科                   3'第3分钟，迪马利亚和伊斯科在禁区边缘的射门均被封堵
31'伊斯科身后再反抢，踢翻了戈丁，犯规                   28'第28分钟，科克开出角球，伊斯科防守漏人，无人防守的蒂亚戈前点10码处强力头球冲顶偏出
31'马竞右侧的后场球过顶直传找图兰，科恩特朗将球摆渡给拉莫斯                   28'第28分钟，科克开出角球，伊斯科防守漏人，无人防守的蒂亚戈前点10码处强力头球冲顶偏出
38'慢镜回放显示，戈丁却是在本泽马身后有个轻微的推人动作                   38'第38分钟，迭戈-科斯塔左路摆脱佩佩后传中，图兰禁区弧边缘抽射高出
38'迭戈-科斯塔左路拿球，转身摆脱佩佩                   38'第38分钟，迭戈-科斯塔左路摆脱佩佩后传中，图兰禁区弧边缘抽射高出
38'迭戈-科斯塔拿球底线内切后横传到禁区弧顶                   38'第38分钟，迭戈-科斯塔左路摆脱佩佩后传中，图兰禁区弧边缘抽射高出
38'跟上的队友起脚打门，直接是个高射炮                   38'第38分钟，迭戈-科斯塔左路摆脱佩佩后传中，图兰禁区弧边缘抽射高出
39'C罗前场拿球突破，图兰放铲放翻了C罗                   38'第38分钟，迭戈-科斯塔左路摆脱佩佩后传中，图兰禁区弧边缘抽射高出
39'图兰这次放铲很凶狠，被主裁判出示黄牌警告                   38'第38分钟，迭戈-科斯塔左路摆脱佩佩后传中，图兰禁区弧边缘抽射高出
39'皇马的前场任意球，斜传禁区，并没有形成威胁                   38'第38分钟，迭戈-科斯塔左路摆脱佩佩后传中，图兰禁区弧边缘抽射高出
40'图兰右路拿球，科恩特朗上抢直接踢到了图兰的脚上，犯规                   38'第38分钟，迭戈-科斯塔左路摆脱佩佩后传中，图兰禁区弧边缘抽射高出
40'科恩特朗后场防守时一个明显的手球违例                   38'第38分钟，迭戈-科斯塔左路摆脱佩佩后传中，图兰禁区弧边缘抽射高出
40'科恩特朗再被主裁判出示黄牌警告                   38'第38分钟，迭戈-科斯塔左路摆脱佩佩后传中，图兰禁区弧边缘抽射高出
40'马竞获得前场右侧的任意球机会                   38'第38分钟，迭戈-科斯塔左路摆脱佩佩后传中，图兰禁区弧边缘抽射高出
41'马竞任意球斜传前点，佩佩力压比利亚将球顶出底线                   38'第38分钟，迭戈-科斯塔左路摆脱佩佩后传中，图兰禁区弧边缘抽射高出
41'马竞右侧角球机会，开出                   38'第38分钟，迭戈-科斯塔左路摆脱佩佩后传中，图兰禁区弧边缘抽射高出
41'迭戈-洛佩斯立功啦                   38'第38分钟，迭戈-科斯塔左路摆脱佩佩后传中，图兰禁区弧边缘抽射高出
42'迭戈-洛佩斯门线上将马竞的头球封堵                   42'第42分钟，科克开出角球，戈丁小禁区前头球攻门被迭戈-洛佩斯勉强扑出，迭戈-科斯塔近距离补射又被迭戈-洛佩斯封堵挡出，赫迪拉解围
42'拉莫斯及时回防，直接大脚将球解围                   42'第42分钟，科克开出角球，戈丁小禁区前头球攻门被迭戈-洛佩斯勉强扑出，迭戈-科斯塔近距离补射又被迭戈-洛佩斯封堵挡出，赫迪拉解围
43'慢镜回放：马竞右侧角球开出，米兰达头球攻门，迭戈-洛佩斯门线上将球扑出，迭戈-科斯塔补射又被挡出                   42'第42分钟，科克开出角球，戈丁小禁区前头球攻门被迭戈-洛佩斯勉强扑出，迭戈-科斯塔近距离补射又被迭戈-洛佩斯封堵挡出，赫迪拉解围
44'迭戈-洛佩斯和迭戈-科斯塔为这次拼抢发生了点摩擦，顶牛啦                   42'第42分钟，科克开出角球，戈丁小禁区前头球攻门被迭戈-洛佩斯勉强扑出，迭戈-科斯塔近距离补射又被迭戈-洛佩斯封堵挡出，赫迪拉解围
44'阿韦罗亚前场拿球，科克放铲犯规                   42'第42分钟，科克开出角球，戈丁小禁区前头球攻门被迭戈-洛佩斯勉强扑出，迭戈-科斯塔近距离补射又被迭戈-洛佩斯封堵挡出，赫迪拉解围
44'科克被主裁判出示黄牌警告                   42'第42分钟，科克开出角球，戈丁小禁区前头球攻门被迭戈-洛佩斯勉强扑出，迭戈-科斯塔近距离补射又被迭戈-洛佩斯封堵挡出，赫迪拉解围
44'皇马的任意球斜传禁区，第一点被马竞球员顶出                   42'第42分钟，科克开出角球，戈丁小禁区前头球攻门被迭戈-洛佩斯勉强扑出，迭戈-科斯塔近距离补射又被迭戈-洛佩斯封堵挡出，赫迪拉解围
45'迪马利亚右路拿球，左脚起球到禁区                   42'第42分钟，科克开出角球，戈丁小禁区前头球攻门被迭戈-洛佩斯勉强扑出，迭戈-科斯塔近距离补射又被迭戈-洛佩斯封堵挡出，赫迪拉解围
45'C罗高高跃起的头球攻门，顶高                   42'第42分钟，科克开出角球，戈丁小禁区前头球攻门被迭戈-洛佩斯勉强扑出，迭戈-科斯塔近距离补射又被迭戈-洛佩斯封堵挡出，赫迪拉解围
48'伊拉拉门迪右路的45度斜传球到后点                   48'第48分钟，迭戈-科斯塔被判抬腿过高后不满判罚被黄牌警告
48'科恩特朗的回头望月，直接顶出了底薪                   48'第48分钟，迭戈-科斯塔被判抬腿过高后不满判罚被黄牌警告
48'贝尔的登场，也让皇马在伯纳乌本赛季首次出现“两亿齐飞”                   48'第48分钟，迭戈-科斯塔被判抬腿过高后不满判罚被黄牌警告
48'拉莫斯中线拿球，斜传给到伊斯科                   48'第48分钟，迭戈-科斯塔被判抬腿过高后不满判罚被黄牌警告
49'伊斯科中路拿球，和莫德里奇撞车啦                   48'第48分钟，迭戈-科斯塔被判抬腿过高后不满判罚被黄牌警告
49'马竞球员的解围，迭戈-科斯塔争抢时差点踢到拉莫斯的头上                   48'第48分钟，迭戈-科斯塔被判抬腿过高后不满判罚被黄牌警告
49'这球很明显是迭戈-科斯塔的抬脚过高                   48'第48分钟，迭戈-科斯塔被判抬腿过高后不满判罚被黄牌警告
50'迭戈-科斯塔连续对着裁判抱怨，结果只能领回黄袍穿上啦                   48'第48分钟，迭戈-科斯塔被判抬腿过高后不满判罚被黄牌警告
50'C罗前场任意球斜传禁区，本泽马的头球被戈丁挡出底线                   48'第48分钟，迭戈-科斯塔被判抬腿过高后不满判罚被黄牌警告
51'皇马的角球机会，开出到禁区，并未形成威胁                   48'第48分钟，迭戈-科斯塔被判抬腿过高后不满判罚被黄牌警告
51'皇马下半场换下的是迪马利亚和伊拉拉门迪                   48'第48分钟，迭戈-科斯塔被判抬腿过高后不满判罚被黄牌警告
51'比利亚前场拿球，莫德里奇回防身后踢倒了比利亚                   48'第48分钟，迭戈-科斯塔被判抬腿过高后不满判罚被黄牌警告
61'本泽马和伊斯科前场的配合失误                   61'第61分钟，比利亚直传，迭戈-科斯塔禁区右侧12码处单刀射门被迭戈-洛佩斯用腿挡出，加比跟进再传，比利亚禁区边缘内射门被佩佩飞身封堵
61'马竞的反击，迭戈-科斯塔的单刀                   61'第61分钟，比利亚直传，迭戈-科斯塔禁区右侧12码处单刀射门被迭戈-洛佩斯用腿挡出，加比跟进再传，比利亚禁区边缘内射门被佩佩飞身封堵
61'迭戈-科斯塔带球到禁区，面对迭戈-洛佩斯，劲射被挡出                   61'第61分钟，比利亚直传，迭戈-科斯塔禁区右侧12码处单刀射门被迭戈-洛佩斯用腿挡出，加比跟进再传，比利亚禁区边缘内射门被佩佩飞身封堵
62'比利亚插上再打，被佩佩用身体挡出                   61'第61分钟，比利亚直传，迭戈-科斯塔禁区右侧12码处单刀射门被迭戈-洛佩斯用腿挡出，加比跟进再传，比利亚禁区边缘内射门被佩佩飞身封堵
62'皇马的反击，贝尔拿球中路突破，摔倒在了禁区里                   61'第61分钟，比利亚直传，迭戈-科斯塔禁区右侧12码处单刀射门被迭戈-洛佩斯用腿挡出，加比跟进再传，比利亚禁区边缘内射门被佩佩飞身封堵
62'主裁判鸣哨，吹罚了路易斯的犯规                   61'第61分钟，比利亚直传，迭戈-科斯塔禁区右侧12码处单刀射门被迭戈-洛佩斯用腿挡出，加比跟进再传，比利亚禁区边缘内射门被佩佩飞身封堵
62'路易斯被主裁判出示了黄牌警告                   61'第61分钟，比利亚直传，迭戈-科斯塔禁区右侧12码处单刀射门被迭戈-洛佩斯用腿挡出，加比跟进再传，比利亚禁区边缘内射门被佩佩飞身封堵
63'主裁判给了皇马禁区外的任意球，在禁区弧内                   61'第61分钟，比利亚直传，迭戈-科斯塔禁区右侧12码处单刀射门被迭戈-洛佩斯用腿挡出，加比跟进再传，比利亚禁区边缘内射门被佩佩飞身封堵
63'C罗的任意球攻门，没能压住，直接放了高射炮                   61'第61分钟，比利亚直传，迭戈-科斯塔禁区右侧12码处单刀射门被迭戈-洛佩斯用腿挡出，加比跟进再传，比利亚禁区边缘内射门被佩佩飞身封堵
64'刚刚贝尔的摔倒，慢镜头回放显示，犯规确实是在禁区外                   61'第61分钟，比利亚直传，迭戈-科斯塔禁区右侧12码处单刀射门被迭戈-洛佩斯用腿挡出，加比跟进再传，比利亚禁区边缘内射门被佩佩飞身封堵
64'赫迪拉右路拿球，面对 戈丁的防守，挑球突破                   61'第61分钟，比利亚直传，迭戈-科斯塔禁区右侧12码处单刀射门被迭戈-洛佩斯用腿挡出，加比跟进再传，比利亚禁区边缘内射门被佩佩飞身封堵
65'球还是被戈丁抢先破坏出了边线                   65'第65分钟，伊斯科传球，贝尔大禁区右上角外劲射被库尔图瓦没收
65'迭戈-科斯塔前场和拉莫斯争顶，身后推人犯规                   65'第65分钟，伊斯科传球，贝尔大禁区右上角外劲射被库尔图瓦没收
65'双方犯规：皇马13次，马竞14次                   65'第65分钟，伊斯科传球，贝尔大禁区右上角外劲射被库尔图瓦没收
66'伊斯科前场中路拿球，分边给到右侧的贝尔                   65'第65分钟，伊斯科传球，贝尔大禁区右上角外劲射被库尔图瓦没收
66'贝尔拿球横切，摆脱戈丁，禁区右上角直接拔脚怒射打近角，库尔图瓦将球扑住                   65'第65分钟，伊斯科传球，贝尔大禁区右上角外劲射被库尔图瓦没收
67'拉莫斯后场防守时，身后踢倒了迭戈-科斯塔                   65'第65分钟，伊斯科传球，贝尔大禁区右上角外劲射被库尔图瓦没收
67'拉莫斯又被主裁判出示了黄牌警告                   65'第65分钟，伊斯科传球，贝尔大禁区右上角外劲射被库尔图瓦没收
67'马竞获得前场右侧任意球机会                   65'第65分钟，伊斯科传球，贝尔大禁区右上角外劲射被库尔图瓦没收
68'任意球开出到禁区，科恩特朗的头球解围                   65'第65分钟，伊斯科传球，贝尔大禁区右上角外劲射被库尔图瓦没收
68'图兰右路拿球，强突下底传中，被佩佩挡出底线                   65'第65分钟，伊斯科传球，贝尔大禁区右上角外劲射被库尔图瓦没收
68'马竞再次获得右侧角球，开出直接被迭戈-洛佩斯没收                   65'第65分钟，伊斯科传球，贝尔大禁区右上角外劲射被库尔图瓦没收
70'比利亚禁区外斜塞再给迭戈-科斯塔                   70'第70分钟，科恩特朗传球，C-罗纳尔多左路25码处抽射被库尔图瓦勉强扑出，摩德里奇禁区弧边缘侧身凌空扫射偏出
70'迭戈-科斯塔带球下底，佩佩回防将球破坏出底线                   70'第70分钟，科恩特朗传球，C-罗纳尔多左路25码处抽射被库尔图瓦勉强扑出，摩德里奇禁区弧边缘侧身凌空扫射偏出
70'马竞左侧的角球机会，第一点被皇马球员解围                   70'第70分钟，科恩特朗传球，C-罗纳尔多左路25码处抽射被库尔图瓦勉强扑出，摩德里奇禁区弧边缘侧身凌空扫射偏出
70'贝尔右路拿球反击，速度能起来吗                   70'第70分钟，科恩特朗传球，C-罗纳尔多左路25码处抽射被库尔图瓦勉强扑出，摩德里奇禁区弧边缘侧身凌空扫射偏出
71'贝尔带球，边路再突，被回防的戈丁将球挡出边线                   70'第70分钟，科恩特朗传球，C-罗纳尔多左路25码处抽射被库尔图瓦勉强扑出，摩德里奇禁区弧边缘侧身凌空扫射偏出
71'C罗左路拿球，右脚外脚背一拨，接着起脚抽射，库尔图瓦扑球脱手                   70'第70分钟，科恩特朗传球，C-罗纳尔多左路25码处抽射被库尔图瓦勉强扑出，摩德里奇禁区弧边缘侧身凌空扫射偏出
72'米兰达赶紧一脚解围                   70'第70分钟，科恩特朗传球，C-罗纳尔多左路25码处抽射被库尔图瓦勉强扑出，摩德里奇禁区弧边缘侧身凌空扫射偏出
72'球到了莫德里奇脚下，莫德里奇的远射打飞                   70'第70分钟，科恩特朗传球，C-罗纳尔多左路25码处抽射被库尔图瓦勉强扑出，摩德里奇禁区弧边缘侧身凌空扫射偏出
73'伊斯科前场拿球，横传给到左侧的科恩特朗                   70'第70分钟，科恩特朗传球，C-罗纳尔多左路25码处抽射被库尔图瓦勉强扑出，摩德里奇禁区弧边缘侧身凌空扫射偏出
73'科恩特朗再转移球到右侧给赫迪拉                   70'第70分钟，科恩特朗传球，C-罗纳尔多左路25码处抽射被库尔图瓦勉强扑出，摩德里奇禁区弧边缘侧身凌空扫射偏出
77'莫德里奇右路拿球，准备直塞找阿韦罗亚，可惜还是被马竞球员拦截啦                   77'第77分钟，阿韦罗亚钩倒蒂亚戈得到黄牌
78'阿韦罗亚前场反抢，侧向伸腿绊倒了戈丁                   77'第77分钟，阿韦罗亚钩倒蒂亚戈得到黄牌
78'阿韦罗亚被主裁判出示黄牌警告                   77'第77分钟，阿韦罗亚钩倒蒂亚戈得到黄牌
78'马竞前场左路的横传球被科恩特朗抢断                   77'第77分钟，阿韦罗亚钩倒蒂亚戈得到黄牌
79'科恩特朗短传交给莫德里奇，莫德里奇拿球反击                   77'第77分钟，阿韦罗亚钩倒蒂亚戈得到黄牌
79'莫德里奇斜传给C罗，C罗拿球再挑传                   77'第77分钟，阿韦罗亚钩倒蒂亚戈得到黄牌
79'莫德里奇得球横传到禁区，还是被马竞球员解围                   77'第77分钟，阿韦罗亚钩倒蒂亚戈得到黄牌
80'现场有部分皇马球迷已经落泪啦。。。。                   77'第77分钟，阿韦罗亚钩倒蒂亚戈得到黄牌
81'迭戈-科斯塔前场右路拿球，内切时被佩佩踢翻在地                   81'马竞第81分钟险些扩大比分，迭戈-洛佩斯飞身扑出传中球，科克14码处扣过赫迪拉后射门打中横梁
81'佩佩被主裁判出示黄牌警告                   81'马竞第81分钟险些扩大比分，迭戈-洛佩斯飞身扑出传中球，科克14码处扣过赫迪拉后射门打中横梁
81'马竞获得右边路的任意球，就在大禁区右侧端线外一点点                   81'马竞第81分钟险些扩大比分，迭戈-洛佩斯飞身扑出传中球，科克14码处扣过赫迪拉后射门打中横梁
82'科克任意球横传禁区弧顶，队友的打门被后卫头球解围                   81'马竞第81分钟险些扩大比分，迭戈-洛佩斯飞身扑出传中球，科克14码处扣过赫迪拉后射门打中横梁
82'马竞拿球再攻，左路的传中被迭戈-洛佩斯封堵                   81'马竞第81分钟险些扩大比分，迭戈-洛佩斯飞身扑出传中球，科克14码处扣过赫迪拉后射门打中横梁
82'科克右侧拿球，起脚打门，击中横梁弹回                   81'马竞第81分钟险些扩大比分，迭戈-洛佩斯飞身扑出传中球，科克14码处扣过赫迪拉后射门打中横梁
82'米兰达得球再射，打在后卫身上出底线                   81'马竞第81分钟险些扩大比分，迭戈-洛佩斯飞身扑出传中球，科克14码处扣过赫迪拉后射门打中横梁
82'马竞的左侧角球，并未形成威胁                   81'马竞第81分钟险些扩大比分，迭戈-洛佩斯飞身扑出传中球，科克14码处扣过赫迪拉后射门打中横梁
83'全场比赛82分钟了，比分还是0-1，皇马落后                   81'马竞第81分钟险些扩大比分，迭戈-洛佩斯飞身扑出传中球，科克14码处扣过赫迪拉后射门打中横梁
83'科克左路拿球，阿韦罗亚上抢，绊倒了科克                   81'马竞第81分钟险些扩大比分，迭戈-洛佩斯飞身扑出传中球，科克14码处扣过赫迪拉后射门打中横梁
84'皇马后场抢断，佩佩拿球直塞找莫拉塔                   81'马竞第81分钟险些扩大比分，迭戈-洛佩斯飞身扑出传中球，科克14码处扣过赫迪拉后射门打中横梁
84'佩佩的传球力量稍轻，被马竞球员挡出边线                   81'马竞第81分钟险些扩大比分，迭戈-洛佩斯飞身扑出传中球，科克14码处扣过赫迪拉后射门打中横梁
87'莫拉塔的那次倒勾射门，是皇马全场目前为止最好的得分机会                   87'第87分钟，蒂亚戈左路禁区前弧线球射门偏出远角
87'马竞继续换人：比利亚被换下，换上劳尔-加西亚                   87'第87分钟，蒂亚戈左路禁区前弧线球射门偏出远角
88'马竞前场的进攻，科克禁区左上角的起脚打门，打偏                   87'第87分钟，蒂亚戈左路禁区前弧线球射门偏出远角
89'比赛已经接近尾声，比分还是0-1，皇马落后                   87'第87分钟，蒂亚戈左路禁区前弧线球射门偏出远角
90'马竞第三人换人：罗德里格斯上，换下图兰                   87'第87分钟，蒂亚戈左路禁区前弧线球射门偏出远角
90'皇马前场进攻，莫德里奇禁区外的一脚抽射，没能压住，稍微高出横梁一点点                   87'第87分钟，蒂亚戈左路禁区前弧线球射门偏出远角
90'赫迪拉前场拿球，转身直塞给到莫德里奇                   87'第87分钟，蒂亚戈左路禁区前弧线球射门偏出远角
90'马竞第三人换人：罗德里格斯上，换下图兰                   90'第90分钟，赫迪拉传球，本泽马12码处射门被胡安弗兰封堵，莫拉塔小禁区右侧射门打在边网
90'皇马前场进攻，莫德里奇禁区外的一脚抽射，没能压住，稍微高出横梁一点点                   90'第90分钟，赫迪拉传球，本泽马12码处射门被胡安弗兰封堵，莫拉塔小禁区右侧射门打在边网
90'赫迪拉前场拿球，转身直塞给到莫德里奇                   90'第90分钟，赫迪拉传球，本泽马12码处射门被胡安弗兰封堵，莫拉塔小禁区右侧射门打在边网
91'莫德里奇回传拉莫斯，拉莫斯斜传禁区                   90'第90分钟，赫迪拉传球，本泽马12码处射门被胡安弗兰封堵，莫拉塔小禁区右侧射门打在边网
91'马竞球员解围失误，本泽马迎球一捅                   90'第90分钟，赫迪拉传球，本泽马12码处射门被胡安弗兰封堵，莫拉塔小禁区右侧射门打在边网
91'莫拉塔插上打门，打在了边网上                   90'第90分钟，赫迪拉传球，本泽马12码处射门被胡安弗兰封堵，莫拉塔小禁区右侧射门打在边网
92'下半场比赛补时3分钟                   90'第90分钟，赫迪拉传球，本泽马12码处射门被胡安弗兰封堵，莫拉塔小禁区右侧射门打在边网
92'留给皇马的时间不多了                   90'第90分钟，赫迪拉传球，本泽马12码处射门被胡安弗兰封堵，莫拉塔小禁区右侧射门打在边网
92'皇马所有球员都压到了前场来进攻啦                   90'第90分钟，赫迪拉传球，本泽马12码处射门被胡安弗兰封堵，莫拉塔小禁区右侧射门打在边网
93'科恩特朗的起球打在了罗德里格斯的手臂上                   90'第90分钟，赫迪拉传球，本泽马12码处射门被胡安弗兰封堵，莫拉塔小禁区右侧射门打在边网
93'科恩特朗的起球打在了罗德里格斯的手臂上                   93'第93分钟，库尔图瓦试图拖延时间但拿球不稳，贝尔小禁区左侧的捅射偏出近角
94'莱昂纳多前场拿球，以一敌四啊，不过还是失误啦                   93'第93分钟，库尔图瓦试图拖延时间但拿球不稳，贝尔小禁区左侧的捅射偏出近角
94'皇马后场起球到前场，贝尔争抢时和库尔图瓦撞在了一起                   93'第93分钟，库尔图瓦试图拖延时间但拿球不稳，贝尔小禁区左侧的捅射偏出近角
95'补时3分钟已经过啦                   93'第93分钟，库尔图瓦试图拖延时间但拿球不稳，贝尔小禁区左侧的捅射偏出近角
95'库尔图瓦门球大脚开出到前场                   93'第93分钟，库尔图瓦试图拖延时间但拿球不稳，贝尔小禁区左侧的捅射偏出近角
