5'汪嵩发角球到禁区内，后点啊，头球顶门，偏出                   5'第5分钟，汪嵩角球旋入禁区，石柯力压乌索头球攻门，球稍稍偏出立柱
18'马塞纳，这是鲁能泰山队的旧将                   15'第15分钟，山东鲁能获得任意球，张文钊突然射向前点，戴琳转身打门未能碰到，但是身后杀出的阿洛伊西奥接力打门，球击中立柱弹出
18'洛维左路拿球，直传球被开回来                   15'第15分钟，山东鲁能获得任意球，张文钊突然射向前点，戴琳转身打门未能碰到，但是身后杀出的阿洛伊西奥接力打门，球击中立柱弹出
18'金敬道分球到右路，赵明剑突破横传                   15'第15分钟，山东鲁能获得任意球，张文钊突然射向前点，戴琳转身打门未能碰到，但是身后杀出的阿洛伊西奥接力打门，球击中立柱弹出
18'金敬道传丢啦                   15'第15分钟，山东鲁能获得任意球，张文钊突然射向前点，戴琳转身打门未能碰到，但是身后杀出的阿洛伊西奥接力打门，球击中立柱弹出
23'张文钊发角球到禁区内，赵明剑打门，守门员挡出徕！！                   23'第23分钟，洛维禁区前沿拿球先是左脚假射扣过防守，接着右脚弧线球射门，顾超飞身将球托出
23'洛维左路得球小角度打门！！！又被挡出底线！！！                   23'第23分钟，洛维禁区前沿拿球先是左脚假射扣过防守，接着右脚弧线球射门，顾超飞身将球托出
23'鲁能泰山队越打越勇啦！！                   23'第23分钟，洛维禁区前沿拿球先是左脚假射扣过防守，接着右脚弧线球射门，顾超飞身将球托出
23'洛维开角球！！到禁区内前点，对方解围出来                   23'第23分钟，洛维禁区前沿拿球先是左脚假射扣过防守，接着右脚弧线球射门，顾超飞身将球托出
24'糜昊伦把球破坏出边线！！不让对方打反击！                   23'第23分钟，洛维禁区前沿拿球先是左脚假射扣过防守，接着右脚弧线球射门，顾超飞身将球托出
24'[互动]谁能猜一下最终比赛结果和比分？？？                   23'第23分钟，洛维禁区前沿拿球先是左脚假射扣过防守，接着右脚弧线球射门，顾超飞身将球托出
24'杭州绿城队攻到前场，小角度打门被杨程没收！                   23'第23分钟，洛维禁区前沿拿球先是左脚假射扣过防守，接着右脚弧线球射门，顾超飞身将球托出
25'马塞纳的这脚打门，考验了一下杨程！！                   23'第23分钟，洛维禁区前沿拿球先是左脚假射扣过防守，接着右脚弧线球射门，顾超飞身将球托出
25'赵明剑右咱拿球，挑传球，洛维横传，对方把球破坏出边                   23'第23分钟，洛维禁区前沿拿球先是左脚假射扣过防守，接着右脚弧线球射门，顾超飞身将球托出
26'鲁能泰山队右路进攻，孙大镐把球破坏出底线                   23'第23分钟，洛维禁区前沿拿球先是左脚假射扣过防守，接着右脚弧线球射门，顾超飞身将球托出
26'角球发到禁区内前点，赵明剑抢球犯规！                   23'第23分钟，洛维禁区前沿拿球先是左脚假射扣过防守，接着右脚弧线球射门，顾超飞身将球托出
26'杭州绿城队大脚开球到前场，拉蒙把球控下来                   23'第23分钟，洛维禁区前沿拿球先是左脚假射扣过防守，接着右脚弧线球射门，顾超飞身将球托出
26'在麦克格文的防守下，拉蒙也没有机会                   23'第23分钟，洛维禁区前沿拿球先是左脚假射扣过防守，接着右脚弧线球射门，顾超飞身将球托出
25'马塞纳的这脚打门，考验了一下杨程！！                   25'第25分钟，杭州绿城反击，马塞纳背身拿球突然转身内切，面对杨程小角度射门，球被杨程扑住
25'赵明剑右咱拿球，挑传球，洛维横传，对方把球破坏出边                   25'第25分钟，杭州绿城反击，马塞纳背身拿球突然转身内切，面对杨程小角度射门，球被杨程扑住
26'鲁能泰山队右路进攻，孙大镐把球破坏出底线                   25'第25分钟，杭州绿城反击，马塞纳背身拿球突然转身内切，面对杨程小角度射门，球被杨程扑住
26'角球发到禁区内前点，赵明剑抢球犯规！                   25'第25分钟，杭州绿城反击，马塞纳背身拿球突然转身内切，面对杨程小角度射门，球被杨程扑住
26'杭州绿城队大脚开球到前场，拉蒙把球控下来                   25'第25分钟，杭州绿城反击，马塞纳背身拿球突然转身内切，面对杨程小角度射门，球被杨程扑住
26'在麦克格文的防守下，拉蒙也没有机会                   25'第25分钟，杭州绿城反击，马塞纳背身拿球突然转身内切，面对杨程小角度射门，球被杨程扑住
27'阿洛伊西奥中场拿球，转身斜传，孙大镐把球碰出底线                   25'第25分钟，杭州绿城反击，马塞纳背身拿球突然转身内切，面对杨程小角度射门，球被杨程扑住
28'赵明剑前场拿球，斜传失误                   25'第25分钟，杭州绿城反击，马塞纳背身拿球突然转身内切，面对杨程小角度射门，球被杨程扑住
28'现场有不少的浙江的球迷！                   25'第25分钟，杭州绿城反击，马塞纳背身拿球突然转身内切，面对杨程小角度射门，球被杨程扑住
28'洛维中场拿球，直传球丢啦                   25'第25分钟，杭州绿城反击，马塞纳背身拿球突然转身内切，面对杨程小角度射门，球被杨程扑住
28'赵明剑右路拿球，回传一脚                   25'第25分钟，杭州绿城反击，马塞纳背身拿球突然转身内切，面对杨程小角度射门，球被杨程扑住
28'在猛攻一阵后，鲁能泰山队的进攻节奏也慢了下来                   25'第25分钟，杭州绿城反击，马塞纳背身拿球突然转身内切，面对杨程小角度射门，球被杨程扑住
46' 上半场补时 1 分钟的时间也到啦                   46'1分钟后，张文钊边路内切后左脚劲射，顾超勉强将球扑出，跟进的刘彬彬面对空门将球踢飞
46'上半场比赛结束，双方战成0-0                   46'1分钟后，张文钊边路内切后左脚劲射，顾超勉强将球扑出，跟进的刘彬彬面对空门将球踢飞
46'下半场比赛开始                   46'1分钟后，张文钊边路内切后左脚劲射，顾超勉强将球扑出，跟进的刘彬彬面对空门将球踢飞
46'韩鹏上场！换下了金敬道！                   46'1分钟后，张文钊边路内切后左脚劲射，顾超勉强将球扑出，跟进的刘彬彬面对空门将球踢飞
46'果然上韩大将军啦！                   46'1分钟后，张文钊边路内切后左脚劲射，顾超勉强将球扑出，跟进的刘彬彬面对空门将球踢飞
46'鲁能泰山队斜传禁区，阿洛伊西奥推倒了孙大镐                   46'1分钟后，张文钊边路内切后左脚劲射，顾超勉强将球扑出，跟进的刘彬彬面对空门将球踢飞
47'杭州绿城队长传球到前场，防守门员争顶犯规                   46'1分钟后，张文钊边路内切后左脚劲射，顾超勉强将球扑出，跟进的刘彬彬面对空门将球踢飞
47'后场鲁能泰山队得球反击，孙大镐侵犯韩鹏                   46'1分钟后，张文钊边路内切后左脚劲射，顾超勉强将球扑出，跟进的刘彬彬面对空门将球踢飞
48'用户1zk47bcabz：鲁能这是在加强进攻回复[是的，必须加强进攻]                   46'1分钟后，张文钊边路内切后左脚劲射，顾超勉强将球扑出，跟进的刘彬彬面对空门将球踢飞
48'阿甘左路下底回传，汪嵩迎球打门，没踢正！                   46'1分钟后，张文钊边路内切后左脚劲射，顾超勉强将球扑出，跟进的刘彬彬面对空门将球踢飞
48'汪嵩也浪费了机会啊                   46'1分钟后，张文钊边路内切后左脚劲射，顾超勉强将球扑出，跟进的刘彬彬面对空门将球踢飞
49'拉蒙右路拿球，一脚吊门，威胁不大，杨程轻松没收！                   46'1分钟后，张文钊边路内切后左脚劲射，顾超勉强将球扑出，跟进的刘彬彬面对空门将球踢飞
49'不再犹豫ls：我个人觉得韩鹏踢得还是不错的，是吧回复〔是啊，专业前锋。并有高度有头球〕                   46'1分钟后，张文钊边路内切后左脚劲射，顾超勉强将球扑出，跟进的刘彬彬面对空门将球踢飞
42'洛维左路劲射，哎，偏                   42'第42分钟，山东鲁能断球反击，洛维边路连续晃过两人，禁区外突然发力远射偏出
42'杭州绿城队右路进攻，对方犯规                   42'第42分钟，山东鲁能断球反击，洛维边路连续晃过两人，禁区外突然发力远射偏出
42'汪嵩发任意球到禁区内，进攻队员犯规！                   42'第42分钟，山东鲁能断球反击，洛维边路连续晃过两人，禁区外突然发力远射偏出
43'杭州绿城队右路长传前场                   42'第42分钟，山东鲁能断球反击，洛维边路连续晃过两人，禁区外突然发力远射偏出
43'糜昊伦控球，马塞纳在前场抢球犯规                   42'第42分钟，山东鲁能断球反击，洛维边路连续晃过两人，禁区外突然发力远射偏出
45'阿洛伊西奥右路进攻，冯刚抢球犯规！                   42'第42分钟，山东鲁能断球反击，洛维边路连续晃过两人，禁区外突然发力远射偏出
45'主裁判给冯刚出示黄牌                   42'第42分钟，山东鲁能断球反击，洛维边路连续晃过两人，禁区外突然发力远射偏出
50'张文钊在前场断球直传禁区，阿洛伊西奥的绝佳机会！直面门将打门，可惜没能踢正                   50'第50分钟，山东鲁能前场抢断成功，边路斜塞禁区，阿洛伊西奥小角度射门打疵，球被门将扑住
50'还真不越位                   50'第50分钟，山东鲁能前场抢断成功，边路斜塞禁区，阿洛伊西奥小角度射门打疵，球被门将扑住
50'阿甘左路带球到底线，在对方逼抢下球出底线                   50'第50分钟，山东鲁能前场抢断成功，边路斜塞禁区，阿洛伊西奥小角度射门打疵，球被门将扑住
50'刘彬彬右路突破横传，传大啦，球从另一侧出边线                   50'第50分钟，山东鲁能前场抢断成功，边路斜塞禁区，阿洛伊西奥小角度射门打疵，球被门将扑住
51'用户vxfb0f8qgr：绿城的支持率上来了，攻势也要上来啊回复[双方各20万左右的支持率！不过鲁能泰山队还是多一点儿！]                   50'第50分钟，山东鲁能前场抢断成功，边路斜塞禁区，阿洛伊西奥小角度射门打疵，球被门将扑住
51'麦克格文后场拿球，对方有拉人动作，主裁判也没有吹！                   50'第50分钟，山东鲁能前场抢断成功，边路斜塞禁区，阿洛伊西奥小角度射门打疵，球被门将扑住
52'拉蒙右路突破直传球，汪嵩强突，戴琳推人犯规                   50'第50分钟，山东鲁能前场抢断成功，边路斜塞禁区，阿洛伊西奥小角度射门打疵，球被门将扑住
52'送给了杭州绿城队任意球机会！就在底线附近离大禁区不远的地方！                   50'第50分钟，山东鲁能前场抢断成功，边路斜塞禁区，阿洛伊西奥小角度射门打疵，球被门将扑住
52'戴琳吃晃了！                   50'第50分钟，山东鲁能前场抢断成功，边路斜塞禁区，阿洛伊西奥小角度射门打疵，球被门将扑住
53'任意球直接打门，这怎么发的，直接打在边网上！                   50'第50分钟，山东鲁能前场抢断成功，边路斜塞禁区，阿洛伊西奥小角度射门打疵，球被门将扑住
53'鲁能泰山队现在还是有些急！！                   50'第50分钟，山东鲁能前场抢断成功，边路斜塞禁区，阿洛伊西奥小角度射门打疵，球被门将扑住
53'杭州绿城队长传球，没有威胁                   50'第50分钟，山东鲁能前场抢断成功，边路斜塞禁区，阿洛伊西奥小角度射门打疵，球被门将扑住
47'杭州绿城队长传球到前场，防守门员争顶犯规                   47'2分钟后，刘彬彬边路弧线球传中，韩鹏争顶，禁区外阿洛伊西奥凌空打门，球被门将倒地没收
47'后场鲁能泰山队得球反击，孙大镐侵犯韩鹏                   47'2分钟后，刘彬彬边路弧线球传中，韩鹏争顶，禁区外阿洛伊西奥凌空打门，球被门将倒地没收
48'用户1zk47bcabz：鲁能这是在加强进攻回复[是的，必须加强进攻]                   47'2分钟后，刘彬彬边路弧线球传中，韩鹏争顶，禁区外阿洛伊西奥凌空打门，球被门将倒地没收
48'阿甘左路下底回传，汪嵩迎球打门，没踢正！                   47'2分钟后，刘彬彬边路弧线球传中，韩鹏争顶，禁区外阿洛伊西奥凌空打门，球被门将倒地没收
48'汪嵩也浪费了机会啊                   47'2分钟后，刘彬彬边路弧线球传中，韩鹏争顶，禁区外阿洛伊西奥凌空打门，球被门将倒地没收
49'拉蒙右路拿球，一脚吊门，威胁不大，杨程轻松没收！                   47'2分钟后，刘彬彬边路弧线球传中，韩鹏争顶，禁区外阿洛伊西奥凌空打门，球被门将倒地没收
49'不再犹豫ls：我个人觉得韩鹏踢得还是不错的，是吧回复〔是啊，专业前锋。并有高度有头球〕                   47'2分钟后，刘彬彬边路弧线球传中，韩鹏争顶，禁区外阿洛伊西奥凌空打门，球被门将倒地没收
50'张文钊在前场断球直传禁区，阿洛伊西奥的绝佳机会！直面门将打门，可惜没能踢正                   47'2分钟后，刘彬彬边路弧线球传中，韩鹏争顶，禁区外阿洛伊西奥凌空打门，球被门将倒地没收
50'还真不越位                   47'2分钟后，刘彬彬边路弧线球传中，韩鹏争顶，禁区外阿洛伊西奥凌空打门，球被门将倒地没收
50'阿甘左路带球到底线，在对方逼抢下球出底线                   47'2分钟后，刘彬彬边路弧线球传中，韩鹏争顶，禁区外阿洛伊西奥凌空打门，球被门将倒地没收
50'刘彬彬右路突破横传，传大啦，球从另一侧出边线                   47'2分钟后，刘彬彬边路弧线球传中，韩鹏争顶，禁区外阿洛伊西奥凌空打门，球被门将倒地没收
59'鲁能泰山队右路横传，阿洛伊西奥头球没顶到，自己倒地，洛维头球顶门，顾超打出来，阿洛伊西奥站起来补射球进！                   59'第59分钟，山东鲁能终于打破僵局
59'搞清楚是怎么进的了吗？                   59'第59分钟，山东鲁能终于打破僵局
60'看鲁能泰山队进球后如何来打！！别再不会打啦！                   59'第59分钟，山东鲁能终于打破僵局
60'洛维中场拿球，转移到右路！                   59'第59分钟，山东鲁能终于打破僵局
60'感觉鲁能泰山队没有泄气！继续来打进攻                   59'第59分钟，山东鲁能终于打破僵局
60'戴琳直传球，对方挡出来，洛维直传禁区！！阿洛伊西奥倒勾打门！！险些破门，顾超托出！                   59'第59分钟，山东鲁能终于打破僵局
61'鲁能泰山队发出角球，杭州绿城队断球反击                   59'第59分钟，山东鲁能终于打破僵局
61'戴琳快速回防                   59'第59分钟，山东鲁能终于打破僵局
61'中场杭州绿城队把球转移到左路，阿甘接球                   59'第59分钟，山东鲁能终于打破僵局
61'拉蒙外围远射，威胁不大，杨程没收                   59'第59分钟，山东鲁能终于打破僵局
62'小冰-12：淄博球迷发来贺电回复;TA小超：泰安发来贺电回复[淄博和泰安的球迷发来贺电啦！]                   59'第59分钟，山东鲁能终于打破僵局
62'乌索中场拿球，直传被断                   59'第59分钟，山东鲁能终于打破僵局
62'阿洛伊西奥在前场抢球犯规，杭州绿城队任意球                   59'第59分钟，山东鲁能终于打破僵局
60'看鲁能泰山队进球后如何来打！！别再不会打啦！                   60'第60分钟，洛维前场送出挑传，防守队员脚后跟一蹭，阿洛伊西奥不等皮球落地直接侧身凌空射门，顾超精彩扑救将球挡出底线
60'洛维中场拿球，转移到右路！                   60'第60分钟，洛维前场送出挑传，防守队员脚后跟一蹭，阿洛伊西奥不等皮球落地直接侧身凌空射门，顾超精彩扑救将球挡出底线
60'感觉鲁能泰山队没有泄气！继续来打进攻                   60'第60分钟，洛维前场送出挑传，防守队员脚后跟一蹭，阿洛伊西奥不等皮球落地直接侧身凌空射门，顾超精彩扑救将球挡出底线
60'戴琳直传球，对方挡出来，洛维直传禁区！！阿洛伊西奥倒勾打门！！险些破门，顾超托出！                   60'第60分钟，洛维前场送出挑传，防守队员脚后跟一蹭，阿洛伊西奥不等皮球落地直接侧身凌空射门，顾超精彩扑救将球挡出底线
61'鲁能泰山队发出角球，杭州绿城队断球反击                   60'第60分钟，洛维前场送出挑传，防守队员脚后跟一蹭，阿洛伊西奥不等皮球落地直接侧身凌空射门，顾超精彩扑救将球挡出底线
61'戴琳快速回防                   60'第60分钟，洛维前场送出挑传，防守队员脚后跟一蹭，阿洛伊西奥不等皮球落地直接侧身凌空射门，顾超精彩扑救将球挡出底线
61'中场杭州绿城队把球转移到左路，阿甘接球                   60'第60分钟，洛维前场送出挑传，防守队员脚后跟一蹭，阿洛伊西奥不等皮球落地直接侧身凌空射门，顾超精彩扑救将球挡出底线
61'拉蒙外围远射，威胁不大，杨程没收                   60'第60分钟，洛维前场送出挑传，防守队员脚后跟一蹭，阿洛伊西奥不等皮球落地直接侧身凌空射门，顾超精彩扑救将球挡出底线
62'小冰-12：淄博球迷发来贺电回复;TA小超：泰安发来贺电回复[淄博和泰安的球迷发来贺电啦！]                   60'第60分钟，洛维前场送出挑传，防守队员脚后跟一蹭，阿洛伊西奥不等皮球落地直接侧身凌空射门，顾超精彩扑救将球挡出底线
62'乌索中场拿球，直传被断                   60'第60分钟，洛维前场送出挑传，防守队员脚后跟一蹭，阿洛伊西奥不等皮球落地直接侧身凌空射门，顾超精彩扑救将球挡出底线
62'阿洛伊西奥在前场抢球犯规，杭州绿城队任意球                   60'第60分钟，洛维前场送出挑传，防守队员脚后跟一蹭，阿洛伊西奥不等皮球落地直接侧身凌空射门，顾超精彩扑救将球挡出底线
63'用户wpd5hboi7p：一统是姐们么回复[]人家纯爷们！                   60'第60分钟，洛维前场送出挑传，防守队员脚后跟一蹭，阿洛伊西奥不等皮球落地直接侧身凌空射门，顾超精彩扑救将球挡出底线
63'鲁能泰山队中场断球反击                   60'第60分钟，洛维前场送出挑传，防守队员脚后跟一蹭，阿洛伊西奥不等皮球落地直接侧身凌空射门，顾超精彩扑救将球挡出底线
63'鲁能泰山队进球啦！洛维，2-0！                   60'第60分钟，洛维前场送出挑传，防守队员脚后跟一蹭，阿洛伊西奥不等皮球落地直接侧身凌空射门，顾超精彩扑救将球挡出底线
70'用户plev7fnsey：得！主播一句别受伤暴露了主播乃我大鲁能球迷的本质！回复[呵呵，我虽然是山东人，但直播时中立！哪位球员也别受伤！]                   70'第70分钟，杭州绿城任意球配合，禁区外直接远射偏出
70'洛维右路拿球，横传中路                   70'第70分钟，杭州绿城任意球配合，禁区外直接远射偏出
70'最佳辣手：菏泽人民发来贺电！甘爆绿城！！！回复[呵呵，收到！]                   70'第70分钟，杭州绿城任意球配合，禁区外直接远射偏出
71'乌索后场断球，回传给麦克格文后，乌索被踢了一脚                   70'第70分钟，杭州绿城任意球配合，禁区外直接远射偏出
71'现在鲁能泰山队中场有些脱节啦！                   70'第70分钟，杭州绿城任意球配合，禁区外直接远射偏出
71'汪嵩右路横传球，杭州绿城队直传禁区，被破坏出来                   70'第70分钟，杭州绿城任意球配合，禁区外直接远射偏出
71'杭州绿城队右路横传门前，后卫及时解围                   70'第70分钟，杭州绿城任意球配合，禁区外直接远射偏出
72'沃马教主：莱芜球迷发来贺电！回复[谢谢莱芜人民的贺电！]                   70'第70分钟，杭州绿城任意球配合，禁区外直接远射偏出
73'用户3lu19nxyso：主播，鲁能球迷不丢人，你就承认了吧回复[我就是鲁能球迷！这没丢人的！但直播时必须公正客观，哪个球队打得为就为谁喝彩，哪个球队进球就祝贺！]                   70'第70分钟，杭州绿城任意球配合，禁区外直接远射偏出
73'当然我也喜欢恒大！让人骄傲！                   70'第70分钟，杭州绿城任意球配合，禁区外直接远射偏出
73'杭州绿城队斜传禁区，球出底线                   70'第70分钟，杭州绿城任意球配合，禁区外直接远射偏出
73'杨程大脚开球到中场，韩鹏争顶没顶到，球出边线                   70'第70分钟，杭州绿城任意球配合，禁区外直接远射偏出
77'丘陵也有海拔 对 涛2011涛说:不，别的主播都不这样，他是唯一啊回复悄悄话我说什么呢？没说我坏话吧！[]                   77'第77分钟，韩鹏前场断球后，看到门将站位靠前，直接起脚远射，顾超飞身将球挡出底线
78'杭州绿城队换人：罗竞上场 ，换下冯刚                   77'第77分钟，韩鹏前场断球后，看到门将站位靠前，直接起脚远射，顾超飞身将球挡出底线
78'韩鹏脚后跟传球，蒙蒂略抢点劲射被挡出                   77'第77分钟，韩鹏前场断球后，看到门将站位靠前，直接起脚远射，顾超飞身将球挡出底线
78'角球发到禁区内，对方解围出来                   77'第77分钟，韩鹏前场断球后，看到门将站位靠前，直接起脚远射，顾超飞身将球挡出底线
79'蓝启聪：鲁能的王8伤了吗？没上……回复[没有吧！准备亚冠吧！]                   77'第77分钟，韩鹏前场断球后，看到门将站位靠前，直接起脚远射，顾超飞身将球挡出底线
79'鲁能泰山队挑传禁区，对方破坏出来，蒙蒂略左路突破，球出底线                   77'第77分钟，韩鹏前场断球后，看到门将站位靠前，直接起脚远射，顾超飞身将球挡出底线
79'吹了门球                   77'第77分钟，韩鹏前场断球后，看到门将站位靠前，直接起脚远射，顾超飞身将球挡出底线
80'FE锋NG2012：妈啊，山东人就只会欺负弱队而已回复[谁也不欺负强的吧！]                   77'第77分钟，韩鹏前场断球后，看到门将站位靠前，直接起脚远射，顾超飞身将球挡出底线
80'王林右路突破，被阿洛伊西奥放倒                   77'第77分钟，韩鹏前场断球后，看到门将站位靠前，直接起脚远射，顾超飞身将球挡出底线
82'汪嵩发任意球直接打门！高啦！                   82'第82分钟，拉蒙赢得正对球门任意球机会，汪嵩直接打门高出横梁
83'手机用户1982421470:我觉得蒙蒂略还是挺强的！只是在鲁能没有孔卡那样有进攻主导权！鲁能进攻主导权是罗维！回复[他是做衣服的吧！穿针引线！]                   82'第82分钟，拉蒙赢得正对球门任意球机会，汪嵩直接打门高出横梁
83'绿茵王子-舍莆琴科：我们是风我们是天我们是永不倒的泰山回复[就是就是！]                   82'第82分钟，拉蒙赢得正对球门任意球机会，汪嵩直接打门高出横梁
84'中场鲁能泰山队断球，对方抢球犯规啦                   82'第82分钟，拉蒙赢得正对球门任意球机会，汪嵩直接打门高出横梁
84'鲁能泰山队要换上蒿俊闵啦！                   82'第82分钟，拉蒙赢得正对球门任意球机会，汪嵩直接打门高出横梁
84'韩鹏中场断球，带到前场直传！！没塞进去啊，可惜了了！                   82'第82分钟，拉蒙赢得正对球门任意球机会，汪嵩直接打门高出横梁
84'鲁能泰山队继续组织进攻                   82'第82分钟，拉蒙赢得正对球门任意球机会，汪嵩直接打门高出横梁
85'杭州绿城队感觉有些泄气啦！                   82'第82分钟，拉蒙赢得正对球门任意球机会，汪嵩直接打门高出横梁
85'杭州绿城队左路横传，被破坏出来                   82'第82分钟，拉蒙赢得正对球门任意球机会，汪嵩直接打门高出横梁
85'乌索直传球，蒙蒂略带球突破啦，对方两人包夹！                   82'第82分钟，拉蒙赢得正对球门任意球机会，汪嵩直接打门高出横梁
85'乌索在前场逼抢                   82'第82分钟，拉蒙赢得正对球门任意球机会，汪嵩直接打门高出横梁
90'韩鹏前场分边，刘彬彬突破造成对方犯规！                   90'第90分钟，张文钊边路回传，蒙蒂略拍马赶到，转身抽射稍稍偏出
90'鲁能泰山队左路横传，顾超把球打出来，跟上队员打门又被挡出                   90'第90分钟，张文钊边路回传，蒙蒂略拍马赶到，转身抽射稍稍偏出
91'韩鹏在禁区内的侧身打门，还真是漂亮！！可惜后卫挡出！                   90'第90分钟，张文钊边路回传，蒙蒂略拍马赶到，转身抽射稍稍偏出
91'乌索中场断球，横传失误                   90'第90分钟，张文钊边路回传，蒙蒂略拍马赶到，转身抽射稍稍偏出
