6'赵明剑右路突进禁区                   6'第6分钟，丁海峰边路弧线球传中，车世伟甩头攻门得手
27'越位在先                   27'第27分钟，河北华夏幸福打出快速反击，埃尔纳内斯突入禁区无私横传，阿洛伊西奥包抄射门被邓小飞挡到后点，尹鸿博门前铲射破门
28'卡尔德克前场把球卸下，转移左路                   27'第27分钟，河北华夏幸福打出快速反击，埃尔纳内斯突入禁区无私横传，阿洛伊西奥包抄射门被邓小飞挡到后点，尹鸿博门前铲射破门
28'费尔南多左路传中到门前                   27'第27分钟，河北华夏幸福打出快速反击，埃尔纳内斯突入禁区无私横传，阿洛伊西奥包抄射门被邓小飞挡到后点，尹鸿博门前铲射破门
28'杨程出击把球抱住                   27'第27分钟，河北华夏幸福打出快速反击，埃尔纳内斯突入禁区无私横传，阿洛伊西奥包抄射门被邓小飞挡到后点，尹鸿博门前铲射破门
29'尹鸿博前场争顶犯规                   27'第27分钟，河北华夏幸福打出快速反击，埃尔纳内斯突入禁区无私横传，阿洛伊西奥包抄射门被邓小飞挡到后点，尹鸿博门前铲射破门
29'刘宇往左路出球，给出边线                   27'第27分钟，河北华夏幸福打出快速反击，埃尔纳内斯突入禁区无私横传，阿洛伊西奥包抄射门被邓小飞挡到后点，尹鸿博门前铲射破门
30'阿洛伊西奥右路下底                   27'第27分钟，河北华夏幸福打出快速反击，埃尔纳内斯突入禁区无私横传，阿洛伊西奥包抄射门被邓小飞挡到后点，尹鸿博门前铲射破门
30'传中到后点，尹鸿博插上                   27'第27分钟，河北华夏幸福打出快速反击，埃尔纳内斯突入禁区无私横传，阿洛伊西奥包抄射门被邓小飞挡到后点，尹鸿博门前铲射破门
30'头球被邓小飞扑住                   27'第27分钟，河北华夏幸福打出快速反击，埃尔纳内斯突入禁区无私横传，阿洛伊西奥包抄射门被邓小飞挡到后点，尹鸿博门前铲射破门
32'角球被卡尔德克顶出去                   32'第32分钟，重庆力帆扳平比分，陈雷边路长传禁区内，费尔南多头球摆渡，卡尔德克凌空抽射轻松打入，杨程毫无反应，场上比分变为1-1平
32'重庆左路斜传                   32'第32分钟，重庆力帆扳平比分，陈雷边路长传禁区内，费尔南多头球摆渡，卡尔德克凌空抽射轻松打入，杨程毫无反应，场上比分变为1-1平
32'重庆进球了！！！                   32'第32分钟，重庆力帆扳平比分，陈雷边路长传禁区内，费尔南多头球摆渡，卡尔德克凌空抽射轻松打入，杨程毫无反应，场上比分变为1-1平
32'卡尔德克！                   32'第32分钟，重庆力帆扳平比分，陈雷边路长传禁区内，费尔南多头球摆渡，卡尔德克凌空抽射轻松打入，杨程毫无反应，场上比分变为1-1平
33'费尔南多禁区右侧接应斜传头球回点，卡尔德克直接迎球凌空爆射破门                   32'第32分钟，重庆力帆扳平比分，陈雷边路长传禁区内，费尔南多头球摆渡，卡尔德克凌空抽射轻松打入，杨程毫无反应，场上比分变为1-1平
33'重庆1-1追平河北                   32'第32分钟，重庆力帆扳平比分，陈雷边路长传禁区内，费尔南多头球摆渡，卡尔德克凌空抽射轻松打入，杨程毫无反应，场上比分变为1-1平
34'阿洛伊西奥左路接应，米洛维奇先破坏                   32'第32分钟，重庆力帆扳平比分，陈雷边路长传禁区内，费尔南多头球摆渡，卡尔德克凌空抽射轻松打入，杨程毫无反应，场上比分变为1-1平
35'阿洛伊西奥左路下底，越位在先                   32'第32分钟，重庆力帆扳平比分，陈雷边路长传禁区内，费尔南多头球摆渡，卡尔德克凌空抽射轻松打入，杨程毫无反应，场上比分变为1-1平
35'张呈栋左路突破，米洛维奇破坏                   32'第32分钟，重庆力帆扳平比分，陈雷边路长传禁区内，费尔南多头球摆渡，卡尔德克凌空抽射轻松打入，杨程毫无反应，场上比分变为1-1平
40'刘宇斜传左路，没找到队友                   40'第40分钟，费尔南多带球突击中分球，吴庆突入禁区晃开金周荣射远角偏出
40'埃尔纳内斯右路接应转移，先出界                   40'第40分钟，费尔南多带球突击中分球，吴庆突入禁区晃开金周荣射远角偏出
40'彭欣力中路接应费尔南多塞球，进禁区                   40'第40分钟，费尔南多带球突击中分球，吴庆突入禁区晃开金周荣射远角偏出
41'吴庆禁区左侧接球，回扣一步                   40'第40分钟，费尔南多带球突击中分球，吴庆突入禁区晃开金周荣射远角偏出
41'射远角打偏                   40'第40分钟，费尔南多带球突击中分球，吴庆突入禁区晃开金周荣射远角偏出
41'费尔南多右路和卡尔德克配合进禁区                   40'第40分钟，费尔南多带球突击中分球，吴庆突入禁区晃开金周荣射远角偏出
41'卡尔德克横敲，费尔南多低射被扑出                   40'第40分钟，费尔南多带球突击中分球，吴庆突入禁区晃开金周荣射远角偏出
42'费尔南多禁区前再送直塞，大了                   40'第40分钟，费尔南多带球突击中分球，吴庆突入禁区晃开金周荣射远角偏出
43'埃尔纳内斯中路摆脱，回敲                   40'第40分钟，费尔南多带球突击中分球，吴庆突入禁区晃开金周荣射远角偏出
48'被破坏了，吴庆转移慢了                   48'下半场易边再战，第48分钟，卡尔德克头球摆渡，吴庆禁区内得球扣过任航后倒地铲射，球被杨程挡出底线
48'费尔南多右路背身拿球                   48'下半场易边再战，第48分钟，卡尔德克头球摆渡，吴庆禁区内得球扣过任航后倒地铲射，球被杨程挡出底线
48'任航上抢推人犯规                   48'下半场易边再战，第48分钟，卡尔德克头球摆渡，吴庆禁区内得球扣过任航后倒地铲射，球被杨程挡出底线
49'卡尔德克禁区前头球摆渡                   48'下半场易边再战，第48分钟，卡尔德克头球摆渡，吴庆禁区内得球扣过任航后倒地铲射，球被杨程挡出底线
49'吴庆拿球转身，射门被杨程扑出，角球                   48'下半场易边再战，第48分钟，卡尔德克头球摆渡，吴庆禁区内得球扣过任航后倒地铲射，球被杨程挡出底线
49'角球到中路被赵宇豪顶出                   48'下半场易边再战，第48分钟，卡尔德克头球摆渡，吴庆禁区内得球扣过任航后倒地铲射，球被杨程挡出底线
49'外围再起球，吴庆后点把球打进                   48'下半场易边再战，第48分钟，卡尔德克头球摆渡，吴庆禁区内得球扣过任航后倒地铲射，球被杨程挡出底线
50'但是边裁举旗，越位在先                   48'下半场易边再战，第48分钟，卡尔德克头球摆渡，吴庆禁区内得球扣过任航后倒地铲射，球被杨程挡出底线
50'进球无效                   48'下半场易边再战，第48分钟，卡尔德克头球摆渡，吴庆禁区内得球扣过任航后倒地铲射，球被杨程挡出底线
51'刘宇回传门将，大脚开出                   48'下半场易边再战，第48分钟，卡尔德克头球摆渡，吴庆禁区内得球扣过任航后倒地铲射，球被杨程挡出底线
51'金周荣分右路，先被铲截破坏                   48'下半场易边再战，第48分钟，卡尔德克头球摆渡，吴庆禁区内得球扣过任航后倒地铲射，球被杨程挡出底线
56'吴庆左路防守，车世伟上抢犯规                   56'第56分钟，河北华夏幸福率先换人调整，姜宁换下车世伟
56'河北换人，姜宁换下车世伟                   56'第56分钟，河北华夏幸福率先换人调整，姜宁换下车世伟
56'赵明剑右路突破，出了边线                   56'第56分钟，河北华夏幸福率先换人调整，姜宁换下车世伟
57'丁海峰左路防守绊倒卡尔德克                   56'第56分钟，河北华夏幸福率先换人调整，姜宁换下车世伟
57'重庆禁区前的任意球机会                   56'第56分钟，河北华夏幸福率先换人调整，姜宁换下车世伟
58'一拨一射，费尔南多射门被封堵                   56'第56分钟，河北华夏幸福率先换人调整，姜宁换下车世伟
58'刘宇左路传中，杨程双拳击出                   56'第56分钟，河北华夏幸福率先换人调整，姜宁换下车世伟
59'尹鸿博禁区右侧搓传，后点被顶出                   56'第56分钟，河北华夏幸福率先换人调整，姜宁换下车世伟
59'费尔南多右路反击，被阻挡                   56'第56分钟，河北华夏幸福率先换人调整，姜宁换下车世伟
59'吴庆左路接应转移，传中太靠门将                   56'第56分钟，河北华夏幸福率先换人调整，姜宁换下车世伟
65'野牛中路拿球分左侧                   65'第65分钟，尹鸿博禁区外突施冷箭，球擦着立柱偏出
65'尹鸿博跟上禁区前远射打偏                   65'第65分钟，尹鸿博禁区外突施冷箭，球擦着立柱偏出
66'南松中场争顶被绊倒                   65'第65分钟，尹鸿博禁区外突施冷箭，球擦着立柱偏出
66'彭欣力斜传左路，丢了                   65'第65分钟，尹鸿博禁区外突施冷箭，球擦着立柱偏出
67'姜宁右路拿球，被彭欣力绊倒                   65'第65分钟，尹鸿博禁区外突施冷箭，球擦着立柱偏出
67'南松后场断球，推进                   65'第65分钟，尹鸿博禁区外突施冷箭，球擦着立柱偏出
67'分费尔南多，任航先解围                   65'第65分钟，尹鸿博禁区外突施冷箭，球擦着立柱偏出
68'埃尔纳内斯中路突破，跌跌撞撞                   65'第65分钟，尹鸿博禁区外突施冷箭，球擦着立柱偏出
68'尹鸿博肋部拿球横敲                   65'第65分钟，尹鸿博禁区外突施冷箭，球擦着立柱偏出
68'姜宁禁区前的远射打偏                   65'第65分钟，尹鸿博禁区外突施冷箭，球擦着立柱偏出
78'姜宁分左路，张呈栋回敲                   78'第78分钟，姜宁前腰位置上送出斜塞，丁海峰快速插上于底线附近下底传中，埃尔纳内斯禁区内抢点头球攻门击中边网
78'丁海峰左路套上传中                   78'第78分钟，姜宁前腰位置上送出斜塞，丁海峰快速插上于底线附近下底传中，埃尔纳内斯禁区内抢点头球攻门击中边网
78'后点埃尔纳内斯的头球顶偏                   78'第78分钟，姜宁前腰位置上送出斜塞，丁海峰快速插上于底线附近下底传中，埃尔纳内斯禁区内抢点头球攻门击中边网
78'埃尔纳内斯眉骨开了，先知下去接受紧急治疗                   78'第78分钟，姜宁前腰位置上送出斜塞，丁海峰快速插上于底线附近下底传中，埃尔纳内斯禁区内抢点头球攻门击中边网
79'费尔南多右路塞彭欣力，没有追上                   78'第78分钟，姜宁前腰位置上送出斜塞，丁海峰快速插上于底线附近下底传中，埃尔纳内斯禁区内抢点头球攻门击中边网
79'彭欣力和任航有些口角                   78'第78分钟，姜宁前腰位置上送出斜塞，丁海峰快速插上于底线附近下底传中，埃尔纳内斯禁区内抢点头球攻门击中边网
80'比赛继续                   78'第78分钟，姜宁前腰位置上送出斜塞，丁海峰快速插上于底线附近下底传中，埃尔纳内斯禁区内抢点头球攻门击中边网
80'继续斜传右路找费尔南多                   78'第78分钟，姜宁前腰位置上送出斜塞，丁海峰快速插上于底线附近下底传中，埃尔纳内斯禁区内抢点头球攻门击中边网
80'任航先到位，把球拿到                   78'第78分钟，姜宁前腰位置上送出斜塞，丁海峰快速插上于底线附近下底传中，埃尔纳内斯禁区内抢点头球攻门击中边网
80'先知中路挑传禁区，没有队友                   78'第78分钟，姜宁前腰位置上送出斜塞，丁海峰快速插上于底线附近下底传中，埃尔纳内斯禁区内抢点头球攻门击中边网
81'徐洋挑传卡尔德克，越位了                   78'第78分钟，姜宁前腰位置上送出斜塞，丁海峰快速插上于底线附近下底传中，埃尔纳内斯禁区内抢点头球攻门击中边网
89'徐洋左路内切，趟大了                   89'第89分钟，杨程出击未果，陈雷禁区内射门将球打飞
89'王维成左路传中被门将击出                   89'第89分钟，杨程出击未果，陈雷禁区内射门将球打飞
89'外围陈雷跟上打门高了                   89'第89分钟，杨程出击未果，陈雷禁区内射门将球打飞
89'重庆换人，王维成被冯劲换下                   89'第89分钟，杨程出击未果，陈雷禁区内射门将球打飞
90'张呈栋左路争顶肘击了                   89'第89分钟，杨程出击未果，陈雷禁区内射门将球打飞
90'裁判黄牌警告张呈栋                   89'第89分钟，杨程出击未果，陈雷禁区内射门将球打飞
91'下半场补时3分钟                   89'第89分钟，杨程出击未果，陈雷禁区内射门将球打飞
91'任航争顶压人犯规，任意球                   89'第89分钟，杨程出击未果，陈雷禁区内射门将球打飞
91'任意球进禁区，二点争抢                   89'第89分钟，杨程出击未果，陈雷禁区内射门将球打飞
91'彭欣力射门打高                   89'第89分钟，杨程出击未果，陈雷禁区内射门将球打飞
92'董学升右路做球，丢了                   89'第89分钟，杨程出击未果，陈雷禁区内射门将球打飞
92'尹鸿博分右路，赵明剑没有过掉徐洋                   89'第89分钟，杨程出击未果，陈雷禁区内射门将球打飞
46'上半场补时1分钟                   46'补时1分钟，费尔南多任意球造成禁区混乱，彭欣力补射将球打高
46'赵明剑右路起球，被顶出                   46'补时1分钟，费尔南多任意球造成禁区混乱，彭欣力补射将球打高
47'赵明剑右路再拿，被包夹                   46'补时1分钟，费尔南多任意球造成禁区混乱，彭欣力补射将球打高
47'上半场比赛结束！                   46'补时1分钟，费尔南多任意球造成禁区混乱，彭欣力补射将球打高
46'下半场比赛开始                   46'补时1分钟，费尔南多任意球造成禁区混乱，彭欣力补射将球打高
46'重庆中圈开球                   46'补时1分钟，费尔南多任意球造成禁区混乱，彭欣力补射将球打高
46'半场双方都没有换人                   46'补时1分钟，费尔南多任意球造成禁区混乱，彭欣力补射将球打高
47'尹鸿博左路接应，等球了                   46'补时1分钟，费尔南多任意球造成禁区混乱，彭欣力补射将球打高
47'张呈栋左路传中被封堵出去                   46'补时1分钟，费尔南多任意球造成禁区混乱，彭欣力补射将球打高
47'埃尔纳内斯中路拿球，分右路                   46'补时1分钟，费尔南多任意球造成禁区混乱，彭欣力补射将球打高
48'被破坏了，吴庆转移慢了                   46'补时1分钟，费尔南多任意球造成禁区混乱，彭欣力补射将球打高
48'费尔南多右路背身拿球                   46'补时1分钟，费尔南多任意球造成禁区混乱，彭欣力补射将球打高
48'任航上抢推人犯规                   46'补时1分钟，费尔南多任意球造成禁区混乱，彭欣力补射将球打高
49'卡尔德克禁区前头球摆渡                   46'补时1分钟，费尔南多任意球造成禁区混乱，彭欣力补射将球打高
49'吴庆拿球转身，射门被杨程扑出，角球                   46'补时1分钟，费尔南多任意球造成禁区混乱，彭欣力补射将球打高
49'角球到中路被赵宇豪顶出                   46'补时1分钟，费尔南多任意球造成禁区混乱，彭欣力补射将球打高
49'外围再起球，吴庆后点把球打进                   46'补时1分钟，费尔南多任意球造成禁区混乱，彭欣力补射将球打高
