1'比赛开始                   1'比赛开始后第1分钟，亚泰一脚直塞打反击找伊哈洛，球给大了被建业门将吴龑没收
5'吴龚大脚门球开出                   5'第5分钟，建业这边快速进攻，柯钊左路传中门前，冯卓毅门前头球攻门偏出了远端立柱
5'第一点亚泰拿到                   5'第5分钟，建业这边快速进攻，柯钊左路传中门前，冯卓毅门前头球攻门偏出了远端立柱
5'伊哈洛前场直塞                   5'第5分钟，建业这边快速进攻，柯钊左路传中门前，冯卓毅门前头球攻门偏出了远端立柱
5'谭龙插上形成单刀                   5'第5分钟，建业这边快速进攻，柯钊左路传中门前，冯卓毅门前头球攻门偏出了远端立柱
5'不过越位在先                   5'第5分钟，建业这边快速进攻，柯钊左路传中门前，冯卓毅门前头球攻门偏出了远端立柱
5'建业球权                   5'第5分钟，建业这边快速进攻，柯钊左路传中门前，冯卓毅门前头球攻门偏出了远端立柱
5'开出后争顶中王上源得球                   5'第5分钟，建业这边快速进攻，柯钊左路传中门前，冯卓毅门前头球攻门偏出了远端立柱
5'给身后杨阔                   5'第5分钟，建业这边快速进攻，柯钊左路传中门前，冯卓毅门前头球攻门偏出了远端立柱
6'大脚被张笑飞挑出界                   5'第5分钟，建业这边快速进攻，柯钊左路传中门前，冯卓毅门前头球攻门偏出了远端立柱
6'柯钊得球，直接传中                   5'第5分钟，建业这边快速进攻，柯钊左路传中门前，冯卓毅门前头球攻门偏出了远端立柱
6'冯卓毅点球点头球                   5'第5分钟，建业这边快速进攻，柯钊左路传中门前，冯卓毅门前头球攻门偏出了远端立柱
6'直接出界                   5'第5分钟，建业这边快速进攻，柯钊左路传中门前，冯卓毅门前头球攻门偏出了远端立柱
6'门球                   5'第5分钟，建业这边快速进攻，柯钊左路传中门前，冯卓毅门前头球攻门偏出了远端立柱
7'巴索戈争抢中得球                   5'第5分钟，建业这边快速进攻，柯钊左路传中门前，冯卓毅门前头球攻门偏出了远端立柱
7'给到伊沃                   5'第5分钟，建业这边快速进攻，柯钊左路传中门前，冯卓毅门前头球攻门偏出了远端立柱
7'佩西诺维奇破坏出底线                   5'第5分钟，建业这边快速进攻，柯钊左路传中门前，冯卓毅门前头球攻门偏出了远端立柱
7'建业队角球                   5'第5分钟，建业这边快速进攻，柯钊左路传中门前，冯卓毅门前头球攻门偏出了远端立柱
7'伊沃处理                   5'第5分钟，建业这边快速进攻，柯钊左路传中门前，冯卓毅门前头球攻门偏出了远端立柱
7'开到中路                   5'第5分钟，建业这边快速进攻，柯钊左路传中门前，冯卓毅门前头球攻门偏出了远端立柱
7'里卡多顶到                   5'第5分钟，建业这边快速进攻，柯钊左路传中门前，冯卓毅门前头球攻门偏出了远端立柱
7'顶高了                   5'第5分钟，建业这边快速进攻，柯钊左路传中门前，冯卓毅门前头球攻门偏出了远端立柱
7'球门球                   5'第5分钟，建业这边快速进攻，柯钊左路传中门前，冯卓毅门前头球攻门偏出了远端立柱
7'门将大脚开出                   5'第5分钟，建业这边快速进攻，柯钊左路传中门前，冯卓毅门前头球攻门偏出了远端立柱
7'双方混战                   5'第5分钟，建业这边快速进攻，柯钊左路传中门前，冯卓毅门前头球攻门偏出了远端立柱
8'伊沃得到球权                   5'第5分钟，建业这边快速进攻，柯钊左路传中门前，冯卓毅门前头球攻门偏出了远端立柱
8'分边龙威                   5'第5分钟，建业这边快速进攻，柯钊左路传中门前，冯卓毅门前头球攻门偏出了远端立柱
8'龙威直塞                   5'第5分钟，建业这边快速进攻，柯钊左路传中门前，冯卓毅门前头球攻门偏出了远端立柱
8'被断了！                   5'第5分钟，建业这边快速进攻，柯钊左路传中门前，冯卓毅门前头球攻门偏出了远端立柱
8'亚泰队长传                   5'第5分钟，建业这边快速进攻，柯钊左路传中门前，冯卓毅门前头球攻门偏出了远端立柱
8'找伊哈洛                   5'第5分钟，建业这边快速进攻，柯钊左路传中门前，冯卓毅门前头球攻门偏出了远端立柱
8'球被王上源得到                   5'第5分钟，建业这边快速进攻，柯钊左路传中门前，冯卓毅门前头球攻门偏出了远端立柱
8'王上源直塞                   5'第5分钟，建业这边快速进攻，柯钊左路传中门前，冯卓毅门前头球攻门偏出了远端立柱
8'里卡多得球                   5'第5分钟，建业这边快速进攻，柯钊左路传中门前，冯卓毅门前头球攻门偏出了远端立柱
14'球权在建业队脚下                   14'第14分钟，亚泰界外球掷出，李光得球被顾操铲断，李光受伤接受治疗
14'陈灏失误了                   14'第14分钟，亚泰界外球掷出，李光得球被顾操铲断，李光受伤接受治疗
14'球出界，亚泰球权                   14'第14分钟，亚泰界外球掷出，李光得球被顾操铲断，李光受伤接受治疗
14'亚泰界外球掷出                   14'第14分钟，亚泰界外球掷出，李光得球被顾操铲断，李光受伤接受治疗
14'被冯卓毅得到                   14'第14分钟，亚泰界外球掷出，李光得球被顾操铲断，李光受伤接受治疗
14'阿德里安断下                   14'第14分钟，亚泰界外球掷出，李光得球被顾操铲断，李光受伤接受治疗
14'一记挑传                   14'第14分钟，亚泰界外球掷出，李光得球被顾操铲断，李光受伤接受治疗
14'给大了出界了                   14'第14分钟，亚泰界外球掷出，李光得球被顾操铲断，李光受伤接受治疗
15'吴龚发球，直接开出了边线                   14'第14分钟，亚泰界外球掷出，李光得球被顾操铲断，李光受伤接受治疗
15'亚泰边线球                   14'第14分钟，亚泰界外球掷出，李光得球被顾操铲断，李光受伤接受治疗
15'李光带球过多                   14'第14分钟，亚泰界外球掷出，李光得球被顾操铲断，李光受伤接受治疗
15'被顾操抢断                   14'第14分钟，亚泰界外球掷出，李光得球被顾操铲断，李光受伤接受治疗
15'巴索戈中路带球                   14'第14分钟，亚泰界外球掷出，李光得球被顾操铲断，李光受伤接受治疗
15'被放到                   14'第14分钟，亚泰界外球掷出，李光得球被顾操铲断，李光受伤接受治疗
15'任意球                   14'第14分钟，亚泰界外球掷出，李光得球被顾操铲断，李光受伤接受治疗
16'刚才李光有些受伤                   14'第14分钟，亚泰界外球掷出，李光得球被顾操铲断，李光受伤接受治疗
16'队医进场治疗                   14'第14分钟，亚泰界外球掷出，李光得球被顾操铲断，李光受伤接受治疗
16'比赛继续                   14'第14分钟，亚泰界外球掷出，李光得球被顾操铲断，李光受伤接受治疗
16'王上源与柯钊互相传导                   14'第14分钟，亚泰界外球掷出，李光得球被顾操铲断，李光受伤接受治疗
16'王上源向前送                   14'第14分钟，亚泰界外球掷出，李光得球被顾操铲断，李光受伤接受治疗
16'被孙捷抢断                   14'第14分钟，亚泰界外球掷出，李光得球被顾操铲断，李光受伤接受治疗
16'给到插上的谭龙                   14'第14分钟，亚泰界外球掷出，李光得球被顾操铲断，李光受伤接受治疗
17'传球在干扰下出界                   14'第14分钟，亚泰界外球掷出，李光得球被顾操铲断，李光受伤接受治疗
17'亚泰边线球                   14'第14分钟，亚泰界外球掷出，李光得球被顾操铲断，李光受伤接受治疗
17'何超得球没停好                   14'第14分钟，亚泰界外球掷出，李光得球被顾操铲断，李光受伤接受治疗
17'柯钊得球                   14'第14分钟，亚泰界外球掷出，李光得球被顾操铲断，李光受伤接受治疗
17'大脚开到前场                   14'第14分钟，亚泰界外球掷出，李光得球被顾操铲断，李光受伤接受治疗
17'杨阔得球起高球传中                   14'第14分钟，亚泰界外球掷出，李光得球被顾操铲断，李光受伤接受治疗
17'被解围了                   14'第14分钟，亚泰界外球掷出，李光得球被顾操铲断，李光受伤接受治疗
17'柯钊得球继续传中                   14'第14分钟，亚泰界外球掷出，李光得球被顾操铲断，李光受伤接受治疗
18'里卡多倒地了                   18'第18分钟，伊哈洛背后被顾操放倒，亚泰获得定位球机会，阿德里安30米远直接打门，皮球打在了人墙上
18'柯钊刚才的传球出了边线                   18'第18分钟，伊哈洛背后被顾操放倒，亚泰获得定位球机会，阿德里安30米远直接打门，皮球打在了人墙上
18'亚泰球权                   18'第18分钟，伊哈洛背后被顾操放倒，亚泰获得定位球机会，阿德里安30米远直接打门，皮球打在了人墙上
18'于睿掷出                   18'第18分钟，伊哈洛背后被顾操放倒，亚泰获得定位球机会，阿德里安30米远直接打门，皮球打在了人墙上
19'前场右侧谭龙得球                   18'第18分钟，伊哈洛背后被顾操放倒，亚泰获得定位球机会，阿德里安30米远直接打门，皮球打在了人墙上
19'带到禁区                   18'第18分钟，伊哈洛背后被顾操放倒，亚泰获得定位球机会，阿德里安30米远直接打门，皮球打在了人墙上
19'被龙威踢出                   18'第18分钟，伊哈洛背后被顾操放倒，亚泰获得定位球机会，阿德里安30米远直接打门，皮球打在了人墙上
19'亚泰边线球                   18'第18分钟，伊哈洛背后被顾操放倒，亚泰获得定位球机会，阿德里安30米远直接打门，皮球打在了人墙上
19'伊哈洛被顾操给放到了                   18'第18分钟，伊哈洛背后被顾操放倒，亚泰获得定位球机会，阿德里安30米远直接打门，皮球打在了人墙上
19'亚泰得到任意球                   18'第18分钟，伊哈洛背后被顾操放倒，亚泰获得定位球机会，阿德里安30米远直接打门，皮球打在了人墙上
20'阿德里安处理                   18'第18分钟，伊哈洛背后被顾操放倒，亚泰获得定位球机会，阿德里安30米远直接打门，皮球打在了人墙上
20'30米左右的任意球                   18'第18分钟，伊哈洛背后被顾操放倒，亚泰获得定位球机会，阿德里安30米远直接打门，皮球打在了人墙上
20'直接打门了                   18'第18分钟，伊哈洛背后被顾操放倒，亚泰获得定位球机会，阿德里安30米远直接打门，皮球打在了人墙上
20'打在人墙上                   18'第18分钟，伊哈洛背后被顾操放倒，亚泰获得定位球机会，阿德里安30米远直接打门，皮球打在了人墙上
20'佩西诺维奇得球                   18'第18分钟，伊哈洛背后被顾操放倒，亚泰获得定位球机会，阿德里安30米远直接打门，皮球打在了人墙上
20'被巴索戈迅速断下                   18'第18分钟，伊哈洛背后被顾操放倒，亚泰获得定位球机会，阿德里安30米远直接打门，皮球打在了人墙上
21'王上源得球                   18'第18分钟，伊哈洛背后被顾操放倒，亚泰获得定位球机会，阿德里安30米远直接打门，皮球打在了人墙上
21'被放到                   18'第18分钟，伊哈洛背后被顾操放倒，亚泰获得定位球机会，阿德里安30米远直接打门，皮球打在了人墙上
21'任意球，快发任意球                   18'第18分钟，伊哈洛背后被顾操放倒，亚泰获得定位球机会，阿德里安30米远直接打门，皮球打在了人墙上
21'杨阔川中                   18'第18分钟，伊哈洛背后被顾操放倒，亚泰获得定位球机会，阿德里安30米远直接打门，皮球打在了人墙上
21'禁区内门将祎凡将球扑出                   18'第18分钟，伊哈洛背后被顾操放倒，亚泰获得定位球机会，阿德里安30米远直接打门，皮球打在了人墙上
21'里卡多继续控制                   18'第18分钟，伊哈洛背后被顾操放倒，亚泰获得定位球机会，阿德里安30米远直接打门，皮球打在了人墙上
23'断下后回给了吴龚                   23'第23分钟，建业队获得第1分钟最好的机会，前场中路一个短传，里卡多禁区前沿得球突破
23'亚泰队争抢中得球                   23'第23分钟，建业队获得第1分钟最好的机会，前场中路一个短传，里卡多禁区前沿得球突破
23'阿德里安手榴弹式掷球                   23'第23分钟，建业队获得第1分钟最好的机会，前场中路一个短传，里卡多禁区前沿得球突破
23'界外球掷出                   23'第23分钟，建业队获得第1分钟最好的机会，前场中路一个短传，里卡多禁区前沿得球突破
23'前点被解围了                   23'第23分钟，建业队获得第1分钟最好的机会，前场中路一个短传，里卡多禁区前沿得球突破
23'巴索戈追击                   23'第23分钟，建业队获得第1分钟最好的机会，前场中路一个短传，里卡多禁区前沿得球突破
24'被人干扰下没有出球                   23'第23分钟，建业队获得第1分钟最好的机会，前场中路一个短传，里卡多禁区前沿得球突破
24'球被李光解围                   23'第23分钟，建业队获得第1分钟最好的机会，前场中路一个短传，里卡多禁区前沿得球突破
24'继续建业队球权                   23'第23分钟，建业队获得第1分钟最好的机会，前场中路一个短传，里卡多禁区前沿得球突破
25'里卡多得球                   23'第23分钟，建业队获得第1分钟最好的机会，前场中路一个短传，里卡多禁区前沿得球突破
25'一记远射                   23'第23分钟，建业队获得第1分钟最好的机会，前场中路一个短传，里卡多禁区前沿得球突破
25'打高了，球出底线，角球                   23'第23分钟，建业队获得第1分钟最好的机会，前场中路一个短传，里卡多禁区前沿得球突破
25'伊沃处理                   23'第23分钟，建业队获得第1分钟最好的机会，前场中路一个短传，里卡多禁区前沿得球突破
25'伊沃开出                   23'第23分钟，建业队获得第1分钟最好的机会，前场中路一个短传，里卡多禁区前沿得球突破
25'被阿德里安解围                   23'第23分钟，建业队获得第1分钟最好的机会，前场中路一个短传，里卡多禁区前沿得球突破
26'往前送，被伊哈洛解围                   23'第23分钟，建业队获得第1分钟最好的机会，前场中路一个短传，里卡多禁区前沿得球突破
26'伊哈洛被陈灏绊倒                   23'第23分钟，建业队获得第1分钟最好的机会，前场中路一个短传，里卡多禁区前沿得球突破
26'任意球                   23'第23分钟，建业队获得第1分钟最好的机会，前场中路一个短传，里卡多禁区前沿得球突破
26'亚泰队位置不错                   23'第23分钟，建业队获得第1分钟最好的机会，前场中路一个短传，里卡多禁区前沿得球突破
26'阿德里安开到中点                   23'第23分钟，建业队获得第1分钟最好的机会，前场中路一个短传，里卡多禁区前沿得球突破
26'于睿抢到头球                   23'第23分钟，建业队获得第1分钟最好的机会，前场中路一个短传，里卡多禁区前沿得球突破
26'顶高了                   23'第23分钟，建业队获得第1分钟最好的机会，前场中路一个短传，里卡多禁区前沿得球突破
25'里卡多得球                   25'第25分钟，亚泰得到一个位置不错的任意球机会，阿德里安开到了中点，于睿头球顶高了
25'一记远射                   25'第25分钟，亚泰得到一个位置不错的任意球机会，阿德里安开到了中点，于睿头球顶高了
25'打高了，球出底线，角球                   25'第25分钟，亚泰得到一个位置不错的任意球机会，阿德里安开到了中点，于睿头球顶高了
25'伊沃处理                   25'第25分钟，亚泰得到一个位置不错的任意球机会，阿德里安开到了中点，于睿头球顶高了
25'伊沃开出                   25'第25分钟，亚泰得到一个位置不错的任意球机会，阿德里安开到了中点，于睿头球顶高了
25'被阿德里安解围                   25'第25分钟，亚泰得到一个位置不错的任意球机会，阿德里安开到了中点，于睿头球顶高了
26'往前送，被伊哈洛解围                   25'第25分钟，亚泰得到一个位置不错的任意球机会，阿德里安开到了中点，于睿头球顶高了
26'伊哈洛被陈灏绊倒                   25'第25分钟，亚泰得到一个位置不错的任意球机会，阿德里安开到了中点，于睿头球顶高了
26'任意球                   25'第25分钟，亚泰得到一个位置不错的任意球机会，阿德里安开到了中点，于睿头球顶高了
26'亚泰队位置不错                   25'第25分钟，亚泰得到一个位置不错的任意球机会，阿德里安开到了中点，于睿头球顶高了
26'阿德里安开到中点                   25'第25分钟，亚泰得到一个位置不错的任意球机会，阿德里安开到了中点，于睿头球顶高了
26'于睿抢到头球                   25'第25分钟，亚泰得到一个位置不错的任意球机会，阿德里安开到了中点，于睿头球顶高了
26'顶高了                   25'第25分钟，亚泰得到一个位置不错的任意球机会，阿德里安开到了中点，于睿头球顶高了
27'吴龚开球门球                   25'第25分钟，亚泰得到一个位置不错的任意球机会，阿德里安开到了中点，于睿头球顶高了
27'大脚开往前场中路                   25'第25分钟，亚泰得到一个位置不错的任意球机会，阿德里安开到了中点，于睿头球顶高了
27'佩西诺维奇得到第一点                   25'第25分钟，亚泰得到一个位置不错的任意球机会，阿德里安开到了中点，于睿头球顶高了
27'顶到中圈                   25'第25分钟，亚泰得到一个位置不错的任意球机会，阿德里安开到了中点，于睿头球顶高了
27'中圈双方争抢                   25'第25分钟，亚泰得到一个位置不错的任意球机会，阿德里安开到了中点，于睿头球顶高了
27'王上源抬脚过高                   25'第25分钟，亚泰得到一个位置不错的任意球机会，阿德里安开到了中点，于睿头球顶高了
27'吃到了黄牌                   25'第25分钟，亚泰得到一个位置不错的任意球机会，阿德里安开到了中点，于睿头球顶高了
28'亚泰队快发任意球                   25'第25分钟，亚泰得到一个位置不错的任意球机会，阿德里安开到了中点，于睿头球顶高了
28'张笑飞发出被伊沃抢断                   25'第25分钟，亚泰得到一个位置不错的任意球机会，阿德里安开到了中点，于睿头球顶高了
28'伊沃带球                   25'第25分钟，亚泰得到一个位置不错的任意球机会，阿德里安开到了中点，于睿头球顶高了
28'被严智宇放倒                   25'第25分钟，亚泰得到一个位置不错的任意球机会，阿德里安开到了中点，于睿头球顶高了
28'吃黄了                   25'第25分钟，亚泰得到一个位置不错的任意球机会，阿德里安开到了中点，于睿头球顶高了
28'建业队发出，给到龙威                   25'第25分钟，亚泰得到一个位置不错的任意球机会，阿德里安开到了中点，于睿头球顶高了
31'佩西诺维奇过顶直传                   31'第31分钟，伊沃中圈拿球，李光一个飞铲将其放倒招致一张黄牌，双方火药味十足
31'给到李光                   31'第31分钟，伊沃中圈拿球，李光一个飞铲将其放倒招致一张黄牌，双方火药味十足
31'李光直塞                   31'第31分钟，伊沃中圈拿球，李光一个飞铲将其放倒招致一张黄牌，双方火药味十足
31'被断了                   31'第31分钟，伊沃中圈拿球，李光一个飞铲将其放倒招致一张黄牌，双方火药味十足
31'柯钊断球后找里卡多                   31'第31分钟，伊沃中圈拿球，李光一个飞铲将其放倒招致一张黄牌，双方火药味十足
31'传大了后场佩西诺维奇得球                   31'第31分钟，伊沃中圈拿球，李光一个飞铲将其放倒招致一张黄牌，双方火药味十足
32'大脚找李光                   31'第31分钟，伊沃中圈拿球，李光一个飞铲将其放倒招致一张黄牌，双方火药味十足
32'龙威断球                   31'第31分钟，伊沃中圈拿球，李光一个飞铲将其放倒招致一张黄牌，双方火药味十足
32'横敲伊沃                   31'第31分钟，伊沃中圈拿球，李光一个飞铲将其放倒招致一张黄牌，双方火药味十足
32'伊沃继续横敲                   31'第31分钟，伊沃中圈拿球，李光一个飞铲将其放倒招致一张黄牌，双方火药味十足
32'柯钊吊向禁区                   31'第31分钟，伊沃中圈拿球，李光一个飞铲将其放倒招致一张黄牌，双方火药味十足
33'混战中伊沃被李光铲到                   31'第31分钟，伊沃中圈拿球，李光一个飞铲将其放倒招致一张黄牌，双方火药味十足
33'吃到了黄牌                   31'第31分钟，伊沃中圈拿球，李光一个飞铲将其放倒招致一张黄牌，双方火药味十足
33'建业得到任意球                   31'第31分钟，伊沃中圈拿球，李光一个飞铲将其放倒招致一张黄牌，双方火药味十足
33'大脚往前开                   31'第31分钟，伊沃中圈拿球，李光一个飞铲将其放倒招致一张黄牌，双方火药味十足
33'陈灏头球后蹭                   31'第31分钟，伊沃中圈拿球，李光一个飞铲将其放倒招致一张黄牌，双方火药味十足
33'巴索戈做给身后杨阔                   31'第31分钟，伊沃中圈拿球，李光一个飞铲将其放倒招致一张黄牌，双方火药味十足
34'横敲中路王上源                   31'第31分钟，伊沃中圈拿球，李光一个飞铲将其放倒招致一张黄牌，双方火药味十足
34'再回给伊沃                   31'第31分钟，伊沃中圈拿球，李光一个飞铲将其放倒招致一张黄牌，双方火药味十足
34'伊沃近距离射门                   31'第31分钟，伊沃中圈拿球，李光一个飞铲将其放倒招致一张黄牌，双方火药味十足
34'被门将挡出                   31'第31分钟，伊沃中圈拿球，李光一个飞铲将其放倒招致一张黄牌，双方火药味十足
34'外围建业球权                   31'第31分钟，伊沃中圈拿球，李光一个飞铲将其放倒招致一张黄牌，双方火药味十足
34'龙威传中                   31'第31分钟，伊沃中圈拿球，李光一个飞铲将其放倒招致一张黄牌，双方火药味十足
34'球被孙捷顶出底线                   31'第31分钟，伊沃中圈拿球，李光一个飞铲将其放倒招致一张黄牌，双方火药味十足
34'角球                   31'第31分钟，伊沃中圈拿球，李光一个飞铲将其放倒招致一张黄牌，双方火药味十足
34'建业角球开出                   31'第31分钟，伊沃中圈拿球，李光一个飞铲将其放倒招致一张黄牌，双方火药味十足
38'李光得球                   38'第38分钟，建业策动反击，巴索戈迎队友长传沿右路高速前插，巴索戈停球过程中在无对抗情况下扭伤右侧大腿，队医迅速入场查看巴索戈伤情
38'被杨阔铲除边线                   38'第38分钟，建业策动反击，巴索戈迎队友长传沿右路高速前插，巴索戈停球过程中在无对抗情况下扭伤右侧大腿，队医迅速入场查看巴索戈伤情
38'何超界外球掷出                   38'第38分钟，建业策动反击，巴索戈迎队友长传沿右路高速前插，巴索戈停球过程中在无对抗情况下扭伤右侧大腿，队医迅速入场查看巴索戈伤情
38'中路何超得球，挑传前方                   38'第38分钟，建业策动反击，巴索戈迎队友长传沿右路高速前插，巴索戈停球过程中在无对抗情况下扭伤右侧大腿，队医迅速入场查看巴索戈伤情
38'巴索戈奋勇追球                   38'第38分钟，建业策动反击，巴索戈迎队友长传沿右路高速前插，巴索戈停球过程中在无对抗情况下扭伤右侧大腿，队医迅速入场查看巴索戈伤情
38'一对一之下巴索戈倒地                   38'第38分钟，建业策动反击，巴索戈迎队友长传沿右路高速前插，巴索戈停球过程中在无对抗情况下扭伤右侧大腿，队医迅速入场查看巴索戈伤情
39'痛苦地捂住了自己的膝盖                   38'第38分钟，建业策动反击，巴索戈迎队友长传沿右路高速前插，巴索戈停球过程中在无对抗情况下扭伤右侧大腿，队医迅速入场查看巴索戈伤情
39'看起来十分严重                   38'第38分钟，建业策动反击，巴索戈迎队友长传沿右路高速前插，巴索戈停球过程中在无对抗情况下扭伤右侧大腿，队医迅速入场查看巴索戈伤情
39'队医担架进入场内                   38'第38分钟，建业策动反击，巴索戈迎队友长传沿右路高速前插，巴索戈停球过程中在无对抗情况下扭伤右侧大腿，队医迅速入场查看巴索戈伤情
39'巴索戈一瘸一拐想继续坚持                   38'第38分钟，建业策动反击，巴索戈迎队友长传沿右路高速前插，巴索戈停球过程中在无对抗情况下扭伤右侧大腿，队医迅速入场查看巴索戈伤情
40'建业把球权还给亚泰                   38'第38分钟，建业策动反击，巴索戈迎队友长传沿右路高速前插，巴索戈停球过程中在无对抗情况下扭伤右侧大腿，队医迅速入场查看巴索戈伤情
40'比赛继续                   38'第38分钟，建业策动反击，巴索戈迎队友长传沿右路高速前插，巴索戈停球过程中在无对抗情况下扭伤右侧大腿，队医迅速入场查看巴索戈伤情
40'爱得连传中被顶出来                   38'第38分钟，建业策动反击，巴索戈迎队友长传沿右路高速前插，巴索戈停球过程中在无对抗情况下扭伤右侧大腿，队医迅速入场查看巴索戈伤情
40'建业队迅速反击                   38'第38分钟，建业策动反击，巴索戈迎队友长传沿右路高速前插，巴索戈停球过程中在无对抗情况下扭伤右侧大腿，队医迅速入场查看巴索戈伤情
40'柯钊横敲中路                   38'第38分钟，建业策动反击，巴索戈迎队友长传沿右路高速前插，巴索戈停球过程中在无对抗情况下扭伤右侧大腿，队医迅速入场查看巴索戈伤情
41'杨阔得球                   38'第38分钟，建业策动反击，巴索戈迎队友长传沿右路高速前插，巴索戈停球过程中在无对抗情况下扭伤右侧大腿，队医迅速入场查看巴索戈伤情
41'交给巴索戈                   38'第38分钟，建业策动反击，巴索戈迎队友长传沿右路高速前插，巴索戈停球过程中在无对抗情况下扭伤右侧大腿，队医迅速入场查看巴索戈伤情
41'巴索戈带到禁区右侧给到杨阔                   38'第38分钟，建业策动反击，巴索戈迎队友长传沿右路高速前插，巴索戈停球过程中在无对抗情况下扭伤右侧大腿，队医迅速入场查看巴索戈伤情
41'被断了                   38'第38分钟，建业策动反击，巴索戈迎队友长传沿右路高速前插，巴索戈停球过程中在无对抗情况下扭伤右侧大腿，队医迅速入场查看巴索戈伤情
41'柯钊得球                   38'第38分钟，建业策动反击，巴索戈迎队友长传沿右路高速前插，巴索戈停球过程中在无对抗情况下扭伤右侧大腿，队医迅速入场查看巴索戈伤情
41'给到龙威                   38'第38分钟，建业策动反击，巴索戈迎队友长传沿右路高速前插，巴索戈停球过程中在无对抗情况下扭伤右侧大腿，队医迅速入场查看巴索戈伤情
41'大范围转移到右路                   38'第38分钟，建业策动反击，巴索戈迎队友长传沿右路高速前插，巴索戈停球过程中在无对抗情况下扭伤右侧大腿，队医迅速入场查看巴索戈伤情
43'传中被祎凡没收                   43'第43分钟，建业获得中场右侧的任意球机会，定位球给到门前被顶出来，外围柯钊得球吊到禁区，巴索戈停球还是被解围出来
43'何超大脚                   43'第43分钟，建业获得中场右侧的任意球机会，定位球给到门前被顶出来，外围柯钊得球吊到禁区，巴索戈停球还是被解围出来
