24'长春亚泰队长传球，找谭龙！被对方断下来                   24'第24分钟，伊哈洛推射破门，帮助长春亚泰取得领先
59'吴兴涵中路进攻！对方铲球犯规！                   58'第13分钟，山东鲁能禁区前断球，佩莱推土机式推进造成混乱，塔尔德利射门被门将挡了一下，在即将越过门线时被后卫挡出
59'任意球发出来，分到右路进攻！                   58'第13分钟，山东鲁能禁区前断球，佩莱推土机式推进造成混乱，塔尔德利射门被门将挡了一下，在即将越过门线时被后卫挡出
61'金敬道直传球！对方把球破坏                   58'第13分钟，山东鲁能禁区前断球，佩莱推土机式推进造成混乱，塔尔德利射门被门将挡了一下，在即将越过门线时被后卫挡出
70'长春亚泰队得到前场任意球机会                   69'第24分钟，长春亚泰打破僵局，谭龙禁区前沿分球，范晓冬边路突破到底线附近倒三角回传，伊哈洛跟进推射破门，长春亚泰1-0领先
70'任意球直接打门！王大雷没收、                   69'第24分钟，长春亚泰打破僵局，谭龙禁区前沿分球，范晓冬边路突破到底线附近倒三角回传，伊哈洛跟进推射破门，长春亚泰1-0领先
71'双方又发生了争执！！怎么了？                   69'第24分钟，长春亚泰打破僵局，谭龙禁区前沿分球，范晓冬边路突破到底线附近倒三角回传，伊哈洛跟进推射破门，长春亚泰1-0领先
71'范晓冬和金敬道！！                   69'第24分钟，长春亚泰打破僵局，谭龙禁区前沿分球，范晓冬边路突破到底线附近倒三角回传，伊哈洛跟进推射破门，长春亚泰1-0领先
72'鲁能泰山队得到角球机会                   69'第24分钟，长春亚泰打破僵局，谭龙禁区前沿分球，范晓冬边路突破到底线附近倒三角回传，伊哈洛跟进推射破门，长春亚泰1-0领先
72'角球发到禁区内！对方破坏出来                   69'第24分钟，长春亚泰打破僵局，谭龙禁区前沿分球，范晓冬边路突破到底线附近倒三角回传，伊哈洛跟进推射破门，长春亚泰1-0领先
72'长春亚泰队右路进攻！转移到右路！                   69'第24分钟，长春亚泰打破僵局，谭龙禁区前沿分球，范晓冬边路突破到底线附近倒三角回传，伊哈洛跟进推射破门，长春亚泰1-0领先
87'后场长春亚泰队得球，分到左路进攻                   87'第42分钟，长春亚泰打出快速反击，谭龙送出直塞，伊哈洛单刀甩开出击的王大雷射空门，球被门前的戴琳挡出
87'鲁能泰山队快速反击！王彤带球突破                   87'第42分钟，长春亚泰打出快速反击，谭龙送出直塞，伊哈洛单刀甩开出击的王大雷射空门，球被门前的戴琳挡出
87'王彤右路横传，想找塔尔德利！被对方抢断                   87'第42分钟，长春亚泰打出快速反击，谭龙送出直塞，伊哈洛单刀甩开出击的王大雷射空门，球被门前的戴琳挡出
87'中场鲁能泰山队断球！                   87'第42分钟，长春亚泰打出快速反击，谭龙送出直塞，伊哈洛单刀甩开出击的王大雷射空门，球被门前的戴琳挡出
88'米尔泽耶夫斯基右路组织进攻                   87'第42分钟，长春亚泰打出快速反击，谭龙送出直塞，伊哈洛单刀甩开出击的王大雷射空门，球被门前的戴琳挡出
88'外围远射！！被挡出来                   87'第42分钟，长春亚泰打出快速反击，谭龙送出直塞，伊哈洛单刀甩开出击的王大雷射空门，球被门前的戴琳挡出
89'张驰后场抢球，对方抬脚过高！！踢到了张驰脸上！                   87'第42分钟，长春亚泰打出快速反击，谭龙送出直塞，伊哈洛单刀甩开出击的王大雷射空门，球被门前的戴琳挡出
89'金敬道带球到禁区内，侧身打门！！偏出！                   87'第42分钟，长春亚泰打出快速反击，谭龙送出直塞，伊哈洛单刀甩开出击的王大雷射空门，球被门前的戴琳挡出
92'米尔泽耶夫斯基右路突破被张驰放倒                   92'第47分钟，塔尔德利边路传中，佩莱迎球狮子甩头形成吊射破门，山东鲁能将比分扳平为1-1
92'米尔泽耶夫斯基发任意球！直接打门！                   92'第47分钟，塔尔德利边路传中，佩莱迎球狮子甩头形成吊射破门，山东鲁能将比分扳平为1-1
92'王大雷没收！                   92'第47分钟，塔尔德利边路传中，佩莱迎球狮子甩头形成吊射破门，山东鲁能将比分扳平为1-1
93'鲁能泰山队长传球！！塔尔德利和队友双箭齐发！！反越位，塔尔德利面对门将打门，祎凡出击将塔尔德利放倒！！黄牌！！点球！！                   92'第47分钟，塔尔德利边路传中，佩莱迎球狮子甩头形成吊射破门，山东鲁能将比分扳平为1-1
94'塔尔德利主罚点球！被祎凡扑出来！！！！                   92'第47分钟，塔尔德利边路传中，佩莱迎球狮子甩头形成吊射破门，山东鲁能将比分扳平为1-1
71'双方又发生了争执！！怎么了？                   71'第71分钟，长春亚泰获得前场任意球，梅泽耶夫斯基远射被王大雷扑出
71'范晓冬和金敬道！！                   71'第71分钟，长春亚泰获得前场任意球，梅泽耶夫斯基远射被王大雷扑出
72'鲁能泰山队得到角球机会                   71'第71分钟，长春亚泰获得前场任意球，梅泽耶夫斯基远射被王大雷扑出
72'角球发到禁区内！对方破坏出来                   71'第71分钟，长春亚泰获得前场任意球，梅泽耶夫斯基远射被王大雷扑出
72'长春亚泰队右路进攻！转移到右路！                   71'第71分钟，长春亚泰获得前场任意球，梅泽耶夫斯基远射被王大雷扑出
73'吉尔得球大脚开球到前场！                   71'第71分钟，长春亚泰获得前场任意球，梅泽耶夫斯基远射被王大雷扑出
74'塔尔德利前场得球！打一脚                   71'第71分钟，长春亚泰获得前场任意球，梅泽耶夫斯基远射被王大雷扑出
74'金敬道突破斜传禁区！塔尔德利抢点劲射！打高                   71'第71分钟，长春亚泰获得前场任意球，梅泽耶夫斯基远射被王大雷扑出
74'塔尔德利前场得球！打一脚                   74'第74分钟，崔鹏禁区外凌空抽射高出横梁
74'金敬道突破斜传禁区！塔尔德利抢点劲射！打高                   74'第74分钟，崔鹏禁区外凌空抽射高出横梁
75'长春亚泰队进攻到前导播，逼得任意球机会                   74'第74分钟，崔鹏禁区外凌空抽射高出横梁
76'任意球发到禁区内，对方解围出来                   74'第74分钟，崔鹏禁区外凌空抽射高出横梁
76'金敬道争顶球，被对方压倒在地                   74'第74分钟，崔鹏禁区外凌空抽射高出横梁
87'后场长春亚泰队得球，分到左路进攻                   86'第86分钟，长春亚泰有些心态失衡，李光犯规被黄牌警告
87'鲁能泰山队快速反击！王彤带球突破                   86'第86分钟，长春亚泰有些心态失衡，李光犯规被黄牌警告
87'王彤右路横传，想找塔尔德利！被对方抢断                   86'第86分钟，长春亚泰有些心态失衡，李光犯规被黄牌警告
87'中场鲁能泰山队断球！                   86'第86分钟，长春亚泰有些心态失衡，李光犯规被黄牌警告
88'米尔泽耶夫斯基右路组织进攻                   86'第86分钟，长春亚泰有些心态失衡，李光犯规被黄牌警告
88'外围远射！！被挡出来                   86'第86分钟，长春亚泰有些心态失衡，李光犯规被黄牌警告
89'张驰后场抢球，对方抬脚过高！！踢到了张驰脸上！                   86'第86分钟，长春亚泰有些心态失衡，李光犯规被黄牌警告
89'金敬道带球到禁区内，侧身打门！！偏出！                   86'第86分钟，长春亚泰有些心态失衡，李光犯规被黄牌警告
