1'上半场比赛开始                   1'鲁能第1分钟打得非常积极，第4分钟郑峥禁区外左路远射打偏
15'吕征顺路接球，对方两人包夹把球抢断下来                   13'第13分钟尼库莱左路带球欲突破，斯基亚维抢先将其撞倒在地，王永珀左路任意球开到小禁区，王大雷在麦克格文头顶上把球打出危险地带
16'崔鹏中场得球，横敲给王彤                   13'第13分钟尼库莱左路带球欲突破，斯基亚维抢先将其撞倒在地，王永珀左路任意球开到小禁区，王大雷在麦克格文头顶上把球打出危险地带
16'王彤直传球想给马塞纳，斯基亚维把球破坏                   13'第13分钟尼库莱左路带球欲突破，斯基亚维抢先将其撞倒在地，王永珀左路任意球开到小禁区，王大雷在麦克格文头顶上把球打出危险地带
16'后场上海申花队得球大脚长传，哈蒂布脚下打滑                   13'第13分钟尼库莱左路带球欲突破，斯基亚维抢先将其撞倒在地，王永珀左路任意球开到小禁区，王大雷在麦克格文头顶上把球打出危险地带
17'崔鹏在前场右路得球又是一脚大脚远射，打鸟？                   17'第17分钟鲁能意外进球，右路界外球开掷进之后，崔鹏拿球低平球传到禁区中央，接应而上的杜威把球往禁区深处垫传，身高马大的尼库莱在高球争夺优势明显，他抗住李建滨头球磕射死角，王大雷奋力扑救但也无济于事，1比0，山东鲁能领先
17'上海申花队左路攻到前场，王彤把球回传给耿晓锋                   17'第17分钟鲁能意外进球，右路界外球开掷进之后，崔鹏拿球低平球传到禁区中央，接应而上的杜威把球往禁区深处垫传，身高马大的尼库莱在高球争夺优势明显，他抗住李建滨头球磕射死角，王大雷奋力扑救但也无济于事，1比0，山东鲁能领先
18'崔鹏横传球，王永珀直传禁区，马塞纳接球横传被王寿挺挡出底线！                   17'第17分钟鲁能意外进球，右路界外球开掷进之后，崔鹏拿球低平球传到禁区中央，接应而上的杜威把球往禁区深处垫传，身高马大的尼库莱在高球争夺优势明显，他抗住李建滨头球磕射死角，王大雷奋力扑救但也无济于事，1比0，山东鲁能领先
18'送给鲁能泰山队又一个角球                   17'第17分钟鲁能意外进球，右路界外球开掷进之后，崔鹏拿球低平球传到禁区中央，接应而上的杜威把球往禁区深处垫传，身高马大的尼库莱在高球争夺优势明显，他抗住李建滨头球磕射死角，王大雷奋力扑救但也无济于事，1比0，山东鲁能领先
18'崔鹏发战术角球                   17'第17分钟鲁能意外进球，右路界外球开掷进之后，崔鹏拿球低平球传到禁区中央，接应而上的杜威把球往禁区深处垫传，身高马大的尼库莱在高球争夺优势明显，他抗住李建滨头球磕射死角，王大雷奋力扑救但也无济于事，1比0，山东鲁能领先
19'鲁能泰山队进球了，尼库莱，1-0                   17'第17分钟鲁能意外进球，右路界外球开掷进之后，崔鹏拿球低平球传到禁区中央，接应而上的杜威把球往禁区深处垫传，身高马大的尼库莱在高球争夺优势明显，他抗住李建滨头球磕射死角，王大雷奋力扑救但也无济于事，1比0，山东鲁能领先
19'崔鹏发出战术角球，王永珀回传，崔鹏斜传禁区，杜威把球过渡一下，尼库莱抢点头球顶门，皮球应声入网！！！                   17'第17分钟鲁能意外进球，右路界外球开掷进之后，崔鹏拿球低平球传到禁区中央，接应而上的杜威把球往禁区深处垫传，身高马大的尼库莱在高球争夺优势明显，他抗住李建滨头球磕射死角，王大雷奋力扑救但也无济于事，1比0，山东鲁能领先
25'吕征右路带球进攻，柏佳骏把球铲出边线                   25'第25分钟柏佳骏在和耿晓峰争球时意外受伤，被担架队抬出，但很快起身回场再战
25'丢球后上海申花队的阵形明显前压！                   25'第25分钟柏佳骏在和耿晓峰争球时意外受伤，被担架队抬出，但很快起身回场再战
26'上海申花队长传球，徐亮越位                   25'第25分钟柏佳骏在和耿晓峰争球时意外受伤，被担架队抬出，但很快起身回场再战
27'鲁能泰山队回传球给耿晓锋，耿晓锋有点托大啊，解围时被挡了一下，不过球没有落到申花队员脚下！！                   25'第25分钟柏佳骏在和耿晓峰争球时意外受伤，被担架队抬出，但很快起身回场再战
27'否则就有打空门的机会了                   25'第25分钟柏佳骏在和耿晓峰争球时意外受伤，被担架队抬出，但很快起身回场再战
28'王大雷在解围时柏佳骏脚受了点伤                   25'第25分钟柏佳骏在和耿晓峰争球时意外受伤，被担架队抬出，但很快起身回场再战
28'吕征右路突破横传，对方把球破坏                   25'第25分钟柏佳骏在和耿晓峰争球时意外受伤，被担架队抬出，但很快起身回场再战
28'柏佳骏被抬出场外                   25'第25分钟柏佳骏在和耿晓峰争球时意外受伤，被担架队抬出，但很快起身回场再战
30'吕征快速反击，莫雷诺铲球时手球犯规                   30'第30分钟吕征右路拿球后轻松过掉柏佳骏后怒射，被王大雷扑出底线，随后柏佳骏倒在地上，他已无力再战
30'铲球应该用脚啊，用手可不行！！！                   30'第30分钟吕征右路拿球后轻松过掉柏佳骏后怒射，被王大雷扑出底线，随后柏佳骏倒在地上，他已无力再战
30'王彤右路突破直传给了王永珀，又横传右路的吕征                   30'第30分钟吕征右路拿球后轻松过掉柏佳骏后怒射，被王大雷扑出底线，随后柏佳骏倒在地上，他已无力再战
30'吕征回传，王彤斜传，王永珀想外围远射被挡出                   30'第30分钟吕征右路拿球后轻松过掉柏佳骏后怒射，被王大雷扑出底线，随后柏佳骏倒在地上，他已无力再战
31'吕征右路突破到禁区内，左冲右突小角度打门，被王大雷破坏出底线                   30'第30分钟吕征右路拿球后轻松过掉柏佳骏后怒射，被王大雷扑出底线，随后柏佳骏倒在地上，他已无力再战
31'柏佳骏又倒在地上，看来是无法坚持了！！！！                   30'第30分钟吕征右路拿球后轻松过掉柏佳骏后怒射，被王大雷扑出底线，随后柏佳骏倒在地上，他已无力再战
32'柏佳骏又被抬出场外                   30'第30分钟吕征右路拿球后轻松过掉柏佳骏后怒射，被王大雷扑出底线，随后柏佳骏倒在地上，他已无力再战
32'上海申花队被动换人，换下了柏佳骏，换上了8号宋博轩                   30'第30分钟吕征右路拿球后轻松过掉柏佳骏后怒射，被王大雷扑出底线，随后柏佳骏倒在地上，他已无力再战
32'角球发到禁区内，对方把球破坏，继续角球                   30'第30分钟吕征右路拿球后轻松过掉柏佳骏后怒射，被王大雷扑出底线，随后柏佳骏倒在地上，他已无力再战
33'这次角球发到禁区内，头球顶门被挡出来，外围远射被王大雷没收                   30'第30分钟吕征右路拿球后轻松过掉柏佳骏后怒射，被王大雷扑出底线，随后柏佳骏倒在地上，他已无力再战
33'这次角球发到禁区内，头球顶门被挡出来，外围远射被王大雷没收                   33'第33分钟鲁能开出战术角球，王永珀搓射右角被王大雷接住
34'鲁能泰山队右路直传，王永珀底线努力把球停下来，横传被破坏出底线                   33'第33分钟鲁能开出战术角球，王永珀搓射右角被王大雷接住
35'战术角球发出来斜传禁区，王大雷把球没收                   33'第33分钟鲁能开出战术角球，王永珀搓射右角被王大雷接住
35'吕征右路突破回传一下，王永珀的一脚大力远射险些破门，被王大雷奋力托出横梁！！！！                   33'第33分钟鲁能开出战术角球，王永珀搓射右角被王大雷接住
36'世界级的射门+世界级的扑救＝世界级的场面！                   33'第33分钟鲁能开出战术角球，王永珀搓射右角被王大雷接住
36'真是精彩啊                   33'第33分钟鲁能开出战术角球，王永珀搓射右角被王大雷接住
36'上海申花队中路进攻，耿晓锋把球破坏出边线                   33'第33分钟鲁能开出战术角球，王永珀搓射右角被王大雷接住
36'界外球发出来，鲁能泰山队断球反击                   33'第33分钟鲁能开出战术角球，王永珀搓射右角被王大雷接住
36'世界级的射门+世界级的扑救＝世界级的场面！                   36'第36分钟，尼库莱身后球巧塞左路，马塞纳拿球后单刀杀入禁区后推射，被王大雷生生挡出
36'真是精彩啊                   36'第36分钟，尼库莱身后球巧塞左路，马塞纳拿球后单刀杀入禁区后推射，被王大雷生生挡出
36'上海申花队中路进攻，耿晓锋把球破坏出边线                   36'第36分钟，尼库莱身后球巧塞左路，马塞纳拿球后单刀杀入禁区后推射，被王大雷生生挡出
36'界外球发出来，鲁能泰山队断球反击                   36'第36分钟，尼库莱身后球巧塞左路，马塞纳拿球后单刀杀入禁区后推射，被王大雷生生挡出
37'尼库莱左路直传禁区，马塞纳反越位成功！！！！单刀啊，马塞纳多带了一步，王大雷出来了，小角度打门被王大雷扑出！！！！                   36'第36分钟，尼库莱身后球巧塞左路，马塞纳拿球后单刀杀入禁区后推射，被王大雷生生挡出
37'角球发到禁区内，王大雷出击把球打出来                   36'第36分钟，尼库莱身后球巧塞左路，马塞纳拿球后单刀杀入禁区后推射，被王大雷生生挡出
38'王大雷把球打出的同时，带手套的手打在了尼库莱的脸上，还是吹了尼库莱冲撞守门员                   36'第36分钟，尼库莱身后球巧塞左路，马塞纳拿球后单刀杀入禁区后推射，被王大雷生生挡出
38'李建滨左路得球，回传给戴琳                   36'第36分钟，尼库莱身后球巧塞左路，马塞纳拿球后单刀杀入禁区后推射，被王大雷生生挡出
38'上海申花队后场长传，送到了耿晓锋的怀里                   36'第36分钟，尼库莱身后球巧塞左路，马塞纳拿球后单刀杀入禁区后推射，被王大雷生生挡出
39'尼库莱的脸部出血了，看来带手套的手打在脸上，杀伤力还是蛮强的！！                   36'第36分钟，尼库莱身后球巧塞左路，马塞纳拿球后单刀杀入禁区后推射，被王大雷生生挡出
40'徐亮左路带球反击，王永珀背后有抱的动作，黄牌吃上了！！！                   40'第40分钟郑峥左路传中，尼库莱轻松摆脱李建滨，面对王大雷头球遗憾顶高
41'尼库莱中场得球，回传给了崔鹏                   40'第40分钟郑峥左路传中，尼库莱轻松摆脱李建滨，面对王大雷头球遗憾顶高
41'崔鹏大脚长传前场左路，王永珀横传禁区，尼库莱抢点头球顶门，真是配合精彩啊，球到人到，可惜顶得稍高！！！！                   40'第40分钟郑峥左路传中，尼库莱轻松摆脱李建滨，面对王大雷头球遗憾顶高
42'崔鹏的视野真开阔，王永珀传得真精准，尼库莱跑得真到位！！！只可惜没有进啊！！！                   40'第40分钟郑峥左路传中，尼库莱轻松摆脱李建滨，面对王大雷头球遗憾顶高
42'王永珀传球到禁区内，斯基亚维连人加球一块铲，还好铲到球，把球破坏                   40'第40分钟郑峥左路传中，尼库莱轻松摆脱李建滨，面对王大雷头球遗憾顶高
43'马塞纳啊马塞纳，有能力没有运气啊！！！                   40'第40分钟郑峥左路传中，尼库莱轻松摆脱李建滨，面对王大雷头球遗憾顶高
43'鲁能泰山队传球到禁区内，马塞纳抢点打门，又击中立柱！！                   40'第40分钟郑峥左路传中，尼库莱轻松摆脱李建滨，面对王大雷头球遗憾顶高
43'马塞纳啊马塞纳，有能力没有运气啊！！！                   43'第43分钟吕征右路杀到禁区，带开戴琳后怒射，又被王大雷扑出底线，角球开出，混战中宋博轩门线上头球将球解
43'鲁能泰山队传球到禁区内，马塞纳抢点打门，又击中立柱！！                   43'第43分钟吕征右路杀到禁区，带开戴琳后怒射，又被王大雷扑出底线，角球开出，混战中宋博轩门线上头球将球解
44'上海申花队右距起球到禁区内，耿晓锋骑马射箭的姿式，把球摘到                   43'第43分钟吕征右路杀到禁区，带开戴琳后怒射，又被王大雷扑出底线，角球开出，混战中宋博轩门线上头球将球解
45'吕征右路突破到禁区内，晃动中突然起脚打门，被王大雷挡出                   43'第43分钟吕征右路杀到禁区，带开戴琳后怒射，又被王大雷扑出底线，角球开出，混战中宋博轩门线上头球将球解
46'角球发到禁区内，插上队员头球顶门，宋博轩在球门线上把球顶出来                   43'第43分钟吕征右路杀到禁区，带开戴琳后怒射，又被王大雷扑出底线，角球开出，混战中宋博轩门线上头球将球解
46'上半场比赛要补时 2 分钟                   43'第43分钟吕征右路杀到禁区，带开戴琳后怒射，又被王大雷扑出底线，角球开出，混战中宋博轩门线上头球将球解
46'更正一下：刚才是崔鹏发角球到禁区内，前点过渡，后点尼库莱打门被宋博轩在球门线上把球破坏出来！！！                   43'第43分钟吕征右路杀到禁区，带开戴琳后怒射，又被王大雷扑出底线，角球开出，混战中宋博轩门线上头球将球解
46'下半场比赛开始                   43'第43分钟吕征右路杀到禁区，带开戴琳后怒射，又被王大雷扑出底线，角球开出，混战中宋博轩门线上头球将球解
46'王永珀运球，对方铲球犯规                   43'第43分钟吕征右路杀到禁区，带开戴琳后怒射，又被王大雷扑出底线，角球开出，混战中宋博轩门线上头球将球解
50'鲁能泰山队得到前场右翼任意球机会                   50'第50分钟王寿挺拦截郑峥快攻时犯规吃到黄牌
50'任意球发到禁区内前点，对方把球破坏出来                   50'第50分钟王寿挺拦截郑峥快攻时犯规吃到黄牌
50'上海申花队打反击了，二打一的机会                   50'第50分钟王寿挺拦截郑峥快攻时犯规吃到黄牌
50'后场鲁能泰山队断球左路反击，郑铮突破造成王寿挺阻挡犯规，吃到黄牌                   50'第50分钟王寿挺拦截郑峥快攻时犯规吃到黄牌
51'王永珀中路突破，被对方放倒，任意球                   50'第50分钟王寿挺拦截郑峥快攻时犯规吃到黄牌
52'王永珀向裁判示意，应该出牌。主裁判手下留情                   50'第50分钟王寿挺拦截郑峥快攻时犯规吃到黄牌
52'犯规的是戴琳                   50'第50分钟王寿挺拦截郑峥快攻时犯规吃到黄牌
52'任意球发到禁区内，王大雷把球得到                   50'第50分钟王寿挺拦截郑峥快攻时犯规吃到黄牌
52'莫雷诺右翼突破，麦克格文把球铲出，同时放倒了进攻队员                   50'第50分钟王寿挺拦截郑峥快攻时犯规吃到黄牌
52'莫雷诺倒在地上，显得很痛苦，腿受了些伤                   50'第50分钟王寿挺拦截郑峥快攻时犯规吃到黄牌
53'曹赟定右路横传，后点队员抢点打门，被耿晓锋没收                   50'第50分钟王寿挺拦截郑峥快攻时犯规吃到黄牌
53'吕征右翼突破横传禁区，斯基亚维把进攻队员挡在身后                   50'第50分钟王寿挺拦截郑峥快攻时犯规吃到黄牌
52'王永珀向裁判示意，应该出牌。主裁判手下留情                   52'第52分钟莫雷诺倒地传球给曹S定，后者右路下底传中，宋博轩怒射可惜打在鲁能队员身上被耿晓峰得到
52'犯规的是戴琳                   52'第52分钟莫雷诺倒地传球给曹S定，后者右路下底传中，宋博轩怒射可惜打在鲁能队员身上被耿晓峰得到
52'任意球发到禁区内，王大雷把球得到                   52'第52分钟莫雷诺倒地传球给曹S定，后者右路下底传中，宋博轩怒射可惜打在鲁能队员身上被耿晓峰得到
52'莫雷诺右翼突破，麦克格文把球铲出，同时放倒了进攻队员                   52'第52分钟莫雷诺倒地传球给曹S定，后者右路下底传中，宋博轩怒射可惜打在鲁能队员身上被耿晓峰得到
52'莫雷诺倒在地上，显得很痛苦，腿受了些伤                   52'第52分钟莫雷诺倒地传球给曹S定，后者右路下底传中，宋博轩怒射可惜打在鲁能队员身上被耿晓峰得到
53'曹赟定右路横传，后点队员抢点打门，被耿晓锋没收                   52'第52分钟莫雷诺倒地传球给曹S定，后者右路下底传中，宋博轩怒射可惜打在鲁能队员身上被耿晓峰得到
53'吕征右翼突破横传禁区，斯基亚维把进攻队员挡在身后                   52'第52分钟莫雷诺倒地传球给曹S定，后者右路下底传中，宋博轩怒射可惜打在鲁能队员身上被耿晓峰得到
55'马塞纳把球分到左路，王永珀横向突破传球没有传过去                   52'第52分钟莫雷诺倒地传球给曹S定，后者右路下底传中，宋博轩怒射可惜打在鲁能队员身上被耿晓峰得到
55'戴琳把球断下来                   52'第52分钟莫雷诺倒地传球给曹S定，后者右路下底传中，宋博轩怒射可惜打在鲁能队员身上被耿晓峰得到
55'莫雷诺右路突破直传，险些单刀，麦克格文把球抢断                   52'第52分钟莫雷诺倒地传球给曹S定，后者右路下底传中，宋博轩怒射可惜打在鲁能队员身上被耿晓峰得到
55'吕征右路突破，李建滨把球破坏                   52'第52分钟莫雷诺倒地传球给曹S定，后者右路下底传中，宋博轩怒射可惜打在鲁能队员身上被耿晓峰得到
58'郑铮左路带球进攻，莫雷诺抢球动作大了些，裁判给以口头警告                   58'第58分钟鲁能右路传中，戴琳铲球解围，没想到李建滨倒打一耙，竟然把皮球在底线附近给钩回到禁区，马塞纳候个正着怒射破门
58'鲁能泰山队长传球到前场，尼库莱接球形成单刀了，可惜哨先响了，越位                   58'第58分钟鲁能右路传中，戴琳铲球解围，没想到李建滨倒打一耙，竟然把皮球在底线附近给钩回到禁区，马塞纳候个正着怒射破门
59'上海申花队中路直传禁区，哈蒂布和莫雷诺双箭齐发，被耿晓锋出击把球扑住                   58'第58分钟鲁能右路传中，戴琳铲球解围，没想到李建滨倒打一耙，竟然把皮球在底线附近给钩回到禁区，马塞纳候个正着怒射破门
60'吕征右路横传禁区，对方解围出底线，上海申花队员在底线把球救回来，尼库莱打门球进！！！                   58'第58分钟鲁能右路传中，戴琳铲球解围，没想到李建滨倒打一耙，竟然把皮球在底线附近给钩回到禁区，马塞纳候个正着怒射破门
60'但吹了先出底线，鲁能泰山队角球！                   58'第58分钟鲁能右路传中，戴琳铲球解围，没想到李建滨倒打一耙，竟然把皮球在底线附近给钩回到禁区，马塞纳候个正着怒射破门
60'今天鲁能泰山队运气不佳                   58'第58分钟鲁能右路传中，戴琳铲球解围，没想到李建滨倒打一耙，竟然把皮球在底线附近给钩回到禁区，马塞纳候个正着怒射破门
60'上海申花队进球了，哈蒂布！！！1-1                   58'第58分钟鲁能右路传中，戴琳铲球解围，没想到李建滨倒打一耙，竟然把皮球在底线附近给钩回到禁区，马塞纳候个正着怒射破门
61'...哈蒂布在前场得球后一对一过了郑铮，横带晃过安塔尔，一脚劲射破门！                   58'第58分钟鲁能右路传中，戴琳铲球解围，没想到李建滨倒打一耙，竟然把皮球在底线附近给钩回到禁区，马塞纳候个正着怒射破门
61'这样双方回到同一起跑线上！                   58'第58分钟鲁能右路传中，戴琳铲球解围，没想到李建滨倒打一耙，竟然把皮球在底线附近给钩回到禁区，马塞纳候个正着怒射破门
60'吕征右路横传禁区，对方解围出底线，上海申花队员在底线把球救回来，尼库莱打门球进！！！                   60'躲过一劫的申花积极进攻，第60分钟申花后场长传，哈蒂布前场拿到球后，利用脚下技术连续带开郑峥和安塔尔的防守后起左脚怒射，皮球划出一道弧线，飞入球门后点，1比1，申花艰难扳平
60'但吹了先出底线，鲁能泰山队角球！                   60'躲过一劫的申花积极进攻，第60分钟申花后场长传，哈蒂布前场拿到球后，利用脚下技术连续带开郑峥和安塔尔的防守后起左脚怒射，皮球划出一道弧线，飞入球门后点，1比1，申花艰难扳平
60'今天鲁能泰山队运气不佳                   60'躲过一劫的申花积极进攻，第60分钟申花后场长传，哈蒂布前场拿到球后，利用脚下技术连续带开郑峥和安塔尔的防守后起左脚怒射，皮球划出一道弧线，飞入球门后点，1比1，申花艰难扳平
60'上海申花队进球了，哈蒂布！！！1-1                   60'躲过一劫的申花积极进攻，第60分钟申花后场长传，哈蒂布前场拿到球后，利用脚下技术连续带开郑峥和安塔尔的防守后起左脚怒射，皮球划出一道弧线，飞入球门后点，1比1，申花艰难扳平
61'...哈蒂布在前场得球后一对一过了郑铮，横带晃过安塔尔，一脚劲射破门！                   60'躲过一劫的申花积极进攻，第60分钟申花后场长传，哈蒂布前场拿到球后，利用脚下技术连续带开郑峥和安塔尔的防守后起左脚怒射，皮球划出一道弧线，飞入球门后点，1比1，申花艰难扳平
61'这样双方回到同一起跑线上！                   60'躲过一劫的申花积极进攻，第60分钟申花后场长传，哈蒂布前场拿到球后，利用脚下技术连续带开郑峥和安塔尔的防守后起左脚怒射，皮球划出一道弧线，飞入球门后点，1比1，申花艰难扳平
62'后场上海申花队得球左路反击，到前场横传中路                   60'躲过一劫的申花积极进攻，第60分钟申花后场长传，哈蒂布前场拿到球后，利用脚下技术连续带开郑峥和安塔尔的防守后起左脚怒射，皮球划出一道弧线，飞入球门后点，1比1，申花艰难扳平
62'托兰佐外围大力远射，皮球偏出                   60'躲过一劫的申花积极进攻，第60分钟申花后场长传，哈蒂布前场拿到球后，利用脚下技术连续带开郑峥和安塔尔的防守后起左脚怒射，皮球划出一道弧线，飞入球门后点，1比1，申花艰难扳平
63'上海申花队左路横传禁区，郑铮把球破坏出底线                   60'躲过一劫的申花积极进攻，第60分钟申花后场长传，哈蒂布前场拿到球后，利用脚下技术连续带开郑峥和安塔尔的防守后起左脚怒射，皮球划出一道弧线，飞入球门后点，1比1，申花艰难扳平
63'上海申花队左路横传禁区，郑铮把球破坏出底线                   63'第63分钟申花左路传中，皮球被郑峥垫了一下后从门前滑过
64'在扳平比分后，上海申花队的士气大增！！！                   63'第63分钟申花左路传中，皮球被郑峥垫了一下后从门前滑过
64'角球发出来没有威胁，鲁能泰山队的反击                   63'第63分钟申花左路传中，皮球被郑峥垫了一下后从门前滑过
64'尼库莱右路横传门前，王大雷把球打出来，安塔尔外围大力远射偏出！                   63'第63分钟申花左路传中，皮球被郑峥垫了一下后从门前滑过
66'王刚在场外活动，是一名速度型的球员！！据说百米能跑十秒                   63'第63分钟申花左路传中，皮球被郑峥垫了一下后从门前滑过
66'后场上海申花队得球反击                   63'第63分钟申花左路传中，皮球被郑峥垫了一下后从门前滑过
68'前场鲁能泰山队传球不好，对方断球反击                   68'第68分钟斯基亚维拦截吕征成功，但两人对脚时都负了点小伤，比赛暂停一小会
68'哈蒂布在前场把球传丢了                   68'第68分钟斯基亚维拦截吕征成功，但两人对脚时都负了点小伤，比赛暂停一小会
68'鲁能泰山队的快速反击也没能打成                   68'第68分钟斯基亚维拦截吕征成功，但两人对脚时都负了点小伤，比赛暂停一小会
69'上海申花队长传球，哈蒂布抢球时推人犯规                   68'第68分钟斯基亚维拦截吕征成功，但两人对脚时都负了点小伤，比赛暂停一小会
69'吕征右翼突破到禁区内，冲得太猛了，对斯基亚维犯规                   68'第68分钟斯基亚维拦截吕征成功，但两人对脚时都负了点小伤，比赛暂停一小会
70'王大雷大脚开球到前场，，马塞纳顶球出界                   68'第68分钟斯基亚维拦截吕征成功，但两人对脚时都负了点小伤，比赛暂停一小会
70'被对手扳平比分后，鲁能泰山队有些被动了                   68'第68分钟斯基亚维拦截吕征成功，但两人对脚时都负了点小伤，比赛暂停一小会
70'哈蒂布直传球，越位                   68'第68分钟斯基亚维拦截吕征成功，但两人对脚时都负了点小伤，比赛暂停一小会
71'鲁能泰山队前场分边，李建滨把球破坏                   68'第68分钟斯基亚维拦截吕征成功，但两人对脚时都负了点小伤，比赛暂停一小会
71'界外球发出来，吕征突破横传，王刚抢点顶门，顶高了！！！                   68'第68分钟斯基亚维拦截吕征成功，但两人对脚时都负了点小伤，比赛暂停一小会
74'前场上海申花队断球左路二过一配合没能打好                   74'第74分钟王刚在右路人球分过两人，但被斯基亚维最后时刻挡出
74'鲁能泰山队反击了！！！                   74'第74分钟王刚在右路人球分过两人，但被斯基亚维最后时刻挡出
74'王刚右路突破人球分过也没能成功                   74'第74分钟王刚在右路人球分过两人，但被斯基亚维最后时刻挡出
