6'AC米兰球员德希利奥大禁区中央右脚射门,被防守球员封堵.给他传球的是德容.                   6'开场6分钟，德容主罚任意球，德希利奥禁区边缘打在人墙上
39'N-弗雷将球处理出底线,AC米兰获得角球.                   38'第38分钟，阿巴特右路传球，本田圭佑切入禁区连过两人，自己左脚打门偏得离谱
39'AC米兰球员托雷斯大禁区左侧尝试左脚射门,可惜皮球偏出球门.                   38'第38分钟，阿巴特右路传球，本田圭佑切入禁区连过两人，自己左脚打门偏得离谱
40'切沃球员科菲耶拼抢犯规,对手获得控球权.                   38'第38分钟，阿巴特右路传球，本田圭佑切入禁区连过两人，自己左脚打门偏得离谱
40'梅内斯为AC米兰在对方半场,赢得一个任意球.                   38'第38分钟，阿巴特右路传球，本田圭佑切入禁区连过两人，自己左脚打门偏得离谱
41'AC米兰球员德容小禁区右侧尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是博纳文图拉.                   38'第38分钟，阿巴特右路传球，本田圭佑切入禁区连过两人，自己左脚打门偏得离谱
41'AC米兰球员德容小禁区右侧尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是博纳文图拉.                   41'第41分钟，博纳文图拉左侧任意球斜传，阿莱士后点头球蹭偏
42'切沃球员哈特马吉拼抢犯规,对手获得控球权.                   41'第41分钟，博纳文图拉左侧任意球斜传，阿莱士后点头球蹭偏
42'蒙塔里为AC米兰赢得一个任意球.                   41'第41分钟，博纳文图拉左侧任意球斜传，阿莱士后点头球蹭偏
43'哈特马吉为切沃赢得一个任意球.                   41'第41分钟，博纳文图拉左侧任意球斜传，阿莱士后点头球蹭偏
43'AC米兰球员阿巴特拼抢犯规,对手获得控球权.                   41'第41分钟，博纳文图拉左侧任意球斜传，阿莱士后点头球蹭偏
44'切沃球员比拉吉拼抢犯规,对手获得控球权.                   41'第41分钟，博纳文图拉左侧任意球斜传，阿莱士后点头球蹭偏
44'梅内斯为AC米兰赢得一个任意球.                   41'第41分钟，博纳文图拉左侧任意球斜传，阿莱士后点头球蹭偏
44'黄牌！切沃球员比拉吉因为恶意犯规,被主裁判出示黄牌.                   41'第41分钟，博纳文图拉左侧任意球斜传，阿莱士后点头球蹭偏
48'切沃球员比尔萨拼抢犯规,对手获得控球权.                   48'下半时开始3分钟，德希利奥左路传中，梅内左脚凌空推射偏出左门柱
48'拉米为AC米兰赢得一个任意球.                   48'下半时开始3分钟，德希利奥左路传中，梅内左脚凌空推射偏出左门柱
48'AC米兰球员梅内斯大禁区中央尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是德希利奥.                   48'下半时开始3分钟，德希利奥左路传中，梅内左脚凌空推射偏出左门柱
50'比拉吉将球处理出底线,AC米兰获得角球.                   48'下半时开始3分钟，德希利奥左路传中，梅内左脚凌空推射偏出左门柱
50'N-弗雷将球处理出底线,AC米兰获得角球.                   48'下半时开始3分钟，德希利奥左路传中，梅内左脚凌空推射偏出左门柱
52'切沃球员科菲耶手球犯规,对手获得球权.                   52'第52分钟，第52分钟，德希利奥左路下底传中，博纳文图拉禁区边缘转身射门被达伊内利挡出底线
53'AC米兰球员博纳文图拉大禁区中央右脚射门,被防守球员封堵.给他传球的是德希利奥.                   52'第52分钟，第52分钟，德希利奥左路下底传中，博纳文图拉禁区边缘转身射门被达伊内利挡出底线
53'达伊内利将球处理出底线,AC米兰获得角球.                   52'第52分钟，第52分钟，德希利奥左路下底传中，博纳文图拉禁区边缘转身射门被达伊内利挡出底线
54'AC米兰球员德容大禁区外右脚射门,被防守球员封堵.给他传球的是阿巴特.                   52'第52分钟，第52分钟，德希利奥左路下底传中，博纳文图拉禁区边缘转身射门被达伊内利挡出底线
55'进球啦！！！AC米兰球员蒙塔里大禁区外左脚射门,球从右上角飞进球门,球进了! AC米兰 1-0 切沃.                   52'第52分钟，第52分钟，德希利奥左路下底传中，博纳文图拉禁区边缘转身射门被达伊内利挡出底线
65'哈特马吉为切沃在对方半场,赢得一个任意球.                   63'第63分钟，AC米兰中场过顶球，阿巴特禁区右侧直接垫到中路，本田圭佑铲射空门没有碰到
65'AC米兰球员德容拼抢犯规,对手获得控球权.                   63'第63分钟，AC米兰中场过顶球，阿巴特禁区右侧直接垫到中路，本田圭佑铲射空门没有碰到
65'黄牌！AC米兰球员德容因为恶意犯规,被主裁判出示黄牌.                   63'第63分钟，AC米兰中场过顶球，阿巴特禁区右侧直接垫到中路，本田圭佑铲射空门没有碰到
66'切沃换人,拉扎雷维奇换下比尔萨                   63'第63分钟，AC米兰中场过顶球，阿巴特禁区右侧直接垫到中路，本田圭佑铲射空门没有碰到
67'射门!!!AC米兰球员梅内斯大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是本田圭佑.                   67'第67分钟，本田圭佑点球，梅内禁区右侧射门被巴尔迪面部挡出，巴尔迪接受治疗
67'切沃球员哈特马吉拼抢犯规,对手获得控球权.                   67'第67分钟，本田圭佑点球，梅内禁区右侧射门被巴尔迪面部挡出，巴尔迪接受治疗
67'阿巴特为AC米兰在对方半场,赢得一个任意球.                   67'第67分钟，本田圭佑点球，梅内禁区右侧射门被巴尔迪面部挡出，巴尔迪接受治疗
68'切沃巴尔迪受伤倒地,比赛暂停                   67'第67分钟，本田圭佑点球，梅内禁区右侧射门被巴尔迪面部挡出，巴尔迪接受治疗
68'暂停结束,球员们重新开始比赛.                   67'第67分钟，本田圭佑点球，梅内禁区右侧射门被巴尔迪面部挡出，巴尔迪接受治疗
69'AC米兰球员托雷斯小禁区右侧右脚射门,被防守球员封堵.                   67'第67分钟，本田圭佑点球，梅内禁区右侧射门被巴尔迪面部挡出，巴尔迪接受治疗
69'科菲耶将球处理出底线,AC米兰获得角球.                   67'第67分钟，本田圭佑点球，梅内禁区右侧射门被巴尔迪面部挡出，巴尔迪接受治疗
70'切沃球员N-弗雷拼抢犯规,对手获得控球权.                   67'第67分钟，本田圭佑点球，梅内禁区右侧射门被巴尔迪面部挡出，巴尔迪接受治疗
70'博纳文图拉为AC米兰在左路,赢得一个任意球.                   67'第67分钟，本田圭佑点球，梅内禁区右侧射门被巴尔迪面部挡出，巴尔迪接受治疗
78'进球啦！！！AC米兰球员本田圭佑左脚射门,球从左下角飞进球门,球进了! AC米兰 2-0 切沃.                   78'第78分钟，沙拉维拿球加速被科菲放倒，科菲被黄牌警告，本田圭佑左侧距门25米处左脚任意球绕过人墙贴近门柱入网，2比0
79'切沃球员Ervin Zukanovic拼抢犯规,对手获得控球权.                   78'第78分钟，沙拉维拿球加速被科菲放倒，科菲被黄牌警告，本田圭佑左侧距门25米处左脚任意球绕过人墙贴近门柱入网，2比0
79'梅内斯为AC米兰在对方半场,赢得一个任意球.                   78'第78分钟，沙拉维拿球加速被科菲放倒，科菲被黄牌警告，本田圭佑左侧距门25米处左脚任意球绕过人墙贴近门柱入网，2比0
79'黄牌！切沃球员Ervin Zukanovic因为恶意犯规,被主裁判出示黄牌.                   78'第78分钟，沙拉维拿球加速被科菲放倒，科菲被黄牌警告，本田圭佑左侧距门25米处左脚任意球绕过人墙贴近门柱入网，2比0
80'切沃球员梅吉奥里尼拼抢犯规,对手获得控球权.                   78'第78分钟，沙拉维拿球加速被科菲放倒，科菲被黄牌警告，本田圭佑左侧距门25米处左脚任意球绕过人墙贴近门柱入网，2比0
80'阿比亚蒂为AC米兰赢得一个任意球.                   78'第78分钟，沙拉维拿球加速被科菲放倒，科菲被黄牌警告，本田圭佑左侧距门25米处左脚任意球绕过人墙贴近门柱入网，2比0
80'黄牌！切沃球员梅吉奥里尼因为恶意犯规,被主裁判出示黄牌.                   78'第78分钟，沙拉维拿球加速被科菲放倒，科菲被黄牌警告，本田圭佑左侧距门25米处左脚任意球绕过人墙贴近门柱入网，2比0
81'AC米兰换人,波利换下本田圭佑                   78'第78分钟，沙拉维拿球加速被科菲放倒，科菲被黄牌警告，本田圭佑左侧距门25米处左脚任意球绕过人墙贴近门柱入网，2比0
81'AC米兰球员梅内斯大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是阿巴特.                   78'第78分钟，沙拉维拿球加速被科菲放倒，科菲被黄牌警告，本田圭佑左侧距门25米处左脚任意球绕过人墙贴近门柱入网，2比0
50'比拉吉将球处理出底线,AC米兰获得角球.                   49'补时第4分钟，沙拉维左路切入禁区底线回传，博纳文图拉在门前10米处左脚推射碰后卫偏出右门柱
50'N-弗雷将球处理出底线,AC米兰获得角球.                   49'补时第4分钟，沙拉维左路切入禁区底线回传，博纳文图拉在门前10米处左脚推射碰后卫偏出右门柱
52'切沃球员科菲耶手球犯规,对手获得球权.                   49'补时第4分钟，沙拉维左路切入禁区底线回传，博纳文图拉在门前10米处左脚推射碰后卫偏出右门柱
