1'比赛开始了！                   1'第1分钟双方拉开阵型对峙，孙可在左路连有内切冲击
83'阿隆的射门高出横梁                   81'第81分钟，杨笑天在米歇尔解围瞬间前冲，与米歇尔接触后摔入禁区，裁判没有理会，富力认为杨笑天假摔表示了抗议
86'吴曦试图补时，辛苦金洋洋解围                   86'第86分钟，舜天再度扳平比分――舜天角球传中被富力顶出，卡尔坦森背对球门打出高质量侧身抽射，任航门前争顶也干扰了刘殿座，皮球飞入球门后角
86'舜天扳平比分了                   86'第86分钟，舜天再度扳平比分――舜天角球传中被富力顶出，卡尔坦森背对球门打出高质量侧身抽射，任航门前争顶也干扰了刘殿座，皮球飞入球门后角
86'卡尔塔森                   86'第86分钟，舜天再度扳平比分――舜天角球传中被富力顶出，卡尔坦森背对球门打出高质量侧身抽射，任航门前争顶也干扰了刘殿座，皮球飞入球门后角
87'舜天角球开出，第一点被顶出，卡尔塔森背对球门一脚大力射门，皮球直入球门                   86'第86分钟，舜天再度扳平比分――舜天角球传中被富力顶出，卡尔坦森背对球门打出高质量侧身抽射，任航门前争顶也干扰了刘殿座，皮球飞入球门后角
88'富力获得任意球机会                   86'第86分钟，舜天再度扳平比分――舜天角球传中被富力顶出，卡尔坦森背对球门打出高质量侧身抽射，任航门前争顶也干扰了刘殿座，皮球飞入球门后角
88'姜宁站在球前                   86'第86分钟，舜天再度扳平比分――舜天角球传中被富力顶出，卡尔坦森背对球门打出高质量侧身抽射，任航门前争顶也干扰了刘殿座，皮球飞入球门后角
89'对不起，是卢琳主罚的                   86'第86分钟，舜天再度扳平比分――舜天角球传中被富力顶出，卡尔坦森背对球门打出高质量侧身抽射，任航门前争顶也干扰了刘殿座，皮球飞入球门后角
89'皮球打在人墙身上弹出                   86'第86分钟，舜天再度扳平比分――舜天角球传中被富力顶出，卡尔坦森背对球门打出高质量侧身抽射，任航门前争顶也干扰了刘殿座，皮球飞入球门后角
88'富力获得任意球机会                   88'第88分钟，阿隆禁区内争顶造成舜天球员手球，但阿隆有压人动作在先，被判定进攻犯规
88'姜宁站在球前                   88'第88分钟，阿隆禁区内争顶造成舜天球员手球，但阿隆有压人动作在先，被判定进攻犯规
89'对不起，是卢琳主罚的                   88'第88分钟，阿隆禁区内争顶造成舜天球员手球，但阿隆有压人动作在先，被判定进攻犯规
89'皮球打在人墙身上弹出                   88'第88分钟，阿隆禁区内争顶造成舜天球员手球，但阿隆有压人动作在先，被判定进攻犯规
91'全场补时3分钟                   88'第88分钟，阿隆禁区内争顶造成舜天球员手球，但阿隆有压人动作在先，被判定进攻犯规
