1'随着主裁判一声哨响比赛开始                   1'双方均急需争胜反弹，第1分钟迅速形成快节奏对峙
32'张池明带球被犯规了                   30'第30分钟，力帆角球传中在国安禁区内制造混乱，皮球击中伊尔马兹头部后快速反弹到他的手臂上，裁判没有判罚
33'任意球开到禁区，球被解围出底线                   30'第30分钟，力帆角球传中在国安禁区内制造混乱，皮球击中伊尔马兹头部后快速反弹到他的手臂上，裁判没有判罚
33'国安角球机会                   30'第30分钟，力帆角球传中在国安禁区内制造混乱，皮球击中伊尔马兹头部后快速反弹到他的手臂上，裁判没有判罚
47'还是吴庆的传球                   47'2分钟后李翰博凶狠踢翻已将球分出的费尔南多，李翰博也领到黄牌
47'费尔南多的打门，球打在防守球员身上出界                   47'2分钟后李翰博凶狠踢翻已将球分出的费尔南多，李翰博也领到黄牌
47'力帆角球机会                   47'2分钟后李翰博凶狠踢翻已将球分出的费尔南多，李翰博也领到黄牌
47'角球开出来                   47'2分钟后李翰博凶狠踢翻已将球分出的费尔南多，李翰博也领到黄牌
47'前点                   47'2分钟后李翰博凶狠踢翻已将球分出的费尔南多，李翰博也领到黄牌
47'禁区卡尔德克的头球                   47'2分钟后李翰博凶狠踢翻已将球分出的费尔南多，李翰博也领到黄牌
47'顶偏了                   47'2分钟后李翰博凶狠踢翻已将球分出的费尔南多，李翰博也领到黄牌
48'杨智大脚将球开出来                   47'2分钟后李翰博凶狠踢翻已将球分出的费尔南多，李翰博也领到黄牌
48'裁判哨响，上半场比赛结束                   47'2分钟后李翰博凶狠踢翻已将球分出的费尔南多，李翰博也领到黄牌
47'奥古斯托将球断下                   47'2分钟后李翰博凶狠踢翻已将球分出的费尔南多，李翰博也领到黄牌
48'张池明传球禁区，球被解围出来                   47'2分钟后李翰博凶狠踢翻已将球分出的费尔南多，李翰博也领到黄牌
49'张池明拿球继续传球禁区，邓小飞将球抱住                   47'2分钟后李翰博凶狠踢翻已将球分出的费尔南多，李翰博也领到黄牌
50'刘欢起脚传中                   47'2分钟后李翰博凶狠踢翻已将球分出的费尔南多，李翰博也领到黄牌
50'边裁举旗，费尔南多越位了                   47'2分钟后李翰博凶狠踢翻已将球分出的费尔南多，李翰博也领到黄牌
54'吴庆带球突破，被犯规了                   54'第54分钟，姜涛对吴庆犯规动作过大，姜涛领到黄牌
54'姜涛还吃到了黄牌                   54'第54分钟，姜涛对吴庆犯规动作过大，姜涛领到黄牌
55'费尔南多带球出了边线                   54'第54分钟，姜涛对吴庆犯规动作过大，姜涛领到黄牌
56'吴庆后场将球断下                   54'第54分钟，姜涛对吴庆犯规动作过大，姜涛领到黄牌
57'奥古斯托送出直塞球                   54'第54分钟，姜涛对吴庆犯规动作过大，姜涛领到黄牌
63'奥古斯托将球控制下来                   63'第63分钟，奥古斯托禁区外攻门制造一定威胁，邓小飞将球拦截
64'金泰延横传球给到奥古斯托                   63'第63分钟，奥古斯托禁区外攻门制造一定威胁，邓小飞将球拦截
64'奥古斯托拿球直接来一脚射门                   63'第63分钟，奥古斯托禁区外攻门制造一定威胁，邓小飞将球拦截
64'球被邓小飞抱住                   63'第63分钟，奥古斯托禁区外攻门制造一定威胁，邓小飞将球拦截
64'李涵博拿球传中，球被解围出了底线                   63'第63分钟，奥古斯托禁区外攻门制造一定威胁，邓小飞将球拦截
64'国安角球机会                   63'第63分钟，奥古斯托禁区外攻门制造一定威胁，邓小飞将球拦截
65'战术角球                   63'第63分钟，奥古斯托禁区外攻门制造一定威胁，邓小飞将球拦截
65'金泰延起球传中，球被解围出来                   63'第63分钟，奥古斯托禁区外攻门制造一定威胁，邓小飞将球拦截
66'双方拼抢                   63'第63分钟，奥古斯托禁区外攻门制造一定威胁，邓小飞将球拦截
68'奥古斯托中场将球断下来                   68'第68分钟，张稀哲外围远射打偏在边网上
69'还是李涵博，拿球传中，球被解围出来                   68'第68分钟，张稀哲外围远射打偏在边网上
69'禁区外围张稀哲的打门                   68'第68分钟，张稀哲外围远射打偏在边网上
69'打高了                   68'第68分钟，张稀哲外围远射打偏在边网上
70'力帆换人了                   68'第68分钟，张稀哲外围远射打偏在边网上
70'丁捷换下了南松                   68'第68分钟，张稀哲外围远射打偏在边网上
70'彭欣力传球禁区，球被解围出来                   68'第68分钟，张稀哲外围远射打偏在边网上
71'拉尔夫带球过来                   68'第68分钟，张稀哲外围远射打偏在边网上
71'宋博轩送出传中球，球被解围出来                   68'第68分钟，张稀哲外围远射打偏在边网上
70'力帆换人了                   70'比赛70分钟后，费尔南多连续在进攻端送出妙传，力帆的进攻效果有所提升
70'丁捷换下了南松                   70'比赛70分钟后，费尔南多连续在进攻端送出妙传，力帆的进攻效果有所提升
70'彭欣力传球禁区，球被解围出来                   70'比赛70分钟后，费尔南多连续在进攻端送出妙传，力帆的进攻效果有所提升
71'拉尔夫带球过来                   70'比赛70分钟后，费尔南多连续在进攻端送出妙传，力帆的进攻效果有所提升
71'宋博轩送出传中球，球被解围出来                   70'比赛70分钟后，费尔南多连续在进攻端送出妙传，力帆的进攻效果有所提升
72'费尔南多送出直塞球                   70'比赛70分钟后，费尔南多连续在进攻端送出妙传，力帆的进攻效果有所提升
73'插上的刘欢选择了打门                   70'比赛70分钟后，费尔南多连续在进攻端送出妙传，力帆的进攻效果有所提升
73'太正了，杨智稳稳抱住                   70'比赛70分钟后，费尔南多连续在进攻端送出妙传，力帆的进攻效果有所提升
90'裁判突然出示了一张黄牌                   90'国安无力形成实质反扑，第90分钟，张稀哲因不满裁判判罚领到黄牌；补时第3分钟，力帆快速反击中张稀哲又带着情绪踢翻费尔南多，马宁向其出示第2张黄牌，张稀哲也被罚下
90'向张稀哲                   90'国安无力形成实质反扑，第90分钟，张稀哲因不满裁判判罚领到黄牌；补时第3分钟，力帆快速反击中张稀哲又带着情绪踢翻费尔南多，马宁向其出示第2张黄牌，张稀哲也被罚下
90'应该是张稀哲说了些什么                   90'国安无力形成实质反扑，第90分钟，张稀哲因不满裁判判罚领到黄牌；补时第3分钟，力帆快速反击中张稀哲又带着情绪踢翻费尔南多，马宁向其出示第2张黄牌，张稀哲也被罚下
91'下半场补时4分钟                   90'国安无力形成实质反扑，第90分钟，张稀哲因不满裁判判罚领到黄牌；补时第3分钟，力帆快速反击中张稀哲又带着情绪踢翻费尔南多，马宁向其出示第2张黄牌，张稀哲也被罚下
92'宋博轩带球突破，遭遇逼抢                   90'国安无力形成实质反扑，第90分钟，张稀哲因不满裁判判罚领到黄牌；补时第3分钟，力帆快速反击中张稀哲又带着情绪踢翻费尔南多，马宁向其出示第2张黄牌，张稀哲也被罚下
92'球丢了                   90'国安无力形成实质反扑，第90分钟，张稀哲因不满裁判判罚领到黄牌；补时第3分钟，力帆快速反击中张稀哲又带着情绪踢翻费尔南多，马宁向其出示第2张黄牌，张稀哲也被罚下
92'邓小飞大脚将球开出来                   90'国安无力形成实质反扑，第90分钟，张稀哲因不满裁判判罚领到黄牌；补时第3分钟，力帆快速反击中张稀哲又带着情绪踢翻费尔南多，马宁向其出示第2张黄牌，张稀哲也被罚下
93'费尔南多控制球                   90'国安无力形成实质反扑，第90分钟，张稀哲因不满裁判判罚领到黄牌；补时第3分钟，力帆快速反击中张稀哲又带着情绪踢翻费尔南多，马宁向其出示第2张黄牌，张稀哲也被罚下
93'带球突破，被犯规了                   90'国安无力形成实质反扑，第90分钟，张稀哲因不满裁判判罚领到黄牌；补时第3分钟，力帆快速反击中张稀哲又带着情绪踢翻费尔南多，马宁向其出示第2张黄牌，张稀哲也被罚下
93'张稀哲的犯规，又是一张黄牌呀                   90'国安无力形成实质反扑，第90分钟，张稀哲因不满裁判判罚领到黄牌；补时第3分钟，力帆快速反击中张稀哲又带着情绪踢翻费尔南多，马宁向其出示第2张黄牌，张稀哲也被罚下
93'这。。。。。。。。                   90'国安无力形成实质反扑，第90分钟，张稀哲因不满裁判判罚领到黄牌；补时第3分钟，力帆快速反击中张稀哲又带着情绪踢翻费尔南多，马宁向其出示第2张黄牌，张稀哲也被罚下
93'张稀哲也是红牌被罚下了                   90'国安无力形成实质反扑，第90分钟，张稀哲因不满裁判判罚领到黄牌；补时第3分钟，力帆快速反击中张稀哲又带着情绪踢翻费尔南多，马宁向其出示第2张黄牌，张稀哲也被罚下
