2'维尔贝克前场带球被特里铲断                   2'开场仅2分钟，阿什利-扬同维尔贝克踢墙配合后禁区左侧10码处射门被切赫扑出
40'贾努扎伊左路拿球送禁区内                   37'第37分钟，贾努扎伊禁区左侧传中，维尔贝克停球后10码处仓促捅射被切赫没收
45'角球送前点，第一点被曼联破坏                   45'切尔西第45分钟扩大比分，路易斯30码处任意球射门被人墙挡出底线，曼联解围角球，拉米雷斯直传，卡希尔禁区右侧传中，无人防守的埃托奥小禁区边缘外扫射破门，2-0
45'切尔西又进球了！！                   45'切尔西第45分钟扩大比分，路易斯30码处任意球射门被人墙挡出底线，曼联解围角球，拉米雷斯直传，卡希尔禁区右侧传中，无人防守的埃托奥小禁区边缘外扫射破门，2-0
45'又是埃托奥                   45'切尔西第45分钟扩大比分，路易斯30码处任意球射门被人墙挡出底线，曼联解围角球，拉米雷斯直传，卡希尔禁区右侧传中，无人防守的埃托奥小禁区边缘外扫射破门，2-0
46'切尔西前场送直塞到禁区内，卡希尔低平球将球送到中路，卡希尔埃托奥门前推射将球打进！                   45'切尔西第45分钟扩大比分，路易斯30码处任意球射门被人墙挡出底线，曼联解围角球，拉米雷斯直传，卡希尔禁区右侧传中，无人防守的埃托奥小禁区边缘外扫射破门，2-0
46'上半场补时2分钟！                   45'切尔西第45分钟扩大比分，路易斯30码处任意球射门被人墙挡出底线，曼联解围角球，拉米雷斯直传，卡希尔禁区右侧传中，无人防守的埃托奥小禁区边缘外扫射破门，2-0
46'切尔西攻到前场被曼联大脚破坏                   45'切尔西第45分钟扩大比分，路易斯30码处任意球射门被人墙挡出底线，曼联解围角球，拉米雷斯直传，卡希尔禁区右侧传中，无人防守的埃托奥小禁区边缘外扫射破门，2-0
47'莫耶斯在场边非常着急                   45'切尔西第45分钟扩大比分，路易斯30码处任意球射门被人墙挡出底线，曼联解围角球，拉米雷斯直传，卡希尔禁区右侧传中，无人防守的埃托奥小禁区边缘外扫射破门，2-0
47'曼联后场拿球被侵犯                   45'切尔西第45分钟扩大比分，路易斯30码处任意球射门被人墙挡出底线，曼联解围角球，拉米雷斯直传，卡希尔禁区右侧传中，无人防守的埃托奥小禁区边缘外扫射破门，2-0
48'瓦伦西亚中场拿球，传球给前场                   45'切尔西第45分钟扩大比分，路易斯30码处任意球射门被人墙挡出底线，曼联解围角球，拉米雷斯直传，卡希尔禁区右侧传中，无人防守的埃托奥小禁区边缘外扫射破门，2-0
46'下半场比赛开始！                   45'切尔西第45分钟扩大比分，路易斯30码处任意球射门被人墙挡出底线，曼联解围角球，拉米雷斯直传，卡希尔禁区右侧传中，无人防守的埃托奥小禁区边缘外扫射破门，2-0
46'下半场比赛由切尔西开球                   45'切尔西第45分钟扩大比分，路易斯30码处任意球射门被人墙挡出底线，曼联解围角球，拉米雷斯直传，卡希尔禁区右侧传中，无人防守的埃托奥小禁区边缘外扫射破门，2-0
47'伊万诺维奇后场防守送给曼联一个前场定位球机会                   45'切尔西第45分钟扩大比分，路易斯30码处任意球射门被人墙挡出底线，曼联解围角球，拉米雷斯直传，卡希尔禁区右侧传中，无人防守的埃托奥小禁区边缘外扫射破门，2-0
47'阿什利-扬来主罚                   45'切尔西第45分钟扩大比分，路易斯30码处任意球射门被人墙挡出底线，曼联解围角球，拉米雷斯直传，卡希尔禁区右侧传中，无人防守的埃托奥小禁区边缘外扫射破门，2-0
48'直接送前点，第一点被切尔西队顶出                   45'切尔西第45分钟扩大比分，路易斯30码处任意球射门被人墙挡出底线，曼联解围角球，拉米雷斯直传，卡希尔禁区右侧传中，无人防守的埃托奥小禁区边缘外扫射破门，2-0
61'曼联前场传球被抢断                   60'第60分钟，埃托奥回传，拉米雷斯25码处劲射高出
62'曼联现在进攻的办法不多                   60'第60分钟，埃托奥回传，拉米雷斯25码处劲射高出
62'阿扎尔左路拿球，稳下节奏                   60'第60分钟，埃托奥回传，拉米雷斯25码处劲射高出
62'中路，威廉拿球                   60'第60分钟，埃托奥回传，拉米雷斯25码处劲射高出
63'直接选择了打门                   60'第60分钟，埃托奥回传，拉米雷斯25码处劲射高出
63'太正了，德赫亚轻松将球得到                   60'第60分钟，埃托奥回传，拉米雷斯25码处劲射高出
46'切尔西前场送直塞到禁区内，卡希尔低平球将球送到中路，卡希尔埃托奥门前推射将球打进！                   46'1分钟后，阿扎尔禁区边缘的射门被卡里克挡出底线
46'上半场补时2分钟！                   46'1分钟后，阿扎尔禁区边缘的射门被卡里克挡出底线
46'切尔西攻到前场被曼联大脚破坏                   46'1分钟后，阿扎尔禁区边缘的射门被卡里克挡出底线
47'莫耶斯在场边非常着急                   46'1分钟后，阿扎尔禁区边缘的射门被卡里克挡出底线
47'曼联后场拿球被侵犯                   46'1分钟后，阿扎尔禁区边缘的射门被卡里克挡出底线
48'瓦伦西亚中场拿球，传球给前场                   46'1分钟后，阿扎尔禁区边缘的射门被卡里克挡出底线
46'下半场比赛开始！                   46'1分钟后，阿扎尔禁区边缘的射门被卡里克挡出底线
46'下半场比赛由切尔西开球                   46'1分钟后，阿扎尔禁区边缘的射门被卡里克挡出底线
47'伊万诺维奇后场防守送给曼联一个前场定位球机会                   46'1分钟后，阿扎尔禁区边缘的射门被卡里克挡出底线
47'阿什利-扬来主罚                   46'1分钟后，阿扎尔禁区边缘的射门被卡里克挡出底线
48'直接送前点，第一点被切尔西队顶出                   46'1分钟后，阿扎尔禁区边缘的射门被卡里克挡出底线
49'埃托奥禁区内拿球突破的时候被破坏出底线                   46'1分钟后，阿扎尔禁区边缘的射门被卡里克挡出底线
49'切尔西又进球了！！                   46'1分钟后，阿扎尔禁区边缘的射门被卡里克挡出底线
49'又是埃托奥！！                   46'1分钟后，阿扎尔禁区边缘的射门被卡里克挡出底线
69'凤城之子：强烈要求托雷斯上场【原谅我不能安排托雷斯上场】                   69'第69分钟，贾努扎伊开出角球，维尔贝克近距离头球攻门偏出
69'曼联获得角球机会                   69'第69分钟，贾努扎伊开出角球，维尔贝克近距离头球攻门偏出
69'角球送前点，维尔贝克头球攻门顶偏                   69'第69分钟，贾努扎伊开出角球，维尔贝克近距离头球攻门偏出
70'切赫在自家门前是艺高人胆大                   69'第69分钟，贾努扎伊开出角球，维尔贝克近距离头球攻门偏出
71'切赫接回传球的时候险些被埃尔南德斯滑铲进了球门                   69'第69分钟，贾努扎伊开出角球，维尔贝克近距离头球攻门偏出
72'穆里尼奥也是有些不敢看                   69'第69分钟，贾努扎伊开出角球，维尔贝克近距离头球攻门偏出
72'勤奋的百无聊赖：莫耶斯只用了半个赛季把曼联坠落成这样，〒_〒【怀念弗格森时代了？】                   69'第69分钟，贾努扎伊开出角球，维尔贝克近距离头球攻门偏出
86'切尔西换人，威廉下，马蒂奇上！                   86'看英超买彩票:第86分钟，冬窗新援马蒂奇替换威廉出场，这是他时隔1351天之后再为切尔西在英超出场
88'切尔西中场断球了                   86'看英超买彩票:第86分钟，冬窗新援马蒂奇替换威廉出场，这是他时隔1351天之后再为切尔西在英超出场
88'左路的起送禁区内                   86'看英超买彩票:第86分钟，冬窗新援马蒂奇替换威廉出场，这是他时隔1351天之后再为切尔西在英超出场
88'拉斐尔先出一脚将球解围                   86'看英超买彩票:第86分钟，冬窗新援马蒂奇替换威廉出场，这是他时隔1351天之后再为切尔西在英超出场
89'米克尔中场抢球的时候有个犯规动作                   86'看英超买彩票:第86分钟，冬窗新援马蒂奇替换威廉出场，这是他时隔1351天之后再为切尔西在英超出场
89'场上有切尔西球员受伤倒地                   86'看英超买彩票:第86分钟，冬窗新援马蒂奇替换威廉出场，这是他时隔1351天之后再为切尔西在英超出场
89'是托雷斯。。。                   86'看英超买彩票:第86分钟，冬窗新援马蒂奇替换威廉出场，这是他时隔1351天之后再为切尔西在英超出场
89'示意要换人了？？                   86'看英超买彩票:第86分钟，冬窗新援马蒂奇替换威廉出场，这是他时隔1351天之后再为切尔西在英超出场
91'贾努扎伊禁区外围送直塞，没有过去                   91'曼联第91分钟再遭打击，维迪奇后场毫无必要飞铲阿扎尔被红牌直接罚下
91'维迪奇被红牌罚出了场外！                   91'曼联第91分钟再遭打击，维迪奇后场毫无必要飞铲阿扎尔被红牌直接罚下
92'维迪奇中场凶狠的滑铲放倒了阿扎尔                   91'曼联第91分钟再遭打击，维迪奇后场毫无必要飞铲阿扎尔被红牌直接罚下
92'莫耶斯在场下直摇头                   91'曼联第91分钟再遭打击，维迪奇后场毫无必要飞铲阿扎尔被红牌直接罚下
94'补时时间马上也要到了                   91'曼联第91分钟再遭打击，维迪奇后场毫无必要飞铲阿扎尔被红牌直接罚下
94'曼联最后一次进攻机会，维尔贝克第一下没有拿好球                   91'曼联第91分钟再遭打击，维迪奇后场毫无必要飞铲阿扎尔被红牌直接罚下
