6'博蒂乌斯将球处理出底线,多特蒙德获得角球.                   6'开场6分钟，桑乔右侧开出角球，格策传中，拉察在门前4米处解围击中远门柱
45'+2'上半场结束,多特蒙德 2-0 美因茨,稍事休息,我们一会来看看下半场两队的表现.                   43'美因茨第43分钟几乎破门，马特塔左路抢断突入禁区传中，奥尼西沃在门前8米处转身脚后跟射门击中右门柱
45'美因茨换人,Ridle Baku换下Pierre Kunde                   43'美因茨第43分钟几乎破门，马特塔左路抢断突入禁区传中，奥尼西沃在门前8米处转身脚后跟射门击中右门柱
63'美因茨球员奥尼西沃大禁区中央右脚射门,命中门柱右侧立柱.给他传球的是夸森.                   63'美因茨第63分钟再度中柱，刚出场的奎松背身做球，奥尼西沃在门前7米处捅射击中右门柱
64'多特蒙德球员罗伊斯手球犯规,对手获得球权.                   63'美因茨第63分钟再度中柱，刚出场的奎松背身做球，奥尼西沃在门前7米处捅射击中右门柱
66'射门!!!美因茨球员奥尼西沃大禁区外右脚射门,被对方守门员横身扑出.给他传球的是F-穆勒.                   63'美因茨第63分钟再度中柱，刚出场的奎松背身做球，奥尼西沃在门前7米处捅射击中右门柱
83'德莱尼将球处理出底线,美因茨获得角球.                   83'美因茨第83分钟扳回一分，阿龙-马丁右路左脚传中，奥尼西沃在门前6米处头球被比尔基神勇封出，哈克在门前9米处左脚半凌空补射被挡变线，奎松左脚推过门线，1比2
83'射门!!!美因茨球员奥尼西沃大禁区中央头球,被对方守门员横身扑出.给他传球的是阿隆.                   83'美因茨第83分钟扳回一分，阿龙-马丁右路左脚传中，奥尼西沃在门前6米处头球被比尔基神勇封出，哈克在门前9米处左脚半凌空补射被挡变线，奎松左脚推过门线，1比2
83'美因茨球员哈克大禁区中央左脚射门,被防守球员封堵.                   83'美因茨第83分钟扳回一分，阿龙-马丁右路左脚传中，奥尼西沃在门前6米处头球被比尔基神勇封出，哈克在门前9米处左脚半凌空补射被挡变线，奎松左脚推过门线，1比2
83'进球啦！！！美因茨球员夸森球门线跟前左脚射门,球从右下角飞进球门,球进了! 多特蒙德 2-1 美因茨.                   83'美因茨第83分钟扳回一分，阿龙-马丁右路左脚传中，奥尼西沃在门前6米处头球被比尔基神勇封出，哈克在门前9米处左脚半凌空补射被挡变线，奎松左脚推过门线，1比2
84'多特蒙德球员博尔基一脚直塞球给桑乔,但是边裁举旗显示后者已经越位.                   83'美因茨第83分钟扳回一分，阿龙-马丁右路左脚传中，奥尼西沃在门前6米处头球被比尔基神勇封出，哈克在门前9米处左脚半凌空补射被挡变线，奎松左脚推过门线，1比2
86'阿坎吉将球处理出底线,美因茨获得角球.                   83'美因茨第83分钟扳回一分，阿龙-马丁右路左脚传中，奥尼西沃在门前6米处头球被比尔基神勇封出，哈克在门前9米处左脚半凌空补射被挡变线，奎松左脚推过门线，1比2
