9'苏祖后场底线前解围                   9'丢球后的申花大举进攻，第9分钟王S前场直塞，吕征得球杀入禁区后射门被吴扑住
33'莫雷诺任意球直接射门，被门将扑出底线                   31'第31分钟河南队的韩国外援郑仁焕手球犯规，莫雷诺任意球直奔大门右下死角而去，吴飞身把球打出
33'角球去门前，李建滨甩头攻门稍偏出远门柱！                   31'第31分钟河南队的韩国外援郑仁焕手球犯规，莫雷诺任意球直奔大门右下死角而去，吴飞身把球打出
34'曹赟定左路拿球，内切被关门                   31'第31分钟河南队的韩国外援郑仁焕手球犯规，莫雷诺任意球直奔大门右下死角而去，吴飞身把球打出
34'伊沃中场连过几人，被破坏                   31'第31分钟河南队的韩国外援郑仁焕手球犯规，莫雷诺任意球直奔大门右下死角而去，吴飞身把球打出
34'吕征右路传中，被门将击打出禁区                   31'第31分钟河南队的韩国外援郑仁焕手球犯规，莫雷诺任意球直奔大门右下死角而去，吴飞身把球打出
35'伊沃分右路，哈维尔右路接应                   35'第35分钟河南队再次取得进球，尹沃在后场截球后一路冲锋，而且从右路带到中路，吕征在后面跟随，却一直没有动作
36'吕征左路拿球，下底拿到一个角球                   35'第35分钟河南队再次取得进球，尹沃在后场截球后一路冲锋，而且从右路带到中路，吕征在后面跟随，却一直没有动作
36'J罗德里：问一句保罗恩里克那去了？（受伤了）                   35'第35分钟河南队再次取得进球，尹沃在后场截球后一路冲锋，而且从右路带到中路，吕征在后面跟随，却一直没有动作
36'角球去门前被门将打出禁区                   35'第35分钟河南队再次取得进球，尹沃在后场截球后一路冲锋，而且从右路带到中路，吕征在后面跟随，却一直没有动作
36'伊沃拿球反击                   35'第35分钟河南队再次取得进球，尹沃在后场截球后一路冲锋，而且从右路带到中路，吕征在后面跟随，却一直没有动作
37'建业再进一球！                   35'第35分钟河南队再次取得进球，尹沃在后场截球后一路冲锋，而且从右路带到中路，吕征在后面跟随，却一直没有动作
37'尹鸿博！                   35'第35分钟河南队再次取得进球，尹沃在后场截球后一路冲锋，而且从右路带到中路，吕征在后面跟随，却一直没有动作
37'伊沃带球到禁区前，送球到左路插上的尹鸿博脚下，后者射远角中立柱弹入网窝！                   35'第35分钟河南队再次取得进球，尹沃在后场截球后一路冲锋，而且从右路带到中路，吕征在后面跟随，却一直没有动作
37'建业2-0领先申花                   35'第35分钟河南队再次取得进球，尹沃在后场截球后一路冲锋，而且从右路带到中路，吕征在后面跟随，却一直没有动作
41'funny看生活：建业冷门的赛季 前几名都分差不大                   41'两球领先河南队还没有放松迹象，第41分钟李智超远射被耿晓峰扑住
41'哈维尔右路送身后，柏佳俊抢在尹鸿博之前卡位                   41'两球领先河南队还没有放松迹象，第41分钟李智超远射被耿晓峰扑住
42'苏祖斜传左路，没有找到队友                   41'两球领先河南队还没有放松迹象，第41分钟李智超远射被耿晓峰扑住
42'李志超禁区前摆脱防守，左脚低射被耿晓峰扑住                   41'两球领先河南队还没有放松迹象，第41分钟李智超远射被耿晓峰扑住
43'功夫馋懒猫：伊沃的作用相当大，上轮就该进一阵                   41'两球领先河南队还没有放松迹象，第41分钟李智超远射被耿晓峰扑住
43'吕建军右路拿球被帕帕多普洛斯推倒，任意球                   41'两球领先河南队还没有放松迹象，第41分钟李智超远射被耿晓峰扑住
44'外围传中去后点，哈维尔抢点没打上，出底线                   41'两球领先河南队还没有放松迹象，第41分钟李智超远射被耿晓峰扑住
51'王赟斜传右路，顾操解围出边线                   51'第51分钟吕征禁区外送球，曹S定巧妙卸球，但发力抽射打高，在中路无人看守的卡希尔气得趴在地上
51'熊飞右路传中，被头球解围                   51'第51分钟吕征禁区外送球，曹S定巧妙卸球，但发力抽射打高，在中路无人看守的卡希尔气得趴在地上
51'莫雷诺禁区前和队友配合，没有过掉关门防守                   51'第51分钟吕征禁区外送球，曹S定巧妙卸球，但发力抽射打高，在中路无人看守的卡希尔气得趴在地上
52'莫雷诺斜传禁区，卡希尔拿球没有射门机会                   51'第51分钟吕征禁区外送球，曹S定巧妙卸球，但发力抽射打高，在中路无人看守的卡希尔气得趴在地上
52'吕征再传禁区左侧，曹赟定停球斜射打高！                   51'第51分钟吕征禁区外送球，曹S定巧妙卸球，但发力抽射打高，在中路无人看守的卡希尔气得趴在地上
53'苏祖中场拦截连续解围                   51'第51分钟吕征禁区外送球，曹S定巧妙卸球，但发力抽射打高，在中路无人看守的卡希尔气得趴在地上
54'高迪回撤拿球，被毕津浩顶了大腿，任意球                   51'第51分钟吕征禁区外送球，曹S定巧妙卸球，但发力抽射打高，在中路无人看守的卡希尔气得趴在地上
54'王赟任意球到门前，莫雷诺头球顶高                   51'第51分钟吕征禁区外送球，曹S定巧妙卸球，但发力抽射打高，在中路无人看守的卡希尔气得趴在地上
55'耿晓峰后场大脚开出                   55'第55分钟帕帕多普洛斯中场拦截哈维尔吃到黄牌
56'曹赟定左路内切，横敲被拦截                   55'第55分钟帕帕多普洛斯中场拦截哈维尔吃到黄牌
56'帕帕多普洛斯中场战术犯规                   55'第55分钟帕帕多普洛斯中场拦截哈维尔吃到黄牌
56'裁判黄牌警告了帕帕                   55'第55分钟帕帕多普洛斯中场拦截哈维尔吃到黄牌
57'小尼：李建滨当年从恒大租到申花来的时候我就说了。这中后卫不行的，防守站位极差，出脚冒失，当年里皮死活不用他是有道理的                   55'第55分钟帕帕多普洛斯中场拦截哈维尔吃到黄牌
57'范凌江左路传中，被头球解围                   55'第55分钟帕帕多普洛斯中场拦截哈维尔吃到黄牌
58'莫雷诺中路突分，高迪回撤分边                   55'第55分钟帕帕多普洛斯中场拦截哈维尔吃到黄牌
58'熊飞右路低平球传中，莫雷诺没停好                   55'第55分钟帕帕多普洛斯中场拦截哈维尔吃到黄牌
70'曹赟定分外线，范凌江插上和郑仁焕拼二分之一球                   70'第70分钟范凌江和郑仁焕同时出脚铲球撞在一起，范没事，郑却受伤倒地不起，范凌江领到黄牌
71'两人都是侧身滑扫，郑仁焕倒地不起                   70'第70分钟范凌江和郑仁焕同时出脚铲球撞在一起，范没事，郑却受伤倒地不起，范凌江领到黄牌
71'裁判在建业队员的压力下，黄牌警告范凌江                   70'第70分钟范凌江和郑仁焕同时出脚铲球撞在一起，范没事，郑却受伤倒地不起，范凌江领到黄牌
71'两人都没有亮鞋底的犯规动作，这个判罚有待商榷                   70'第70分钟范凌江和郑仁焕同时出脚铲球撞在一起，范没事，郑却受伤倒地不起，范凌江领到黄牌
72'迹碌升活淀滴同学：申花加油啊！看好你！建业今年逆天了。                   70'第70分钟范凌江和郑仁焕同时出脚铲球撞在一起，范没事，郑却受伤倒地不起，范凌江领到黄牌
72'范凌江左路挑传禁区，被解围                   70'第70分钟范凌江和郑仁焕同时出脚铲球撞在一起，范没事，郑却受伤倒地不起，范凌江领到黄牌
73'王赟拿球过人被绊倒                   70'第70分钟范凌江和郑仁焕同时出脚铲球撞在一起，范没事，郑却受伤倒地不起，范凌江领到黄牌
73'裁判没有出牌的意思，王赟表示不满                   70'第70分钟范凌江和郑仁焕同时出脚铲球撞在一起，范没事，郑却受伤倒地不起，范凌江领到黄牌
73'裁判差点给了王赟第二张黄牌                   70'第70分钟范凌江和郑仁焕同时出脚铲球撞在一起，范没事，郑却受伤倒地不起，范凌江领到黄牌
74'吕征背身拿球，被推倒                   74'第74分钟河南队用唐德超换下尹鸿博
74'任意球高吊门前，冲撞门将了                   74'第74分钟河南队用唐德超换下尹鸿博
75'建业换人，尹鸿博被唐德超换下                   74'第74分钟河南队用唐德超换下尹鸿博
75'李林胜03066：没想到建业吃掉恒大再灭申花                   74'第74分钟河南队用唐德超换下尹鸿博
76'伊沃拿球下底，出底线                   74'第74分钟河南队用唐德超换下尹鸿博
76'建业开始控制节奏，消磨时间                   74'第74分钟河南队用唐德超换下尹鸿博
77'外力左路变向过掉高迪，高迪拉人了                   74'第74分钟河南队用唐德超换下尹鸿博
77'外力有些抽筋了                   74'第74分钟河南队用唐德超换下尹鸿博
81'萨哈拉接哈维尔倒三角回敲，射门变向！                   81'逃过一劫的申花随即进攻，第81分钟申花王S任意球传入禁区，卡希尔门前俯身头球攻门，吴单掌把球打出，高迪门前补射，进了
81'出击到一半的耿晓峰把球在门线上捞出来                   81'逃过一劫的申花随即进攻，第81分钟申花王S任意球传入禁区，卡希尔门前俯身头球攻门，吴单掌把球打出，高迪门前补射，进了
81'伊沃补射破门，但是越位在先！                   81'逃过一劫的申花随即进攻，第81分钟申花王S任意球传入禁区，卡希尔门前俯身头球攻门，吴单掌把球打出，高迪门前补射，进了
81'进球无效                   81'逃过一劫的申花随即进攻，第81分钟申花王S任意球传入禁区，卡希尔门前俯身头球攻门，吴单掌把球打出，高迪门前补射，进了
82'申花进球了！！！                   81'逃过一劫的申花随即进攻，第81分钟申花王S任意球传入禁区，卡希尔门前俯身头球攻门，吴单掌把球打出，高迪门前补射，进了
82'苏祖！！！                   81'逃过一劫的申花随即进攻，第81分钟申花王S任意球传入禁区，卡希尔门前俯身头球攻门，吴单掌把球打出，高迪门前补射，进了
82'任意球进禁区，混战门前苏祖补射破门！                   81'逃过一劫的申花随即进攻，第81分钟申花王S任意球传入禁区，卡希尔门前俯身头球攻门，吴单掌把球打出，高迪门前补射，进了
82'建业2-1领先申花                   81'逃过一劫的申花随即进攻，第81分钟申花王S任意球传入禁区，卡希尔门前俯身头球攻门，吴单掌把球打出，高迪门前补射，进了
83'申花换人，王寿挺换下吕征                   81'逃过一劫的申花随即进攻，第81分钟申花王S任意球传入禁区，卡希尔门前俯身头球攻门，吴单掌把球打出，高迪门前补射，进了
83'更正，补射进球的是高迪                   81'逃过一劫的申花随即进攻，第81分钟申花王S任意球传入禁区，卡希尔门前俯身头球攻门，吴单掌把球打出，高迪门前补射，进了
83'莫雷诺左路突破，内切分另一侧                   81'逃过一劫的申花随即进攻，第81分钟申花王S任意球传入禁区，卡希尔门前俯身头球攻门，吴单掌把球打出，高迪门前补射，进了
84'范凌江左路下底传中，后点头球漏过了                   81'逃过一劫的申花随即进攻，第81分钟申花王S任意球传入禁区，卡希尔门前俯身头球攻门，吴单掌把球打出，高迪门前补射，进了
84'superbull要努力努力：这下精彩了                   81'逃过一劫的申花随即进攻，第81分钟申花王S任意球传入禁区，卡希尔门前俯身头球攻门，吴单掌把球打出，高迪门前补射，进了
84'范凌江左路下底传中，后点头球漏过了                   84'第84分钟唐德超拦截莫雷诺吃到黄牌，申花获得禁区中路任意球机会，王S快发，高迪一对一门将但转身打偏，但傅明表示自己还没鸣哨
84'superbull要努力努力：这下精彩了                   84'第84分钟唐德超拦截莫雷诺吃到黄牌，申花获得禁区中路任意球机会，王S快发，高迪一对一门将但转身打偏，但傅明表示自己还没鸣哨
85'莫雷诺前场插上被拉倒                   84'第84分钟唐德超拦截莫雷诺吃到黄牌，申花获得禁区中路任意球机会，王S快发，高迪一对一门将但转身打偏，但傅明表示自己还没鸣哨
85'裁判黄牌警告了唐德超                   84'第84分钟唐德超拦截莫雷诺吃到黄牌，申花获得禁区中路任意球机会，王S快发，高迪一对一门将但转身打偏，但傅明表示自己还没鸣哨
86'快开任意球，门前高迪无人防守打偏，但是裁判示意要听哨，重罚                   84'第84分钟唐德超拦截莫雷诺吃到黄牌，申花获得禁区中路任意球机会，王S快发，高迪一对一门将但转身打偏，但傅明表示自己还没鸣哨
86'任意球再开入禁区，被头球解围                   84'第84分钟唐德超拦截莫雷诺吃到黄牌，申花获得禁区中路任意球机会，王S快发，高迪一对一门将但转身打偏，但傅明表示自己还没鸣哨
87'王赟中场拿球被放倒                   84'第84分钟唐德超拦截莫雷诺吃到黄牌，申花获得禁区中路任意球机会，王S快发，高迪一对一门将但转身打偏，但傅明表示自己还没鸣哨
87'王赟任意球开禁区，帕帕停球没停好                   84'第84分钟唐德超拦截莫雷诺吃到黄牌，申花获得禁区中路任意球机会，王S快发，高迪一对一门将但转身打偏，但傅明表示自己还没鸣哨
50' 嘴里有根烟：中超的魔鬼主场是哪？天河？工体？鲁能？虹口？都不是。。。建业这才是啊！！！！                   50'比赛补时5分钟，第91分钟哈维尔从右路一路冲杀，连过三人，在最后时刻射门被耿晓峰奋力扑救
51'王赟斜传右路，顾操解围出边线                   50'比赛补时5分钟，第91分钟哈维尔从右路一路冲杀，连过三人，在最后时刻射门被耿晓峰奋力扑救
51'熊飞右路传中，被头球解围                   50'比赛补时5分钟，第91分钟哈维尔从右路一路冲杀，连过三人，在最后时刻射门被耿晓峰奋力扑救
51'莫雷诺禁区前和队友配合，没有过掉关门防守                   50'比赛补时5分钟，第91分钟哈维尔从右路一路冲杀，连过三人，在最后时刻射门被耿晓峰奋力扑救
52'莫雷诺斜传禁区，卡希尔拿球没有射门机会                   50'比赛补时5分钟，第91分钟哈维尔从右路一路冲杀，连过三人，在最后时刻射门被耿晓峰奋力扑救
52'吕征再传禁区左侧，曹赟定停球斜射打高！                   50'比赛补时5分钟，第91分钟哈维尔从右路一路冲杀，连过三人，在最后时刻射门被耿晓峰奋力扑救
53'苏祖中场拦截连续解围                   50'比赛补时5分钟，第91分钟哈维尔从右路一路冲杀，连过三人，在最后时刻射门被耿晓峰奋力扑救
93'建业换人，雷永驰换下吕建军                   93'第93分钟外力禁区外远射被耿晓峰扑住
93'哈维尔底线护球，拿到一个任意球                   93'第93分钟外力禁区外远射被耿晓峰扑住
94'外力左脚迎球直接射门，被耿晓峰扑住                   93'第93分钟外力禁区外远射被耿晓峰扑住
94'王赟前场被放倒，裁判没表示                   93'第93分钟外力禁区外远射被耿晓峰扑住
94'王寿挺回追拉人，被吹了犯规                   93'第93分钟外力禁区外远射被耿晓峰扑住
94'裁判黄牌警告了王寿挺                   93'第93分钟外力禁区外远射被耿晓峰扑住
95'本场比赛主裁，傅明，能力有待提高                   93'第93分钟外力禁区外远射被耿晓峰扑住
95'雷永驰右路横扫门前，被耿晓峰没收                   93'第93分钟外力禁区外远射被耿晓峰扑住
96'全场比赛结束！                   93'第93分钟外力禁区外远射被耿晓峰扑住
47'吕征右路拿球被破坏出边线                   47'比分信息：第2分钟：哈维尔接萨哈拉左路传中，转身射门得分第35分钟：伊沃后场拿球后一路前进，到前场直塞左路，尹鸿博推射再下一城
47'苏祖大范围转移左路，被头球解围                   47'比分信息：第2分钟：哈维尔接萨哈拉左路传中，转身射门得分第35分钟：伊沃后场拿球后一路前进，到前场直塞左路，尹鸿博推射再下一城
47'哈维尔右路传中，被苏祖拦截                   47'比分信息：第2分钟：哈维尔接萨哈拉左路传中，转身射门得分第35分钟：伊沃后场拿球后一路前进，到前场直塞左路，尹鸿博推射再下一城
48'莫雷诺给右路，毕津浩解围出边线                   47'比分信息：第2分钟：哈维尔接萨哈拉左路传中，转身射门得分第35分钟：伊沃后场拿球后一路前进，到前场直塞左路，尹鸿博推射再下一城
49'另一个换人，范凌江换下了柏佳俊                   47'比分信息：第2分钟：哈维尔接萨哈拉左路传中，转身射门得分第35分钟：伊沃后场拿球后一路前进，到前场直塞左路，尹鸿博推射再下一城
49'曹赟定中场防守绊人犯规                   47'比分信息：第2分钟：哈维尔接萨哈拉左路传中，转身射门得分第35分钟：伊沃后场拿球后一路前进，到前场直塞左路，尹鸿博推射再下一城
50' 嘴里有根烟：中超的魔鬼主场是哪？天河？工体？鲁能？虹口？都不是。。。建业这才是啊！！！！                   47'比分信息：第2分钟：哈维尔接萨哈拉左路传中，转身射门得分第35分钟：伊沃后场拿球后一路前进，到前场直塞左路，尹鸿博推射再下一城
