2'红军现在在中场控球，耐心的倒脚。                   2'开场仅2分钟，杰拉德禁区前对弗莱泽-坎贝尔犯规被罚黄牌
11'永不放弃的春哥 :什么情况，主队怎么进了？(23:10----坎贝尔传穆奇，穆奇左脚打门球进了。                   9'卡迪夫城第9分钟取得领先，乔-艾伦传球失误，弗莱泽-坎贝尔右路回传，马奇禁区边缘抢在杰拉德飞铲封堵前射入左下角
11'球权现在在卡迪夫这边，配合很流畅！一点都不像保级队啊！                   9'卡迪夫城第9分钟取得领先，乔-艾伦传球失误，弗莱泽-坎贝尔右路回传，马奇禁区边缘抢在杰拉德飞铲封堵前射入左下角
12'利物浦的反击被化解了，球权还在。                   9'卡迪夫城第9分钟取得领先，乔-艾伦传球失误，弗莱泽-坎贝尔右路回传，马奇禁区边缘抢在杰拉德飞铲封堵前射入左下角
12'格伦-约翰逊长传直接找斯图，获得了一个角球。                   9'卡迪夫城第9分钟取得领先，乔-艾伦传球失误，弗莱泽-坎贝尔右路回传，马奇禁区边缘抢在杰拉德飞铲封堵前射入左下角
24'坎贝尔接贝拉米的传中头球攻门，高出了横梁。                   24'第24分钟，贝拉米右路传中，弗莱泽-坎贝尔小禁区前头球攻门高出
24'卡迪夫前场右路进攻，传中被杰拉德破坏。                   24'第24分钟，贝拉米右路传中，弗莱泽-坎贝尔小禁区前头球攻门高出
25'斯图里奇的突破被约翰破坏，球权回到卡迪夫这边。                   24'第24分钟，贝拉米右路传中，弗莱泽-坎贝尔小禁区前头球攻门高出
25'卡迪夫进攻！坎贝尔！                   24'第24分钟，贝拉米右路传中，弗莱泽-坎贝尔小禁区前头球攻门高出
25'坎贝尔右路突破，左脚打门！                   24'第24分钟，贝拉米右路传中，弗莱泽-坎贝尔小禁区前头球攻门高出
26'球进了！又是同样的位置！                   24'第24分钟，贝拉米右路传中，弗莱泽-坎贝尔小禁区前头球攻门高出
26'这个球在同样的位置，同样的角度，很神奇！红军再次落后！                   24'第24分钟，贝拉米右路传中，弗莱泽-坎贝尔小禁区前头球攻门高出
27'红军进攻被法比奥终止了，球出了底线。                   24'第24分钟，贝拉米右路传中，弗莱泽-坎贝尔小禁区前头球攻门高出
27'穆奇前场进攻的时候抢头球犯规了，红军定位球。                   24'第24分钟，贝拉米右路传中，弗莱泽-坎贝尔小禁区前头球攻门高出
30'库蒂尼奥禁区前突然远射，球高出了横梁。                   30'第30分钟，库蒂尼奥30码处远射离谱偏出
31'马绍尔开出球门球，杰拉德顶出了边线。                   30'第30分钟，库蒂尼奥30码处远射离谱偏出
31'亨利伴随记忆成长 :一买就输。上次加不了你球球!你说红军能赢吗(23:32)---投资需谨慎！                   30'第30分钟，库蒂尼奥30码处远射离谱偏出
31'卡迪夫又在右路进攻！                   30'第30分钟，库蒂尼奥30码处远射离谱偏出
31'金浦炅的射门被挡出！卡迪夫还在控球。                   30'第30分钟，库蒂尼奥30码处远射离谱偏出
32'贝拉米的传中被门将摘下。                   30'第30分钟，库蒂尼奥30码处远射离谱偏出
32'红军这段时间组织不起有效的反击啊。                   30'第30分钟，库蒂尼奥30码处远射离谱偏出
32'红军中后场倒脚寻找机会。                   30'第30分钟，库蒂尼奥30码处远射离谱偏出
33'这边阿伦背身拿球，卡特里尼犯规了。红军前场任意球。                   30'第30分钟，库蒂尼奥30码处远射离谱偏出
33'卡拉跟裁判抱怨，吃到了一张黄牌！                   30'第30分钟，库蒂尼奥30码处远射离谱偏出
33'看看苏神的任意球！                   30'第30分钟，库蒂尼奥30码处远射离谱偏出
33'苏亚雷斯和杰拉德站在球前。                   30'第30分钟，库蒂尼奥30码处远射离谱偏出
37'大家可以关注一下乐乐的置顶【互动话题】，和乐乐一起讨论角球！                   37'第37分钟，亨德森传球，斯图里奇禁区左侧的射门被马绍尔摘下
37'斯图里奇在左边路左脚打门，反弹球被马绍尔稳稳拿下。                   37'第37分钟，亨德森传球，斯图里奇禁区左侧的射门被马绍尔摘下
38'这边苏神在右路被卡特里尼放倒，卡迪夫界外球，裁判没有理会苏神的抗议。                   37'第37分钟，亨德森传球，斯图里奇禁区左侧的射门被马绍尔摘下
38'左边弗拉纳甘助攻上来了，球转移到中路。                   37'第37分钟，亨德森传球，斯图里奇禁区左侧的射门被马绍尔摘下
39'球在左路弗拉纳甘脚下，分给杰拉德。                   37'第37分钟，亨德森传球，斯图里奇禁区左侧的射门被马绍尔摘下
39'杰拉德长传找亨德森，亨德森直接打门高出横梁。                   37'第37分钟，亨德森传球，斯图里奇禁区左侧的射门被马绍尔摘下
40'双人徐_夂丶丶 :乐乐(23:40----恩，叫乐乐干啥~                   37'第37分钟，亨德森传球，斯图里奇禁区左侧的射门被马绍尔摘下
40'红军拿到了一个角球，梅德尔破坏了亨德森的突破。                   37'第37分钟，亨德森传球，斯图里奇禁区左侧的射门被马绍尔摘下
40'看看角球！                   37'第37分钟，亨德森传球，斯图里奇禁区左侧的射门被马绍尔摘下
40'库蒂尼奥角球开到中路被解围。                   37'第37分钟，亨德森传球，斯图里奇禁区左侧的射门被马绍尔摘下
61'好的，下半时开始了！                   60'利物浦第60分钟扩大比分，格伦-约翰逊右路传中被凯瑟林勉强挡下，斯图里奇脚后跟妙传，苏亚雷斯10码处推射破门，4-2
61'逢枪必中 :估摸着我罗屌村应该是要拿下乔阿伦上斯特林，改踢双后腰了(00:04)---看看你能不能命中！                   60'利物浦第60分钟扩大比分，格伦-约翰逊右路传中被凯瑟林勉强挡下，斯图里奇脚后跟妙传，苏亚雷斯10码处推射破门，4-2
61'继续看比赛，红军在后场倒脚。                   60'利物浦第60分钟扩大比分，格伦-约翰逊右路传中被凯瑟林勉强挡下，斯图里奇脚后跟妙传，苏亚雷斯10码处推射破门，4-2
62'杰拉德今天打单后腰，防守的压力很大啊！                   60'利物浦第60分钟扩大比分，格伦-约翰逊右路传中被凯瑟林勉强挡下，斯图里奇脚后跟妙传，苏亚雷斯10码处推射破门，4-2
62'斯图找苏神越位了！                   60'利物浦第60分钟扩大比分，格伦-约翰逊右路传中被凯瑟林勉强挡下，斯图里奇脚后跟妙传，苏亚雷斯10码处推射破门，4-2
63'下半场你认为谁会进球？[qiangda]A苏亚雷斯B.坎贝尔C.斯图里奇D.穆奇                   60'利物浦第60分钟扩大比分，格伦-约翰逊右路传中被凯瑟林勉强挡下，斯图里奇脚后跟妙传，苏亚雷斯10码处推射破门，4-2
63'这边卡迪夫获得了右边路一个角球！                   60'利物浦第60分钟扩大比分，格伦-约翰逊右路传中被凯瑟林勉强挡下，斯图里奇脚后跟妙传，苏亚雷斯10码处推射破门，4-2
64'贝拉米开出到中路，斯科特解围了。                   64'第64分钟，贝拉米开出角球，法比奥小禁区前头球攻门被挡出
64'红军转移到右边，苏神！                   64'第64分钟，贝拉米开出角球，法比奥小禁区前头球攻门被挡出
64'苏神在禁区里被梅德尔抢断了，这边约翰逊反抢了。                   64'第64分钟，贝拉米开出角球，法比奥小禁区前头球攻门被挡出
64'苏亚雷斯在禁区里对卡特里尼犯规了。                   64'第64分钟，贝拉米开出角球，法比奥小禁区前头球攻门被挡出
65'柠檬冰我的最爱 :乐乐我支持了你那么久、连个安慰奖都没有有、真气人？(00:07)----哎呀，不要生气嘛~快跟乐乐再互动一下！坚持就是胜利！                   64'第64分钟，贝拉米开出角球，法比奥小禁区前头球攻门被挡出
65'斯图左路反击，在禁区边缘倒在了地上！                   64'第64分钟，贝拉米开出角球，法比奥小禁区前头球攻门被挡出
65'穆奇在禁区边缘放倒了斯图里奇，任意球，这个位置打门很好啊！                   64'第64分钟，贝拉米开出角球，法比奥小禁区前头球攻门被挡出
66'这边法比奥吃到了一张黄牌，因为跟裁判喋喋不休。                   64'第64分钟，贝拉米开出角球，法比奥小禁区前头球攻门被挡出
66'又是杰队和苏神站在球前。                   64'第64分钟，贝拉米开出角球，法比奥小禁区前头球攻门被挡出
66'裁判把球往后放了，示意这个球要往后挪。                   64'第64分钟，贝拉米开出角球，法比奥小禁区前头球攻门被挡出
67'苏神还是打在了人墙上，碰到对方球员出了底线，角球。                   64'第64分钟，贝拉米开出角球，法比奥小禁区前头球攻门被挡出
67'正版托雷 :苏神戴帽，主播你信还是不信？(00:08---苏神带帽我请你吃饭！                   64'第64分钟，贝拉米开出角球，法比奥小禁区前头球攻门被挡出
75'斯图里奇头球找苏神，被解围了，                   75'第75分钟，格伦-约翰逊抢断后长传，考克尔头球解围失误，苏亚雷斯禁区左侧传中，斯图里奇近距离捅射入网，5-2
75'利物浦依旧控球，耐心倒脚，这段时间节奏慢了下来，。                   75'第75分钟，格伦-约翰逊抢断后长传，考克尔头球解围失误，苏亚雷斯禁区左侧传中，斯图里奇近距离捅射入网，5-2
75'右边约翰逊传中！                   75'第75分钟，格伦-约翰逊抢断后长传，考克尔头球解围失误，苏亚雷斯禁区左侧传中，斯图里奇近距离捅射入网，5-2
76'苏神接斯图里奇脚后跟传球打门球进了！                   75'第75分钟，格伦-约翰逊抢断后长传，考克尔头球解围失误，苏亚雷斯禁区左侧传中，斯图里奇近距离捅射入网，5-2
76'斯图里奇这个球跟苏神配合太神奇了！二人配合默契！                   75'第75分钟，格伦-约翰逊抢断后长传，考克尔头球解围失误，苏亚雷斯禁区左侧传中，斯图里奇近距离捅射入网，5-2
76'现在红军阵中有2人都有机会在本场比赛上演帽子戏法！                   75'第75分钟，格伦-约翰逊抢断后长传，考克尔头球解围失误，苏亚雷斯禁区左侧传中，斯图里奇近距离捅射入网，5-2
77'格伦约翰逊在右边路的表现很好！多次传出威胁球。                   75'第75分钟，格伦-约翰逊抢断后长传，考克尔头球解围失误，苏亚雷斯禁区左侧传中，斯图里奇近距离捅射入网，5-2
77'这边弗拉纳甘在左路接传球，停球打门打飞了。                   75'第75分钟，格伦-约翰逊抢断后长传，考克尔头球解围失误，苏亚雷斯禁区左侧传中，斯图里奇近距离捅射入网，5-2
78'向鱼问水瓶 :坐等乐乐请吃饭(00:21---这不还差一球嘛。。                   75'第75分钟，格伦-约翰逊抢断后长传，考克尔头球解围失误，苏亚雷斯禁区左侧传中，斯图里奇近距离捅射入网，5-2
78'索尔斯克亚坐不住了，从领先到落后两球！                   75'第75分钟，格伦-约翰逊抢断后长传，考克尔头球解围失误，苏亚雷斯禁区左侧传中，斯图里奇近距离捅射入网，5-2
78'向鱼问水瓶 :坐等乐乐请吃饭(00:21---这不还差一球嘛。。                   78'第78分钟，琼斯头球摆渡，曼联外租边锋萨哈禁区左侧的射门偏出远角
78'索尔斯克亚坐不住了，从领先到落后两球！                   78'第78分钟，琼斯头球摆渡，曼联外租边锋萨哈禁区左侧的射门偏出远角
79'下半场比赛红军的控球率直线上身啊！                   78'第78分钟，琼斯头球摆渡，曼联外租边锋萨哈禁区左侧的射门偏出远角
80'这边金浦炅在前场制造了一个角球，穆奇有些受伤。                   78'第78分钟，琼斯头球摆渡，曼联外租边锋萨哈禁区左侧的射门偏出远角
80'角球开出，穆奇头球攻门偏出。                   78'第78分钟，琼斯头球摆渡，曼联外租边锋萨哈禁区左侧的射门偏出远角
81'换人了！扎哈、戴赫立上场，换下了金浦炅。                   78'第78分钟，琼斯头球摆渡，曼联外租边锋萨哈禁区左侧的射门偏出远角
81'红军这边也要做出调整。                   78'第78分钟，琼斯头球摆渡，曼联外租边锋萨哈禁区左侧的射门偏出远角
81'斯特林准备替补上场。                   78'第78分钟，琼斯头球摆渡，曼联外租边锋萨哈禁区左侧的射门偏出远角
88'红军换人了！弗拉纳甘被西索科换下。                   88'卡迪夫城第88分钟扳回一城，凯瑟林右路传中，琼斯头球摆渡，马奇小禁区边缘头球接力破门，3-5
89'抢答继续！[qiangda]老将贝拉米的年龄是？A.30 B.34 C.35 D.33                   88'卡迪夫城第88分钟扳回一城，凯瑟林右路传中，琼斯头球摆渡，马奇小禁区边缘头球接力破门，3-5
89'西索科犯规，卡迪夫前场任意球。                   88'卡迪夫城第88分钟扳回一城，凯瑟林右路传中，琼斯头球摆渡，马奇小禁区边缘头球接力破门，3-5
90'第一点被后卫解围，卡迪夫左路前场边线球。                   88'卡迪夫城第88分钟扳回一城，凯瑟林右路传中，琼斯头球摆渡，马奇小禁区边缘头球接力破门，3-5
90'红军断球直接长传找苏神！                   88'卡迪夫城第88分钟扳回一城，凯瑟林右路传中，琼斯头球摆渡，马奇小禁区边缘头球接力破门，3-5
90'苏神传中找到了斯图里奇，球进了！！                   88'卡迪夫城第88分钟扳回一城，凯瑟林右路传中，琼斯头球摆渡，马奇小禁区边缘头球接力破门，3-5
91'格伦-约翰逊长传，苏神穿裆传球找斯图里奇，斯图里奇轻松破门！                   88'卡迪夫城第88分钟扳回一城，凯瑟林右路传中，琼斯头球摆渡，马奇小禁区边缘头球接力破门，3-5
91'利物浦两次落后，现在已经3球领先！                   88'卡迪夫城第88分钟扳回一城，凯瑟林右路传中，琼斯头球摆渡，马奇小禁区边缘头球接力破门，3-5
