3'上海申花队右路斜传禁区！莫雷诺胸部停球，倒地啦，勾倒了张璐                   3'开场仅3分钟，秦升犯规吃到黄牌
20'杭州绿城队直传球，跟上队员打门，被李帅挡出                   19'第19分钟绿城从申花左侧成功找到突破口，还是臧一锋，他带球杀入禁区，扣球过掉金基熙，但最后一脚射门被李帅神勇扑出
20'吕征右路强突，谈杨铲球犯规                   19'第19分钟绿城从申花左侧成功找到突破口，还是臧一锋，他带球杀入禁区，扣球过掉金基熙，但最后一脚射门被李帅神勇扑出
21'上海申花队传球到禁区内，莫雷诺回传球，吕征小角度打门高出！                   19'第19分钟绿城从申花左侧成功找到突破口，还是臧一锋，他带球杀入禁区，扣球过掉金基熙，但最后一脚射门被李帅神勇扑出
22'刚才是吕征斜传，登巴巴头球高出                   19'第19分钟绿城从申花左侧成功找到突破口，还是臧一锋，他带球杀入禁区，扣球过掉金基熙，但最后一脚射门被李帅神勇扑出
23'后场上海申花队得球，横传交给金基熙                   23'第23分钟莫雷诺在右侧边线处突然传球，在中路接应的曹赟定拿球转到右侧发力射门，球又被邹德海扑住
23'上海申花队右路长传球，莫雷诺横传                   23'第23分钟莫雷诺在右侧边线处突然传球，在中路接应的曹赟定拿球转到右侧发力射门，球又被邹德海扑住
24'莫雷诺横传，跟上队员打门，邹德海没收                   23'第23分钟莫雷诺在右侧边线处突然传球，在中路接应的曹赟定拿球转到右侧发力射门，球又被邹德海扑住
24'吕征前场接队友传球，中路突破横传想给瓜林，失误                   23'第23分钟莫雷诺在右侧边线处突然传球，在中路接应的曹赟定拿球转到右侧发力射门，球又被邹德海扑住
26'上海申花队右路攻到前场，被断                   23'第23分钟莫雷诺在右侧边线处突然传球，在中路接应的曹赟定拿球转到右侧发力射门，球又被邹德海扑住
26'绿城队左路攻过中场，横传到中路进攻                   23'第23分钟莫雷诺在右侧边线处突然传球，在中路接应的曹赟定拿球转到右侧发力射门，球又被邹德海扑住
31'中路有瓜林和登巴巴，还有莫雷诺！你吕征就不要强求突破啦！                   31'第31分钟谈扬利用身高在禁区内把球点下，冯刚跟上射门没打上力量
32'杭州绿城队右路进攻，对方将球破坏出边线                   31'第31分钟谈扬利用身高在禁区内把球点下，冯刚跟上射门没打上力量
32'界外球发出来传到禁区，冯刚侧身打门没有力量，被李帅没收                   31'第31分钟谈扬利用身高在禁区内把球点下，冯刚跟上射门没打上力量
33'登巴巴左路强突下底横传，被破坏                   31'第31分钟谈扬利用身高在禁区内把球点下，冯刚跟上射门没打上力量
33'莫雷诺再吊到禁区内，邹德海出击把球控下来                   31'第31分钟谈扬利用身高在禁区内把球点下，冯刚跟上射门没打上力量
41'曹赟定左路突破到禁区内，小角度打门！！！被邹德海扑了一下偏出！                   40'第40分钟曹赟定左路拿球过掉一人后大力斜射，邹德海扑了一下后可，球擦右门柱而出
41'角球发出来，后点，瓜林远射，被挡出来                   40'第40分钟曹赟定左路拿球过掉一人后大力斜射，邹德海扑了一下后可，球擦右门柱而出
42'上海申花队进球啦！登巴巴！1-0                   40'第40分钟曹赟定左路拿球过掉一人后大力斜射，邹德海扑了一下后可，球擦右门柱而出
42'上海申花队左路横传球到禁区内，登巴巴抢点头球顶门！皮球应声入网！！！                   40'第40分钟曹赟定左路拿球过掉一人后大力斜射，邹德海扑了一下后可，球擦右门柱而出
43'上海申花队左路长传，吕征没能接到                   40'第40分钟曹赟定左路拿球过掉一人后大力斜射，邹德海扑了一下后可，球擦右门柱而出
41'曹赟定左路突破到禁区内，小角度打门！！！被邹德海扑了一下偏出！                   41'第41分钟瓜林中路长传到左路，曹赟定这次没有再过人突破，而是起左脚传中，登巴巴在中路高高跃起，头球把球打入，1比0
41'角球发出来，后点，瓜林远射，被挡出来                   41'第41分钟瓜林中路长传到左路，曹赟定这次没有再过人突破，而是起左脚传中，登巴巴在中路高高跃起，头球把球打入，1比0
42'上海申花队进球啦！登巴巴！1-0                   41'第41分钟瓜林中路长传到左路，曹赟定这次没有再过人突破，而是起左脚传中，登巴巴在中路高高跃起，头球把球打入，1比0
42'上海申花队左路横传球到禁区内，登巴巴抢点头球顶门！皮球应声入网！！！                   41'第41分钟瓜林中路长传到左路，曹赟定这次没有再过人突破，而是起左脚传中，登巴巴在中路高高跃起，头球把球打入，1比0
43'上海申花队左路长传，吕征没能接到                   41'第41分钟瓜林中路长传到左路，曹赟定这次没有再过人突破，而是起左脚传中，登巴巴在中路高高跃起，头球把球打入，1比0
46'曹赟定带球突破到禁区，对方把球破坏                   46'第46分钟吕征突破到禁区右侧，但传中一瞬间，曹赟定突然从侧边转移到中路，错过一次门前扑杀机会
46'上半场比赛结束，上海申花队1-0领先杭州绿城队                   46'第46分钟吕征突破到禁区右侧，但传中一瞬间，曹赟定突然从侧边转移到中路，错过一次门前扑杀机会
46'下半场比赛开始                   46'第46分钟吕征突破到禁区右侧，但传中一瞬间，曹赟定突然从侧边转移到中路，错过一次门前扑杀机会
46'上海申花队发球，大脚长传前场                   46'第46分钟吕征突破到禁区右侧，但传中一瞬间，曹赟定突然从侧边转移到中路，错过一次门前扑杀机会
46'柏佳骏左路直传球，杭州绿城队把球断下来                   46'第46分钟吕征突破到禁区右侧，但传中一瞬间，曹赟定突然从侧边转移到中路，错过一次门前扑杀机会
47'杭州绿城队还是把谈杨顶在前面                   46'第46分钟吕征突破到禁区右侧，但传中一瞬间，曹赟定突然从侧边转移到中路，错过一次门前扑杀机会
47'上海申花队断球右路进攻                   46'第46分钟吕征突破到禁区右侧，但传中一瞬间，曹赟定突然从侧边转移到中路，错过一次门前扑杀机会
48'杭州绿城队左路进攻，逼得任意球机会                   46'第46分钟吕征突破到禁区右侧，但传中一瞬间，曹赟定突然从侧边转移到中路，错过一次门前扑杀机会
48'任意球发到禁区内，李帅没收                   46'第46分钟吕征突破到禁区右侧，但传中一瞬间，曹赟定突然从侧边转移到中路，错过一次门前扑杀机会
49'上海申花队右路组织进攻                   46'第46分钟吕征突破到禁区右侧，但传中一瞬间，曹赟定突然从侧边转移到中路，错过一次门前扑杀机会
49'上海申花队长传球失误                   46'第46分钟吕征突破到禁区右侧，但传中一瞬间，曹赟定突然从侧边转移到中路，错过一次门前扑杀机会
49'邹德海大脚开球过中场，被对方断下来                   46'第46分钟吕征突破到禁区右侧，但传中一瞬间，曹赟定突然从侧边转移到中路，错过一次门前扑杀机会
59'杭州绿城队断球，走右路过中场，横传到左路                   59'随后申花重新控制比赛，第59分钟莫雷诺带球中往左路转移，曹赟定传球入小禁区，球打在绿城队员腿上后轻微变向，登巴巴撩射没踢到球
59'莫雷诺横传球，曹赟定横传禁区，登巴巴抢点！邹德海把球没收                   59'随后申花重新控制比赛，第59分钟莫雷诺带球中往左路转移，曹赟定传球入小禁区，球打在绿城队员腿上后轻微变向，登巴巴撩射没踢到球
60'莫雷诺与登巴巴配合，没能配合好                   59'随后申花重新控制比赛，第59分钟莫雷诺带球中往左路转移，曹赟定传球入小禁区，球打在绿城队员腿上后轻微变向，登巴巴撩射没踢到球
61'绿城攻到前场，分右路，被破坏出边线                   59'随后申花重新控制比赛，第59分钟莫雷诺带球中往左路转移，曹赟定传球入小禁区，球打在绿城队员腿上后轻微变向，登巴巴撩射没踢到球
61'金基熙受伤倒在地上                   59'随后申花重新控制比赛，第59分钟莫雷诺带球中往左路转移，曹赟定传球入小禁区，球打在绿城队员腿上后轻微变向，登巴巴撩射没踢到球
62'前场杭州绿城队断球左路突破，被对方两人包夹抢断下来                   59'随后申花重新控制比赛，第59分钟莫雷诺带球中往左路转移，曹赟定传球入小禁区，球打在绿城队员腿上后轻微变向，登巴巴撩射没踢到球
62'登巴巴左路带球到前场，分边                   59'随后申花重新控制比赛，第59分钟莫雷诺带球中往左路转移，曹赟定传球入小禁区，球打在绿城队员腿上后轻微变向，登巴巴撩射没踢到球
62'柏佳骏直传球，登巴巴回传，柏佳骏打门被挡出来                   59'随后申花重新控制比赛，第59分钟莫雷诺带球中往左路转移，曹赟定传球入小禁区，球打在绿城队员腿上后轻微变向，登巴巴撩射没踢到球
62'卡希尔后场得球，横传交给队友                   59'随后申花重新控制比赛，第59分钟莫雷诺带球中往左路转移，曹赟定传球入小禁区，球打在绿城队员腿上后轻微变向，登巴巴撩射没踢到球
62'前场杭州绿城队断球左路突破，被对方两人包夹抢断下来                   62'第62分钟申花左路多人配合，但最后柏佳骏接登巴巴回传后射门打人墙里弹出
62'登巴巴左路带球到前场，分边                   62'第62分钟申花左路多人配合，但最后柏佳骏接登巴巴回传后射门打人墙里弹出
62'柏佳骏直传球，登巴巴回传，柏佳骏打门被挡出来                   62'第62分钟申花左路多人配合，但最后柏佳骏接登巴巴回传后射门打人墙里弹出
62'卡希尔后场得球，横传交给队友                   62'第62分钟申花左路多人配合，但最后柏佳骏接登巴巴回传后射门打人墙里弹出
63'中场登巴巴断球，横传中路                   62'第62分钟申花左路多人配合，但最后柏佳骏接登巴巴回传后射门打人墙里弹出
63'这谁啊！！瓜林吧，刚过中不是一脚远射，高出                   62'第62分钟申花左路多人配合，但最后柏佳骏接登巴巴回传后射门打人墙里弹出
64'莫雷诺左路带球突破，出界                   62'第62分钟申花左路多人配合，但最后柏佳骏接登巴巴回传后射门打人墙里弹出
64'界外球发出来，上海申花队断球左路斜传禁区，吕征头球顶门偏出！                   62'第62分钟申花左路多人配合，但最后柏佳骏接登巴巴回传后射门打人墙里弹出
64'莫雷诺左路带球突破，出界                   64'第64分钟曹赟定左路传中，吕征头球偏出，此时申花射门数已经达到16次
64'界外球发出来，上海申花队断球左路斜传禁区，吕征头球顶门偏出！                   64'第64分钟曹赟定左路传中，吕征头球偏出，此时申花射门数已经达到16次
66'吕征传球到禁区内，登巴巴抢点打门没能踢到球，莫雷诺打门偏出！                   64'第64分钟曹赟定左路传中，吕征头球偏出，此时申花射门数已经达到16次
71'战术任意球发出来，上海申花队分球到左路，瓜林横传禁区内前点，对方破坏出边线                   71'第71分钟曹赟定左路传中，登巴巴跃起没顶到球，后点等待的吕征凌空推射打偏出界
71'曹赟定左路斜传禁区，吕征抢点打门！皮球擦着后门柱出底线                   71'第71分钟曹赟定左路传中，登巴巴跃起没顶到球，后点等待的吕征凌空推射打偏出界
72'杭州绿城队攻到前场，传中，直接传给门将                   71'第71分钟曹赟定左路传中，登巴巴跃起没顶到球，后点等待的吕征凌空推射打偏出界
74'上海申花队进球！登巴巴，2-0                   71'第71分钟曹赟定左路传中，登巴巴跃起没顶到球，后点等待的吕征凌空推射打偏出界
74'曹赟定左路接球横传禁区，瓜林抢点打门被扑出，登巴巴补射球进！                   71'第71分钟曹赟定左路传中，登巴巴跃起没顶到球，后点等待的吕征凌空推射打偏出界
77'上海申花队左路二过一配合传到禁区内，邹德海没收                   77'申花还要扩大比分，第77分钟瓜林跑动中远射被邹德海扑住，绿城随即快速反击，阿甘左路斜传，被李帅抢在谈扬之前把球扑住
77'上海申花队还没有换人，是不是要进行人员调整？                   77'申花还要扩大比分，第77分钟瓜林跑动中远射被邹德海扑住，绿城随即快速反击，阿甘左路斜传，被李帅抢在谈扬之前把球扑住
77'后场上海申花队断球，瓜林带球到前场！外围远射被没收                   77'申花还要扩大比分，第77分钟瓜林跑动中远射被邹德海扑住，绿城随即快速反击，阿甘左路斜传，被李帅抢在谈扬之前把球扑住
78'杭州绿城队攻到前场，长传禁区，李帅没收                   77'申花还要扩大比分，第77分钟瓜林跑动中远射被邹德海扑住，绿城随即快速反击，阿甘左路斜传，被李帅抢在谈扬之前把球扑住
79'上海申花队左路攻到前场，强突禁区，倒地                   77'申花还要扩大比分，第77分钟瓜林跑动中远射被邹德海扑住，绿城随即快速反击，阿甘左路斜传，被李帅抢在谈扬之前把球扑住
79'主裁判没有表示                   77'申花还要扩大比分，第77分钟瓜林跑动中远射被邹德海扑住，绿城随即快速反击，阿甘左路斜传，被李帅抢在谈扬之前把球扑住
79'卡希尔前场斜传左路，横传球被破坏                   77'申花还要扩大比分，第77分钟瓜林跑动中远射被邹德海扑住，绿城随即快速反击，阿甘左路斜传，被李帅抢在谈扬之前把球扑住
79'阿甘已经跑到位，可惜队友传球不到位                   77'申花还要扩大比分，第77分钟瓜林跑动中远射被邹德海扑住，绿城随即快速反击，阿甘左路斜传，被李帅抢在谈扬之前把球扑住
79'杭州绿城队得到角球机会                   77'申花还要扩大比分，第77分钟瓜林跑动中远射被邹德海扑住，绿城随即快速反击，阿甘左路斜传，被李帅抢在谈扬之前把球扑住
80'李帅做出了换人手势！谁受伤了吗？                   77'申花还要扩大比分，第77分钟瓜林跑动中远射被邹德海扑住，绿城随即快速反击，阿甘左路斜传，被李帅抢在谈扬之前把球扑住
80'角球发到禁区内，卡希尔头球顶门，李帅没收！                   77'申花还要扩大比分，第77分钟瓜林跑动中远射被邹德海扑住，绿城随即快速反击，阿甘左路斜传，被李帅抢在谈扬之前把球扑住
82'杭州绿城队换人：董宇上场换下谈杨                   82'第82分钟董宇换下了抽筋的谈扬
82'杭州绿城队左路斜传禁区，李帅没收                   82'第82分钟董宇换下了抽筋的谈扬
83'双方发生了争执，吴范锡在与裁判说着什么，                   82'第82分钟董宇换下了抽筋的谈扬
83'莫雷诺突破时被放倒！                   82'第82分钟董宇换下了抽筋的谈扬
83'上海申花队换人，要换两人                   82'第82分钟董宇换下了抽筋的谈扬
84'马丁斯换下瓜林，陶金上场换下登巴巴                   82'第82分钟董宇换下了抽筋的谈扬
84'更正一下，陶金是换下了柏佳骏                   82'第82分钟董宇换下了抽筋的谈扬
85'吕征突破打门，邹德海没收                   82'第82分钟董宇换下了抽筋的谈扬
85'吕征右路强突，一脚远射，皮球偏出                   82'第82分钟董宇换下了抽筋的谈扬
85'上海申花队很快换了第三人，高迪上场换下曹赟定                   82'第82分钟董宇换下了抽筋的谈扬
85'吕征突破打门，邹德海没收                   85'第85分钟吕征禁区右路射门稍稍偏出
85'吕征右路强突，一脚远射，皮球偏出                   85'第85分钟吕征禁区右路射门稍稍偏出
85'上海申花队很快换了第三人，高迪上场换下曹赟定                   85'第85分钟吕征禁区右路射门稍稍偏出
86'比赛已经接近尾声                   85'第85分钟吕征禁区右路射门稍稍偏出
87'后场上海申花队断球，右路斜传前场                   85'第85分钟吕征禁区右路射门稍稍偏出
87'杭州绿城队把球破坏出边线                   85'第85分钟吕征禁区右路射门稍稍偏出
87'界外球发出来，马丁斯右路突破横传球，到左路交给登巴巴                   85'第85分钟吕征禁区右路射门稍稍偏出
88'上海申花队进球啦！马丁斯！4-0                   85'第85分钟吕征禁区右路射门稍稍偏出
88'登巴巴横传球到禁区内，对方挡了一下，登巴巴直传，马丁斯小角度打门球进！                   85'第85分钟吕征禁区右路射门稍稍偏出
88'马丁斯的打门球速太快了，邹德海无法反应！                   85'第85分钟吕征禁区右路射门稍稍偏出
87'后场上海申花队断球，右路斜传前场                   87'第87分钟登巴巴禁区内轻拨，刚出场的马丁斯避开斯皮拉诺维奇拦截，小角度怒射，4比0
87'杭州绿城队把球破坏出边线                   87'第87分钟登巴巴禁区内轻拨，刚出场的马丁斯避开斯皮拉诺维奇拦截，小角度怒射，4比0
87'界外球发出来，马丁斯右路突破横传球，到左路交给登巴巴                   87'第87分钟登巴巴禁区内轻拨，刚出场的马丁斯避开斯皮拉诺维奇拦截，小角度怒射，4比0
88'上海申花队进球啦！马丁斯！4-0                   87'第87分钟登巴巴禁区内轻拨，刚出场的马丁斯避开斯皮拉诺维奇拦截，小角度怒射，4比0
88'登巴巴横传球到禁区内，对方挡了一下，登巴巴直传，马丁斯小角度打门球进！                   87'第87分钟登巴巴禁区内轻拨，刚出场的马丁斯避开斯皮拉诺维奇拦截，小角度怒射，4比0
88'马丁斯的打门球速太快了，邹德海无法反应！                   87'第87分钟登巴巴禁区内轻拨，刚出场的马丁斯避开斯皮拉诺维奇拦截，小角度怒射，4比0
89'大比分拿下比赛，对上海申花队来说很提士气                   87'第87分钟登巴巴禁区内轻拨，刚出场的马丁斯避开斯皮拉诺维奇拦截，小角度怒射，4比0
89'杭州绿城队右路斜传禁区！传得大了些                   87'第87分钟登巴巴禁区内轻拨，刚出场的马丁斯避开斯皮拉诺维奇拦截，小角度怒射，4比0
89'马丁斯太兴奋啦！侧空翻接一个后空翻！庆祝！                   87'第87分钟登巴巴禁区内轻拨，刚出场的马丁斯避开斯皮拉诺维奇拦截，小角度怒射，4比0
89'比赛进入补时阶段！要补时  3分钟                   87'第87分钟登巴巴禁区内轻拨，刚出场的马丁斯避开斯皮拉诺维奇拦截，小角度怒射，4比0
90'登巴巴本场比赛表现抢眼，进三球助攻一球！                   87'第87分钟登巴巴禁区内轻拨，刚出场的马丁斯避开斯皮拉诺维奇拦截，小角度怒射，4比0
90'登巴巴本场比赛表现抢眼，进三球助攻一球！                   90'第90分钟庄佳杰右路打出质量不错的冷射，皮球稍稍高出
91'胜负没了悬念！                   90'第90分钟庄佳杰右路打出质量不错的冷射，皮球稍稍高出
92'杭州绿城队左路直传进攻，对方破坏出底线                   90'第90分钟庄佳杰右路打出质量不错的冷射，皮球稍稍高出
92'杭州绿城队得到角球机会                   90'第90分钟庄佳杰右路打出质量不错的冷射，皮球稍稍高出
92'角球发到禁区内，门前乱战，斯皮拉诺维奇打门被挡出底线                   90'第90分钟庄佳杰右路打出质量不错的冷射，皮球稍稍高出
92'角球发到后点，对方顶出来                   90'第90分钟庄佳杰右路打出质量不错的冷射，皮球稍稍高出
92'全场比赛结束，最终上海申花队4-0大胜杭州绿城队！                   90'第90分钟庄佳杰右路打出质量不错的冷射，皮球稍稍高出
