2'塞维利亚在前场拼抢，纳瓦斯身后绊倒了马斯切拉诺                   2'开场仅2分钟，哈维传球，佩德罗左路禁区边缘的劲射偏出
15'梅德尔把球回给了后卫，塞维利亚在右路组织进攻                   13'  flash player end  播放器 end 第13分钟，梅西同法布雷加斯配合，前阿森纳中场外脚背回拨，梅西禁区左侧16码处劲射被帕洛普勉强扑出，斯帕希奇大脚解围
16'哈维挡住了纳瓦斯的突进路线，把球断了下来                   13'  flash player end  播放器 end 第13分钟，梅西同法布雷加斯配合，前阿森纳中场外脚背回拨，梅西禁区左侧16码处劲射被帕洛普勉强扑出，斯帕希奇大脚解围
16'原来梅西是因为梅德尔拉了他一把而向裁判投诉                   13'  flash player end  播放器 end 第13分钟，梅西同法布雷加斯配合，前阿森纳中场外脚背回拨，梅西禁区左侧16码处劲射被帕洛普勉强扑出，斯帕希奇大脚解围
26'宋上抢出现了停球失误                   26'塞维利亚第26分钟取得领先，拉基蒂奇反击中横传，梅德尔远射被马斯切拉诺脚后跟挡出，特罗霍夫斯基禁区左侧12码处低射远角入网
26'特罗霍夫斯基！！！                   26'塞维利亚第26分钟取得领先，拉基蒂奇反击中横传，梅德尔远射被马斯切拉诺脚后跟挡出，特罗霍夫斯基禁区左侧12码处低射远角入网
26'.Gooooooooooooooooal！！！                   26'塞维利亚第26分钟取得领先，拉基蒂奇反击中横传，梅德尔远射被马斯切拉诺脚后跟挡出，特罗霍夫斯基禁区左侧12码处低射远角入网
26'又是特罗霍夫斯基！！！                   26'塞维利亚第26分钟取得领先，拉基蒂奇反击中横传，梅德尔远射被马斯切拉诺脚后跟挡出，特罗霍夫斯基禁区左侧12码处低射远角入网
27'宋上抢留下了防守的漏洞，梅德尔低平球横敲，特罗霍夫斯基左脚的劲射把球送入球门右下角！                   26'塞维利亚第26分钟取得领先，拉基蒂奇反击中横传，梅德尔远射被马斯切拉诺脚后跟挡出，特罗霍夫斯基禁区左侧12码处低射远角入网
27'这中卫组合实在是坑爹                   26'塞维利亚第26分钟取得领先，拉基蒂奇反击中横传，梅德尔远射被马斯切拉诺脚后跟挡出，特罗霍夫斯基禁区左侧12码处低射远角入网
28'之前正是因为宋抢球之后处理不当，球居然停给了对方球员                   26'塞维利亚第26分钟取得领先，拉基蒂奇反击中横传，梅德尔远射被马斯切拉诺脚后跟挡出，特罗霍夫斯基禁区左侧12码处低射远角入网
28'梅西！门前5米的打门居然被挡了出去                   26'塞维利亚第26分钟取得领先，拉基蒂奇反击中横传，梅德尔远射被马斯切拉诺脚后跟挡出，特罗霍夫斯基禁区左侧12码处低射远角入网
28'后卫组成了一堵人墙...                   26'塞维利亚第26分钟取得领先，拉基蒂奇反击中横传，梅德尔远射被马斯切拉诺脚后跟挡出，特罗霍夫斯基禁区左侧12码处低射远角入网
28'拉基蒂奇被裁判出示了黄牌                   26'塞维利亚第26分钟取得领先，拉基蒂奇反击中横传，梅德尔远射被马斯切拉诺脚后跟挡出，特罗霍夫斯基禁区左侧12码处低射远角入网
28'因为他在边路故意手球犯规                   26'塞维利亚第26分钟取得领先，拉基蒂奇反击中横传，梅德尔远射被马斯切拉诺脚后跟挡出，特罗霍夫斯基禁区左侧12码处低射远角入网
29'巴萨的边路定位球，还是哈维来处理                   26'塞维利亚第26分钟取得领先，拉基蒂奇反击中横传，梅德尔远射被马斯切拉诺脚后跟挡出，特罗霍夫斯基禁区左侧12码处低射远角入网
29'之前梅西的射门是打在了马杜罗的脸上...                   26'塞维利亚第26分钟取得领先，拉基蒂奇反击中横传，梅德尔远射被马斯切拉诺脚后跟挡出，特罗霍夫斯基禁区左侧12码处低射远角入网
29'传中球制造了一个角球                   26'塞维利亚第26分钟取得领先，拉基蒂奇反击中横传，梅德尔远射被马斯切拉诺脚后跟挡出，特罗霍夫斯基禁区左侧12码处低射远角入网
29'巴萨在禁区内连续的头球争抢，都没能捞到射门机会                   26'塞维利亚第26分钟取得领先，拉基蒂奇反击中横传，梅德尔远射被马斯切拉诺脚后跟挡出，特罗霍夫斯基禁区左侧12码处低射远角入网
37'桑切斯的边路传中给到了对方后卫脚下，立马被解围                   37'第37分钟，拉基蒂奇斜传，内格雷多右路禁区边缘外弧线球射门擦远角立柱偏出
37'纳瓦斯的反击！                   37'第37分钟，拉基蒂奇斜传，内格雷多右路禁区边缘外弧线球射门擦远角立柱偏出
37'又是内格雷多，禁区外的远射擦着立柱飞出底线                   37'第37分钟，拉基蒂奇斜传，内格雷多右路禁区边缘外弧线球射门擦远角立柱偏出
38'这球兜了一个弧线，打得真漂亮                   37'第37分钟，拉基蒂奇斜传，内格雷多右路禁区边缘外弧线球射门擦远角立柱偏出
38'可以说塞维利亚的进攻有威胁多了                   37'第37分钟，拉基蒂奇斜传，内格雷多右路禁区边缘外弧线球射门擦远角立柱偏出
38'塞维利亚只有换人了，马努换下了特罗霍夫斯基                   37'第37分钟，拉基蒂奇斜传，内格雷多右路禁区边缘外弧线球射门擦远角立柱偏出
39'桑切斯带球总是被撞倒...                   37'第37分钟，拉基蒂奇斜传，内格雷多右路禁区边缘外弧线球射门擦远角立柱偏出
39'这个赛季他的表现实在是很不理想                   37'第37分钟，拉基蒂奇斜传，内格雷多右路禁区边缘外弧线球射门擦远角立柱偏出
39'梅西带球横向内切，斯帕西奇双脚的飞铲！                   37'第37分钟，拉基蒂奇斜传，内格雷多右路禁区边缘外弧线球射门擦远角立柱偏出
40'这气势，梅西不得不让                   37'第37分钟，拉基蒂奇斜传，内格雷多右路禁区边缘外弧线球射门擦远角立柱偏出
40'塞维利亚中路反击，马努带球被宋拦截                   37'第37分钟，拉基蒂奇斜传，内格雷多右路禁区边缘外弧线球射门擦远角立柱偏出
40'这下宋的正面防守还是立功了                   37'第37分钟，拉基蒂奇斜传，内格雷多右路禁区边缘外弧线球射门擦远角立柱偏出
48'梅西依旧闷闷不乐，今天就没看到他笑过                   48'塞维利亚第48分钟扩大比分，布斯克茨后场传球梅西被梅德尔抢断，内格雷多摆脱亚历山大-宋突入禁区左肋12码处挑射近角入网，2-0
48'现在的梅西给自己的压力太大了                   48'塞维利亚第48分钟扩大比分，布斯克茨后场传球梅西被梅德尔抢断，内格雷多摆脱亚历山大-宋突入禁区左肋12码处挑射近角入网，2-0
48'巴萨又一次失误                   48'塞维利亚第48分钟扩大比分，布斯克茨后场传球梅西被梅德尔抢断，内格雷多摆脱亚历山大-宋突入禁区左肋12码处挑射近角入网，2-0
48'内格雷多！！！                   48'塞维利亚第48分钟扩大比分，布斯克茨后场传球梅西被梅德尔抢断，内格雷多摆脱亚历山大-宋突入禁区左肋12码处挑射近角入网，2-0
48'Goooooooooooooooal！！！                   48'塞维利亚第48分钟扩大比分，布斯克茨后场传球梅西被梅德尔抢断，内格雷多摆脱亚历山大-宋突入禁区左肋12码处挑射近角入网，2-0
48'今天是要客场翻船么？                   48'塞维利亚第48分钟扩大比分，布斯克茨后场传球梅西被梅德尔抢断，内格雷多摆脱亚历山大-宋突入禁区左肋12码处挑射近角入网，2-0
49'巴萨注意力不集中再次付出代价                   48'塞维利亚第48分钟扩大比分，布斯克茨后场传球梅西被梅德尔抢断，内格雷多摆脱亚历山大-宋突入禁区左肋12码处挑射近角入网，2-0
49'布斯克茨给梅西的传球被断，而宋也没有在自己的防区！                   48'塞维利亚第48分钟扩大比分，布斯克茨后场传球梅西被梅德尔抢断，内格雷多摆脱亚历山大-宋突入禁区左肋12码处挑射近角入网，2-0
49'内格雷多形成单刀之势，面对出击的巴尔德斯轻松的挑射破门                   48'塞维利亚第48分钟扩大比分，布斯克茨后场传球梅西被梅德尔抢断，内格雷多摆脱亚历山大-宋突入禁区左肋12码处挑射近角入网，2-0
50'阿尔巴左路下底，传中球落点不错！                   48'塞维利亚第48分钟扩大比分，布斯克茨后场传球梅西被梅德尔抢断，内格雷多摆脱亚历山大-宋突入禁区左肋12码处挑射近角入网，2-0
50'佩刀迎着下落的皮球凌空抽射，球在门线上被马努踢了出去                   48'塞维利亚第48分钟扩大比分，布斯克茨后场传球梅西被梅德尔抢断，内格雷多摆脱亚历山大-宋突入禁区左肋12码处挑射近角入网，2-0
51'这球被挡了出去，塞维利亚果然全队打了鸡血                   48'塞维利亚第48分钟扩大比分，布斯克茨后场传球梅西被梅德尔抢断，内格雷多摆脱亚历山大-宋突入禁区左肋12码处挑射近角入网，2-0
53'小法！！！                   53'巴萨第53分钟扳回一城，梅西直传，被紧逼的佩德罗回停，跟进的法布雷加斯禁区弧顶左脚劲射左下角入网，1-2
53'Goooooooooooooooooal！！！                   53'巴萨第53分钟扳回一城，梅西直传，被紧逼的佩德罗回停，跟进的法布雷加斯禁区弧顶左脚劲射左下角入网，1-2
53'巴萨快速扳回一城                   53'巴萨第53分钟扳回一城，梅西直传，被紧逼的佩德罗回停，跟进的法布雷加斯禁区弧顶左脚劲射左下角入网，1-2
54'还是在中路的短传渗透，佩德罗做墙给小法传球，而法布雷加斯不停球直接左脚劲射，球打入球门的左下角！                   53'巴萨第53分钟扳回一城，梅西直传，被紧逼的佩德罗回停，跟进的法布雷加斯禁区弧顶左脚劲射左下角入网，1-2
54'塞维利亚左路反击，马努低平球传中被宋挡出                   53'巴萨第53分钟扳回一城，梅西直传，被紧逼的佩德罗回停，跟进的法布雷加斯禁区弧顶左脚劲射左下角入网，1-2
55'阿尔维斯的传中被帕洛普单拳击出禁区                   53'巴萨第53分钟扳回一城，梅西直传，被紧逼的佩德罗回停，跟进的法布雷加斯禁区弧顶左脚劲射左下角入网，1-2
55'巴萨恢复了一些信心                   53'巴萨第53分钟扳回一城，梅西直传，被紧逼的佩德罗回停，跟进的法布雷加斯禁区弧顶左脚劲射左下角入网，1-2
55'宋给边路的分球又一次失误了                   53'巴萨第53分钟扳回一城，梅西直传，被紧逼的佩德罗回停，跟进的法布雷加斯禁区弧顶左脚劲射左下角入网，1-2
56'梅西禁区线上的打门被后卫挡出，到了桑切斯的脚下                   53'巴萨第53分钟扳回一城，梅西直传，被紧逼的佩德罗回停，跟进的法布雷加斯禁区弧顶左脚劲射左下角入网，1-2
56'佩刀为巴萨逼得了角球                   53'巴萨第53分钟扳回一城，梅西直传，被紧逼的佩德罗回停，跟进的法布雷加斯禁区弧顶左脚劲射左下角入网，1-2
56'巴萨角球传中被挡出，还是在巴萨的控制下                   53'巴萨第53分钟扳回一城，梅西直传，被紧逼的佩德罗回停，跟进的法布雷加斯禁区弧顶左脚劲射左下角入网，1-2
57'阿尔维斯的传中球又被后卫挡出，布斯克茨把球重新控制在脚下                   57'第57分钟，法布雷加斯传球，桑切斯禁区左侧14码处劲射偏出近角
57'桑切斯总算找到打门机会                   57'第57分钟，法布雷加斯传球，桑切斯禁区左侧14码处劲射偏出近角
58'这一次横向盘带之后闪开角度，低射擦着立柱飞出底线                   57'第57分钟，法布雷加斯传球，桑切斯禁区左侧14码处劲射偏出近角
58'桑切斯今天够郁闷的                   57'第57分钟，法布雷加斯传球，桑切斯禁区左侧14码处劲射偏出近角
58'这段时间塞维利亚的失误也不少                   57'第57分钟，法布雷加斯传球，桑切斯禁区左侧14码处劲射偏出近角
59'看样子他们也无法保持高强度的拼抢力度                   57'第57分钟，法布雷加斯传球，桑切斯禁区左侧14码处劲射偏出近角
60'梅西带球遭到对方3人围抢，裁判吹了犯规                   57'第57分钟，法布雷加斯传球，桑切斯禁区左侧14码处劲射偏出近角
60'定位球位置还不错                   57'第57分钟，法布雷加斯传球，桑切斯禁区左侧14码处劲射偏出近角
66'纳瓦斯斜传内格雷多...                   66'第66分钟，内格雷多禁区右侧被阿尔巴推倒，前瓦伦西亚后卫侥幸逃脱处罚
66'倒地了？没点球！                   66'第66分钟，内格雷多禁区右侧被阿尔巴推倒，前瓦伦西亚后卫侥幸逃脱处罚
66'裁判没有理会内格雷多的倒地                   66'第66分钟，内格雷多禁区右侧被阿尔巴推倒，前瓦伦西亚后卫侥幸逃脱处罚
66'而桑切斯又为巴萨制造了一个定位球                   66'第66分钟，内格雷多禁区右侧被阿尔巴推倒，前瓦伦西亚后卫侥幸逃脱处罚
67'正对球门方向的机会，弧顶靠后一些的位置                   66'第66分钟，内格雷多禁区右侧被阿尔巴推倒，前瓦伦西亚后卫侥幸逃脱处罚
67'还会是梅西来打么，哈维的打门被人墙挡了出去                   66'第66分钟，内格雷多禁区右侧被阿尔巴推倒，前瓦伦西亚后卫侥幸逃脱处罚
67'桑切斯在后卫的干扰下，带球出了底线                   66'第66分钟，内格雷多禁区右侧被阿尔巴推倒，前瓦伦西亚后卫侥幸逃脱处罚
68'场边比利亚开始热身了                   66'第66分钟，内格雷多禁区右侧被阿尔巴推倒，前瓦伦西亚后卫侥幸逃脱处罚
68'巴萨也开始有了一些反击的机会                   66'第66分钟，内格雷多禁区右侧被阿尔巴推倒，前瓦伦西亚后卫侥幸逃脱处罚
68'小法禁区左侧低平球传中，可惜队友都不在线路之上                   66'第66分钟，内格雷多禁区右侧被阿尔巴推倒，前瓦伦西亚后卫侥幸逃脱处罚
69'佩德罗的传中被破坏出底线，角球                   66'第66分钟，内格雷多禁区右侧被阿尔巴推倒，前瓦伦西亚后卫侥幸逃脱处罚
69'巴萨要先换上特略                   66'第66分钟，内格雷多禁区右侧被阿尔巴推倒，前瓦伦西亚后卫侥幸逃脱处罚
72'裁判掏出了红牌                   72'塞维利亚第72分钟遭遇打击，梅德尔用头顶撞法布雷加斯被红牌罚下
72'手上捏着红牌，会给谁呢？                   72'塞维利亚第72分钟遭遇打击，梅德尔用头顶撞法布雷加斯被红牌罚下
72'梅德尔！                   72'塞维利亚第72分钟遭遇打击，梅德尔用头顶撞法布雷加斯被红牌罚下
72'突然就被罚下了？                   72'塞维利亚第72分钟遭遇打击，梅德尔用头顶撞法布雷加斯被红牌罚下
72'究竟发生了什么呢？                   72'塞维利亚第72分钟遭遇打击，梅德尔用头顶撞法布雷加斯被红牌罚下
72'原来是他头顶小法的面部                   72'塞维利亚第72分钟遭遇打击，梅德尔用头顶撞法布雷加斯被红牌罚下
73'又是小法...上个赛季他被塞维利亚的球员围攻                   72'塞维利亚第72分钟遭遇打击，梅德尔用头顶撞法布雷加斯被红牌罚下
73'不知道各位是否还记得                   72'塞维利亚第72分钟遭遇打击，梅德尔用头顶撞法布雷加斯被红牌罚下
73'梅西的突破赢得了一个禁区外的定位球                   72'塞维利亚第72分钟遭遇打击，梅德尔用头顶撞法布雷加斯被红牌罚下
74'游客2621: 梅德尔到底犯规没犯规？---无球状态下，头顶小法的脸，你说犯规没？                   72'塞维利亚第72分钟遭遇打击，梅德尔用头顶撞法布雷加斯被红牌罚下
74'梅西的任意球直接打门被人墙挡出                   72'塞维利亚第72分钟遭遇打击，梅德尔用头顶撞法布雷加斯被红牌罚下
74'塞维利亚的反击来了                   72'塞维利亚第72分钟遭遇打击，梅德尔用头顶撞法布雷加斯被红牌罚下
74'纳瓦斯带球推进，被佩德罗拉倒在地                   72'塞维利亚第72分钟遭遇打击，梅德尔用头顶撞法布雷加斯被红牌罚下
74'裁判掏出了黄牌                   72'塞维利亚第72分钟遭遇打击，梅德尔用头顶撞法布雷加斯被红牌罚下
75'原来梅德尔之前是抱住皮球想阻拦巴萨快速开球                   72'塞维利亚第72分钟遭遇打击，梅德尔用头顶撞法布雷加斯被红牌罚下
75'而小法在身后抱了一把梅德尔...这下就火了                   72'塞维利亚第72分钟遭遇打击，梅德尔用头顶撞法布雷加斯被红牌罚下
75'原来梅德尔之前是抱住皮球想阻拦巴萨快速开球                   75'第75分钟，蒂亚戈换下布斯克茨
75'而小法在身后抱了一把梅德尔...这下就火了                   75'第75分钟，蒂亚戈换下布斯克茨
76'拉基蒂奇被孔德比亚换下                   75'第75分钟，蒂亚戈换下布斯克茨
76'巴萨换上蒂亚戈，换下了布斯克茨                   75'第75分钟，蒂亚戈换下布斯克茨
76'塞维利亚的定位球传中被阿尔维斯让出界外                   75'第75分钟，蒂亚戈换下布斯克茨
77'对方场上少了一人，巴萨可以放心进攻了么？                   75'第75分钟，蒂亚戈换下布斯克茨
78'特略在边路直塞，小法脚后跟传球找谁呢？                   75'第75分钟，蒂亚戈换下布斯克茨
78'纳瓦斯趟过了蒂亚戈，传中球打在马斯切拉诺的身上弹出边线                   75'第75分钟，蒂亚戈换下布斯克茨
78'蒂亚戈的传球也给了对方球员                   75'第75分钟，蒂亚戈换下布斯克茨
80'宋担纲中卫，一个人顶了                   80'第80分钟，内格雷多传球，德尔-莫拉尔左路25码处劲射偏出近角
80'马斯切拉诺的倒地铲球没能阻挡马努的突破，禁区外远射稍稍偏出                   80'第80分钟，内格雷多传球，德尔-莫拉尔左路25码处劲射偏出近角
80'内格雷多被换下，塞维利亚要死守了                   80'第80分钟，内格雷多传球，德尔-莫拉尔左路25码处劲射偏出近角
81'上场的是16号卢纳                   80'第80分钟，内格雷多传球，德尔-莫拉尔左路25码处劲射偏出近角
82'还有10多分钟时间                   80'第80分钟，内格雷多传球，德尔-莫拉尔左路25码处劲射偏出近角
82'梅西现在远离禁区，在中路给队友做球                   80'第80分钟，内格雷多传球，德尔-莫拉尔左路25码处劲射偏出近角
82'缺少了小白伊涅斯塔，梅西的位置也有些后撤                   80'第80分钟，内格雷多传球，德尔-莫拉尔左路25码处劲射偏出近角
83'纳瓦斯连续的带球突破，蒂亚戈身后的倒地铲球破坏了塞维利亚这次反击                   80'第80分钟，内格雷多传球，德尔-莫拉尔左路25码处劲射偏出近角
89'已经出来了机会，比利亚自己错过了                   89'巴萨第89分钟争议球扳平比分，蒂亚戈前场用手断球，哈维传球，梅西直传，法布雷加斯11码处捅射破门，2-2
89'又是小法！！！                   89'巴萨第89分钟争议球扳平比分，蒂亚戈前场用手断球，哈维传球，梅西直传，法布雷加斯11码处捅射破门，2-2
89'Gooooooooooooooooooooooal！！！                   89'巴萨第89分钟争议球扳平比分，蒂亚戈前场用手断球，哈维传球，梅西直传，法布雷加斯11码处捅射破门，2-2
90'梅西中路的突破吸引了防守，小法在左侧等候机会，接球之后的捅射~砸在了立柱上弹入网窝                   89'巴萨第89分钟争议球扳平比分，蒂亚戈前场用手断球，哈维传球，梅西直传，法布雷加斯11码处捅射破门，2-2
90'其实之前蒂亚戈抢球的时候球打在了手上，不过裁判没有吹犯规                   89'巴萨第89分钟争议球扳平比分，蒂亚戈前场用手断球，哈维传球，梅西直传，法布雷加斯11码处捅射破门，2-2
90'塞维利亚的主帅冈萨雷斯还因为抗议被罚出场外                   89'巴萨第89分钟争议球扳平比分，蒂亚戈前场用手断球，哈维传球，梅西直传，法布雷加斯11码处捅射破门，2-2
91'下半场要补时5分钟                   89'巴萨第89分钟争议球扳平比分，蒂亚戈前场用手断球，哈维传球，梅西直传，法布雷加斯11码处捅射破门，2-2
91'特略接球又一次被吹越位                   89'巴萨第89分钟争议球扳平比分，蒂亚戈前场用手断球，哈维传球，梅西直传，法布雷加斯11码处捅射破门，2-2
92'特略卷土重来，下底横传...队友没有包抄到位                   89'巴萨第89分钟争议球扳平比分，蒂亚戈前场用手断球，哈维传球，梅西直传，法布雷加斯11码处捅射破门，2-2
93'哈维重新把球控制住                   93'巴萨第93分钟反超比分，比利亚同梅西踢墙配合，斯帕希奇铲断未果，比利亚禁区左侧12码处劲射破门，3-2
93'比利亚！！！                   93'巴萨第93分钟反超比分，比利亚同梅西踢墙配合，斯帕希奇铲断未果，比利亚禁区左侧12码处劲射破门，3-2
93'Goooooooooooooooooal！！！                   93'巴萨第93分钟反超比分，比利亚同梅西踢墙配合，斯帕希奇铲断未果，比利亚禁区左侧12码处劲射破门，3-2
93'逆转！！！！！！                   93'巴萨第93分钟反超比分，比利亚同梅西踢墙配合，斯帕希奇铲断未果，比利亚禁区左侧12码处劲射破门，3-2
93'神奇的比利亚！！！                   93'巴萨第93分钟反超比分，比利亚同梅西踢墙配合，斯帕希奇铲断未果，比利亚禁区左侧12码处劲射破门，3-2
94'这一次又是和梅西的2过1配合，比利亚终于自己打门了~过了斯帕西奇之后面对出击的帕洛普，左脚抽射破门！                   93'巴萨第93分钟反超比分，比利亚同梅西踢墙配合，斯帕希奇铲断未果，比利亚禁区左侧12码处劲射破门，3-2
94'这一次比利亚果断的打门，帮助球队逆转比分                   93'巴萨第93分钟反超比分，比利亚同梅西踢墙配合，斯帕希奇铲断未果，比利亚禁区左侧12码处劲射破门，3-2
95'这场比赛梅西虽然没有进球，不过两个助攻也很关键                   93'巴萨第93分钟反超比分，比利亚同梅西踢墙配合，斯帕希奇铲断未果，比利亚禁区左侧12码处劲射破门，3-2
95'梅西要自己来，突破被后卫拉扯住了                   93'巴萨第93分钟反超比分，比利亚同梅西踢墙配合，斯帕希奇铲断未果，比利亚禁区左侧12码处劲射破门，3-2
95'裁判给了犯规的博蒂亚一张黄牌                   93'巴萨第93分钟反超比分，比利亚同梅西踢墙配合，斯帕希奇铲断未果，比利亚禁区左侧12码处劲射破门，3-2
