6'沙尔克04球员博阿滕大禁区外右脚射门,被防守球员封堵.                   6'第6分钟，博阿滕任意球折射后被魏登费勒得到
62'进球啦！！！沙尔克04球员M-梅耶尔大禁区左侧左脚射门,球从右下角飞进球门,球进了! 沙尔克04 1-2 多特蒙德.                   62'第62分钟，迈尔禁区边缘晃过苏博蒂奇横传，绍洛伊射门被魏登费勒扑出，迈尔左侧补射入网，1比2，他成为德甲史上打进3球的最年轻球员(18岁1个月零8天)
64'罗伊斯为多特蒙德在左路,赢得一个任意球.                   62'第62分钟，迈尔禁区边缘晃过苏博蒂奇横传，绍洛伊射门被魏登费勒扑出，迈尔左侧补射入网，1比2，他成为德甲史上打进3球的最年轻球员(18岁1个月零8天)
64'沙尔克04球员内田笃人拼抢犯规,对手获得控球权.                   62'第62分钟，迈尔禁区边缘晃过苏博蒂奇横传，绍洛伊射门被魏登费勒扑出，迈尔左侧补射入网，1比2，他成为德甲史上打进3球的最年轻球员(18岁1个月零8天)
64'多特蒙德球员胡梅尔斯拼抢犯规,对手获得控球权.                   62'第62分钟，迈尔禁区边缘晃过苏博蒂奇横传，绍洛伊射门被魏登费勒扑出，迈尔左侧补射入网，1比2，他成为德甲史上打进3球的最年轻球员(18岁1个月零8天)
64'希尔德布兰为沙尔克04赢得一个任意球.                   62'第62分钟，迈尔禁区边缘晃过苏博蒂奇横传，绍洛伊射门被魏登费勒扑出，迈尔左侧补射入网，1比2，他成为德甲史上打进3球的最年轻球员(18岁1个月零8天)
65'赫韦德斯将球处理出底线,多特蒙德获得角球.                   62'第62分钟，迈尔禁区边缘晃过苏博蒂奇横传，绍洛伊射门被魏登费勒扑出，迈尔左侧补射入网，1比2，他成为德甲史上打进3球的最年轻球员(18岁1个月零8天)
87'沙尔克04球员杰梅因-琼斯大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是奥戈.                   87'第87分钟，德拉克斯勒禁区左侧射门被魏登费勒得到
87'射门!!!沙尔克04球员德拉克斯勒大禁区左侧左脚射门,被对方守门员横身扑出.给他传球的是诺伊施泰特.                   87'第87分钟，德拉克斯勒禁区左侧射门被魏登费勒得到
89'多特蒙德换人,J-霍夫曼换下罗伊斯                   87'第87分钟，德拉克斯勒禁区左侧射门被魏登费勒得到
90'莱万多夫斯基为多特蒙德赢得一个任意球.                   87'第87分钟，德拉克斯勒禁区左侧射门被魏登费勒得到
90'沙尔克04球员杰梅因-琼斯拼抢犯规,对手获得控球权.                   87'第87分钟，德拉克斯勒禁区左侧射门被魏登费勒得到
90'黄牌！沙尔克04球员杰梅因-琼斯因为恶意犯规,被主裁判出示黄牌.                   87'第87分钟，德拉克斯勒禁区左侧射门被魏登费勒得到
90'+1'下半场结束,沙尔克04 1-3 多特蒙德                   87'第87分钟，德拉克斯勒禁区左侧射门被魏登费勒得到
