2'王林为杭州绿城赢得一个任意球.                   1'比赛开始前两队为昆明暴恐事件中遇难的同胞默哀1分钟
25'杭州绿城球员拉蒙危险动作,对手获得控球权.                   24'第24分钟，杨博宇在防守拉蒙时被对手转身甩在身后，杨博宇拉拽犯规得到了阿尔滨新赛季的首张黄牌吗，汪嵩的任意球直接攻门稍稍高出横梁
25'赵宏略为大连阿尔滨赢得一个任意球.                   24'第24分钟，杨博宇在防守拉蒙时被对手转身甩在身后，杨博宇拉拽犯规得到了阿尔滨新赛季的首张黄牌吗，汪嵩的任意球直接攻门稍稍高出横梁
27'王林为杭州绿城在右路,赢得一个任意球.                   24'第24分钟，杨博宇在防守拉蒙时被对手转身甩在身后，杨博宇拉拽犯规得到了阿尔滨新赛季的首张黄牌吗，汪嵩的任意球直接攻门稍稍高出横梁
27'大连阿尔滨球员于汉超拼抢犯规,对手获得控球权.                   24'第24分钟，杨博宇在防守拉蒙时被对手转身甩在身后，杨博宇拉拽犯规得到了阿尔滨新赛季的首张黄牌吗，汪嵩的任意球直接攻门稍稍高出横梁
27'杭州绿城球员马塞纳大禁区外尝试左脚射门,可惜皮球偏出球门.给他传球的是汪嵩.                   24'第24分钟，杨博宇在防守拉蒙时被对手转身甩在身后，杨博宇拉拽犯规得到了阿尔滨新赛季的首张黄牌吗，汪嵩的任意球直接攻门稍稍高出横梁
29'射门!!!大连阿尔滨球员于汉超大禁区外右脚射门,被对方守门员横身扑出.给他传球的是本科.                   29'第29分钟，于汉超禁区弧顶出甩开绿城后卫搓射远角，顾超飞身将球扑出
29'射门!!!大连阿尔滨球员朱晓刚大禁区外右脚射门,被对方守门员横身扑出.                   29'第29分钟，于汉超禁区弧顶出甩开绿城后卫搓射远角，顾超飞身将球扑出
30'马塞纳为杭州绿城在右路,赢得一个任意球.                   29'第29分钟，于汉超禁区弧顶出甩开绿城后卫搓射远角，顾超飞身将球扑出
30'大连阿尔滨球员朱晓刚拼抢犯规,对手获得控球权.                   29'第29分钟，于汉超禁区弧顶出甩开绿城后卫搓射远角，顾超飞身将球扑出
30'大连阿尔滨球员吕鹏大禁区外右脚射门,被防守球员封堵.给他传球的是布鲁诺.                   29'第29分钟，于汉超禁区弧顶出甩开绿城后卫搓射远角，顾超飞身将球扑出
30'射门!!!大连阿尔滨球员于汉超大禁区左侧右脚射门,被对方守门员横身扑出.给他传球的是于大宝.                   29'第29分钟，于汉超禁区弧顶出甩开绿城后卫搓射远角，顾超飞身将球扑出
31'顾超将球处理出底线,大连阿尔滨获得角球.                   29'第29分钟，于汉超禁区弧顶出甩开绿城后卫搓射远角，顾超飞身将球扑出
31'大连阿尔滨球员本科大禁区中央尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是贝克曼.                   29'第29分钟，于汉超禁区弧顶出甩开绿城后卫搓射远角，顾超飞身将球扑出
31'大连阿尔滨球员本科一脚直塞球给布鲁诺,但是边裁举旗显示后者已经越位.                   29'第29分钟，于汉超禁区弧顶出甩开绿城后卫搓射远角，顾超飞身将球扑出
35'戴维.恩格桑为杭州绿城在左路,赢得一个任意球.                   35'第35分钟，汪嵩主罚任意球，曹轩力压阿尔滨后卫头球攻门球擦门楣飞出底线
35'大连阿尔滨球员杨博宇拼抢犯规,对手获得控球权.                   35'第35分钟，汪嵩主罚任意球，曹轩力压阿尔滨后卫头球攻门球擦门楣飞出底线
36'杭州绿城球员曹轩大禁区中央尝试头球,可惜皮球稍稍高出球门.给他传球的是汪嵩.                   35'第35分钟，汪嵩主罚任意球，曹轩力压阿尔滨后卫头球攻门球擦门楣飞出底线
37'冯刚为杭州绿城赢得一个任意球.                   35'第35分钟，汪嵩主罚任意球，曹轩力压阿尔滨后卫头球攻门球擦门楣飞出底线
37'大连阿尔滨球员李学鹏拼抢犯规,对手获得控球权.                   35'第35分钟，汪嵩主罚任意球，曹轩力压阿尔滨后卫头球攻门球擦门楣飞出底线
38'杭州绿城球员拉蒙拼抢犯规,对手获得控球权.                   35'第35分钟，汪嵩主罚任意球，曹轩力压阿尔滨后卫头球攻门球擦门楣飞出底线
38'张翀为大连阿尔滨赢得一个任意球.                   35'第35分钟，汪嵩主罚任意球，曹轩力压阿尔滨后卫头球攻门球擦门楣飞出底线
45'+1'大连阿尔滨球员于大宝大禁区外尝试右脚射门,可惜皮球高出右上角球门.给他传球的是布鲁诺.                   43'第43分钟，于汉超在绿城禁区内被范晓东拽倒，主裁判范崎示意比赛继续
45'+2'大连阿尔滨球员布鲁诺大禁区外右脚射门,被防守球员封堵.给他传球的是于汉超.                   43'第43分钟，于汉超在绿城禁区内被范晓东拽倒，主裁判范崎示意比赛继续
45'+2'上半场结束,杭州绿城 1-0 大连阿尔滨,稍事休息,我们一会来看看下半场两队的表现.                   43'第43分钟，于汉超在绿城禁区内被范晓东拽倒，主裁判范崎示意比赛继续
47'王林为杭州绿城在右路,赢得一个任意球.                   46'经过1分钟的补时，两队上半场比赛结束，杭州绿城暂1-0领先大连阿尔滨
47'大连阿尔滨球员于汉超拼抢犯规,对手获得控球权.                   46'经过1分钟的补时，两队上半场比赛结束，杭州绿城暂1-0领先大连阿尔滨
51'杭州绿城球员拉蒙拼抢犯规,对手获得控球权.                   48'第48分钟，赵宏略右路突破至底线附近传入禁区，顾超跃起将球揽入怀中
51'李学鹏为大连阿尔滨赢得一个任意球.                   48'第48分钟，赵宏略右路突破至底线附近传入禁区，顾超跃起将球揽入怀中
54'石柯将球处理出底线,大连阿尔滨获得角球.                   54'第54分钟，杭州绿城率先换人，斯洛文尼亚外援卢卡替补拉蒙登场
54'射门!!!大连阿尔滨球员贝克曼大禁区中央头球,被对方守门员横身扑出.给他传球的是布鲁诺.                   54'第54分钟，杭州绿城率先换人，斯洛文尼亚外援卢卡替补拉蒙登场
55'杭州绿城换人,津科换下拉蒙                   54'第54分钟，杭州绿城率先换人，斯洛文尼亚外援卢卡替补拉蒙登场
62'射门!!!杭州绿城球员汪嵩大禁区左侧左脚射门,被对方守门员横身扑出.给他传球的是马塞纳.                   62'第62分钟，汪嵩一对一轻巧晃过阿尔滨后卫杨博宇小角度射门被张挡出
64'杭州绿城球员马塞纳大禁区右侧右脚射门,被防守球员封堵.给他传球的是冯刚.                   62'第62分钟，汪嵩一对一轻巧晃过阿尔滨后卫杨博宇小角度射门被张挡出
65'王林为杭州绿城在右路,赢得一个任意球.                   62'第62分钟，汪嵩一对一轻巧晃过阿尔滨后卫杨博宇小角度射门被张挡出
65'大连阿尔滨球员于汉超拼抢犯规,对手获得控球权.                   62'第62分钟，汪嵩一对一轻巧晃过阿尔滨后卫杨博宇小角度射门被张挡出
53'石柯将球处理出底线,大连阿尔滨获得角球.                   52'7分钟后，于汉超为阿尔滨拼得角球机会，布鲁诺开出的角球高度不够被绿城化解
54'石柯将球处理出底线,大连阿尔滨获得角球.                   52'7分钟后，于汉超为阿尔滨拼得角球机会，布鲁诺开出的角球高度不够被绿城化解
54'射门!!!大连阿尔滨球员贝克曼大禁区中央头球,被对方守门员横身扑出.给他传球的是布鲁诺.                   52'7分钟后，于汉超为阿尔滨拼得角球机会，布鲁诺开出的角球高度不够被绿城化解
55'杭州绿城换人,津科换下拉蒙                   52'7分钟后，于汉超为阿尔滨拼得角球机会，布鲁诺开出的角球高度不够被绿城化解
78'杭州绿城球员孙大镐大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是汪嵩.                   78'第78分钟，于汉超禁区内接队友传球不等球落地半转身凌空抽射迫使顾超再次做出精彩扑救
78'射门!!!大连阿尔滨球员于汉超大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是吕鹏.                   78'第78分钟，于汉超禁区内接队友传球不等球落地半转身凌空抽射迫使顾超再次做出精彩扑救
78'顾超将球处理出底线,大连阿尔滨获得角球.                   78'第78分钟，于汉超禁区内接队友传球不等球落地半转身凌空抽射迫使顾超再次做出精彩扑救
80'大连阿尔滨球员Eddy大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是于汉超.                   78'第78分钟，于汉超禁区内接队友传球不等球落地半转身凌空抽射迫使顾超再次做出精彩扑救
85'射门!!!杭州绿城球员汪嵩大禁区外左脚射门,被对方守门员横身扑出.给他传球的是曹轩.                   85'第85分钟阿尔比门前出现险情，艾迪本方半场传球出现失误，汪嵩在面对杨博宇防守时再次胜出，张的连续两次扑救力保城门不被再次洞穿
86'杭州绿城球员王林拼抢犯规,对手获得控球权.                   85'第85分钟阿尔比门前出现险情，艾迪本方半场传球出现失误，汪嵩在面对杨博宇防守时再次胜出，张的连续两次扑救力保城门不被再次洞穿
86'Eddy为大连阿尔滨赢得一个任意球.                   85'第85分钟阿尔比门前出现险情，艾迪本方半场传球出现失误，汪嵩在面对杨博宇防守时再次胜出，张的连续两次扑救力保城门不被再次洞穿
89'射门!!!杭州绿城球员马塞纳大禁区左侧右脚射门,被对方守门员横身扑出.给他传球的是戴维.恩格桑.                   89'第89分钟，绿城禁区前沿低射被张倒地扑住
89'杭州绿城王林受伤倒地,比赛暂停                   89'第89分钟，绿城禁区前沿低射被张倒地扑住
90'暂停结束,球员们重新开始比赛.                   89'第89分钟，绿城禁区前沿低射被张倒地扑住
90'+2'射门!!!杭州绿城球员津科大禁区外右脚射门,被对方守门员横身扑出.                   89'第89分钟，绿城禁区前沿低射被张倒地扑住
90'+2'石柯为杭州绿城赢得一个任意球.                   89'第89分钟，绿城禁区前沿低射被张倒地扑住
90'+2'大连阿尔滨球员布鲁诺拼抢犯规,对手获得控球权.                   89'第89分钟，绿城禁区前沿低射被张倒地扑住
90'+3'下半场结束,杭州绿城 1-1 大连阿尔滨                   89'第89分钟，绿城禁区前沿低射被张倒地扑住
