1'首先开球的是曼城                   1'曼城第1分钟逐渐控制比赛
11'纳瓦斯禁区内底线回敲给到禁区前沿，亚亚图雷直接推射，席尔瓦故意一漏，球正好碰到道森两腿之间后缓缓滚入球门远角，迈希尔只能看着球慢慢滚入球门！                   9'”曼城第9分钟幸运取得领先，席尔瓦禁区左侧斜射偏出，纳瓦斯右路回传，亚亚-图雷禁区边缘缺乏威胁的低射打中道森后偏转入左下角
11'此时此刻值得来杯嘉士伯                   9'”曼城第9分钟幸运取得领先，席尔瓦禁区左侧斜射偏出，纳瓦斯右路回传，亚亚-图雷禁区边缘缺乏威胁的低射打中道森后偏转入左下角
11'曼城这边又获得角球机会                   9'”曼城第9分钟幸运取得领先，席尔瓦禁区左侧斜射偏出，纳瓦斯右路回传，亚亚-图雷禁区边缘缺乏威胁的低射打中道森后偏转入左下角
11'角球送前点被顶了出来                   9'”曼城第9分钟幸运取得领先，席尔瓦禁区左侧斜射偏出，纳瓦斯右路回传，亚亚-图雷禁区边缘缺乏威胁的低射打中道森后偏转入左下角
12'这球最后算乌龙还是亚亚图雷，还有待官方给一个消息                   9'”曼城第9分钟幸运取得领先，席尔瓦禁区左侧斜射偏出，纳瓦斯右路回传，亚亚-图雷禁区边缘缺乏威胁的低射打中道森后偏转入左下角
24'曼城前场拿球，西布朗也是采取了包夹                   24'曼城第24分钟扩大比分，亚亚-图雷传球，博尼回敲，科特迪瓦人禁区弧内劲射右上角入网，2-0
24'0-2！！                   24'曼城第24分钟扩大比分，亚亚-图雷传球，博尼回敲，科特迪瓦人禁区弧内劲射右上角入网，2-0
24'亚亚图雷！！                   24'曼城第24分钟扩大比分，亚亚-图雷传球，博尼回敲，科特迪瓦人禁区弧内劲射右上角入网，2-0
25'亚亚图雷前场拿球给到博尼，博尼再做球给到亚亚图雷，亚亚图雷禁区弧顶一脚漂亮的世界波将球打进！                   24'曼城第24分钟扩大比分，亚亚-图雷传球，博尼回敲，科特迪瓦人禁区弧内劲射右上角入网，2-0
25'此时此刻值得来杯嘉士伯                   24'曼城第24分钟扩大比分，亚亚-图雷传球，博尼回敲，科特迪瓦人禁区弧内劲射右上角入网，2-0
25'感觉比赛的悬念已经没有了                   24'曼城第24分钟扩大比分，亚亚-图雷传球，博尼回敲，科特迪瓦人禁区弧内劲射右上角入网，2-0
26'曼城牢牢的控制着球                   24'曼城第24分钟扩大比分，亚亚-图雷传球，博尼回敲，科特迪瓦人禁区弧内劲射右上角入网，2-0
26'亚亚图雷今天的状态非常的出色                   24'曼城第24分钟扩大比分，亚亚-图雷传球，博尼回敲，科特迪瓦人禁区弧内劲射右上角入网，2-0
27'西布朗前场拿球被费尔南迪尼奥放倒                   24'曼城第24分钟扩大比分，亚亚-图雷传球，博尼回敲，科特迪瓦人禁区弧内劲射右上角入网，2-0
27'西布朗获得一个难得的前场任意球                   24'曼城第24分钟扩大比分，亚亚-图雷传球，博尼回敲，科特迪瓦人禁区弧内劲射右上角入网，2-0
27'距离上还是稍微有些远                   24'曼城第24分钟扩大比分，亚亚-图雷传球，博尼回敲，科特迪瓦人禁区弧内劲射右上角入网，2-0
41'斯特林单刀不进啊！！                   41'第41分钟，费尔南迪尼奥直传，斯特林12码处单刀推射被扑出
41'曼城前场送直塞，斯特林前场后卡住防守球员，禁区内推射被迈希尔扑出！                   41'第41分钟，费尔南迪尼奥直传，斯特林12码处单刀推射被扑出
42'西布朗前场送直塞，队友接球后前插后推射远角破门                   41'第41分钟，费尔南迪尼奥直传，斯特林12码处单刀推射被扑出
42'但边裁这边先举旗了，越位                   41'第41分钟，费尔南迪尼奥直传，斯特林12码处单刀推射被扑出
42'慢镜头来看，这球判罚准确                   41'第41分钟，费尔南迪尼奥直传，斯特林12码处单刀推射被扑出
43'西布朗右路起送后点                   41'第41分钟，费尔南迪尼奥直传，斯特林12码处单刀推射被扑出
43'兰伯特滑铲将球打偏                   41'第41分钟，费尔南迪尼奥直传，斯特林12码处单刀推射被扑出
44'曼城禁区弧顶拿球送左路                   41'第41分钟，费尔南迪尼奥直传，斯特林12码处单刀推射被扑出
44'科拉罗夫前插后劲射被挡出                   41'第41分钟，费尔南迪尼奥直传，斯特林12码处单刀推射被扑出
44'曼城的角球机会                   41'第41分钟，费尔南迪尼奥直传，斯特林12码处单刀推射被扑出
44'角球送禁区内，威胁不大                   41'第41分钟，费尔南迪尼奥直传，斯特林12码处单刀推射被扑出
44'禁区外围，还是曼城在控制球                   41'第41分钟，费尔南迪尼奥直传，斯特林12码处单刀推射被扑出
59'席尔瓦左路底线拿球                   59'曼城第59分钟锁定胜局，席尔瓦开出角球，孔帕尼前点小角度头球攻门紧贴横梁下沿入网，3-0
59'挑传到了前点                   59'曼城第59分钟锁定胜局，席尔瓦开出角球，孔帕尼前点小角度头球攻门紧贴横梁下沿入网，3-0
59'博尼这边想争一下没有碰到                   59'曼城第59分钟锁定胜局，席尔瓦开出角球，孔帕尼前点小角度头球攻门紧贴横梁下沿入网，3-0
59'曼城这边角球机会                   59'曼城第59分钟锁定胜局，席尔瓦开出角球，孔帕尼前点小角度头球攻门紧贴横梁下沿入网，3-0
59'0-3！！                   59'曼城第59分钟锁定胜局，席尔瓦开出角球，孔帕尼前点小角度头球攻门紧贴横梁下沿入网，3-0
59'孔帕尼！！                   59'曼城第59分钟锁定胜局，席尔瓦开出角球，孔帕尼前点小角度头球攻门紧贴横梁下沿入网，3-0
60'曼城角球开出，送到了前点，孔帕尼无人看防头球攻门顶远角破门！                   59'曼城第59分钟锁定胜局，席尔瓦开出角球，孔帕尼前点小角度头球攻门紧贴横梁下沿入网，3-0
60'此时此刻值得来杯嘉士伯                   59'曼城第59分钟锁定胜局，席尔瓦开出角球，孔帕尼前点小角度头球攻门紧贴横梁下沿入网，3-0
61'曼城中场又是一次反抢                   59'曼城第59分钟锁定胜局，席尔瓦开出角球，孔帕尼前点小角度头球攻门紧贴横梁下沿入网，3-0
61'加德纳之前也得了一张黄牌                   59'曼城第59分钟锁定胜局，席尔瓦开出角球，孔帕尼前点小角度头球攻门紧贴横梁下沿入网，3-0
61'西布朗中场拿球，没有机会                   59'曼城第59分钟锁定胜局，席尔瓦开出角球，孔帕尼前点小角度头球攻门紧贴横梁下沿入网，3-0
62'雅各布后场防守的时候拉人犯规                   59'曼城第59分钟锁定胜局，席尔瓦开出角球，孔帕尼前点小角度头球攻门紧贴横梁下沿入网，3-0
62'雅各布得到一张黄牌！                   59'曼城第59分钟锁定胜局，席尔瓦开出角球，孔帕尼前点小角度头球攻门紧贴横梁下沿入网，3-0
62'西布朗这边心态比较急                   59'曼城第59分钟锁定胜局，席尔瓦开出角球，孔帕尼前点小角度头球攻门紧贴横梁下沿入网，3-0
