7'那不勒斯换人,卡杜里上,潘德夫因伤下场.                   7'开场7分钟，潘德夫因伤被卡杜里换下
61'罗马球员拉梅拉拼抢犯规,对手获得控球权.                   58'第58分钟，拉梅拉直传，德斯特罗变线摆脱防守，在门前11米处左脚射门被罗萨蒂一扑慢慢滚进门内，2比0
61'苏尼加为那不勒斯在左路,赢得一个任意球.                   61'第16分钟，夸德拉多传中，利亚伊奇小禁区左侧破门
61'罗马球员拉梅拉拼抢犯规,对手获得控球权.                   61'第16分钟，夸德拉多传中，利亚伊奇小禁区左侧破门
62'罗马球员马基尼奥大禁区外左脚射门,被防守球员封堵.给他传球的是Dodô.                   61'第16分钟，夸德拉多传中，利亚伊奇小禁区左侧破门
62'小卡纳瓦罗将球处理出底线,罗马获得角球.                   61'第16分钟，夸德拉多传中，利亚伊奇小禁区左侧破门
64'那不勒斯球员苏尼加拼抢犯规,对手获得控球权.                   61'第16分钟，夸德拉多传中，利亚伊奇小禁区左侧破门
64'拉梅拉为罗马赢得一个任意球.                   61'第16分钟，夸德拉多传中，利亚伊奇小禁区左侧破门
50'卡瓦尼为那不勒斯在对方半场,赢得一个任意球.                   49'4分钟后，博尔哈-巴莱罗传球，费尔南内斯远射钻进左下角，3比0
50'罗马球员卡斯坦拼抢犯规,对手获得控球权.                   49'4分钟后，博尔哈-巴莱罗传球，费尔南内斯远射钻进左下角，3比0
50'那不勒斯球员哈姆西克拼抢犯规,对手获得控球权.                   49'4分钟后，博尔哈-巴莱罗传球，费尔南内斯远射钻进左下角，3比0
50'拉梅拉为罗马赢得一个任意球.                   49'4分钟后，博尔哈-巴莱罗传球，费尔南内斯远射钻进左下角，3比0
50'卡瓦尼为那不勒斯在对方半场,赢得一个任意球.                   49'4分钟后，约维蒂奇直传，利亚伊奇完成帽子戏法
50'罗马球员卡斯坦拼抢犯规,对手获得控球权.                   49'4分钟后，约维蒂奇直传，利亚伊奇完成帽子戏法
50'那不勒斯球员哈姆西克拼抢犯规,对手获得控球权.                   49'4分钟后，约维蒂奇直传，利亚伊奇完成帽子戏法
50'拉梅拉为罗马赢得一个任意球.                   49'4分钟后，约维蒂奇直传，利亚伊奇完成帽子戏法
