1'主裁判吹响了上半场比赛开始的哨音~                   1'拜仁第1分钟首先获得射门机会，阿拉巴传中，穆勒左脚凌空打偏
17'而且进球之后阿里亚斯也没反应过来，转头看了一下边裁之后才敢庆祝                   14'埃因霍温第14分钟首次威胁就取得进球
17'这下比赛好看啦                   14'埃因霍温第14分钟首次威胁就取得进球
29'拜仁重新掌控了球权                   29'拜仁第29分钟再次中框，阿隆索左路斜长传，罗本头球一蹭被挡出远门柱，他右侧开出角球，莱万在门前5米处力扛后卫头球击中左门柱
29'埃因霍温是全线都回来防守                   29'拜仁第29分钟再次中框，阿隆索左路斜长传，罗本头球一蹭被挡出远门柱，他右侧开出角球，莱万在门前5米处力扛后卫头球击中左门柱
29'只留了一个德容在中圈附近游荡                   29'拜仁第29分钟再次中框，阿隆索左路斜长传，罗本头球一蹭被挡出远门柱，他右侧开出角球，莱万在门前5米处力扛后卫头球击中左门柱
29'拜仁45度斜长传~~门将扑了一下                   29'拜仁第29分钟再次中框，阿隆索左路斜长传，罗本头球一蹭被挡出远门柱，他右侧开出角球，莱万在门前5米处力扛后卫头球击中左门柱
29'角球                   29'拜仁第29分钟再次中框，阿隆索左路斜长传，罗本头球一蹭被挡出远门柱，他右侧开出角球，莱万在门前5米处力扛后卫头球击中左门柱
30'又是立柱~~~                   29'拜仁第29分钟再次中框，阿隆索左路斜长传，罗本头球一蹭被挡出远门柱，他右侧开出角球，莱万在门前5米处力扛后卫头球击中左门柱
30'罗本的角球传中到小禁区附近~                   29'拜仁第29分钟再次中框，阿隆索左路斜长传，罗本头球一蹭被挡出远门柱，他右侧开出角球，莱万在门前5米处力扛后卫头球击中左门柱
30'还是莱万~~~头球砸在了球门左侧立柱                   29'拜仁第29分钟再次中框，阿隆索左路斜长传，罗本头球一蹭被挡出远门柱，他右侧开出角球，莱万在门前5米处力扛后卫头球击中左门柱
30'拜仁今天这运气啊                   29'拜仁第29分钟再次中框，阿隆索左路斜长传，罗本头球一蹭被挡出远门柱，他右侧开出角球，莱万在门前5米处力扛后卫头球击中左门柱
30'两次中框~丢球还是一个明显的越位预判                   29'拜仁第29分钟再次中框，阿隆索左路斜长传，罗本头球一蹭被挡出远门柱，他右侧开出角球，莱万在门前5米处力扛后卫头球击中左门柱
31'阿拉巴为拜仁逼得了一个角球                   29'拜仁第29分钟再次中框，阿隆索左路斜长传，罗本头球一蹭被挡出远门柱，他右侧开出角球，莱万在门前5米处力扛后卫头球击中左门柱
32'罗本角球传出来之后胡梅尔斯回做~                   29'拜仁第29分钟再次中框，阿隆索左路斜长传，罗本头球一蹭被挡出远门柱，他右侧开出角球，莱万在门前5米处力扛后卫头球击中左门柱
32'基米西弧顶处的迎球怒射！！！                   29'拜仁第29分钟再次中框，阿隆索左路斜长传，罗本头球一蹭被挡出远门柱，他右侧开出角球，莱万在门前5米处力扛后卫头球击中左门柱
32'放了一个高射炮                   29'拜仁第29分钟再次中框，阿隆索左路斜长传，罗本头球一蹭被挡出远门柱，他右侧开出角球，莱万在门前5米处力扛后卫头球击中左门柱
34'瓜尔达多禁区内防守张开了手臂...球打在了他的右手臂上                   34'拜仁第34分钟扳平比分，拉姆右路切入禁区底线回传，基米希前点左脚停球弹起击中瓜尔达多右臂，点球
34'莱万站在了球前                   34'拜仁第34分钟扳平比分，拉姆右路切入禁区底线回传，基米希前点左脚停球弹起击中瓜尔达多右臂，点球
34'Gooooooooooooooooal~~~                   34'拜仁第34分钟扳平比分，拉姆右路切入禁区底线回传，基米希前点左脚停球弹起击中瓜尔达多右臂，点球
35'莱万骗过了门将~把球打入了球门右下角！                   34'拜仁第34分钟扳平比分，拉姆右路切入禁区底线回传，基米希前点左脚停球弹起击中瓜尔达多右臂，点球
36'拜仁中场抢断~推进到禁区前                   34'拜仁第34分钟扳平比分，拉姆右路切入禁区底线回传，基米希前点左脚停球弹起击中瓜尔达多右臂，点球
37'看没有什么好机会，拜仁控一控球                   34'拜仁第34分钟扳平比分，拉姆右路切入禁区底线回传，基米希前点左脚停球弹起击中瓜尔达多右臂，点球
37'阿拉巴下底传中~米林头球解围                   34'拜仁第34分钟扳平比分，拉姆右路切入禁区底线回传，基米希前点左脚停球弹起击中瓜尔达多右臂，点球
37'球还在拜仁的控制下                   34'拜仁第34分钟扳平比分，拉姆右路切入禁区底线回传，基米希前点左脚停球弹起击中瓜尔达多右臂，点球
37'罗本又游弋到了左边路                   34'拜仁第34分钟扳平比分，拉姆右路切入禁区底线回传，基米希前点左脚停球弹起击中瓜尔达多右臂，点球
73'科曼看到没有突破的机会，只能往回传                   73'拜仁第73分钟反超比分
73'拜仁下半场的进攻更多的集中在了左边路                   73'拜仁第73分钟反超比分
73'科斯塔上来之后已经有了好几脚传中                   73'拜仁第73分钟反超比分
73'哇~差一点                   73'拜仁第73分钟反超比分
73'穆勒接应科曼的传中球~                   73'拜仁第73分钟反超比分
73'抢点头球攻门~~~擦柱而出                   73'拜仁第73分钟反超比分
74'莱万~~~                   73'拜仁第73分钟反超比分
74'Goooooooooooooooooooooooooal~~~                   73'拜仁第73分钟反超比分
75'来自左侧的进攻配合~科斯塔外脚背给到前插的阿拉巴，后者下底传中~门前的莱万轻松的推射破门                   73'拜仁第73分钟反超比分
76'埃因霍温换上了基琴科                   73'拜仁第73分钟反超比分
76'换下的是拉姆塞拉尔                   73'拜仁第73分钟反超比分
76'科斯塔左侧传中~穆勒跃起头球顶高了                   73'拜仁第73分钟反超比分
85'莱万~~~                   85'莱万第85分钟又中门框
85'门框帽子戏法~~~                   85'莱万第85分钟又中门框
85'自己都笑了                   85'莱万第85分钟又中门框
85'科斯塔的垫传~                   85'莱万第85分钟又中门框
85'莱万挑过一名后卫之后，推射~~击中了横梁                   85'莱万第85分钟又中门框
85'拜仁换下了穆勒                   85'莱万第85分钟又中门框
85'换上了35号桑切斯                   85'莱万第85分钟又中门框
86'莱万今天这是第三次击中门框                   85'莱万第85分钟又中门框
86'游客8231: 拜仁今天的运气也实在是欠佳---完全就是压倒性的局面，这个进球数太少啦                   85'莱万第85分钟又中门框
87'游客9175: 罗本真老了---小飞侠今天没给他机会飞啊                   85'莱万第85分钟又中门框
88'科斯塔边路内切~                   85'莱万第85分钟又中门框
88'穿裆过人摆脱之后太着急了                   85'莱万第85分钟又中门框
