1'上半场由重庆力帆中圈开球                   1'刚开场1分钟，申花右路传中，刘宇解围险些把球打进自家大门
31'柏佳骏左路长传，直接传出边线                   31'第31分钟曹赟定前场左路带球，重庆四人前后防守，曹赟定直线往前送球，自己在从另一侧往禁区里跑，马丁斯背对大门接球，他假动作骗过刘宇，转身又把球顺到跑到位的曹赟定这里，曹赟定球到人到，直接起右脚捅射，邓小飞再次扑到球，但依然未能阻止皮球入门，2比0
32'曹赟定左路推进，塞禁区                   31'第31分钟曹赟定前场左路带球，重庆四人前后防守，曹赟定直线往前送球，自己在从另一侧往禁区里跑，马丁斯背对大门接球，他假动作骗过刘宇，转身又把球顺到跑到位的曹赟定这里，曹赟定球到人到，直接起右脚捅射，邓小飞再次扑到球，但依然未能阻止皮球入门，2比0
32'好球，曹赟定分给马丁斯，马丁斯手术刀般传球到门前，曹赟定插上近距离将球打进！                   31'第31分钟曹赟定前场左路带球，重庆四人前后防守，曹赟定直线往前送球，自己在从另一侧往禁区里跑，马丁斯背对大门接球，他假动作骗过刘宇，转身又把球顺到跑到位的曹赟定这里，曹赟定球到人到，直接起右脚捅射，邓小飞再次扑到球，但依然未能阻止皮球入门，2比0
33'配合相当漂亮                   31'第31分钟曹赟定前场左路带球，重庆四人前后防守，曹赟定直线往前送球，自己在从另一侧往禁区里跑，马丁斯背对大门接球，他假动作骗过刘宇，转身又把球顺到跑到位的曹赟定这里，曹赟定球到人到，直接起右脚捅射，邓小飞再次扑到球，但依然未能阻止皮球入门，2比0
33'上海绿地申花已经2：0领先                   31'第31分钟曹赟定前场左路带球，重庆四人前后防守，曹赟定直线往前送球，自己在从另一侧往禁区里跑，马丁斯背对大门接球，他假动作骗过刘宇，转身又把球顺到跑到位的曹赟定这里，曹赟定球到人到，直接起右脚捅射，邓小飞再次扑到球，但依然未能阻止皮球入门，2比0
40'再转移到右路的王林                   40'重庆队也不含糊，第40分钟费尔南多前场球后转移，吴庆下底造成角球，王栋开出右侧角球，刘宇近距离头球攻门被李帅下意识打出
41'米洛维奇长传上来，卡尔德克停球，交给费尔南多                   40'重庆队也不含糊，第40分钟费尔南多前场球后转移，吴庆下底造成角球，王栋开出右侧角球，刘宇近距离头球攻门被李帅下意识打出
41'再传过不了金基熙                   40'重庆队也不含糊，第40分钟费尔南多前场球后转移，吴庆下底造成角球，王栋开出右侧角球，刘宇近距离头球攻门被李帅下意识打出
41'第二点不这是费尔南多，交给徐洋                   40'重庆队也不含糊，第40分钟费尔南多前场球后转移，吴庆下底造成角球，王栋开出右侧角球，刘宇近距离头球攻门被李帅下意识打出
41'徐洋传中打在后卫身上出底线                   40'重庆队也不含糊，第40分钟费尔南多前场球后转移，吴庆下底造成角球，王栋开出右侧角球，刘宇近距离头球攻门被李帅下意识打出
41'力帆前场右路的角球机会                   40'重庆队也不含糊，第40分钟费尔南多前场球后转移，吴庆下底造成角球，王栋开出右侧角球，刘宇近距离头球攻门被李帅下意识打出
42'王栋发上来，米洛维奇头球攻门被秦升护空门                   40'重庆队也不含糊，第40分钟费尔南多前场球后转移，吴庆下底造成角球，王栋开出右侧角球，刘宇近距离头球攻门被李帅下意识打出
42'力帆左路徐洋再传门前，门前弹地后被李帅没收                   40'重庆队也不含糊，第40分钟费尔南多前场球后转移，吴庆下底造成角球，王栋开出右侧角球，刘宇近距离头球攻门被李帅下意识打出
42'费尔南多中场组织，交给郑又荣                   40'重庆队也不含糊，第40分钟费尔南多前场球后转移，吴庆下底造成角球，王栋开出右侧角球，刘宇近距离头球攻门被李帅下意识打出
42'再分给王栋                   40'重庆队也不含糊，第40分钟费尔南多前场球后转移，吴庆下底造成角球，王栋开出右侧角球，刘宇近距离头球攻门被李帅下意识打出
42'弧线球传中，过不了李建滨                   40'重庆队也不含糊，第40分钟费尔南多前场球后转移，吴庆下底造成角球，王栋开出右侧角球，刘宇近距离头球攻门被李帅下意识打出
43'莫雷诺又来了，交给曹赟定                   40'重庆队也不含糊，第40分钟费尔南多前场球后转移，吴庆下底造成角球，王栋开出右侧角球，刘宇近距离头球攻门被李帅下意识打出
43'不急不躁，倒倒脚莫雷诺左路得球传给弧顶的马丁斯                   40'重庆队也不含糊，第40分钟费尔南多前场球后转移，吴庆下底造成角球，王栋开出右侧角球，刘宇近距离头球攻门被李帅下意识打出
43'秦升过渡给曹赟定，没有钻过支                   40'重庆队也不含糊，第40分钟费尔南多前场球后转移，吴庆下底造成角球，王栋开出右侧角球，刘宇近距离头球攻门被李帅下意识打出
43'王栋接应丁捷传球，直传                   40'重庆队也不含糊，第40分钟费尔南多前场球后转移，吴庆下底造成角球，王栋开出右侧角球，刘宇近距离头球攻门被李帅下意识打出
42'王栋发上来，米洛维奇头球攻门被秦升护空门                   42'第42分钟柏佳骏推倒无球的费尔南多吃到禁区线前的犯规
42'力帆左路徐洋再传门前，门前弹地后被李帅没收                   42'第42分钟柏佳骏推倒无球的费尔南多吃到禁区线前的犯规
42'费尔南多中场组织，交给郑又荣                   42'第42分钟柏佳骏推倒无球的费尔南多吃到禁区线前的犯规
42'再分给王栋                   42'第42分钟柏佳骏推倒无球的费尔南多吃到禁区线前的犯规
42'弧线球传中，过不了李建滨                   42'第42分钟柏佳骏推倒无球的费尔南多吃到禁区线前的犯规
43'莫雷诺又来了，交给曹赟定                   42'第42分钟柏佳骏推倒无球的费尔南多吃到禁区线前的犯规
43'不急不躁，倒倒脚莫雷诺左路得球传给弧顶的马丁斯                   42'第42分钟柏佳骏推倒无球的费尔南多吃到禁区线前的犯规
43'秦升过渡给曹赟定，没有钻过支                   42'第42分钟柏佳骏推倒无球的费尔南多吃到禁区线前的犯规
43'王栋接应丁捷传球，直传                   42'第42分钟柏佳骏推倒无球的费尔南多吃到禁区线前的犯规
44'费尔南多得球没有起脚起来，横带时被柏佳骏推倒                   42'第42分钟柏佳骏推倒无球的费尔南多吃到禁区线前的犯规
44'力帆获得一个位置极佳的任意球机会                   42'第42分钟柏佳骏推倒无球的费尔南多吃到禁区线前的犯规
44'吴庆在指挥人墙                   42'第42分钟柏佳骏推倒无球的费尔南多吃到禁区线前的犯规
45'费尔南多左脚旋球门左上角，李帅向右侧扑将球扑出底线                   42'第42分钟柏佳骏推倒无球的费尔南多吃到禁区线前的犯规
45'王林传前点，莫雷诺头球解围                   42'第42分钟柏佳骏推倒无球的费尔南多吃到禁区线前的犯规
44'费尔南多得球没有起脚起来，横带时被柏佳骏推倒                   44'第44分钟郑又荣蹬踏马丁斯吃到黄牌，韩国人的这个动作比较厉害，引发申花队员不满
44'力帆获得一个位置极佳的任意球机会                   44'第44分钟郑又荣蹬踏马丁斯吃到黄牌，韩国人的这个动作比较厉害，引发申花队员不满
44'吴庆在指挥人墙                   44'第44分钟郑又荣蹬踏马丁斯吃到黄牌，韩国人的这个动作比较厉害，引发申花队员不满
45'费尔南多左脚旋球门左上角，李帅向右侧扑将球扑出底线                   44'第44分钟郑又荣蹬踏马丁斯吃到黄牌，韩国人的这个动作比较厉害，引发申花队员不满
45'王林传前点，莫雷诺头球解围                   44'第44分钟郑又荣蹬踏马丁斯吃到黄牌，韩国人的这个动作比较厉害，引发申花队员不满
46'郑又荣抢第地蹬踏马丁斯犯规                   44'第44分钟郑又荣蹬踏马丁斯吃到黄牌，韩国人的这个动作比较厉害，引发申花队员不满
46'主裁判黄牌警告郑又荣！                   44'第44分钟郑又荣蹬踏马丁斯吃到黄牌，韩国人的这个动作比较厉害，引发申花队员不满
46'上半场补时2分钟                   44'第44分钟郑又荣蹬踏马丁斯吃到黄牌，韩国人的这个动作比较厉害，引发申花队员不满
47'李帅长传上来，前场一番争夺                   44'第44分钟郑又荣蹬踏马丁斯吃到黄牌，韩国人的这个动作比较厉害，引发申花队员不满
47'王栋分左路的吴庆                   44'第44分钟郑又荣蹬踏马丁斯吃到黄牌，韩国人的这个动作比较厉害，引发申花队员不满
47'徐洋套上传中，李建滨踢空了，金基熙后点也踢得有点嗤，不过孙审踢出底线                   44'第44分钟郑又荣蹬踏马丁斯吃到黄牌，韩国人的这个动作比较厉害，引发申花队员不满
47'还是踢出底线                   44'第44分钟郑又荣蹬踏马丁斯吃到黄牌，韩国人的这个动作比较厉害，引发申花队员不满
46'下半场比赛开始了！                   44'第44分钟郑又荣蹬踏马丁斯吃到黄牌，韩国人的这个动作比较厉害，引发申花队员不满
46'下半场由绿地申花中圈开球                   44'第44分钟郑又荣蹬踏马丁斯吃到黄牌，韩国人的这个动作比较厉害，引发申花队员不满
46'刘宇长传上来，卡尔德克头球一蹭，王栋前插快了                   44'第44分钟郑又荣蹬踏马丁斯吃到黄牌，韩国人的这个动作比较厉害，引发申花队员不满
46'王栋越位                   44'第44分钟郑又荣蹬踏马丁斯吃到黄牌，韩国人的这个动作比较厉害，引发申花队员不满
47'秦升中场拦截，交给吕征                   44'第44分钟郑又荣蹬踏马丁斯吃到黄牌，韩国人的这个动作比较厉害，引发申花队员不满
47'回传后失误了                   44'第44分钟郑又荣蹬踏马丁斯吃到黄牌，韩国人的这个动作比较厉害，引发申花队员不满
51'王栋回给郑又荣，再交给中路，费尔南多控球                   51'随即申花把重庆压在半场围打，一直打到第51分钟，吕征右路切入后强行射门打偏为止
51'加速到左侧传中                   51'随即申花把重庆压在半场围打，一直打到第51分钟，吕征右路切入后强行射门打偏为止
51'球速太慢，李帅将球摘下                   51'随即申花把重庆压在半场围打，一直打到第51分钟，吕征右路切入后强行射门打偏为止
51'卡尔德克护球横敲，过了金基熙                   51'随即申花把重庆压在半场围打，一直打到第51分钟，吕征右路切入后强行射门打偏为止
51'曹赟定带球推进，交给秦升，上回传                   51'随即申花把重庆压在半场围打，一直打到第51分钟，吕征右路切入后强行射门打偏为止
51'分给王林                   51'随即申花把重庆压在半场围打，一直打到第51分钟，吕征右路切入后强行射门打偏为止
51'吕征接应交给莫雷诺                   51'随即申花把重庆压在半场围打，一直打到第51分钟，吕征右路切入后强行射门打偏为止
51'回传给秦升                   51'随即申花把重庆压在半场围打，一直打到第51分钟，吕征右路切入后强行射门打偏为止
52'直传，马丁斯护球，分左侧的曹赟定                   51'随即申花把重庆压在半场围打，一直打到第51分钟，吕征右路切入后强行射门打偏为止
52'传中，吕征没有顶到球                   51'随即申花把重庆压在半场围打，一直打到第51分钟，吕征右路切入后强行射门打偏为止
52'后点还有莫雷诺                   51'随即申花把重庆压在半场围打，一直打到第51分钟，吕征右路切入后强行射门打偏为止
52'传中路的王赟                   51'随即申花把重庆压在半场围打，一直打到第51分钟，吕征右路切入后强行射门打偏为止
52'到左路，柏佳骏内切起球传中，刘宇补位及时将球顶出                   51'随即申花把重庆压在半场围打，一直打到第51分钟，吕征右路切入后强行射门打偏为止
53'吕征右路带球进了禁区，左脚打，打偏了！                   51'随即申花把重庆压在半场围打，一直打到第51分钟，吕征右路切入后强行射门打偏为止
53'徐洋交给王栋，郑又荣接应交给卡尔德克                   51'随即申花把重庆压在半场围打，一直打到第51分钟，吕征右路切入后强行射门打偏为止
53'分拉边的费尔南多                   51'随即申花把重庆压在半场围打，一直打到第51分钟，吕征右路切入后强行射门打偏为止
54'内切交给王栋，再送右肋部                   51'随即申花把重庆压在半场围打，一直打到第51分钟，吕征右路切入后强行射门打偏为止
54'卡尔德克右肋部横扫门前，球划门而过                   51'随即申花把重庆压在半场围打，一直打到第51分钟，吕征右路切入后强行射门打偏为止
54'左路吴庆传中，王栋门前将球打进空门！                   51'随即申花把重庆压在半场围打，一直打到第51分钟，吕征右路切入后强行射门打偏为止
54'老将王栋值得敬佩                   51'随即申花把重庆压在半场围打，一直打到第51分钟，吕征右路切入后强行射门打偏为止
54'内切交给王栋，再送右肋部                   54'士气大振的重庆继续进攻，第54分钟郑又荣禁区外远射打偏
54'卡尔德克右肋部横扫门前，球划门而过                   54'士气大振的重庆继续进攻，第54分钟郑又荣禁区外远射打偏
54'左路吴庆传中，王栋门前将球打进空门！                   54'士气大振的重庆继续进攻，第54分钟郑又荣禁区外远射打偏
54'老将王栋值得敬佩                   54'士气大振的重庆继续进攻，第54分钟郑又荣禁区外远射打偏
55'费尔南多右路得球，扣球回传给郑又荣                   54'士气大振的重庆继续进攻，第54分钟郑又荣禁区外远射打偏
55'直传找到卡尔德克                   54'士气大振的重庆继续进攻，第54分钟郑又荣禁区外远射打偏
55'回给郑又荣，远射，软弱无力出底线                   54'士气大振的重庆继续进攻，第54分钟郑又荣禁区外远射打偏
57'王栋右路来了，送门前，费尔南多打门偏了                   54'士气大振的重庆继续进攻，第54分钟郑又荣禁区外远射打偏
57'力帆又来了，费尔南多连续变向过人倒地，裁判认为他将球趟大了                   54'士气大振的重庆继续进攻，第54分钟郑又荣禁区外远射打偏
59'李帅发门球上来，莫雷诺头球后蹭，刘宇将球踢到中场                   59'第59分钟王栋出腿铲倒秦升吃到黄牌
59'费尔南多争抢对王赟犯规                   59'第59分钟王栋出腿铲倒秦升吃到黄牌
59'王林交给吕征，被压迫比较大                   59'第59分钟王栋出腿铲倒秦升吃到黄牌
60'费尔南多推进，柏佳骏抢先将球捅掉                   59'第59分钟王栋出腿铲倒秦升吃到黄牌
60'后场争夺，王栋滑铲铲倒了秦升                   59'第59分钟王栋出腿铲倒秦升吃到黄牌
60'主裁判黄牌警告王栋                   59'第59分钟王栋出腿铲倒秦升吃到黄牌
61'郑又荣断球成功，谭望蒿长传上来                   59'第59分钟王栋出腿铲倒秦升吃到黄牌
61'费尔南多得球转移向左路，传得不好，球直接出了边线                   59'第59分钟王栋出腿铲倒秦升吃到黄牌
61'曼萨诺坐不住了，走到场边说了几句                   59'第59分钟王栋出腿铲倒秦升吃到黄牌
62'李帅控球，长传上来，顶给曹赟定                   59'第59分钟王栋出腿铲倒秦升吃到黄牌
62'曹赟定国速突，米洛维奇倒地将球铲出底线                   59'第59分钟王栋出腿铲倒秦升吃到黄牌
62'腿够长                   59'第59分钟王栋出腿铲倒秦升吃到黄牌
62'绿地申花左侧的角球                   59'第59分钟王栋出腿铲倒秦升吃到黄牌
62'曹赟定送门前，米洛维奇顶走                   59'第59分钟王栋出腿铲倒秦升吃到黄牌
67'再交给右路的谭望蒿                   67'第67分钟费尔南多直塞球，王林和李建滨抢在王栋之前去截球，李帅同时出击，慌乱中球打在李建滨身上出界，裁判判罚角球，还以为王栋碰出去的王林很不满，好在角球没造成威胁
67'费尔南多出来接应回传给米洛维奇                   67'第67分钟费尔南多直塞球，王林和李建滨抢在王栋之前去截球，李帅同时出击，慌乱中球打在李建滨身上出界，裁判判罚角球，还以为王栋碰出去的王林很不满，好在角球没造成威胁
67'转移到左路的刘宇                   67'第67分钟费尔南多直塞球，王林和李建滨抢在王栋之前去截球，李帅同时出击，慌乱中球打在李建滨身上出界，裁判判罚角球，还以为王栋碰出去的王林很不满，好在角球没造成威胁
67'费尔南多再分给右路的王栋                   67'第67分钟费尔南多直塞球，王林和李建滨抢在王栋之前去截球，李帅同时出击，慌乱中球打在李建滨身上出界，裁判判罚角球，还以为王栋碰出去的王林很不满，好在角球没造成威胁
67'回给费尔南多，远射有点变向，李帅将球没收                   67'第67分钟费尔南多直塞球，王林和李建滨抢在王栋之前去截球，李帅同时出击，慌乱中球打在李建滨身上出界，裁判判罚角球，还以为王栋碰出去的王林很不满，好在角球没造成威胁
68'莫雷诺带球内切到禁区倒地                   67'第67分钟费尔南多直塞球，王林和李建滨抢在王栋之前去截球，李帅同时出击，慌乱中球打在李建滨身上出界，裁判判罚角球，还以为王栋碰出去的王林很不满，好在角球没造成威胁
68'没有吹，这球是不应该吹                   67'第67分钟费尔南多直塞球，王林和李建滨抢在王栋之前去截球，李帅同时出击，慌乱中球打在李建滨身上出界，裁判判罚角球，还以为王栋碰出去的王林很不满，好在角球没造成威胁
68'回头费尔南多直传，王栋力逼对手，李帅出击解围踢在王栋身上出底线！                   67'第67分钟费尔南多直塞球，王林和李建滨抢在王栋之前去截球，李帅同时出击，慌乱中球打在李建滨身上出界，裁判判罚角球，还以为王栋碰出去的王林很不满，好在角球没造成威胁
69'绿地申花后场风声鹤唳                   67'第67分钟费尔南多直塞球，王林和李建滨抢在王栋之前去截球，李帅同时出击，慌乱中球打在李建滨身上出界，裁判判罚角球，还以为王栋碰出去的王林很不满，好在角球没造成威胁
69'王栋发后点，米洛维奇争顶时已经犯规                   67'第67分钟费尔南多直塞球，王林和李建滨抢在王栋之前去截球，李帅同时出击，慌乱中球打在李建滨身上出界，裁判判罚角球，还以为王栋碰出去的王林很不满，好在角球没造成威胁
69'李帅长传上来，刘宇顶到第一眯                   67'第67分钟费尔南多直塞球，王林和李建滨抢在王栋之前去截球，李帅同时出击，慌乱中球打在李建滨身上出界，裁判判罚角球，还以为王栋碰出去的王林很不满，好在角球没造成威胁
70'王栋交给丁捷                   67'第67分钟费尔南多直塞球，王林和李建滨抢在王栋之前去截球，李帅同时出击，慌乱中球打在李建滨身上出界，裁判判罚角球，还以为王栋碰出去的王林很不满，好在角球没造成威胁
70'费尔南多得球一顺，谭望蒿传中，这里没有力帆的球员                   67'第67分钟费尔南多直塞球，王林和李建滨抢在王栋之前去截球，李帅同时出击，慌乱中球打在李建滨身上出界，裁判判罚角球，还以为王栋碰出去的王林很不满，好在角球没造成威胁
