2'莫德里奇拿球，没机会强突，只能将球回传后场重新组织                   2'开场仅2分钟，厄齐尔传球，C-罗纳尔多20码处抽射偏出
10'阿韦罗亚今天压上的非常大，一直到了对方禁区附近                   8'第8分钟，科恩特朗赢得左路任意球，C-罗纳尔多传射被挡出，厄齐尔的外围抽射又被封堵
11'莫德里奇中场斜传球给到左路的科恩特朗                   8'第8分钟，科恩特朗赢得左路任意球，C-罗纳尔多传射被挡出，厄齐尔的外围抽射又被封堵
11'科恩特朗左路大范围转移球给到右路的阿韦罗亚                   8'第8分钟，科恩特朗赢得左路任意球，C-罗纳尔多传射被挡出，厄齐尔的外围抽射又被封堵
11'阿韦罗亚拿球横带，西芒上抢放倒阿韦罗亚，犯规                   8'第8分钟，科恩特朗赢得左路任意球，C-罗纳尔多传射被挡出，厄齐尔的外围抽射又被封堵
11'皇马获得前场任意球机会，阿隆索主罚                   8'第8分钟，科恩特朗赢得左路任意球，C-罗纳尔多传射被挡出，厄齐尔的外围抽射又被封堵
16'硭木:赢球是没问题的，关健是后场回会不会丢球（拭目以待吧）                   16'西班牙人首次进攻出现在第16分钟，贝尔杜直传，西芒禁区左侧12码处低射远角偏出
16'莫德里奇前场拿球，斜传找左路的科恩特朗                   16'西班牙人首次进攻出现在第16分钟，贝尔杜直传，西芒禁区左侧12码处低射远角偏出
16'可惜传球力量过大，球直接出了边线                   16'西班牙人首次进攻出现在第16分钟，贝尔杜直传，西芒禁区左侧12码处低射远角偏出
16'西班牙的进攻，加西亚前场拿球直塞给到西芒                   16'西班牙人首次进攻出现在第16分钟，贝尔杜直传，西芒禁区左侧12码处低射远角偏出
17'西芒拿起进入禁区，小禁区左侧的低射远角，球滑门而过                   16'西班牙人首次进攻出现在第16分钟，贝尔杜直传，西芒禁区左侧12码处低射远角偏出
18'瓦卡索后场断球，拿球过了中线斜传找加西亚                   16'西班牙人首次进攻出现在第16分钟，贝尔杜直传，西芒禁区左侧12码处低射远角偏出
18'佩佩上来，在加西亚之前将球控制                   16'西班牙人首次进攻出现在第16分钟，贝尔杜直传，西芒禁区左侧12码处低射远角偏出
18'科恩特朗前场左路拿球，被身后上抢的洛佩兹撞倒在地                   16'西班牙人首次进攻出现在第16分钟，贝尔杜直传，西芒禁区左侧12码处低射远角偏出
19'不过裁判马特乌还是没表示，科恩特朗也是表达了不满                   16'西班牙人首次进攻出现在第16分钟，贝尔杜直传，西芒禁区左侧12码处低射远角偏出
19'马特乌上来对科恩特朗进行了口头警告                   16'西班牙人首次进攻出现在第16分钟，贝尔杜直传，西芒禁区左侧12码处低射远角偏出
26'C罗前场拿球，禁区外短传给到插上的卡列洪                   26'第26分钟，C-罗纳尔多直传卡列洪被拦截，随后C-罗纳尔多20码处劲射又被封堵
26'卡列洪拿球往禁区趟，对方后卫放铲                   26'第26分钟，C-罗纳尔多直传卡列洪被拦截，随后C-罗纳尔多20码处劲射又被封堵
27'不过球还在卡列洪脚下，没有射门机会，回传禁区中路跟上的赫迪拉                   26'第26分钟，C-罗纳尔多直传卡列洪被拦截，随后C-罗纳尔多20码处劲射又被封堵
27'赫迪拉横拨给到莫德里奇                   26'第26分钟，C-罗纳尔多直传卡列洪被拦截，随后C-罗纳尔多20码处劲射又被封堵
27'莫德里奇禁区外再次怒射，球击中右侧立柱弹出                   26'第26分钟，C-罗纳尔多直传卡列洪被拦截，随后C-罗纳尔多20码处劲射又被封堵
28'西班牙人的反击，右路45度斜传球找加西亚                   26'第26分钟，C-罗纳尔多直传卡列洪被拦截，随后C-罗纳尔多20码处劲射又被封堵
29'可惜球从加西亚头顶飞过，没能拿到                   26'第26分钟，C-罗纳尔多直传卡列洪被拦截，随后C-罗纳尔多20码处劲射又被封堵
29'西班牙人换人：阿方索换下身背黄牌的瓦卡索                   26'第26分钟，C-罗纳尔多直传卡列洪被拦截，随后C-罗纳尔多20码处劲射又被封堵
31'西班牙人两名后卫在禁区弧内，在卡列洪之前将球拦截                   31'西班牙人第31分钟取得领先，摩德里奇中场丢球，贝尔杜直传，甩开拉莫斯和佩佩的塞尔吉奥-加西亚禁区边缘外劲射左下角入网
31'进球了，西班牙人                   31'西班牙人第31分钟取得领先，摩德里奇中场丢球，贝尔杜直传，甩开拉莫斯和佩佩的塞尔吉奥-加西亚禁区边缘外劲射左下角入网
31'加西亚~~~                   31'西班牙人第31分钟取得领先，摩德里奇中场丢球，贝尔杜直传，甩开拉莫斯和佩佩的塞尔吉奥-加西亚禁区边缘外劲射左下角入网
32'西班牙人中圈直传球找加西亚，加西亚拿球向禁区狂奔，面对出击的卡西利亚斯一脚抽射得手，身后回追的拉莫斯也是望球心叹                   31'西班牙人第31分钟取得领先，摩德里奇中场丢球，贝尔杜直传，甩开拉莫斯和佩佩的塞尔吉奥-加西亚禁区边缘外劲射左下角入网
33'这也是加西亚本赛季的第一粒联赛进球                   31'西班牙人第31分钟取得领先，摩德里奇中场丢球，贝尔杜直传，甩开拉莫斯和佩佩的塞尔吉奥-加西亚禁区边缘外劲射左下角入网
33'皇马进攻火力不小，可惜压的太靠前，被对方的反击轻松得手                   31'西班牙人第31分钟取得领先，摩德里奇中场丢球，贝尔杜直传，甩开拉莫斯和佩佩的塞尔吉奥-加西亚禁区边缘外劲射左下角入网
34'浪射不等于进球:皇马是咋的了？谁都敢输？（本赛季的银河战舰让人看不懂哦）                   31'西班牙人第31分钟取得领先，摩德里奇中场丢球，贝尔杜直传，甩开拉莫斯和佩佩的塞尔吉奥-加西亚禁区边缘外劲射左下角入网
34'皇马的进攻，卡列洪拿球被对方后卫铲出了底线                   31'西班牙人第31分钟取得领先，摩德里奇中场丢球，贝尔杜直传，甩开拉莫斯和佩佩的塞尔吉奥-加西亚禁区边缘外劲射左下角入网
34'皇马获得了左侧角球机会，厄齐尔主罚                   31'西班牙人第31分钟取得领先，摩德里奇中场丢球，贝尔杜直传，甩开拉莫斯和佩佩的塞尔吉奥-加西亚禁区边缘外劲射左下角入网
40'西班牙人的中场抢断，过顶球给到加西亚                   40'第40分钟，贝尔杜开出角球，塞尔吉奥-加西亚禁区右侧的左脚射门偏出
40'加西亚右路拿球，底线内切，赢得角球机会                   40'第40分钟，贝尔杜开出角球，塞尔吉奥-加西亚禁区右侧的左脚射门偏出
40'西芒角球开出，皇马球员将球解围                   40'第40分钟，贝尔杜开出角球，塞尔吉奥-加西亚禁区右侧的左脚射门偏出
40'加西亚得到第二落点，一脚抽射，球打偏了                   40'第40分钟，贝尔杜开出角球，塞尔吉奥-加西亚禁区右侧的左脚射门偏出
41'卡列洪前场右路拿球，斜传给到C罗                   40'第40分钟，贝尔杜开出角球，塞尔吉奥-加西亚禁区右侧的左脚射门偏出
41'C罗单刀面对卡西利亚，结果右脚的打门，被后者侧扑扑出了底线                   40'第40分钟，贝尔杜开出角球，塞尔吉奥-加西亚禁区右侧的左脚射门偏出
41'皇马右侧角球机会，不过没能形成威胁                   40'第40分钟，贝尔杜开出角球，塞尔吉奥-加西亚禁区右侧的左脚射门偏出
42'佩佩的直塞球找卡列洪，可惜后者没能停到，球被西班牙人球员控制                   40'第40分钟，贝尔杜开出角球，塞尔吉奥-加西亚禁区右侧的左脚射门偏出
43'拉莫斯后场的防守踢倒了加西亚，犯规                   40'第40分钟，贝尔杜开出角球，塞尔吉奥-加西亚禁区右侧的左脚射门偏出
43'西班牙人获得了禁区右侧的任意球机会                   40'第40分钟，贝尔杜开出角球，塞尔吉奥-加西亚禁区右侧的左脚射门偏出
43'西芒任意球开到前点，被皇马球员解围                   40'第40分钟，贝尔杜开出角球，塞尔吉奥-加西亚禁区右侧的左脚射门偏出
43'拉莫斯后场的防守踢倒了加西亚，犯规                   43'第43分钟，拉莫斯边路犯规，替补出场的阿方索禁区前射门偏出
43'西班牙人获得了禁区右侧的任意球机会                   43'第43分钟，拉莫斯边路犯规，替补出场的阿方索禁区前射门偏出
43'西芒任意球开到前点，被皇马球员解围                   43'第43分钟，拉莫斯边路犯规，替补出场的阿方索禁区前射门偏出
44'上半场比赛已经接近尾声，比分0-1，主队皇马落后                   43'第43分钟，拉莫斯边路犯规，替补出场的阿方索禁区前射门偏出
44'科恩特朗左路拿球，底线内切，面对两名球员的防守，强突，球被挡出了底线                   43'第43分钟，拉莫斯边路犯规，替补出场的阿方索禁区前射门偏出
44'皇马继续角球机会，不过还是没威胁                   43'第43分钟，拉莫斯边路犯规，替补出场的阿方索禁区前射门偏出
45'西芒中场拿球，斜传球给到贝尔杜                   43'第43分钟，拉莫斯边路犯规，替补出场的阿方索禁区前射门偏出
46'贝尔杜传递球给到桑切斯，桑切斯拿球，没机会，回传后场重新组织                   43'第43分钟，拉莫斯边路犯规，替补出场的阿方索禁区前射门偏出
46'上半场补时1分钟                   43'第43分钟，拉莫斯边路犯规，替补出场的阿方索禁区前射门偏出
46'进球啦                   43'第43分钟，拉莫斯边路犯规，替补出场的阿方索禁区前射门偏出
46'C罗~~~                   43'第43分钟，拉莫斯边路犯规，替补出场的阿方索禁区前射门偏出
46'下半场比赛开始，西班牙人开球                   43'第43分钟，拉莫斯边路犯规，替补出场的阿方索禁区前射门偏出
46'皇马下半场开始做出人员调整：迪马利亚换下莫德里奇                   43'第43分钟，拉莫斯边路犯规，替补出场的阿方索禁区前射门偏出
46'魔力鸟的思想无人能懂，上半场莫德里奇发挥还是很不错的，半场被换下，很意外                   43'第43分钟，拉莫斯边路犯规，替补出场的阿方索禁区前射门偏出
48'西班牙人的反击，加西亚禁区内的打门射偏                   48'皇马第48分钟反超比分，C-罗纳尔多直传，插上的科恩特朗倚住哈维-洛佩斯后10码处推射远角入网，2-1
48'卡列洪拿球进入禁区，右侧底线附近传中，被后卫伸腿挡出底线                   48'皇马第48分钟反超比分，C-罗纳尔多直传，插上的科恩特朗倚住哈维-洛佩斯后10码处推射远角入网，2-1
48'进球啦                   48'皇马第48分钟反超比分，C-罗纳尔多直传，插上的科恩特朗倚住哈维-洛佩斯后10码处推射远角入网，2-1
48'科恩特朗~~~                   48'皇马第48分钟反超比分，C-罗纳尔多直传，插上的科恩特朗倚住哈维-洛佩斯后10码处推射远角入网，2-1
49'皇马角球开出被解围，佩佩拿球横传给到C罗，C罗禁区外短传给到插上的科恩特朗，后者拿球进入禁区，右脚的低射远角，地滚球，进网                   48'皇马第48分钟反超比分，C-罗纳尔多直传，插上的科恩特朗倚住哈维-洛佩斯后10码处推射远角入网，2-1
50'同时这也是科恩特朗的联赛第一个进球                   48'皇马第48分钟反超比分，C-罗纳尔多直传，插上的科恩特朗倚住哈维-洛佩斯后10码处推射远角入网，2-1
50'迪马利亚后场抢断，拿球过了中线                   48'皇马第48分钟反超比分，C-罗纳尔多直传，插上的科恩特朗倚住哈维-洛佩斯后10码处推射远角入网，2-1
50'迪马利亚横传球给到C罗                   48'皇马第48分钟反超比分，C-罗纳尔多直传，插上的科恩特朗倚住哈维-洛佩斯后10码处推射远角入网，2-1
50'C罗拿球面对对方三名球员的防守，还想突，结果球丢啦                   48'皇马第48分钟反超比分，C-罗纳尔多直传，插上的科恩特朗倚住哈维-洛佩斯后10码处推射远角入网，2-1
51'阿方索前场拿球被卡列洪抢断，自己反抢被吹拉人犯规                   48'皇马第48分钟反超比分，C-罗纳尔多直传，插上的科恩特朗倚住哈维-洛佩斯后10码处推射远角入网，2-1
51'卡列洪禁区右侧的斜射，卡西利亚奋力将球扑出边线                   48'皇马第48分钟反超比分，C-罗纳尔多直传，插上的科恩特朗倚住哈维-洛佩斯后10码处推射远角入网，2-1
53'西班牙人的左路进攻，贝尔杜底线传中，科恩特朗将球解围出底线                   53'第53分钟，厄齐尔反击中斜传，迪马利亚禁区左侧10码处射门被卡西利亚用腿挡出
53'西班牙人的角球，被皇马球员解围                   53'第53分钟，厄齐尔反击中斜传，迪马利亚禁区左侧10码处射门被卡西利亚用腿挡出
53'迪马利亚右路拿球反击，前场斜传给到卡列洪                   53'第53分钟，厄齐尔反击中斜传，迪马利亚禁区左侧10码处射门被卡西利亚用腿挡出
54'卡列洪拿球，禁区线上怒射，卡西利亚将球扑出                   53'第53分钟，厄齐尔反击中斜传，迪马利亚禁区左侧10码处射门被卡西利亚用腿挡出
54'C罗的头发又亮啦                   53'第53分钟，厄齐尔反击中斜传，迪马利亚禁区左侧10码处射门被卡西利亚用腿挡出
55'皇马前场进攻，赫迪拉禁区外的远射打在横梁下檐弹出                   53'第53分钟，厄齐尔反击中斜传，迪马利亚禁区左侧10码处射门被卡西利亚用腿挡出
56'阿韦罗亚跟上的推射，又被卡西利亚扑出                   53'第53分钟，厄齐尔反击中斜传，迪马利亚禁区左侧10码处射门被卡西利亚用腿挡出
56'阿隆索后场拿球直传给到C罗                   53'第53分钟，厄齐尔反击中斜传，迪马利亚禁区左侧10码处射门被卡西利亚用腿挡出
57'C罗前场拿球，在对方两名球员的防守下，球丢啦                   57'第57分钟，卡列洪左路反击中斜传，迪马利亚凌空外脚背传回，C-罗纳尔多14码处抽射踢空
57'阿方索拿球反击，拉莫斯将球破坏出边线                   57'第57分钟，卡列洪左路反击中斜传，迪马利亚凌空外脚背传回，C-罗纳尔多14码处抽射踢空
57'洛佩兹右边路的传中，科恩特朗将球挡出底线                   57'第57分钟，卡列洪左路反击中斜传，迪马利亚凌空外脚背传回，C-罗纳尔多14码处抽射踢空
57'西班牙人的角球机会，西芒主罚                   57'第57分钟，卡列洪左路反击中斜传，迪马利亚凌空外脚背传回，C-罗纳尔多14码处抽射踢空
57'西芒角球开出到前点，被皇马球员解围                   57'第57分钟，卡列洪左路反击中斜传，迪马利亚凌空外脚背传回，C-罗纳尔多14码处抽射踢空
58'皇马的反击，卡列洪左路拿球                   57'第57分钟，卡列洪左路反击中斜传，迪马利亚凌空外脚背传回，C-罗纳尔多14码处抽射踢空
58'卡列洪左路斜传球到右前场找迪马利亚                   57'第57分钟，卡列洪左路反击中斜传，迪马利亚凌空外脚背传回，C-罗纳尔多14码处抽射踢空
58'迪马利亚不停球，直接垫传中路找C罗                   57'第57分钟，卡列洪左路反击中斜传，迪马利亚凌空外脚背传回，C-罗纳尔多14码处抽射踢空
58'C罗跟上包抄打门，可惜踢空啦                   57'第57分钟，卡列洪左路反击中斜传，迪马利亚凌空外脚背传回，C-罗纳尔多14码处抽射踢空
59'西班牙人换人：卡普德维拉换下阿尔瓦雷斯                   57'第57分钟，卡列洪左路反击中斜传，迪马利亚凌空外脚背传回，C-罗纳尔多14码处抽射踢空
60'贝尔杜前场拿球横传给到右路插上的洛佩兹                   57'第57分钟，卡列洪左路反击中斜传，迪马利亚凌空外脚背传回，C-罗纳尔多14码处抽射踢空
60'洛佩兹再将球横传给到阿方索                   57'第57分钟，卡列洪左路反击中斜传，迪马利亚凌空外脚背传回，C-罗纳尔多14码处抽射踢空
60'阿方索禁区外的一脚似传似射的起球，直接飞出了底线                   57'第57分钟，卡列洪左路反击中斜传，迪马利亚凌空外脚背传回，C-罗纳尔多14码处抽射踢空
62'阿方索也是继其换下的瓦卡索之后，再被马特乌出示黄牌警告                   62'第62分钟，迪马利亚直传，厄齐尔突入禁区右侧小角度射门被卡西利亚用腿挡出近角
62'皇马前场任意球机会，阿隆索主罚                   62'第62分钟，迪马利亚直传，厄齐尔突入禁区右侧小角度射门被卡西利亚用腿挡出近角
62'阿隆索任意球开到禁区，被后卫解围                   62'第62分钟，迪马利亚直传，厄齐尔突入禁区右侧小角度射门被卡西利亚用腿挡出近角
63'厄齐尔禁区右路的一脚低射，卡西利亚将球扑出底线                   62'第62分钟，迪马利亚直传，厄齐尔突入禁区右侧小角度射门被卡西利亚用腿挡出近角
63'皇马获得右侧角球机会，厄齐尔主罚，没有威胁                   62'第62分钟，迪马利亚直传，厄齐尔突入禁区右侧小角度射门被卡西利亚用腿挡出近角
64'阿隆索后场拿球直传给到C罗                   62'第62分钟，迪马利亚直传，厄齐尔突入禁区右侧小角度射门被卡西利亚用腿挡出近角
64'C罗拿球过度给到拉莫斯，拉莫斯在分边给到套边的C罗                   62'第62分钟，迪马利亚直传，厄齐尔突入禁区右侧小角度射门被卡西利亚用腿挡出近角
64'C罗左路拿球，底线附近的传中，被后卫挡出底线                   62'第62分钟，迪马利亚直传，厄齐尔突入禁区右侧小角度射门被卡西利亚用腿挡出近角
64'皇马获得了左侧角球机会                   62'第62分钟，迪马利亚直传，厄齐尔突入禁区右侧小角度射门被卡西利亚用腿挡出近角
65'目前双方的角球比例：皇马9次，西班牙人4次                   62'第62分钟，迪马利亚直传，厄齐尔突入禁区右侧小角度射门被卡西利亚用腿挡出近角
65'皇马角球开出到禁区，卡列洪抢点拉人犯规，拉倒了科洛托                   62'第62分钟，迪马利亚直传，厄齐尔突入禁区右侧小角度射门被卡西利亚用腿挡出近角
71'西芒的任意球开到禁区，又被皇马球员抢先解围                   71'第71分钟，迪马利亚传球，卡列洪禁区左侧的射门未给卡西利亚带来威胁
71'迪马利亚前场拿球，一个弹簧步过掉防守球员                   71'第71分钟，迪马利亚传球，卡列洪禁区左侧的射门未给卡西利亚带来威胁
72'不过没有起脚的机会，将球横传给到C罗                   71'第71分钟，迪马利亚传球，卡列洪禁区左侧的射门未给卡西利亚带来威胁
72'C罗拿球分边交回给到迪马利亚                   71'第71分钟，迪马利亚传球，卡列洪禁区左侧的射门未给卡西利亚带来威胁
72'迪马利亚边路传中，卡列洪插上包抄打门                   71'第71分钟，迪马利亚传球，卡列洪禁区左侧的射门未给卡西利亚带来威胁
72'打的太正，球直接飞入了卡西利亚的怀抱                   71'第71分钟，迪马利亚传球，卡列洪禁区左侧的射门未给卡西利亚带来威胁
73'love阿严:西班牙人队的西芒，是以前在巴萨效力过的那个葡萄牙人吗？（是的，你答对啦）                   71'第71分钟，迪马利亚传球，卡列洪禁区左侧的射门未给卡西利亚带来威胁
73'皇马中场的过顶长传找插上的厄齐尔                   71'第71分钟，迪马利亚传球，卡列洪禁区左侧的射门未给卡西利亚带来威胁
74'厄齐尔禁区内不停球，小角度的凌空抽射，踢偏了                   71'第71分钟，迪马利亚传球，卡列洪禁区左侧的射门未给卡西利亚带来威胁
74'皇马的换人：莫拉塔换下卡列洪                   71'第71分钟，迪马利亚传球，卡列洪禁区左侧的射门未给卡西利亚带来威胁
74'C罗前场拿球，又是一脚怒射，球贴着草皮直接出了底线                   71'第71分钟，迪马利亚传球，卡列洪禁区左侧的射门未给卡西利亚带来威胁
74'厄齐尔禁区内不停球，小角度的凌空抽射，踢偏了                   74'第74分钟，阿隆索传球，C-罗纳尔多远射偏出
74'皇马的换人：莫拉塔换下卡列洪                   74'第74分钟，阿隆索传球，C-罗纳尔多远射偏出
74'C罗前场拿球，又是一脚怒射，球贴着草皮直接出了底线                   74'第74分钟，阿隆索传球，C-罗纳尔多远射偏出
75'C罗禁区弧顶挑传球到禁区找厄齐尔                   74'第74分钟，阿隆索传球，C-罗纳尔多远射偏出
75'厄齐尔禁区左侧凌空垫传给到莫拉塔                   74'第74分钟，阿隆索传球，C-罗纳尔多远射偏出
76'莫拉塔的头球攻门被卡西利亚托出底线                   74'第74分钟，阿隆索传球，C-罗纳尔多远射偏出
76'莫拉塔的有一个联赛进球，差之毫厘哦                   74'第74分钟，阿隆索传球，C-罗纳尔多远射偏出
76'皇马左侧角球机会，拉莫斯的攻门偏了                   74'第74分钟，阿隆索传球，C-罗纳尔多远射偏出
77'C罗后场拿球，洛佩兹身后上抢，放倒了C罗                   74'第74分钟，阿隆索传球，C-罗纳尔多远射偏出
85'西芒任意球开到前点，前点头球后曾，后点包抄的西班牙人球员凌空垫射，踢飞                   85'西班牙人第85分钟险些利用定位球机会扳平比分，莫雷诺接左路任意球头球摆渡，无人防守的卡普德维拉小禁区边缘飞身铲射偏出
87'皇马前场进攻，C罗又是禁区外的远射，卡西利亚将球稳稳揽入怀中                   85'西班牙人第85分钟险些利用定位球机会扳平比分，莫雷诺接左路任意球头球摆渡，无人防守的卡普德维拉小禁区边缘飞身铲射偏出
87'加西亚前场拿球，佩佩身后上抢，踢倒了加西亚                   85'西班牙人第85分钟险些利用定位球机会扳平比分，莫雷诺接左路任意球头球摆渡，无人防守的卡普德维拉小禁区边缘飞身铲射偏出
87'西班牙人有一个定位球机会，不过离球门比较远                   85'西班牙人第85分钟险些利用定位球机会扳平比分，莫雷诺接左路任意球头球摆渡，无人防守的卡普德维拉小禁区边缘飞身铲射偏出
88'西芒任意球开出到禁区，拉莫斯头球解围                   85'西班牙人第85分钟险些利用定位球机会扳平比分，莫雷诺接左路任意球头球摆渡，无人防守的卡普德维拉小禁区边缘飞身铲射偏出
88'加西亚得球，一脚怒射，打在后卫身上出底线                   85'西班牙人第85分钟险些利用定位球机会扳平比分，莫雷诺接左路任意球头球摆渡，无人防守的卡普德维拉小禁区边缘飞身铲射偏出
88'西班牙人的角球机会                   85'西班牙人第85分钟险些利用定位球机会扳平比分，莫雷诺接左路任意球头球摆渡，无人防守的卡普德维拉小禁区边缘飞身铲射偏出
88'进球啦                   85'西班牙人第85分钟险些利用定位球机会扳平比分，莫雷诺接左路任意球头球摆渡，无人防守的卡普德维拉小禁区边缘飞身铲射偏出
88'西芒任意球开出到禁区，拉莫斯头球解围                   88'西班牙人第88分钟扳平比分，拉莫斯角球防守中头球解围不远，莫雷诺头球摆渡，阿尔宾小禁区左侧垫射破门，2-2
88'加西亚得球，一脚怒射，打在后卫身上出底线                   88'西班牙人第88分钟扳平比分，拉莫斯角球防守中头球解围不远，莫雷诺头球摆渡，阿尔宾小禁区左侧垫射破门，2-2
88'西班牙人的角球机会                   88'西班牙人第88分钟扳平比分，拉莫斯角球防守中头球解围不远，莫雷诺头球摆渡，阿尔宾小禁区左侧垫射破门，2-2
88'进球啦                   88'西班牙人第88分钟扳平比分，拉莫斯角球防守中头球解围不远，莫雷诺头球摆渡，阿尔宾小禁区左侧垫射破门，2-2
89'替补上场的阿尔宾扳平比分                   88'西班牙人第88分钟扳平比分，拉莫斯角球防守中头球解围不远，莫雷诺头球摆渡，阿尔宾小禁区左侧垫射破门，2-2
89'西芒角球开出，莫雷诺头球点给阿尔宾，阿尔宾无人防守下的左脚打门进网                   88'西班牙人第88分钟扳平比分，拉莫斯角球防守中头球解围不远，莫雷诺头球摆渡，阿尔宾小禁区左侧垫射破门，2-2
90'阿尔宾进球后也是很疯狂，脱衣庆祝，结果只能是黄牌到手                   88'西班牙人第88分钟扳平比分，拉莫斯角球防守中头球解围不远，莫雷诺头球摆渡，阿尔宾小禁区左侧垫射破门，2-2
90'皇马前场进攻，厄齐尔禁区线上的打门，打在后卫身上出底线                   88'西班牙人第88分钟扳平比分，拉莫斯角球防守中头球解围不远，莫雷诺头球摆渡，阿尔宾小禁区左侧垫射破门，2-2
91'西班牙人有队员抽筋啦，弗林                   88'西班牙人第88分钟扳平比分，拉莫斯角球防守中头球解围不远，莫雷诺头球摆渡，阿尔宾小禁区左侧垫射破门，2-2
91'皇马的角球机会，皇马角球已经上双啦                   88'西班牙人第88分钟扳平比分，拉莫斯角球防守中头球解围不远，莫雷诺头球摆渡，阿尔宾小禁区左侧垫射破门，2-2
91'角球没开，禁区内先是混战不堪                   88'西班牙人第88分钟扳平比分，拉莫斯角球防守中头球解围不远，莫雷诺头球摆渡，阿尔宾小禁区左侧垫射破门，2-2
91'马特乌吹停比赛，进入禁区进行调节、                   88'西班牙人第88分钟扳平比分，拉莫斯角球防守中头球解围不远，莫雷诺头球摆渡，阿尔宾小禁区左侧垫射破门，2-2
