9'射门!!!热那亚球员贝尔托拉奇大禁区左侧左脚射门,被对方守门员横身扑出.                   9'开场9分钟，贝尔托拉奇突至禁区边缘左脚低射被阿比亚蒂没收
65'裁判向AC米兰的康斯坦特出示了第二张黄牌.                   64'第64分钟，博沃背后踢中康斯坦特腿部，康斯坦特起身后怒斥博沃伤人动作，双方球员卷入冲突，博沃和康斯坦特均吃到黄牌，康斯坦特累计2张黄牌被罚下
71'射门!!!热那亚球员波尔塔诺瓦大禁区中央头球,被对方守门员横身扑出.给他传球的是巴尔加斯.                   71'第71分钟，巴尔加斯左路传中，波尔塔诺瓦在门前8米处头球被阿比亚蒂封出
71'热那亚球员莫雷蒂拼抢犯规,对手获得控球权.                   71'第71分钟，巴尔加斯左路传中，波尔塔诺瓦在门前8米处头球被阿比亚蒂封出
71'巴洛特利为AC米兰在右路,赢得一个任意球.                   71'第71分钟，巴尔加斯左路传中，波尔塔诺瓦在门前8米处头球被阿比亚蒂封出
72'AC米兰球员尼昂大禁区左侧尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是蒙托利沃.                   71'第71分钟，巴尔加斯左路传中，波尔塔诺瓦在门前8米处头球被阿比亚蒂封出
73'热那亚球员安东内利大禁区外左脚射门,被防守球员封堵.                   71'第71分钟，巴尔加斯左路传中，波尔塔诺瓦在门前8米处头球被阿比亚蒂封出
75'射门!!!热那亚球员格兰奎斯特球门右侧小角度右脚射门,被对方守门员横身扑出.                   75'第75分钟，格兰奎斯特禁区右侧小角度抽射被阿比亚蒂封出后倒地，达马托没有中断比赛
76'射门!!!热那亚球员乔奎拉大禁区外左脚射门,被对方守门员横身扑出.给他传球的是伊莫莱比.                   75'第75分钟，格兰奎斯特禁区右侧小角度抽射被阿比亚蒂封出后倒地，达马托没有中断比赛
76'AC米兰球员蒙托利沃一脚直塞球给巴洛特利,但是边裁举旗显示后者已经越位.                   75'第75分钟，格兰奎斯特禁区右侧小角度抽射被阿比亚蒂封出后倒地，达马托没有中断比赛
77'热那亚换人,扬科维奇换下格兰奎斯特                   75'第75分钟，格兰奎斯特禁区右侧小角度抽射被阿比亚蒂封出后倒地，达马托没有中断比赛
78'热那亚球员扬科维奇大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是托瑟尔.                   75'第75分钟，格兰奎斯特禁区右侧小角度抽射被阿比亚蒂封出后倒地，达马托没有中断比赛
78'巴洛特利为AC米兰在对方半场,赢得一个任意球.                   75'第75分钟，格兰奎斯特禁区右侧小角度抽射被阿比亚蒂封出后倒地，达马托没有中断比赛
78'热那亚球员波尔塔诺瓦拼抢犯规,对手获得控球权.                   75'第75分钟，格兰奎斯特禁区右侧小角度抽射被阿比亚蒂封出后倒地，达马托没有中断比赛
78'热那亚球员扬科维奇大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是托瑟尔.                   78'第78分钟，扬科维奇右路左脚低射偏出近门柱
78'巴洛特利为AC米兰在对方半场,赢得一个任意球.                   78'第78分钟，扬科维奇右路左脚低射偏出近门柱
78'热那亚球员波尔塔诺瓦拼抢犯规,对手获得控球权.                   78'第78分钟，扬科维奇右路左脚低射偏出近门柱
81'巴洛特利为AC米兰在右路,赢得一个任意球.                   78'第78分钟，扬科维奇右路左脚低射偏出近门柱
81'热那亚球员巴尔加斯拼抢犯规,对手获得控球权.                   78'第78分钟，扬科维奇右路左脚低射偏出近门柱
88'黄牌！热那亚球员安东内利因为恶意犯规,被主裁判出示黄牌.                   88'第88分钟，安东内利对尼昂犯规吃到黄牌
90'热那亚球员托瑟尔大禁区外左脚射门,被防守球员封堵.给他传球的是贝尔托拉奇.                   88'第88分钟，安东内利对尼昂犯规吃到黄牌
90'AC米兰球员巴洛特利拼抢犯规,对手获得控球权.                   88'第88分钟，安东内利对尼昂犯规吃到黄牌
90'伊莫莱比为热那亚在左路,赢得一个任意球.                   88'第88分钟，安东内利对尼昂犯规吃到黄牌
90'+1'热那亚球员乔奎拉大禁区外左脚射门,被防守球员封堵.给他传球的是扬科维奇.                   88'第88分钟，安东内利对尼昂犯规吃到黄牌
90'+2'阿巴特将球处理出底线,热那亚获得角球.                   88'第88分钟，安东内利对尼昂犯规吃到黄牌
90'+2'热那亚球员伊莫莱比大禁区右侧右脚射门,被防守球员封堵.                   88'第88分钟，安东内利对尼昂犯规吃到黄牌
90'+2'阿比亚蒂将球处理出底线,热那亚获得角球.                   88'第88分钟，安东内利对尼昂犯规吃到黄牌
90'+3'热那亚球员巴尔加斯大禁区外左脚射门,被防守球员封堵.给他传球的是托瑟尔.                   88'第88分钟，安东内利对尼昂犯规吃到黄牌
90'+4'AC米兰球员巴洛特利拼抢犯规,对手获得控球权.                   88'第88分钟，安东内利对尼昂犯规吃到黄牌
90'+4'波尔塔诺瓦为热那亚赢得一个任意球.                   88'第88分钟，安东内利对尼昂犯规吃到黄牌
90'+5'下半场结束,热那亚 0-2 AC米兰                   88'第88分钟，安东内利对尼昂犯规吃到黄牌
