5'莫德斯特前场反抢下手                   5'第5分钟，帕托带球反击被高嘉润凶狠铲倒，高嘉润吃到黄牌
8'向前送一记直传，中圈左侧阿奇姆彭把球拿到                   8'第8分钟，莫德斯特前场拿球后回做，王永珀跟进右脚外脚背大力抽射，皮球擦着近端立柱飞出
8'连续的转身，晃开，，甩开赵旭日                   8'第8分钟，莫德斯特前场拿球后回做，王永珀跟进右脚外脚背大力抽射，皮球擦着近端立柱飞出
8'带球到前场左路，再分惠家康                   8'第8分钟，莫德斯特前场拿球后回做，王永珀跟进右脚外脚背大力抽射，皮球擦着近端立柱飞出
8'回敲米克尔，身前送一记斜传                   8'第8分钟，莫德斯特前场拿球后回做，王永珀跟进右脚外脚背大力抽射，皮球擦着近端立柱飞出
8'前场右侧拼抢，帕托断下来                   8'第8分钟，莫德斯特前场拿球后回做，王永珀跟进右脚外脚背大力抽射，皮球擦着近端立柱飞出
8'挂挡，加油，往前冲                   8'第8分钟，莫德斯特前场拿球后回做，王永珀跟进右脚外脚背大力抽射，皮球擦着近端立柱飞出
9'横敲，，中路在给莫德斯特，，做给身后                   8'第8分钟，莫德斯特前场拿球后回做，王永珀跟进右脚外脚背大力抽射，皮球擦着近端立柱飞出
9'王永珀抡起一脚，，擦着立柱偏出了底线啊                   8'第8分钟，莫德斯特前场拿球后回做，王永珀跟进右脚外脚背大力抽射，皮球擦着近端立柱飞出
9'好悬啊这球                   8'第8分钟，莫德斯特前场拿球后回做，王永珀跟进右脚外脚背大力抽射，皮球擦着近端立柱飞出
9'泰达门球，杜佳开出来                   8'第8分钟，莫德斯特前场拿球后回做，王永珀跟进右脚外脚背大力抽射，皮球擦着近端立柱飞出
9'中圈附近，，拼抢下来                   8'第8分钟，莫德斯特前场拿球后回做，王永珀跟进右脚外脚背大力抽射，皮球擦着近端立柱飞出
9'刘奕鸣把球破坏出界                   8'第8分钟，莫德斯特前场拿球后回做，王永珀跟进右脚外脚背大力抽射，皮球擦着近端立柱飞出
9'左侧泰达界外球，给惠家康                   8'第8分钟，莫德斯特前场拿球后回做，王永珀跟进右脚外脚背大力抽射，皮球擦着近端立柱飞出
10'弧线球传中，，禁区前点，刘奕鸣解围                   8'第8分钟，莫德斯特前场拿球后回做，王永珀跟进右脚外脚背大力抽射，皮球擦着近端立柱飞出
10'大禁区左侧阿奇姆彭得球，突入禁区                   8'第8分钟，莫德斯特前场拿球后回做，王永珀跟进右脚外脚背大力抽射，皮球擦着近端立柱飞出
10'小禁区左侧，，大力的抽射                   8'第8分钟，莫德斯特前场拿球后回做，王永珀跟进右脚外脚背大力抽射，皮球擦着近端立柱飞出
10'势大力沉，，擦着横梁飞出底线                   8'第8分钟，莫德斯特前场拿球后回做，王永珀跟进右脚外脚背大力抽射，皮球擦着近端立柱飞出
10'张鹭把球开起来                   8'第8分钟，莫德斯特前场拿球后回做，王永珀跟进右脚外脚背大力抽射，皮球擦着近端立柱飞出
10'左侧找到王杰，斜传向前                   8'第8分钟，莫德斯特前场拿球后回做，王永珀跟进右脚外脚背大力抽射，皮球擦着近端立柱飞出
11'中路争顶，，高嘉润断下来                   8'第8分钟，莫德斯特前场拿球后回做，王永珀跟进右脚外脚背大力抽射，皮球擦着近端立柱飞出
11'身前在送一脚斜传，右侧阿奇姆彭得球                   8'第8分钟，莫德斯特前场拿球后回做，王永珀跟进右脚外脚背大力抽射，皮球擦着近端立柱飞出
11'背身，，，护球，，糜昊伦一脚破坏                   8'第8分钟，莫德斯特前场拿球后回做，王永珀跟进右脚外脚背大力抽射，皮球擦着近端立柱飞出
11'中圈左侧，，莫德斯特拿球，，被放倒了                   8'第8分钟，莫德斯特前场拿球后回做，王永珀跟进右脚外脚背大力抽射，皮球擦着近端立柱飞出
11'邱添一的犯规                   8'第8分钟，莫德斯特前场拿球后回做，王永珀跟进右脚外脚背大力抽射，皮球擦着近端立柱飞出
11'中圈左侧定位球，，开起来                   8'第8分钟，莫德斯特前场拿球后回做，王永珀跟进右脚外脚背大力抽射，皮球擦着近端立柱飞出
11'回给后场刘奕鸣，在交给身边王杰                   8'第8分钟，莫德斯特前场拿球后回做，王永珀跟进右脚外脚背大力抽射，皮球擦着近端立柱飞出
12'低球向前，，维特塞尔拿球，分左路糜昊伦                   12'第12分钟，孙可右路底线附近倒三角传中，莫德斯特小禁区线上推射踢疵了，再射，球被邱添一挡了一下后弹回自己身上出了底线
12'低球向前一记直塞，直接传出界外                   12'第12分钟，孙可右路底线附近倒三角传中，莫德斯特小禁区线上推射踢疵了，再射，球被邱添一挡了一下后弹回自己身上出了底线
12'泰达右侧界外球，给出来                   12'第12分钟，孙可右路底线附近倒三角传中，莫德斯特小禁区线上推射踢疵了，再射，球被邱添一挡了一下后弹回自己身上出了底线
12'赵旭日直接把球断下                   12'第12分钟，孙可右路底线附近倒三角传中，莫德斯特小禁区线上推射踢疵了，再射，球被邱添一挡了一下后弹回自己身上出了底线
12'回敲刘奕鸣，一个挑传向前                   12'第12分钟，孙可右路底线附近倒三角传中，莫德斯特小禁区线上推射踢疵了，再射，球被邱添一挡了一下后弹回自己身上出了底线
12'中路莫德斯特头球摆渡                   12'第12分钟，孙可右路底线附近倒三角传中，莫德斯特小禁区线上推射踢疵了，再射，球被邱添一挡了一下后弹回自己身上出了底线
12'第二点帕托得球，低球斜传                   12'第12分钟，孙可右路底线附近倒三角传中，莫德斯特小禁区线上推射踢疵了，再射，球被邱添一挡了一下后弹回自己身上出了底线
12'左侧糜昊伦上来，再分帕托，，突破过人                   12'第12分钟，孙可右路底线附近倒三角传中，莫德斯特小禁区线上推射踢疵了，再射，球被邱添一挡了一下后弹回自己身上出了底线
12'白岳峰把球大脚解围                   12'第12分钟，孙可右路底线附近倒三角传中，莫德斯特小禁区线上推射踢疵了，再射，球被邱添一挡了一下后弹回自己身上出了底线
13'外围王永珀拿球，被对手推倒在地                   12'第12分钟，孙可右路底线附近倒三角传中，莫德斯特小禁区线上推射踢疵了，再射，球被邱添一挡了一下后弹回自己身上出了底线
13'权健中路定位球，快开                   12'第12分钟，孙可右路底线附近倒三角传中，莫德斯特小禁区线上推射踢疵了，再射，球被邱添一挡了一下后弹回自己身上出了底线
13'直传小禁区右肋的张诚                   12'第12分钟，孙可右路底线附近倒三角传中，莫德斯特小禁区线上推射踢疵了，再射，球被邱添一挡了一下后弹回自己身上出了底线
13'前插，，，下底倒三角                   12'第12分钟，孙可右路底线附近倒三角传中，莫德斯特小禁区线上推射踢疵了，再射，球被邱添一挡了一下后弹回自己身上出了底线
13'回敲到禁区前点，，莫德斯特跟上                   12'第12分钟，孙可右路底线附近倒三角传中，莫德斯特小禁区线上推射踢疵了，再射，球被邱添一挡了一下后弹回自己身上出了底线
13'一脚怒射，踢呲了啊                   12'第12分钟，孙可右路底线附近倒三角传中，莫德斯特小禁区线上推射踢疵了，再射，球被邱添一挡了一下后弹回自己身上出了底线
14'第二下再来，，碰出底线了                   12'第12分钟，孙可右路底线附近倒三角传中，莫德斯特小禁区线上推射踢疵了，再射，球被邱添一挡了一下后弹回自己身上出了底线
14'杜佳大脚开起来                   12'第12分钟，孙可右路底线附近倒三角传中，莫德斯特小禁区线上推射踢疵了，再射，球被邱添一挡了一下后弹回自己身上出了底线
14'中圈附近拼抢，，高嘉润得球                   12'第12分钟，孙可右路底线附近倒三角传中，莫德斯特小禁区线上推射踢疵了，再射，球被邱添一挡了一下后弹回自己身上出了底线
14'向前一记直塞，，阿奇姆彭越位了                   12'第12分钟，孙可右路底线附近倒三角传中，莫德斯特小禁区线上推射踢疵了，再射，球被邱添一挡了一下后弹回自己身上出了底线
14'权健后场把球开出                   12'第12分钟，孙可右路底线附近倒三角传中，莫德斯特小禁区线上推射踢疵了，再射，球被邱添一挡了一下后弹回自己身上出了底线
14'中圈附近惠家康把球得到                   12'第12分钟，孙可右路底线附近倒三角传中，莫德斯特小禁区线上推射踢疵了，再射，球被邱添一挡了一下后弹回自己身上出了底线
14'一路杀到禁区左侧，低球横敲                   12'第12分钟，孙可右路底线附近倒三角传中，莫德斯特小禁区线上推射踢疵了，再射，球被邱添一挡了一下后弹回自己身上出了底线
14'小禁区前沿，赵英杰插上，包抄，，没有碰到球                   12'第12分钟，孙可右路底线附近倒三角传中，莫德斯特小禁区线上推射踢疵了，再射，球被邱添一挡了一下后弹回自己身上出了底线
14'张鹭把球没收                   12'第12分钟，孙可右路底线附近倒三角传中，莫德斯特小禁区线上推射踢疵了，再射，球被邱添一挡了一下后弹回自己身上出了底线
15'权健推进，前场中路给赵旭日                   12'第12分钟，孙可右路底线附近倒三角传中，莫德斯特小禁区线上推射踢疵了，再射，球被邱添一挡了一下后弹回自己身上出了底线
15'一记直塞球，孙可插上越位了                   12'第12分钟，孙可右路底线附近倒三角传中，莫德斯特小禁区线上推射踢疵了，再射，球被邱添一挡了一下后弹回自己身上出了底线
15'泰达后场开起来                   12'第12分钟，孙可右路底线附近倒三角传中，莫德斯特小禁区线上推射踢疵了，再射，球被邱添一挡了一下后弹回自己身上出了底线
15'给的比较大，后场直接找到了张鹭                   12'第12分钟，孙可右路底线附近倒三角传中，莫德斯特小禁区线上推射踢疵了，再射，球被邱添一挡了一下后弹回自己身上出了底线
31'回敲，中路在给米克尔，斜传                   31'第31分钟，阿奇姆彭右路衔枚疾走到禁区内底线附近，连续晃动后倒三角传中，刘奕鸣解围抢先将球踢出底线
31'前场右路白岳峰，，头球摆渡                   31'第31分钟，阿奇姆彭右路衔枚疾走到禁区内底线附近，连续晃动后倒三角传中，刘奕鸣解围抢先将球踢出底线
31'小禁区右侧拼抢，李源一犯规了                   31'第31分钟，阿奇姆彭右路衔枚疾走到禁区内底线附近，连续晃动后倒三角传中，刘奕鸣解围抢先将球踢出底线
31'权健后场定位球开出                   31'第31分钟，阿奇姆彭右路衔枚疾走到禁区内底线附近，连续晃动后倒三角传中，刘奕鸣解围抢先将球踢出底线
31'中圈附近找到帕托                   31'第31分钟，阿奇姆彭右路衔枚疾走到禁区内底线附近，连续晃动后倒三角传中，刘奕鸣解围抢先将球踢出底线
31'低球斜传，中路在给维特塞尔组织                   31'第31分钟，阿奇姆彭右路衔枚疾走到禁区内底线附近，连续晃动后倒三角传中，刘奕鸣解围抢先将球踢出底线
31'过渡到右路孙可，一记弧线球兜出来                   31'第31分钟，阿奇姆彭右路衔枚疾走到禁区内底线附近，连续晃动后倒三角传中，刘奕鸣解围抢先将球踢出底线
31'门前杜佳把球没收                   31'第31分钟，阿奇姆彭右路衔枚疾走到禁区内底线附近，连续晃动后倒三角传中，刘奕鸣解围抢先将球踢出底线
32'大脚开起来                   31'第31分钟，阿奇姆彭右路衔枚疾走到禁区内底线附近，连续晃动后倒三角传中，刘奕鸣解围抢先将球踢出底线
32'前场右路阿奇姆彭得球，带球杀入禁区                   31'第31分钟，阿奇姆彭右路衔枚疾走到禁区内底线附近，连续晃动后倒三角传中，刘奕鸣解围抢先将球踢出底线
32'杀到右侧底线，，倒三角                   31'第31分钟，阿奇姆彭右路衔枚疾走到禁区内底线附近，连续晃动后倒三角传中，刘奕鸣解围抢先将球踢出底线
32'回敲过来，刘奕鸣一挡，，挡出底线                   31'第31分钟，阿奇姆彭右路衔枚疾走到禁区内底线附近，连续晃动后倒三角传中，刘奕鸣解围抢先将球踢出底线
32'泰达右侧角球，开起来                   31'第31分钟，阿奇姆彭右路衔枚疾走到禁区内底线附近，连续晃动后倒三角传中，刘奕鸣解围抢先将球踢出底线
32'禁区内前点，，帕托拦下来                   31'第31分钟，阿奇姆彭右路衔枚疾走到禁区内底线附近，连续晃动后倒三角传中，刘奕鸣解围抢先将球踢出底线
33'低球斜传向前，，给左侧王永珀                   31'第31分钟，阿奇姆彭右路衔枚疾走到禁区内底线附近，连续晃动后倒三角传中，刘奕鸣解围抢先将球踢出底线
33'快步流星的推进，，到了前场左侧                   31'第31分钟，阿奇姆彭右路衔枚疾走到禁区内底线附近，连续晃动后倒三角传中，刘奕鸣解围抢先将球踢出底线
33'一脚斜传，，直接被高嘉润断下                   31'第31分钟，阿奇姆彭右路衔枚疾走到禁区内底线附近，连续晃动后倒三角传中，刘奕鸣解围抢先将球踢出底线
33'莫德斯特反抢，连拉带拽，犯规了                   31'第31分钟，阿奇姆彭右路衔枚疾走到禁区内底线附近，连续晃动后倒三角传中，刘奕鸣解围抢先将球踢出底线
33'莫德斯特吃到黄牌                   31'第31分钟，阿奇姆彭右路衔枚疾走到禁区内底线附近，连续晃动后倒三角传中，刘奕鸣解围抢先将球踢出底线
33'泰达后场定位球，，开出来                   31'第31分钟，阿奇姆彭右路衔枚疾走到禁区内底线附近，连续晃动后倒三角传中，刘奕鸣解围抢先将球踢出底线
33'前场左侧给到惠家康                   31'第31分钟，阿奇姆彭右路衔枚疾走到禁区内底线附近，连续晃动后倒三角传中，刘奕鸣解围抢先将球踢出底线
34'接球在回敲，后场给到邱添一                   31'第31分钟，阿奇姆彭右路衔枚疾走到禁区内底线附近，连续晃动后倒三角传中，刘奕鸣解围抢先将球踢出底线
34'大脚把球开起来，，糜昊伦后场把球拦截                   31'第31分钟，阿奇姆彭右路衔枚疾走到禁区内底线附近，连续晃动后倒三角传中，刘奕鸣解围抢先将球踢出底线
34'横敲中路赵旭日，再分身边给刘奕鸣                   31'第31分钟，阿奇姆彭右路衔枚疾走到禁区内底线附近，连续晃动后倒三角传中，刘奕鸣解围抢先将球踢出底线
34'低球斜传，中路找王永珀，，继续的传递                   31'第31分钟，阿奇姆彭右路衔枚疾走到禁区内底线附近，连续晃动后倒三角传中，刘奕鸣解围抢先将球踢出底线
34'球到了右侧维特塞尔脚下，向前一记直塞                   31'第31分钟，阿奇姆彭右路衔枚疾走到禁区内底线附近，连续晃动后倒三角传中，刘奕鸣解围抢先将球踢出底线
34'给大了，，买提江把球拦截                   31'第31分钟，阿奇姆彭右路衔枚疾走到禁区内底线附近，连续晃动后倒三角传中，刘奕鸣解围抢先将球踢出底线
46'惠家康速度很快，，禁区内摔倒了                   46'1分钟后，维特塞尔中圈附近过顶长传找莫德斯特，后者插入禁区内形成单刀，面对门将准备射门时，受到身后回追的买提江的干扰倒地，错失扳平良机
46'但是裁判没有什么表示                   46'1分钟后，维特塞尔中圈附近过顶长传找莫德斯特，后者插入禁区内形成单刀，面对门将准备射门时，受到身后回追的买提江的干扰倒地，错失扳平良机
46'上半场补时2分钟                   46'1分钟后，维特塞尔中圈附近过顶长传找莫德斯特，后者插入禁区内形成单刀，面对门将准备射门时，受到身后回追的买提江的干扰倒地，错失扳平良机
46'权健门球开起来                   46'1分钟后，维特塞尔中圈附近过顶长传找莫德斯特，后者插入禁区内形成单刀，面对门将准备射门时，受到身后回追的买提江的干扰倒地，错失扳平良机
46'中圈左侧糜昊伦拿球，在给回王杰                   46'1分钟后，维特塞尔中圈附近过顶长传找莫德斯特，后者插入禁区内形成单刀，面对门将准备射门时，受到身后回追的买提江的干扰倒地，错失扳平良机
46'身前送一个斜传，到了右路                   46'1分钟后，维特塞尔中圈附近过顶长传找莫德斯特，后者插入禁区内形成单刀，面对门将准备射门时，受到身后回追的买提江的干扰倒地，错失扳平良机
46'巴斯蒂安斯大脚踢出                   46'1分钟后，维特塞尔中圈附近过顶长传找莫德斯特，后者插入禁区内形成单刀，面对门将准备射门时，受到身后回追的买提江的干扰倒地，错失扳平良机
46'与此同时裁判哨响了，是莫德斯特的犯规                   46'1分钟后，维特塞尔中圈附近过顶长传找莫德斯特，后者插入禁区内形成单刀，面对门将准备射门时，受到身后回追的买提江的干扰倒地，错失扳平良机
47'泰达后场定位球，开出来                   46'1分钟后，维特塞尔中圈附近过顶长传找莫德斯特，后者插入禁区内形成单刀，面对门将准备射门时，受到身后回追的买提江的干扰倒地，错失扳平良机
47'赵旭日后场把球拦截，，分右路给张诚                   46'1分钟后，维特塞尔中圈附近过顶长传找莫德斯特，后者插入禁区内形成单刀，面对门将准备射门时，受到身后回追的买提江的干扰倒地，错失扳平良机
47'大脚把球开出来                   46'1分钟后，维特塞尔中圈附近过顶长传找莫德斯特，后者插入禁区内形成单刀，面对门将准备射门时，受到身后回追的买提江的干扰倒地，错失扳平良机
47'中圈附近帕托得球，遭遇逼抢                   46'1分钟后，维特塞尔中圈附近过顶长传找莫德斯特，后者插入禁区内形成单刀，面对门将准备射门时，受到身后回追的买提江的干扰倒地，错失扳平良机
47'球被高嘉润一脚破坏出界                   46'1分钟后，维特塞尔中圈附近过顶长传找莫德斯特，后者插入禁区内形成单刀，面对门将准备射门时，受到身后回追的买提江的干扰倒地，错失扳平良机
47'权健右侧界外球，给出来                   46'1分钟后，维特塞尔中圈附近过顶长传找莫德斯特，后者插入禁区内形成单刀，面对门将准备射门时，受到身后回追的买提江的干扰倒地，错失扳平良机
47'前场右路孙可得球，一脚起球传中                   46'1分钟后，维特塞尔中圈附近过顶长传找莫德斯特，后者插入禁区内形成单刀，面对门将准备射门时，受到身后回追的买提江的干扰倒地，错失扳平良机
47'杜佳出击，，，高高跃起，，没收                   46'1分钟后，维特塞尔中圈附近过顶长传找莫德斯特，后者插入禁区内形成单刀，面对门将准备射门时，受到身后回追的买提江的干扰倒地，错失扳平良机
47'大脚开起来                   46'1分钟后，维特塞尔中圈附近过顶长传找莫德斯特，后者插入禁区内形成单刀，面对门将准备射门时，受到身后回追的买提江的干扰倒地，错失扳平良机
47'中圈左侧糜昊伦争抢，碰出界外                   46'1分钟后，维特塞尔中圈附近过顶长传找莫德斯特，后者插入禁区内形成单刀，面对门将准备射门时，受到身后回追的买提江的干扰倒地，错失扳平良机
47'泰达界外球                   46'1分钟后，维特塞尔中圈附近过顶长传找莫德斯特，后者插入禁区内形成单刀，面对门将准备射门时，受到身后回追的买提江的干扰倒地，错失扳平良机
47'右侧给出来                   46'1分钟后，维特塞尔中圈附近过顶长传找莫德斯特，后者插入禁区内形成单刀，面对门将准备射门时，受到身后回追的买提江的干扰倒地，错失扳平良机
48'裁判哨响，上半场结束                   46'1分钟后，维特塞尔中圈附近过顶长传找莫德斯特，后者插入禁区内形成单刀，面对门将准备射门时，受到身后回追的买提江的干扰倒地，错失扳平良机
46'主裁判一声哨响，下半场开始了                   46'1分钟后，维特塞尔中圈附近过顶长传找莫德斯特，后者插入禁区内形成单刀，面对门将准备射门时，受到身后回追的买提江的干扰倒地，错失扳平良机
46'权健开球，给到右侧找张诚                   46'1分钟后，维特塞尔中圈附近过顶长传找莫德斯特，后者插入禁区内形成单刀，面对门将准备射门时，受到身后回追的买提江的干扰倒地，错失扳平良机
46'向前送一个直传，右路孙可得球                   46'1分钟后，维特塞尔中圈附近过顶长传找莫德斯特，后者插入禁区内形成单刀，面对门将准备射门时，受到身后回追的买提江的干扰倒地，错失扳平良机
46'横敲中路给到帕托，低球直塞，，直接出了底线                   46'1分钟后，维特塞尔中圈附近过顶长传找莫德斯特，后者插入禁区内形成单刀，面对门将准备射门时，受到身后回追的买提江的干扰倒地，错失扳平良机
46'这球帕托和孙可传跑没想到一起                   46'1分钟后，维特塞尔中圈附近过顶长传找莫德斯特，后者插入禁区内形成单刀，面对门将准备射门时，受到身后回追的买提江的干扰倒地，错失扳平良机
46'杜佳大脚开起来                   46'1分钟后，维特塞尔中圈附近过顶长传找莫德斯特，后者插入禁区内形成单刀，面对门将准备射门时，受到身后回追的买提江的干扰倒地，错失扳平良机
47'中圈附近的争顶，刘奕鸣撞人犯规了                   46'1分钟后，维特塞尔中圈附近过顶长传找莫德斯特，后者插入禁区内形成单刀，面对门将准备射门时，受到身后回追的买提江的干扰倒地，错失扳平良机
47'阿奇姆彭摔倒在地                   46'1分钟后，维特塞尔中圈附近过顶长传找莫德斯特，后者插入禁区内形成单刀，面对门将准备射门时，受到身后回追的买提江的干扰倒地，错失扳平良机
47'这球刘奕鸣有肘击的动作，今天刘奕鸣对阿奇姆彭一直不太友好啊                   46'1分钟后，维特塞尔中圈附近过顶长传找莫德斯特，后者插入禁区内形成单刀，面对门将准备射门时，受到身后回追的买提江的干扰倒地，错失扳平良机
48'泰达中圈位置的定位球                   46'1分钟后，维特塞尔中圈附近过顶长传找莫德斯特，后者插入禁区内形成单刀，面对门将准备射门时，受到身后回追的买提江的干扰倒地，错失扳平良机
48'给到高嘉润，很远的位置，直接抡，，，飞了                   46'1分钟后，维特塞尔中圈附近过顶长传找莫德斯特，后者插入禁区内形成单刀，面对门将准备射门时，受到身后回追的买提江的干扰倒地，错失扳平良机
48'张鹭大脚开出门球                   46'1分钟后，维特塞尔中圈附近过顶长传找莫德斯特，后者插入禁区内形成单刀，面对门将准备射门时，受到身后回追的买提江的干扰倒地，错失扳平良机
48'右侧找到张诚，低球斜传                   46'1分钟后，维特塞尔中圈附近过顶长传找莫德斯特，后者插入禁区内形成单刀，面对门将准备射门时，受到身后回追的买提江的干扰倒地，错失扳平良机
49'给到中路的帕托，遭遇逼抢，，哨响了                   46'1分钟后，维特塞尔中圈附近过顶长传找莫德斯特，后者插入禁区内形成单刀，面对门将准备射门时，受到身后回追的买提江的干扰倒地，错失扳平良机
49'米克尔拼抢犯规                   46'1分钟后，维特塞尔中圈附近过顶长传找莫德斯特，后者插入禁区内形成单刀，面对门将准备射门时，受到身后回追的买提江的干扰倒地，错失扳平良机
49'权健中圈位置定位球                   46'1分钟后，维特塞尔中圈附近过顶长传找莫德斯特，后者插入禁区内形成单刀，面对门将准备射门时，受到身后回追的买提江的干扰倒地，错失扳平良机
49'右路赵英杰把球断下                   46'1分钟后，维特塞尔中圈附近过顶长传找莫德斯特，后者插入禁区内形成单刀，面对门将准备射门时，受到身后回追的买提江的干扰倒地，错失扳平良机
49'低球向前一记直塞                   46'1分钟后，维特塞尔中圈附近过顶长传找莫德斯特，后者插入禁区内形成单刀，面对门将准备射门时，受到身后回追的买提江的干扰倒地，错失扳平良机
49'大禁区右侧阿奇姆彭得球，带球杀入禁区                   46'1分钟后，维特塞尔中圈附近过顶长传找莫德斯特，后者插入禁区内形成单刀，面对门将准备射门时，受到身后回追的买提江的干扰倒地，错失扳平良机
54'帕托拼抢放倒了对手                   54'天津权健在第54分钟扳平比分——右路孙可一记弧线球传中，禁区后点莫德斯特把球停下，一脚抽射被杜佳扑出
54'泰达前场中路定位球                   54'天津权健在第54分钟扳平比分——右路孙可一记弧线球传中，禁区后点莫德斯特把球停下，一脚抽射被杜佳扑出
54'给到米克尔，，遭遇逼抢，，王永珀把球断下                   54'天津权健在第54分钟扳平比分——右路孙可一记弧线球传中，禁区后点莫德斯特把球停下，一脚抽射被杜佳扑出
54'分右路给张诚，，低球向前，，给孙可                   54'天津权健在第54分钟扳平比分——右路孙可一记弧线球传中，禁区后点莫德斯特把球停下，一脚抽射被杜佳扑出
54'一记弧线球，，传中，，吊向后点                   54'天津权健在第54分钟扳平比分——右路孙可一记弧线球传中，禁区后点莫德斯特把球停下，一脚抽射被杜佳扑出
54'莫德斯特把球卸下，形成单刀了                   54'天津权健在第54分钟扳平比分——右路孙可一记弧线球传中，禁区后点莫德斯特把球停下，一脚抽射被杜佳扑出
54'面对杜佳，，，一脚怒射，被门将奋力扑出                   54'天津权健在第54分钟扳平比分——右路孙可一记弧线球传中，禁区后点莫德斯特把球停下，一脚抽射被杜佳扑出
55'外围帕托还有，，停下来，马上起脚，，有了                   54'天津权健在第54分钟扳平比分——右路孙可一记弧线球传中，禁区后点莫德斯特把球停下，一脚抽射被杜佳扑出
55'权健扳平了，，帕托的进球                   54'天津权健在第54分钟扳平比分——右路孙可一记弧线球传中，禁区后点莫德斯特把球停下，一脚抽射被杜佳扑出
55'右路孙可一记弧线球传中，禁区后点莫德斯特把球停下，一脚抽射被杜佳扑出。小禁区前沿帕托把球拦下调整之后左脚抽射得手                   54'天津权健在第54分钟扳平比分——右路孙可一记弧线球传中，禁区后点莫德斯特把球停下，一脚抽射被杜佳扑出
56'双方回到了同一起跑线                   54'天津权健在第54分钟扳平比分——右路孙可一记弧线球传中，禁区后点莫德斯特把球停下，一脚抽射被杜佳扑出
56'中路维特塞尔拿球，转移到右路                   54'天津权健在第54分钟扳平比分——右路孙可一记弧线球传中，禁区后点莫德斯特把球停下，一脚抽射被杜佳扑出
56'张诚接球，斜传中路王永珀                   54'天津权健在第54分钟扳平比分——右路孙可一记弧线球传中，禁区后点莫德斯特把球停下，一脚抽射被杜佳扑出
