1'上半场开始了                   1'第1分钟，小阿扎尔传球，德尔米奇头球偏出
6'造成对方犯规                   3'门兴第3脚射门取得领先，第9分钟，霍夫曼传球，德尔米奇右路突入禁区急停扣过聚勒，在门前9米处左脚斜射入远角，1比0
38'瓦格纳直塞禁区右侧                   37'拜仁第37分钟扳平，聚勒右路内切塞球，穆勒禁区右侧传中，佐默出击扑空，瓦格纳中路轻松左脚推进空门，1比1
38'穆勒得球横传中路                   37'拜仁第37分钟扳平，聚勒右路内切塞球，穆勒禁区右侧传中，佐默出击扑空，瓦格纳中路轻松左脚推进空门，1比1
38'瓦格纳迎球推射空门得手                   37'拜仁第37分钟扳平，聚勒右路内切塞球，穆勒禁区右侧传中，佐默出击扑空，瓦格纳中路轻松左脚推进空门，1比1
51'拜仁半场用J罗换下了穆勒                   49'仅过4分钟，拜仁反超比分
51'J罗长传前场右侧                   49'仅过4分钟，拜仁反超比分
51'托利索下底传中                   49'仅过4分钟，拜仁反超比分
51'门前的第一下射门被扑出                   49'仅过4分钟，拜仁反超比分
51'蒂亚戈跟进补射！GOOOOOOOOOOOAL！                   49'仅过4分钟，拜仁反超比分
51'拜仁半场用J罗换下了穆勒                   51'拜仁第51分钟扩大差距，J罗右路中线左脚长传，托利索突入禁区传中，瓦格纳小禁区边缘铲射被佐默扑出，蒂亚戈补射入网，3比1
51'J罗长传前场右侧                   51'拜仁第51分钟扩大差距，J罗右路中线左脚长传，托利索突入禁区传中，瓦格纳小禁区边缘铲射被佐默扑出，蒂亚戈补射入网，3比1
51'托利索下底传中                   51'拜仁第51分钟扩大差距，J罗右路中线左脚长传，托利索突入禁区传中，瓦格纳小禁区边缘铲射被佐默扑出，蒂亚戈补射入网，3比1
51'门前的第一下射门被扑出                   51'拜仁第51分钟扩大差距，J罗右路中线左脚长传，托利索突入禁区传中，瓦格纳小禁区边缘铲射被佐默扑出，蒂亚戈补射入网，3比1
51'蒂亚戈跟进补射！GOOOOOOOOOOOAL！                   51'拜仁第51分钟扩大差距，J罗右路中线左脚长传，托利索突入禁区传中，瓦格纳小禁区边缘铲射被佐默扑出，蒂亚戈补射入网，3比1
53'胡梅尔斯回传乌尔赖希                   51'拜仁第51分钟扩大差距，J罗右路中线左脚长传，托利索突入禁区传中，瓦格纳小禁区边缘铲射被佐默扑出，蒂亚戈补射入网，3比1
53'交给中场蒂亚戈                   51'拜仁第51分钟扩大差距，J罗右路中线左脚长传，托利索突入禁区传中，瓦格纳小禁区边缘铲射被佐默扑出，蒂亚戈补射入网，3比1
53'左侧斜传贝尔纳特                   51'拜仁第51分钟扩大差距，J罗右路中线左脚长传，托利索突入禁区传中，瓦格纳小禁区边缘铲射被佐默扑出，蒂亚戈补射入网，3比1
53'直塞前场左侧                   51'拜仁第51分钟扩大差距，J罗右路中线左脚长传，托利索突入禁区传中，瓦格纳小禁区边缘铲射被佐默扑出，蒂亚戈补射入网，3比1
53'阿拉巴得球踩单车下底横传                   51'拜仁第51分钟扩大差距，J罗右路中线左脚长传，托利索突入禁区传中，瓦格纳小禁区边缘铲射被佐默扑出，蒂亚戈补射入网，3比1
53'中路J罗迎球扫射                   51'拜仁第51分钟扩大差距，J罗右路中线左脚长传，托利索突入禁区传中，瓦格纳小禁区边缘铲射被佐默扑出，蒂亚戈补射入网，3比1
53'球打中立柱弹出！                   51'拜仁第51分钟扩大差距，J罗右路中线左脚长传，托利索突入禁区传中，瓦格纳小禁区边缘铲射被佐默扑出，蒂亚戈补射入网，3比1
82'胡梅尔斯短传J罗                   82'拜仁第82分钟扩大战果，基米希右路斜传，后卫头球解围失误，莱万后点胸部停球，在门前6米处推进远角，5比1
82'交给托利索，直传给中路                   82'拜仁第82分钟扩大战果，基米希右路斜传，后卫头球解围失误，莱万后点胸部停球，在门前6米处推进远角，5比1
82'被破坏出去                   82'拜仁第82分钟扩大战果，基米希右路斜传，后卫头球解围失误，莱万后点胸部停球，在门前6米处推进远角，5比1
82'基米希右侧得球推进                   82'拜仁第82分钟扩大战果，基米希右路斜传，后卫头球解围失误，莱万后点胸部停球，在门前6米处推进远角，5比1
82'挑传禁区左侧                   82'拜仁第82分钟扩大战果，基米希右路斜传，后卫头球解围失误，莱万后点胸部停球，在门前6米处推进远角，5比1
82'莱万多夫斯基停球凌空抽射                   82'拜仁第82分钟扩大战果，基米希右路斜传，后卫头球解围失误，莱万后点胸部停球，在门前6米处推进远角，5比1
82'GOOOOOOOOOOOOAL！                   82'拜仁第82分钟扩大战果，基米希右路斜传，后卫头球解围失误，莱万后点胸部停球，在门前6米处推进远角，5比1
