20'峰丶枫: 是那个 NBA的不？---你猜对了                   20'双方前20分钟的比赛陷入僵持局面
44'巴里把球回敲，曼城并不着急                   43'第43分钟，哲科禁区内被推倒未被判罚，特维斯迂回至禁区边缘的劲射偏出
45'射门次数方面曼城10比1                   43'第43分钟，哲科禁区内被推倒未被判罚，特维斯迂回至禁区边缘的劲射偏出
45'射正次数方面曼城4比0                   43'第43分钟，哲科禁区内被推倒未被判罚，特维斯迂回至禁区边缘的劲射偏出
45'上半场时间不多了，曼城还会有进球吗                   43'第43分钟，哲科禁区内被推倒未被判罚，特维斯迂回至禁区边缘的劲射偏出
46'曼城跟巴萨一样都是很善于在比赛即将结束的时候进球的                   43'第43分钟，哲科禁区内被推倒未被判罚，特维斯迂回至禁区边缘的劲射偏出
46'哲科！立柱？                   43'第43分钟，哲科禁区内被推倒未被判罚，特维斯迂回至禁区边缘的劲射偏出
46'曼城在中路打出精彩配合                   43'第43分钟，哲科禁区内被推倒未被判罚，特维斯迂回至禁区边缘的劲射偏出
46'哲科接到纳斯里的直传，转身射门！门将是用指尖把球扑出底线                   43'第43分钟，哲科禁区内被推倒未被判罚，特维斯迂回至禁区边缘的劲射偏出
46'曼城角球并没有传出威胁                   43'第43分钟，哲科禁区内被推倒未被判罚，特维斯迂回至禁区边缘的劲射偏出
46'上半场还要补时2分钟                   43'第43分钟，哲科禁区内被推倒未被判罚，特维斯迂回至禁区边缘的劲射偏出
46'下半场比赛开始                   43'第43分钟，哲科禁区内被推倒未被判罚，特维斯迂回至禁区边缘的劲射偏出
46'哲科在中场抢到了头球，速度有点慢了                   43'第43分钟，哲科禁区内被推倒未被判罚，特维斯迂回至禁区边缘的劲射偏出
47'纳斯里一扣连续的摆脱                   47'曼城半场补时第2分钟扩大比分，纳斯里扣过奥贝坦后突入禁区左侧传球，席尔瓦小禁区左上角外劲射远角入网
47'席尔瓦！！！                   47'曼城半场补时第2分钟扩大比分，纳斯里扣过奥贝坦后突入禁区左侧传球，席尔瓦小禁区左上角外劲射远角入网
47'果然进球了                   47'曼城半场补时第2分钟扩大比分，纳斯里扣过奥贝坦后突入禁区左侧传球，席尔瓦小禁区左上角外劲射远角入网
48'这球得益于纳斯里的突破吸引了对方3名后卫的注意，突然的横敲！席尔瓦小角度大力轰门！球应声入网                   47'曼城半场补时第2分钟扩大比分，纳斯里扣过奥贝坦后突入禁区左侧传球，席尔瓦小禁区左上角外劲射远角入网
47'纽卡的后卫退防很及时                   47'曼城半场补时第2分钟扩大比分，纳斯里扣过奥贝坦后突入禁区左侧传球，席尔瓦小禁区左上角外劲射远角入网
47'哲科脚下频率还是稍微慢了点                   47'曼城半场补时第2分钟扩大比分，纳斯里扣过奥贝坦后突入禁区左侧传球，席尔瓦小禁区左上角外劲射远角入网
47'刚才纽卡换下的是奥贝坦                   47'曼城半场补时第2分钟扩大比分，纳斯里扣过奥贝坦后突入禁区左侧传球，席尔瓦小禁区左上角外劲射远角入网
48'莱斯科特禁区内头球解围居然顶漏了                   47'曼城半场补时第2分钟扩大比分，纳斯里扣过奥贝坦后突入禁区左侧传球，席尔瓦小禁区左上角外劲射远角入网
48'还差点让萨巴莱塔陷入手球犯规的嫌疑之中                   47'曼城半场补时第2分钟扩大比分，纳斯里扣过奥贝坦后突入禁区左侧传球，席尔瓦小禁区左上角外劲射远角入网
48'卡巴耶脚后跟磕给西塞                   47'曼城半场补时第2分钟扩大比分，纳斯里扣过奥贝坦后突入禁区左侧传球，席尔瓦小禁区左上角外劲射远角入网
48'再打回来，卡巴耶凌空抽射，球擦着左侧立柱除出了底线                   47'曼城半场补时第2分钟扩大比分，纳斯里扣过奥贝坦后突入禁区左侧传球，席尔瓦小禁区左上角外劲射远角入网
49'纽卡这几波进攻打得有声有色                   47'曼城半场补时第2分钟扩大比分，纳斯里扣过奥贝坦后突入禁区左侧传球，席尔瓦小禁区左上角外劲射远角入网
49'曼城注意力不够集中啊                   47'曼城半场补时第2分钟扩大比分，纳斯里扣过奥贝坦后突入禁区左侧传球，席尔瓦小禁区左上角外劲射远角入网
49'纽卡又是中场断球                   47'曼城半场补时第2分钟扩大比分，纳斯里扣过奥贝坦后突入禁区左侧传球，席尔瓦小禁区左上角外劲射远角入网
49'西塞后点抢到了队友的传中，可惜球打高了                   47'曼城半场补时第2分钟扩大比分，纳斯里扣过奥贝坦后突入禁区左侧传球，席尔瓦小禁区左上角外劲射远角入网
49'边裁也举旗示意他越位在先                   47'曼城半场补时第2分钟扩大比分，纳斯里扣过奥贝坦后突入禁区左侧传球，席尔瓦小禁区左上角外劲射远角入网
48'这球得益于纳斯里的突破吸引了对方3名后卫的注意，突然的横敲！席尔瓦小角度大力轰门！球应声入网                   48'第48分钟，西索科外脚背传球，卡巴耶禁区右侧15码处劲射，皮球擦远角立柱偏出
48'莱斯科特禁区内头球解围居然顶漏了                   48'第48分钟，西索科外脚背传球，卡巴耶禁区右侧15码处劲射，皮球擦远角立柱偏出
48'还差点让萨巴莱塔陷入手球犯规的嫌疑之中                   48'第48分钟，西索科外脚背传球，卡巴耶禁区右侧15码处劲射，皮球擦远角立柱偏出
48'卡巴耶脚后跟磕给西塞                   48'第48分钟，西索科外脚背传球，卡巴耶禁区右侧15码处劲射，皮球擦远角立柱偏出
48'再打回来，卡巴耶凌空抽射，球擦着左侧立柱除出了底线                   48'第48分钟，西索科外脚背传球，卡巴耶禁区右侧15码处劲射，皮球擦远角立柱偏出
49'纽卡这几波进攻打得有声有色                   48'第48分钟，西索科外脚背传球，卡巴耶禁区右侧15码处劲射，皮球擦远角立柱偏出
49'曼城注意力不够集中啊                   48'第48分钟，西索科外脚背传球，卡巴耶禁区右侧15码处劲射，皮球擦远角立柱偏出
49'纽卡又是中场断球                   48'第48分钟，西索科外脚背传球，卡巴耶禁区右侧15码处劲射，皮球擦远角立柱偏出
49'西塞后点抢到了队友的传中，可惜球打高了                   48'第48分钟，西索科外脚背传球，卡巴耶禁区右侧15码处劲射，皮球擦远角立柱偏出
49'边裁也举旗示意他越位在先                   48'第48分钟，西索科外脚背传球，卡巴耶禁区右侧15码处劲射，皮球擦远角立柱偏出
51'纽卡左路下底传中                   48'第48分钟，西索科外脚背传球，卡巴耶禁区右侧15码处劲射，皮球擦远角立柱偏出
51'克里希抢在对方球员身前解围                   48'第48分钟，西索科外脚背传球，卡巴耶禁区右侧15码处劲射，皮球擦远角立柱偏出
51'下半场是纽卡压着曼城打啊                   48'第48分钟，西索科外脚背传球，卡巴耶禁区右侧15码处劲射，皮球擦远角立柱偏出
51'卡巴耶禁区外远射！球打高了                   48'第48分钟，西索科外脚背传球，卡巴耶禁区右侧15码处劲射，皮球擦远角立柱偏出
51'这个机会并不好                   48'第48分钟，西索科外脚背传球，卡巴耶禁区右侧15码处劲射，皮球擦远角立柱偏出
56'曼城流畅的短传配合                   56'曼城第56分钟锁定胜局，特维斯远点接角球射门被封堵挡出，巴里25码处劲射被小禁区边缘外的孔帕尼杂耍般挡入大门，3-0
56'萨巴莱塔胸部停球之后的传中，被挡出底线                   56'曼城第56分钟锁定胜局，特维斯远点接角球射门被封堵挡出，巴里25码处劲射被小禁区边缘外的孔帕尼杂耍般挡入大门，3-0
56'曼城今天的角球机会不少了                   56'曼城第56分钟锁定胜局，特维斯远点接角球射门被封堵挡出，巴里25码处劲射被小禁区边缘外的孔帕尼杂耍般挡入大门，3-0
56'孔帕尼！！！                   56'曼城第56分钟锁定胜局，特维斯远点接角球射门被封堵挡出，巴里25码处劲射被小禁区边缘外的孔帕尼杂耍般挡入大门，3-0
57'这球打得太巧了                   56'曼城第56分钟锁定胜局，特维斯远点接角球射门被封堵挡出，巴里25码处劲射被小禁区边缘外的孔帕尼杂耍般挡入大门，3-0
57'巴里的远射本来没有机会进球的，但是门前的孔帕尼外脚背一拨！反弹进门！                   56'曼城第56分钟锁定胜局，特维斯远点接角球射门被封堵挡出，巴里25码处劲射被小禁区边缘外的孔帕尼杂耍般挡入大门，3-0
57'3比0，这下曼奇尼可以放心了                   56'曼城第56分钟锁定胜局，特维斯远点接角球射门被封堵挡出，巴里25码处劲射被小禁区边缘外的孔帕尼杂耍般挡入大门，3-0
58'这要是上个赛季的曼城的话，纽卡又要被屠杀了                   56'曼城第56分钟锁定胜局，特维斯远点接角球射门被封堵挡出，巴里25码处劲射被小禁区边缘外的孔帕尼杂耍般挡入大门，3-0
59'哲科！禁区线上的抽射被门将扑出                   56'曼城第56分钟锁定胜局，特维斯远点接角球射门被封堵挡出，巴里25码处劲射被小禁区边缘外的孔帕尼杂耍般挡入大门，3-0
59'哲科两次机会，都被门将托出底线                   56'曼城第56分钟锁定胜局，特维斯远点接角球射门被封堵挡出，巴里25码处劲射被小禁区边缘外的孔帕尼杂耍般挡入大门，3-0
59'运气还是差了一些啊                   56'曼城第56分钟锁定胜局，特维斯远点接角球射门被封堵挡出，巴里25码处劲射被小禁区边缘外的孔帕尼杂耍般挡入大门，3-0
59'看人家孔帕尼，乱来一脚居然就进去了                   56'曼城第56分钟锁定胜局，特维斯远点接角球射门被封堵挡出，巴里25码处劲射被小禁区边缘外的孔帕尼杂耍般挡入大门，3-0
59'席尔瓦角球传中找前点，孔帕尼把球顶出底线了                   56'曼城第56分钟锁定胜局，特维斯远点接角球射门被封堵挡出，巴里25码处劲射被小禁区边缘外的孔帕尼杂耍般挡入大门，3-0
59'哲科！禁区线上的抽射被门将扑出                   59'第59分钟，席尔瓦开出角球，孔帕尼前点头球攻门偏出
59'哲科两次机会，都被门将托出底线                   59'第59分钟，席尔瓦开出角球，孔帕尼前点头球攻门偏出
59'运气还是差了一些啊                   59'第59分钟，席尔瓦开出角球，孔帕尼前点头球攻门偏出
59'看人家孔帕尼，乱来一脚居然就进去了                   59'第59分钟，席尔瓦开出角球，孔帕尼前点头球攻门偏出
59'席尔瓦角球传中找前点，孔帕尼把球顶出底线了                   59'第59分钟，席尔瓦开出角球，孔帕尼前点头球攻门偏出
61'纽卡的球迷在场边还在给球队加油                   59'第59分钟，席尔瓦开出角球，孔帕尼前点头球攻门偏出
61'西索科坐了个球车                   59'第59分钟，席尔瓦开出角球，孔帕尼前点头球攻门偏出
62'特维斯禁区外转身打门，被安尼塔挡出                   59'第59分钟，席尔瓦开出角球，孔帕尼前点头球攻门偏出
62'纽卡的防守确实挺烂的                   59'第59分钟，席尔瓦开出角球，孔帕尼前点头球攻门偏出
71'图雷边路突破，传中打在了倒地铲球的佩奇鞋底上变线！运气球啊                   71'第71分钟，阿圭罗换下纳斯里
71'传中变成了乌龙                   71'第71分钟，阿圭罗换下纳斯里
71'纳斯里被阿奎罗换下                   71'第71分钟，阿圭罗换下纳斯里
72'曼城这下可以放松打了                   71'第71分钟，阿圭罗换下纳斯里
73'挚爱小西巴萨-虹口连辽:球心，刚在想问你亚亚图雷还闹续约的事么，结果他立马进了……---还在闹啊                   71'第71分钟，阿圭罗换下纳斯里
74'曼城继续换人，孔帕尼被加西亚换下                   71'第71分钟，阿圭罗换下纳斯里
74'纽卡也换下了他们的队长                   71'第71分钟，阿圭罗换下纳斯里
74'卡巴耶被比吉里马纳换下                   71'第71分钟，阿圭罗换下纳斯里
80'纽卡终于觅得机会，戈斯林一脚推射却打得太正了                   79'第79分钟，古铁雷斯传球，戈斯林禁区边缘内低射被乔-哈特没收
81'下半场比赛加上补时时间大约还有13分钟左右                   79'第79分钟，古铁雷斯传球，戈斯林禁区边缘内低射被乔-哈特没收
81'纽卡要趁此机会挽回一点颜面                   79'第79分钟，古铁雷斯传球，戈斯林禁区边缘内低射被乔-哈特没收
82'比吉里马纳边路插上被吹了越位                   79'第79分钟，古铁雷斯传球，戈斯林禁区边缘内低射被乔-哈特没收
82'席尔瓦倒地受伤了？                   79'第79分钟，古铁雷斯传球，戈斯林禁区边缘内低射被乔-哈特没收
90'阿奎罗今天替补上场之后还没有得到过什么机会                   90'第90分钟，古铁雷斯传球，西索科禁区前射门偏出
90'虽然曼城现在是3前锋，但是中场少了纳斯里跟席尔瓦                   90'第90分钟，古铁雷斯传球，西索科禁区前射门偏出
90'创造力还是下降了很多啊                   90'第90分钟，古铁雷斯传球，西索科禁区前射门偏出
90'西索科尝试了一脚远射，偏得有些离谱                   90'第90分钟，古铁雷斯传球，西索科禁区前射门偏出
91'下半场只补时2分钟                   90'第90分钟，古铁雷斯传球，西索科禁区前射门偏出
92'都没有什么机会，比赛即将结束了                   90'第90分钟，古铁雷斯传球，西索科禁区前射门偏出
