4'鲁能泰山队后场控球，转移到左路进攻                   4'开场仅仅4分钟，客场作战的山东鲁能便迅速打破了场上僵局
37'蒙特罗中路拿球，戴琳防守犯规                   37'第37分钟，天津泰达获得任意球，蒙特罗弧线球传中，约万诺维奇头球破门，但约万诺维奇越位在先，进球无效
38'蒙特罗主罚任意球开到禁区内，约万诺维奇头球顶门球进，但进球无效，越位在先！                   37'第37分钟，天津泰达获得任意球，蒙特罗弧线球传中，约万诺维奇头球破门，但约万诺维奇越位在先，进球无效
39'天津泰达队中场抢断，蒙特罗左路拿球，帕皮斯-西塞抢球犯规                   37'第37分钟，天津泰达获得任意球，蒙特罗弧线球传中，约万诺维奇头球破门，但约万诺维奇越位在先，进球无效
52'天津泰达队左路突破，传中球从另一侧飞出底线                   52'下半场易边再战，第52分钟，刘彬彬带球到禁区前分边路，跟进的齐天羽边路弧线球传中，早已埋伏在禁区内的佩莱抢在防守队员之前凌空抽射打入球门上角，山东鲁能3-0领先
52'鲁能泰山队再入一球，佩莱！！3-0                   52'下半场易边再战，第52分钟，刘彬彬带球到禁区前分边路，跟进的齐天羽边路弧线球传中，早已埋伏在禁区内的佩莱抢在防守队员之前凌空抽射打入球门上角，山东鲁能3-0领先
53'刘彬彬突破分边，齐天羽横传禁区，佩莱凌空打门，球进了！！！                   52'下半场易边再战，第52分钟，刘彬彬带球到禁区前分边路，跟进的齐天羽边路弧线球传中，早已埋伏在禁区内的佩莱抢在防守队员之前凌空抽射打入球门上角，山东鲁能3-0领先
54'天津泰达队进攻到前场，横向转移，球出边线                   52'下半场易边再战，第52分钟，刘彬彬带球到禁区前分边路，跟进的齐天羽边路弧线球传中，早已埋伏在禁区内的佩莱抢在防守队员之前凌空抽射打入球门上角，山东鲁能3-0领先
55'鲁能泰山队后场断球，帕皮斯-西塞带球右路突破，赞纳迪内一记飞铲踢出边线                   52'下半场易边再战，第52分钟，刘彬彬带球到禁区前分边路，跟进的齐天羽边路弧线球传中，早已埋伏在禁区内的佩莱抢在防守队员之前凌空抽射打入球门上角，山东鲁能3-0领先
56'李源一拚抢时踢倒刘彬彬                   56'第56分钟，山东鲁能率先调整，宋龙替下张弛
56'鲁能泰山队换人，宋龙上场换下张弛                   56'第56分钟，山东鲁能率先调整，宋龙替下张弛
57'鲁能泰山队后场长传。帕皮斯-西塞停球出界                   56'第56分钟，山东鲁能率先调整，宋龙替下张弛
58'齐天羽界外球掷向对方禁区，马里克.埃沃纳将球踢在吉尔身上出了边线                   56'第56分钟，山东鲁能率先调整，宋龙替下张弛
59'曹阳突破遭拦截，鲁能泰山队快速发动反击，直传球出了底线                   56'第56分钟，山东鲁能率先调整，宋龙替下张弛
61'天津泰达队换人，迪亚涅上场换下赞纳迪内                   61'第61分钟，刘彬彬边路倒钩过人后突入禁区直面门将，他冷静扣过封堵曹阳后横传门前，但被补防后卫抢在金敬道之前将球挡出，刘彬彬得球再射，球被杨启鹏抱住
63'刘彬彬右路突破，横切禁区，停球一扣。横传门前，防守队员已经跟上来了                   61'第61分钟，刘彬彬边路倒钩过人后突入禁区直面门将，他冷静扣过封堵曹阳后横传门前，但被补防后卫抢在金敬道之前将球挡出，刘彬彬得球再射，球被杨启鹏抱住
63'天津泰达队门前一片混乱                   61'第61分钟，刘彬彬边路倒钩过人后突入禁区直面门将，他冷静扣过封堵曹阳后横传门前，但被补防后卫抢在金敬道之前将球挡出，刘彬彬得球再射，球被杨启鹏抱住
63'最后杨启鹏将球扑住                   61'第61分钟，刘彬彬边路倒钩过人后突入禁区直面门将，他冷静扣过封堵曹阳后横传门前，但被补防后卫抢在金敬道之前将球挡出，刘彬彬得球再射，球被杨启鹏抱住
64'李松益上场换下戴琳                   61'第61分钟，刘彬彬边路倒钩过人后突入禁区直面门将，他冷静扣过封堵曹阳后横传门前，但被补防后卫抢在金敬道之前将球挡出，刘彬彬得球再射，球被杨启鹏抱住
70'刚刚迪亚涅的左手打在齐天羽的脸上                   70'第70分钟，埃沃纳在抢点时撞倒王大雷，被黄牌警告
70'吉尔抢球时犯规                   70'第70分钟，埃沃纳在抢点时撞倒王大雷，被黄牌警告
71'惠家康主罚任意球开到禁区，王大雷出击打出                   70'第70分钟，埃沃纳在抢点时撞倒王大雷，被黄牌警告
72'马里克.埃沃纳禁区冲撞门将了，被主裁判出示黄牌警告                   70'第70分钟，埃沃纳在抢点时撞倒王大雷，被黄牌警告
73'惠家康横传，周海滨直传给到迪亚涅                   70'第70分钟，埃沃纳在抢点时撞倒王大雷，被黄牌警告
74'蒙特罗过顶球给到禁区，迪亚涅打门球进，但裁判示意越位了                   74'第74分钟，蒙特罗禁区外突施冷箭造成王大雷脱手，好在后卫及时解围出底线
75'天津泰达队右路突破，蒙特罗禁区外远射，王大雷扑球脱手，宋龙跟上解围                   74'第74分钟，蒙特罗禁区外突施冷箭造成王大雷脱手，好在后卫及时解围出底线
76'蒙特罗主罚角球开到禁区内，后点头球摆渡，迪亚涅头球攻门，王大雷果断扑出                   74'第74分钟，蒙特罗禁区外突施冷箭造成王大雷脱手，好在后卫及时解围出底线
77'齐天羽右路传中，佩莱头球顶了一下，杨启鹏没收                   74'第74分钟，蒙特罗禁区外突施冷箭造成王大雷脱手，好在后卫及时解围出底线
82'曹阳过顶球达到禁区，迪亚涅抢点打门，王大雷没收                   80'第80分钟，埃沃纳做球，迪亚涅跟进推射又被王大雷倒地挡出
83'李松益右路直传，齐天羽横传给到帕皮斯-西塞脚下                   80'第80分钟，埃沃纳做球，迪亚涅跟进推射又被王大雷倒地挡出
84'帕皮斯-西塞直传禁区，蒿俊闵快速前插打门，裁判示意越位了                   84'第84分钟，蒿俊闵挑传，刘彬彬边路突破形成空当后横传门前，金敬道快速抢点射门被杨启鹏挡出，佩莱头球重锤破门完成梅开二度，山东鲁能4-0领先
84'鲁能泰山队又进球了，佩莱梅开二度                   84'第84分钟，蒿俊闵挑传，刘彬彬边路突破形成空当后横传门前，金敬道快速抢点射门被杨启鹏挡出，佩莱头球重锤破门完成梅开二度，山东鲁能4-0领先
86'刘彬彬右路传中，金敬道回传，帕皮斯-西塞打门被杨启鹏挡出，佩莱跟近补射，将比分扩大为4-0                   84'第84分钟，蒿俊闵挑传，刘彬彬边路突破形成空当后横传门前，金敬道快速抢点射门被杨启鹏挡出，佩莱头球重锤破门完成梅开二度，山东鲁能4-0领先
86'吴兴涵上场换下金敬道                   84'第84分钟，蒿俊闵挑传，刘彬彬边路突破形成空当后横传门前，金敬道快速抢点射门被杨启鹏挡出，佩莱头球重锤破门完成梅开二度，山东鲁能4-0领先
