1'上半场比赛开始！                   1'刚开场1分钟，高迪在左路被苏祖被放倒，申花获得任意球机会
22'李建滨禁区前防守推人犯规                   21'第21分钟李建滨身后冲撞武磊吃到黄牌
22'裁判黄牌警告了李建滨                   21'第21分钟李建滨身后冲撞武磊吃到黄牌
23'离门26米，正好适合孔卡左脚的发挥                   21'第21分钟李建滨身后冲撞武磊吃到黄牌
24'孔卡任意球直接射近角，稍偏！                   21'第21分钟李建滨身后冲撞武磊吃到黄牌
24'卡希尔头球摆渡，高迪插上没有拿下                   21'第21分钟李建滨身后冲撞武磊吃到黄牌
25'卡希尔再做球找左路高迪，傅欢先解围出边线                   25'第25分钟柏佳骏拉拽了孔卡一下，又吃到黄牌
26'柏佳俊左路和莫雷诺配合失误                   25'第25分钟柏佳骏拉拽了孔卡一下，又吃到黄牌
26'孔卡断球反击，柏佳俊伸手阻挡                   25'第25分钟柏佳骏拉拽了孔卡一下，又吃到黄牌
26'裁判不出意外给了柏佳俊黄牌                   25'第25分钟柏佳骏拉拽了孔卡一下，又吃到黄牌
27'穿过你发的手：平常心不行。八万人喧啸令人热血发冲，太火药味，减低技战术发挥，又罚下人精彩度降低不少。                   25'第25分钟柏佳骏拉拽了孔卡一下，又吃到黄牌
28'上港长传右路，武磊插上下底                   25'第25分钟柏佳骏拉拽了孔卡一下，又吃到黄牌
28'武磊横扫门前，没有队友包抄到位                   25'第25分钟柏佳骏拉拽了孔卡一下，又吃到黄牌
28'帕帕中场防守对孔卡犯规                   25'第25分钟柏佳骏拉拽了孔卡一下，又吃到黄牌
28'于海左路突破，被帕帕绊倒                   25'第25分钟柏佳骏拉拽了孔卡一下，又吃到黄牌
60'王长庆接应长传，球大了出底线                   60'由于马宁出牌和判罚过频，导致比赛连续性被严重阻断，双方队员除了惯性拼抢和拦截，比赛的感觉似乎都被压制住了，在随后15分钟比赛里，也只有王S、莫雷诺和达维三脚威胁不大的远射
61'达维后场拼抢手触球，申花任意球                   60'由于马宁出牌和判罚过频，导致比赛连续性被严重阻断，双方队员除了惯性拼抢和拦截，比赛的感觉似乎都被压制住了，在随后15分钟比赛里，也只有王S、莫雷诺和达维三脚威胁不大的远射
61'王赟任意球开出，汪佳捷头球解围，角球                   60'由于马宁出牌和判罚过频，导致比赛连续性被严重阻断，双方队员除了惯性拼抢和拦截，比赛的感觉似乎都被压制住了，在随后15分钟比赛里，也只有王S、莫雷诺和达维三脚威胁不大的远射
62'角球到中路，颜骏凌出击把球打出禁区                   60'由于马宁出牌和判罚过频，导致比赛连续性被严重阻断，双方队员除了惯性拼抢和拦截，比赛的感觉似乎都被压制住了，在随后15分钟比赛里，也只有王S、莫雷诺和达维三脚威胁不大的远射
62'孔卡大脚长传，耿晓峰出击禁区外鱼跃头球解围                   60'由于马宁出牌和判罚过频，导致比赛连续性被严重阻断，双方队员除了惯性拼抢和拦截，比赛的感觉似乎都被压制住了，在随后15分钟比赛里，也只有王S、莫雷诺和达维三脚威胁不大的远射
63'武磊中圈直接吊门，稍高出横梁！                   60'由于马宁出牌和判罚过频，导致比赛连续性被严重阻断，双方队员除了惯性拼抢和拦截，比赛的感觉似乎都被压制住了，在随后15分钟比赛里，也只有王S、莫雷诺和达维三脚威胁不大的远射
63'苏祖长传右路，孙祥拦截                   60'由于马宁出牌和判罚过频，导致比赛连续性被严重阻断，双方队员除了惯性拼抢和拦截，比赛的感觉似乎都被压制住了，在随后15分钟比赛里，也只有王S、莫雷诺和达维三脚威胁不大的远射
49'孔卡任意球射门没有过人墙                   48'半场补时3分钟，第46分钟武磊左路切入后传球，海森射门被李建滨挡出，上港外围再攻，达维背身拿球摆脱时被苏祖拽倒，双方排人墙时李建滨推倒蔡慧康险些再造意外
49'球到外围柏佳俊和傅欢争2分之1球，铲倒傅欢                   48'半场补时3分钟，第46分钟武磊左路切入后传球，海森射门被李建滨挡出，上港外围再攻，达维背身拿球摆脱时被苏祖拽倒，双方排人墙时李建滨推倒蔡慧康险些再造意外
49'柏佳俊吃到第二张黄牌，两黄变一红罚下                   48'半场补时3分钟，第46分钟武磊左路切入后传球，海森射门被李建滨挡出，上港外围再攻，达维背身拿球摆脱时被苏祖拽倒，双方排人墙时李建滨推倒蔡慧康险些再造意外
50'慢镜头显示，这是一次贴地的铲球，而且铲到了球，但是判罚不可逆转了                   48'半场补时3分钟，第46分钟武磊左路切入后传球，海森射门被李建滨挡出，上港外围再攻，达维背身拿球摆脱时被苏祖拽倒，双方排人墙时李建滨推倒蔡慧康险些再造意外
50'铲到球的同时，也铲到了傅欢，还是任意球                   48'半场补时3分钟，第46分钟武磊左路切入后传球，海森射门被李建滨挡出，上港外围再攻，达维背身拿球摆脱时被苏祖拽倒，双方排人墙时李建滨推倒蔡慧康险些再造意外
51'上港进球了！！！                   48'半场补时3分钟，第46分钟武磊左路切入后传球，海森射门被李建滨挡出，上港外围再攻，达维背身拿球摆脱时被苏祖拽倒，双方排人墙时李建滨推倒蔡慧康险些再造意外
48'乌龙！                   48'半场补时3分钟，第46分钟武磊左路切入后传球，海森射门被李建滨挡出，上港外围再攻，达维背身拿球摆脱时被苏祖拽倒，双方排人墙时李建滨推倒蔡慧康险些再造意外
48'孔卡任意球到门前折射，球打在帕帕身上弹进球门！                   48'半场补时3分钟，第46分钟武磊左路切入后传球，海森射门被李建滨挡出，上港外围再攻，达维背身拿球摆脱时被苏祖拽倒，双方排人墙时李建滨推倒蔡慧康险些再造意外
48'上港2-0领先申花！                   48'半场补时3分钟，第46分钟武磊左路切入后传球，海森射门被李建滨挡出，上港外围再攻，达维背身拿球摆脱时被苏祖拽倒，双方排人墙时李建滨推倒蔡慧康险些再造意外
49'孙祥斜传右路，先出边线                   48'半场补时3分钟，第46分钟武磊左路切入后传球，海森射门被李建滨挡出，上港外围再攻，达维背身拿球摆脱时被苏祖拽倒，双方排人墙时李建滨推倒蔡慧康险些再造意外
50'用户5585526245 ：还看视频直播去现场看看吧，我是中立的都觉得裁判不行事，都觉得有问题，第一要做的不是出牌在出牌，口头警告都没有，控制比赛也不行，就 是用牌说话？那别踢了，守门员和守 门员互相吊门玩                   48'半场补时3分钟，第46分钟武磊左路切入后传球，海森射门被李建滨挡出，上港外围再攻，达维背身拿球摆脱时被苏祖拽倒，双方排人墙时李建滨推倒蔡慧康险些再造意外
50'熊飞找禁区前的莫雷诺，后者没有争顶到                   48'半场补时3分钟，第46分钟武磊左路切入后传球，海森射门被李建滨挡出，上港外围再攻，达维背身拿球摆脱时被苏祖拽倒，双方排人墙时李建滨推倒蔡慧康险些再造意外
51'孔卡右路拿球，横敲与武磊配合                   48'半场补时3分钟，第46分钟武磊左路切入后传球，海森射门被李建滨挡出，上港外围再攻，达维背身拿球摆脱时被苏祖拽倒，双方排人墙时李建滨推倒蔡慧康险些再造意外
46'孔卡突分，没有给到海森脚下                   46'第46分钟高迪在右路犯规，孔卡左路任意球开到禁区，苏祖打算后脚跟钩球解围，但球被他钩到中路，正打中躲闪不及的帕帕胸部上，折射飞入大门，2比0，上港扩大比分
46'武磊左路拿球，调整一步传中直接出底线                   46'第46分钟高迪在右路犯规，孔卡左路任意球开到禁区，苏祖打算后脚跟钩球解围，但球被他钩到中路，正打中躲闪不及的帕帕胸部上，折射飞入大门，2比0，上港扩大比分
47'达维分左路，武磊横敲中路                   46'第46分钟高迪在右路犯规，孔卡左路任意球开到禁区，苏祖打算后脚跟钩球解围，但球被他钩到中路，正打中躲闪不及的帕帕胸部上，折射飞入大门，2比0，上港扩大比分
47'海森左脚低射被封堵                   46'第46分钟高迪在右路犯规，孔卡左路任意球开到禁区，苏祖打算后脚跟钩球解围，但球被他钩到中路，正打中躲闪不及的帕帕胸部上，折射飞入大门，2比0，上港扩大比分
47'达维左路内切被苏祖放倒，禁区前的任意球                   46'第46分钟高迪在右路犯规，孔卡左路任意球开到禁区，苏祖打算后脚跟钩球解围，但球被他钩到中路，正打中躲闪不及的帕帕胸部上，折射飞入大门，2比0，上港扩大比分
49'孔卡任意球射门没有过人墙                   46'第46分钟高迪在右路犯规，孔卡左路任意球开到禁区，苏祖打算后脚跟钩球解围，但球被他钩到中路，正打中躲闪不及的帕帕胸部上，折射飞入大门，2比0，上港扩大比分
49'球到外围柏佳俊和傅欢争2分之1球，铲倒傅欢                   46'第46分钟高迪在右路犯规，孔卡左路任意球开到禁区，苏祖打算后脚跟钩球解围，但球被他钩到中路，正打中躲闪不及的帕帕胸部上，折射飞入大门，2比0，上港扩大比分
49'柏佳俊吃到第二张黄牌，两黄变一红罚下                   46'第46分钟高迪在右路犯规，孔卡左路任意球开到禁区，苏祖打算后脚跟钩球解围，但球被他钩到中路，正打中躲闪不及的帕帕胸部上，折射飞入大门，2比0，上港扩大比分
46'下半场比赛开始！                   46'第46分钟高迪在右路犯规，孔卡左路任意球开到禁区，苏祖打算后脚跟钩球解围，但球被他钩到中路，正打中躲闪不及的帕帕胸部上，折射飞入大门，2比0，上港扩大比分
46'上港中圈开球                   46'第46分钟高迪在右路犯规，孔卡左路任意球开到禁区，苏祖打算后脚跟钩球解围，但球被他钩到中路，正打中躲闪不及的帕帕胸部上，折射飞入大门，2比0，上港扩大比分
46'武磊右路接应，越位了                   46'第46分钟高迪在右路犯规，孔卡左路任意球开到禁区，苏祖打算后脚跟钩球解围，但球被他钩到中路，正打中躲闪不及的帕帕胸部上，折射飞入大门，2比0，上港扩大比分
46'莫雷诺前场卸球，被蔡慧康断走                   46'第46分钟高迪在右路犯规，孔卡左路任意球开到禁区，苏祖打算后脚跟钩球解围，但球被他钩到中路，正打中躲闪不及的帕帕胸部上，折射飞入大门，2比0，上港扩大比分
46'孔卡斜传左路，于海拿球横敲                   46'第46分钟高迪在右路犯规，孔卡左路任意球开到禁区，苏祖打算后脚跟钩球解围，但球被他钩到中路，正打中躲闪不及的帕帕胸部上，折射飞入大门，2比0，上港扩大比分
47'孙祥左路接应挑传，被高迪绊倒，任意球                   46'第46分钟高迪在右路犯规，孔卡左路任意球开到禁区，苏祖打算后脚跟钩球解围，但球被他钩到中路，正打中躲闪不及的帕帕胸部上，折射飞入大门，2比0，上港扩大比分
47'上港又进了！                   46'第46分钟高迪在右路犯规，孔卡左路任意球开到禁区，苏祖打算后脚跟钩球解围，但球被他钩到中路，正打中躲闪不及的帕帕胸部上，折射飞入大门，2比0，上港扩大比分
48'乌龙！                   46'第46分钟高迪在右路犯规，孔卡左路任意球开到禁区，苏祖打算后脚跟钩球解围，但球被他钩到中路，正打中躲闪不及的帕帕胸部上，折射飞入大门，2比0，上港扩大比分
48'孔卡任意球到门前折射，球打在帕帕身上弹进球门！                   46'第46分钟高迪在右路犯规，孔卡左路任意球开到禁区，苏祖打算后脚跟钩球解围，但球被他钩到中路，正打中躲闪不及的帕帕胸部上，折射飞入大门，2比0，上港扩大比分
48'上港2-0领先申花！                   46'第46分钟高迪在右路犯规，孔卡左路任意球开到禁区，苏祖打算后脚跟钩球解围，但球被他钩到中路，正打中躲闪不及的帕帕胸部上，折射飞入大门，2比0，上港扩大比分
49'孙祥斜传右路，先出边线                   46'第46分钟高迪在右路犯规，孔卡左路任意球开到禁区，苏祖打算后脚跟钩球解围，但球被他钩到中路，正打中躲闪不及的帕帕胸部上，折射飞入大门，2比0，上港扩大比分
53'高迪前场身体卡位撞倒孙祥，被吹犯规                   53'第53分钟申花用王长庆换下莫雷诺，卡希尔此时扔掉面具作战
53'上港再进一球！                   53'第53分钟申花用王长庆换下莫雷诺，卡希尔此时扔掉面具作战
53'武磊！！                   53'第53分钟申花用王长庆换下莫雷诺，卡希尔此时扔掉面具作战
54'武磊接应斜传，右路突入禁区，小角度射门打远角入网！                   53'第53分钟申花用王长庆换下莫雷诺，卡希尔此时扔掉面具作战
54'上港3-0领先申花                   53'第53分钟申花用王长庆换下莫雷诺，卡希尔此时扔掉面具作战
54'申花换人，莫雷诺被王长庆换下                   53'第53分钟申花用王长庆换下莫雷诺，卡希尔此时扔掉面具作战
55'卡希尔前场卸球，被吹了手球                   53'第53分钟申花用王长庆换下莫雷诺，卡希尔此时扔掉面具作战
55'卡希尔气的直接把面罩扔出了场外                   53'第53分钟申花用王长庆换下莫雷诺，卡希尔此时扔掉面具作战
56'蔡慧康中场被卡希尔伸腿绊倒，但是这次裁判没有给牌                   53'第53分钟申花用王长庆换下莫雷诺，卡希尔此时扔掉面具作战
56'有点故意的成分                   53'第53分钟申花用王长庆换下莫雷诺，卡希尔此时扔掉面具作战
56'上港左路连续配合，王长庆断球了                   53'第53分钟申花用王长庆换下莫雷诺，卡希尔此时扔掉面具作战
56'申花继续换人，恩里克换下卡希尔                   53'第53分钟申花用王长庆换下莫雷诺，卡希尔此时扔掉面具作战
58'角球被解围，上港反击                   58'第58分钟恩里克和汪佳捷狠狠撞在一起，好在没出大事故
58'于海左路带球稍大，李建滨断球回给门将                   58'第58分钟恩里克和汪佳捷狠狠撞在一起，好在没出大事故
59'恩里克和汪佳捷身体接触，双双倒地                   58'第58分钟恩里克和汪佳捷狠狠撞在一起，好在没出大事故
59'HX-789：知道裁判的尺度还敢这样犯规只能说明球员水平和球商有问题                   58'第58分钟恩里克和汪佳捷狠狠撞在一起，好在没出大事故
60'王长庆接应长传，球大了出底线                   58'第58分钟恩里克和汪佳捷狠狠撞在一起，好在没出大事故
61'达维后场拼抢手触球，申花任意球                   58'第58分钟恩里克和汪佳捷狠狠撞在一起，好在没出大事故
61'王赟任意球开出，汪佳捷头球解围，角球                   58'第58分钟恩里克和汪佳捷狠狠撞在一起，好在没出大事故
63'武磊中圈直接吊门，稍高出横梁！                   63'第63分钟进球再次来到，傅欢右路直塞球到禁区，孔卡脚底拉球过掉苏祖，但同时他失去重心摔倒，好一个孔卡，倒在地上用右脚起高球到后点，海森球门后点跃起头球，4比0
63'苏祖长传右路，孙祥拦截                   63'第63分钟进球再次来到，傅欢右路直塞球到禁区，孔卡脚底拉球过掉苏祖，但同时他失去重心摔倒，好一个孔卡，倒在地上用右脚起高球到后点，海森球门后点跃起头球，4比0
64'上港再进一个！                   63'第63分钟进球再次来到，傅欢右路直塞球到禁区，孔卡脚底拉球过掉苏祖，但同时他失去重心摔倒，好一个孔卡，倒在地上用右脚起高球到后点，海森球门后点跃起头球，4比0
64'海森！                   63'第63分钟进球再次来到，傅欢右路直塞球到禁区，孔卡脚底拉球过掉苏祖，但同时他失去重心摔倒，好一个孔卡，倒在地上用右脚起高球到后点，海森球门后点跃起头球，4比0
64'上港禁区前连续配合，孔卡下底传中，后点海森头球破门！                   63'第63分钟进球再次来到，傅欢右路直塞球到禁区，孔卡脚底拉球过掉苏祖，但同时他失去重心摔倒，好一个孔卡，倒在地上用右脚起高球到后点，海森球门后点跃起头球，4比0
64'上港4-0领先申花！                   63'第63分钟进球再次来到，傅欢右路直塞球到禁区，孔卡脚底拉球过掉苏祖，但同时他失去重心摔倒，好一个孔卡，倒在地上用右脚起高球到后点，海森球门后点跃起头球，4比0
65'看起来李建滨也被罚下了                   63'第63分钟进球再次来到，傅欢右路直塞球到禁区，孔卡脚底拉球过掉苏祖，但同时他失去重心摔倒，好一个孔卡，倒在地上用右脚起高球到后点，海森球门后点跃起头球，4比0
66'就在重播进球慢镜头结束的时候，李建滨也被罚下了                   63'第63分钟进球再次来到，傅欢右路直塞球到禁区，孔卡脚底拉球过掉苏祖，但同时他失去重心摔倒，好一个孔卡，倒在地上用右脚起高球到后点，海森球门后点跃起头球，4比0
66'申花中圈开球，直接踢出边线                   63'第63分钟进球再次来到，傅欢右路直塞球到禁区，孔卡脚底拉球过掉苏祖，但同时他失去重心摔倒，好一个孔卡，倒在地上用右脚起高球到后点，海森球门后点跃起头球，4比0
66'李建滨也是吃到了第二张黄牌，两黄变一红                   63'第63分钟进球再次来到，傅欢右路直塞球到禁区，孔卡脚底拉球过掉苏祖，但同时他失去重心摔倒，好一个孔卡，倒在地上用右脚起高球到后点，海森球门后点跃起头球，4比0
68'申花换人，陶金换下高迪                   68'第68分钟陶金出场换下高迪
69'用户1396345795：这样踢，好看么？？？                   68'第68分钟陶金出场换下高迪
69'王赟左路任意球去门前，被颜骏凌没收                   68'第68分钟陶金出场换下高迪
70'孙祥分左路于海，上港继续外围倒球                   68'第68分钟陶金出场换下高迪
70'孙祥左路传中，海森插上头球没顶上                   68'第68分钟陶金出场换下高迪
71'上港再进一球！                   68'第68分钟陶金出场换下高迪
71'海森！                   68'第68分钟陶金出场换下高迪
71'右路傅欢拿球，再传中，海森门前头球点射破门！                   68'第68分钟陶金出场换下高迪
71'上港5-0领先申花                   68'第68分钟陶金出场换下高迪
71'上港换人，吕文君换下蔡慧康                   68'第68分钟陶金出场换下高迪
76'孙祥传中， 武磊头球中柱                   76'第76分钟孙祥左路传中，武磊头球打中门柱，再弹到耿晓峰身上弹出
76'吕文君的补射也打在立柱上弹出                   76'第76分钟孙祥左路传中，武磊头球打中门柱，再弹到耿晓峰身上弹出
76'孔卡外围远射打高                   76'第76分钟孙祥左路传中，武磊头球打中门柱，再弹到耿晓峰身上弹出
77'达维中场放倒帕帕                   76'第76分钟孙祥左路传中，武磊头球打中门柱，再弹到耿晓峰身上弹出
77'吕文君禁区前调整一步，右脚低射被耿晓峰扑住                   76'第76分钟孙祥左路传中，武磊头球打中门柱，再弹到耿晓峰身上弹出
78'帕帕防守踢倒了吕文君                   76'第76分钟孙祥左路传中，武磊头球打中门柱，再弹到耿晓峰身上弹出
78'但是这次比较大的犯规，裁判反而只是口头警告                   76'第76分钟孙祥左路传中，武磊头球打中门柱，再弹到耿晓峰身上弹出
80'达维禁区内抢二点，扣一步打高！                   79'第79分钟帕帕禁区外围对吕文君凶狠犯规，但马宁此时不打算掏牌了，孔卡任意球打在人墙上弹出
80'吕文君左路传中，没有过顶                   79'第79分钟帕帕禁区外围对吕文君凶狠犯规，但马宁此时不打算掏牌了，孔卡任意球打在人墙上弹出
80'上港换人，埃弗拉换下海森                   79'第79分钟帕帕禁区外围对吕文君凶狠犯规，但马宁此时不打算掏牌了，孔卡任意球打在人墙上弹出
82'孔卡左路拿球，直接小角度远射打偏                   79'第79分钟帕帕禁区外围对吕文君凶狠犯规，但马宁此时不打算掏牌了，孔卡任意球打在人墙上弹出
82'帕帕中场勾倒达维，又没有吃牌                   79'第79分钟帕帕禁区外围对吕文君凶狠犯规，但马宁此时不打算掏牌了，孔卡任意球打在人墙上弹出
82'孔卡左路拿球，直接小角度远射打偏                   82'第82分钟埃弗拉换下海森
82'帕帕中场勾倒达维，又没有吃牌                   82'第82分钟埃弗拉换下海森
83'被遗忘的微尘世界：20年申花球迷，这场比赛申花心态有很大问题，真是输球又输人，裁判的几个判罚没有什麽大问题                   82'第82分钟埃弗拉换下海森
83'孔卡传中，达维拿球转身射门被耿晓峰扑出                   82'第82分钟埃弗拉换下海森
83'武磊补射被熊飞挡出底线                   82'第82分钟埃弗拉换下海森
84'孔卡角球直接旋近角，耿晓峰把球扑出去                   82'第82分钟埃弗拉换下海森
84'孔卡右路内切，射门被封堵                   82'第82分钟埃弗拉换下海森
85'比赛还有最后的几分钟                   82'第82分钟埃弗拉换下海森
87'达维禁区前远射取死角，耿晓峰飞身扑出！                   87'第87分钟达维禁区外25米突然发炮，耿晓峰全力腾空而起，单掌把球打出界外
90'通通强1979：我发现裁判怂了，不敢给牌了                   87'第87分钟达维禁区外25米突然发炮，耿晓峰全力腾空而起，单掌把球打出界外
90'孔卡左路出球之后被王长庆绊倒                   87'第87分钟达维禁区外25米突然发炮，耿晓峰全力腾空而起，单掌把球打出界外
