6'格雷茨卡给前场右侧基米希！                   5'开场5分钟，拜仁首次射门就取得领先
65'拜仁慕尼黑长传球给前场禁区！                   65'拜仁第65分钟错过良机，楚贝尔斜传禁区右侧，尼古拉-冈萨雷斯左脚推射连续反弹后被诺伊尔得到，拜仁马上反攻，莱万禁区右侧被肯普夫绊倒，点球
65'莱万多夫斯基得球突破！                   65'拜仁第65分钟错过良机，楚贝尔斜传禁区右侧，尼古拉-冈萨雷斯左脚推射连续反弹后被诺伊尔得到，拜仁马上反攻，莱万禁区右侧被肯普夫绊倒，点球
65'禁区内被肯普夫放倒！                   65'拜仁第65分钟错过良机，楚贝尔斜传禁区右侧，尼古拉-冈萨雷斯左脚推射连续反弹后被诺伊尔得到，拜仁马上反攻，莱万禁区右侧被肯普夫绊倒，点球
65'裁判给了拜仁慕尼黑点球！                   65'拜仁第65分钟错过良机，楚贝尔斜传禁区右侧，尼古拉-冈萨雷斯左脚推射连续反弹后被诺伊尔得到，拜仁马上反攻，莱万禁区右侧被肯普夫绊倒，点球
66'莱万多夫斯基点球踢中了右侧立柱弹出！                   65'拜仁第65分钟错过良机，楚贝尔斜传禁区右侧，尼古拉-冈萨雷斯左脚推射连续反弹后被诺伊尔得到，拜仁马上反攻，莱万禁区右侧被肯普夫绊倒，点球
67'莱万多夫斯基把点球罚丢了！                   65'拜仁第65分钟错过良机，楚贝尔斜传禁区右侧，尼古拉-冈萨雷斯左脚推射连续反弹后被诺伊尔得到，拜仁马上反攻，莱万禁区右侧被肯普夫绊倒，点球
68'拜仁慕尼黑后场右侧边线球！                   65'拜仁第65分钟错过良机，楚贝尔斜传禁区右侧，尼古拉-冈萨雷斯左脚推射连续反弹后被诺伊尔得到，拜仁马上反攻，莱万禁区右侧被肯普夫绊倒，点球
68'发球给中路胡梅尔斯！                   65'拜仁第65分钟错过良机，楚贝尔斜传禁区右侧，尼古拉-冈萨雷斯左脚推射连续反弹后被诺伊尔得到，拜仁马上反攻，莱万禁区右侧被肯普夫绊倒，点球
68'斜传球给中圈里面！                   65'拜仁第65分钟错过良机，楚贝尔斜传禁区右侧，尼古拉-冈萨雷斯左脚推射连续反弹后被诺伊尔得到，拜仁马上反攻，莱万禁区右侧被肯普夫绊倒，点球
68'科曼带球推进！                   65'拜仁第65分钟错过良机，楚贝尔斜传禁区右侧，尼古拉-冈萨雷斯左脚推射连续反弹后被诺伊尔得到，拜仁马上反攻，莱万禁区右侧被肯普夫绊倒，点球
68'给右边路托马斯-穆勒！                   65'拜仁第65分钟错过良机，楚贝尔斜传禁区右侧，尼古拉-冈萨雷斯左脚推射连续反弹后被诺伊尔得到，拜仁马上反攻，莱万禁区右侧被肯普夫绊倒，点球
68'皮球被安德烈亚斯-贝克解围！                   65'拜仁第65分钟错过良机，楚贝尔斜传禁区右侧，尼古拉-冈萨雷斯左脚推射连续反弹后被诺伊尔得到，拜仁马上反攻，莱万禁区右侧被肯普夫绊倒，点球
72'拜仁慕尼黑的右侧角球机会！                   71'拜仁第71分钟扩大优势，基米希右侧开出角球，戈雷茨卡后点距门5米处顶进右下角，3比1
72'角球开到禁区内后点！                   71'拜仁第71分钟扩大优势，基米希右侧开出角球，戈雷茨卡后点距门5米处顶进右下角，3比1
72'双方争顶！                   71'拜仁第71分钟扩大优势，基米希右侧开出角球，戈雷茨卡后点距门5米处顶进右下角，3比1
72'格雷茨卡头球攻门！！                   71'拜仁第71分钟扩大优势，基米希右侧开出角球，戈雷茨卡后点距门5米处顶进右下角，3比1
72'球进了！！！！3-1！                   71'拜仁第71分钟扩大优势，基米希右侧开出角球，戈雷茨卡后点距门5米处顶进右下角，3比1
72'拜仁慕尼黑3-1领先斯图加特！                   71'拜仁第71分钟扩大优势，基米希右侧开出角球，戈雷茨卡后点距门5米处顶进右下角，3比1
74'斯图加特换人，17-托米换下11-多尼斯！                   71'拜仁第71分钟扩大优势，基米希右侧开出角球，戈雷茨卡后点距门5米处顶进右下角，3比1
87'拜仁慕尼黑场边换人，戴维斯上，科曼下！                   85'莱万第85分钟终于破门
87'斯图加特也换人，迪达维上，聚贝尔下！                   85'莱万第85分钟终于破门
87'斯图加特中场开球！                   85'莱万第85分钟终于破门
87'长传球给前场中路！                   85'莱万第85分钟终于破门
88'皮球被胡梅尔斯断下来！                   85'莱万第85分钟终于破门
88'斜传球给前场左侧阿拉巴！                   85'莱万第85分钟终于破门
88'皮球传出了边线！                   85'莱万第85分钟终于破门
88'齐勒开球给到中场！                   85'莱万第85分钟终于破门
88'哈梅斯-罗德里格斯把球断下来！                   85'莱万第85分钟终于破门
88'回给身后的胡梅尔斯！                   85'莱万第85分钟终于破门
88'低平球给身前蒂亚戈-席尔瓦！                   85'莱万第85分钟终于破门
88'斜传球给前场中路哈梅斯-罗德里格斯！                   85'莱万第85分钟终于破门
88'再给身后的蒂亚戈-席尔瓦！                   85'莱万第85分钟终于破门
88'斜传球给左侧胡梅尔斯！                   85'莱万第85分钟终于破门
