13'蒿俊闵发任意球到禁区内！！佩莱抢点头球顶门！高啦！                   13'比赛开始后，双方在中场纠缠较多，直到第13分钟，双方才出现第一次射门
17'河南建业队断球长传反击！左路斜传找里卡多！被戴琳解围                   15'第15分钟，河南建业打破僵局，里卡多与冯卓毅打出踢墙式配合，冯卓毅人缝中送出直塞，宋龙和戴琳防守出现空当，里卡多跟进小角度推射打穿王大雷小门后偏转入网，河南建业1-0领先
18'里卡多右路带球突破，宋龙上抢犯规！黄牌                   15'第15分钟，河南建业打破僵局，里卡多与冯卓毅打出踢墙式配合，冯卓毅人缝中送出直塞，宋龙和戴琳防守出现空当，里卡多跟进小角度推射打穿王大雷小门后偏转入网，河南建业1-0领先
18'里卡多右路带球突破，宋龙上抢犯规！黄牌                   18'第18分钟，宋龙对巴索戈犯规，吃到本赛季第四张黄牌，下一场累计黄牌停赛
19'任意球发出来，巴索戈传球给柯钊                   18'第18分钟，宋龙对巴索戈犯规，吃到本赛季第四张黄牌，下一场累计黄牌停赛
19'柯钊在前场抢球犯规！也吃到黄牌                   18'第18分钟，宋龙对巴索戈犯规，吃到本赛季第四张黄牌，下一场累计黄牌停赛
19'柯钊的动作有些大，侵犯了刘军帅                   18'第18分钟，宋龙对巴索戈犯规，吃到本赛季第四张黄牌，下一场累计黄牌停赛
19'任意球发到前场，对方后卫回顶给了吴龑                   18'第18分钟，宋龙对巴索戈犯规，吃到本赛季第四张黄牌，下一场累计黄牌停赛
20'萨拉赫解围时踢到了自己队友的头上！                   18'第18分钟，宋龙对巴索戈犯规，吃到本赛季第四张黄牌，下一场累计黄牌停赛
20'此前里卡多进球时是由冯卓毅漂亮的传球！                   18'第18分钟，宋龙对巴索戈犯规，吃到本赛季第四张黄牌，下一场累计黄牌停赛
21'河南建业队受伤的是柯钊！倒在地上，还没有起来                   18'第18分钟，宋龙对巴索戈犯规，吃到本赛季第四张黄牌，下一场累计黄牌停赛
21'萨拉赫也有些拉伤！到场外治疗                   18'第18分钟，宋龙对巴索戈犯规，吃到本赛季第四张黄牌，下一场累计黄牌停赛
21'西塞在与吴兴涵交流！要打好配合                   18'第18分钟，宋龙对巴索戈犯规，吃到本赛季第四张黄牌，下一场累计黄牌停赛
25'巴索戈右路强突过掉了戴琳！戴琳铲抢犯规！                   25'第25分钟，巴索戈带球快速反击，戴琳铲球犯规也被黄牌警告
25'主裁判给戴琳出示了黄牌                   25'第25分钟，巴索戈带球快速反击，戴琳铲球犯规也被黄牌警告
26'柯钊被萨拉赫踢破了鼻子！还在流血，裁判示意他到场外去治疗                   25'第25分钟，巴索戈带球快速反击，戴琳铲球犯规也被黄牌警告
26'河南建业队又进球啦！胡靖航！2-0                   25'第25分钟，巴索戈带球快速反击，戴琳铲球犯规也被黄牌警告
27'任意球发到禁区内，王大雷中路出击没能碰到球！后点的胡靖航头球顶门球进！                   25'第25分钟，巴索戈带球快速反击，戴琳铲球犯规也被黄牌警告
27'鲁能泰山队长传球到前场，皮球弹地出底线                   25'第25分钟，巴索戈带球快速反击，戴琳铲球犯规也被黄牌警告
28'河南组织做法事的球迷会高兴坏了！                   25'第25分钟，巴索戈带球快速反击，戴琳铲球犯规也被黄牌警告
28'鲁能泰山队回传球，王大雷出禁区接球                   25'第25分钟，巴索戈带球快速反击，戴琳铲球犯规也被黄牌警告
28'王大雷大脚开球到前场，西塞接球回传                   25'第25分钟，巴索戈带球快速反击，戴琳铲球犯规也被黄牌警告
28'吴兴涵前场得球分边！                   25'第25分钟，巴索戈带球快速反击，戴琳铲球犯规也被黄牌警告
31'河南建业队要换人，换下萨拉赫！                   31'两球领先的河南建业在第31分钟率先调整，萨利赫受伤无法坚持，路尧替补登场
32'换上了路尧                   31'两球领先的河南建业在第31分钟率先调整，萨利赫受伤无法坚持，路尧替补登场
32'后场鲁能泰山队得球长传！                   31'两球领先的河南建业在第31分钟率先调整，萨利赫受伤无法坚持，路尧替补登场
33'巴索戈受伤倒在地上                   31'两球领先的河南建业在第31分钟率先调整，萨利赫受伤无法坚持，路尧替补登场
33'巴索戈前场丢球后反抢，扭了腿！                   31'两球领先的河南建业在第31分钟率先调整，萨利赫受伤无法坚持，路尧替补登场
34'吴兴涵左路横传，刘军帅外围远射！皮球擦着立柱出底线！                   31'两球领先的河南建业在第31分钟率先调整，萨利赫受伤无法坚持，路尧替补登场
34'吴龑大脚开球到前场，里卡多头球前顶                   31'两球领先的河南建业在第31分钟率先调整，萨利赫受伤无法坚持，路尧替补登场
36'巴索戈中场控球，吴兴涵上抢犯规！黄牌                   36'第36分钟，吴兴涵对巴索戈犯规，被黄牌警告
37'任意球发到前场，里卡多争顶犯规                   36'第36分钟，吴兴涵对巴索戈犯规，被黄牌警告
37'王大雷大脚开球到前场，西塞争顶下来，金敬道远射打偏                   36'第36分钟，吴兴涵对巴索戈犯规，被黄牌警告
38'吴龑大脚开球过中场！对方争顶下来                   36'第36分钟，吴兴涵对巴索戈犯规，被黄牌警告
38'双方在中场争抢！鲁能泰山队得球，在路长传                   36'第36分钟，吴兴涵对巴索戈犯规，被黄牌警告
39'蒿俊闵在前场抢球犯规，侵犯了外力                   36'第36分钟，吴兴涵对巴索戈犯规，被黄牌警告
47'后场鲁能泰山队得球，长传禁区！佩莱头球顶门，西塞抢点打门，还是被挡出来                   47'第47分钟，佩莱在争抢位置时比较着急，与主裁判马宁冲突，结果佩莱被黄牌警告
47'吴龑是用脚把球打出来！                   47'第47分钟，佩莱在争抢位置时比较着急，与主裁判马宁冲突，结果佩莱被黄牌警告
47'里卡多右路带球进攻，对方破坏                   47'第47分钟，佩莱在争抢位置时比较着急，与主裁判马宁冲突，结果佩莱被黄牌警告
48'巴索戈中场得球，分到左路                   47'第47分钟，佩莱在争抢位置时比较着急，与主裁判马宁冲突，结果佩莱被黄牌警告
48'河南建业队长传球到前场，对方把球控下来                   47'第47分钟，佩莱在争抢位置时比较着急，与主裁判马宁冲突，结果佩莱被黄牌警告
48'中场柯钊抢球推倒了吴兴涵                   47'第47分钟，佩莱在争抢位置时比较着急，与主裁判马宁冲突，结果佩莱被黄牌警告
49'任意球发到禁区内，对方开回来                   47'第47分钟，佩莱在争抢位置时比较着急，与主裁判马宁冲突，结果佩莱被黄牌警告
49'王大雷接球大脚开到前场！                   47'第47分钟，佩莱在争抢位置时比较着急，与主裁判马宁冲突，结果佩莱被黄牌警告
49'对方再次大脚破坏                   47'第47分钟，佩莱在争抢位置时比较着急，与主裁判马宁冲突，结果佩莱被黄牌警告
49'蒿俊闵左路传中，西塞抢点打门被挡出来                   47'第47分钟，佩莱在争抢位置时比较着急，与主裁判马宁冲突，结果佩莱被黄牌警告
50'王彤在前场抢球，手球犯规                   47'第47分钟，佩莱在争抢位置时比较着急，与主裁判马宁冲突，结果佩莱被黄牌警告
50'上半场比赛结束，河南建业队2-0领先鲁能泰山队！                   47'第47分钟，佩莱在争抢位置时比较着急，与主裁判马宁冲突，结果佩莱被黄牌警告
47'鲁能泰山队球发到禁区内，吴龑没收                   47'第47分钟，佩莱在争抢位置时比较着急，与主裁判马宁冲突，结果佩莱被黄牌警告
47'鲁能泰山队长传前场，佩莱争抢，手球犯规                   47'第47分钟，佩莱在争抢位置时比较着急，与主裁判马宁冲突，结果佩莱被黄牌警告
47'河南建业队大脚开球到前场，被断下来                   47'第47分钟，佩莱在争抢位置时比较着急，与主裁判马宁冲突，结果佩莱被黄牌警告
47'鲁能泰山队传中场，佩莱控球，对方抢球犯规                   47'第47分钟，佩莱在争抢位置时比较着急，与主裁判马宁冲突，结果佩莱被黄牌警告
48'西塞传球，刘彬彬插上，被放倒在地                   47'第47分钟，佩莱在争抢位置时比较着急，与主裁判马宁冲突，结果佩莱被黄牌警告
49'鲁能泰山队得到前场任意球机会                   47'第47分钟，佩莱在争抢位置时比较着急，与主裁判马宁冲突，结果佩莱被黄牌警告
49'刘彬彬拼抢抢出机会来，造成对方犯规                   47'第47分钟，佩莱在争抢位置时比较着急，与主裁判马宁冲突，结果佩莱被黄牌警告
49'蒿俊闵发任意球到禁区内，对方顶出来                   47'第47分钟，佩莱在争抢位置时比较着急，与主裁判马宁冲突，结果佩莱被黄牌警告
49'河南建业队长传球，王彤回传给门将                   47'第47分钟，佩莱在争抢位置时比较着急，与主裁判马宁冲突，结果佩莱被黄牌警告
50'中场河南建业队得球长传，里卡多越位                   47'第47分钟，佩莱在争抢位置时比较着急，与主裁判马宁冲突，结果佩莱被黄牌警告
50'佩莱前场拿球，对方犯规                   47'第47分钟，佩莱在争抢位置时比较着急，与主裁判马宁冲突，结果佩莱被黄牌警告
60'佩莱右路接球，横传找西塞！被对方破坏                   60'第60分钟，戴琳过中场后送出弧线球传中，西塞停球后突入禁区，在防守队员干扰下倒地推射偏出
60'鲁能泰山队长传禁区，佩莱接球想突过去，没能成功                   60'第60分钟，戴琳过中场后送出弧线球传中，西塞停球后突入禁区，在防守队员干扰下倒地推射偏出
61'刘彬彬右路接球横传，对方大脚开到中场                   60'第60分钟，戴琳过中场后送出弧线球传中，西塞停球后突入禁区，在防守队员干扰下倒地推射偏出
61'胡靖航左路进攻，横传转移到右路                   60'第60分钟，戴琳过中场后送出弧线球传中，西塞停球后突入禁区，在防守队员干扰下倒地推射偏出
62'佩莱前场左路断球，转移到右路                   60'第60分钟，戴琳过中场后送出弧线球传中，西塞停球后突入禁区，在防守队员干扰下倒地推射偏出
62'刘彬彬右路强突内切，被破坏出边线                   60'第60分钟，戴琳过中场后送出弧线球传中，西塞停球后突入禁区，在防守队员干扰下倒地推射偏出
63'前场鲁能泰山队传球出现失误，球出底线                   60'第60分钟，戴琳过中场后送出弧线球传中，西塞停球后突入禁区，在防守队员干扰下倒地推射偏出
80'鲁能泰山队左路传禁区，外力大脚破坏                   80'第80分钟，河南建业再次取得进球，巴索戈与里卡多踢墙式配合后突入禁区推射破门，但边裁示意越位在先，慢镜头显示此球为误判
80'鲁能泰山队右路斜传禁区，佩莱胸部做球！西塞在禁区内抢到球大力打门，打在顾操腿上出底线！                   80'第80分钟，河南建业再次取得进球，巴索戈与里卡多踢墙式配合后突入禁区推射破门，但边裁示意越位在先，慢镜头显示此球为误判
81'角球发到禁区内，对方抢点顶出来                   80'第80分钟，河南建业再次取得进球，巴索戈与里卡多踢墙式配合后突入禁区推射破门，但边裁示意越位在先，慢镜头显示此球为误判
81'李松益在前场拉人犯规！                   80'第80分钟，河南建业再次取得进球，巴索戈与里卡多踢墙式配合后突入禁区推射破门，但边裁示意越位在先，慢镜头显示此球为误判
82'吴龑发球拖时间！吃到了黄牌                   80'第80分钟，河南建业再次取得进球，巴索戈与里卡多踢墙式配合后突入禁区推射破门，但边裁示意越位在先，慢镜头显示此球为误判
82'吴龑口头表示不满，马宁差一点冲过去再出黄牌                   80'第80分钟，河南建业再次取得进球，巴索戈与里卡多踢墙式配合后突入禁区推射破门，但边裁示意越位在先，慢镜头显示此球为误判
83'王大雷大脚开球！河南建业队断球反击！                   80'第80分钟，河南建业再次取得进球，巴索戈与里卡多踢墙式配合后突入禁区推射破门，但边裁示意越位在先，慢镜头显示此球为误判
83'巴索戈接球突破到禁区内，晃过戴琳，打门！高啦！                   80'第80分钟，河南建业再次取得进球，巴索戈与里卡多踢墙式配合后突入禁区推射破门，但边裁示意越位在先，慢镜头显示此球为误判
83'冯卓毅在中场受伤倒在地上                   80'第80分钟，河南建业再次取得进球，巴索戈与里卡多踢墙式配合后突入禁区推射破门，但边裁示意越位在先，慢镜头显示此球为误判
81'角球发到禁区内，对方抢点顶出来                   81'第81分钟，西塞禁区内断球成功后晃开角度小角度射门被挡出
81'李松益在前场拉人犯规！                   81'第81分钟，西塞禁区内断球成功后晃开角度小角度射门被挡出
82'吴龑发球拖时间！吃到了黄牌                   81'第81分钟，西塞禁区内断球成功后晃开角度小角度射门被挡出
82'吴龑口头表示不满，马宁差一点冲过去再出黄牌                   81'第81分钟，西塞禁区内断球成功后晃开角度小角度射门被挡出
83'王大雷大脚开球！河南建业队断球反击！                   81'第81分钟，西塞禁区内断球成功后晃开角度小角度射门被挡出
83'巴索戈接球突破到禁区内，晃过戴琳，打门！高啦！                   81'第81分钟，西塞禁区内断球成功后晃开角度小角度射门被挡出
83'冯卓毅在中场受伤倒在地上                   81'第81分钟，西塞禁区内断球成功后晃开角度小角度射门被挡出
90'鲁能泰山队得到角球机会                   90'第90分钟，佩莱背身拿球回做，刘彬彬禁区外怒射高出
90'角球发到禁区内，佩莱手球犯规                   90'第90分钟，佩莱背身拿球回做，刘彬彬禁区外怒射高出
90'状态不好啊                   90'第90分钟，佩莱背身拿球回做，刘彬彬禁区外怒射高出
91'下半场要补时 4 分钟                   90'第90分钟，佩莱背身拿球回做，刘彬彬禁区外怒射高出
91'河南建业队右路斜传禁区，王大雷出击没收                   90'第90分钟，佩莱背身拿球回做，刘彬彬禁区外怒射高出
91'鲁能泰山队长传球，对方护球交到了吴龑手里                   90'第90分钟，佩莱背身拿球回做，刘彬彬禁区外怒射高出
91'吴龑大脚开球到前场，巴索戈左路突破横传，被破坏出来                   90'第90分钟，佩莱背身拿球回做，刘彬彬禁区外怒射高出
92'鲁能泰山队长传中场，佩莱回顶                   90'第90分钟，佩莱背身拿球回做，刘彬彬禁区外怒射高出
92'戴琳受到侵犯！他快发，鲁能泰山队组织进攻                   90'第90分钟，佩莱背身拿球回做，刘彬彬禁区外怒射高出
92'鲁能泰山队进球啦！李松益！1-2                   90'第90分钟，佩莱背身拿球回做，刘彬彬禁区外怒射高出
93'刘彬彬左路斜传球，佩莱抢点象是解围，李松益把球撞进球！不过还是算到了佩莱身上！                   90'第90分钟，佩莱背身拿球回做，刘彬彬禁区外怒射高出
93'河南建业队换人：刘恒 上场，换下杜长杰                   90'第90分钟，佩莱背身拿球回做，刘彬彬禁区外怒射高出
