3'前场特维斯接应，在回敲陶金                   3'开场第3分钟申花后场长传，马丁斯在天津队禁区内截下球后，转身射门稍偏
64'买提江搓起来，给到禁区内，李帅出击，把球拍出                   62'第62分钟杨立瑜右路传中，李帅出击把球打出不远，惠家康猫腰头球高出
64'边线球赵宏略发给左侧惠家康                   62'第62分钟杨立瑜右路传中，李帅出击把球打出不远，惠家康猫腰头球高出
64'左路接球不犹豫，直接传中，禁区内又是李帅，把球击出                   62'第62分钟杨立瑜右路传中，李帅出击把球打出不远，惠家康猫腰头球高出
64'外围右侧杨立瑜得球，右侧传中到门前                   62'第62分钟杨立瑜右路传中，李帅出击把球打出不远，惠家康猫腰头球高出
65'李帅再次把球拍出                   62'第62分钟杨立瑜右路传中，李帅出击把球打出不远，惠家康猫腰头球高出
65'禁区内惠家康跟上在顶，顶偏了                   62'第62分钟杨立瑜右路传中，李帅出击把球打出不远，惠家康猫腰头球高出
65'李帅大脚开起来                   62'第62分钟杨立瑜右路传中，李帅出击把球打出不远，惠家康猫腰头球高出
65'前场中路马丁斯得球，但是自己没有控制好，被断                   62'第62分钟杨立瑜右路传中，李帅出击把球打出不远，惠家康猫腰头球高出
65'泰达的长传，前场吊入禁区，阿奇姆彭接到米克尔的做球，杀到门前                   62'第62分钟杨立瑜右路传中，李帅出击把球打出不远，惠家康猫腰头球高出
65'李帅再次把球拍出                   65'第65分钟天津队开出右路角球，曹阳头球偏出
65'禁区内惠家康跟上在顶，顶偏了                   65'第65分钟天津队开出右路角球，曹阳头球偏出
65'李帅大脚开起来                   65'第65分钟天津队开出右路角球，曹阳头球偏出
65'前场中路马丁斯得球，但是自己没有控制好，被断                   65'第65分钟天津队开出右路角球，曹阳头球偏出
65'泰达的长传，前场吊入禁区，阿奇姆彭接到米克尔的做球，杀到门前                   65'第65分钟天津队开出右路角球，曹阳头球偏出
66'李帅跟阿奇姆彭正面撞车，，还是李帅把球拿下来了                   65'第65分钟天津队开出右路角球，曹阳头球偏出
66'手抛球快发，左侧给柏佳骏                   65'第65分钟天津队开出右路角球，曹阳头球偏出
66'推进，向前，中路给瓜林                   65'第65分钟天津队开出右路角球，曹阳头球偏出
66'瓜林分到禁区前沿，特维斯停球拖沓，被曹阳破坏                   65'第65分钟天津队开出右路角球，曹阳头球偏出
66'泰达右侧进攻，杨立瑜右路直线突破                   65'第65分钟天津队开出右路角球，曹阳头球偏出
66'下底，传中被孙世林挡出底线                   65'第65分钟天津队开出右路角球，曹阳头球偏出
66'右侧买提江角球开起来，禁区内找前点                   65'第65分钟天津队开出右路角球，曹阳头球偏出
67'曹阳插上，头球一甩，偏出                   65'第65分钟天津队开出右路角球，曹阳头球偏出
67'申花用曹赟定替下毛剑卿，，曹赟定上来，够泰达防线喝一壶啊                   65'第65分钟天津队开出右路角球，曹阳头球偏出
67'李帅后场大脚开起来                   65'第65分钟天津队开出右路角球，曹阳头球偏出
67'前场中路马丁斯点一下，第二点到了米克尔脚下                   65'第65分钟天津队开出右路角球，曹阳头球偏出
67'中圈左侧给到赵宏略，低传给身前                   65'第65分钟天津队开出右路角球，曹阳头球偏出
68'阿奇姆彭接球遭遇侵犯，，是毕津浩的犯规，毕津浩也染黄了                   65'第65分钟天津队开出右路角球，曹阳头球偏出
68'泰达禁区外再次拿到定位球机会，今天前场定位球和角球泰达真是没少拿                   65'第65分钟天津队开出右路角球，曹阳头球偏出
68'左侧买提江把球开起来，送到禁区内前点                   65'第65分钟天津队开出右路角球，曹阳头球偏出
68'马丁斯的头球解围出底线，角球                   65'第65分钟天津队开出右路角球，曹阳头球偏出
68'买提江左侧开起来，还是找前点，瓜林的解围                   65'第65分钟天津队开出右路角球，曹阳头球偏出
66'李帅跟阿奇姆彭正面撞车，，还是李帅把球拿下来了                   66'第66分钟毕津浩拉拽阿奇姆蓬吃到黄牌
66'手抛球快发，左侧给柏佳骏                   66'第66分钟毕津浩拉拽阿奇姆蓬吃到黄牌
66'推进，向前，中路给瓜林                   66'第66分钟毕津浩拉拽阿奇姆蓬吃到黄牌
66'瓜林分到禁区前沿，特维斯停球拖沓，被曹阳破坏                   66'第66分钟毕津浩拉拽阿奇姆蓬吃到黄牌
66'泰达右侧进攻，杨立瑜右路直线突破                   66'第66分钟毕津浩拉拽阿奇姆蓬吃到黄牌
66'下底，传中被孙世林挡出底线                   66'第66分钟毕津浩拉拽阿奇姆蓬吃到黄牌
66'右侧买提江角球开起来，禁区内找前点                   66'第66分钟毕津浩拉拽阿奇姆蓬吃到黄牌
67'曹阳插上，头球一甩，偏出                   66'第66分钟毕津浩拉拽阿奇姆蓬吃到黄牌
67'申花用曹赟定替下毛剑卿，，曹赟定上来，够泰达防线喝一壶啊                   66'第66分钟毕津浩拉拽阿奇姆蓬吃到黄牌
67'李帅后场大脚开起来                   66'第66分钟毕津浩拉拽阿奇姆蓬吃到黄牌
67'前场中路马丁斯点一下，第二点到了米克尔脚下                   66'第66分钟毕津浩拉拽阿奇姆蓬吃到黄牌
67'中圈左侧给到赵宏略，低传给身前                   66'第66分钟毕津浩拉拽阿奇姆蓬吃到黄牌
68'阿奇姆彭接球遭遇侵犯，，是毕津浩的犯规，毕津浩也染黄了                   66'第66分钟毕津浩拉拽阿奇姆蓬吃到黄牌
68'泰达禁区外再次拿到定位球机会，今天前场定位球和角球泰达真是没少拿                   66'第66分钟毕津浩拉拽阿奇姆蓬吃到黄牌
