8'国际米兰球员米利托大禁区外右脚射门,被防守球员封堵.给他传球的是帕拉西奥.                   8'开场8分钟，瓜林直传，帕拉西奥做给米利托，米利托禁区前沿射门被封堵
65'国际米兰球员长友佑都拼抢犯规,对手获得控球权.                   63'第63分钟，萨内蒂右路传中，帕拉西奥前点距门8米处头球弹地偏出远门柱，坎比亚索后点跟进稍慢没铲到
66'罗西尼将球处理出底线,国际米兰获得角球.                   63'第63分钟，萨内蒂右路传中，帕拉西奥前点距门8米处头球弹地偏出远门柱，坎比亚索后点跟进稍慢没铲到
71'桑普多利亚球员加斯塔尔德罗拼抢犯规,对手获得控球权.                   71'第71分钟，帕拉西奥禁区左侧小角度凌空推射偏出远门柱
71'长友佑都为国际米兰在左路,赢得一个任意球.                   71'第71分钟，帕拉西奥禁区左侧小角度凌空推射偏出远门柱
71'国际米兰球员帕拉西奥小禁区左侧尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是坎比亚索.                   71'第71分钟，帕拉西奥禁区左侧小角度凌空推射偏出远门柱
72'桑普多利亚球员雷南大禁区外左脚射门,被防守球员封堵.给他传球的是埃德尔.                   71'第71分钟，帕拉西奥禁区左侧小角度凌空推射偏出远门柱
72'桑普多利亚球员埃德尔大禁区外右脚射门,被防守球员封堵.给他传球的是雷南.                   71'第71分钟，帕拉西奥禁区左侧小角度凌空推射偏出远门柱
72'埃斯蒂加里维亚为桑普多利亚在对方半场,赢得一个任意球.                   71'第71分钟，帕拉西奥禁区左侧小角度凌空推射偏出远门柱
72'国际米兰球员坎比亚索拼抢犯规,对手获得控球权.                   71'第71分钟，帕拉西奥禁区左侧小角度凌空推射偏出远门柱
73'桑普多利亚球员埃德尔大禁区外右脚射门,被防守球员封堵.                   71'第71分钟，帕拉西奥禁区左侧小角度凌空推射偏出远门柱
73'帕拉西奥将球处理出底线,桑普多利亚获得角球.                   71'第71分钟，帕拉西奥禁区左侧小角度凌空推射偏出远门柱
76'国际米兰球员坎比亚索小禁区左侧尝试左脚射门,可惜皮球高出球门.给他传球的是帕拉西奥.                   76'第76分钟，帕拉西奥右路传中，坎比亚索杂耍凌空打飞
78'桑普多利亚换人,M-洛佩斯换下雷南                   76'第76分钟，帕拉西奥右路传中，坎比亚索杂耍凌空打飞
79'桑普多利亚球员穆纳里拼抢犯规,对手获得控球权.                   76'第76分钟，帕拉西奥右路传中，坎比亚索杂耍凌空打飞
79'卡萨诺为国际米兰在对方半场,赢得一个任意球.                   76'第76分钟，帕拉西奥右路传中，坎比亚索杂耍凌空打飞
79'黄牌！桑普多利亚球员穆纳里因为恶意犯规,被主裁判出示黄牌.                   76'第76分钟，帕拉西奥右路传中，坎比亚索杂耍凌空打飞
80'国际米兰球员卡萨诺大禁区外右脚射门,命中门柱横梁.                   80'第80分钟，卡萨诺弧线任意球越过人墙蹭横梁上沿而出
81'进球啦！！！国际米兰球员瓜林大禁区中央右脚射门,球从右下角飞进球门,球进了!助攻的是卡萨诺. 国际米兰 3-1 桑普多利亚.                   80'第80分钟，卡萨诺弧线任意球越过人墙蹭横梁上沿而出
83'裁判将桑普多利亚的贝尔尼直接红牌罚下.                   80'第80分钟，卡萨诺弧线任意球越过人墙蹭横梁上沿而出
50'桑普多利亚贝拉尔迪受伤倒地,比赛暂停                   49'补时第4分钟，埃德与马克西-洛佩斯打出快速踢墙配合，在门前8米处左脚推射从汉达诺维奇裆下入网，2比3
50'暂停结束,球员们重新开始比赛.                   49'补时第4分钟，埃德与马克西-洛佩斯打出快速踢墙配合，在门前8米处左脚推射从汉达诺维奇裆下入网，2比3
51'桑普多利亚球员安德烈-科斯塔犯规,致使对方获得点球.                   49'补时第4分钟，埃德与马克西-洛佩斯打出快速踢墙配合，在门前8米处左脚推射从汉达诺维奇裆下入网，2比3
51'点球,米利托在禁区内被侵犯,国际米兰获得点球.                   49'补时第4分钟，埃德与马克西-洛佩斯打出快速踢墙配合，在门前8米处左脚推射从汉达诺维奇裆下入网，2比3
51'裁判将桑普多利亚的安德烈-科斯塔直接红牌罚下.                   49'补时第4分钟，埃德与马克西-洛佩斯打出快速踢墙配合，在门前8米处左脚推射从汉达诺维奇裆下入网，2比3
52'进球啦！！！国际米兰球员米利托右脚射门,球从右上角飞进球门,球进了! 国际米兰 1-1 桑普多利亚.                   49'补时第4分钟，埃德与马克西-洛佩斯打出快速踢墙配合，在门前8米处左脚推射从汉达诺维奇裆下入网，2比3
