2'后场鲁能泰山队断球，右路长传找塔尔德利！失误                   2'开场2分钟，蒙蒂略角球传中被挡出，张弛禁区外凌空抽射，球被顾超倒地扑在怀里
29'界外球发出来，鲁能泰山队右路突破村区，被破坏                   26'第26分钟，张弛禁区外大力远射，球被顾超飞身挡出
29'中场鲁能泰山队断球，右路直传交给蒙蒂略                   26'第26分钟，张弛禁区外大力远射，球被顾超飞身挡出
37'蒙蒂略发任意球到禁区内，对方解围两人配合失误，球出底线                   37'第37分钟，王炯边路传中，吉尔门前抢点被挡向后点，尤西雷得球凌空抽射将球踢飞
37'鲁能泰山队得到角球机会                   37'第37分钟，王炯边路传中，吉尔门前抢点被挡向后点，尤西雷得球凌空抽射将球踢飞
37'角球发到禁区内！！！后卫漏球，球到了吉尔脚下，打门偏出！                   37'第37分钟，王炯边路传中，吉尔门前抢点被挡向后点，尤西雷得球凌空抽射将球踢飞
38'特谢拉前场右路接球，回传，刘建业传身后球，鲁能泰山队把球挡出来                   37'第37分钟，王炯边路传中，吉尔门前抢点被挡向后点，尤西雷得球凌空抽射将球踢飞
38'张弛右路突破横传禁区，塔尔德利到位！！！圣斯伯里将球破坏出边线                   37'第37分钟，王炯边路传中，吉尔门前抢点被挡向后点，尤西雷得球凌空抽射将球踢飞
39'鲁能泰山队右路进攻，对方破坏出底线，角球                   37'第37分钟，王炯边路传中，吉尔门前抢点被挡向后点，尤西雷得球凌空抽射将球踢飞
39'蒙蒂略发角球到前点，周云把球顶出底线                   37'第37分钟，王炯边路传中，吉尔门前抢点被挡向后点，尤西雷得球凌空抽射将球踢飞
40'蒙蒂略继续发角球到禁区内，顾超出击把球摘下来                   37'第37分钟，王炯边路传中，吉尔门前抢点被挡向后点，尤西雷得球凌空抽射将球踢飞
40'顾超大脚开球到前场，王大雷没收                   37'第37分钟，王炯边路传中，吉尔门前抢点被挡向后点，尤西雷得球凌空抽射将球踢飞
42'特谢拉在前场得球，一脚远射！偏出                   42'第42分钟，拉米雷斯接到特谢拉做球在禁区外突施冷箭，球擦着立柱偏出
44'江苏苏宁队长传，若得球直面门将，一脚劲射被王大雷扑出！拉米雷斯打门被挡出底线！                   42'第42分钟，拉米雷斯接到特谢拉做球在禁区外突施冷箭，球擦着立柱偏出
44'角球发到禁区内，王大雷出击把球打出来                   42'第42分钟，拉米雷斯接到特谢拉做球在禁区外突施冷箭，球擦着立柱偏出
45'中场特谢拉抢球犯规啦                   42'第42分钟，拉米雷斯接到特谢拉做球在禁区外突施冷箭，球擦着立柱偏出
45'蒙蒂略中路分球！！！齐天羽控球，对方铲球犯规                   42'第42分钟，拉米雷斯接到特谢拉做球在禁区外突施冷箭，球擦着立柱偏出
45'任意球发出来，鲁能泰山队右路进攻                   42'第42分钟，拉米雷斯接到特谢拉做球在禁区外突施冷箭，球擦着立柱偏出
50'场面上鲁能泰山队占到了优势，但得势不得分！                   50'第50分钟，刘彬彬边路传中，杨旭禁区线附近凌空抽射将球打飞
50'刘彬彬右路强突横传禁区！杨旭抢点侧身打门！打高啦                   50'第50分钟，刘彬彬边路传中，杨旭禁区线附近凌空抽射将球打飞
50'中场杨旭上场，换下了王炯                   50'第50分钟，刘彬彬边路传中，杨旭禁区线附近凌空抽射将球打飞
51'特谢拉中场得球，转移到左路，交给杨家威                   50'第50分钟，刘彬彬边路传中，杨旭禁区线附近凌空抽射将球打飞
51'后场鲁能泰山队断球，转移到左路进攻                   50'第50分钟，刘彬彬边路传中，杨旭禁区线附近凌空抽射将球打飞
51'鲁能泰山队左路突破没能成功                   50'第50分钟，刘彬彬边路传中，杨旭禁区线附近凌空抽射将球打飞
51'江苏苏宁队长传球，特谢拉接球没能接好，球出边线                   50'第50分钟，刘彬彬边路传中，杨旭禁区线附近凌空抽射将球打飞
52'拉米雷斯在前场直传球，江苏苏宁队右路横传被破坏出来                   50'第50分钟，刘彬彬边路传中，杨旭禁区线附近凌空抽射将球打飞
52'前场江苏苏宁队得球挑传禁区，特谢拉越位                   50'第50分钟，刘彬彬边路传中，杨旭禁区线附近凌空抽射将球打飞
52'江苏苏宁队换人：谢鹏飞上场，换下杨家威                   50'第50分钟，刘彬彬边路传中，杨旭禁区线附近凌空抽射将球打飞
57'鲁能泰山队进球啦！！蒙蒂略！1-1                   57'第57分钟，塞恩斯伯里在禁区线附近推倒塔尔德利，被黄牌警告，山东鲁能获得位置极佳任意球，蒙蒂略弧线球直接射死角得手，顾超毫无反应，山东鲁能扳平比分为1-1
58'蒙蒂略发任意球直接打门！打左侧，顾超向右移动！皮球应声入网！                   57'第57分钟，塞恩斯伯里在禁区线附近推倒塔尔德利，被黄牌警告，山东鲁能获得位置极佳任意球，蒙蒂略弧线球直接射死角得手，顾超毫无反应，山东鲁能扳平比分为1-1
58'吴曦中路带球进攻，李松益抢球犯规                   57'第57分钟，塞恩斯伯里在禁区线附近推倒塔尔德利，被黄牌警告，山东鲁能获得位置极佳任意球，蒙蒂略弧线球直接射死角得手，顾超毫无反应，山东鲁能扳平比分为1-1
58'任意球发到禁区内，若头球顶门，王大雷没收                   57'第57分钟，塞恩斯伯里在禁区线附近推倒塔尔德利，被黄牌警告，山东鲁能获得位置极佳任意球，蒙蒂略弧线球直接射死角得手，顾超毫无反应，山东鲁能扳平比分为1-1
59'鲁能泰山队长传进攻，圣斯伯里将球破坏出边线                   57'第57分钟，塞恩斯伯里在禁区线附近推倒塔尔德利，被黄牌警告，山东鲁能获得位置极佳任意球，蒙蒂略弧线球直接射死角得手，顾超毫无反应，山东鲁能扳平比分为1-1
59'界外球发出来，蒙蒂略左路小角度远射，被顾超没收                   57'第57分钟，塞恩斯伯里在禁区线附近推倒塔尔德利，被黄牌警告，山东鲁能获得位置极佳任意球，蒙蒂略弧线球直接射死角得手，顾超毫无反应，山东鲁能扳平比分为1-1
59'周云带球攻到前场，交给拉米雷斯                   57'第57分钟，塞恩斯伯里在禁区线附近推倒塔尔德利，被黄牌警告，山东鲁能获得位置极佳任意球，蒙蒂略弧线球直接射死角得手，顾超毫无反应，山东鲁能扳平比分为1-1
60'江苏苏宁队斜传禁区，直接出底线                   57'第57分钟，塞恩斯伯里在禁区线附近推倒塔尔德利，被黄牌警告，山东鲁能获得位置极佳任意球，蒙蒂略弧线球直接射死角得手，顾超毫无反应，山东鲁能扳平比分为1-1
60'鲁能泰山队换人：吴兴涵上场，换下刘彬彬                   57'第57分钟，塞恩斯伯里在禁区线附近推倒塔尔德利，被黄牌警告，山东鲁能获得位置极佳任意球，蒙蒂略弧线球直接射死角得手，顾超毫无反应，山东鲁能扳平比分为1-1
62'拉米雷斯突破，李松益手球犯规！江苏苏宁队得到位置不错的任意球机会                   62'第62分钟，江苏苏宁获得前场任意球，李昂任意球穿越人墙直奔球门，王大雷门前将球击出
63'任意球直接打门！王大雷把球打出来！若在禁区内抢位犯规！                   62'第62分钟，江苏苏宁获得前场任意球，李昂任意球穿越人墙直奔球门，王大雷门前将球击出
63'塔尔德利右路攻到中场，被断                   62'第62分钟，江苏苏宁获得前场任意球，李昂任意球穿越人墙直奔球门，王大雷门前将球击出
64'江苏苏宁队左路横传禁区，若头球顶门！高出！                   62'第62分钟，江苏苏宁获得前场任意球，李昂任意球穿越人墙直奔球门，王大雷门前将球击出
64'鲁能泰山队长传球，李昂对杨旭犯规                   62'第62分钟，江苏苏宁获得前场任意球，李昂任意球穿越人墙直奔球门，王大雷门前将球击出
64'任意球发出来，塔尔德利左路带球进攻                   62'第62分钟，江苏苏宁获得前场任意球，李昂任意球穿越人墙直奔球门，王大雷门前将球击出
65'鲁能泰山队左路传球，吴兴涵越位                   62'第62分钟，江苏苏宁获得前场任意球，李昂任意球穿越人墙直奔球门，王大雷门前将球击出
65'传球的时候，吴兴涵并没有越位，可吹可不吹                   62'第62分钟，江苏苏宁获得前场任意球，李昂任意球穿越人墙直奔球门，王大雷门前将球击出
65'张弛右路突破下底横传禁区，杨旭头球顶门！高出！                   62'第62分钟，江苏苏宁获得前场任意球，李昂任意球穿越人墙直奔球门，王大雷门前将球击出
65'鲁能泰山队左路传球，吴兴涵越位                   65'第65分钟，吴兴涵边路突破防守后弧线球传中，杨旭头球冲顶将球顶高
65'传球的时候，吴兴涵并没有越位，可吹可不吹                   65'第65分钟，吴兴涵边路突破防守后弧线球传中，杨旭头球冲顶将球顶高
65'张弛右路突破下底横传禁区，杨旭头球顶门！高出！                   65'第65分钟，吴兴涵边路突破防守后弧线球传中，杨旭头球冲顶将球顶高
66'杨旭的脚有些不适！                   65'第65分钟，吴兴涵边路突破防守后弧线球传中，杨旭头球冲顶将球顶高
66'后场鲁能泰山队得球长传，杨旭争顶侵犯了刘建业                   65'第65分钟，吴兴涵边路突破防守后弧线球传中，杨旭头球冲顶将球顶高
67'江苏苏宁队得到角球机会                   65'第65分钟，吴兴涵边路突破防守后弧线球传中，杨旭头球冲顶将球顶高
67'特谢拉发角球到禁区内后点，若头球顶门，没能顶正                   65'第65分钟，吴兴涵边路突破防守后弧线球传中，杨旭头球冲顶将球顶高
67'江苏苏宁队再传禁区，王大雷把球没收                   65'第65分钟，吴兴涵边路突破防守后弧线球传中，杨旭头球冲顶将球顶高
67'王大雷大脚开球到前场，塔尔德利杀到，周云把球控下来                   65'第65分钟，吴兴涵边路突破防守后弧线球传中，杨旭头球冲顶将球顶高
68'蒿俊闵中场得球长传前场左路，塔尔德利越位位置回跑，皮球直接出底线                   65'第65分钟，吴兴涵边路突破防守后弧线球传中，杨旭头球冲顶将球顶高
68'鲁能泰山队后场断球，直传，蒙蒂略没能接到                   65'第65分钟，吴兴涵边路突破防守后弧线球传中，杨旭头球冲顶将球顶高
74'塔尔德利左路接球，回带交给蒙蒂略                   74'第74分钟，山东鲁能趁机反超比分
74'鲁能泰山队进球啦！！蒙蒂略！！！2-1                   74'第74分钟，山东鲁能趁机反超比分
75'塔尔德利左路接球回传，蒙蒂略接球晃过后卫一脚劲射，皮球应声入网！                   74'第74分钟，山东鲁能趁机反超比分
75'蒙蒂略今天证明了自己！                   74'第74分钟，山东鲁能趁机反超比分
76'江苏苏宁队换人：张晓彬上场，换下李昂                   74'第74分钟，山东鲁能趁机反超比分
76'江苏苏宁队右路斜传禁区，尤西雷将球顶出来                   74'第74分钟，山东鲁能趁机反超比分
77'江苏苏宁队右路斜传禁区，尤西雷解围                   74'第74分钟，山东鲁能趁机反超比分
77'江苏苏宁队前场得球，左路传中，对方头球解围                   74'第74分钟，山东鲁能趁机反超比分
79'中场鲁能泰山队得球长传，蒙蒂略传中，塔尔德利头球顶门！！击中横梁！！！                   79'第79分钟，蒙蒂略边路带球突破后弧线球传中，塔尔德利头球攻门击中横梁
79'蒙蒂略的传球真是不错！                   79'第79分钟，蒙蒂略边路带球突破后弧线球传中，塔尔德利头球攻门击中横梁
80'今天鲁能泰山队打出了气势！                   79'第79分钟，蒙蒂略边路带球突破后弧线球传中，塔尔德利头球攻门击中横梁
80'江苏苏宁队左路突破被断                   79'第79分钟，蒙蒂略边路带球突破后弧线球传中，塔尔德利头球攻门击中横梁
80'看到江苏苏宁队有人受伤！鲁能泰山队把球开出边线                   79'第79分钟，蒙蒂略边路带球突破后弧线球传中，塔尔德利头球攻门击中横梁
81'特谢拉左路强突，造成尤西雷犯规                   79'第79分钟，蒙蒂略边路带球突破后弧线球传中，塔尔德利头球攻门击中横梁
82'江苏苏宁队得到前场任意球机会                   79'第79分钟，蒙蒂略边路带球突破后弧线球传中，塔尔德利头球攻门击中横梁
82'任意球发到禁区内，鲁能泰山队把球解围出来                   79'第79分钟，蒙蒂略边路带球突破后弧线球传中，塔尔德利头球攻门击中横梁
82'塔尔德利后场得球，转移到右路                   79'第79分钟，蒙蒂略边路带球突破后弧线球传中，塔尔德利头球攻门击中横梁
85'张弛发出界外球！接队友传球，张弛横带一脚打门！偏出！                   85'第85分钟，张弛边路拿球内切远射，球擦着近侧立柱偏出
85'拉米雷斯前场左路控球，齐天羽抢球犯规                   85'第85分钟，张弛边路拿球内切远射，球擦着近侧立柱偏出
86'[到动话题]比赛还有五分钟！鲁能泰山队能否守住三分？打破十轮不胜？A                   85'第85分钟，张弛边路拿球内切远射，球擦着近侧立柱偏出
86'[到动话题]比赛还有五分钟！鲁能泰山队能否守住三分？打破十轮不胜？A、能  B、不能[qiangda］                   85'第85分钟，张弛边路拿球内切远射，球擦着近侧立柱偏出
87'蒙蒂略带球突破到禁区内，一脚打门，稍稍偏了一些                   85'第85分钟，张弛边路拿球内切远射，球擦着近侧立柱偏出
87'中场鲁能泰山队断球右路直传，前场横传，杨旭一脚打门，没能打好！                   85'第85分钟，张弛边路拿球内切远射，球擦着近侧立柱偏出
87'中场蒙蒂略得球，一脚超远距离打门，偏出！、                   85'第85分钟，张弛边路拿球内切远射，球擦着近侧立柱偏出
88'现场的观众在喊着3-1！为鲁能泰山队加油！                   85'第85分钟，张弛边路拿球内切远射，球擦着近侧立柱偏出
88'鲁能泰山队边路进攻，逼得角球机会                   85'第85分钟，张弛边路拿球内切远射，球擦着近侧立柱偏出
88'吴兴涵去发角球！皮球没气啦！示意换球！                   85'第85分钟，张弛边路拿球内切远射，球擦着近侧立柱偏出
87'蒙蒂略带球突破到禁区内，一脚打门，稍稍偏了一些                   87'第87分钟，李松益禁区前分球，杨旭得球扣过防守低射，球被门将没收
87'中场鲁能泰山队断球右路直传，前场横传，杨旭一脚打门，没能打好！                   87'第87分钟，李松益禁区前分球，杨旭得球扣过防守低射，球被门将没收
87'中场蒙蒂略得球，一脚超远距离打门，偏出！、                   87'第87分钟，李松益禁区前分球，杨旭得球扣过防守低射，球被门将没收
88'现场的观众在喊着3-1！为鲁能泰山队加油！                   87'第87分钟，李松益禁区前分球，杨旭得球扣过防守低射，球被门将没收
88'鲁能泰山队边路进攻，逼得角球机会                   87'第87分钟，李松益禁区前分球，杨旭得球扣过防守低射，球被门将没收
88'吴兴涵去发角球！皮球没气啦！示意换球！                   87'第87分钟，李松益禁区前分球，杨旭得球扣过防守低射，球被门将没收
89'战术角球发出来，吴兴涵控球！刘建业断球，吴兴涵抢球犯规                   87'第87分钟，李松益禁区前分球，杨旭得球扣过防守低射，球被门将没收
89'现在着急的应该是江苏苏宁队！                   87'第87分钟，李松益禁区前分球，杨旭得球扣过防守低射，球被门将没收
89'拉米雷斯前场左路接球！对方抢球出界                   87'第87分钟，李松益禁区前分球，杨旭得球扣过防守低射，球被门将没收
90'鲁能泰山队换人：李微上场，换下蒙蒂略！                   87'第87分钟，李松益禁区前分球，杨旭得球扣过防守低射，球被门将没收
90'让蒙蒂略接受球迷的欢呼！                   87'第87分钟，李松益禁区前分球，杨旭得球扣过防守低射，球被门将没收
90'吴兴涵后场断球，交给塔尔德利                   87'第87分钟，李松益禁区前分球，杨旭得球扣过防守低射，球被门将没收
90'下半场要补时　3 分钟                   87'第87分钟，李松益禁区前分球，杨旭得球扣过防守低射，球被门将没收
