1'比赛开始了，利物浦开球                   1'双方第1分钟均显得小心谨慎
51'和同伴配合，撞墙之后给到中路                   49'利物浦第49分钟浪费机会，拉拉纳脚后跟妙传，克莱因禁区边缘拿球被铲断，但菲尔米诺12码处却离谱打偏
52'科斯塔护球，在给右侧摩西，摩西晃开防守，杀入禁区                   49'利物浦第49分钟浪费机会，拉拉纳脚后跟妙传，克莱因禁区边缘拿球被铲断，但菲尔米诺12码处却离谱打偏
52'右侧小角度爆射，击中立柱弹出底线了                   49'利物浦第49分钟浪费机会，拉拉纳脚后跟妙传，克莱因禁区边缘拿球被铲断，但菲尔米诺12码处却离谱打偏
52'这一下，也够悬的                   49'利物浦第49分钟浪费机会，拉拉纳脚后跟妙传，克莱因禁区边缘拿球被铲断，但菲尔米诺12码处却离谱打偏
52'米尼奥莱大脚开出                   49'利物浦第49分钟浪费机会，拉拉纳脚后跟妙传，克莱因禁区边缘拿球被铲断，但菲尔米诺12码处却离谱打偏
57'利物浦回敲给米尼奥莱，中路在给洛夫伦，左侧找米尔纳                   57'利物浦第57分钟扳平，米尔纳禁区左侧接传中球头球摆渡，摩西头球解围蹭到皮球偏转，维纳尔杜姆小禁区前强力头球破门，1-1
57'在给马蒂普，斜传右侧克莱因在给中路                   57'利物浦第57分钟扳平，米尔纳禁区左侧接传中球头球摆渡，摩西头球解围蹭到皮球偏转，维纳尔杜姆小禁区前强力头球破门，1-1
57'洛夫伦左侧给米尔纳，长传给亨德森                   57'利物浦第57分钟扳平，米尔纳禁区左侧接传中球头球摆渡，摩西头球解围蹭到皮球偏转，维纳尔杜姆小禁区前强力头球破门，1-1
57'中路拨给维纳尔杜姆，还是选择了回敲                   57'利物浦第57分钟扳平，米尔纳禁区左侧接传中球头球摆渡，摩西头球解围蹭到皮球偏转，维纳尔杜姆小禁区前强力头球破门，1-1
58'维纳尔杜姆右侧在给到拉拉纳，内切突破                   57'利物浦第57分钟扳平，米尔纳禁区左侧接传中球头球摆渡，摩西头球解围蹭到皮球偏转，维纳尔杜姆小禁区前强力头球破门，1-1
58'自己来，射在后卫身上弹出，中路还有机会                   57'利物浦第57分钟扳平，米尔纳禁区左侧接传中球头球摆渡，摩西头球解围蹭到皮球偏转，维纳尔杜姆小禁区前强力头球破门，1-1
58'亨德森挑入禁区，左侧米尔纳跟上，头球顶向中路                   57'利物浦第57分钟扳平，米尔纳禁区左侧接传中球头球摆渡，摩西头球解围蹭到皮球偏转，维纳尔杜姆小禁区前强力头球破门，1-1
58'维纳尔杜姆包抄，破门了                   57'利物浦第57分钟扳平，米尔纳禁区左侧接传中球头球摆渡，摩西头球解围蹭到皮球偏转，维纳尔杜姆小禁区前强力头球破门，1-1
58'打平了，，维纳尔杜姆的进球                   57'利物浦第57分钟扳平，米尔纳禁区左侧接传中球头球摆渡，摩西头球解围蹭到皮球偏转，维纳尔杜姆小禁区前强力头球破门，1-1
59'亨德森禁区外围挑传到左肋，视野非常好，米尔纳包抄跟上俯身顶向门前，维纳尔杜姆飞身跃起，接力顶入网窝                   57'利物浦第57分钟扳平，米尔纳禁区左侧接传中球头球摆渡，摩西头球解围蹭到皮球偏转，维纳尔杜姆小禁区前强力头球破门，1-1
60'摩西右侧推进，米尔纳一个大飞铲，，吃到黄牌。这球太凶了                   57'利物浦第57分钟扳平，米尔纳禁区左侧接传中球头球摆渡，摩西头球解围蹭到皮球偏转，维纳尔杜姆小禁区前强力头球破门，1-1
60'米尔纳左侧给到库蒂尼奥，转到右侧克莱因，中路在给亨德森                   57'利物浦第57分钟扳平，米尔纳禁区左侧接传中球头球摆渡，摩西头球解围蹭到皮球偏转，维纳尔杜姆小禁区前强力头球破门，1-1
60'长传到左侧，拉拉纳停球出了边线                   57'利物浦第57分钟扳平，米尔纳禁区左侧接传中球头球摆渡，摩西头球解围蹭到皮球偏转，维纳尔杜姆小禁区前强力头球破门，1-1
76'米尔纳门前一垫，高出横梁                   76'切尔西第76分钟错失良机，科斯塔突入禁区边缘内被马蒂普绊倒，他亲自主罚点球被米尼奥莱扑出
76'利物浦用马内替下库鸟，马内终于上了                   76'切尔西第76分钟错失良机，科斯塔突入禁区边缘内被马蒂普绊倒，他亲自主罚点球被米尼奥莱扑出
76'切尔西长传的反击，科斯塔前场拿球                   76'切尔西第76分钟错失良机，科斯塔突入禁区边缘内被马蒂普绊倒，他亲自主罚点球被米尼奥莱扑出
77'无人接应只能自己来，一路带入禁区，面对马蒂普，一扣，马蒂普伸脚，绊倒了科斯塔                   76'切尔西第76分钟错失良机，科斯塔突入禁区边缘内被马蒂普绊倒，他亲自主罚点球被米尼奥莱扑出
77'点球，，克拉滕伯格毫不犹豫，点球                   76'切尔西第76分钟错失良机，科斯塔突入禁区边缘内被马蒂普绊倒，他亲自主罚点球被米尼奥莱扑出
77'科斯塔亲自操刀，，，大力射向左下角，被米尼奥莱扑出底线                   76'切尔西第76分钟错失良机，科斯塔突入禁区边缘内被马蒂普绊倒，他亲自主罚点球被米尼奥莱扑出
77'科斯塔一脸愁容啊，什么情况，扑我点球                   76'切尔西第76分钟错失良机，科斯塔突入禁区边缘内被马蒂普绊倒，他亲自主罚点球被米尼奥莱扑出
77'比分依旧是1-1啊。科斯塔错失点球                   76'切尔西第76分钟错失良机，科斯塔突入禁区边缘内被马蒂普绊倒，他亲自主罚点球被米尼奥莱扑出
78'左侧角球开出，前点被解围                   76'切尔西第76分钟错失良机，科斯塔突入禁区边缘内被马蒂普绊倒，他亲自主罚点球被米尼奥莱扑出
78'场外镜头给到孔蒂，无奈的表情                   76'切尔西第76分钟错失良机，科斯塔突入禁区边缘内被马蒂普绊倒，他亲自主罚点球被米尼奥莱扑出
78'拉拉纳右侧拿球，中路给马内，左侧分米尔纳                   76'切尔西第76分钟错失良机，科斯塔突入禁区边缘内被马蒂普绊倒，他亲自主罚点球被米尼奥莱扑出
78'在选择横敲被马蒂奇拦截                   76'切尔西第76分钟错失良机，科斯塔突入禁区边缘内被马蒂普绊倒，他亲自主罚点球被米尼奥莱扑出
78'斜传给到佩刀，边路疾驰而来，被放倒了                   76'切尔西第76分钟错失良机，科斯塔突入禁区边缘内被马蒂普绊倒，他亲自主罚点球被米尼奥莱扑出
79'右侧定位球开出                   76'切尔西第76分钟错失良机，科斯塔突入禁区边缘内被马蒂普绊倒，他亲自主罚点球被米尼奥莱扑出
79'回给到路易斯，在给坎特                   76'切尔西第76分钟错失良机，科斯塔突入禁区边缘内被马蒂普绊倒，他亲自主罚点球被米尼奥莱扑出
79'前场中路直塞，拼抢中威廉拉人了                   76'切尔西第76分钟错失良机，科斯塔突入禁区边缘内被马蒂普绊倒，他亲自主罚点球被米尼奥莱扑出
91'利物浦用奥里吉替下拉拉纳                   91'利物浦第91分钟险些绝杀，马内右路斜传，菲尔米诺小禁区前头球攻门正入库尔图瓦下怀
91'米尔纳左侧推进，中路在给亨德森                   91'利物浦第91分钟险些绝杀，马内右路斜传，菲尔米诺小禁区前头球攻门正入库尔图瓦下怀
91'长传到前场，詹拿球，在给米尔纳                   91'利物浦第91分钟险些绝杀，马内右路斜传，菲尔米诺小禁区前头球攻门正入库尔图瓦下怀
91'挑传到中路，库尔图瓦出击，把球打出危险区                   91'利物浦第91分钟险些绝杀，马内右路斜传，菲尔米诺小禁区前头球攻门正入库尔图瓦下怀
91'下半场补时3分钟                   91'利物浦第91分钟险些绝杀，马内右路斜传，菲尔米诺小禁区前头球攻门正入库尔图瓦下怀
91'外围利物浦继续进攻，右侧给到马内                   91'利物浦第91分钟险些绝杀，马内右路斜传，菲尔米诺小禁区前头球攻门正入库尔图瓦下怀
92'马内突破一扣，在搓起来，小禁区前沿，菲尔米诺俯身轰炸                   91'利物浦第91分钟险些绝杀，马内右路斜传，菲尔米诺小禁区前头球攻门正入库尔图瓦下怀
92'头球攻门被库尔图瓦没收                   91'利物浦第91分钟险些绝杀，马内右路斜传，菲尔米诺小禁区前头球攻门正入库尔图瓦下怀
92'大脚开出来                   91'利物浦第91分钟险些绝杀，马内右路斜传，菲尔米诺小禁区前头球攻门正入库尔图瓦下怀
92'摩西右侧拿球，挑传到中间，给佩刀                   91'利物浦第91分钟险些绝杀，马内右路斜传，菲尔米诺小禁区前头球攻门正入库尔图瓦下怀
92'在给科斯塔，背身拿球给小法，左侧给坎特                   91'利物浦第91分钟险些绝杀，马内右路斜传，菲尔米诺小禁区前头球攻门正入库尔图瓦下怀
92'分边到右侧摩西，突破下底                   91'利物浦第91分钟险些绝杀，马内右路斜传，菲尔米诺小禁区前头球攻门正入库尔图瓦下怀
93'低球传中进来，被防守队员解围                   91'利物浦第91分钟险些绝杀，马内右路斜传，菲尔米诺小禁区前头球攻门正入库尔图瓦下怀
93'外围摩西在给坎特，直塞到禁区，还是被挡出                   91'利物浦第91分钟险些绝杀，马内右路斜传，菲尔米诺小禁区前头球攻门正入库尔图瓦下怀
93'双方中场拼抢，小法把球拦截                   91'利物浦第91分钟险些绝杀，马内右路斜传，菲尔米诺小禁区前头球攻门正入库尔图瓦下怀
93'左侧再找佩刀，中路横拨，阿隆索外围怒射，被挡出                   91'利物浦第91分钟险些绝杀，马内右路斜传，菲尔米诺小禁区前头球攻门正入库尔图瓦下怀
94'马内后场拿球，人球分过过坎特                   91'利物浦第91分钟险些绝杀，马内右路斜传，菲尔米诺小禁区前头球攻门正入库尔图瓦下怀
94'坎特体力充足啊，一个箭步跟上，捅出边线                   91'利物浦第91分钟险些绝杀，马内右路斜传，菲尔米诺小禁区前头球攻门正入库尔图瓦下怀
94'科斯塔被巴舒亚伊替下，拖延一下时间                   91'利物浦第91分钟险些绝杀，马内右路斜传，菲尔米诺小禁区前头球攻门正入库尔图瓦下怀
