1'上半场比赛开始了                   1'双方第1分钟仍是快节奏对攻
41'拉菲尼亚吃到黄牌                   40'第40分钟，莱万多夫斯基10码处劲射被特尔施特根扑挡，皮球仍缓缓滚向球门，前门兴门将返身在球门线上将皮球捞出，底线裁判并未示意进球
41'苏亚雷斯接应分边被博阿滕拦截出边线                   40'第40分钟，莱万多夫斯基10码处劲射被特尔施特根扑挡，皮球仍缓缓滚向球门，前门兴门将返身在球门线上将皮球捞出，底线裁判并未示意进球
42'拜仁断球，阿隆索交给小猪                   40'第40分钟，莱万多夫斯基10码处劲射被特尔施特根扑挡，皮球仍缓缓滚向球门，前门兴门将返身在球门线上将皮球捞出，底线裁判并未示意进球
42'阿隆索交给蒂亚戈再交给小猪                   40'第40分钟，莱万多夫斯基10码处劲射被特尔施特根扑挡，皮球仍缓缓滚向球门，前门兴门将返身在球门线上将皮球捞出，底线裁判并未示意进球
42'贝尔纳特过渡回给小猪                   40'第40分钟，莱万多夫斯基10码处劲射被特尔施特根扑挡，皮球仍缓缓滚向球门，前门兴门将返身在球门线上将皮球捞出，底线裁判并未示意进球
42'阿隆索再分右路，拉姆传中，皮克顶到第一点                   40'第40分钟，莱万多夫斯基10码处劲射被特尔施特根扑挡，皮球仍缓缓滚向球门，前门兴门将返身在球门线上将皮球捞出，底线裁判并未示意进球
43'内马尔左路来了，踩单车回给苏亚雷斯                   40'第40分钟，莱万多夫斯基10码处劲射被特尔施特根扑挡，皮球仍缓缓滚向球门，前门兴门将返身在球门线上将皮球捞出，底线裁判并未示意进球
43'苏亚雷斯做墙传球有点大                   40'第40分钟，莱万多夫斯基10码处劲射被特尔施特根扑挡，皮球仍缓缓滚向球门，前门兴门将返身在球门线上将皮球捞出，底线裁判并未示意进球
43'内马尔再端回来，被博阿滕解围                   40'第40分钟，莱万多夫斯基10码处劲射被特尔施特根扑挡，皮球仍缓缓滚向球门，前门兴门将返身在球门线上将皮球捞出，底线裁判并未示意进球
43'贝尔纳特左路边路传中，阿尔巴顶出禁区                   40'第40分钟，莱万多夫斯基10码处劲射被特尔施特根扑挡，皮球仍缓缓滚向球门，前门兴门将返身在球门线上将皮球捞出，底线裁判并未示意进球
43'蒂亚戈再分左路，贝尔纳特处在越位位置                   40'第40分钟，莱万多夫斯基10码处劲射被特尔施特根扑挡，皮球仍缓缓滚向球门，前门兴门将返身在球门线上将皮球捞出，底线裁判并未示意进球
59'特尔斯特根传球，内马尔勉强边线处回传，失误了                   59'拜仁第59分钟扳平比分，施魏因斯泰格传球，莱万多夫斯基禁区边缘假动作闪过马斯切拉诺后射入右下角，2-2
59'好的，莱万多夫斯基扳回一球！                   59'拜仁第59分钟扳平比分，施魏因斯泰格传球，莱万多夫斯基禁区边缘假动作闪过马斯切拉诺后射入右下角，2-2
60'小猪的传球到弧顶处，莱万多夫斯基拿球面对马斯切拉诺，莱万多夫斯基右脚往左搓，左脚回扣拉开空档然后右脚推射球门右下角球进！                   59'拜仁第59分钟扳平比分，施魏因斯泰格传球，莱万多夫斯基禁区边缘假动作闪过马斯切拉诺后射入右下角，2-2
61'拜仁球迷也深感欣慰，虽然距离翻盘还比较远，但球队起码没有崩盘                   59'拜仁第59分钟扳平比分，施魏因斯泰格传球，莱万多夫斯基禁区边缘假动作闪过马斯切拉诺后射入右下角，2-2
61'这种表现也是积累口碑的重要举动                   59'拜仁第59分钟扳平比分，施魏因斯泰格传球，莱万多夫斯基禁区边缘假动作闪过马斯切拉诺后射入右下角，2-2
75'拜仁在禁区前沿连续一脚传球，最后小猪禁区线上回做，穆勒大力轰门，球穿过了马蒂厄双腿飞向大门右侧球进！                   74'拜仁第74分钟反超比分，穆勒传球受阻，施魏因斯泰格回传，穆勒禁区弧内射入右下角，3-2
75'巴塞罗那再换人，6号哈维替下了8号伊涅斯塔                   74'拜仁第74分钟反超比分，穆勒传球受阻，施魏因斯泰格回传，穆勒禁区弧内射入右下角，3-2
75'目前，拜仁在第二回合3：2领先巴塞罗那，总比分3：5落后                   74'拜仁第74分钟反超比分，穆勒传球受阻，施魏因斯泰格回传，穆勒禁区弧内射入右下角，3-2
75'拜仁距离晋级还有3球                   74'拜仁第74分钟反超比分，穆勒传球受阻，施魏因斯泰格回传，穆勒禁区弧内射入右下角，3-2
76'剩下15分钟，有没有奇迹还很难说                   74'拜仁第74分钟反超比分，穆勒传球受阻，施魏因斯泰格回传，穆勒禁区弧内射入右下角，3-2
76'莱万多夫斯基带球，皮克将球破坏                   74'拜仁第74分钟反超比分，穆勒传球受阻，施魏因斯泰格回传，穆勒禁区弧内射入右下角，3-2
76'但裁判给了门球                   74'拜仁第74分钟反超比分，穆勒传球受阻，施魏因斯泰格回传，穆勒禁区弧内射入右下角，3-2
76'莱万多夫斯基几乎跳了起来向裁判表示不解                   74'拜仁第74分钟反超比分，穆勒传球受阻，施魏因斯泰格回传，穆勒禁区弧内射入右下角，3-2
76'主裁判马上举起了黄牌警告莱万多夫斯基                   74'拜仁第74分钟反超比分，穆勒传球受阻，施魏因斯泰格回传，穆勒禁区弧内射入右下角，3-2
77'回复：观雨听声  没到结束不一定哦（拜仁球迷又有了希望）                   74'拜仁第74分钟反超比分，穆勒传球受阻，施魏因斯泰格回传，穆勒禁区弧内射入右下角，3-2
77'至少拜仁不会让比赛失去悬念                   74'拜仁第74分钟反超比分，穆勒传球受阻，施魏因斯泰格回传，穆勒禁区弧内射入右下角，3-2
92'反过来巴萨有机会了                   92'第92分钟，内马尔小禁区前无私横传，但梅西错过射空门机会
92'哈维长传到禁区，内马尔护好球面对诺伊尔横传                   92'第92分钟，内马尔小禁区前无私横传，但梅西错过射空门机会
92'空门了，但梅西来迟半步。。。                   92'第92分钟，内马尔小禁区前无私横传，但梅西错过射空门机会
93'佩德罗直传，梅西去追，差了一点                   92'第92分钟，内马尔小禁区前无私横传，但梅西错过射空门机会
93'全场比赛结束！                   92'第92分钟，内马尔小禁区前无私横传，但梅西错过射空门机会
