10'卡希尔后场的争顶，和诺维奇插上的球员撞在一起                   10'第10分钟，斯诺德格拉斯禁区边缘内的射门被封堵，特蒂外围赶上再射也被挡出
50'切尔西继续左侧角球机会，奥斯卡主罚                   48'3分钟后，阿什利-科尔传球，但路易斯的远射再度偏出
50'奥斯卡角球开出到后点，诺维奇后卫解围                   48'3分钟后，阿什利-科尔传球，但路易斯的远射再度偏出
50'米克尔禁区弧顶得到第二落点，一脚打门被后卫挡出                   48'3分钟后，阿什利-科尔传球，但路易斯的远射再度偏出
50'科尔接着的怒射，又是放了飞机                   48'3分钟后，阿什利-科尔传球，但路易斯的远射再度偏出
51'马塔上半场的进球瞬间                   48'3分钟后，阿什利-科尔传球，但路易斯的远射再度偏出
34'路易斯后场抢断，拿球单骑闯关                   34'第34分钟，马塔禁区右侧斜传，摩西12码处射门被封堵，路易斯回传，米克尔禁区弧顶外劲射稍稍高出
34'路易斯禁区前沿分给右侧的马塔                   34'第34分钟，马塔禁区右侧斜传，摩西12码处射门被封堵，路易斯回传，米克尔禁区弧顶外劲射稍稍高出
34'马塔起球到后点，摩西包抄打门被后卫挡出                   34'第34分钟，马塔禁区右侧斜传，摩西12码处射门被封堵，路易斯回传，米克尔禁区弧顶外劲射稍稍高出
34'路易斯得到球权，回敲给到中路插上的米克尔                   34'第34分钟，马塔禁区右侧斜传，摩西12码处射门被封堵，路易斯回传，米克尔禁区弧顶外劲射稍稍高出
35'米克尔禁区线上拔脚怒射，飞机哦                   34'第34分钟，马塔禁区右侧斜传，摩西12码处射门被封堵，路易斯回传，米克尔禁区弧顶外劲射稍稍高出
35'斯诺德格拉斯中场和特泰的配合失误，路易斯抢断                   34'第34分钟，马塔禁区右侧斜传，摩西12码处射门被封堵，路易斯回传，米克尔禁区弧顶外劲射稍稍高出
36'马塔中场拿球短传给到摩西，摩西不停球，直接脚后跟过度给到左路插上的科尔                   34'第34分钟，马塔禁区右侧斜传，摩西12码处射门被封堵，路易斯回传，米克尔禁区弧顶外劲射稍稍高出
37'科尔左边路起球到禁区弧顶，托雷斯头球点给马塔                   34'第34分钟，马塔禁区右侧斜传，摩西12码处射门被封堵，路易斯回传，米克尔禁区弧顶外劲射稍稍高出
37'可惜马塔没能拿住，被诺维奇球员解围                   34'第34分钟，马塔禁区右侧斜传，摩西12码处射门被封堵，路易斯回传，米克尔禁区弧顶外劲射稍稍高出
37'摩西左路拿球，底线内切，趟过防守球员，小角度的打门，球被后卫伸腿挡出底线                   34'第34分钟，马塔禁区右侧斜传，摩西12码处射门被封堵，路易斯回传，米克尔禁区弧顶外劲射稍稍高出
37'切尔西获得左侧角球机会，并没形成威胁                   34'第34分钟，马塔禁区右侧斜传，摩西12码处射门被封堵，路易斯回传，米克尔禁区弧顶外劲射稍稍高出
41'路易斯和奥斯卡的配合，路易斯禁区外拿球                   41'第41分钟，斯诺德格拉斯开出角球，布拉德利-约翰逊头球攻门偏出
41'路易斯挑传过顶球到小禁区右侧找马塔，可惜后者越位在先                   41'第41分钟，斯诺德格拉斯开出角球，布拉德利-约翰逊头球攻门偏出
41'诺维奇的左路传中，科尔将球解围出底线                   41'第41分钟，斯诺德格拉斯开出角球，布拉德利-约翰逊头球攻门偏出
42'诺维奇获得右侧角球机会                   41'第41分钟，斯诺德格拉斯开出角球，布拉德利-约翰逊头球攻门偏出
42'角球开出到前点，约翰逊的狮子甩头攻门，球顶高了                   41'第41分钟，斯诺德格拉斯开出角球，布拉德利-约翰逊头球攻门偏出
43'不知不觉上半场比赛已经接近尾声，比分0-1，切尔西领先                   41'第41分钟，斯诺德格拉斯开出角球，布拉德利-约翰逊头球攻门偏出
43'摩西左路拿球横带，禁区左上角被抢断                   41'第41分钟，斯诺德格拉斯开出角球，布拉德利-约翰逊头球攻门偏出
44'诺维奇的反击，霍尔特前场拿球进入禁区，卡希尔上来将球解围出边线                   41'第41分钟，斯诺德格拉斯开出角球，布拉德利-约翰逊头球攻门偏出
44'阿兹皮里库塔的后场过顶直传给到路易斯                   41'第41分钟，斯诺德格拉斯开出角球，布拉德利-约翰逊头球攻门偏出
44'路易斯停球，脚后跟回敲找马塔，可惜被诺维奇球员拦截                   41'第41分钟，斯诺德格拉斯开出角球，布拉德利-约翰逊头球攻门偏出
46'米克尔斜传球到禁区右上角，给到路易斯                   46'1分钟后，阿斯皮利奎塔右路低传，但托雷斯的射门被封堵
46'可惜路易斯的停球被吹手球在先                   46'1分钟后，阿斯皮利奎塔右路低传，但托雷斯的射门被封堵
46'上半场比赛补时1分钟                   46'1分钟后，阿斯皮利奎塔右路低传，但托雷斯的射门被封堵
47'切尔西前场控球，马塔拿球被特泰放倒                   46'1分钟后，阿斯皮利奎塔右路低传，但托雷斯的射门被封堵
46'下半场比赛开始                   46'1分钟后，阿斯皮利奎塔右路低传，但托雷斯的射门被封堵
46'由身穿白色球衣蓝色短裤的切尔西开球                   46'1分钟后，阿斯皮利奎塔右路低传，但托雷斯的射门被封堵
46'奥斯卡中场直传后卫身后，布恩出击，在托雷斯之前将球大脚解围                   46'1分钟后，阿斯皮利奎塔右路低传，但托雷斯的射门被封堵
47'下半场双方并没有人员上的调整                   46'1分钟后，阿斯皮利奎塔右路低传，但托雷斯的射门被封堵
47'加里多前场边路斜传球到禁区弧顶，伊万诺维奇头球解围                   46'1分钟后，阿斯皮利奎塔右路低传，但托雷斯的射门被封堵
48'据说神灯兰帕德1月将离开斯坦福桥，大家会想念他吗？？？                   46'1分钟后，阿斯皮利奎塔右路低传，但托雷斯的射门被封堵
49'米克尔后场过顶斜传到左路找摩西，球被马丁拦截                   46'1分钟后，阿斯皮利奎塔右路低传，但托雷斯的射门被封堵
49'马丁的直传找霍拉罕，可惜被路易斯抢断                   46'1分钟后，阿斯皮利奎塔右路低传，但托雷斯的射门被封堵
49'摩西左路拿球进攻，赢得角球机会                   46'1分钟后，阿斯皮利奎塔右路低传，但托雷斯的射门被封堵
49'奥斯卡角球开出到前点，布恩出将球扑出底线                   46'1分钟后，阿斯皮利奎塔右路低传，但托雷斯的射门被封堵
61'马塔禁区外的横传找禁区弧内的路易斯                   61'第61分钟，加里多传球，皮尔金顿摆脱阿斯皮利奎塔后禁区左侧的射门被切赫没收
61'路易斯背身停球离身体太远，被抢断                   61'第61分钟，加里多传球，皮尔金顿摆脱阿斯皮利奎塔后禁区左侧的射门被切赫没收
61'诺维奇的反击，加里多前场拿球给到皮尔金顿                   61'第61分钟，加里多传球，皮尔金顿摆脱阿斯皮利奎塔后禁区左侧的射门被切赫没收
61'皮尔金顿摆脱路易斯的防守进入禁区                   61'第61分钟，加里多传球，皮尔金顿摆脱阿斯皮利奎塔后禁区左侧的射门被切赫没收
62'可惜最后一下趟球力量过大，切赫出击将球没收                   61'第61分钟，加里多传球，皮尔金顿摆脱阿斯皮利奎塔后禁区左侧的射门被切赫没收
62'霍拉罕中场拿球，路易斯的倒地放铲，犯规                   61'第61分钟，加里多传球，皮尔金顿摆脱阿斯皮利奎塔后禁区左侧的射门被切赫没收
63'诺维奇获得中前场的任意球机会                   61'第61分钟，加里多传球，皮尔金顿摆脱阿斯皮利奎塔后禁区左侧的射门被切赫没收
63'斯诺德格拉斯任意球直接吊到禁区                   61'第61分钟，加里多传球，皮尔金顿摆脱阿斯皮利奎塔后禁区左侧的射门被切赫没收
63'巴松争顶被吹越位在先                   61'第61分钟，加里多传球，皮尔金顿摆脱阿斯皮利奎塔后禁区左侧的射门被切赫没收
64'马塔前场拿球，过度给到路易斯                   61'第61分钟，加里多传球，皮尔金顿摆脱阿斯皮利奎塔后禁区左侧的射门被切赫没收
64'路易斯禁区外的超远距离抽射，踢飞                   61'第61分钟，加里多传球，皮尔金顿摆脱阿斯皮利奎塔后禁区左侧的射门被切赫没收
69'本场主裁判：莫斯（Jonathan Moss）                   69'第69分钟，阿斯皮利奎塔右路传中，但摩西胸部停球后的射门偏出左侧立柱
69'路易斯的右侧进攻，赢得角球机会                   69'第69分钟，阿斯皮利奎塔右路传中，但摩西胸部停球后的射门偏出左侧立柱
69'角球开出，第一点被诺维奇球员解围                   69'第69分钟，阿斯皮利奎塔右路传中，但摩西胸部停球后的射门偏出左侧立柱
69'阿兹皮里库塔右边路得球，传中到后点                   69'第69分钟，阿斯皮利奎塔右路传中，但摩西胸部停球后的射门偏出左侧立柱
70'摩西胸部停球，右脚跟上的抽射，球擦着左侧立柱出了底线                   69'第69分钟，阿斯皮利奎塔右路传中，但摩西胸部停球后的射门偏出左侧立柱
70'切尔西又一次绝佳良机又被浪费了                   69'第69分钟，阿斯皮利奎塔右路传中，但摩西胸部停球后的射门偏出左侧立柱
70'诺维奇的左路进攻又赢得了角球机会                   69'第69分钟，阿斯皮利奎塔右路传中，但摩西胸部停球后的射门偏出左侧立柱
71'斯诺德格拉斯的角球开出，禁区混战，皮尔金顿的打门                   69'第69分钟，阿斯皮利奎塔右路传中，但摩西胸部停球后的射门偏出左侧立柱
71'阿兹皮里库塔堵枪眼，将球挡出底线                   69'第69分钟，阿斯皮利奎塔右路传中，但摩西胸部停球后的射门偏出左侧立柱
71'诺维奇继续左侧角球机会                   69'第69分钟，阿斯皮利奎塔右路传中，但摩西胸部停球后的射门偏出左侧立柱
72'马丁禁区内争顶被吹推人犯规，推倒了米克尔                   69'第69分钟，阿斯皮利奎塔右路传中，但摩西胸部停球后的射门偏出左侧立柱
72'奥斯卡禁区外的起球找托雷斯，可惜球直接从托雷斯的头顶飞出了底线                   69'第69分钟，阿斯皮利奎塔右路传中，但摩西胸部停球后的射门偏出左侧立柱
79'诺维奇前场进攻，约翰逊的传球找霍尔特，可惜力量过大，直接出了底线                   79'第79分钟，阿扎尔替换摩西出场
79'切尔西再次换人：阿扎尔换下摩西                   79'第79分钟，阿扎尔替换摩西出场
79'诺维奇也是做出人员调整：莫里森换下皮尔金顿                   79'第79分钟，阿扎尔替换摩西出场
80'兰帕德前场拿球，短传给到禁区线上的奥斯卡                   79'第79分钟，阿扎尔替换摩西出场
80'奥斯卡拿球，继续分边，给到右路插上的阿兹皮里库塔                   79'第79分钟，阿扎尔替换摩西出场
81'阿兹皮里库塔起球到后点找马塔，可惜脚法不如马塔，球直接出了底线                   79'第79分钟，阿扎尔替换摩西出场
81'路易斯中圈内的上抢，撞倒了约翰逊，犯规                   79'第79分钟，阿扎尔替换摩西出场
82'诺维奇继续换人：豪森换下约翰逊                   79'第79分钟，阿扎尔替换摩西出场
82'全场比赛已经来到了82分钟，比分还是0-1                   79'第79分钟，阿扎尔替换摩西出场
88'补充消息：在约翰逊被换下场之前，因为对路易斯犯规的不满，有点冲动，领到了黄牌                   88'第88分钟，托雷斯传球，阿扎尔禁区左侧10码处的射门被邦恩封堵后铲出解围，巴松同邦恩一度发生口角
89'切尔西前场进攻，托雷斯禁区线上拿球转身                   88'第88分钟，托雷斯传球，阿扎尔禁区左侧10码处的射门被邦恩封堵后铲出解围，巴松同邦恩一度发生口角
89'可惜球趟的离身体有点远，被布恩及时出来将球解围出边线                   88'第88分钟，托雷斯传球，阿扎尔禁区左侧10码处的射门被邦恩封堵后铲出解围，巴松同邦恩一度发生口角
89'诺维奇又换人了：换上班尼特                   88'第88分钟，托雷斯传球，阿扎尔禁区左侧10码处的射门被邦恩封堵后铲出解围，巴松同邦恩一度发生口角
90'比赛已经进入尾声，比分0-1，切尔西领先                   88'第88分钟，托雷斯传球，阿扎尔禁区左侧10码处的射门被邦恩封堵后铲出解围，巴松同邦恩一度发生口角
90'路易斯的中场直传球找托雷斯                   88'第88分钟，托雷斯传球，阿扎尔禁区左侧10码处的射门被邦恩封堵后铲出解围，巴松同邦恩一度发生口角
91'托雷斯前场拿球过度给到奥斯卡                   88'第88分钟，托雷斯传球，阿扎尔禁区左侧10码处的射门被邦恩封堵后铲出解围，巴松同邦恩一度发生口角
91'奥斯卡继续回敲找托雷斯，托雷斯强突被断                   88'第88分钟，托雷斯传球，阿扎尔禁区左侧10码处的射门被邦恩封堵后铲出解围，巴松同邦恩一度发生口角
91'诺维奇的反击，阿扎尔中场防守放倒了马丁                   88'第88分钟，托雷斯传球，阿扎尔禁区左侧10码处的射门被邦恩封堵后铲出解围，巴松同邦恩一度发生口角
91'下半场比赛补时3分钟                   88'第88分钟，托雷斯传球，阿扎尔禁区左侧10码处的射门被邦恩封堵后铲出解围，巴松同邦恩一度发生口角
92'阿扎尔的这次防守犯规也是被裁判出示了黄牌警告                   92'第92分钟，巴松近距离头球攻门稍稍高出
92'切尔西换人：阿克换下进球工程马塔                   92'第92分钟，巴松近距离头球攻门稍稍高出
92'功臣马塔                   92'第92分钟，巴松近距离头球攻门稍稍高出
92'诺维奇的边路传中，科尔解围差点乌龙                   92'第92分钟，巴松近距离头球攻门稍稍高出
92'切赫比惊出一身冷汗                   92'第92分钟，巴松近距离头球攻门稍稍高出
93'诺维奇的角球，巴松头球，弹地后出了底线                   92'第92分钟，巴松近距离头球攻门稍稍高出
93'之前班尼特换下的是霍拉罕                   92'第92分钟，巴松近距离头球攻门稍稍高出
94'班尼特底线附近拿球，面对科尔的上抢                   92'第92分钟，巴松近距离头球攻门稍稍高出
94'班尼特底线内切，结果球出了底线                   92'第92分钟，巴松近距离头球攻门稍稍高出
