12'AC米兰球员巴洛特利左侧远离球门处小角度右脚射门,被防守球员封堵.                   12'第12分钟，巴洛特利左路似传似射被阿奎拉尼挡出底线
25'AC米兰球员德容拼抢犯规,对手获得控球权.                   24'第24分钟，卡卡传球，德容禁区前沿射门被内托得到
26'马托斯为佛罗伦萨在对方半场,赢得一个任意球.                   24'第24分钟，卡卡传球，德容禁区前沿射门被内托得到
26'AC米兰球员蒙塔里拼抢犯规,对手获得控球权.                   24'第24分钟，卡卡传球，德容禁区前沿射门被内托得到
27'进球啦！！！佛罗伦萨球员巴尔加斯左脚射门,球从左下角飞进球门,球进了! AC米兰 0-1 佛罗伦萨.                   24'第24分钟，卡卡传球，德容禁区前沿射门被内托得到
37'AC米兰球员蒙塔里大禁区中央右脚射门,被防守球员封堵.给他传球的是蒙托利沃.                   37'第37分钟，蒙托利沃传球，蒙塔里禁区内打门被封堵
37'巴尔加斯为佛罗伦萨赢得一个任意球.                   37'第37分钟，蒙托利沃传球，蒙塔里禁区内打门被封堵
37'AC米兰球员比尔萨拼抢犯规,对手获得控球权.                   37'第37分钟，蒙托利沃传球，蒙塔里禁区内打门被封堵
39'扎卡尔多为AC米兰赢得一个任意球.                   37'第37分钟，蒙托利沃传球，蒙塔里禁区内打门被封堵
39'佛罗伦萨球员马托斯拼抢犯规,对手获得控球权.                   37'第37分钟，蒙托利沃传球，蒙塔里禁区内打门被封堵
47'AC米兰球员比尔萨大禁区外左脚射门,被防守球员封堵.给他传球的是巴洛特利.                   47'下半时开始2分钟，比尔萨在门前18米处抽射被罗德里格罗斯挡出底线，AC米兰开出角球，扎卡尔多抢点射门偏出
47'冈萨洛将球处理出底线,AC米兰获得角球.                   47'下半时开始2分钟，比尔萨在门前18米处抽射被罗德里格罗斯挡出底线，AC米兰开出角球，扎卡尔多抢点射门偏出
48'AC米兰球员扎卡尔多大禁区中央尝试右脚射门,可惜皮球稍稍偏出了右球门.                   47'下半时开始2分钟，比尔萨在门前18米处抽射被罗德里格罗斯挡出底线，AC米兰开出角球，扎卡尔多抢点射门偏出
48'AC米兰康斯坦特受伤倒地,比赛暂停                   47'下半时开始2分钟，比尔萨在门前18米处抽射被罗德里格罗斯挡出底线，AC米兰开出角球，扎卡尔多抢点射门偏出
48'暂停结束,球员们重新开始比赛.                   47'下半时开始2分钟，比尔萨在门前18米处抽射被罗德里格罗斯挡出底线，AC米兰开出角球，扎卡尔多抢点射门偏出
50'佛罗伦萨球员阿奎拉尼危险动作,对手获得控球权.                   47'下半时开始2分钟，比尔萨在门前18米处抽射被罗德里格罗斯挡出底线，AC米兰开出角球，扎卡尔多抢点射门偏出
50'蒙托利沃为AC米兰赢得一个任意球.                   47'下半时开始2分钟，比尔萨在门前18米处抽射被罗德里格罗斯挡出底线，AC米兰开出角球，扎卡尔多抢点射门偏出
50'黄牌！佛罗伦萨球员阿奎拉尼因为有危险动作,被主裁判出示黄牌.                   47'下半时开始2分钟，比尔萨在门前18米处抽射被罗德里格罗斯挡出底线，AC米兰开出角球，扎卡尔多抢点射门偏出
50'维奇诺为佛罗伦萨赢得一个任意球.                   47'下半时开始2分钟，比尔萨在门前18米处抽射被罗德里格罗斯挡出底线，AC米兰开出角球，扎卡尔多抢点射门偏出
50'AC米兰球员巴洛特利拼抢犯规,对手获得控球权.                   47'下半时开始2分钟，比尔萨在门前18米处抽射被罗德里格罗斯挡出底线，AC米兰开出角球，扎卡尔多抢点射门偏出
55'佛罗伦萨球员阿奎拉尼拼抢犯规,对手获得控球权.                   55'第55分钟，阿奎拉尼又对巴洛特利战术犯规，主裁判马佐莱尼网开一面，没有向他亮出第2张黄牌
55'巴洛特利为AC米兰赢得一个任意球.                   55'第55分钟，阿奎拉尼又对巴洛特利战术犯规，主裁判马佐莱尼网开一面，没有向他亮出第2张黄牌
56'AC米兰球员巴洛特利大禁区右侧尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是康斯坦特.                   55'第55分钟，阿奎拉尼又对巴洛特利战术犯规，主裁判马佐莱尼网开一面，没有向他亮出第2张黄牌
56'冈萨洛将球处理出底线,AC米兰获得角球.                   55'第55分钟，阿奎拉尼又对巴洛特利战术犯规，主裁判马佐莱尼网开一面，没有向他亮出第2张黄牌
56'罗西将球处理出底线,AC米兰获得角球.                   55'第55分钟，阿奎拉尼又对巴洛特利战术犯规，主裁判马佐莱尼网开一面，没有向他亮出第2张黄牌
57'巴尔加斯为佛罗伦萨赢得一个任意球.                   55'第55分钟，阿奎拉尼又对巴洛特利战术犯规，主裁判马佐莱尼网开一面，没有向他亮出第2张黄牌
57'AC米兰球员萨帕塔拼抢犯规,对手获得控球权.                   55'第55分钟，阿奎拉尼又对巴洛特利战术犯规，主裁判马佐莱尼网开一面，没有向他亮出第2张黄牌
57'AC米兰换人,尼昂换下比尔萨                   55'第55分钟，阿奎拉尼又对巴洛特利战术犯规，主裁判马佐莱尼网开一面，没有向他亮出第2张黄牌
57'AC米兰球员尼昂大禁区外左脚射门,被防守球员封堵.给他传球的是蒙塔里.                   55'第55分钟，阿奎拉尼又对巴洛特利战术犯规，主裁判马佐莱尼网开一面，没有向他亮出第2张黄牌
58'AC米兰球员蒙托利沃大禁区外右脚射门,被防守球员封堵.给他传球的是卡卡.                   55'第55分钟，阿奎拉尼又对巴洛特利战术犯规，主裁判马佐莱尼网开一面，没有向他亮出第2张黄牌
58'萨维奇将球处理出底线,AC米兰获得角球.                   55'第55分钟，阿奎拉尼又对巴洛特利战术犯规，主裁判马佐莱尼网开一面，没有向他亮出第2张黄牌
58'AC米兰球员蒙托利沃大禁区外右脚射门,被防守球员封堵.给他传球的是卡卡.                   58'第58分钟，蒙托利沃远射被萨维奇顶出底线
58'萨维奇将球处理出底线,AC米兰获得角球.                   58'第58分钟，蒙托利沃远射被萨维奇顶出底线
61'内托为佛罗伦萨赢得一个任意球.                   58'第58分钟，蒙托利沃远射被萨维奇顶出底线
61'AC米兰球员巴洛特利拼抢犯规,对手获得控球权.                   58'第58分钟，蒙托利沃远射被萨维奇顶出底线
61'黄牌！AC米兰球员巴洛特利因为恶意犯规,被主裁判出示黄牌.                   58'第58分钟，蒙托利沃远射被萨维奇顶出底线
73'进球啦！！！佛罗伦萨球员博尔加-巴雷罗球门线跟前右脚射门,球从左上角飞进球门,球进了! AC米兰 0-2 佛罗伦萨.                   73'华金换下朱塞佩-罗西，阿莱格里则用萨波纳拉换下蒙塔里，加强攻击力，但AC米兰第73分钟再丢一球，华金右路突破刚出场的萨波纳拉传中，球被加布里埃尔单手扑了一下，博尔哈-巴莱罗后点距门6米处推进空门，2比0
74'AC米兰球员萨波纳拉大禁区中央尝试右脚射门,可惜皮球高出右上角球门.给他传球的是阿巴特.                   73'华金换下朱塞佩-罗西，阿莱格里则用萨波纳拉换下蒙塔里，加强攻击力，但AC米兰第73分钟再丢一球，华金右路突破刚出场的萨波纳拉传中，球被加布里埃尔单手扑了一下，博尔哈-巴莱罗后点距门6米处推进空门，2比0
75'帕斯奎尔为佛罗伦萨赢得一个任意球.                   73'华金换下朱塞佩-罗西，阿莱格里则用萨波纳拉换下蒙塔里，加强攻击力，但AC米兰第73分钟再丢一球，华金右路突破刚出场的萨波纳拉传中，球被加布里埃尔单手扑了一下，博尔哈-巴莱罗后点距门6米处推进空门，2比0
75'AC米兰球员尼昂拼抢犯规,对手获得控球权.                   73'华金换下朱塞佩-罗西，阿莱格里则用萨波纳拉换下蒙塔里，加强攻击力，但AC米兰第73分钟再丢一球，华金右路突破刚出场的萨波纳拉传中，球被加布里埃尔单手扑了一下，博尔哈-巴莱罗后点距门6米处推进空门，2比0
76'佛罗伦萨球员萨维奇拼抢犯规,对手获得控球权.                   73'华金换下朱塞佩-罗西，阿莱格里则用萨波纳拉换下蒙塔里，加强攻击力，但AC米兰第73分钟再丢一球，华金右路突破刚出场的萨波纳拉传中，球被加布里埃尔单手扑了一下，博尔哈-巴莱罗后点距门6米处推进空门，2比0
76'蒙托利沃为AC米兰赢得一个任意球.                   73'华金换下朱塞佩-罗西，阿莱格里则用萨波纳拉换下蒙塔里，加强攻击力，但AC米兰第73分钟再丢一球，华金右路突破刚出场的萨波纳拉传中，球被加布里埃尔单手扑了一下，博尔哈-巴莱罗后点距门6米处推进空门，2比0
76'佛罗伦萨球员萨维奇拼抢犯规,对手获得控球权.                   76'第76分钟，萨波纳拉远射被封堵
76'蒙托利沃为AC米兰赢得一个任意球.                   76'第76分钟，萨波纳拉远射被封堵
77'AC米兰球员萨波纳拉大禁区外右脚射门,被防守球员封堵.给他传球的是阿巴特.                   76'第76分钟，萨波纳拉远射被封堵
47'AC米兰球员比尔萨大禁区外左脚射门,被防守球员封堵.给他传球的是巴洛特利.                   47'2分钟，贝西诺远射偏出左门柱
47'冈萨洛将球处理出底线,AC米兰获得角球.                   47'2分钟，贝西诺远射偏出左门柱
48'AC米兰球员扎卡尔多大禁区中央尝试右脚射门,可惜皮球稍稍偏出了右球门.                   47'2分钟，贝西诺远射偏出左门柱
48'AC米兰康斯坦特受伤倒地,比赛暂停                   47'2分钟，贝西诺远射偏出左门柱
48'暂停结束,球员们重新开始比赛.                   47'2分钟，贝西诺远射偏出左门柱
50'佛罗伦萨球员阿奎拉尼危险动作,对手获得控球权.                   47'2分钟，贝西诺远射偏出左门柱
50'蒙托利沃为AC米兰赢得一个任意球.                   47'2分钟，贝西诺远射偏出左门柱
50'黄牌！佛罗伦萨球员阿奎拉尼因为有危险动作,被主裁判出示黄牌.                   47'2分钟，贝西诺远射偏出左门柱
50'维奇诺为佛罗伦萨赢得一个任意球.                   47'2分钟，贝西诺远射偏出左门柱
50'AC米兰球员巴洛特利拼抢犯规,对手获得控球权.                   47'2分钟，贝西诺远射偏出左门柱
