3'雷腾龙这边先将球破坏了                   3'第3分钟，刘宇右路传中打到门前空档，吉利奥蒂近距离面对杨智垫射将球挡偏
27'这段时间有些拉锯战                   25'第25分钟，力帆由王栋策动快攻，刘卫东前插时被徐云龙放铲将球破坏，刘卫东落地时崴到脚踝，出现些许伤情
27'巴塔拉前场拿球给到边路                   25'第25分钟，力帆由王栋策动快攻，刘卫东前插时被徐云龙放铲将球破坏，刘卫东落地时崴到脚踝，出现些许伤情
27'周挺挑传送禁区前沿                   25'第25分钟，力帆由王栋策动快攻，刘卫东前插时被徐云龙放铲将球破坏，刘卫东落地时崴到脚踝，出现些许伤情
27'孙继海头球先将球破坏                   25'第25分钟，力帆由王栋策动快攻，刘卫东前插时被徐云龙放铲将球破坏，刘卫东落地时崴到脚踝，出现些许伤情
27'宋博轩左路拿球，没有传中的机会                   25'第25分钟，力帆由王栋策动快攻，刘卫东前插时被徐云龙放铲将球破坏，刘卫东落地时崴到脚踝，出现些许伤情
36'吉利奥蒂前场断抢下来                   36'第36分钟，吉利奥蒂前场追抢抢断徐云龙，吉利奥蒂带球突入禁区右翼后低射打偏
36'晃开防守后到了禁区内                   36'第36分钟，吉利奥蒂前场追抢抢断徐云龙，吉利奥蒂带球突入禁区右翼后低射打偏
36'打近角是打在了边网上                   36'第36分钟，吉利奥蒂前场追抢抢断徐云龙，吉利奥蒂带球突入禁区右翼后低射打偏
36'这球也是非常的有威胁                   36'第36分钟，吉利奥蒂前场追抢抢断徐云龙，吉利奥蒂带球突入禁区右翼后低射打偏
37'国安队左路下底到点球点                   36'第36分钟，吉利奥蒂前场追抢抢断徐云龙，吉利奥蒂带球突入禁区右翼后低射打偏
37'德扬的头球攻门将球打偏了                   36'第36分钟，吉利奥蒂前场追抢抢断徐云龙，吉利奥蒂带球突入禁区右翼后低射打偏
39'宋博轩禁区边缘拿球自己拉了一下                   36'第36分钟，吉利奥蒂前场追抢抢断徐云龙，吉利奥蒂带球突入禁区右翼后低射打偏
39'于大宝这边在准备了                   36'第36分钟，吉利奥蒂前场追抢抢断徐云龙，吉利奥蒂带球突入禁区右翼后低射打偏
52'朴成禁区前沿跟队友做撞墙                   52'第52分钟，朴成前插在禁区线前被莱伊尔撞倒，于大宝任意球攻门被人墙封堵
52'力帆这边阻挡犯规了                   52'第52分钟，朴成前插在禁区线前被莱伊尔撞倒，于大宝任意球攻门被人墙封堵
52'裁判哨子响了                   52'第52分钟，朴成前插在禁区线前被莱伊尔撞倒，于大宝任意球攻门被人墙封堵
52'国安队禁区前沿的任意球机会                   52'第52分钟，朴成前插在禁区线前被莱伊尔撞倒，于大宝任意球攻门被人墙封堵
52'位置不错                   52'第52分钟，朴成前插在禁区线前被莱伊尔撞倒，于大宝任意球攻门被人墙封堵
52'看看怎么打                   52'第52分钟，朴成前插在禁区线前被莱伊尔撞倒，于大宝任意球攻门被人墙封堵
53'陈志钊任意球打门                   52'第52分钟，朴成前插在禁区线前被莱伊尔撞倒，于大宝任意球攻门被人墙封堵
53'球是打在了人墙上                   52'第52分钟，朴成前插在禁区线前被莱伊尔撞倒，于大宝任意球攻门被人墙封堵
53'国安队右路送直塞                   52'第52分钟，朴成前插在禁区线前被莱伊尔撞倒，于大宝任意球攻门被人墙封堵
54'于大宝边路拿球选择了回敲                   52'第52分钟，朴成前插在禁区线前被莱伊尔撞倒，于大宝任意球攻门被人墙封堵
54'马季奇拿球挑传                   52'第52分钟，朴成前插在禁区线前被莱伊尔撞倒，于大宝任意球攻门被人墙封堵
54'于大宝头球后蹭                   52'第52分钟，朴成前插在禁区线前被莱伊尔撞倒，于大宝任意球攻门被人墙封堵
54'第一下没有停好                   52'第52分钟，朴成前插在禁区线前被莱伊尔撞倒，于大宝任意球攻门被人墙封堵
54'再抢的时候手上有动作                   52'第52分钟，朴成前插在禁区线前被莱伊尔撞倒，于大宝任意球攻门被人墙封堵
55'马季奇中场拿球给到左路                   52'第52分钟，朴成前插在禁区线前被莱伊尔撞倒，于大宝任意球攻门被人墙封堵
58'巴塔拉前场拿球给到于大宝                   58'第58分钟，德扬禁区前大力斜射被隋维杰扑出底线
58'于大宝跟德扬做撞墙配合                   58'第58分钟，德扬禁区前大力斜射被隋维杰扑出底线
58'德扬禁区外围打门被隋维杰扑出底线                   58'第58分钟，德扬禁区前大力斜射被隋维杰扑出底线
58'角球送后点，乱战中力帆将球解围                   58'第58分钟，德扬禁区前大力斜射被隋维杰扑出底线
59'国安队左路传跑没有形成默契                   58'第58分钟，德扬禁区前大力斜射被隋维杰扑出底线
59'朴成左路拿球选择回敲                   58'第58分钟，德扬禁区前大力斜射被隋维杰扑出底线
59'李磊左路突破被绊倒                   58'第58分钟，德扬禁区前大力斜射被隋维杰扑出底线
60'巴塔拉任意球送前点被破坏                   58'第58分钟，德扬禁区前大力斜射被隋维杰扑出底线
60'刘卫东底线解围被挡出                   58'第58分钟，德扬禁区前大力斜射被隋维杰扑出底线
61'德扬前场拿球到了禁区内                   58'第58分钟，德扬禁区前大力斜射被隋维杰扑出底线
72'国安队进球了！！                   72'第72分钟，国安终打破僵局——巴塔拉将球塞入禁区后迅速插入禁区右翼，于大宝背身以脚后跟做球，巴塔拉面对隋维杰小角度挑射破门
72'巴塔拉！！                   72'第72分钟，国安终打破僵局——巴塔拉将球塞入禁区后迅速插入禁区右翼，于大宝背身以脚后跟做球，巴塔拉面对隋维杰小角度挑射破门
73'国安队右路拿球给到禁区前沿，巴塔拉拿球跟于大宝配合，于大宝脚后跟做球，巴塔拉前场后面对门将低射远角破门！                   72'第72分钟，国安终打破僵局——巴塔拉将球塞入禁区后迅速插入禁区右翼，于大宝背身以脚后跟做球，巴塔拉面对隋维杰小角度挑射破门
73'这个进球对国安队来说比较关键                   72'第72分钟，国安终打破僵局——巴塔拉将球塞入禁区后迅速插入禁区右翼，于大宝背身以脚后跟做球，巴塔拉面对隋维杰小角度挑射破门
74'重庆力帆换人，崔永哲下，彭欣力上！                   72'第72分钟，国安终打破僵局——巴塔拉将球塞入禁区后迅速插入禁区右翼，于大宝背身以脚后跟做球，巴塔拉面对隋维杰小角度挑射破门
81'陈志钊前场右路断球后，自己带球到了禁区内，面对门将很冷静的推射将球打进！                   81'第81分钟，国安将比分扩大——陈志钊右路抢断陈雷后突入禁区，面对隋维杰以穿裆低射破门
83'力帆传球送到禁区内                   81'第81分钟，国安将比分扩大——陈志钊右路抢断陈雷后突入禁区，面对隋维杰以穿裆低射破门
83'马季奇先头球顶了出来                   81'第81分钟，国安将比分扩大——陈志钊右路抢断陈雷后突入禁区，面对隋维杰以穿裆低射破门
84'张池明左路下底传中被周挺解围                   81'第81分钟，国安将比分扩大——陈志钊右路抢断陈雷后突入禁区，面对隋维杰以穿裆低射破门
86'孙继海这边得到一张黄牌！                   86'第86分钟，力帆利用角球机会在国安禁区内连起攻势，吉利奥蒂门前垫射打偏
86'力帆这边想换下孙继海，但是迟迟没有换下来                   86'第86分钟，力帆利用角球机会在国安禁区内连起攻势，吉利奥蒂门前垫射打偏
86'力帆换人，孙继海下，程谋义上！                   86'第86分钟，力帆利用角球机会在国安禁区内连起攻势，吉利奥蒂门前垫射打偏
88'费祖拉乌中后场防守的时候推人犯规                   86'第86分钟，力帆利用角球机会在国安禁区内连起攻势，吉利奥蒂门前垫射打偏
88'力帆任意球送禁区内，杨智差点脱手                   86'第86分钟，力帆利用角球机会在国安禁区内连起攻势，吉利奥蒂门前垫射打偏
88'杨智大脚反击                   86'第86分钟，力帆利用角球机会在国安禁区内连起攻势，吉利奥蒂门前垫射打偏
88'隋维杰冲出禁区内将球解围                   86'第86分钟，力帆利用角球机会在国安禁区内连起攻势，吉利奥蒂门前垫射打偏
49'国安队中场拦截下来                   49'4分钟补时最后时刻，冯劲突入国安禁区右侧后低射制造威胁，杨智将球挡出底线
49'边路进攻到了禁区内                   49'4分钟补时最后时刻，冯劲突入国安禁区右侧后低射制造威胁，杨智将球挡出底线
49'力帆准备先捅一脚被隋维杰拿到                   49'4分钟补时最后时刻，冯劲突入国安禁区右侧后低射制造威胁，杨智将球挡出底线
49'德扬禁区外围打门                   49'4分钟补时最后时刻，冯劲突入国安禁区右侧后低射制造威胁，杨智将球挡出底线
49'球被后卫挡了一下                   49'4分钟补时最后时刻，冯劲突入国安禁区右侧后低射制造威胁，杨智将球挡出底线
50'力帆前场断球下来                   49'4分钟补时最后时刻，冯劲突入国安禁区右侧后低射制造威胁，杨智将球挡出底线
50'吉利奥蒂禁区弧顶停球转身                   49'4分钟补时最后时刻，冯劲突入国安禁区右侧后低射制造威胁，杨智将球挡出底线
50'直接打门了也是稍稍打偏了一点点                   49'4分钟补时最后时刻，冯劲突入国安禁区右侧后低射制造威胁，杨智将球挡出底线
51'国安队前场断球                   49'4分钟补时最后时刻，冯劲突入国安禁区右侧后低射制造威胁，杨智将球挡出底线
51'巴塔拉拿球送直塞没有过去                   49'4分钟补时最后时刻，冯劲突入国安禁区右侧后低射制造威胁，杨智将球挡出底线
51'国安队很快将球反抢下来                   49'4分钟补时最后时刻，冯劲突入国安禁区右侧后低射制造威胁，杨智将球挡出底线
52'朴成禁区前沿跟队友做撞墙                   49'4分钟补时最后时刻，冯劲突入国安禁区右侧后低射制造威胁，杨智将球挡出底线
52'力帆这边阻挡犯规了                   49'4分钟补时最后时刻，冯劲突入国安禁区右侧后低射制造威胁，杨智将球挡出底线
52'裁判哨子响了                   49'4分钟补时最后时刻，冯劲突入国安禁区右侧后低射制造威胁，杨智将球挡出底线
52'国安队禁区前沿的任意球机会                   49'4分钟补时最后时刻，冯劲突入国安禁区右侧后低射制造威胁，杨智将球挡出底线
52'位置不错                   49'4分钟补时最后时刻，冯劲突入国安禁区右侧后低射制造威胁，杨智将球挡出底线
52'看看怎么打                   49'4分钟补时最后时刻，冯劲突入国安禁区右侧后低射制造威胁，杨智将球挡出底线
