1'好的，哨音吹响，比赛开始了，黑猫开球                   1'开场1分钟，曼城后场玩火被断，费尔南迪尼奥紧急飞铲迪福，送出一个任意球
5'飞鸟中场的抢断，直塞诺力托，给到禁区，被破坏了                   3'3分钟，斯特林在右路突破，回扣变向被范恩霍尔特铲倒，曼城获得点球
6'界外球掷出，卡布尔的大脚解围                   3'3分钟，斯特林在右路突破，回扣变向被范恩霍尔特铲倒，曼城获得点球
6'阿坤左路带球，和席尔瓦的快速二过一，被犯规了，漂亮！                   3'3分钟，斯特林在右路突破，回扣变向被范恩霍尔特铲倒，曼城获得点球
5'开场不到5分钟，斯特林造点，阿坤命中！曼城主场1：0领先                   5'5分钟，诺利托在左侧突破，为曼城获得了一个位置极佳的任意球，德布劳内小角度直接攻门，被曼诺内托出横梁
5'飞鸟中场的抢断，直塞诺力托，给到禁区，被破坏了                   5'5分钟，诺利托在左侧突破，为曼城获得了一个位置极佳的任意球，德布劳内小角度直接攻门，被曼诺内托出横梁
6'界外球掷出，卡布尔的大脚解围                   5'5分钟，诺利托在左侧突破，为曼城获得了一个位置极佳的任意球，德布劳内小角度直接攻门，被曼诺内托出横梁
6'阿坤左路带球，和席尔瓦的快速二过一，被犯规了，漂亮！                   5'5分钟，诺利托在左侧突破，为曼城获得了一个位置极佳的任意球，德布劳内小角度直接攻门，被曼诺内托出横梁
7'任意球开出，丁丁直接打门！被扑出                   5'5分钟，诺利托在左侧突破，为曼城获得了一个位置极佳的任意球，德布劳内小角度直接攻门，被曼诺内托出横梁
7'斯特林的很好的控制住二点                   5'5分钟，诺利托在左侧突破，为曼城获得了一个位置极佳的任意球，德布劳内小角度直接攻门，被曼诺内托出横梁
7'萨尼亚长传找阿坤，被破坏出了边线                   5'5分钟，诺利托在左侧突破，为曼城获得了一个位置极佳的任意球，德布劳内小角度直接攻门，被曼诺内托出横梁
8'界外球掷出，丁丁阿坤连续传导，回到后场                   5'5分钟，诺利托在左侧突破，为曼城获得了一个位置极佳的任意球，德布劳内小角度直接攻门，被曼诺内托出横梁
8'科拉罗夫直塞！到禁区了，被后卫破坏了                   5'5分钟，诺利托在左侧突破，为曼城获得了一个位置极佳的任意球，德布劳内小角度直接攻门，被曼诺内托出横梁
8'角球，丁丁主罚                   5'5分钟，诺利托在左侧突破，为曼城获得了一个位置极佳的任意球，德布劳内小角度直接攻门，被曼诺内托出横梁
10'科拉罗夫挑给斯特林，分到左路，被断了                   10'10分钟，曼城再次后场被断，曼城后卫放铲扑空，桑德兰在左路传中扫到小禁区边缘，还好后点包抄不及时，曼城逃过一劫
10'反抢！席尔瓦分边，诺力托过人！角球                   10'10分钟，曼城再次后场被断，曼城后卫放铲扑空，桑德兰在左路传中扫到小禁区边缘，还好后点包抄不及时，曼城逃过一劫
10'角球开出，二点阿坤打门！力气小了                   10'10分钟，曼城再次后场被断，曼城后卫放铲扑空，桑德兰在左路传中扫到小禁区边缘，还好后点包抄不及时，曼城逃过一劫
11'中场直塞，奥谢没能拿到                   10'10分钟，曼城再次后场被断，曼城后卫放铲扑空，桑德兰在左路传中扫到小禁区边缘，还好后点包抄不及时，曼城逃过一劫
11'萨尼亚的回传，力气小了，害门将啊                   10'10分钟，曼城再次后场被断，曼城后卫放铲扑空，桑德兰在左路传中扫到小禁区边缘，还好后点包抄不及时，曼城逃过一劫
12'前场瞬间人数较少，分边，传中！还好没人包抄到                   10'10分钟，曼城再次后场被断，曼城后卫放铲扑空，桑德兰在左路传中扫到小禁区边缘，还好后点包抄不及时，曼城逃过一劫
13'克里希给到诺力托，分边，席尔瓦再给回后场                   10'10分钟，曼城再次后场被断，曼城后卫放铲扑空，桑德兰在左路传中扫到小禁区边缘，还好后点包抄不及时，曼城逃过一劫
13'长传找斯特林，下底，范安霍尔特的成功卡位                   10'10分钟，曼城再次后场被断，曼城后卫放铲扑空，桑德兰在左路传中扫到小禁区边缘，还好后点包抄不及时，曼城逃过一劫
18'斯通斯分边，没机会，重新组织                   18'18分钟，席尔瓦和诺利托打出踢墙配合，诺利托从左路突入禁区，不断回切，躺过三名防守队员但没有得到起脚机会，随后阿圭罗背身拿球也没有太好的机会，最后斯特林一脚跟上打门偏出
19'席尔瓦边路直塞，好球，诺力托内切，挑球，阿坤给到斯特林，打门！打高了点                   18'18分钟，席尔瓦和诺利托打出踢墙配合，诺利托从左路突入禁区，不断回切，躺过三名防守队员但没有得到起脚机会，随后阿圭罗背身拿球也没有太好的机会，最后斯特林一脚跟上打门偏出
20'挑传找阿坤，科内的破坏                   18'18分钟，席尔瓦和诺利托打出踢墙配合，诺利托从左路突入禁区，不断回切，躺过三名防守队员但没有得到起脚机会，随后阿圭罗背身拿球也没有太好的机会，最后斯特林一脚跟上打门偏出
20'阿坤外围的远射，射偏了                   18'18分钟，席尔瓦和诺利托打出踢墙配合，诺利托从左路突入禁区，不断回切，躺过三名防守队员但没有得到起脚机会，随后阿圭罗背身拿球也没有太好的机会，最后斯特林一脚跟上打门偏出
21'长传找博里尼，萨尼亚的成功顶球                    18'18分钟，席尔瓦和诺利托打出踢墙配合，诺利托从左路突入禁区，不断回切，躺过三名防守队员但没有得到起脚机会，随后阿圭罗背身拿球也没有太好的机会，最后斯特林一脚跟上打门偏出
21'飞鸟长传找席尔瓦，古奇的破坏                   18'18分钟，席尔瓦和诺利托打出踢墙配合，诺利托从左路突入禁区，不断回切，躺过三名防守队员但没有得到起脚机会，随后阿圭罗背身拿球也没有太好的机会，最后斯特林一脚跟上打门偏出
32'博里尼回给后场，沃特莫尔分边，传中！有手球的嫌疑                   31'31分钟，桑德兰发起进攻，长传找到禁区内的迪福，被斯通斯惊险破坏，慢镜头显示迪福接球时已经在先
32'斯通斯的解围                   31'31分钟，桑德兰发起进攻，长传找到禁区内的迪福，被斯通斯惊险破坏，慢镜头显示迪福接球时已经在先
33'回传门将，分到萨尼亚                   31'31分钟，桑德兰发起进攻，长传找到禁区内的迪福，被斯通斯惊险破坏，慢镜头显示迪福接球时已经在先
33'飞鸟现在来到了后卫，两个边后卫成了后腰                   31'31分钟，桑德兰发起进攻，长传找到禁区内的迪福，被斯通斯惊险破坏，慢镜头显示迪福接球时已经在先
34'丁丁接球失误，拉倒了勒夫                   31'31分钟，桑德兰发起进攻，长传找到禁区内的迪福，被斯通斯惊险破坏，慢镜头显示迪福接球时已经在先
39'任意球开出，卡巴列罗直接拿到了球                   39'39分钟，罗德维尔在禁区前沿远射偏出
40'曼城后场不停的传导，现在缺少最后的致命一击                   39'39分钟，罗德维尔在禁区前沿远射偏出
40'飞鸟直塞阿坤，被断了，博里尼拿球，分到罗德维尔，打门！                   39'39分钟，罗德维尔在禁区前沿远射偏出
41'稍稍偏出，角球                   39'39分钟，罗德维尔在禁区前沿远射偏出
41'角球开出，禁区混战，迪福射门！卡巴列罗立功了！镜头给到了乔哈特                   39'39分钟，罗德维尔在禁区前沿远射偏出
42'快速反击，斯特林分边，丁丁打门！打偏了                   39'39分钟，罗德维尔在禁区前沿远射偏出
42'古奇吃到了黄牌，刚刚拉倒了反击的斯特林                   39'39分钟，罗德维尔在禁区前沿远射偏出
46'伤停补时1分钟，上半场还是很流畅的                   46'补时1分钟再无建树，最终，双方在上半场战成1-0
46'席尔瓦拿球，回传后场，还是后场控球                   46'补时1分钟再无建树，最终，双方在上半场战成1-0
47'曼城上半场除了前十分钟，后场的控球较多，进攻还不够犀利                   46'补时1分钟再无建树，最终，双方在上半场战成1-0
47'上半场比赛结束了，让我们看看下半场双方的变化，曼城会不会加强配合？稍后再见                   46'补时1分钟再无建树，最终，双方在上半场战成1-0
46'好的，下半场比赛开始了                   46'补时1分钟再无建树，最终，双方在上半场战成1-0
46'直接吊入禁区，被后卫解围出                   46'补时1分钟再无建树，最终，双方在上半场战成1-0
46'斯特林右路和席尔瓦交叉传跑，给到阿坤，打门！                   46'补时1分钟再无建树，最终，双方在上半场战成1-0
47'被挡出了，沃特莫尔拿球进攻，撞到了科拉罗夫                   46'补时1分钟再无建树，最终，双方在上半场战成1-0
48'飞鸟分到右路，席尔瓦再分别，丁丁传中！门将脱手了                   46'补时1分钟再无建树，最终，双方在上半场战成1-0
48'科内的成功解围                   46'补时1分钟再无建树，最终，双方在上半场战成1-0
48'还是曼城球权，给到斯特林，被勒夫卡住了位置，角球                   46'补时1分钟再无建树，最终，双方在上半场战成1-0
49'角球开出，卡布尔的解围                   46'补时1分钟再无建树，最终，双方在上半场战成1-0
49'克里希长传找阿坤，传大了，黑猫长传找迪福                   46'补时1分钟再无建树，最终，双方在上半场战成1-0
49'克里希的解围，差点被迪福偷到                   46'补时1分钟再无建树，最终，双方在上半场战成1-0
49'中场丁丁的犯规                   46'补时1分钟再无建树，最终，双方在上半场战成1-0
47'曼城上半场除了前十分钟，后场的控球较多，进攻还不够犀利                   47'47分钟，德布劳内在右路回扫扫到门前，曼诺内扑救脱手，曼城没有人包抄
47'上半场比赛结束了，让我们看看下半场双方的变化，曼城会不会加强配合？稍后再见                   47'47分钟，德布劳内在右路回扫扫到门前，曼诺内扑救脱手，曼城没有人包抄
47'被挡出了，沃特莫尔拿球进攻，撞到了科拉罗夫                   47'47分钟，德布劳内在右路回扫扫到门前，曼诺内扑救脱手，曼城没有人包抄
48'飞鸟分到右路，席尔瓦再分别，丁丁传中！门将脱手了                   47'47分钟，德布劳内在右路回扫扫到门前，曼诺内扑救脱手，曼城没有人包抄
48'科内的成功解围                   47'47分钟，德布劳内在右路回扫扫到门前，曼诺内扑救脱手，曼城没有人包抄
48'还是曼城球权，给到斯特林，被勒夫卡住了位置，角球                   47'47分钟，德布劳内在右路回扫扫到门前，曼诺内扑救脱手，曼城没有人包抄
49'角球开出，卡布尔的解围                   47'47分钟，德布劳内在右路回扫扫到门前，曼诺内扑救脱手，曼城没有人包抄
49'克里希长传找阿坤，传大了，黑猫长传找迪福                   47'47分钟，德布劳内在右路回扫扫到门前，曼诺内扑救脱手，曼城没有人包抄
49'克里希的解围，差点被迪福偷到                   47'47分钟，德布劳内在右路回扫扫到门前，曼诺内扑救脱手，曼城没有人包抄
49'中场丁丁的犯规                   47'47分钟，德布劳内在右路回扫扫到门前，曼诺内扑救脱手，曼城没有人包抄
50'任意球吊入禁区，被破坏出来                   47'47分钟，德布劳内在右路回扫扫到门前，曼诺内扑救脱手，曼城没有人包抄
57'镜头给到了替补席的萨内，京多安                   57'57分钟，曼城以阿圭罗为轴连续打出多个配合，桑德兰门前风声鹤唳
57'斯特林被盯着很难转身，只好回传                   57'57分钟，曼城以阿圭罗为轴连续打出多个配合，桑德兰门前风声鹤唳
57'黑猫的战术发挥的很好，限制住了对手的转身                   57'57分钟，曼城以阿圭罗为轴连续打出多个配合，桑德兰门前风声鹤唳
58'席尔瓦拿球，分到右路，丁丁横敲                   57'57分钟，曼城以阿圭罗为轴连续打出多个配合，桑德兰门前风声鹤唳
58'诺力托直塞丁丁，横敲，没能包抄到                   57'57分钟，曼城以阿圭罗为轴连续打出多个配合，桑德兰门前风声鹤唳
58'直塞阿坤，直接打门了，越位了                   57'57分钟，曼城以阿圭罗为轴连续打出多个配合，桑德兰门前风声鹤唳
59'诺力托被换下了，换上了纳瓦斯                   57'57分钟，曼城以阿圭罗为轴连续打出多个配合，桑德兰门前风声鹤唳
59'勒夫给到前场，卡瓦罗夫的解围                   57'57分钟，曼城以阿圭罗为轴连续打出多个配合，桑德兰门前风声鹤唳
60'萨尼亚后场长传，小跑车纳瓦斯高速插上                   57'57分钟，曼城以阿圭罗为轴连续打出多个配合，桑德兰门前风声鹤唳
60'对手解围，给到了席尔瓦                   57'57分钟，曼城以阿圭罗为轴连续打出多个配合，桑德兰门前风声鹤唳
60'分边斯特林，下底传中！阿坤打门！差一点啊！                   57'57分钟，曼城以阿圭罗为轴连续打出多个配合，桑德兰门前风声鹤唳
60'勒夫被斯特林完爆了这一次                   57'57分钟，曼城以阿圭罗为轴连续打出多个配合，桑德兰门前风声鹤唳
64'席尔瓦被换下，换上了德尔夫                   64'64分钟，德尔夫换下席尔瓦，队长袖标被交给了费尔南迪尼奥
65'萨尼亚中路拿球，分到克里希，分边，传大了                   64'64分钟，德尔夫换下席尔瓦，队长袖标被交给了费尔南迪尼奥
66'还是曼城后场控球                   64'64分钟，德尔夫换下席尔瓦，队长袖标被交给了费尔南迪尼奥
66'斯通斯给到萨尼亚，直塞德尔夫，被放倒了，没吹                   64'64分钟，德尔夫换下席尔瓦，队长袖标被交给了费尔南迪尼奥
67'分到左路，勒夫停球停大了，斯特林上抢，只好放倒斯特林，黄牌                   64'64分钟，德尔夫换下席尔瓦，队长袖标被交给了费尔南迪尼奥
67'前场的任意球机会                   64'64分钟，德尔夫换下席尔瓦，队长袖标被交给了费尔南迪尼奥
67'丁丁来主罚                   64'64分钟，德尔夫换下席尔瓦，队长袖标被交给了费尔南迪尼奥
70'传到中路，斯通斯拿到二点                   70'70分钟，纳瓦斯在远点见争顶不到，机智的抢桑德兰后卫回传门将的第二点，险些断下皮球
71'斯特林回给中场，飞鸟直塞阿坤，挑球进禁区，纳瓦斯前插，好球，差一点偷到后卫的头球回给门将                   70'70分钟，纳瓦斯在远点见争顶不到，机智的抢桑德兰后卫回传门将的第二点，险些断下皮球
71'黑猫的进攻，直塞迪福，打门。球，进了！！                   70'70分钟，纳瓦斯在远点见争顶不到，机智的抢桑德兰后卫回传门将的第二点，险些断下皮球
72'禁区弧顶的直塞，萨尼亚失位了，迪福打门球进！                   70'70分钟，纳瓦斯在远点见争顶不到，机智的抢桑德兰后卫回传门将的第二点，险些断下皮球
72'上半场迪福就多次找到空当，现在终于找到了机会                   70'70分钟，纳瓦斯在远点见争顶不到，机智的抢桑德兰后卫回传门将的第二点，险些断下皮球
73'双方战平了，看看瓜帅会怎么调整                   70'70分钟，纳瓦斯在远点见争顶不到，机智的抢桑德兰后卫回传门将的第二点，险些断下皮球
73'后场的犯规，黑猫的任意球                   70'70分钟，纳瓦斯在远点见争顶不到，机智的抢桑德兰后卫回传门将的第二点，险些断下皮球
73'开到前点，被破坏出底线，角球                   70'70分钟，纳瓦斯在远点见争顶不到，机智的抢桑德兰后卫回传门将的第二点，险些断下皮球
80'中场传球又失误了，黑猫反击质量较差                   80'80分钟，伊赫纳乔替下克里希84分钟起，曼城逐渐乏力，控球率越来越高，却无力打破，斯特林在边路1过1，没成功，为曼城赢得角球机会
80'纳瓦斯反击，横敲丁丁，打门！打飞了                   80'80分钟，伊赫纳乔替下克里希84分钟起，曼城逐渐乏力，控球率越来越高，却无力打破，斯特林在边路1过1，没成功，为曼城赢得角球机会
81'换上了小将伊西那乔，换下克里希，加强进攻                   80'80分钟，伊赫纳乔替下克里希84分钟起，曼城逐渐乏力，控球率越来越高，却无力打破，斯特林在边路1过1，没成功，为曼城赢得角球机会
81'沃特莫尔前场传中，造成角球                   80'80分钟，伊赫纳乔替下克里希84分钟起，曼城逐渐乏力，控球率越来越高，却无力打破，斯特林在边路1过1，没成功，为曼城赢得角球机会
82'角球开出，被斯特林顶出，二点吊入禁区，科内越位了                   80'80分钟，伊赫纳乔替下克里希84分钟起，曼城逐渐乏力，控球率越来越高，却无力打破，斯特林在边路1过1，没成功，为曼城赢得角球机会
82'比赛的时间不多了                   80'80分钟，伊赫纳乔替下克里希84分钟起，曼城逐渐乏力，控球率越来越高，却无力打破，斯特林在边路1过1，没成功，为曼城赢得角球机会
82'曼城控球率百分之82，可是进攻最后的传导效果不理想                   80'80分钟，伊赫纳乔替下克里希84分钟起，曼城逐渐乏力，控球率越来越高，却无力打破，斯特林在边路1过1，没成功，为曼城赢得角球机会
83'造成了角球                   80'80分钟，伊赫纳乔替下克里希84分钟起，曼城逐渐乏力，控球率越来越高，却无力打破，斯特林在边路1过1，没成功，为曼城赢得角球机会
83'角球开出，萨尼亚，顶偏了一点点                   80'80分钟，伊赫纳乔替下克里希84分钟起，曼城逐渐乏力，控球率越来越高，却无力打破，斯特林在边路1过1，没成功，为曼城赢得角球机会
86'角球开出，二点丁丁拿到，横向转移                   86'86分钟，曼城边路传中，正好打在麦克奈尔头上，桑德兰自摆乌龙，曼城2-1再度领先
86'丁丁45度转移斯特林，传中！！！哈兹里的破坏，好球                   86'86分钟，曼城边路传中，正好打在麦克奈尔头上，桑德兰自摆乌龙，曼城2-1再度领先
87'中场飞鸟丢球了，斯特林的反抢                   86'86分钟，曼城边路传中，正好打在麦克奈尔头上，桑德兰自摆乌龙，曼城2-1再度领先
87'分边纳瓦斯，扫到门前！                   86'86分钟，曼城边路传中，正好打在麦克奈尔头上，桑德兰自摆乌龙，曼城2-1再度领先
87'伊西那乔！！！球进了！！！                   86'86分钟，曼城边路传中，正好打在麦克奈尔头上，桑德兰自摆乌龙，曼城2-1再度领先
87'可以说是绝杀吗？                   86'86分钟，曼城边路传中，正好打在麦克奈尔头上，桑德兰自摆乌龙，曼城2-1再度领先
88'啊！是乌龙球，伊西那乔门球铲射，打到后卫头上球进。                   86'86分钟，曼城边路传中，正好打在麦克奈尔头上，桑德兰自摆乌龙，曼城2-1再度领先
88'瓜帅可算是送了一口气                   86'86分钟，曼城边路传中，正好打在麦克奈尔头上，桑德兰自摆乌龙，曼城2-1再度领先
89'黑猫的反击，勒夫传中，被顶出了                   86'86分钟，曼城边路传中，正好打在麦克奈尔头上，桑德兰自摆乌龙，曼城2-1再度领先
89'比赛最后几分钟了                   86'86分钟，曼城边路传中，正好打在麦克奈尔头上，桑德兰自摆乌龙，曼城2-1再度领先
89'刚刚是麦克纳尔的乌龙球                   86'86分钟，曼城边路传中，正好打在麦克奈尔头上，桑德兰自摆乌龙，曼城2-1再度领先
