1'上半场比赛开始了，客场作战的亚泰率先开球                   1'第1分钟维尔玛接直传球形成单刀但被吹越位，慢镜头显示越位并不明显
25'维尔玛拉到右边，传中到后点，落点不理想                   23'第23分钟，胡斯蒂禁区前沿巧妙过人后挑传，莫雷诺禁区内挑球过人被挡，他示意天津队后卫手球犯规，但主裁判未予理睬
25'亚泰右路反击了，给速度最快的马祖                   23'第23分钟，胡斯蒂禁区前沿巧妙过人后挑传，莫雷诺禁区内挑球过人被挡，他示意天津队后卫手球犯规，但主裁判未予理睬
26'莫雷诺前场视野不错，看准左侧插上的杜震宇有空位，一脚大范围转移                   23'第23分钟，胡斯蒂禁区前沿巧妙过人后挑传，莫雷诺禁区内挑球过人被挡，他示意天津队后卫手球犯规，但主裁判未予理睬
26'可惜莫雷诺这个球给的太大了，直接出了边线                   23'第23分钟，胡斯蒂禁区前沿巧妙过人后挑传，莫雷诺禁区内挑球过人被挡，他示意天津队后卫手球犯规，但主裁判未予理睬
26'亚泰左翼打的很开放，张笑非助攻上来，分给套边的胡斯蒂                   23'第23分钟，胡斯蒂禁区前沿巧妙过人后挑传，莫雷诺禁区内挑球过人被挡，他示意天津队后卫手球犯规，但主裁判未予理睬
30'波拉里干吉后场防守犯规                   30'第30分钟，天津队右路传中，巴尔克斯争顶后踩了蒋哲的脚后跟，后者痛苦倒地
30'杜震宇左路接应张笑非的来球                   30'第30分钟，天津队右路传中，巴尔克斯争顶后踩了蒋哲的脚后跟，后者痛苦倒地
30'杜震宇圆月弯刀给禁区远点                   30'第30分钟，天津队右路传中，巴尔克斯争顶后踩了蒋哲的脚后跟，后者痛苦倒地
31'在马祖的逼抢下赵宏略大脚解围出边线                   30'第30分钟，天津队右路传中，巴尔克斯争顶后踩了蒋哲的脚后跟，后者痛苦倒地
31'上半场进行了半个小时，双方都还未能破门                   30'第30分钟，天津队右路传中，巴尔克斯争顶后踩了蒋哲的脚后跟，后者痛苦倒地
31'周海滨右路斜吊禁区，找巴尔克斯，力量大了                   30'第30分钟，天津队右路传中，巴尔克斯争顶后踩了蒋哲的脚后跟，后者痛苦倒地
32'天津连续的进攻，右路周海滨在传禁区，这次依旧是找后点的巴尔克斯                   30'第30分钟，天津队右路传中，巴尔克斯争顶后踩了蒋哲的脚后跟，后者痛苦倒地
32'巴尔克斯和蒋哲都没有顶到，球飞出底线                   30'第30分钟，天津队右路传中，巴尔克斯争顶后踩了蒋哲的脚后跟，后者痛苦倒地
33'波拉里干吉后场争顶犯规                   30'第30分钟，天津队右路传中，巴尔克斯争顶后踩了蒋哲的脚后跟，后者痛苦倒地
33'胡斯蒂任意球送入禁区，第一点被顶出来                   30'第30分钟，天津队右路传中，巴尔克斯争顶后踩了蒋哲的脚后跟，后者痛苦倒地
33'外围亚泰在送一脚，伊斯梅洛夫禁区内越位                   30'第30分钟，天津队右路传中，巴尔克斯争顶后踩了蒋哲的脚后跟，后者痛苦倒地
35'祝一帆后场组织进攻，敲给右侧的马祖                   35'第35分钟，天津队终于敲开对方城池
35'右路蒋哲交给阎峰的时候直接失误                   35'第35分钟，天津队终于敲开对方城池
35'泰达进球了                   35'第35分钟，天津队终于敲开对方城池
35'进球的是巴尔克斯                   35'第35分钟，天津队终于敲开对方城池
37'泰达利用对方的失误反击到禁区前沿送直塞给巴尔克斯，但被回防的阎峰挡下                   35'第35分钟，天津队终于敲开对方城池
38'不过阎峰能防住第一下却挡不住对手的再次进攻，烈鸟直塞给插上的赵宏略，赵宏略迅速下底，倒三角给到小禁区前沿，巴尔克斯推射远角破门                   35'第35分钟，天津队终于敲开对方城池
38'泰达险些扩大战果                   35'第35分钟，天津队终于敲开对方城池
38'维尔玛禁区内得到机会，亚泰的后防已经失位                   35'第35分钟，天津队终于敲开对方城池
38'维尔玛一脚爆射打近角，击中门柱弹回                   35'第35分钟，天津队终于敲开对方城池
38'第二点宋振瑜反应很快，把球揽入怀中                   35'第35分钟，天津队终于敲开对方城池
47'本已过掉了对手，但没有及时传中，还想再过，被蒋哲破坏掉                   47'刚过2分钟，巴尔克斯斜传穿透对方防线，维尔玛面对宋振瑜大力抽射，皮球击中门柱弹出
47'泰达中场左侧拿球，这个时候上半场的时间已到                   47'刚过2分钟，巴尔克斯斜传穿透对方防线，维尔玛面对宋振瑜大力抽射，皮球击中门柱弹出
47'主裁吹响了上半场结束的哨音                   47'刚过2分钟，巴尔克斯斜传穿透对方防线，维尔玛面对宋振瑜大力抽射，皮球击中门柱弹出
47'亚泰右路的防守再次被打穿                   47'刚过2分钟，巴尔克斯斜传穿透对方防线，维尔玛面对宋振瑜大力抽射，皮球击中门柱弹出
47'烈鸟的直塞，周海滨大步流星的插入禁区右肋                   47'刚过2分钟，巴尔克斯斜传穿透对方防线，维尔玛面对宋振瑜大力抽射，皮球击中门柱弹出
47'周海滨低球给到小禁区前点，维尔玛跟进打门，被蒋哲和宋振瑜合力封堵出来                   47'刚过2分钟，巴尔克斯斜传穿透对方防线，维尔玛面对宋振瑜大力抽射，皮球击中门柱弹出
48'这次虽然逃过一劫，但宋振瑜和蒋哲两人为了封堵这个球也是撞在一起，都受伤了                   47'刚过2分钟，巴尔克斯斜传穿透对方防线，维尔玛面对宋振瑜大力抽射，皮球击中门柱弹出
48'宋振瑜的情况还好些，蒋哲是被搀扶到场边                   47'刚过2分钟，巴尔克斯斜传穿透对方防线，维尔玛面对宋振瑜大力抽射，皮球击中门柱弹出
48'赵宏略边路挑给烈鸟                   47'刚过2分钟，巴尔克斯斜传穿透对方防线，维尔玛面对宋振瑜大力抽射，皮球击中门柱弹出
49'烈鸟停球摆脱，技术很娴熟啊                   47'刚过2分钟，巴尔克斯斜传穿透对方防线，维尔玛面对宋振瑜大力抽射，皮球击中门柱弹出
49'烈鸟在往前挑传，被孙捷大脚踢出边线                   47'刚过2分钟，巴尔克斯斜传穿透对方防线，维尔玛面对宋振瑜大力抽射，皮球击中门柱弹出
49'左路张笑非拿球，横传一下到右侧                   47'刚过2分钟，巴尔克斯斜传穿透对方防线，维尔玛面对宋振瑜大力抽射，皮球击中门柱弹出
50'祝一帆拿球，组织进攻，回给身后的阎峰                   47'刚过2分钟，巴尔克斯斜传穿透对方防线，维尔玛面对宋振瑜大力抽射，皮球击中门柱弹出
50'阎峰挑传给禁区前的马祖，马祖越位了                   47'刚过2分钟，巴尔克斯斜传穿透对方防线，维尔玛面对宋振瑜大力抽射，皮球击中门柱弹出
50'替补出场的韩德明是顶在了中路，影锋的位置                   47'刚过2分钟，巴尔克斯斜传穿透对方防线，维尔玛面对宋振瑜大力抽射，皮球击中门柱弹出
52'亚泰左路的进攻，杜震宇出现了传球的失误                   52'第52分钟，莫雷诺蹬踏波拉里干吉犯规，双方相撞同时倒地
53'莫雷诺回收到后场防守，和波拉里干吉争抢，双方相撞倒地                   52'第52分钟，莫雷诺蹬踏波拉里干吉犯规，双方相撞同时倒地
53'两人双双下场治疗，莫雷诺被吹了犯规                   52'第52分钟，莫雷诺蹬踏波拉里干吉犯规，双方相撞同时倒地
53'泰达正面的远距离任意球                   52'第52分钟，莫雷诺蹬踏波拉里干吉犯规，双方相撞同时倒地
54'烈鸟假动作，低球给禁区前的维尔玛                   52'第52分钟，莫雷诺蹬踏波拉里干吉犯规，双方相撞同时倒地
54'亚泰防守注意力集中，把球挡出来                   52'第52分钟，莫雷诺蹬踏波拉里干吉犯规，双方相撞同时倒地
54'泰达外围在交给左侧的烈鸟                   52'第52分钟，莫雷诺蹬踏波拉里干吉犯规，双方相撞同时倒地
54'烈鸟传中被宋振瑜出击摘下                   52'第52分钟，莫雷诺蹬踏波拉里干吉犯规，双方相撞同时倒地
54'亚泰继续换人，祝一帆下场，阿克斯替补上来                   52'第52分钟，莫雷诺蹬踏波拉里干吉犯规，双方相撞同时倒地
55'亚泰左路打穿对方防线，杜震宇下底传中                   52'第52分钟，莫雷诺蹬踏波拉里干吉犯规，双方相撞同时倒地
55'莫雷诺中路包抄，没有顶到，王秋明把球解围                   52'第52分钟，莫雷诺蹬踏波拉里干吉犯规，双方相撞同时倒地
59'周海滨过来接应，在给烈鸟                   59'第59分钟，天津队开出战术角球，王秋明横敲，烈鸟跟上搓射打高
59'泰达左路赵宏略插上，生趟一步，把即将出界的球救回                   59'第59分钟，天津队开出战术角球，王秋明横敲，烈鸟跟上搓射打高
59'赵宏略传中被孙捷挡出底线，角球                   59'第59分钟，天津队开出战术角球，王秋明横敲，烈鸟跟上搓射打高
59'泰达的战术角球                   59'第59分钟，天津队开出战术角球，王秋明横敲，烈鸟跟上搓射打高
60'烈鸟禁区外拿球横切，一记远射，兜远角，高出                   59'第59分钟，天津队开出战术角球，王秋明横敲，烈鸟跟上搓射打高
60'这是之前设计好的一种战术，战术效果已经出来了                   59'第59分钟，天津队开出战术角球，王秋明横敲，烈鸟跟上搓射打高
60'亚泰前场获得一个定位球                   59'第59分钟，天津队开出战术角球，王秋明横敲，烈鸟跟上搓射打高
60'杜震宇主罚，把球送入禁区之内                   59'第59分钟，天津队开出战术角球，王秋明横敲，烈鸟跟上搓射打高
60'泰达得球快速反击                   59'第59分钟，天津队开出战术角球，王秋明横敲，烈鸟跟上搓射打高
61'烈鸟走中路，前场3打3了                   59'第59分钟，天津队开出战术角球，王秋明横敲，烈鸟跟上搓射打高
61'烈鸟及时的分球，维尔玛右路斜插禁区，一脚爆射，宋振瑜倒地得到                   59'第59分钟，天津队开出战术角球，王秋明横敲，烈鸟跟上搓射打高
61'阎峰前场拼抢，在身后踢翻烈鸟，吃到黄牌                   59'第59分钟，天津队开出战术角球，王秋明横敲，烈鸟跟上搓射打高
62'阿克斯左路接到莫雷诺的传球，挑向禁区                   59'第59分钟，天津队开出战术角球，王秋明横敲，烈鸟跟上搓射打高
62'杜震宇越位了                   59'第59分钟，天津队开出战术角球，王秋明横敲，烈鸟跟上搓射打高
61'烈鸟走中路，前场3打3了                   61'第61分钟，阎峰身后踢倒烈鸟吃到黄牌
61'烈鸟及时的分球，维尔玛右路斜插禁区，一脚爆射，宋振瑜倒地得到                   61'第61分钟，阎峰身后踢倒烈鸟吃到黄牌
61'阎峰前场拼抢，在身后踢翻烈鸟，吃到黄牌                   61'第61分钟，阎峰身后踢倒烈鸟吃到黄牌
62'阿克斯左路接到莫雷诺的传球，挑向禁区                   61'第61分钟，阎峰身后踢倒烈鸟吃到黄牌
62'杜震宇越位了                   61'第61分钟，阎峰身后踢倒烈鸟吃到黄牌
63'亚泰继续换人，马晓磊上来换下蒋哲                   61'第61分钟，阎峰身后踢倒烈鸟吃到黄牌
63'蒋哲刚才的受伤还是有影响                   61'第61分钟，阎峰身后踢倒烈鸟吃到黄牌
64'王秋明禁区前的突破被孙捷放倒                   61'第61分钟，阎峰身后踢倒烈鸟吃到黄牌
66'天津换人，王秋明被郭皓换下                   65'第65分钟，王秋明突破得手，杀入禁区前被对方放倒
66'烈鸟主罚这个定位球，就在禁区线外一点点                   65'第65分钟，王秋明突破得手，杀入禁区前被对方放倒
67'烈鸟的定位球直接打门，宋振瑜精彩的鱼跃扑救，挡出底线                   65'第65分钟，王秋明突破得手，杀入禁区前被对方放倒
67'泰达的角球，外围再来一脚轰门，高了                   65'第65分钟，王秋明突破得手，杀入禁区前被对方放倒
67'亚泰左路斜传，后点马祖有机会啊，头球攻门， 高出横梁                   65'第65分钟，王秋明突破得手，杀入禁区前被对方放倒
68'据前方传来的可靠消息，亚泰的核心胡斯蒂是出现了拉伤，所以中场休息时被换下                   65'第65分钟，王秋明突破得手，杀入禁区前被对方放倒
68'看来胡斯蒂确实是身体的问题，这样的话都亚泰的影响就非常大了                   65'第65分钟，王秋明突破得手，杀入禁区前被对方放倒
69'亚泰左路进攻，张笑非的一脚传中，李玮峰用手挡出，犯规                   69'第69分钟，李玮峰手球犯规，杜震宇任意球被后卫顶出，长春队二次进攻，马晓磊右路低传门前，莫雷诺前点抢点铲射，皮球稍稍偏出门柱击中边网
70'禁区外左侧的任意球，给进去，没能形成威胁                   69'第69分钟，李玮峰手球犯规，杜震宇任意球被后卫顶出，长春队二次进攻，马晓磊右路低传门前，莫雷诺前点抢点铲射，皮球稍稍偏出门柱击中边网
70'外围张笑非得球，视野非常好，及时分给右侧无人防守的孙捷                   69'第69分钟，李玮峰手球犯规，杜震宇任意球被后卫顶出，长春队二次进攻，马晓磊右路低传门前，莫雷诺前点抢点铲射，皮球稍稍偏出门柱击中边网
70'孙捷从容的传中，低球给前点                   69'第69分钟，李玮峰手球犯规，杜震宇任意球被后卫顶出，长春队二次进攻，马晓磊右路低传门前，莫雷诺前点抢点铲射，皮球稍稍偏出门柱击中边网
70'莫雷诺插上，前门柱推射，打在边网                   69'第69分钟，李玮峰手球犯规，杜震宇任意球被后卫顶出，长春队二次进攻，马晓磊右路低传门前，莫雷诺前点抢点铲射，皮球稍稍偏出门柱击中边网
70'这是亚泰目前为止最好的机会，还是没能把握                   69'第69分钟，李玮峰手球犯规，杜震宇任意球被后卫顶出，长春队二次进攻，马晓磊右路低传门前，莫雷诺前点抢点铲射，皮球稍稍偏出门柱击中边网
71'泰达前场右路的进攻，创造一个定位球                   69'第69分钟，李玮峰手球犯规，杜震宇任意球被后卫顶出，长春队二次进攻，马晓磊右路低传门前，莫雷诺前点抢点铲射，皮球稍稍偏出门柱击中边网
71'烈鸟开入禁区，落点不错啊，前点维尔玛居然无人盯防，光头一闪，甩向后点，稍稍偏出                   69'第69分钟，李玮峰手球犯规，杜震宇任意球被后卫顶出，长春队二次进攻，马晓磊右路低传门前，莫雷诺前点抢点铲射，皮球稍稍偏出门柱击中边网
72'70分钟多一点，亚泰的3个换人已经全部用完，剩下的就看场上队员自己了                   69'第69分钟，李玮峰手球犯规，杜震宇任意球被后卫顶出，长春队二次进攻，马晓磊右路低传门前，莫雷诺前点抢点铲射，皮球稍稍偏出门柱击中边网
72'莫雷诺前场的拼抢犯规了                   69'第69分钟，李玮峰手球犯规，杜震宇任意球被后卫顶出，长春队二次进攻，马晓磊右路低传门前，莫雷诺前点抢点铲射，皮球稍稍偏出门柱击中边网
78'韩德明左路交给张笑非，波拉里干吉对韩德明防守犯规                   78'第78分钟，杜震宇左路任意球开到后点，马祖抢到落点头球顶偏
78'看看亚泰能否把握住这个定位球                   78'第78分钟，杜震宇左路任意球开到后点，马祖抢到落点头球顶偏
79'杜震宇开进去，传的稍微高了一点，马祖后点勉强争到，但球没有飞向球门                   78'第78分钟，杜震宇左路任意球开到后点，马祖抢到落点头球顶偏
79'亚泰右路的突破再造一个定位球                   78'第78分钟，杜震宇左路任意球开到后点，马祖抢到落点头球顶偏
80'杜震宇左脚弯刀给进去，中路头球一点，韩德明小禁区打门，被后卫挡住                   78'第78分钟，杜震宇左路任意球开到后点，马祖抢到落点头球顶偏
80'这个球好危险                   78'第78分钟，杜震宇左路任意球开到后点，马祖抢到落点头球顶偏
81'亚泰外围在吊禁区，马祖的冲顶造成杜佳黄油手，角球                   78'第78分钟，杜震宇左路任意球开到后点，马祖抢到落点头球顶偏
80'杜震宇左脚弯刀给进去，中路头球一点，韩德明小禁区打门，被后卫挡住                   80'第80分钟，马祖接传中头球攻门，杜佳在接这个力量不大的头球时意外脱手，幸亏皮球飞出了底线
80'这个球好危险                   80'第80分钟，马祖接传中头球攻门，杜佳在接这个力量不大的头球时意外脱手，幸亏皮球飞出了底线
81'亚泰外围在吊禁区，马祖的冲顶造成杜佳黄油手，角球                   80'第80分钟，马祖接传中头球攻门，杜佳在接这个力量不大的头球时意外脱手，幸亏皮球飞出了底线
82'亚泰角球开出，波拉里干吉前点解围之后和赵宏略纷纷倒在地上                   80'第80分钟，马祖接传中头球攻门，杜佳在接这个力量不大的头球时意外脱手，幸亏皮球飞出了底线
82'亚泰外围还有机会，杜震宇拿球，这时候裁判吹停了比赛，禁区内两名倒地的球员还没有起来                   80'第80分钟，马祖接传中头球攻门，杜佳在接这个力量不大的头球时意外脱手，幸亏皮球飞出了底线
82'经过治疗，比赛恢复，泰达把球权还给亚泰                   80'第80分钟，马祖接传中头球攻门，杜佳在接这个力量不大的头球时意外脱手，幸亏皮球飞出了底线
83'亚泰左路进攻，直塞禁区内，阿克斯插入禁区，晃倒了对方后卫                   80'第80分钟，马祖接传中头球攻门，杜佳在接这个力量不大的头球时意外脱手，幸亏皮球飞出了底线
87'亚泰扳平了比分                   87'第87分钟，久攻之下的长春队终于得手，张笑非杀入禁区连续晃开防守后回敲中路，阿克斯无人盯防情况下一蹴而就
87'这个球非常精彩的配合，由阿克斯破门                   87'第87分钟，久攻之下的长春队终于得手，张笑非杀入禁区连续晃开防守后回敲中路，阿克斯无人盯防情况下一蹴而就
88'泰达这一阵一直被动挨打，最终没能够守住阵地                   87'第87分钟，久攻之下的长春队终于得手，张笑非杀入禁区连续晃开防守后回敲中路，阿克斯无人盯防情况下一蹴而就
89'左路韩德明禁区角上背身拿球，做给插上的张笑非，张笑非突入禁区，精彩的突破过人，下底倒三角传回来，阿克斯冷静的推射破门                   87'第87分钟，久攻之下的长春队终于得手，张笑非杀入禁区连续晃开防守后回敲中路，阿克斯无人盯防情况下一蹴而就
89'亚泰的这个进球和泰达的非常相似                   87'第87分钟，久攻之下的长春队终于得手，张笑非杀入禁区连续晃开防守后回敲中路，阿克斯无人盯防情况下一蹴而就
89'周海滨后场防守犯规                   87'第87分钟，久攻之下的长春队终于得手，张笑非杀入禁区连续晃开防守后回敲中路，阿克斯无人盯防情况下一蹴而就
90'亚泰的任意球送入禁区内，小禁区上3点红衣队员包抄啊，可惜孙捷最后的冲顶偏出了                   87'第87分钟，久攻之下的长春队终于得手，张笑非杀入禁区连续晃开防守后回敲中路，阿克斯无人盯防情况下一蹴而就
90'亚泰有绝杀的机会，这个球，周围全是攻方球员，顶正基本就进了                   87'第87分钟，久攻之下的长春队终于得手，张笑非杀入禁区连续晃开防守后回敲中路，阿克斯无人盯防情况下一蹴而就
89'左路韩德明禁区角上背身拿球，做给插上的张笑非，张笑非突入禁区，精彩的突破过人，下底倒三角传回来，阿克斯冷静的推射破门                   89'第89分钟，长春队左路传中，天津队门前风声鹤唳，但莫雷诺的后点冲顶没有顶上
89'亚泰的这个进球和泰达的非常相似                   89'第89分钟，长春队左路传中，天津队门前风声鹤唳，但莫雷诺的后点冲顶没有顶上
89'周海滨后场防守犯规                   89'第89分钟，长春队左路传中，天津队门前风声鹤唳，但莫雷诺的后点冲顶没有顶上
90'亚泰的任意球送入禁区内，小禁区上3点红衣队员包抄啊，可惜孙捷最后的冲顶偏出了                   89'第89分钟，长春队左路传中，天津队门前风声鹤唳，但莫雷诺的后点冲顶没有顶上
90'亚泰有绝杀的机会，这个球，周围全是攻方球员，顶正基本就进了                   89'第89分钟，长春队左路传中，天津队门前风声鹤唳，但莫雷诺的后点冲顶没有顶上
91'莫雷诺和李玮峰发生争执，裁判各打五十大板，双双黄牌警告                   89'第89分钟，长春队左路传中，天津队门前风声鹤唳，但莫雷诺的后点冲顶没有顶上
91'下半场补时5分钟                   89'第89分钟，长春队左路传中，天津队门前风声鹤唳，但莫雷诺的后点冲顶没有顶上
91'这个时候双方体能都已经透支，就看谁能咬牙了                   89'第89分钟，长春队左路传中，天津队门前风声鹤唳，但莫雷诺的后点冲顶没有顶上
92'周燎中场得球，阎峰犯规了                   89'第89分钟，长春队左路传中，天津队门前风声鹤唳，但莫雷诺的后点冲顶没有顶上
92'阎峰吃到本场第二张黄牌被罚出场                   89'第89分钟，长春队左路传中，天津队门前风声鹤唳，但莫雷诺的后点冲顶没有顶上
91'莫雷诺和李玮峰发生争执，裁判各打五十大板，双双黄牌警告                   91'第91分钟，阎峰恶意犯规再次吃到黄牌，两黄变一红被罚下
91'下半场补时5分钟                   91'第91分钟，阎峰恶意犯规再次吃到黄牌，两黄变一红被罚下
91'这个时候双方体能都已经透支，就看谁能咬牙了                   91'第91分钟，阎峰恶意犯规再次吃到黄牌，两黄变一红被罚下
92'周燎中场得球，阎峰犯规了                   91'第91分钟，阎峰恶意犯规再次吃到黄牌，两黄变一红被罚下
92'阎峰吃到本场第二张黄牌被罚出场                   91'第91分钟，阎峰恶意犯规再次吃到黄牌，两黄变一红被罚下
93'比赛最后阶段亚泰少打一人                   91'第91分钟，阎峰恶意犯规再次吃到黄牌，两黄变一红被罚下
93'右路巴尔克斯下底传中，后点波拉里干吉打门被后卫挡住                   91'第91分钟，阎峰恶意犯规再次吃到黄牌，两黄变一红被罚下
93'周燎得球再打，偏出                   91'第91分钟，阎峰恶意犯规再次吃到黄牌，两黄变一红被罚下
93'宋振瑜拖延时间，被主裁黄牌警告                   91'第91分钟，阎峰恶意犯规再次吃到黄牌，两黄变一红被罚下
94'少打一人的亚泰肯定是想拖延一下，让比赛尽早结束                   91'第91分钟，阎峰恶意犯规再次吃到黄牌，两黄变一红被罚下
