2'拜仁慕尼黑球员格策大禁区外右脚射门,被防守球员封堵.给他传球的是曼朱基齐.                   1'第1分钟，勒沃库森屯兵后场伺机反击，拜仁连续尝试远射
57'勒沃库森球员卡斯特罗拼抢犯规,对手获得控球权.                   56'第56分钟，克罗斯传球，曼朱基奇禁区左侧争顶被莱诺得到
57'孔滕托为拜仁慕尼黑在左路,赢得一个任意球.                   56'第56分钟，克罗斯传球，曼朱基奇禁区左侧争顶被莱诺得到
57'黄牌！勒沃库森球员卡斯特罗因为恶意犯规,被主裁判出示黄牌.                   56'第56分钟，克罗斯传球，曼朱基奇禁区左侧争顶被莱诺得到
59'勒沃库森球员埃姆雷-詹拼抢犯规,对手获得控球权.                   56'第56分钟，克罗斯传球，曼朱基奇禁区左侧争顶被莱诺得到
59'罗本为拜仁慕尼黑在右路,赢得一个任意球.                   56'第56分钟，克罗斯传球，曼朱基奇禁区左侧争顶被莱诺得到
68'沃尔沙伊德将球处理出底线,拜仁慕尼黑获得角球.                   68'第68分钟，孔滕托禁区左侧射门偏出近门柱
68'拜仁慕尼黑球员孔滕托大禁区左侧尝试左脚射门,可惜皮球稍稍偏出了左球门.                   68'第68分钟，孔滕托禁区左侧射门偏出近门柱
69'罗尔费斯为勒沃库森赢得一个任意球.                   68'第68分钟，孔滕托禁区左侧射门偏出近门柱
69'拜仁慕尼黑球员克罗斯拼抢犯规,对手获得控球权.                   68'第68分钟，孔滕托禁区左侧射门偏出近门柱
70'勒沃库森球员伯尼施一脚直塞球给基斯林,但是边裁举旗显示后者已经越位.                   68'第68分钟，孔滕托禁区左侧射门偏出近门柱
70'沃尔沙伊德将球处理出底线,拜仁慕尼黑获得角球.                   68'第68分钟，孔滕托禁区左侧射门偏出近门柱
70'拜仁慕尼黑球员孔滕托大禁区中央右脚射门,被防守球员封堵.给他传球的是格策.                   68'第68分钟，孔滕托禁区左侧射门偏出近门柱
71'射门!!!拜仁慕尼黑球员克罗斯大禁区外右脚射门,被对方守门员横身扑出.给他传球的是里贝里.                   68'第68分钟，孔滕托禁区左侧射门偏出近门柱
71'莱诺将球处理出底线,拜仁慕尼黑获得角球.                   68'第68分钟，孔滕托禁区左侧射门偏出近门柱
71'勒沃库森球员伯尼施拼抢犯规,对手获得控球权.                   68'第68分钟，孔滕托禁区左侧射门偏出近门柱
71'曼朱基齐为拜仁慕尼黑在右路,赢得一个任意球.                   68'第68分钟，孔滕托禁区左侧射门偏出近门柱
81'勒沃库森球员斯帕希奇拼抢犯规,对手获得控球权.                   81'第81分钟，斯帕希奇蹬踏拉菲尼亚迎面骨，也吃到黄牌，沙奇里右侧左脚任意球打在人墙上
81'拉菲尼亚为拜仁慕尼黑在对方半场,赢得一个任意球.                   81'第81分钟，斯帕希奇蹬踏拉菲尼亚迎面骨，也吃到黄牌，沙奇里右侧左脚任意球打在人墙上
81'黄牌！勒沃库森球员斯帕希奇因为恶意犯规,被主裁判出示黄牌.                   81'第81分钟，斯帕希奇蹬踏拉菲尼亚迎面骨，也吃到黄牌，沙奇里右侧左脚任意球打在人墙上
82'拜仁慕尼黑球员沙奇里大禁区外左脚射门,被防守球员封堵.                   81'第81分钟，斯帕希奇蹬踏拉菲尼亚迎面骨，也吃到黄牌，沙奇里右侧左脚任意球打在人墙上
82'罗尔费斯将球处理出底线,拜仁慕尼黑获得角球.                   81'第81分钟，斯帕希奇蹬踏拉菲尼亚迎面骨，也吃到黄牌，沙奇里右侧左脚任意球打在人墙上
83'拜仁慕尼黑球员格策大禁区左侧右脚射门,被防守球员封堵.                   81'第81分钟，斯帕希奇蹬踏拉菲尼亚迎面骨，也吃到黄牌，沙奇里右侧左脚任意球打在人墙上
87'射门!!!拜仁慕尼黑球员里贝里大禁区外右脚射门,被对方守门员横身扑出.给他传球的是沙奇里.                   87'第87分钟，里贝里左侧远射被莱诺封出，穆勒右侧距门9米处补射又被莱诺化解
87'射门!!!拜仁慕尼黑球员穆勒大禁区中央右脚射门,被对方守门员横身扑出.                   87'第87分钟，里贝里左侧远射被莱诺封出，穆勒右侧距门9米处补射又被莱诺化解
87'拜仁慕尼黑球员穆勒一脚直塞球给沙奇里,但是边裁举旗显示后者已经越位.                   87'第87分钟，里贝里左侧远射被莱诺封出，穆勒右侧距门9米处补射又被莱诺化解
88'勒沃库森球员莱诺一脚直塞球给基斯林,但是边裁举旗显示后者已经越位.                   87'第87分钟，里贝里左侧远射被莱诺封出，穆勒右侧距门9米处补射又被莱诺化解
90'勒沃库森球员伯尼施大禁区外右脚射门,被防守球员封堵.给他传球的是萨姆.                   87'第87分钟，里贝里左侧远射被莱诺封出，穆勒右侧距门9米处补射又被莱诺化解
90'蒂亚戈将球处理出底线,勒沃库森获得角球.                   87'第87分钟，里贝里左侧远射被莱诺封出，穆勒右侧距门9米处补射又被莱诺化解
90'+1'进球啦！！！勒沃库森球员基斯林小禁区左侧头球,球从右下角飞进球门,球进了!助攻的是希尔伯特. 拜仁慕尼黑 2-1 勒沃库森.                   87'第87分钟，里贝里左侧远射被莱诺封出，穆勒右侧距门9米处补射又被莱诺化解
90'+2'下半场结束,拜仁慕尼黑 2-1 勒沃库森                   87'第87分钟，里贝里左侧远射被莱诺封出，穆勒右侧距门9米处补射又被莱诺化解
