4'利物浦球员谢尔维大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是苏亚雷斯.                   4'第4分钟，苏亚雷斯传球，谢尔维20码处低射偏出
49'苏亚雷斯为利物浦在对方半场,赢得一个任意球.                   47'第47分钟，苏亚雷斯传球，谢尔维禁区前的射门被米尼奥莱轻松得到
51'桑德兰球员斯瑟格农拼抢犯规,对手获得控球权.                   51'利物浦第51分钟险些扳平，博里尼传球，格伦-约翰逊突入禁区左侧18码处弧线球射门打中横梁弹回
51'乔-阿伦为利物浦赢得一个任意球.                   51'利物浦第51分钟险些扳平，博里尼传球，格伦-约翰逊突入禁区左侧18码处弧线球射门打中横梁弹回
51'利物浦球员格伦-约翰逊大禁区左侧右脚射门,命中门柱横梁.给他传球的是博里尼.                   51'利物浦第51分钟险些扳平，博里尼传球，格伦-约翰逊突入禁区左侧18码处弧线球射门打中横梁弹回
53'利物浦球员博里尼大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是格伦-约翰逊.                   51'利物浦第51分钟险些扳平，博里尼传球，格伦-约翰逊突入禁区左侧18码处弧线球射门打中横梁弹回
53'桑德兰球员奥谢拼抢犯规,对手获得控球权.                   51'利物浦第51分钟险些扳平，博里尼传球，格伦-约翰逊突入禁区左侧18码处弧线球射门打中横梁弹回
53'苏亚雷斯为利物浦在右路,赢得一个任意球.                   51'利物浦第51分钟险些扳平，博里尼传球，格伦-约翰逊突入禁区左侧18码处弧线球射门打中横梁弹回
59'桑德兰球员科尔巴克大禁区外尝试左脚射门,可惜皮球高出球门.给他传球的是麦克林.                   59'第59分钟，麦克利恩传球，科尔巴克禁区前射门打飞
60'桑德兰球员加德纳大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是塞巴斯蒂安-拉尔森.                   59'第59分钟，麦克利恩传球，科尔巴克禁区前射门打飞
61'利物浦球员杰拉德大禁区中央右脚射门,命中门柱右侧立柱.给他传球的是谢尔维.                   59'第59分钟，麦克利恩传球，科尔巴克禁区前射门打飞
61'桑德兰球员罗斯拼抢犯规,对手获得控球权.                   59'第59分钟，麦克利恩传球，科尔巴克禁区前射门打飞
61'L-斯特林为利物浦赢得一个任意球.                   59'第59分钟，麦克利恩传球，科尔巴克禁区前射门打飞
64'利物浦换人,唐宁换下博里尼                   64'第64分钟，唐宁替换博里尼出场
65'加德纳将球处理出底线,利物浦获得角球.                   64'第64分钟，唐宁替换博里尼出场
65'利物浦球员杰拉德大禁区外右脚射门,被防守球员封堵.                   64'第64分钟，唐宁替换博里尼出场
65'射门!!!利物浦球员斯科特尔大禁区中央右脚射门,被对方守门员横身扑出.                   64'第64分钟，唐宁替换博里尼出场
67'桑德兰球员斯瑟格农大禁区外右脚射门,被防守球员封堵.给他传球的是麦克林.                   64'第64分钟，唐宁替换博里尼出场
67'利物浦球员L-斯特林大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.                   64'第64分钟，唐宁替换博里尼出场
71'利物浦球员苏亚雷斯大禁区中央尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是L-斯特林.                   71'利物浦第71分钟扳平比分，斯特灵右路晃过丹尼-罗斯传中，布兰博解围不慎，苏亚雷斯小禁区右侧近距离破门
71'进球啦！！！利物浦球员苏亚雷斯小禁区右侧左脚射门,球从右下角飞进球门,球进了! 桑德兰 1-1 利物浦.                   71'利物浦第71分钟扳平比分，斯特灵右路晃过丹尼-罗斯传中，布兰博解围不慎，苏亚雷斯小禁区右侧近距离破门
72'桑德兰换人,F-坎贝尔换下罗斯                   71'利物浦第71分钟扳平比分，斯特灵右路晃过丹尼-罗斯传中，布兰博解围不慎，苏亚雷斯小禁区右侧近距离破门
73'桑德兰球员麦克林拼抢犯规,对手获得控球权.                   71'利物浦第71分钟扳平比分，斯特灵右路晃过丹尼-罗斯传中，布兰博解围不慎，苏亚雷斯小禁区右侧近距离破门
73'马丁-凯利为利物浦在对方半场,赢得一个任意球.                   71'利物浦第71分钟扳平比分，斯特灵右路晃过丹尼-罗斯传中，布兰博解围不慎，苏亚雷斯小禁区右侧近距离破门
84'利物浦球员格伦-约翰逊大禁区外尝试右脚射门,可惜皮球高出右上角球门.给他传球的是L-斯特林.                   84'第84分钟，斯特灵传球，格伦-约翰逊禁区前射门仍偏出
84'桑德兰球员塞巴斯蒂安-拉尔森拼抢犯规,对手获得控球权.                   84'第84分钟，斯特灵传球，格伦-约翰逊禁区前射门仍偏出
84'杰拉德为利物浦赢得一个任意球.                   84'第84分钟，斯特灵传球，格伦-约翰逊禁区前射门仍偏出
86'桑德兰球员加德纳拼抢犯规,对手获得控球权.                   84'第84分钟，斯特灵传球，格伦-约翰逊禁区前射门仍偏出
86'L-斯特林为利物浦在左路,赢得一个任意球.                   84'第84分钟，斯特灵传球，格伦-约翰逊禁区前射门仍偏出
86'桑德兰换人,萨哈换下斯蒂文-弗莱彻                   84'第84分钟，斯特灵传球，格伦-约翰逊禁区前射门仍偏出
87'桑德兰球员斯瑟格农拼抢犯规,对手获得控球权.                   84'第84分钟，斯特灵传球，格伦-约翰逊禁区前射门仍偏出
87'L-斯特林为利物浦在左路,赢得一个任意球.                   84'第84分钟，斯特灵传球，格伦-约翰逊禁区前射门仍偏出
