1'一方把球回给后场杨善平，给身边崔明安                   1'1分钟后，盖坦禁区外的射门命中目标但被亚泰门将祎凡扑出
20'盖坦前场右侧得球，大范围转移球找到李帅                   17'第17分钟，长春亚泰外援阿德里安在防守汪晋贤时动作过大被出示黄牌
20'BI~BI~BI~裁判响哨！李帅手球啦                   17'第17分钟，长春亚泰外援阿德里安在防守汪晋贤时动作过大被出示黄牌
24'盖坦前场中路得球，直塞球被佩西诺维奇解围                   24'第24分钟，里亚斯克斯禁区弧顶处得球，带球踉踉跄跄闯入禁区后果断起脚，球击中球门边网
24'外围的争抢！朱挺传中球直接出了底线                   24'第24分钟，里亚斯克斯禁区弧顶处得球，带球踉踉跄跄闯入禁区后果断起脚，球击中球门边网
24'祎凡后场大脚开出去，穆谢奎抢球犯规了                   24'第24分钟，里亚斯克斯禁区弧顶处得球，带球踉踉跄跄闯入禁区后果断起脚，球击中球门边网
25'亚泰后场球开出来，阿德里安前场得球，被王耀鹏大脚解围                   24'第24分钟，里亚斯克斯禁区弧顶处得球，带球踉踉跄跄闯入禁区后果断起脚，球击中球门边网
25'穆谢奎中圈得球，回给身后盖坦                   24'第24分钟，里亚斯克斯禁区弧顶处得球，带球踉踉跄跄闯入禁区后果断起脚，球击中球门边网
26'再给汪晋贤脚下，给身里亚斯科斯                   24'第24分钟，里亚斯克斯禁区弧顶处得球，带球踉踉跄跄闯入禁区后果断起脚，球击中球门边网
26'里亚斯科斯调整一下，左脚打门！！                   24'第24分钟，里亚斯克斯禁区弧顶处得球，带球踉踉跄跄闯入禁区后果断起脚，球击中球门边网
26'打在边网上啊！！还是有威胁的                   24'第24分钟，里亚斯克斯禁区弧顶处得球，带球踉踉跄跄闯入禁区后果断起脚，球击中球门边网
26'祎凡后场大脚开出去，崔明安把球挡出边线                   24'第24分钟，里亚斯克斯禁区弧顶处得球，带球踉踉跄跄闯入禁区后果断起脚，球击中球门边网
27'界外球扔出来，中圈的争抢，周大地抢球对盖坦犯规                   24'第24分钟，里亚斯克斯禁区弧顶处得球，带球踉踉跄跄闯入禁区后果断起脚，球击中球门边网
27'周大地吃到一张黄牌！                   24'第24分钟，里亚斯克斯禁区弧顶处得球，带球踉踉跄跄闯入禁区后果断起脚，球击中球门边网
30'goal！！！！！！！！！！                   30'上半场30分钟未到裁判就已经出示了1红4黄
30'上半场第28分钟！！亚泰2比0领先了                   30'上半场30分钟未到裁判就已经出示了1红4黄
31'看回比赛！！王耀鹏后场控制球                   30'上半场30分钟未到裁判就已经出示了1红4黄
31'再回给张翀，长传球到前场，谭龙抢球犯规了                   30'上半场30分钟未到裁判就已经出示了1红4黄
32'定位球开出来，李帅中圈拦截下来，给身前里亚斯科斯                   30'上半场30分钟未到裁判就已经出示了1红4黄
32'孙捷把球挡出了边线！                   30'上半场30分钟未到裁判就已经出示了1红4黄
32'李帅界外球扔出来，穆谢奎接球转身，球被解围                   30'上半场30分钟未到裁判就已经出示了1红4黄
33'外围的争抢！朱晓刚拿到球，伊哈洛上抢犯规                   30'上半场30分钟未到裁判就已经出示了1红4黄
33'定位球开出来，大禁区前沿的争抢，汪晋贤犯规了                   30'上半场30分钟未到裁判就已经出示了1红4黄
33'外围的争抢！朱晓刚拿到球，伊哈洛上抢犯规                   33'第33分钟，亚泰快发界外球，谭龙前场右路传中，中路跟进队友头球偏出
33'定位球开出来，大禁区前沿的争抢，汪晋贤犯规了                   33'第33分钟，亚泰快发界外球，谭龙前场右路传中，中路跟进队友头球偏出
34'定位球开出来，范晓冬中圈得球，直塞球找阿德里安                   33'第33分钟，亚泰快发界外球，谭龙前场右路传中，中路跟进队友头球偏出
34'李帅把球铲出了边线                   33'第33分钟，亚泰快发界外球，谭龙前场右路传中，中路跟进队友头球偏出
34'谭龙前场右侧接球，传中球到禁区里                   33'第33分钟，亚泰快发界外球，谭龙前场右路传中，中路跟进队友头球偏出
34'周大地头球攻门！！差了一点点啊！                   33'第33分钟，亚泰快发界外球，谭龙前场右路传中，中路跟进队友头球偏出
35'比赛继续！！佩西诺维奇抢球对穆谢奎犯规                   33'第33分钟，亚泰快发界外球，谭龙前场右路传中，中路跟进队友头球偏出
35'盖坦定位球开到禁区里，祎凡直接把球没收                   33'第33分钟，亚泰快发界外球，谭龙前场右路传中，中路跟进队友头球偏出
35'手抛球给后场谭龙，低平球直塞被抢断                   33'第33分钟，亚泰快发界外球，谭龙前场右路传中，中路跟进队友头球偏出
36'谭龙反抢对朱晓刚犯规了                   33'第33分钟，亚泰快发界外球，谭龙前场右路传中，中路跟进队友头球偏出
36'谭龙也是吃到一张黄牌！                   33'第33分钟，亚泰快发界外球，谭龙前场右路传中，中路跟进队友头球偏出
36'一方定位球开出来，里亚斯科斯前场得球                   33'第33分钟，亚泰快发界外球，谭龙前场右路传中，中路跟进队友头球偏出
41'比赛继续！！亚泰这边得到一个角球                   41'第41分钟，严智宇在与汪晋贤争抢时抬脚过高直接踹到了汪晋贤的腹部，主裁判向严智宇出示黄牌
41'阿德里安角球开到禁区里！王耀鹏头球解围                   41'第41分钟，严智宇在与汪晋贤争抢时抬脚过高直接踹到了汪晋贤的腹部，主裁判向严智宇出示黄牌
41'范晓冬外围得球，挑传球到禁区，直接出了底线                   41'第41分钟，严智宇在与汪晋贤争抢时抬脚过高直接踹到了汪晋贤的腹部，主裁判向严智宇出示黄牌
42'一方后场大脚开出去，里亚斯科斯带球向前                   41'第41分钟，严智宇在与汪晋贤争抢时抬脚过高直接踹到了汪晋贤的腹部，主裁判向严智宇出示黄牌
42'李帅前场左侧得球，直塞球被孙捷大脚解围                   41'第41分钟，严智宇在与汪晋贤争抢时抬脚过高直接踹到了汪晋贤的腹部，主裁判向严智宇出示黄牌
42'球直接被张翀拿到，一个大脚开出去                   41'第41分钟，严智宇在与汪晋贤争抢时抬脚过高直接踹到了汪晋贤的腹部，主裁判向严智宇出示黄牌
43'前场的争抢！汪晋贤被放倒了                   41'第41分钟，严智宇在与汪晋贤争抢时抬脚过高直接踹到了汪晋贤的腹部，主裁判向严智宇出示黄牌
43'严智宇抬脚过高，黄牌一张                   41'第41分钟，严智宇在与汪晋贤争抢时抬脚过高直接踹到了汪晋贤的腹部，主裁判向严智宇出示黄牌
44'裁判上半场吹罚严格啊，已经6黄一红了                   41'第41分钟，严智宇在与汪晋贤争抢时抬脚过高直接踹到了汪晋贤的腹部，主裁判向严智宇出示黄牌
53'横敲中路阿德里安，再分跟进张笑飞脚下                   53'经过8分钟的伤停补时，主裁判吹响了结束哨音，长春亚泰3-0领先大连一方
54'传中球到禁区里，张翀把球抱住                   53'经过8分钟的伤停补时，主裁判吹响了结束哨音，长春亚泰3-0领先大连一方
54'手抛球给左侧李帅，给王耀鹏脚下                   53'经过8分钟的伤停补时，主裁判吹响了结束哨音，长春亚泰3-0领先大连一方
54'一个大脚向前开，被李光抢断了                   53'经过8分钟的伤停补时，主裁判吹响了结束哨音，长春亚泰3-0领先大连一方
55'给中圈的范晓冬，转移球给张笑飞脚下                   53'经过8分钟的伤停补时，主裁判吹响了结束哨音，长春亚泰3-0领先大连一方
53'界外球扔出来，王耀鹏中圈抢断                   53'经过8分钟的伤停补时，主裁判吹响了结束哨音，长春亚泰3-0领先大连一方
53'回给身后崔明安，转移球被阿德里安抢断                   53'经过8分钟的伤停补时，主裁判吹响了结束哨音，长春亚泰3-0领先大连一方
53'张笑飞左侧下底传中，球踢飞了，张翀后场把球拿到                   53'经过8分钟的伤停补时，主裁判吹响了结束哨音，长春亚泰3-0领先大连一方
54'手抛球扔给朱挺，回给身后单鹏飞                   53'经过8分钟的伤停补时，主裁判吹响了结束哨音，长春亚泰3-0领先大连一方
54'李光上抢把球碰出了边线                   53'经过8分钟的伤停补时，主裁判吹响了结束哨音，长春亚泰3-0领先大连一方
55'朱挺界外球扔出来，张笑飞中圈拦截下来                   53'经过8分钟的伤停补时，主裁判吹响了结束哨音，长春亚泰3-0领先大连一方
55'横敲中路范晓冬，给前场右侧阿德里安                   53'经过8分钟的伤停补时，主裁判吹响了结束哨音，长春亚泰3-0领先大连一方
55'送给中路周大地脚下，再给阿德里安脚下                   53'经过8分钟的伤停补时，主裁判吹响了结束哨音，长春亚泰3-0领先大连一方
55'下半场两队的节奏就有些慢了                   53'经过8分钟的伤停补时，主裁判吹响了结束哨音，长春亚泰3-0领先大连一方
56'伊哈洛前场中路得球，直塞球到禁区                   53'经过8分钟的伤停补时，主裁判吹响了结束哨音，长春亚泰3-0领先大连一方
56'王耀鹏把球挡出去了，外围阿德里安继续控制球                   53'经过8分钟的伤停补时，主裁判吹响了结束哨音，长春亚泰3-0领先大连一方
56'直塞球到大禁区左侧，伊哈洛包抄打门！                   53'经过8分钟的伤停补时，主裁判吹响了结束哨音，长春亚泰3-0领先大连一方
50'里亚斯科斯外围一脚打门！打偏了                   50'第50分钟，张翀抢先出击避免了伊哈洛再次获得单刀机会
52'祎凡后场大脚开出去，范晓冬中圈得球                   50'第50分钟，张翀抢先出击避免了伊哈洛再次获得单刀机会
53'横敲中路阿德里安，再分跟进张笑飞脚下                   50'第50分钟，张翀抢先出击避免了伊哈洛再次获得单刀机会
50'界外球扔出来范晓冬前场得球，给中路阿德里安                   50'第50分钟，张翀抢先出击避免了伊哈洛再次获得单刀机会
50'低平球直塞找到张笑飞，但是越位了                   50'第50分钟，张翀抢先出击避免了伊哈洛再次获得单刀机会
50'张翀后场大脚开出去，里亚斯科斯前场右侧得球                   50'第50分钟，张翀抢先出击避免了伊哈洛再次获得单刀机会
51'半高球到禁区里，佩西诺维奇头球解围                   50'第50分钟，张翀抢先出击避免了伊哈洛再次获得单刀机会
51'汪晋贤外围得球，被张笑飞拦截下来，汪晋贤反抢犯规                   50'第50分钟，张翀抢先出击避免了伊哈洛再次获得单刀机会
52'范晓冬中圈的，给前场右侧阿德里安                   50'第50分钟，张翀抢先出击避免了伊哈洛再次获得单刀机会
52'直塞球找禁区中路伊哈洛，张翀出击把球抱住                   50'第50分钟，张翀抢先出击避免了伊哈洛再次获得单刀机会
52'后场球开出来，崔明安大脚找朱挺，球是直接出了边线                   50'第50分钟，张翀抢先出击避免了伊哈洛再次获得单刀机会
53'界外球扔出来，王耀鹏中圈抢断                   50'第50分钟，张翀抢先出击避免了伊哈洛再次获得单刀机会
53'回给身后崔明安，转移球被阿德里安抢断                   50'第50分钟，张翀抢先出击避免了伊哈洛再次获得单刀机会
53'张笑飞左侧下底传中，球踢飞了，张翀后场把球拿到                   50'第50分钟，张翀抢先出击避免了伊哈洛再次获得单刀机会
62'回给身后朱挺，再给崔明安，挑传球到禁区中路                   62'第62分钟，严智宇前场右路得球后灵活闪开了上前封堵的孙国文，小角度射门高出横梁
62'被祎凡直接没收了！                   62'第62分钟，严智宇前场右路得球后灵活闪开了上前封堵的孙国文，小角度射门高出横梁
62'范晓冬中圈得球，给回接的伊哈洛                   62'第62分钟，严智宇前场右路得球后灵活闪开了上前封堵的孙国文，小角度射门高出横梁
63'李光中圈右侧得球，再分前场右侧严智宇                   62'第62分钟，严智宇前场右路得球后灵活闪开了上前封堵的孙国文，小角度射门高出横梁
63'严智宇内切打门了！打偏了                   62'第62分钟，严智宇前场右路得球后灵活闪开了上前封堵的孙国文，小角度射门高出横梁
63'张翀后场球大脚开出去！范晓冬把球碰出边线                   62'第62分钟，严智宇前场右路得球后灵活闪开了上前封堵的孙国文，小角度射门高出横梁
64'界外球扔出来，朱挺前场右侧得球，给中路汪晋贤                   62'第62分钟，严智宇前场右路得球后灵活闪开了上前封堵的孙国文，小角度射门高出横梁
64'汪晋贤禁区外左脚抽射！！打高了                   62'第62分钟，严智宇前场右路得球后灵活闪开了上前封堵的孙国文，小角度射门高出横梁
64'祎凡好像扑了一下，这是一个角球                   62'第62分钟，严智宇前场右路得球后灵活闪开了上前封堵的孙国文，小角度射门高出横梁
65'角球开出来~！直接出了另一侧底线                   62'第62分钟，严智宇前场右路得球后灵活闪开了上前封堵的孙国文，小角度射门高出横梁
65'祎凡后场球开出来，张笑飞前场左侧得球                   62'第62分钟，严智宇前场右路得球后灵活闪开了上前封堵的孙国文，小角度射门高出横梁
65'转移球到这里，被单鹏飞拦截下来，分外围朱挺脚下                   62'第62分钟，严智宇前场右路得球后灵活闪开了上前封堵的孙国文，小角度射门高出横梁
66'崔明安身前接球，给身后朱晓刚，直塞球被阿德里安抢断                   66'第66分钟，长春亚泰进行人员调整，本场比赛的进球功臣伊哈洛被程长城替换下场，队长袖标戴在了范晓东的手臂上
66'一个大脚向前开，伊哈洛禁区里得球，被回防王耀鹏解围出去                   66'第66分钟，长春亚泰进行人员调整，本场比赛的进球功臣伊哈洛被程长城替换下场，队长袖标戴在了范晓东的手臂上
68'亚泰这边换人了，换下伊哈洛，换上程长城                   66'第66分钟，长春亚泰进行人员调整，本场比赛的进球功臣伊哈洛被程长城替换下场，队长袖标戴在了范晓东的手臂上
68'谭龙前场右侧得球，内切到大禁区右侧！一脚低射                   66'第66分钟，长春亚泰进行人员调整，本场比赛的进球功臣伊哈洛被程长城替换下场，队长袖标戴在了范晓东的手臂上
68'偏出了左侧立柱啊！！                   66'第66分钟，长春亚泰进行人员调整，本场比赛的进球功臣伊哈洛被程长城替换下场，队长袖标戴在了范晓东的手臂上
69'朱挺中圈得到球，直接带球向前！杀到大禁区右侧                   66'第66分钟，长春亚泰进行人员调整，本场比赛的进球功臣伊哈洛被程长城替换下场，队长袖标戴在了范晓东的手臂上
69'传中球到禁区！被挡了一下，被祎凡拿到                   66'第66分钟，长春亚泰进行人员调整，本场比赛的进球功臣伊哈洛被程长城替换下场，队长袖标戴在了范晓东的手臂上
69'亚泰后场球开出来，佩西诺维奇中圈控制球                   66'第66分钟，长春亚泰进行人员调整，本场比赛的进球功臣伊哈洛被程长城替换下场，队长袖标戴在了范晓东的手臂上
74'祎凡后场大脚开出去，范晓冬前场得球，直塞球被单鹏飞拦截下来                   74'第74分钟，长春亚泰继续调兵遣将，谭龙被韩子龙替换下场
75'大脚找前场右侧汪晋贤，这个球没追上，直接出了底线                   74'第74分钟，长春亚泰继续调兵遣将，谭龙被韩子龙替换下场
75'亚泰继续换人，换下谭龙，换上韩子龙                   74'第74分钟，长春亚泰继续调兵遣将，谭龙被韩子龙替换下场
76'张笑飞挑传球到前场左侧，王耀鹏头球解围                   74'第74分钟，长春亚泰继续调兵遣将，谭龙被韩子龙替换下场
76'孙国文外围继续得球，回给身后崔明安                   74'第74分钟，长春亚泰继续调兵遣将，谭龙被韩子龙替换下场
76'再分中场右侧朱挺脚下                   74'第74分钟，长春亚泰继续调兵遣将，谭龙被韩子龙替换下场
77'朱挺停球失误了，直接出了底线，球门球                   74'第74分钟，长春亚泰继续调兵遣将，谭龙被韩子龙替换下场
77'祎凡后场球开出来，阿德里安中圈控制球                   74'第74分钟，长春亚泰继续调兵遣将，谭龙被韩子龙替换下场
80'轻推找大禁区左侧韩子龙，跟进一脚抽射！球被挡出底线，角球                   80'第80分钟，大连一方进行了本队的最后一次换人，董岩锋替补朱挺登场
80'角球开到禁区里，直接被张翀没收                   80'第80分钟，大连一方进行了本队的最后一次换人，董岩锋替补朱挺登场
81'张翀后场大脚开出去，周大地中圈得球                   80'第80分钟，大连一方进行了本队的最后一次换人，董岩锋替补朱挺登场
81'转移球被碰出边线，亚泰前场界外球                   80'第80分钟，大连一方进行了本队的最后一次换人，董岩锋替补朱挺登场
81'一方再次换人，换下朱挺，换上董岩峰                   80'第80分钟，大连一方进行了本队的最后一次换人，董岩锋替补朱挺登场
82'范晓冬中路得球，直塞球出了底线，球门球                   80'第80分钟，大连一方进行了本队的最后一次换人，董岩锋替补朱挺登场
