1'主裁判一声哨响，上半场开始                   1'双方第1分钟均显得小心谨慎
45'中圈附近，，若日尼奥得球                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
46'过顶挑传，，斯通斯后场中路断下                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
46'往前送直传                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
46'吕迪格上抢，，断球                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
46'分前场中路给若日尼奥                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
46'直传给禁区内                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
46'阿扎尔抢过来                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
46'沃克把球护住。。后场转移                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
46'左侧德尔夫和佩刀争顶                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
46'佩刀把球顶出边线                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
46'德尔夫后场边路发球                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
47'给回撤接应的马赫雷斯                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
47'回做德尔夫，，挑传到前场                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
47'路易斯后场停球，回敲科帕                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
47'分左侧给阿隆索，，回敲给路易斯                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
47'挑传，，阿隆索把球踢出了边线                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
47'沃克界外球，回敲斯通斯                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
48'在横敲，拉波尔特                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
48'斜长传，，，萨内越位了                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
48'科帕后场发球                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
48'给左侧阿隆索，推进                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
48'斯特林碰出界外                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
48'阿隆索发球，给接应的阿扎尔                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
48'回敲分阿紫，，再给身前佩刀                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
48'佩刀回敲给阿紫                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
48'横传，吕迪格接应                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
48'给到路易斯，，长传到前场                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
48'右侧佩刀得球，，横传                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
48'威廉禁区左侧得球                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
48'出球被沃克顶出来                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
48'弧顶外，坎特跟上，，一记抽射                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
48'有了                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
48'第一下威廉传中被补防的沃克顶出禁区外！！禁区外阿隆索抢到球，分到禁区内给阿扎尔！！阿扎尔的倒三角分球！！！！坎特禁区附近后插上，右脚抽射得分                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
48'切尔西主场领先了                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
48'上半场唯一一次射正                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
48'上半场补时2分钟                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
48'曼城发球，后场传递                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
48'慢慢渗透向前，被阿隆索断下                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
48'给到门将科帕，，分给吕迪格                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
48'给到坎特，中圈拿球                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
48'横传阿隆索，分左路威廉                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
48'回做科瓦契奇，，在回传过来                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
48'吕迪格拿球，分右侧阿紫                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
48'前场右路，在回敲吕迪格                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
48'横敲路易斯，分左侧阿隆索                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
48'分身前给阿扎尔                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
48'科瓦契奇连续转身护球，在回敲路易斯                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
48'哨响，，上半场结束了                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
46'切尔西发球，给到后场吕迪格                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
46'长传向前，被斯通斯顶回来                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
46'沃克拿球，分向前，给斯特林                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
46'右路推进，自己趟大了                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
46'切尔西后场界外球                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
46'给到科帕，，大脚开出                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
46'中后场右侧阿紫得球                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
46'头球摆渡                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
46'前场出了界外                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
46'曼城回敲给拉波尔特                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
47'分给艾德森，，短传，向前给斯通斯                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
47'后场横敲，，分给拉波尔特                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
47'继续给到斯通斯脚下                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
47'回敲给身边拉波尔特                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
47'低球向前给到B席                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
47'分左侧，给到萨内                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
47'尝试突破，被阿紫给逼抢下来                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
47'挨着快速分给若日尼奥                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
47'回做给吕迪格，，后场右侧控制                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
48'分给到阿紫，，回敲给科帕                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
48'在给到吕迪格，，身前给阿紫                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
48'再往前送给阿扎尔                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
48'脚后跟，做给了科瓦契奇                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
48'分前场左侧给威廉                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
48'内切，，禁区外弧顶被放倒了                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
48'坎特后排跟上，怒射，打高                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
78'阿紫，大力丢到禁区附近                   78'切尔西第78分钟扩大比分，巴克利外围射门打中马赫雷斯偏出底线，阿扎尔开出角球，路易斯近距离头球攻门击中横梁下沿入网，2-0
78'巴克利得球，，禁区前沿一记远射                   78'切尔西第78分钟扩大比分，巴克利外围射门打中马赫雷斯偏出底线，阿扎尔开出角球，路易斯近距离头球攻门击中横梁下沿入网，2-0
78'击中斯通斯，出了底线                   78'切尔西第78分钟扩大比分，巴克利外围射门打中马赫雷斯偏出底线，阿扎尔开出角球，路易斯近距离头球攻门击中横梁下沿入网，2-0
78'左侧角球，，，这是切尔西今天第一个角球吧                   78'切尔西第78分钟扩大比分，巴克利外围射门打中马赫雷斯偏出底线，阿扎尔开出角球，路易斯近距离头球攻门击中横梁下沿入网，2-0
78'角球开起来                   78'切尔西第78分钟扩大比分，巴克利外围射门打中马赫雷斯偏出底线，阿扎尔开出角球，路易斯近距离头球攻门击中横梁下沿入网，2-0
78'到了前点，，，路易斯，头球一甩。。。有了                   78'切尔西第78分钟扩大比分，巴克利外围射门打中马赫雷斯偏出底线，阿扎尔开出角球，路易斯近距离头球攻门击中横梁下沿入网，2-0
79'大卫路易斯。。。头球建功，扩大比分了                   78'切尔西第78分钟扩大比分，巴克利外围射门打中马赫雷斯偏出底线，阿扎尔开出角球，路易斯近距离头球攻门击中横梁下沿入网，2-0
79'今天切尔西把握机会能力太强了啊。。                   78'切尔西第78分钟扩大比分，巴克利外围射门打中马赫雷斯偏出底线，阿扎尔开出角球，路易斯近距离头球攻门击中横梁下沿入网，2-0
79'曼城角球无数，攻不进，，切尔西只有一个角球，破门了啊                   78'切尔西第78分钟扩大比分，巴克利外围射门打中马赫雷斯偏出底线，阿扎尔开出角球，路易斯近距离头球攻门击中横梁下沿入网，2-0
79'场边的瓜迪奥拉还在对第四官员说那不是个角球                   78'切尔西第78分钟扩大比分，巴克利外围射门打中马赫雷斯偏出底线，阿扎尔开出角球，路易斯近距离头球攻门击中横梁下沿入网，2-0
