1'苏亚雷斯被授予10月西甲最佳球员                   1'开场不到1分钟，马尔科姆左路下底传中，梅西小禁区前推射偏出
4'阿尔巴介外球，被巴尔特拉断下                   1'开场不到1分钟，马尔科姆左路下底传中，梅西小禁区前推射偏出
4'洛佩斯发球出来，莫隆接应直传                   1'开场不到1分钟，马尔科姆左路下底传中，梅西小禁区前推射偏出
4'菲尔波高速插上                   1'开场不到1分钟，马尔科姆左路下底传中，梅西小禁区前推射偏出
4'是华金接应直传                   1'开场不到1分钟，马尔科姆左路下底传中，梅西小禁区前推射偏出
20'菲尔波高速插上得球内切打近角，球进了！                   20'贝蒂斯第20分钟取得领先，卡瓦略传球，菲尔波突入禁区左侧12码处晃开罗伯托防守后射入近角
20'菲尔波面对的是罗贝托                   20'贝蒂斯第20分钟取得领先，卡瓦略传球，菲尔波突入禁区左侧12码处晃开罗伯托防守后射入近角
20'脚下频率还是很快的                   20'贝蒂斯第20分钟取得领先，卡瓦略传球，菲尔波突入禁区左侧12码处晃开罗伯托防守后射入近角
21'菲尔波是一位22岁的西班牙球员                   20'贝蒂斯第20分钟取得领先，卡瓦略传球，菲尔波突入禁区左侧12码处晃开罗伯托防守后射入近角
21'皮克分右侧                   20'贝蒂斯第20分钟取得领先，卡瓦略传球，菲尔波突入禁区左侧12码处晃开罗伯托防守后射入近角
21'罗贝托的传中被破坏                   20'贝蒂斯第20分钟取得领先，卡瓦略传球，菲尔波突入禁区左侧12码处晃开罗伯托防守后射入近角
22'菲尔波直传，给大了                   20'贝蒂斯第20分钟取得领先，卡瓦略传球，菲尔波突入禁区左侧12码处晃开罗伯托防守后射入近角
22'巴塞罗那后场控球                   20'贝蒂斯第20分钟取得领先，卡瓦略传球，菲尔波突入禁区左侧12码处晃开罗伯托防守后射入近角
22'特尔施特根长传上来，巴尔特拉顶到中场                   20'贝蒂斯第20分钟取得领先，卡瓦略传球，菲尔波突入禁区左侧12码处晃开罗伯托防守后射入近角
22'曼迪直传，洛塞尔索接应一下分给特略                   20'贝蒂斯第20分钟取得领先，卡瓦略传球，菲尔波突入禁区左侧12码处晃开罗伯托防守后射入近角
23'长传上来，莫隆去追传中，莫隆一停被皮克捅走                   20'贝蒂斯第20分钟取得领先，卡瓦略传球，菲尔波突入禁区左侧12码处晃开罗伯托防守后射入近角
23'外围莫隆再打被特尔施特根将球抱住                   20'贝蒂斯第20分钟取得领先，卡瓦略传球，菲尔波突入禁区左侧12码处晃开罗伯托防守后射入近角
23'瓜尔达多交给曼迪                   20'贝蒂斯第20分钟取得领先，卡瓦略传球，菲尔波突入禁区左侧12码处晃开罗伯托防守后射入近角
23'交给卡瓦略，直传                   20'贝蒂斯第20分钟取得领先，卡瓦略传球，菲尔波突入禁区左侧12码处晃开罗伯托防守后射入近角
23'分右侧，球出边线                   20'贝蒂斯第20分钟取得领先，卡瓦略传球，菲尔波突入禁区左侧12码处晃开罗伯托防守后射入近角
25'主裁判黄牌警告瓜尔达多                   25'第25分钟，梅西任意球传入禁区，朗格莱小禁区边缘垫射被保-洛佩斯神勇扑出
26'拉基蒂奇挑传进来，朗格莱垫射被后卫挡出                   25'第25分钟，梅西任意球传入禁区，朗格莱小禁区边缘垫射被保-洛佩斯神勇扑出
35'皇家贝蒂斯特略的右侧传中，华金中路扫射，又进一球！                   34'贝蒂斯第34分钟扩大比分，特略禁区右侧传中，无人防守的华金10码处推射左下死角入网，2-0
36'想不到皇家贝蒂斯上半场能2：0领先                   34'贝蒂斯第34分钟扩大比分，特略禁区右侧传中，无人防守的华金10码处推射左下死角入网，2-0
37'比赛继续                   34'贝蒂斯第34分钟扩大比分，特略禁区右侧传中，无人防守的华金10码处推射左下死角入网，2-0
37'菲尔波交给西德内                   34'贝蒂斯第34分钟扩大比分，特略禁区右侧传中，无人防守的华金10码处推射左下死角入网，2-0
37'传中路的瓜尔达多                   34'贝蒂斯第34分钟扩大比分，特略禁区右侧传中，无人防守的华金10码处推射左下死角入网，2-0
37'分右侧                   34'贝蒂斯第34分钟扩大比分，特略禁区右侧传中，无人防守的华金10码处推射左下死角入网，2-0
37'特略的接应被朗格莱拦截                   34'贝蒂斯第34分钟扩大比分，特略禁区右侧传中，无人防守的华金10码处推射左下死角入网，2-0
37'洛塞尔索就地反抢犯规                   34'贝蒂斯第34分钟扩大比分，特略禁区右侧传中，无人防守的华金10码处推射左下死角入网，2-0
68'梅西来主罚                   68'巴萨第68分钟扳回一城，特略禁区内对阿尔巴犯规，梅西主罚点球射入右上角，1-2
68'梅西大力抽射，打进球门右上角！                   68'巴萨第68分钟扳回一城，特略禁区内对阿尔巴犯规，梅西主罚点球射入右上角，1-2
68'角度非常刁钻                   68'巴萨第68分钟扳回一城，特略禁区内对阿尔巴犯规，梅西主罚点球射入右上角，1-2
69'巴塞罗那反扑还是相当犀利的                   68'巴萨第68分钟扳回一城，特略禁区内对阿尔巴犯规，梅西主罚点球射入右上角，1-2
69'穆尼尔左右带球，被曼迪铲倒                   68'巴萨第68分钟扳回一城，特略禁区内对阿尔巴犯规，梅西主罚点球射入右上角，1-2
69'曼迪也吃到黄牌                   68'巴萨第68分钟扳回一城，特略禁区内对阿尔巴犯规，梅西主罚点球射入右上角，1-2
70'巴塞罗那再换人，26号阿莱尼亚上场                   68'巴萨第68分钟扳回一城，特略禁区内对阿尔巴犯规，梅西主罚点球射入右上角，1-2
70'替下的是5号布斯克茨                   68'巴萨第68分钟扳回一城，特略禁区内对阿尔巴犯规，梅西主罚点球射入右上角，1-2
71'瓜尔达多带球分左侧的菲尔波                   68'巴萨第68分钟扳回一城，特略禁区内对阿尔巴犯规，梅西主罚点球射入右上角，1-2
71'回传中场                   68'巴萨第68分钟扳回一城，特略禁区内对阿尔巴犯规，梅西主罚点球射入右上角，1-2
71'还是找到卡瓦略                   68'巴萨第68分钟扳回一城，特略禁区内对阿尔巴犯规，梅西主罚点球射入右上角，1-2
71'转移右侧的特略                   68'巴萨第68分钟扳回一城，特略禁区内对阿尔巴犯规，梅西主罚点球射入右上角，1-2
71'回传，还有瓜尔达多                   68'巴萨第68分钟扳回一城，特略禁区内对阿尔巴犯规，梅西主罚点球射入右上角，1-2
71'再分给特略                   68'巴萨第68分钟扳回一城，特略禁区内对阿尔巴犯规，梅西主罚点球射入右上角，1-2
71'横传                   68'巴萨第68分钟扳回一城，特略禁区内对阿尔巴犯规，梅西主罚点球射入右上角，1-2
71'瓜尔达多带球分左侧的菲尔波                   71'贝蒂斯第71分钟再次拉开差距，特略传球，洛塞尔索禁区右侧12码处劲射，皮球被特尔施特根扑挡后吊入远角，3-1
71'回传中场                   71'贝蒂斯第71分钟再次拉开差距，特略传球，洛塞尔索禁区右侧12码处劲射，皮球被特尔施特根扑挡后吊入远角，3-1
71'还是找到卡瓦略                   71'贝蒂斯第71分钟再次拉开差距，特略传球，洛塞尔索禁区右侧12码处劲射，皮球被特尔施特根扑挡后吊入远角，3-1
71'转移右侧的特略                   71'贝蒂斯第71分钟再次拉开差距，特略传球，洛塞尔索禁区右侧12码处劲射，皮球被特尔施特根扑挡后吊入远角，3-1
71'回传，还有瓜尔达多                   71'贝蒂斯第71分钟再次拉开差距，特略传球，洛塞尔索禁区右侧12码处劲射，皮球被特尔施特根扑挡后吊入远角，3-1
71'再分给特略                   71'贝蒂斯第71分钟再次拉开差距，特略传球，洛塞尔索禁区右侧12码处劲射，皮球被特尔施特根扑挡后吊入远角，3-1
71'横传                   71'贝蒂斯第71分钟再次拉开差距，特略传球，洛塞尔索禁区右侧12码处劲射，皮球被特尔施特根扑挡后吊入远角，3-1
72'接应的是洛塞尔索，大力抽射，特尔施特根扑了一下没有阻止皮球入网！                   71'贝蒂斯第71分钟再次拉开差距，特略传球，洛塞尔索禁区右侧12码处劲射，皮球被特尔施特根扑挡后吊入远角，3-1
72'1-3                   71'贝蒂斯第71分钟再次拉开差距，特略传球，洛塞尔索禁区右侧12码处劲射，皮球被特尔施特根扑挡后吊入远角，3-1
73'这球应该算是特尔施特根的重大失误                   71'贝蒂斯第71分钟再次拉开差距，特略传球，洛塞尔索禁区右侧12码处劲射，皮球被特尔施特根扑挡后吊入远角，3-1
73'对方打近角，特尔施特根双掌一挡，没有挡住皮球                   71'贝蒂斯第71分钟再次拉开差距，特略传球，洛塞尔索禁区右侧12码处劲射，皮球被特尔施特根扑挡后吊入远角，3-1
73'皇家贝蒂斯反击又来了                   71'贝蒂斯第71分钟再次拉开差距，特略传球，洛塞尔索禁区右侧12码处劲射，皮球被特尔施特根扑挡后吊入远角，3-1
74'比达尔绊倒了莫隆                   71'贝蒂斯第71分钟再次拉开差距，特略传球，洛塞尔索禁区右侧12码处劲射，皮球被特尔施特根扑挡后吊入远角，3-1
74'比达尔也吃到黄牌                   71'贝蒂斯第71分钟再次拉开差距，特略传球，洛塞尔索禁区右侧12码处劲射，皮球被特尔施特根扑挡后吊入远角，3-1
81'这球需要看VAR                   81'第81分钟，拉基蒂奇铲倒洛塞尔索累计两张黄牌被罚下
81'主要看穆尼尔有没有越位                   81'第81分钟，拉基蒂奇铲倒洛塞尔索累计两张黄牌被罚下
81'进球有效                   81'第81分钟，拉基蒂奇铲倒洛塞尔索累计两张黄牌被罚下
81'比达尔为巴塞罗那将比分迫近成2：3                   81'第81分钟，拉基蒂奇铲倒洛塞尔索累计两张黄牌被罚下
82'皇家贝蒂斯反击又来了                   81'第81分钟，拉基蒂奇铲倒洛塞尔索累计两张黄牌被罚下
82'拉基蒂奇铲倒了洛塞尔索                   81'第81分钟，拉基蒂奇铲倒洛塞尔索累计两张黄牌被罚下
82'主裁判向拉基蒂奇出击第二张黄牌                   81'第81分钟，拉基蒂奇铲倒洛塞尔索累计两张黄牌被罚下
82'拉基蒂奇被红牌罚下                   81'第81分钟，拉基蒂奇铲倒洛塞尔索累计两张黄牌被罚下
83'这样，巴塞罗那只能十人应战                   81'第81分钟，拉基蒂奇铲倒洛塞尔索累计两张黄牌被罚下
83'特略右侧带球交给莱昂                   81'第81分钟，拉基蒂奇铲倒洛塞尔索累计两张黄牌被罚下
83'再分给菲尔波                   81'第81分钟，拉基蒂奇铲倒洛塞尔索累计两张黄牌被罚下
83'特尔施特根出击扑脚下球成功                   81'第81分钟，拉基蒂奇铲倒洛塞尔索累计两张黄牌被罚下
83'但很快皇家贝蒂斯反抢成功                   81'第81分钟，拉基蒂奇铲倒洛塞尔索累计两张黄牌被罚下
84'菲尔波带球进禁区横扫门前，卡纳莱斯铲射，球又进了！                   81'第81分钟，拉基蒂奇铲倒洛塞尔索累计两张黄牌被罚下
84'皇家贝蒂斯4：2领先巴塞罗那                   81'第81分钟，拉基蒂奇铲倒洛塞尔索累计两张黄牌被罚下
92'再回给苏亚雷斯，打门                   92'第92分钟，苏亚雷斯和比达尔连续斜传，梅西近距离打入空门，3-4
92'打在边网上                   92'第92分钟，苏亚雷斯和比达尔连续斜传，梅西近距离打入空门，3-4
92'是被洛佩斯扑了一下                   92'第92分钟，苏亚雷斯和比达尔连续斜传，梅西近距离打入空门，3-4
92'左侧的角球                   92'第92分钟，苏亚雷斯和比达尔连续斜传，梅西近距离打入空门，3-4
92'穆尼尔主罚                   92'第92分钟，苏亚雷斯和比达尔连续斜传，梅西近距离打入空门，3-4
92'发后点，皮克头球一点，顶高了                   92'第92分钟，苏亚雷斯和比达尔连续斜传，梅西近距离打入空门，3-4
92'最后的机会                   92'第92分钟，苏亚雷斯和比达尔连续斜传，梅西近距离打入空门，3-4
93'朗格莱断球交给了穆尼尔                   92'第92分钟，苏亚雷斯和比达尔连续斜传，梅西近距离打入空门，3-4
93'交给苏亚雷斯，回给梅西                   92'第92分钟，苏亚雷斯和比达尔连续斜传，梅西近距离打入空门，3-4
93'斜塞给穆尼尔                   92'第92分钟，苏亚雷斯和比达尔连续斜传，梅西近距离打入空门，3-4
93'再横传，苏亚雷斯再分给右侧的比达尔                   92'第92分钟，苏亚雷斯和比达尔连续斜传，梅西近距离打入空门，3-4
93'比达尔再送门前，梅西将球推入大门                   92'第92分钟，苏亚雷斯和比达尔连续斜传，梅西近距离打入空门，3-4
93'整个过程应该没有越位                   92'第92分钟，苏亚雷斯和比达尔连续斜传，梅西近距离打入空门，3-4
94'但边裁是吹了比达尔接应时越位                   92'第92分钟，苏亚雷斯和比达尔连续斜传，梅西近距离打入空门，3-4
94'是否要看VAR                   92'第92分钟，苏亚雷斯和比达尔连续斜传，梅西近距离打入空门，3-4
94'比赛暂停了很久                   92'第92分钟，苏亚雷斯和比达尔连续斜传，梅西近距离打入空门，3-4
95'最后判的是进球，梅西梅开二度！                   92'第92分钟，苏亚雷斯和比达尔连续斜传，梅西近距离打入空门，3-4
95'那巴萨还有扳平的机会                   92'第92分钟，苏亚雷斯和比达尔连续斜传，梅西近距离打入空门，3-4
95'罗贝托长传上来，被巴尔特拉顶一下                   92'第92分钟，苏亚雷斯和比达尔连续斜传，梅西近距离打入空门，3-4
95'外围还是巴塞罗那控球                   92'第92分钟，苏亚雷斯和比达尔连续斜传，梅西近距离打入空门，3-4
95'菲尔波回防断球                   92'第92分钟，苏亚雷斯和比达尔连续斜传，梅西近距离打入空门，3-4
95'传中路，转移向右侧的特略                   92'第92分钟，苏亚雷斯和比达尔连续斜传，梅西近距离打入空门，3-4
95'直传                   92'第92分钟，苏亚雷斯和比达尔连续斜传，梅西近距离打入空门，3-4
