2'Erick Pulgar将球处理出底线,AC米兰获得角球.                   2'万乔尼首次先发打左后卫，本赛季他仅出场2次，共19分钟
61'博洛尼亚球员德斯特罗大禁区右侧尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是泽马伊利.                   59'AC米兰第59分钟雪上加霜，纳吉左路过掉库茨卡，库茨卡将其绊倒，也吃到第2张黄牌提前更衣，AC米兰只剩9人应战
62'AC米兰换人,波利换下巴卡                   59'AC米兰第59分钟雪上加霜，纳吉左路过掉库茨卡，库茨卡将其绊倒，也吃到第2张黄牌提前更衣，AC米兰只剩9人应战
62'博洛尼亚换人,佩特科维奇换下加斯塔尔德罗                   59'AC米兰第59分钟雪上加霜，纳吉左路过掉库茨卡，库茨卡将其绊倒，也吃到第2张黄牌提前更衣，AC米兰只剩9人应战
89'进球啦！！！AC米兰球员帕萨利奇球门线跟前左脚射门,球从左下角飞进球门,球进了!助攻的是德乌洛费乌. 博洛尼亚 0-1 AC米兰.                   89'AC米兰第89分钟神奇绝杀
90'+2'帕萨利奇为AC米兰在左路,赢得一个任意球.                   89'AC米兰第89分钟神奇绝杀
90'+2'博洛尼亚球员纳吉拼抢犯规,对手获得控球权.                   89'AC米兰第89分钟神奇绝杀
90'+2'黄牌！博洛尼亚球员纳吉因为恶意犯规,被主裁判出示黄牌.                   89'AC米兰第89分钟神奇绝杀
90'+4'阿巴特将球处理出底线,博洛尼亚获得角球.                   89'AC米兰第89分钟神奇绝杀
90'+4'博洛尼亚球员克雷伊奇大禁区中央尝试右脚射门,可惜皮球稍稍偏出了右球门.                   89'AC米兰第89分钟神奇绝杀
90'+4'帕萨利奇为AC米兰赢得一个任意球.                   89'AC米兰第89分钟神奇绝杀
90'+4'博洛尼亚球员威尔第拼抢犯规,对手获得控球权.                   89'AC米兰第89分钟神奇绝杀
90'+5'博洛尼亚球员泽马伊利被主裁判出示了一张黄牌.                   89'AC米兰第89分钟神奇绝杀
90'+5'下半场结束,博洛尼亚 0-1 AC米兰                   89'AC米兰第89分钟神奇绝杀
