23'李帅左路接球！回传一脚！队友长传禁区，被破坏出来                   23'第23分钟，穆谢奎接周挺助攻头球帮助大连一方客场取得领先
56'大连一方左路攻到前场，横传禁区！                   55'第10分钟，大连一方取得进球
56'穆谢奎捅射，没能踢到球！                   55'第10分钟，大连一方取得进球
57'球到另一侧，汪晋贤控球，对方抢球出底线                   55'第10分钟，大连一方取得进球
57'大连一方得到角球机会                   55'第10分钟，大连一方取得进球
57'盖坦站在球前                   55'第10分钟，大连一方取得进球
57'盖坦发角球到禁区内后点！卡拉斯科接球横传［被挡出！                   55'第10分钟，大连一方取得进球
57'重庆斯威队反击！费尔南迪尼奥得球中路带球进攻！                   55'第10分钟，大连一方取得进球
57'费尔南迪尼奥进攻到前场，周挺阻挡犯规！！                   55'第10分钟，大连一方取得进球
58'这次吃到了黄牌！！不过还是值得！                   55'第10分钟，大连一方取得进球
47'后场重庆斯威队得球！右路长传进攻！对方破坏出边线                   47'2分钟后，费尔南迪尼奥横传门前，张翀做出世界级扑救封堵住了重庆斯威的必进球射门
48'杨善平及时出脚！                   47'2分钟后，费尔南迪尼奥横传门前，张翀做出世界级扑救封堵住了重庆斯威的必进球射门
48'重庆斯威队右路斜传球到禁区内，找远端！                   47'2分钟后，费尔南迪尼奥横传门前，张翀做出世界级扑救封堵住了重庆斯威的必进球射门
48'汪晋贤把球护下来！                   47'2分钟后，费尔南迪尼奥横传门前，张翀做出世界级扑救封堵住了重庆斯威的必进球射门
48'刘宇在前场拼抢！！球出底线                   47'2分钟后，费尔南迪尼奥横传门前，张翀做出世界级扑救封堵住了重庆斯威的必进球射门
49'大连一方快发球，右路长传进攻                   47'2分钟后，费尔南迪尼奥横传门前，张翀做出世界级扑救封堵住了重庆斯威的必进球射门
49'对方把球抢断下来                   47'2分钟后，费尔南迪尼奥横传门前，张翀做出世界级扑救封堵住了重庆斯威的必进球射门
49'裁判哨也响了                   47'2分钟后，费尔南迪尼奥横传门前，张翀做出世界级扑救封堵住了重庆斯威的必进球射门
49'上半场比赛结束，大连一方客场1-0领先重庆斯威队！                   47'2分钟后，费尔南迪尼奥横传门前，张翀做出世界级扑救封堵住了重庆斯威的必进球射门
47'塞巴左路接球，直传球，再前插接球！                   47'2分钟后，费尔南迪尼奥横传门前，张翀做出世界级扑救封堵住了重庆斯威的必进球射门
47'转移到右路！重庆斯威队斜传禁区！单鹏飞碰到球出底线                   47'2分钟后，费尔南迪尼奥横传门前，张翀做出世界级扑救封堵住了重庆斯威的必进球射门
47'重庆斯威队得到角球机会                   47'2分钟后，费尔南迪尼奥横传门前，张翀做出世界级扑救封堵住了重庆斯威的必进球射门
47'战术角球发出来！费尔南迪尼奥带球强突！造成汪晋贤犯规                   47'2分钟后，费尔南迪尼奥横传门前，张翀做出世界级扑救封堵住了重庆斯威的必进球射门
47'斯威队得到前场任意球机会                   47'2分钟后，费尔南迪尼奥横传门前，张翀做出世界级扑救封堵住了重庆斯威的必进球射门
48'费尔南迪尼奥站在了球前！                   47'2分钟后，费尔南迪尼奥横传门前，张翀做出世界级扑救封堵住了重庆斯威的必进球射门
48'任意球直接打门！打得高啦！！没能压住！                   47'2分钟后，费尔南迪尼奥横传门前，张翀做出世界级扑救封堵住了重庆斯威的必进球射门
49'大连一方进攻到前场，丁捷铲抢犯规！！                   47'2分钟后，费尔南迪尼奥横传门前，张翀做出世界级扑救封堵住了重庆斯威的必进球射门
49'主裁判给丁捷出示了黄牌！                   47'2分钟后，费尔南迪尼奥横传门前，张翀做出世界级扑救封堵住了重庆斯威的必进球射门
49'背后铲倒了盖坦！                   47'2分钟后，费尔南迪尼奥横传门前，张翀做出世界级扑救封堵住了重庆斯威的必进球射门
50'盖坦和穆谢奎经常受到这样的照顾                   47'2分钟后，费尔南迪尼奥横传门前，张翀做出世界级扑救封堵住了重庆斯威的必进球射门
50'这球距离球门比较远！                   47'2分钟后，费尔南迪尼奥横传门前，张翀做出世界级扑救封堵住了重庆斯威的必进球射门
68'对不起！重庆斯威队的进球没有给加上！目前双方战成1-1                   68'第23分钟，穆谢奎为大连一方打破场上僵局，周挺边路及时前插倒三角传出半高球，穆谢奎头球破门
68'丁捷右路接球！没有看到好位置！回传一脚！                   68'第23分钟，穆谢奎为大连一方打破场上僵局，周挺边路及时前插倒三角传出半高球，穆谢奎头球破门
68'费尔南迪尼奥左路突破横传禁区！彭欣力抢点劲射！被张翀没收                   68'第23分钟，穆谢奎为大连一方打破场上僵局，周挺边路及时前插倒三角传出半高球，穆谢奎头球破门
68'张翀大脚开球到前场，送到对方脚下！                   68'第23分钟，穆谢奎为大连一方打破场上僵局，周挺边路及时前插倒三角传出半高球，穆谢奎头球破门
69'塞巴中场接球，对方犯规！                   68'第23分钟，穆谢奎为大连一方打破场上僵局，周挺边路及时前插倒三角传出半高球，穆谢奎头球破门
70'双方队员到场边补水！                   68'第23分钟，穆谢奎为大连一方打破场上僵局，周挺边路及时前插倒三角传出半高球，穆谢奎头球破门
70'重庆斯威队要换人                   68'第23分钟，穆谢奎为大连一方打破场上僵局，周挺边路及时前插倒三角传出半高球，穆谢奎头球破门
70'罗皓上场！                   68'第23分钟，穆谢奎为大连一方打破场上僵局，周挺边路及时前插倒三角传出半高球，穆谢奎头球破门
71'罗皓换下了谁呢？稍等！                   68'第23分钟，穆谢奎为大连一方打破场上僵局，周挺边路及时前插倒三角传出半高球，穆谢奎头球破门
71'换下了刘宇                   68'第23分钟，穆谢奎为大连一方打破场上僵局，周挺边路及时前插倒三角传出半高球，穆谢奎头球破门
75'后场重庆斯威队得球，直传球！                   75'第30分钟，主裁判鸣哨让两队球员到场边进行补水
75'大连一方把球断下来传到中场，传丢！                   75'第30分钟，主裁判鸣哨让两队球员到场边进行补水
75'陈雷右路接球，横传禁区！                   75'第30分钟，主裁判鸣哨让两队球员到场边进行补水
76'大连一方断球反击！                   75'第30分钟，主裁判鸣哨让两队球员到场边进行补水
76'卡拉斯科带球到前场，横向突破！再传出去！                   75'第30分钟，主裁判鸣哨让两队球员到场边进行补水
76'对方犯规，放倒了卡拉斯科！                   75'第30分钟，主裁判鸣哨让两队球员到场边进行补水
76'犯规的是彭欣力！！黄牌！                   75'第30分钟，主裁判鸣哨让两队球员到场边进行补水
76'下了绊马索啊！黄牌也值！                   75'第30分钟，主裁判鸣哨让两队球员到场边进行补水
77'担架进场！不过卡拉斯科站了起来                   75'第30分钟，主裁判鸣哨让两队球员到场边进行补水
78'任意球发出来！！一脚远射被挡出来                   75'第30分钟，主裁判鸣哨让两队球员到场边进行补水
82'大连一方挑传前场右路！                   82'第37分钟，重庆斯威外援塞巴前场右路传中，中路包抄队员稍慢半步，球从门前划过
82'盖坦右路下底横传，想给穆谢奎！传得大了些！                   82'第37分钟，重庆斯威外援塞巴前场右路传中，中路包抄队员稍慢半步，球从门前划过
82'邓小飞大脚开球到前场！                   82'第37分钟，重庆斯威外援塞巴前场右路传中，中路包抄队员稍慢半步，球从门前划过
83'金强争抢手球犯规！                   82'第37分钟，重庆斯威外援塞巴前场右路传中，中路包抄队员稍慢半步，球从门前划过
83'任意球发出来，重庆斯威队长传球禁区！                   82'第37分钟，重庆斯威外援塞巴前场右路传中，中路包抄队员稍慢半步，球从门前划过
83'大连一方断球反击！右路传球，不到位啊！                   82'第37分钟，重庆斯威外援塞巴前场右路传中，中路包抄队员稍慢半步，球从门前划过
84'费尔南迪尼奥左路带球进攻，些被绊倒                   82'第37分钟，重庆斯威外援塞巴前场右路传中，中路包抄队员稍慢半步，球从门前划过
84'费尔南迪尼奥突破传球给塞巴！斜传禁区！                   82'第37分钟，重庆斯威外援塞巴前场右路传中，中路包抄队员稍慢半步，球从门前划过
84'禁区内有进攻队员倒地！                   82'第37分钟，重庆斯威外援塞巴前场右路传中，中路包抄队员稍慢半步，球从门前划过
84'卡尔德克受伤倒在地上！腿受伤！                   82'第37分钟，重庆斯威外援塞巴前场右路传中，中路包抄队员稍慢半步，球从门前划过
85'秦升中场抢球犯规！                   82'第37分钟，重庆斯威外援塞巴前场右路传中，中路包抄队员稍慢半步，球从门前划过
85'重庆斯威队换人：冯劲上场，换下了受伤的卡尔德克！                   82'第37分钟，重庆斯威外援塞巴前场右路传中，中路包抄队员稍慢半步，球从门前划过
86'大连一方长传球，邓小飞没收                   86'第41分钟，卡尔德克在与汪晋贤拼抢时将对方铲倒在地，主裁判向卡尔德克出示黄牌
86'费尔南迪尼奥接球，分到左路！                   86'第41分钟，卡尔德克在与汪晋贤拼抢时将对方铲倒在地，主裁判向卡尔德克出示黄牌
86'对方将球破坏出边线                   86'第41分钟，卡尔德克在与汪晋贤拼抢时将对方铲倒在地，主裁判向卡尔德克出示黄牌
86'丁捷左路直传球！队友追回来，看被抢断                   86'第41分钟，卡尔德克在与汪晋贤拼抢时将对方铲倒在地，主裁判向卡尔德克出示黄牌
87'哟，中前场重庆斯威队断球长传禁区！尹聪耀垫射，稍偏了一点！！                   86'第41分钟，卡尔德克在与汪晋贤拼抢时将对方铲倒在地，主裁判向卡尔德克出示黄牌
87'好机会啊，可惜没能打进！                   86'第41分钟，卡尔德克在与汪晋贤拼抢时将对方铲倒在地，主裁判向卡尔德克出示黄牌
87'后场重庆斯威队再断球，走右路攻到前场，对方破坏出边线                   86'第41分钟，卡尔德克在与汪晋贤拼抢时将对方铲倒在地，主裁判向卡尔德克出示黄牌
88'大连一方换人，换下了穆谢奎！                   86'第41分钟，卡尔德克在与汪晋贤拼抢时将对方铲倒在地，主裁判向卡尔德克出示黄牌
88'换上了王耀鹏！                   86'第41分钟，卡尔德克在与汪晋贤拼抢时将对方铲倒在地，主裁判向卡尔德克出示黄牌
89'双方都在加强防守！特别是大连一方回退加强防守！                   86'第41分钟，卡尔德克在与汪晋贤拼抢时将对方铲倒在地，主裁判向卡尔德克出示黄牌
89'大连一方三中卫五后卫！明显想保！                   86'第41分钟，卡尔德克在与汪晋贤拼抢时将对方铲倒在地，主裁判向卡尔德克出示黄牌
89'大连一方左路攻到前场，斜传禁区，被截！                   86'第41分钟，卡尔德克在与汪晋贤拼抢时将对方铲倒在地，主裁判向卡尔德克出示黄牌
92'后场重庆斯威队得球，交给费尔南迪尼奥！                   92'第47分钟，重庆斯威费尔南迪尼奥被汪晋贤撞倒在禁区外，费尔南迪尼奥的任意球直接攻门高出横梁
92'前场重庆斯威队配合，再交给费尔南迪尼奥！没能控好！                   92'第47分钟，重庆斯威费尔南迪尼奥被汪晋贤撞倒在禁区外，费尔南迪尼奥的任意球直接攻门高出横梁
92'卡拉斯科在前场牵制！                   92'第47分钟，重庆斯威费尔南迪尼奥被汪晋贤撞倒在禁区外，费尔南迪尼奥的任意球直接攻门高出横梁
93'重庆斯威队攻到前场，传禁区！！                   92'第47分钟，重庆斯威费尔南迪尼奥被汪晋贤撞倒在禁区外，费尔南迪尼奥的任意球直接攻门高出横梁
93'对方将球破坏                   92'第47分钟，重庆斯威费尔南迪尼奥被汪晋贤撞倒在禁区外，费尔南迪尼奥的任意球直接攻门高出横梁
93'大连一方反击！李帅自己带球到前场！对方背后把球抢下来！                   92'第47分钟，重庆斯威费尔南迪尼奥被汪晋贤撞倒在禁区外，费尔南迪尼奥的任意球直接攻门高出横梁
93'费尔南迪尼奥左路接球，一路带到前场，分边路！！直接传出边线                   92'第47分钟，重庆斯威费尔南迪尼奥被汪晋贤撞倒在禁区外，费尔南迪尼奥的任意球直接攻门高出横梁
94'费尔南迪尼奥非常着急！在示意对方犯规啦！                   92'第47分钟，重庆斯威费尔南迪尼奥被汪晋贤撞倒在禁区外，费尔南迪尼奥的任意球直接攻门高出横梁
94'后场大连一方发球！大脚长传前场！                   92'第47分钟，重庆斯威费尔南迪尼奥被汪晋贤撞倒在禁区外，费尔南迪尼奥的任意球直接攻门高出横梁
94'卡拉斯科在中场，还没有启动！                   92'第47分钟，重庆斯威费尔南迪尼奥被汪晋贤撞倒在禁区外，费尔南迪尼奥的任意球直接攻门高出横梁
94'比赛还有一分钟左右的时间！                   92'第47分钟，重庆斯威费尔南迪尼奥被汪晋贤撞倒在禁区外，费尔南迪尼奥的任意球直接攻门高出横梁
95'塞巴右路下底！突破到禁区横传球被挡出底线！！                   92'第47分钟，重庆斯威费尔南迪尼奥被汪晋贤撞倒在禁区外，费尔南迪尼奥的任意球直接攻门高出横梁
95'角球机会！                   92'第47分钟，重庆斯威费尔南迪尼奥被汪晋贤撞倒在禁区外，费尔南迪尼奥的任意球直接攻门高出横梁
95'塞巴发角球到禁区内！到后点！                   92'第47分钟，重庆斯威费尔南迪尼奥被汪晋贤撞倒在禁区外，费尔南迪尼奥的任意球直接攻门高出横梁
95'转身打门，被挡出来！                   92'第47分钟，重庆斯威费尔南迪尼奥被汪晋贤撞倒在禁区外，费尔南迪尼奥的任意球直接攻门高出横梁
96'重庆斯威队左路斜传禁区！丁捷头球顶门！偏出！                   96'第51分钟，重庆斯威扳平场上比分
96'两名进攻队员抢到一块！头碰到啦！！！                   96'第51分钟，重庆斯威扳平场上比分
96'全场比赛结束，双方1-1握手言和！                   96'第51分钟，重庆斯威扳平场上比分
47'后场重庆斯威队得球！右路长传进攻！对方破坏出边线                   47'伤停补时第2分钟，塞巴的禁区内头球迫使张翀作出飞身扑救
48'杨善平及时出脚！                   47'伤停补时第2分钟，塞巴的禁区内头球迫使张翀作出飞身扑救
48'重庆斯威队右路斜传球到禁区内，找远端！                   47'伤停补时第2分钟，塞巴的禁区内头球迫使张翀作出飞身扑救
48'汪晋贤把球护下来！                   47'伤停补时第2分钟，塞巴的禁区内头球迫使张翀作出飞身扑救
48'刘宇在前场拼抢！！球出底线                   47'伤停补时第2分钟，塞巴的禁区内头球迫使张翀作出飞身扑救
49'大连一方快发球，右路长传进攻                   47'伤停补时第2分钟，塞巴的禁区内头球迫使张翀作出飞身扑救
49'对方把球抢断下来                   47'伤停补时第2分钟，塞巴的禁区内头球迫使张翀作出飞身扑救
49'裁判哨也响了                   47'伤停补时第2分钟，塞巴的禁区内头球迫使张翀作出飞身扑救
49'上半场比赛结束，大连一方客场1-0领先重庆斯威队！                   47'伤停补时第2分钟，塞巴的禁区内头球迫使张翀作出飞身扑救
47'塞巴左路接球，直传球，再前插接球！                   47'伤停补时第2分钟，塞巴的禁区内头球迫使张翀作出飞身扑救
47'转移到右路！重庆斯威队斜传禁区！单鹏飞碰到球出底线                   47'伤停补时第2分钟，塞巴的禁区内头球迫使张翀作出飞身扑救
47'重庆斯威队得到角球机会                   47'伤停补时第2分钟，塞巴的禁区内头球迫使张翀作出飞身扑救
47'战术角球发出来！费尔南迪尼奥带球强突！造成汪晋贤犯规                   47'伤停补时第2分钟，塞巴的禁区内头球迫使张翀作出飞身扑救
47'斯威队得到前场任意球机会                   47'伤停补时第2分钟，塞巴的禁区内头球迫使张翀作出飞身扑救
48'费尔南迪尼奥站在了球前！                   47'伤停补时第2分钟，塞巴的禁区内头球迫使张翀作出飞身扑救
48'任意球直接打门！打得高啦！！没能压住！                   47'伤停补时第2分钟，塞巴的禁区内头球迫使张翀作出飞身扑救
49'大连一方进攻到前场，丁捷铲抢犯规！！                   47'伤停补时第2分钟，塞巴的禁区内头球迫使张翀作出飞身扑救
49'主裁判给丁捷出示了黄牌！                   47'伤停补时第2分钟，塞巴的禁区内头球迫使张翀作出飞身扑救
49'背后铲倒了盖坦！                   47'伤停补时第2分钟，塞巴的禁区内头球迫使张翀作出飞身扑救
50'盖坦和穆谢奎经常受到这样的照顾                   47'伤停补时第2分钟，塞巴的禁区内头球迫使张翀作出飞身扑救
50'这球距离球门比较远！                   47'伤停补时第2分钟，塞巴的禁区内头球迫使张翀作出飞身扑救
