8'今天主场作战的申鑫身穿一身蓝色队服                   8'由于现场直播出现状况，比赛打到第8分钟才有信号传输
46'埃杜阿尔多把球送入禁区，宋振瑜在丹尼尔头上把球单掌托出底线                   45'下半场刚开始，前45分钟表现沉闷的马祖就在禁区里获得机会，但着急的他手球在先
47'申鑫右路的角球在开出，叶重秋抢点冲撞宋振瑜犯规了                   45'下半场刚开始，前45分钟表现沉闷的马祖就在禁区里获得机会，但着急的他手球在先
46'范琦一声哨响，下半场开始，申鑫开球                   45'下半场刚开始，前45分钟表现沉闷的马祖就在禁区里获得机会，但着急的他手球在先
46'易边再战，双方为了首胜继续努力                   45'下半场刚开始，前45分钟表现沉闷的马祖就在禁区里获得机会，但着急的他手球在先
46'左路亚泰的突破下底，胡斯蒂传中                   45'下半场刚开始，前45分钟表现沉闷的马祖就在禁区里获得机会，但着急的他手球在先
46'中路马祖抢点，转身打门，高了                   45'下半场刚开始，前45分钟表现沉闷的马祖就在禁区里获得机会，但着急的他手球在先
47'马祖这个球是头球顶在黄威身上之后，第二点下来的打门，发力过猛                   45'下半场刚开始，前45分钟表现沉闷的马祖就在禁区里获得机会，但着急的他手球在先
48'埃弗顿后场得球，转身打反击，被对方拉倒                   45'下半场刚开始，前45分钟表现沉闷的马祖就在禁区里获得机会，但着急的他手球在先
48'申鑫中场横敲，杨家威拼抢中抬脚过高，犯规                   45'下半场刚开始，前45分钟表现沉闷的马祖就在禁区里获得机会，但着急的他手球在先
57'左路杜震宇得球，杜震宇交给边路插上助攻的马晓磊                   57'第57分钟邹仲霆争顶时用手把马祖的脑袋盖住，结果被判犯规，胡斯蒂30米开外起左脚打出力量很大的弧线球，虽然角度不是很刁，但张一诺的移动稍慢，拳击球力量也不大，结果皮球碰到了张一诺的手依然飞入大门，1比0，长春亚泰领先
57'胡斯蒂禁区内得球，突破摔倒了，范琦依然没有响哨                   57'第57分钟邹仲霆争顶时用手把马祖的脑袋盖住，结果被判犯规，胡斯蒂30米开外起左脚打出力量很大的弧线球，虽然角度不是很刁，但张一诺的移动稍慢，拳击球力量也不大，结果皮球碰到了张一诺的手依然飞入大门，1比0，长春亚泰领先
58'慢镜头来看张文涛脚下确实碰到了胡斯蒂，不过按照范琦本场的原则来看，肯定不会吹                   57'第57分钟邹仲霆争顶时用手把马祖的脑袋盖住，结果被判犯规，胡斯蒂30米开外起左脚打出力量很大的弧线球，虽然角度不是很刁，但张一诺的移动稍慢，拳击球力量也不大，结果皮球碰到了张一诺的手依然飞入大门，1比0，长春亚泰领先
59'亚泰的长传，马祖争顶，身后的黄威压人犯规                   57'第57分钟邹仲霆争顶时用手把马祖的脑袋盖住，结果被判犯规，胡斯蒂30米开外起左脚打出力量很大的弧线球，虽然角度不是很刁，但张一诺的移动稍慢，拳击球力量也不大，结果皮球碰到了张一诺的手依然飞入大门，1比0，长春亚泰领先
59'亚泰这个定位球的位置不错，胡斯蒂来朱发够射程了                   57'第57分钟邹仲霆争顶时用手把马祖的脑袋盖住，结果被判犯规，胡斯蒂30米开外起左脚打出力量很大的弧线球，虽然角度不是很刁，但张一诺的移动稍慢，拳击球力量也不大，结果皮球碰到了张一诺的手依然飞入大门，1比0，长春亚泰领先
59'球进了，，非常漂亮的直接任意球                   57'第57分钟邹仲霆争顶时用手把马祖的脑袋盖住，结果被判犯规，胡斯蒂30米开外起左脚打出力量很大的弧线球，虽然角度不是很刁，但张一诺的移动稍慢，拳击球力量也不大，结果皮球碰到了张一诺的手依然飞入大门，1比0，长春亚泰领先
60'任意球的位置中路偏右，接近30米左右，胡斯蒂内脚背一记圆月弯刀，直奔右上角，张一诺碰了一下，但还是无能为力                   57'第57分钟邹仲霆争顶时用手把马祖的脑袋盖住，结果被判犯规，胡斯蒂30米开外起左脚打出力量很大的弧线球，虽然角度不是很刁，但张一诺的移动稍慢，拳击球力量也不大，结果皮球碰到了张一诺的手依然飞入大门，1比0，长春亚泰领先
60'任意球的位置中路偏右，接近30米左右，胡斯蒂内脚背一记圆月弯刀，直奔右上角，张一诺碰了一下，但还是无能为力                   60'领先之后长春队似乎打开，第60分钟马祖右路突破射门稍偏，防他的张文涛抽筋倒地，马祖主动帮张文涛拉伸
61'在僵持不下之际，亚泰利用定位球先声夺人了，后面的比赛更好看了                   60'领先之后长春队似乎打开，第60分钟马祖右路突破射门稍偏，防他的张文涛抽筋倒地，马祖主动帮张文涛拉伸
62'申鑫的禁区前沿直塞，稍微大了一点，被宋振瑜出击得到                   60'领先之后长春队似乎打开，第60分钟马祖右路突破射门稍偏，防他的张文涛抽筋倒地，马祖主动帮张文涛拉伸
62'马祖右路接到直塞，快速下底，小角度打门，偏了                   60'领先之后长春队似乎打开，第60分钟马祖右路突破射门稍偏，防他的张文涛抽筋倒地，马祖主动帮张文涛拉伸
62'申鑫做出调整，埃杜阿尔多下场，池忠国替补上来                   60'领先之后长春队似乎打开，第60分钟马祖右路突破射门稍偏，防他的张文涛抽筋倒地，马祖主动帮张文涛拉伸
63'姜嘉俊右路防守，踢翻了马晓磊                   60'领先之后长春队似乎打开，第60分钟马祖右路突破射门稍偏，防他的张文涛抽筋倒地，马祖主动帮张文涛拉伸
63'亚泰快发定位球                   60'领先之后长春队似乎打开，第60分钟马祖右路突破射门稍偏，防他的张文涛抽筋倒地，马祖主动帮张文涛拉伸
62'申鑫的禁区前沿直塞，稍微大了一点，被宋振瑜出击得到                   62'第62分钟胡斯蒂带到左路传中，马祖禁区中央头球高出
62'马祖右路接到直塞，快速下底，小角度打门，偏了                   62'第62分钟胡斯蒂带到左路传中，马祖禁区中央头球高出
62'申鑫做出调整，埃杜阿尔多下场，池忠国替补上来                   62'第62分钟胡斯蒂带到左路传中，马祖禁区中央头球高出
63'姜嘉俊右路防守，踢翻了马晓磊                   62'第62分钟胡斯蒂带到左路传中，马祖禁区中央头球高出
63'亚泰快发定位球                   62'第62分钟胡斯蒂带到左路传中，马祖禁区中央头球高出
64'胡斯蒂左路下底，挑传禁区，落点非常精准                   62'第62分钟胡斯蒂带到左路传中，马祖禁区中央头球高出
64'马祖力压黄威，小禁区内的头球，居然顶高                   62'第62分钟胡斯蒂带到左路传中，马祖禁区中央头球高出
65'马祖的弹跳非常好，这名尼日尔球员身高，速度，爆发力都比较出色，是一名边路好手，本赛季已有2球入账                   62'第62分钟胡斯蒂带到左路传中，马祖禁区中央头球高出
65'申鑫进攻给到禁区前沿，打的很细                   62'第62分钟胡斯蒂带到左路传中，马祖禁区中央头球高出
68'杜震宇角球开出，前点孙捷一蹭，中路的莫雷诺面对来球，凌空卧射，把球送入上角                   67'第67分钟陈伟换下抽筋无法坚持的张文涛
68'亚泰又是一次定位球得分                   67'第67分钟陈伟换下抽筋无法坚持的张文涛
68'申鑫继续换人，张文涛下来，换上陈伟                   67'第67分钟陈伟换下抽筋无法坚持的张文涛
69'申鑫的长传，埃弗顿前场拼抢犯规了                   67'第67分钟陈伟换下抽筋无法坚持的张文涛
69'申鑫两球落后，比较困难了                   67'第67分钟陈伟换下抽筋无法坚持的张文涛
69'亚泰又是一次直塞，撕开了对方的防线                   67'第67分钟陈伟换下抽筋无法坚持的张文涛
70'马祖反越位，插入禁区内得球，横敲门前，陈伟抢在杜震宇之前，把球解围出底线                   67'第67分钟陈伟换下抽筋无法坚持的张文涛
70'亚泰右路角球开出到后点，张一诺出击，没有拿到，后点孙捷头球出了底线                   67'第67分钟陈伟换下抽筋无法坚持的张文涛
72'申鑫中场已经显得有些脱节                   72'第72分钟申鑫用陈灏换下于涛
72'亚泰也换人，裴帅替补登场，换下祝一帆                   72'第72分钟申鑫用陈灏换下于涛
72'增强一下后腰位置的体能，保证防守硬度                   72'第72分钟申鑫用陈灏换下于涛
73'于涛有些受伤，被担架抬出场外                   72'第72分钟申鑫用陈灏换下于涛
73'杨家威左路下底，传到中路，第一点被对方解围                   72'第72分钟申鑫用陈灏换下于涛
74'于涛无法坚持了，脚踝的问题，被陈灏替下                   72'第72分钟申鑫用陈灏换下于涛
75'申鑫中路渗透，亚泰第一下解围不干净，刚刚上来的陈灏，转身打门，被宋振瑜倒地扑出底线                   72'第72分钟申鑫用陈灏换下于涛
75'申鑫角球开出来，被宋振瑜没收                   72'第72分钟申鑫用陈灏换下于涛
75'宋振瑜手抛球发动反击                   72'第72分钟申鑫用陈灏换下于涛
75'亚泰再入一球，3比0                   72'第72分钟申鑫用陈灏换下于涛
75'胡斯蒂梅开二度                   72'第72分钟申鑫用陈灏换下于涛
78'池忠国拿球有些多，被亚泰抢断                   78'长春队丝毫不放松，第78分钟马祖右路带球回传中路，莫雷诺弹射打中张一诺胸部弹出
78'左路马晓磊斜传禁区，后卫一顶，张一诺出击把球摘下                   78'长春队丝毫不放松，第78分钟马祖右路带球回传中路，莫雷诺弹射打中张一诺胸部弹出
79'在丢掉第三个球之后，申鑫的球员好像瞬间崩溃，丧失了斗志                   78'长春队丝毫不放松，第78分钟马祖右路带球回传中路，莫雷诺弹射打中张一诺胸部弹出
79'亚泰现在的反击几乎每次都能造成很大的威胁                   78'长春队丝毫不放松，第78分钟马祖右路带球回传中路，莫雷诺弹射打中张一诺胸部弹出
80'马祖右路又打通了对方防线                   78'长春队丝毫不放松，第78分钟马祖右路带球回传中路，莫雷诺弹射打中张一诺胸部弹出
80'马祖横敲禁区中路，蒋哲跟进，抽射被张一诺用胸口挡出                   78'长春队丝毫不放松，第78分钟马祖右路带球回传中路，莫雷诺弹射打中张一诺胸部弹出
80'申鑫扳回一城                   78'长春队丝毫不放松，第78分钟马祖右路带球回传中路，莫雷诺弹射打中张一诺胸部弹出
80'亚泰后防的懈怠，付出了代价，丹尼尔的进球                   78'长春队丝毫不放松，第78分钟马祖右路带球回传中路，莫雷诺弹射打中张一诺胸部弹出
81'申鑫前场左路的定位球机会，直接送入禁区到后点，亚泰盯人不紧，丹尼尔有力的头球，打了一个反弹，砸向球门，宋振瑜反应不及                   78'长春队丝毫不放松，第78分钟马祖右路带球回传中路，莫雷诺弹射打中张一诺胸部弹出
83'亚泰左路的连续配合，胡斯蒂交给闫峰，姜嘉俊上抢犯规                   83'第83分钟长春队用7号韩德明换下今天错失几次机会的马祖
83'比赛算上补时大概还有10分钟左右                   83'第83分钟长春队用7号韩德明换下今天错失几次机会的马祖
84'亚泰再次换人，马祖被换下，韩德明替补上来                   83'第83分钟长春队用7号韩德明换下今天错失几次机会的马祖
84'马祖今天虽然没有取得进球，但右路的突破让人印象非常深刻                   83'第83分钟长春队用7号韩德明换下今天错失几次机会的马祖
85'韩德明刚刚上来就有机会，但禁区内左侧的突破被后卫挡住                   83'第83分钟长春队用7号韩德明换下今天错失几次机会的马祖
85'申鑫左路斜传禁区，中路陈伟抢点压倒了马晓磊犯规                   83'第83分钟长春队用7号韩德明换下今天错失几次机会的马祖
86'宋振瑜开出门球，右路韩德明把球传丢了                   83'第83分钟长春队用7号韩德明换下今天错失几次机会的马祖
86'申鑫抓紧时间进攻                   83'第83分钟长春队用7号韩德明换下今天错失几次机会的马祖
86'左侧黄威想转移一下，但被对方一挡，好在球权没有丢                   83'第83分钟长春队用7号韩德明换下今天错失几次机会的马祖
89'杜震宇禁区弧顶假动作，晃开防守，一个直塞给莫雷诺                   89'第89分钟申鑫全军压上，池忠国外围送球，中路队员头球打偏
89'可惜莫雷诺处在了越位位置                   89'第89分钟申鑫全军压上，池忠国外围送球，中路队员头球打偏
89'这个球杜震宇展示了自己灵巧的技术                   89'第89分钟申鑫全军压上，池忠国外围送球，中路队员头球打偏
90'申鑫前场的进攻，赢得一个位置不错的定位球，跟胡斯蒂破门的那个球位置，距离，相似                   89'第89分钟申鑫全军压上，池忠国外围送球，中路队员头球打偏
90'申鑫的定位球直接打门，被人墙挡出来                   89'第89分钟申鑫全军压上，池忠国外围送球，中路队员头球打偏
90'外围右路在把球送入禁区，后点丹尼尔没有拿到                   89'第89分钟申鑫全军压上，池忠国外围送球，中路队员头球打偏
90'下半场补时3分钟                   89'第89分钟申鑫全军压上，池忠国外围送球，中路队员头球打偏
91'杜震宇中场停球失误                   89'第89分钟申鑫全军压上，池忠国外围送球，中路队员头球打偏
91'申鑫就地反击                   89'第89分钟申鑫全军压上，池忠国外围送球，中路队员头球打偏
91'申鑫挑传给埃弗顿，埃弗顿单刀了，可惜越位在先                   89'第89分钟申鑫全军压上，池忠国外围送球，中路队员头球打偏
92'伊斯梅洛夫左路的防守犯规                   89'第89分钟申鑫全军压上，池忠国外围送球，中路队员头球打偏
92'申鑫定位球直接往禁区内送，第一点被顶出来                   89'第89分钟申鑫全军压上，池忠国外围送球，中路队员头球打偏
92'申鑫外围头球在摆渡进去，黄威抢点犯规了                   89'第89分钟申鑫全军压上，池忠国外围送球，中路队员头球打偏
