1'上半场比赛开始！！                   1'巴萨第1分钟积极施压
65'距离球门也是比较近                   65'第65分钟，内马尔右路禁区边缘外任意球直接射门，皮球绕过人墙进右上死角，5-1
66'内马尔来主罚                   65'第65分钟，内马尔右路禁区边缘外任意球直接射门，皮球绕过人墙进右上死角，5-1
66'5-1！！！                   65'第65分钟，内马尔右路禁区边缘外任意球直接射门，皮球绕过人墙进右上死角，5-1
66'内马尔！！                   65'第65分钟，内马尔右路禁区边缘外任意球直接射门，皮球绕过人墙进右上死角，5-1
66'内马尔任意球直接打门，打近角，门将已经做出反应但还是没能阻止球入网！！                   65'第65分钟，内马尔右路禁区边缘外任意球直接射门，皮球绕过人墙进右上死角，5-1
66'这球打得角度非常的刁                   65'第65分钟，内马尔右路禁区边缘外任意球直接射门，皮球绕过人墙进右上死角，5-1
87'内马尔左路拿球往禁区里抹                   87'第87分钟，替补出场的塞尔吉-罗伯托禁区右侧传球，拉基蒂奇小禁区右侧小角度抽射上角入网，6-1
87'没有过去                   87'第87分钟，替补出场的塞尔吉-罗伯托禁区右侧传球，拉基蒂奇小禁区右侧小角度抽射上角入网，6-1
87'6-1！！                   87'第87分钟，替补出场的塞尔吉-罗伯托禁区右侧传球，拉基蒂奇小禁区右侧小角度抽射上角入网，6-1
87'拉基蒂奇！！！                   87'第87分钟，替补出场的塞尔吉-罗伯托禁区右侧传球，拉基蒂奇小禁区右侧小角度抽射上角入网，6-1
88'拉基蒂奇禁区前沿跟塞尔吉-罗伯托做撞墙，球到禁区里后拉基蒂奇停球后将球垫起后直接抽射近角破门！！                   87'第87分钟，替补出场的塞尔吉-罗伯托禁区右侧传球，拉基蒂奇小禁区右侧小角度抽射上角入网，6-1
90'巴萨中场拿球                   87'第87分钟，替补出场的塞尔吉-罗伯托禁区右侧传球，拉基蒂奇小禁区右侧小角度抽射上角入网，6-1
90'最后几分钟了                   87'第87分钟，替补出场的塞尔吉-罗伯托禁区右侧传球，拉基蒂奇小禁区右侧小角度抽射上角入网，6-1
90'内马尔边路拿球横敲                   87'第87分钟，替补出场的塞尔吉-罗伯托禁区右侧传球，拉基蒂奇小禁区右侧小角度抽射上角入网，6-1
