5'国际米兰球员科瓦契奇手球犯规,对手获得球权.                   5'开场5分钟，若纳坦传中，瓜林在门前14米处抽射被孔西利托出右上角
20'亚特兰大球员耶佩斯球门线跟前尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是西加里尼.                   18'第18分钟，瓜林左脚远射被卡尔莫纳挡出底线
24'罗兰多将球处理出底线,亚特兰大获得角球.                   24'第24分钟，奇加里尼左侧再开角球，耶佩斯后点距门9米处头球被汉达诺维奇托出横梁
24'射门!!!亚特兰大球员耶佩斯大禁区中央头球,被对方守门员横身扑出.给他传球的是西加里尼.                   24'第24分钟，奇加里尼左侧再开角球，耶佩斯后点距门9米处头球被汉达诺维奇托出横梁
24'汉达诺维奇将球处理出底线,亚特兰大获得角球.                   24'第24分钟，奇加里尼左侧再开角球，耶佩斯后点距门9米处头球被汉达诺维奇托出横梁
25'进球啦！！！亚特兰大球员丹尼斯大禁区中央头球,球从左上角飞进球门,球进了!助攻的是莫拉雷斯. 亚特兰大 1-1 国际米兰.                   24'第24分钟，奇加里尼左侧再开角球，耶佩斯后点距门9米处头球被汉达诺维奇托出横梁
26'国际米兰球员阿尔瓦雷斯大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是坎比亚索.                   24'第24分钟，奇加里尼左侧再开角球，耶佩斯后点距门9米处头球被汉达诺维奇托出横梁
27'若纳坦将球处理出底线,亚特兰大获得角球.                   24'第24分钟，奇加里尼左侧再开角球，耶佩斯后点距门9米处头球被汉达诺维奇托出横梁
47'国际米兰球员瓜林大禁区外尝试右脚射门,可惜皮球高出右上角球门.                   46'1分钟后，阿尔瓦雷斯左路似传似射偏出远门柱
47'亚特兰大球员孔西利一脚直塞球给利瓦亚,但是边裁举旗显示后者已经越位.                   46'1分钟后，阿尔瓦雷斯左路似传似射偏出远门柱
48'亚特兰大球员西加里尼一脚直塞球给利瓦亚,但是边裁举旗显示后者已经越位.                   46'1分钟后，阿尔瓦雷斯左路似传似射偏出远门柱
42'耶佩斯为亚特兰大赢得一个任意球.                   41'第41分钟，瓜林右路传中，长友佑都后点底线零角度头球击中近门柱外侧弹出
42'国际米兰球员瓜林拼抢犯规,对手获得控球权.                   41'第41分钟，瓜林右路传中，长友佑都后点底线零角度头球击中近门柱外侧弹出
43'萨穆埃尔为国际米兰赢得一个任意球.                   41'第41分钟，瓜林右路传中，长友佑都后点底线零角度头球击中近门柱外侧弹出
43'亚特兰大球员丹尼斯拼抢犯规,对手获得控球权.                   41'第41分钟，瓜林右路传中，长友佑都后点底线零角度头球击中近门柱外侧弹出
44'布里维奥将球处理出底线,国际米兰获得角球.                   41'第41分钟，瓜林右路传中，长友佑都后点底线零角度头球击中近门柱外侧弹出
44'国际米兰球员坎比亚索右侧远离球门处小角度尝试左脚射门,可惜皮球稍稍偏出了右球门.                   41'第41分钟，瓜林右路传中，长友佑都后点底线零角度头球击中近门柱外侧弹出
51'国际米兰球员瓜林大禁区外尝试右脚射门,可惜皮球高出右上角球门.给他传球的是萨穆埃尔.                   51'第51分钟，瓜林又一脚劲射打偏
52'亚特兰大球员斯滕达尔多拼抢犯规,对手获得控球权.                   51'第51分钟，瓜林又一脚劲射打偏
52'阿尔瓦雷斯为国际米兰在左路,赢得一个任意球.                   51'第51分钟，瓜林又一脚劲射打偏
52'射门!!!国际米兰球员坎比亚索大禁区外左脚射门,被对方守门员横身扑出.给他传球的是若纳坦.                   51'第51分钟，瓜林又一脚劲射打偏
52'孔西利将球处理出底线,国际米兰获得角球.                   51'第51分钟，瓜林又一脚劲射打偏
53'耶佩斯为亚特兰大赢得一个任意球.                   51'第51分钟，瓜林又一脚劲射打偏
53'国际米兰球员萨穆埃尔拼抢犯规,对手获得控球权.                   51'第51分钟，瓜林又一脚劲射打偏
54'亚特兰大球员斯滕达尔多危险动作,对手获得控球权.                   51'第51分钟，瓜林又一脚劲射打偏
54'阿尔瓦雷斯为国际米兰在左路,赢得一个任意球.                   51'第51分钟，瓜林又一脚劲射打偏
59'射门!!!亚特兰大球员利瓦亚大禁区外左脚射门,被对方守门员横身扑出.给他传球的是拉伊蒙迪.                   59'第59分钟，利瓦亚在门前25米处左脚抽射，汉达诺维奇脱手后将球拿到
60'亚特兰大球员卡尼尼拼抢犯规,对手获得控球权.                   59'第59分钟，利瓦亚在门前25米处左脚抽射，汉达诺维奇脱手后将球拿到
60'瓜林为国际米兰在对方半场,赢得一个任意球.                   59'第59分钟，利瓦亚在门前25米处左脚抽射，汉达诺维奇脱手后将球拿到
60'黄牌！亚特兰大球员卡尼尼因为恶意犯规,被主裁判出示黄牌.                   59'第59分钟，利瓦亚在门前25米处左脚抽射，汉达诺维奇脱手后将球拿到
60'国际米兰球员阿尔瓦雷斯一脚直塞球给帕拉西奥,但是边裁举旗显示后者已经越位.                   59'第59分钟，利瓦亚在门前25米处左脚抽射，汉达诺维奇脱手后将球拿到
60'亚特兰大球员卡尼尼拼抢犯规,对手获得控球权.                   60'第60分钟，阿尔瓦雷斯直传，帕拉西奥趟过门将推进空门，但越位在先
60'瓜林为国际米兰在对方半场,赢得一个任意球.                   60'第60分钟，阿尔瓦雷斯直传，帕拉西奥趟过门将推进空门，但越位在先
60'黄牌！亚特兰大球员卡尼尼因为恶意犯规,被主裁判出示黄牌.                   60'第60分钟，阿尔瓦雷斯直传，帕拉西奥趟过门将推进空门，但越位在先
60'国际米兰球员阿尔瓦雷斯一脚直塞球给帕拉西奥,但是边裁举旗显示后者已经越位.                   60'第60分钟，阿尔瓦雷斯直传，帕拉西奥趟过门将推进空门，但越位在先
63'射门!!!国际米兰球员阿尔瓦雷斯球门左侧小角度右脚射门,被对方守门员横身扑出.给他传球的是科瓦契奇.                   60'第60分钟，阿尔瓦雷斯直传，帕拉西奥趟过门将推进空门，但越位在先
68'罗兰多将球处理出底线,亚特兰大获得角球.                   68'第68分钟，亚特兰大左侧开出角球，罗兰多与斯滕达尔多争顶时似乎手球，亚特兰大队员踢出抗议，主裁判里佐利不予理会
75'射门!!!亚特兰大球员马里伦戈大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是丹尼斯.                   75'第75分钟，丹尼斯传球，马里伦戈禁区内射门太轻送还卡里索
77'射门!!!亚特兰大球员丹尼斯大禁区中央头球,被对方守门员横身扑出.给他传球的是拉伊蒙迪.                   75'第75分钟，丹尼斯传球，马里伦戈禁区内射门太轻送还卡里索
78'丹尼斯为亚特兰大在对方半场,赢得一个任意球.                   75'第75分钟，丹尼斯传球，马里伦戈禁区内射门太轻送还卡里索
78'国际米兰球员罗兰多拼抢犯规,对手获得控球权.                   75'第75分钟，丹尼斯传球，马里伦戈禁区内射门太轻送还卡里索
83'亚特兰大球员马里伦戈大禁区中央右脚射门,被防守球员封堵.给他传球的是巴塞利.                   83'第83分钟，亚特兰大右侧开出角球，耶佩斯在门前6米处左脚推射被卡里索伸脚挡出
83'射门!!!亚特兰大球员耶佩斯大禁区中央左脚射门,被对方守门员横身扑出.                   83'第83分钟，亚特兰大右侧开出角球，耶佩斯在门前6米处左脚推射被卡里索伸脚挡出
83'亚特兰大球员布里维奥大禁区外尝试右脚射门,可惜皮球高出右上角球门.                   83'第83分钟，亚特兰大右侧开出角球，耶佩斯在门前6米处左脚推射被卡里索伸脚挡出
84'亚特兰大球员米利亚乔拼抢犯规,对手获得控球权.                   83'第83分钟，亚特兰大右侧开出角球，耶佩斯在门前6米处左脚推射被卡里索伸脚挡出
84'坎比亚索为国际米兰赢得一个任意球.                   83'第83分钟，亚特兰大右侧开出角球，耶佩斯在门前6米处左脚推射被卡里索伸脚挡出
86'国际米兰换人,泰德尔换下若纳坦                   83'第83分钟，亚特兰大右侧开出角球，耶佩斯在门前6米处左脚推射被卡里索伸脚挡出
