1'中圈卡迪夫城先开球！                   1'曼城第1分钟就利用传接球控制比赛，卡迪夫城全力回收防守应对
36'角球开到禁区内右侧！                   35'曼城第35分钟扩大比分，萨内右路战术角球传中，贝尔纳多前点10码处头球后蹭吊入远角，2-0
36'被头球顶出外围右侧！                   35'曼城第35分钟扩大比分，萨内右路战术角球传中，贝尔纳多前点10码处头球后蹭吊入远角，2-0
36'外围右侧萨内得球二次传中！                   35'曼城第35分钟扩大比分，萨内右路战术角球传中，贝尔纳多前点10码处头球后蹭吊入远角，2-0
37'禁区内中路伯纳多-席尔瓦头球！！！                   35'曼城第35分钟扩大比分，萨内右路战术角球传中，贝尔纳多前点10码处头球后蹭吊入远角，2-0
37'GOOOOOOOOOOOAL！曼城2-0卡迪夫城！                   35'曼城第35分钟扩大比分，萨内右路战术角球传中，贝尔纳多前点10码处头球后蹭吊入远角，2-0
37'拉波尔特分球给中场右侧凯尔-沃克！                   35'曼城第35分钟扩大比分，萨内右路战术角球传中，贝尔纳多前点10码处头球后蹭吊入远角，2-0
38'凯尔-沃克回给身后奥塔门迪！                   35'曼城第35分钟扩大比分，萨内右路战术角球传中，贝尔纳多前点10码处头球后蹭吊入远角，2-0
38'奥塔门迪挑传球找前场左侧德尔夫！                   35'曼城第35分钟扩大比分，萨内右路战术角球传中，贝尔纳多前点10码处头球后蹭吊入远角，2-0
38'霍伊莱特防守把球解围出边线！                   35'曼城第35分钟扩大比分，萨内右路战术角球传中，贝尔纳多前点10码处头球后蹭吊入远角，2-0
38'曼城前场左侧边线球！                   35'曼城第35分钟扩大比分，萨内右路战术角球传中，贝尔纳多前点10码处头球后蹭吊入远角，2-0
44'奥塔门迪直传球给前场右侧伯纳多-席尔瓦！                   44'曼城第44分钟几近锁定胜局，京多安同斯特林踢墙配合后禁区弧顶射入右上角，3-0
44'伯纳多-席尔瓦给禁区前沿中路斯特林！                   44'曼城第44分钟几近锁定胜局，京多安同斯特林踢墙配合后禁区弧顶射入右上角，3-0
45'斯特林和京多安的配合！                   44'曼城第44分钟几近锁定胜局，京多安同斯特林踢墙配合后禁区弧顶射入右上角，3-0
45'京多安中路劲射打门！！                   44'曼城第44分钟几近锁定胜局，京多安同斯特林踢墙配合后禁区弧顶射入右上角，3-0
45'GOOOOOOOOOOAL！曼城3-0卡迪夫城！                   44'曼城第44分钟几近锁定胜局，京多安同斯特林踢墙配合后禁区弧顶射入右上角，3-0
46'斯特林助攻京多安！                   44'曼城第44分钟几近锁定胜局，京多安同斯特林踢墙配合后禁区弧顶射入右上角，3-0
46'卡迪夫城中场开球出来！                   44'曼城第44分钟几近锁定胜局，京多安同斯特林踢墙配合后禁区弧顶射入右上角，3-0
46'京多安被拉尔斯踢倒了！                   44'曼城第44分钟几近锁定胜局，京多安同斯特林踢墙配合后禁区弧顶射入右上角，3-0
46'裁判罚拉尔斯一张黄牌！                   44'曼城第44分钟几近锁定胜局，京多安同斯特林踢墙配合后禁区弧顶射入右上角，3-0
47'队医上来给京多安看看情况                   44'曼城第44分钟几近锁定胜局，京多安同斯特林踢墙配合后禁区弧顶射入右上角，3-0
47'上半场比赛时间也已经所剩无几                   44'曼城第44分钟几近锁定胜局，京多安同斯特林踢墙配合后禁区弧顶射入右上角，3-0
47'京多安被扶到场边继续治疗                   44'曼城第44分钟几近锁定胜局，京多安同斯特林踢墙配合后禁区弧顶射入右上角，3-0
46'中圈曼城开球！                   44'曼城第44分钟几近锁定胜局，京多安同斯特林踢墙配合后禁区弧顶射入右上角，3-0
46'下半场比赛开始了！                   44'曼城第44分钟几近锁定胜局，京多安同斯特林踢墙配合后禁区弧顶射入右上角，3-0
46'开球回给后场中路拉波尔特！                   44'曼城第44分钟几近锁定胜局，京多安同斯特林踢墙配合后禁区弧顶射入右上角，3-0
46'低平球给中场右路凯尔-沃克！                   44'曼城第44分钟几近锁定胜局，京多安同斯特林踢墙配合后禁区弧顶射入右上角，3-0
46'分球给身前萨内！                   44'曼城第44分钟几近锁定胜局，京多安同斯特林踢墙配合后禁区弧顶射入右上角，3-0
46'撒诶带球推进过半场！                   44'曼城第44分钟几近锁定胜局，京多安同斯特林踢墙配合后禁区弧顶射入右上角，3-0
47'萨内这下是踩中了倒地的防守球员！裁判吹停了比赛！                   44'曼城第44分钟几近锁定胜局，京多安同斯特林踢墙配合后禁区弧顶射入右上角，3-0
47'队医进场给受伤球员治疗！                   44'曼城第44分钟几近锁定胜局，京多安同斯特林踢墙配合后禁区弧顶射入右上角，3-0
67'卡迪夫城中场发球给右路                   67'第67分钟，斯特林直传，京多安左路传中，马赫雷斯小禁区边缘推射入网，4-0
67'拉波尔特把球拦截下来！                   67'第67分钟，斯特林直传，京多安左路传中，马赫雷斯小禁区边缘推射入网，4-0
67'给中场的奥塔门迪！                   67'第67分钟，斯特林直传，京多安左路传中，马赫雷斯小禁区边缘推射入网，4-0
67'奥塔门迪给其那场左路德尔夫！                   67'第67分钟，斯特林直传，京多安左路传中，马赫雷斯小禁区边缘推射入网，4-0
67'德尔夫左路下底！低平球传中！                   67'第67分钟，斯特林直传，京多安左路传中，马赫雷斯小禁区边缘推射入网，4-0
68'马赫雷斯插上接饼！！推射打门！！                   67'第67分钟，斯特林直传，京多安左路传中，马赫雷斯小禁区边缘推射入网，4-0
68'GOOOOOOOOOAL！！曼城4-0卡迪夫城！                   67'第67分钟，斯特林直传，京多安左路传中，马赫雷斯小禁区边缘推射入网，4-0
68'马赫雷斯的破门！为曼城打进的首粒进球！                   67'第67分钟，斯特林直传，京多安左路传中，马赫雷斯小禁区边缘推射入网，4-0
69'曼城换人，47-菲尔-福登换下8-京多安。                   67'第67分钟，斯特林直传，京多安左路传中，马赫雷斯小禁区边缘推射入网，4-0
89'埃瑟里奇开球给前场中路！                   89'第89分钟，马赫雷斯拦截断球后禁区边缘劲射左下角入网，5-0
89'德尔夫后场把球断下来！                   89'第89分钟，马赫雷斯拦截断球后禁区边缘劲射左下角入网，5-0
89'分球给左侧跟进的德尔夫！                   89'第89分钟，马赫雷斯拦截断球后禁区边缘劲射左下角入网，5-0
89'抱歉是萨内！                   89'第89分钟，马赫雷斯拦截断球后禁区边缘劲射左下角入网，5-0
89'萨内中路带球推进！                   89'第89分钟，马赫雷斯拦截断球后禁区边缘劲射左下角入网，5-0
89'低平球找身前斯特林！                   89'第89分钟，马赫雷斯拦截断球后禁区边缘劲射左下角入网，5-0
89'曼加禁区内把球截胡！解围球失误了！                   89'第89分钟，马赫雷斯拦截断球后禁区边缘劲射左下角入网，5-0
90'曼加的解围球直接送到了马赫雷斯脚下！                   89'第89分钟，马赫雷斯拦截断球后禁区边缘劲射左下角入网，5-0
90'马赫雷斯中路得球切入禁区！                   89'第89分钟，马赫雷斯拦截断球后禁区边缘劲射左下角入网，5-0
90'抬起左脚打门！！                   89'第89分钟，马赫雷斯拦截断球后禁区边缘劲射左下角入网，5-0
90'GOOOOOOOOAL！曼城5-0卡迪夫城！！                   89'第89分钟，马赫雷斯拦截断球后禁区边缘劲射左下角入网，5-0
90'马赫雷斯梅开二度！                   89'第89分钟，马赫雷斯拦截断球后禁区边缘劲射左下角入网，5-0
91'下半场伤停补时3分钟！                   89'第89分钟，马赫雷斯拦截断球后禁区边缘劲射左下角入网，5-0
91'卡迪夫城中场开球给左路格宁汉姆！                   89'第89分钟，马赫雷斯拦截断球后禁区边缘劲射左下角入网，5-0
91'低平球给前场左路佐霍雷！                   89'第89分钟，马赫雷斯拦截断球后禁区边缘劲射左下角入网，5-0
91'外围左脚的传中球！                   89'第89分钟，马赫雷斯拦截断球后禁区边缘劲射左下角入网，5-0
91'禁区后点！埃德森-莫赖斯把球拿下没收！                   89'第89分钟，马赫雷斯拦截断球后禁区边缘劲射左下角入网，5-0
92'埃德森-莫赖斯发球给后场左侧德尔夫！                   89'第89分钟，马赫雷斯拦截断球后禁区边缘劲射左下角入网，5-0
92'低平球给前场中路斯特林！                   89'第89分钟，马赫雷斯拦截断球后禁区边缘劲射左下角入网，5-0
92'回传给身后的拉波尔特！                   89'第89分钟，马赫雷斯拦截断球后禁区边缘劲射左下角入网，5-0
92'再回给门将埃德森-莫赖斯！                   89'第89分钟，马赫雷斯拦截断球后禁区边缘劲射左下角入网，5-0
92'埃德森-莫赖斯大脚给前场中路！                   89'第89分钟，马赫雷斯拦截断球后禁区边缘劲射左下角入网，5-0
92'博比-里德后场把球破坏出来！                   89'第89分钟，马赫雷斯拦截断球后禁区边缘劲射左下角入网，5-0
92'伯纳多-席尔瓦中场右侧停球出了边线！                   89'第89分钟，马赫雷斯拦截断球后禁区边缘劲射左下角入网，5-0
92'卡迪夫城后场左侧边线球！                   89'第89分钟，马赫雷斯拦截断球后禁区边缘劲射左下角入网，5-0
