3'费利佩前场左路拿球，强突被回防的卡塞米罗撞翻在地                   3'开场仅3分钟，科凯左路任意球传中，萨乌尔10码处头球稍稍蹭偏出远角
50'佩佩带球到前场，C罗还没起来                   49'皇马第49分钟险些破门，卡瓦哈尔右路传中，C罗远点头球摆渡，本泽马小禁区右侧近距离捅射被奥布拉克及时挡出
50'佩佩将球踢出了边线！                   49'皇马第49分钟险些破门，卡瓦哈尔右路传中，C罗远点头球摆渡，本泽马小禁区右侧近距离捅射被奥布拉克及时挡出
50'慢镜回放显示，C罗强突，被萨维奇上抢绊了一下                   49'皇马第49分钟险些破门，卡瓦哈尔右路传中，C罗远点头球摆渡，本泽马小禁区右侧近距离捅射被奥布拉克及时挡出
50'萨维奇这个动作够得上黄牌了啊！！                   49'皇马第49分钟险些破门，卡瓦哈尔右路传中，C罗远点头球摆渡，本泽马小禁区右侧近距离捅射被奥布拉克及时挡出
51'精彩回放：卡瓦哈尔右路传中，C罗后点头球摆渡到中路，本泽马插上抢点垫射，直接被奥布拉克封堵！                   49'皇马第49分钟险些破门，卡瓦哈尔右路传中，C罗远点头球摆渡，本泽马小禁区右侧近距离捅射被奥布拉克及时挡出
51'回到比赛中，皇马的球权！！                   49'皇马第49分钟险些破门，卡瓦哈尔右路传中，C罗远点头球摆渡，本泽马小禁区右侧近距离捅射被奥布拉克及时挡出
52'莫德里奇拿球，分球右侧给卡瓦哈尔                   49'皇马第49分钟险些破门，卡瓦哈尔右路传中，C罗远点头球摆渡，本泽马小禁区右侧近距离捅射被奥布拉克及时挡出
52'卡瓦哈尔再找贝尔，萨乌尔手球违例！！                   49'皇马第49分钟险些破门，卡瓦哈尔右路传中，C罗远点头球摆渡，本泽马小禁区右侧近距离捅射被奥布拉克及时挡出
52'萨乌尔被主裁判出示了黄牌警告！！                   49'皇马第49分钟险些破门，卡瓦哈尔右路传中，C罗远点头球摆渡，本泽马小禁区右侧近距离捅射被奥布拉克及时挡出
52'皇马获得前场右路的任意球机会！！                   49'皇马第49分钟险些破门，卡瓦哈尔右路传中，C罗远点头球摆渡，本泽马小禁区右侧近距离捅射被奥布拉克及时挡出
52'1-0！！！皇马进球！！！                   49'皇马第49分钟险些破门，卡瓦哈尔右路传中，C罗远点头球摆渡，本泽马小禁区右侧近距离捅射被奥布拉克及时挡出
48'C罗高高跃起，甩头轰门，顶偏啦！！                   48'3分钟后，贝尔右路传中被解围，卡瓦哈尔禁区右侧15码处半凌空抽射偏出
49'皇马前场的进攻，奥布拉克再次立功！！                   48'3分钟后，贝尔右路传中被解围，卡瓦哈尔禁区右侧15码处半凌空抽射偏出
49'C罗前场强突，和防守球员相撞倒地                   48'3分钟后，贝尔右路传中被解围，卡瓦哈尔禁区右侧15码处半凌空抽射偏出
49'裁判没理会，球被加比拦截！！                   48'3分钟后，贝尔右路传中被解围，卡瓦哈尔禁区右侧15码处半凌空抽射偏出
50'加比拿球反击，分球找卡拉斯科，被佩佩抢断                   48'3分钟后，贝尔右路传中被解围，卡瓦哈尔禁区右侧15码处半凌空抽射偏出
50'佩佩带球到前场，C罗还没起来                   48'3分钟后，贝尔右路传中被解围，卡瓦哈尔禁区右侧15码处半凌空抽射偏出
50'佩佩将球踢出了边线！                   48'3分钟后，贝尔右路传中被解围，卡瓦哈尔禁区右侧15码处半凌空抽射偏出
50'慢镜回放显示，C罗强突，被萨维奇上抢绊了一下                   48'3分钟后，贝尔右路传中被解围，卡瓦哈尔禁区右侧15码处半凌空抽射偏出
50'萨维奇这个动作够得上黄牌了啊！！                   48'3分钟后，贝尔右路传中被解围，卡瓦哈尔禁区右侧15码处半凌空抽射偏出
51'精彩回放：卡瓦哈尔右路传中，C罗后点头球摆渡到中路，本泽马插上抢点垫射，直接被奥布拉克封堵！                   48'3分钟后，贝尔右路传中被解围，卡瓦哈尔禁区右侧15码处半凌空抽射偏出
51'回到比赛中，皇马的球权！！                   48'3分钟后，贝尔右路传中被解围，卡瓦哈尔禁区右侧15码处半凌空抽射偏出
85'费利佩回传戈丁，戈丁横传萨维奇                   85'马竞第85分钟扳平，科雷亚直传，反越位成功的格里兹曼禁区左肋10码处单刀射入近角，1-1
85'萨维奇再给科克！！                   85'马竞第85分钟扳平，科雷亚直传，反越位成功的格里兹曼禁区左肋10码处单刀射入近角，1-1
85'马竞扳平了！！！                   85'马竞第85分钟扳平，科雷亚直传，反越位成功的格里兹曼禁区左肋10码处单刀射入近角，1-1
85'格列兹曼的进球！！！                   85'马竞第85分钟扳平，科雷亚直传，反越位成功的格里兹曼禁区左肋10码处单刀射入近角，1-1
86'科雷亚前场中路拿球，推传打身后，格列兹曼反越位成功，单刀赴会，面对纳瓦斯，左脚推射打进！                   85'马竞第85分钟扳平，科雷亚直传，反越位成功的格里兹曼禁区左肋10码处单刀射入近角，1-1
87'马竞换人：24号吉梅内斯上，换下10号卡拉斯科                   85'马竞第85分钟扳平，科雷亚直传，反越位成功的格里兹曼禁区左肋10码处单刀射入近角，1-1
88'科雷亚中路拿球，强突被回防的卡瓦哈尔拉倒在地                   85'马竞第85分钟扳平，科雷亚直传，反越位成功的格里兹曼禁区左肋10码处单刀射入近角，1-1
88'卡瓦哈尔被主裁判出示了黄牌警告！！                   85'马竞第85分钟扳平，科雷亚直传，反越位成功的格里兹曼禁区左肋10码处单刀射入近角，1-1
88'马竞获得前场中路，靠近左侧的任意球机会！！                   85'马竞第85分钟扳平，科雷亚直传，反越位成功的格里兹曼禁区左肋10码处单刀射入近角，1-1
88'科克主罚任意球，做了三个假动作，迟迟不开                   85'马竞第85分钟扳平，科雷亚直传，反越位成功的格里兹曼禁区左肋10码处单刀射入近角，1-1
