4'射门!!!阿森纳球员吉鲁大禁区中央头球,被对方守门员横身扑出.                   4'第4分钟，拉姆塞传球，吉鲁小禁区线上头球后蹭射门被对方门将得到
38'阿森纳球员热尔维尼奥大禁区中央左脚射门,被防守球员封堵.                   38'第38分钟，阿森纳打出一系列配合，蒙雷亚尔断球发起进攻，吉鲁和卡索拉的射门相继被封堵
38'阿森纳球员卡佐拉大禁区中央尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是拉姆塞.                   38'第38分钟，阿森纳打出一系列配合，蒙雷亚尔断球发起进攻，吉鲁和卡索拉的射门相继被封堵
40'阿森纳球员卡佐拉球门线跟前右脚射门,被防守球员封堵.给他传球的是吉鲁.                   38'第38分钟，阿森纳打出一系列配合，蒙雷亚尔断球发起进攻，吉鲁和卡索拉的射门相继被封堵
40'卡拉坎将球处理出底线,阿森纳获得角球.                   38'第38分钟，阿森纳打出一系列配合，蒙雷亚尔断球发起进攻，吉鲁和卡索拉的射门相继被封堵
43'阿森纳球员蒙雷亚尔大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是拉姆塞.                   43'第43分钟，热尔维尼奥禁区前沿远射高出
45'+1'马里亚帕为雷丁在左路,赢得一个任意球.                   43'第43分钟，热尔维尼奥禁区前沿远射高出
45'+1'阿森纳球员吉鲁拼抢犯规,对手获得控球权.                   43'第43分钟，热尔维尼奥禁区前沿远射高出
45'+1'雷丁球员博格雷布尼亚克大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是肖雷.                   43'第43分钟，热尔维尼奥禁区前沿远射高出
45'+2'上半场结束,阿森纳 1-0 雷丁,稍事休息,我们一会来看看下半场两队的表现.                   43'第43分钟，热尔维尼奥禁区前沿远射高出
48'进球啦！！！阿森纳球员卡佐拉大禁区外右脚射门,球从右下角飞进球门,球进了!助攻的是热尔维尼奥. 阿森纳 2-0 雷丁.                   46'下半场易地再战，第46分钟，热尔维尼奥突破右路起球，吉鲁中路争顶被干扰
62'阿森纳球员热尔维尼奥大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是萨尼亚.                   62'第62分钟，阿森纳前场打出一系列配合，卡索拉妙传萨尼亚，后者在右路无人防守处起球，热尔维尼奥头球偏出
63'莱杰伍德为雷丁赢得一个任意球.                   62'第62分钟，阿森纳前场打出一系列配合，卡索拉妙传萨尼亚，后者在右路无人防守处起球，热尔维尼奥头球偏出
63'阿森纳球员罗西基拼抢犯规,对手获得控球权.                   62'第62分钟，阿森纳前场打出一系列配合，卡索拉妙传萨尼亚，后者在右路无人防守处起球，热尔维尼奥头球偏出
64'马里亚帕将球处理出底线,阿森纳获得角球.                   62'第62分钟，阿森纳前场打出一系列配合，卡索拉妙传萨尼亚，后者在右路无人防守处起球，热尔维尼奥头球偏出
68'进球啦！！！雷丁球员罗布森-卡努小禁区右侧头球,球从右上角飞进球门,球进了!助攻的是迈克纳福. 阿森纳 3-1 雷丁.                   68'雷丁队68分钟后迅速扳回一城，麦卡努夫左路起球，卡努后点远门柱处冲顶破门，3-1
69'阿森纳蒙雷亚尔受伤倒地,比赛暂停                   68'雷丁队68分钟后迅速扳回一城，麦卡努夫左路起球，卡努后点远门柱处冲顶破门，3-1
70'暂停结束,球员们重新开始比赛.                   68'雷丁队68分钟后迅速扳回一城，麦卡努夫左路起球，卡努后点远门柱处冲顶破门，3-1
71'雷丁球员迈克纳福拼抢犯规,对手获得控球权.                   68'雷丁队68分钟后迅速扳回一城，麦卡努夫左路起球，卡努后点远门柱处冲顶破门，3-1
71'萨尼亚为阿森纳赢得一个任意球.                   68'雷丁队68分钟后迅速扳回一城，麦卡努夫左路起球，卡努后点远门柱处冲顶破门，3-1
71'阿森纳换人,吉布斯上,蒙雷亚尔因伤下场.                   68'雷丁队68分钟后迅速扳回一城，麦卡努夫左路起球，卡努后点远门柱处冲顶破门，3-1
75'阿森纳换人,张伯伦换下热尔维尼奥                   75'第75分钟，阿森纳再次做出换人调整，张伯伦、波多尔斯基分别换下热尔维尼奥和吉鲁
76'阿森纳换人,波多尔斯基换下吉鲁                   75'第75分钟，阿森纳再次做出换人调整，张伯伦、波多尔斯基分别换下热尔维尼奥和吉鲁
76'雷丁换人,阿克潘换下卡拉坎                   75'第75分钟，阿森纳再次做出换人调整，张伯伦、波多尔斯基分别换下热尔维尼奥和吉鲁
77'雷丁球员马里亚帕犯规,致使对方获得点球.                   75'第75分钟，阿森纳再次做出换人调整，张伯伦、波多尔斯基分别换下热尔维尼奥和吉鲁
77'点球,张伯伦在禁区内被侵犯,阿森纳获得点球.                   75'第75分钟，阿森纳再次做出换人调整，张伯伦、波多尔斯基分别换下热尔维尼奥和吉鲁
77'进球啦！！！阿森纳球员阿尔特塔右脚射门,球从左下角飞进球门,球进了! 阿森纳 4-1 雷丁.                   75'第75分钟，阿森纳再次做出换人调整，张伯伦、波多尔斯基分别换下热尔维尼奥和吉鲁
90'马里亚帕将球处理出底线,阿森纳获得角球.                   90'第90分钟，罗西基右侧挑传，默特萨克头球被对方干扰后高出
90'亨特将球处理出底线,阿森纳获得角球.                   90'第90分钟，罗西基右侧挑传，默特萨克头球被对方干扰后高出
90'+2'阿森纳球员拉姆塞一脚直塞球给吉布斯,但是边裁举旗显示后者已经越位.                   90'第90分钟，罗西基右侧挑传，默特萨克头球被对方干扰后高出
90'+3'雷丁球员阿克潘大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是加斯里.                   90'第90分钟，罗西基右侧挑传，默特萨克头球被对方干扰后高出
90'+4'下半场结束,阿森纳 4-1 雷丁                   90'第90分钟，罗西基右侧挑传，默特萨克头球被对方干扰后高出
