3'今天的比赛对两队来说都是非常的关键                   3'狼堡开场仅3分钟错失良机，克鲁泽头球后蹭，但许尔勒12码处单刀凌空扫射高出
45'2-2！！                   43'第43分钟，博斯维克-杰克逊替换受伤的达米安出场
45'这球最后没算！！                   43'第43分钟，博斯维克-杰克逊替换受伤的达米安出场
45'越位位置上的干扰球                   43'第43分钟，博斯维克-杰克逊替换受伤的达米安出场
45'曼联这边教练组也是不敢了                   43'第43分钟，博斯维克-杰克逊替换受伤的达米安出场
46'越位位置上的干扰球                   43'第43分钟，博斯维克-杰克逊替换受伤的达米安出场
46'最后没算！！！                   43'第43分钟，博斯维克-杰克逊替换受伤的达米安出场
46'曼联左侧禁区边缘打门，运行路线上有人干扰，贝纳利奥也是没有碰到球                   43'第43分钟，博斯维克-杰克逊替换受伤的达米安出场
46'但这球并不算                   43'第43分钟，博斯维克-杰克逊替换受伤的达米安出场
46'上半场补时2分钟！！                   43'第43分钟，博斯维克-杰克逊替换受伤的达米安出场
46'沃尔夫斯堡中场拿球送直塞                   43'第43分钟，博斯维克-杰克逊替换受伤的达米安出场
46'下半场比赛开始！！                   43'第43分钟，博斯维克-杰克逊替换受伤的达米安出场
46'下半场比赛由沃尔夫斯堡开球                   43'第43分钟，博斯维克-杰克逊替换受伤的达米安出场
48'德佩禁区内抢球犯规                   48'第48分钟，纳尔多禁区内防守德佩时摔倒后手球，裁判判罚曼联边锋犯规在先
48'德佩上半场几乎是消失的                   48'第48分钟，纳尔多禁区内防守德佩时摔倒后手球，裁判判罚曼联边锋犯规在先
49'沃尔夫斯堡前场拿球给到左路                   48'第48分钟，纳尔多禁区内防守德佩时摔倒后手球，裁判判罚曼联边锋犯规在先
49'许尔勒的下底到禁区中路                   48'第48分钟，纳尔多禁区内防守德佩时摔倒后手球，裁判判罚曼联边锋犯规在先
49'曼联这边头球抢到第一点                   48'第48分钟，纳尔多禁区内防守德佩时摔倒后手球，裁判判罚曼联边锋犯规在先
49'马夏尔中场拿球                   48'第48分钟，纳尔多禁区内防守德佩时摔倒后手球，裁判判罚曼联边锋犯规在先
50'沃尔夫斯堡这边连续的贴身干扰                   48'第48分钟，纳尔多禁区内防守德佩时摔倒后手球，裁判判罚曼联边锋犯规在先
50'曼联这边传球找费莱尼                   48'第48分钟，纳尔多禁区内防守德佩时摔倒后手球，裁判判罚曼联边锋犯规在先
50'后卫这边先卡住了位置                   48'第48分钟，纳尔多禁区内防守德佩时摔倒后手球，裁判判罚曼联边锋犯规在先
50'德拉克斯勒前场接球先越位                   48'第48分钟，纳尔多禁区内防守德佩时摔倒后手球，裁判判罚曼联边锋犯规在先
51'德佩的左路突破也是没有过去                   48'第48分钟，纳尔多禁区内防守德佩时摔倒后手球，裁判判罚曼联边锋犯规在先
51'吉拉沃吉前场底线拿球                   48'第48分钟，纳尔多禁区内防守德佩时摔倒后手球，裁判判罚曼联边锋犯规在先
51'没有什么机会将球回敲到了中场                   48'第48分钟，纳尔多禁区内防守德佩时摔倒后手球，裁判判罚曼联边锋犯规在先
60'林加德断球被许尔勒铲倒                   60'曼联第60分钟险些扳平，马夏尔传中，费莱尼头球摆渡，马塔近距离射门被吉拉沃吉封堵后偏转，德佩小禁区边缘侧身凌空扫射被贝纳利奥神勇扑出
60'许尔勒得到一张黄牌！                   60'曼联第60分钟险些扳平，马夏尔传中，费莱尼头球摆渡，马塔近距离射门被吉拉沃吉封堵后偏转，德佩小禁区边缘侧身凌空扫射被贝纳利奥神勇扑出
60'马夏尔右路带球，内切的过人没有过去                   60'曼联第60分钟险些扳平，马夏尔传中，费莱尼头球摆渡，马塔近距离射门被吉拉沃吉封堵后偏转，德佩小禁区边缘侧身凌空扫射被贝纳利奥神勇扑出
60'曼联这边还有机会                   60'曼联第60分钟险些扳平，马夏尔传中，费莱尼头球摆渡，马塔近距离射门被吉拉沃吉封堵后偏转，德佩小禁区边缘侧身凌空扫射被贝纳利奥神勇扑出
60' 右路起球送禁区内，费莱尼头球攻门形成了一次助攻！！                   60'曼联第60分钟险些扳平，马夏尔传中，费莱尼头球摆渡，马塔近距离射门被吉拉沃吉封堵后偏转，德佩小禁区边缘侧身凌空扫射被贝纳利奥神勇扑出
61'马塔的被挡                   60'曼联第60分钟险些扳平，马夏尔传中，费莱尼头球摆渡，马塔近距离射门被吉拉沃吉封堵后偏转，德佩小禁区边缘侧身凌空扫射被贝纳利奥神勇扑出
61'禁区内另一侧，队友直接侧身凌空被贝纳利奥化解                   60'曼联第60分钟险些扳平，马夏尔传中，费莱尼头球摆渡，马塔近距离射门被吉拉沃吉封堵后偏转，德佩小禁区边缘侧身凌空扫射被贝纳利奥神勇扑出
62'费莱尼左路拿球被侵犯                   60'曼联第60分钟险些扳平，马夏尔传中，费莱尼头球摆渡，马塔近距离射门被吉拉沃吉封堵后偏转，德佩小禁区边缘侧身凌空扫射被贝纳利奥神勇扑出
62'曼联前场左路的任意球机会                   60'曼联第60分钟险些扳平，马夏尔传中，费莱尼头球摆渡，马塔近距离射门被吉拉沃吉封堵后偏转，德佩小禁区边缘侧身凌空扫射被贝纳利奥神勇扑出
62'马塔任意球做了一个配合                   60'曼联第60分钟险些扳平，马夏尔传中，费莱尼头球摆渡，马塔近距离射门被吉拉沃吉封堵后偏转，德佩小禁区边缘侧身凌空扫射被贝纳利奥神勇扑出
62'禁区弧顶的打门被自己队友拦截下来                   60'曼联第60分钟险些扳平，马夏尔传中，费莱尼头球摆渡，马塔近距离射门被吉拉沃吉封堵后偏转，德佩小禁区边缘侧身凌空扫射被贝纳利奥神勇扑出
62'费莱尼停球后回球                   60'曼联第60分钟险些扳平，马夏尔传中，费莱尼头球摆渡，马塔近距离射门被吉拉沃吉封堵后偏转，德佩小禁区边缘侧身凌空扫射被贝纳利奥神勇扑出
63'队友的打门碰到防守球员                   60'曼联第60分钟险些扳平，马夏尔传中，费莱尼头球摆渡，马塔近距离射门被吉拉沃吉封堵后偏转，德佩小禁区边缘侧身凌空扫射被贝纳利奥神勇扑出
63'马塔跟进想铲射，但是没有碰到球                   60'曼联第60分钟险些扳平，马夏尔传中，费莱尼头球摆渡，马塔近距离射门被吉拉沃吉封堵后偏转，德佩小禁区边缘侧身凌空扫射被贝纳利奥神勇扑出
63'曼联这边开始加强了攻势                   60'曼联第60分钟险些扳平，马夏尔传中，费莱尼头球摆渡，马塔近距离射门被吉拉沃吉封堵后偏转，德佩小禁区边缘侧身凌空扫射被贝纳利奥神勇扑出
63'马塔禁区前沿拿球被断                   60'曼联第60分钟险些扳平，马夏尔传中，费莱尼头球摆渡，马塔近距离射门被吉拉沃吉封堵后偏转，德佩小禁区边缘侧身凌空扫射被贝纳利奥神勇扑出
64'曼联长传打身后                   64'第64分钟，丹特长传，德赫亚出击落空后随即返回，许尔勒前场左路远程吊射，回退中的德赫亚单手将皮球拦出底线
64'这球没有送过去                   64'第64分钟，丹特长传，德赫亚出击落空后随即返回，许尔勒前场左路远程吊射，回退中的德赫亚单手将皮球拦出底线
64'德赫亚冲出禁区来接球                   64'第64分钟，丹特长传，德赫亚出击落空后随即返回，许尔勒前场左路远程吊射，回退中的德赫亚单手将皮球拦出底线
64'但这球德赫亚并没有拿到                   64'第64分钟，丹特长传，德赫亚出击落空后随即返回，许尔勒前场左路远程吊射，回退中的德赫亚单手将皮球拦出底线
64'许尔勒先拦截后转身后直接吊门                   64'第64分钟，丹特长传，德赫亚出击落空后随即返回，许尔勒前场左路远程吊射，回退中的德赫亚单手将皮球拦出底线
65'德赫亚及时回去一个背身的单臂起跳将球打出了底线                   64'第64分钟，丹特长传，德赫亚出击落空后随即返回，许尔勒前场左路远程吊射，回退中的德赫亚单手将皮球拦出底线
65'这球还是非常的有危险                   64'第64分钟，丹特长传，德赫亚出击落空后随即返回，许尔勒前场左路远程吊射，回退中的德赫亚单手将皮球拦出底线
65'德赫亚的出击有些盲目                   64'第64分钟，丹特长传，德赫亚出击落空后随即返回，许尔勒前场左路远程吊射，回退中的德赫亚单手将皮球拦出底线
65'马夏尔禁区边缘直接打门                   64'第64分钟，丹特长传，德赫亚出击落空后随即返回，许尔勒前场左路远程吊射，回退中的德赫亚单手将皮球拦出底线
65'贝纳利奥将球压在身下                   64'第64分钟，丹特长传，德赫亚出击落空后随即返回，许尔勒前场左路远程吊射，回退中的德赫亚单手将皮球拦出底线
67'沃尔夫斯堡禁区弧顶挑传送了进去                   64'第64分钟，丹特长传，德赫亚出击落空后随即返回，许尔勒前场左路远程吊射，回退中的德赫亚单手将皮球拦出底线
67'许尔勒跟进吊射被德赫亚托出横梁！！                   64'第64分钟，丹特长传，德赫亚出击落空后随即返回，许尔勒前场左路远程吊射，回退中的德赫亚单手将皮球拦出底线
67'这球曼联造越位有些失误                   64'第64分钟，丹特长传，德赫亚出击落空后随即返回，许尔勒前场左路远程吊射，回退中的德赫亚单手将皮球拦出底线
67'德赫亚这次的表现很出色                   64'第64分钟，丹特长传，德赫亚出击落空后随即返回，许尔勒前场左路远程吊射，回退中的德赫亚单手将皮球拦出底线
82'德佩禁区内拿球                   82'曼联第82分钟扳平比分，费莱尼角球混战中头球前顶，吉拉沃吉抢在鲍威尔之前头球解围，但皮球吊入自家大门，2-2
82'小角度打门被门将封住                   82'曼联第82分钟扳平比分，费莱尼角球混战中头球前顶，吉拉沃吉抢在鲍威尔之前头球解围，但皮球吊入自家大门，2-2
82'曼联的角球机会                   82'曼联第82分钟扳平比分，费莱尼角球混战中头球前顶，吉拉沃吉抢在鲍威尔之前头球解围，但皮球吊入自家大门，2-2
82'角球送后点                   82'曼联第82分钟扳平比分，费莱尼角球混战中头球前顶，吉拉沃吉抢在鲍威尔之前头球解围，但皮球吊入自家大门，2-2
82'2-2！！！                   82'曼联第82分钟扳平比分，费莱尼角球混战中头球前顶，吉拉沃吉抢在鲍威尔之前头球解围，但皮球吊入自家大门，2-2
83'吉拉沃吉！！                   82'曼联第82分钟扳平比分，费莱尼角球混战中头球前顶，吉拉沃吉抢在鲍威尔之前头球解围，但皮球吊入自家大门，2-2
84'布林德角球送禁区后点，费莱尼头球点下来，贝纳利奥准备来接球，结果吉拉沃吉先头球蹭了一下，这样球正好越过门将飞入自家球门！！                   82'曼联第82分钟扳平比分，费莱尼角球混战中头球前顶，吉拉沃吉抢在鲍威尔之前头球解围，但皮球吊入自家大门，2-2
84'3-2！！！                   82'曼联第82分钟扳平比分，费莱尼角球混战中头球前顶，吉拉沃吉抢在鲍威尔之前头球解围，但皮球吊入自家大门，2-2
85'纳尔多！！                   82'曼联第82分钟扳平比分，费莱尼角球混战中头球前顶，吉拉沃吉抢在鲍威尔之前头球解围，但皮球吊入自家大门，2-2
85'沃尔夫斯堡这边也是用角球再次反超比分                   82'曼联第82分钟扳平比分，费莱尼角球混战中头球前顶，吉拉沃吉抢在鲍威尔之前头球解围，但皮球吊入自家大门，2-2
85'角球送后点，纳尔多头球顶了一个反向，门线上后卫虽然在尽力解围，但是球还是进了！！                   82'曼联第82分钟扳平比分，费莱尼角球混战中头球前顶，吉拉沃吉抢在鲍威尔之前头球解围，但皮球吊入自家大门，2-2
