9'长春亚泰队中路突破，对方犯规啦，任意球                   8'第8分钟，瓦尔特禁区前吸引防守后将球推至边路，亚泰队右路传中直接出底线
35'曹添堡突破造成对方犯规，长春亚泰队前场左路任意球机会                   35'第35分钟吕建军外围大力抽射打高
35'信息量示发到禁区内，对方顶出来，跟上队员劲射被挡出                   35'第35分钟吕建军外围大力抽射打高
35'吕建军外围大力远射，高出！                   35'第35分钟吕建军外围大力抽射打高
36'后场长春亚泰队得球，转移到左路进攻                   35'第35分钟吕建军外围大力抽射打高
37'长春亚泰队左路长传进攻，没有了机会啊，把球回传                   35'第35分钟吕建军外围大力抽射打高
38'长春亚泰队左路横传门前，对方把球破坏出来                   35'第35分钟吕建军外围大力抽射打高
38'羊肝儿羹：希望解说站在公正角度评论比赛。[回复]我们力求公正！                   35'第35分钟吕建军外围大力抽射打高
54'长春亚泰队斜传球到禁区内，冯仁亮抢点劲射，没能踢正，球出底线                   54'易边再战，第54分钟亚泰队斜传禁区，冯仁亮抢点劲射未能踢正，球出底线
55'后场杭州绿城队左路直传，对方上抢，只好把球回传                   54'易边再战，第54分钟亚泰队斜传禁区，冯仁亮抢点劲射未能踢正，球出底线
55'冯仁亮抢球犯规，杭州绿城队发后场球                   54'易边再战，第54分钟亚泰队斜传禁区，冯仁亮抢点劲射未能踢正，球出底线
56'〔互动话题〕对于本场比赛，大家要以预测一下最终结果了！A、战平！ B、长春亚泰队胜 C、杭州绿城队胜！[qiangda]                   54'易边再战，第54分钟亚泰队斜传禁区，冯仁亮抢点劲射未能踢正，球出底线
57'同时大家对比赛作出您的评论，我们给大家上墙！                   54'易边再战，第54分钟亚泰队斜传禁区，冯仁亮抢点劲射未能踢正，球出底线
57'前场长春亚泰队断球，中路直传球，伊格拉西亚斯被放倒！！                   54'易边再战，第54分钟亚泰队斜传禁区，冯仁亮抢点劲射未能踢正，球出底线
57'长春亚泰队得到任意球机会                   54'易边再战，第54分钟亚泰队斜传禁区，冯仁亮抢点劲射未能踢正，球出底线
63'色狼也要正大光明：一统 怎么没解说鲁能的比赛呀[回复]分工如此，这场比赛也重要                   63'第63分钟，张笑飞发出界外球亚泰斜传禁区，曹添堡插上抢点攻门被顾超扑出
64'杭州绿城队换人啦，赵宇豪上场，换下了受伤的吴伟                   63'第63分钟，张笑飞发出界外球亚泰斜传禁区，曹添堡插上抢点攻门被顾超扑出
65'杭州绿城队继续换人：陈中流上场换下谢鹏飞！                   63'第63分钟，张笑飞发出界外球亚泰斜传禁区，曹添堡插上抢点攻门被顾超扑出
65'长春亚泰队右路直传球送到对方脚下，王万鹏争抢出界                   63'第63分钟，张笑飞发出界外球亚泰斜传禁区，曹添堡插上抢点攻门被顾超扑出
65'界外球发出来，对方争抢顶出边线                   63'第63分钟，张笑飞发出界外球亚泰斜传禁区，曹添堡插上抢点攻门被顾超扑出
66'长春亚泰队左路横传，对方上抢有犯规动作，主裁判并没有吹                   63'第63分钟，张笑飞发出界外球亚泰斜传禁区，曹添堡插上抢点攻门被顾超扑出
66'杭州绿城队大脚长传前场，阿甘速度好快啊！                   63'第63分钟，张笑飞发出界外球亚泰斜传禁区，曹添堡插上抢点攻门被顾超扑出
66'阿甘左路横传禁区，对方抢点把球破坏                   63'第63分钟，张笑飞发出界外球亚泰斜传禁区，曹添堡插上抢点攻门被顾超扑出
67'前场界外球机会                   67'第67分钟阿甘大禁区线上面对三名防守球员的包夹，仍与拉蒙打出撞墙式配合，抹入禁区的阿甘小角度大力抽射被宋振瑜扑出，随后二次补射击中边网
68'界外球发出来，阿甘突破横传，拉蒙直传，阿甘抢点打门被宋振瑜挡出来，阿甘小角度打门打在边网上！                   67'第67分钟阿甘大禁区线上面对三名防守球员的包夹，仍与拉蒙打出撞墙式配合，抹入禁区的阿甘小角度大力抽射被宋振瑜扑出，随后二次补射击中边网
68'用户3135063643：哈尔滨4比0贵州。。。是哈尔滨成长了呢，还是贵州倒退了呢……[回复]感觉人和急转直下！！                   67'第67分钟阿甘大禁区线上面对三名防守球员的包夹，仍与拉蒙打出撞墙式配合，抹入禁区的阿甘小角度大力抽射被宋振瑜扑出，随后二次补射击中边网
68'长春亚泰队左路突破到禁区内，对方几名队员包夹把球断下来                   67'第67分钟阿甘大禁区线上面对三名防守球员的包夹，仍与拉蒙打出撞墙式配合，抹入禁区的阿甘小角度大力抽射被宋振瑜扑出，随后二次补射击中边网
69'杭州绿城队右路直传球，张笑飞把球破坏出底线                   67'第67分钟阿甘大禁区线上面对三名防守球员的包夹，仍与拉蒙打出撞墙式配合，抹入禁区的阿甘小角度大力抽射被宋振瑜扑出，随后二次补射击中边网
69'送给了杭州绿城队角球机会                   67'第67分钟阿甘大禁区线上面对三名防守球员的包夹，仍与拉蒙打出撞墙式配合，抹入禁区的阿甘小角度大力抽射被宋振瑜扑出，随后二次补射击中边网
70'角球发到禁区内，宋振瑜出击没有拿到球，皮球从另一侧出边线                   67'第67分钟阿甘大禁区线上面对三名防守球员的包夹，仍与拉蒙打出撞墙式配合，抹入禁区的阿甘小角度大力抽射被宋振瑜扑出，随后二次补射击中边网
70'界外球发出来，杭州绿城队直传禁区，宋振瑜出击没收                   67'第67分钟阿甘大禁区线上面对三名防守球员的包夹，仍与拉蒙打出撞墙式配合，抹入禁区的阿甘小角度大力抽射被宋振瑜扑出，随后二次补射击中边网
74'长春亚泰队中路突破，对方犯规                   74'第74分钟，亚泰队任意球长传禁区，贝切莱头球攻门打高
74'张笑飞站在球前，来主罚这个任意球                   74'第74分钟，亚泰队任意球长传禁区，贝切莱头球攻门打高
74'任意球发到禁区内，伊斯梅洛夫头球顶门，皮球弹地出底线                   74'第74分钟，亚泰队任意球长传禁区，贝切莱头球攻门打高
75'拉蒙长传球到前场，对方把球控下来                   74'第74分钟，亚泰队任意球长传禁区，贝切莱头球攻门打高
76'后场杭州绿城队得球，从右路进攻到中场，把球回传                   74'第74分钟，亚泰队任意球长传禁区，贝切莱头球攻门打高
76'奋斗2014考研：一统，鲁能居然点球不进！！[回复]是吗？怎么个情况？                   74'第74分钟，亚泰队任意球长传禁区，贝切莱头球攻门打高
77'杭州绿城队长传球到禁区内，阿甘接球转身打门，偏出！                   74'第74分钟，亚泰队任意球长传禁区，贝切莱头球攻门打高
77'阿甘倒在地上，双方手上都有点动作，主裁判是不会吹的！                   74'第74分钟，亚泰队任意球长传禁区，贝切莱头球攻门打高
77'杭州绿城队长传球到禁区内，阿甘接球转身打门，偏出！                   77'第77分钟，绿城队长传禁区，阿甘接球后转身抽射打偏
77'阿甘倒在地上，双方手上都有点动作，主裁判是不会吹的！                   77'第77分钟，绿城队长传禁区，阿甘接球后转身抽射打偏
78'汪嵩中前场拿球，分到左路                   77'第77分钟，绿城队长传禁区，阿甘接球后转身抽射打偏
78'感觉杭州绿城队有意压慢速度，想保一分吗？？                   77'第77分钟，绿城队长传禁区，阿甘接球后转身抽射打偏
78'拉蒙挑传球到禁区内，对方氢球控下来                   77'第77分钟，绿城队长传禁区，阿甘接球后转身抽射打偏
79'长春亚泰队长传前场左路找贝奇拉耶，被对方两人包夹                   77'第77分钟，绿城队长传禁区，阿甘接球后转身抽射打偏
79'贝奇拉耶就地反抢，对方把球碰出边线                   77'第77分钟，绿城队长传禁区，阿甘接球后转身抽射打偏
79'界外球发出来，长春亚泰队长传前场右睡，皮球出底线                   77'第77分钟，绿城队长传禁区，阿甘接球后转身抽射打偏
80'长春亚泰队长传前场右路的球出底线！                   77'第77分钟，绿城队长传禁区，阿甘接球后转身抽射打偏
80'杭州绿城队进球啦！！臧一峰，2-1！！                   77'第77分钟，绿城队长传禁区，阿甘接球后转身抽射打偏
87'长春亚泰队长传禁区，对方挡出底线                   87'不过长春亚泰在第87分钟将比分扳平――亚泰队角球开到前点，伊斯梅洛夫抢点头球攻门，皮球应声入网，2-2
87'长春亚泰队进球啦！伊斯梅洛夫，2-2                   87'不过长春亚泰在第87分钟将比分扳平――亚泰队角球开到前点，伊斯梅洛夫抢点头球攻门，皮球应声入网，2-2
87'角球发到禁区内前点，伊斯梅洛夫抢点头球顶门，皮球应声入网！！！                   87'不过长春亚泰在第87分钟将比分扳平――亚泰队角球开到前点，伊斯梅洛夫抢点头球攻门，皮球应声入网，2-2
88'现在扳平比分，双方站在同一起跑线！！                   87'不过长春亚泰在第87分钟将比分扳平――亚泰队角球开到前点，伊斯梅洛夫抢点头球攻门，皮球应声入网，2-2
88'要看最后的六七分钟的时间啦！！                   87'不过长春亚泰在第87分钟将比分扳平――亚泰队角球开到前点，伊斯梅洛夫抢点头球攻门，皮球应声入网，2-2
89'杭州绿城队右路传球，对方破坏出边线                   87'不过长春亚泰在第87分钟将比分扳平――亚泰队角球开到前点，伊斯梅洛夫抢点头球攻门，皮球应声入网，2-2
89'界外球发出来，裁判哨响，进攻队员犯规                   87'不过长春亚泰在第87分钟将比分扳平――亚泰队角球开到前点，伊斯梅洛夫抢点头球攻门，皮球应声入网，2-2
89'后场任意球发出来，长春亚泰队左路长传球，直接传出边线                   87'不过长春亚泰在第87分钟将比分扳平――亚泰队角球开到前点，伊斯梅洛夫抢点头球攻门，皮球应声入网，2-2
89'杭州绿城队又把阵形压了上来！                   87'不过长春亚泰在第87分钟将比分扳平――亚泰队角球开到前点，伊斯梅洛夫抢点头球攻门，皮球应声入网，2-2
90'杭州绿城队又进球啦！！阿甘，3-2！                   87'不过长春亚泰在第87分钟将比分扳平――亚泰队角球开到前点，伊斯梅洛夫抢点头球攻门，皮球应声入网，2-2
90'杭州绿城队又进球啦！！阿甘，3-2！                   90'最终90分钟战罢，杭州绿城3-2绝杀长春亚泰，迎来近6轮首胜
91'界外球发出来，陈中流头球顶下来，汪嵩回传，陈中流横传禁区，械抢点侧身打门球进！                   90'最终90分钟战罢，杭州绿城3-2绝杀长春亚泰，迎来近6轮首胜
91'比赛进入补时阶段！看长春亚泰队能否再进一球！                   90'最终90分钟战罢，杭州绿城3-2绝杀长春亚泰，迎来近6轮首胜
91'长春亚泰队右路横传禁区，顾超了击把球抱住！                   90'最终90分钟战罢，杭州绿城3-2绝杀长春亚泰，迎来近6轮首胜
92'阿甘后场拿球，左路快速突破横传                   90'最终90分钟战罢，杭州绿城3-2绝杀长春亚泰，迎来近6轮首胜
92'阿甘横传后就前插，队友挑传球，对方把球控下来                   90'最终90分钟战罢，杭州绿城3-2绝杀长春亚泰，迎来近6轮首胜
92'长春亚泰队右路长传禁区，对方抢点顶出                   90'最终90分钟战罢，杭州绿城3-2绝杀长春亚泰，迎来近6轮首胜
92'杭州绿城队打反击                   90'最终90分钟战罢，杭州绿城3-2绝杀长春亚泰，迎来近6轮首胜
93'杭州绿城队快速长传，拉蒙接球转身打门，对方两人包夹                   90'最终90分钟战罢，杭州绿城3-2绝杀长春亚泰，迎来近6轮首胜
93'全场比赛结束，最终杭州绿城队客场3-2战胜长春亚泰队！！                   90'最终90分钟战罢，杭州绿城3-2绝杀长春亚泰，迎来近6轮首胜
